ward,precinct,total,Helen A. Ozmina-Barc,Helen A. Ozmina-Barc Percent,precinct_id
19,3,45,45,100.0,19003
19,4,91,91,100.0,19004
19,5,48,48,100.0,19005
19,6,61,61,100.0,19006
19,7,97,97,100.0,19007
19,8,90,90,100.0,19008
19,9,72,72,100.0,19009
19,10,106,106,100.0,19010
19,11,72,72,100.0,19011
19,12,68,68,100.0,19012
19,15,89,89,100.0,19015
19,16,83,83,100.0,19016
19,17,65,65,100.0,19017
19,18,88,88,100.0,19018
19,19,116,116,100.0,19019
19,21,70,70,100.0,19021
19,22,98,98,100.0,19022
19,23,80,80,100.0,19023
19,24,82,82,100.0,19024
19,25,78,78,100.0,19025
19,26,103,103,100.0,19026
19,29,49,49,100.0,19029
19,30,77,77,100.0,19030
19,32,85,85,100.0,19032
19,33,73,73,100.0,19033
19,34,90,90,100.0,19034
19,35,107,107,100.0,19035
19,41,71,71,100.0,19041
19,44,81,81,100.0,19044
19,45,99,99,100.0,19045
19,46,104,104,100.0,19046
19,50,58,58,100.0,19050
19,51,117,117,100.0,19051
19,52,72,72,100.0,19052
19,53,69,69,100.0,19053
19,54,48,48,100.0,19054
19,55,42,42,100.0,19055
19,56,118,118,100.0,19056
19,57,105,105,100.0,19057
20,4,1,1,100.0,20004
20,15,17,17,100.0,20015
22,1,73,73,100.0,22001
22,2,57,57,100.0,22002
22,8,49,49,100.0,22008
22,12,60,60,100.0,22012
22,23,101,101,100.0,22023
23,1,96,96,100.0,23001
23,2,69,69,100.0,23002
23,3,68,68,100.0,23003
23,4,91,91,100.0,23004
23,5,48,48,100.0,23005
23,6,68,68,100.0,23006
23,7,42,42,100.0,23007
23,8,66,66,100.0,23008
23,9,18,18,100.0,23009
23,10,53,53,100.0,23010
23,11,39,39,100.0,23011
23,12,62,62,100.0,23012
23,14,63,63,100.0,23014
23,15,19,19,100.0,23015
23,16,48,48,100.0,23016
23,17,12,12,100.0,23017
23,18,57,57,100.0,23018
23,19,26,26,100.0,23019
23,20,20,20,100.0,23020
23,21,55,55,100.0,23021
23,22,58,58,100.0,23022
23,23,69,69,100.0,23023
23,25,44,44,100.0,23025
23,26,38,38,100.0,23026
23,27,74,74,100.0,23027
23,28,68,68,100.0,23028
23,29,42,42,100.0,23029
23,30,52,52,100.0,23030
23,31,14,14,100.0,23031
23,32,49,49,100.0,23032
23,33,36,36,100.0,23033
23,34,18,18,100.0,23034
23,35,41,41,100.0,23035
23,36,82,82,100.0,23036
23,37,56,56,100.0,23037
23,38,50,50,100.0,23038
23,39,20,20,100.0,23039
25,32,33,33,100.0,25032
