ward,precinct,total,Tio Hardiman & Brunell Donald,Tio Hardiman & Brunell Donald Percent,Pat Quinn & Paul Vallas,Pat Quinn & Paul Vallas Percent,precinct_id
7,21,75,23,30.67,52,69.33,07021
7,22,64,16,25.0,48,75.0,07022
7,23,161,37,22.98,124,77.02,07023
7,24,143,34,23.78,109,76.22,07024
7,25,81,16,19.75,65,80.25,07025
7,26,107,30,28.04,77,71.96,07026
7,27,94,26,27.66,68,72.34,07027
7,28,71,18,25.35,53,74.65,07028
7,29,86,19,22.09,67,77.91,07029
7,30,73,16,21.92,57,78.08,07030
7,31,49,15,30.61,34,69.39,07031
7,32,217,39,17.97,178,82.03,07032
7,33,204,45,22.06,159,77.94,07033
7,34,159,36,22.64,123,77.36,07034
7,35,80,24,30.0,56,70.0,07035
7,36,154,29,18.83,125,81.17,07036
7,37,133,35,26.32,98,73.68,07037
7,38,91,28,30.77,63,69.23,07038
7,39,97,23,23.71,74,76.29,07039
7,40,124,24,19.35,100,80.65,07040
7,41,89,19,21.35,70,78.65,07041
7,42,94,17,18.09,77,81.91,07042
7,43,122,23,18.85,99,81.15,07043
7,44,76,16,21.05,60,78.95,07044
7,45,83,25,30.12,58,69.88,07045
7,46,86,15,17.44,71,82.56,07046
8,1,73,26,35.62,47,64.38,08001
8,2,88,20,22.73,68,77.27,08002
8,3,221,48,21.72,173,78.28,08003
8,4,167,26,15.57,141,84.43,08004
8,5,212,41,19.34,171,80.66,08005
8,6,128,25,19.53,103,80.47,08006
8,7,180,32,17.78,148,82.22,08007
8,8,178,43,24.16,135,75.84,08008
8,9,92,19,20.65,73,79.35,08009
8,10,204,31,15.2,173,84.8,08010
8,11,133,25,18.8,108,81.2,08011
8,12,122,24,19.67,98,80.33,08012
8,13,102,18,17.65,84,82.35,08013
8,14,60,14,23.33,46,76.67,08014
8,15,85,21,24.71,64,75.29,08015
8,16,27,12,44.44,15,55.56,08016
8,17,128,34,26.56,94,73.44,08017
8,18,94,22,23.4,72,76.6,08018
8,19,170,31,18.24,139,81.76,08019
8,20,126,28,22.22,98,77.78,08020
8,21,135,24,17.78,111,82.22,08021
8,22,112,24,21.43,88,78.57,08022
8,23,94,21,22.34,73,77.66,08023
8,24,84,15,17.86,69,82.14,08024
8,25,115,30,26.09,85,73.91,08025
8,26,109,26,23.85,83,76.15,08026
8,27,167,32,19.16,135,80.84,08027
8,28,129,31,24.03,98,75.97,08028
8,29,155,42,27.1,113,72.9,08029
8,30,118,22,18.64,96,81.36,08030
8,31,108,22,20.37,86,79.63,08031
8,32,103,24,23.3,79,76.7,08032
8,33,120,29,24.17,91,75.83,08033
8,34,115,24,20.87,91,79.13,08034
8,35,146,32,21.92,114,78.08,08035
8,36,136,32,23.53,104,76.47,08036
8,37,121,19,15.7,102,84.3,08037
8,38,71,14,19.72,57,80.28,08038
8,39,115,22,19.13,93,80.87,08039
8,40,79,10,12.66,69,87.34,08040
8,41,105,29,27.62,76,72.38,08041
8,42,165,36,21.82,129,78.18,08042
8,43,56,9,16.07,47,83.93,08043
8,44,78,13,16.67,65,83.33,08044
8,45,81,28,34.57,53,65.43,08045
8,46,92,26,28.26,66,71.74,08046
8,47,108,23,21.3,85,78.7,08047
8,48,103,23,22.33,80,77.67,08048
8,49,128,25,19.53,103,80.47,08049
8,50,124,31,25.0,93,75.0,08050
8,51,148,35,23.65,113,76.35,08051
8,52,185,43,23.24,142,76.76,08052
8,53,75,12,16.0,63,84.0,08053
8,54,78,17,21.79,61,78.21,08054
8,55,85,26,30.59,59,69.41,08055
8,56,152,28,18.42,124,81.58,08056
9,1,118,23,19.49,95,80.51,09001
9,2,117,41,35.04,76,64.96,09002
9,3,57,12,21.05,45,78.95,09003
9,4,77,15,19.48,62,80.52,09004
9,5,107,24,22.43,83,77.57,09005
9,6,113,31,27.43,82,72.57,09006
9,7,77,23,29.87,54,70.13,09007
9,8,73,21,28.77,52,71.23,09008
9,9,139,30,21.58,109,78.42,09009
9,10,83,19,22.89,64,77.11,09010
9,11,81,18,22.22,63,77.78,09011
9,12,125,18,14.4,107,85.6,09012
9,13,148,39,26.35,109,73.65,09013
9,14,166,24,14.46,142,85.54,09014
9,15,66,12,18.18,54,81.82,09015
9,16,127,39,30.71,88,69.29,09016
9,17,84,28,33.33,56,66.67,09017
9,18,77,20,25.97,57,74.03,09018
9,19,103,20,19.42,83,80.58,09019
9,20,131,32,24.43,99,75.57,09020
9,21,92,18,19.57,74,80.43,09021
9,22,122,24,19.67,98,80.33,09022
9,23,134,26,19.4,108,80.6,09023
9,24,120,23,19.17,97,80.83,09024
9,25,105,25,23.81,80,76.19,09025
9,26,60,12,20.0,48,80.0,09026
9,27,104,34,32.69,70,67.31,09027
9,28,29,4,13.79,25,86.21,09028
9,29,98,24,24.49,74,75.51,09029
9,30,88,21,23.86,67,76.14,09030
9,31,82,23,28.05,59,71.95,09031
9,32,107,21,19.63,86,80.37,09032
9,33,77,13,16.88,64,83.12,09033
9,34,84,22,26.19,62,73.81,09034
9,35,132,29,21.97,103,78.03,09035
9,36,81,18,22.22,63,77.78,09036
9,37,110,15,13.64,95,86.36,09037
9,38,87,23,26.44,64,73.56,09038
9,39,115,25,21.74,90,78.26,09039
9,40,135,23,17.04,112,82.96,09040
9,41,91,25,27.47,66,72.53,09041
9,42,144,39,27.08,105,72.92,09042
9,43,79,19,24.05,60,75.95,09043
9,44,103,23,22.33,80,77.67,09044
9,45,86,22,25.58,64,74.42,09045
9,46,100,18,18.0,82,82.0,09046
9,47,164,32,19.51,132,80.49,09047
9,48,128,26,20.31,102,79.69,09048
9,49,123,22,17.89,101,82.11,09049
9,50,173,40,23.12,133,76.88,09050
9,51,138,26,18.84,112,81.16,09051
10,1,74,20,27.03,54,72.97,10001
10,2,67,13,19.4,54,80.6,10002
10,3,67,16,23.88,51,76.12,10003
10,4,50,20,40.0,30,60.0,10004
10,5,42,11,26.19,31,73.81,10005
10,6,41,8,19.51,33,80.49,10006
10,7,30,8,26.67,22,73.33,10007
10,8,32,8,25.0,24,75.0,10008
10,9,59,16,27.12,43,72.88,10009
10,10,47,12,25.53,35,74.47,10010
10,11,49,12,24.49,37,75.51,10011
10,12,22,5,22.73,17,77.27,10012
10,13,66,11,16.67,55,83.33,10013
10,14,66,13,19.7,53,80.3,10014
10,15,187,49,26.2,138,73.8,10015
10,16,31,6,19.35,25,80.65,10016
10,17,68,18,26.47,50,73.53,10017
10,18,43,13,30.23,30,69.77,10018
10,19,43,10,23.26,33,76.74,10019
10,20,62,13,20.97,49,79.03,10020
10,21,51,7,13.73,44,86.27,10021
10,22,27,5,18.52,22,81.48,10022
10,23,47,6,12.77,41,87.23,10023
10,24,36,14,38.89,22,61.11,10024
10,25,18,5,27.78,13,72.22,10025
10,26,42,8,19.05,34,80.95,10026
10,27,68,20,29.41,48,70.59,10027
10,28,52,8,15.38,44,84.62,10028
10,29,37,8,21.62,29,78.38,10029
10,30,53,11,20.75,42,79.25,10030
10,31,27,2,7.41,25,92.59,10031
10,32,35,7,20.0,28,80.0,10032
10,33,26,5,19.23,21,80.77,10033
10,34,43,11,25.58,32,74.42,10034
10,35,56,14,25.0,42,75.0,10035
10,36,29,8,27.59,21,72.41,10036
11,1,95,16,16.84,79,83.16,11001
11,2,10,4,40.0,6,60.0,11002
11,3,37,6,16.22,31,83.78,11003
11,4,73,13,17.81,60,82.19,11004
11,5,64,19,29.69,45,70.31,11005
11,6,30,10,33.33,20,66.67,11006
11,7,43,7,16.28,36,83.72,11007
11,8,62,10,16.13,52,83.87,11008
11,9,77,19,24.68,58,75.32,11009
11,10,74,17,22.97,57,77.03,11010
11,11,58,14,24.14,44,75.86,11011
11,12,150,29,19.33,121,80.67,11012
11,13,130,21,16.15,109,83.85,11013
11,14,55,12,21.82,43,78.18,11014
11,15,52,6,11.54,46,88.46,11015
11,16,52,17,32.69,35,67.31,11016
11,17,71,19,26.76,52,73.24,11017
11,18,87,21,24.14,66,75.86,11018
11,19,69,15,21.74,54,78.26,11019
11,20,83,17,20.48,66,79.52,11020
11,21,193,38,19.69,155,80.31,11021
11,22,102,15,14.71,87,85.29,11022
11,23,91,14,15.38,77,84.62,11023
11,24,208,38,18.27,170,81.73,11024
11,25,70,7,10.0,63,90.0,11025
11,26,140,23,16.43,117,83.57,11026
11,27,34,4,11.76,30,88.24,11027
11,28,45,9,20.0,36,80.0,11028
11,29,139,24,17.27,115,82.73,11029
11,30,45,9,20.0,36,80.0,11030
11,31,86,19,22.09,67,77.91,11031
11,32,54,5,9.26,49,90.74,11032
11,33,40,5,12.5,35,87.5,11033
11,34,57,16,28.07,41,71.93,11034
11,35,74,14,18.92,60,81.08,11035
11,36,44,5,11.36,39,88.64,11036
11,37,24,1,4.17,23,95.83,11037
11,38,23,4,17.39,19,82.61,11038
12,1,73,12,16.44,61,83.56,12001
12,2,35,4,11.43,31,88.57,12002
12,3,68,15,22.06,53,77.94,12003
12,4,55,15,27.27,40,72.73,12004
12,5,56,10,17.86,46,82.14,12005
12,6,56,12,21.43,44,78.57,12006
12,7,45,10,22.22,35,77.78,12007
12,8,78,11,14.1,67,85.9,12008
12,9,50,14,28.0,36,72.0,12009
12,10,43,7,16.28,36,83.72,12010
12,11,49,9,18.37,40,81.63,12011
12,12,43,18,41.86,25,58.14,12012
12,13,93,24,25.81,69,74.19,12013
12,14,32,6,18.75,26,81.25,12014
12,15,83,17,20.48,66,79.52,12015
12,16,37,9,24.32,28,75.68,12016
12,17,65,16,24.62,49,75.38,12017
12,18,36,9,25.0,27,75.0,12018
12,19,61,16,26.23,45,73.77,12019
12,20,71,15,21.13,56,78.87,12020
12,21,63,15,23.81,48,76.19,12021
12,22,34,9,26.47,25,73.53,12022
12,23,65,13,20.0,52,80.0,12023
13,1,134,22,16.42,112,83.58,13001
13,2,128,26,20.31,102,79.69,13002
13,3,53,6,11.32,47,88.68,13003
13,4,118,20,16.95,98,83.05,13004
13,5,99,18,18.18,81,81.82,13005
13,6,132,32,24.24,100,75.76,13006
13,7,110,22,20.0,88,80.0,13007
13,8,80,23,28.75,57,71.25,13008
13,9,90,14,15.56,76,84.44,13009
13,10,97,30,30.93,67,69.07,13010
13,11,162,34,20.99,128,79.01,13011
13,12,60,13,21.67,47,78.33,13012
13,13,178,22,12.36,156,87.64,13013
13,14,84,11,13.1,73,86.9,13014
13,15,132,21,15.91,111,84.09,13015
13,16,93,11,11.83,82,88.17,13016
13,17,109,26,23.85,83,76.15,13017
13,18,75,20,26.67,55,73.33,13018
13,19,98,12,12.24,86,87.76,13019
13,20,74,19,25.68,55,74.32,13020
13,21,151,32,21.19,119,78.81,13021
13,22,95,14,14.74,81,85.26,13022
13,23,87,11,12.64,76,87.36,13023
13,24,102,17,16.67,85,83.33,13024
13,25,110,28,25.45,82,74.55,13025
13,26,116,19,16.38,97,83.62,13026
13,27,132,29,21.97,103,78.03,13027
13,28,58,16,27.59,42,72.41,13028
13,29,77,10,12.99,67,87.01,13029
13,30,79,9,11.39,70,88.61,13030
13,31,99,31,31.31,68,68.69,13031
13,32,95,22,23.16,73,76.84,13032
13,33,80,21,26.25,59,73.75,13033
13,34,171,25,14.62,146,85.38,13034
13,35,132,22,16.67,110,83.33,13035
13,36,50,11,22.0,39,78.0,13036
13,37,144,18,12.5,126,87.5,13037
13,38,107,31,28.97,76,71.03,13038
13,39,115,14,12.17,101,87.83,13039
13,40,108,19,17.59,89,82.41,13040
13,41,132,16,12.12,116,87.88,13041
13,42,86,21,24.42,65,75.58,13042
13,43,153,30,19.61,123,80.39,13043
13,44,231,22,9.52,209,90.48,13044
13,45,152,28,18.42,124,81.58,13045
13,46,86,18,20.93,68,79.07,13046
13,47,87,14,16.09,73,83.91,13047
13,48,123,20,16.26,103,83.74,13048
14,1,107,25,23.36,82,76.64,14001
14,2,134,24,17.91,110,82.09,14002
14,3,58,13,22.41,45,77.59,14003
14,4,70,19,27.14,51,72.86,14004
14,5,106,9,8.49,97,91.51,14005
14,6,44,10,22.73,34,77.27,14006
14,7,63,17,26.98,46,73.02,14007
14,8,47,7,14.89,40,85.11,14008
14,9,80,20,25.0,60,75.0,14009
14,10,50,13,26.0,37,74.0,14010
14,11,72,10,13.89,62,86.11,14011
14,12,75,12,16.0,63,84.0,14012
14,13,67,13,19.4,54,80.6,14013
14,14,72,12,16.67,60,83.33,14014
14,15,96,11,11.46,85,88.54,14015
14,16,58,8,13.79,50,86.21,14016
14,17,64,4,6.25,60,93.75,14017
14,18,35,11,31.43,24,68.57,14018
14,19,45,12,26.67,33,73.33,14019
14,20,51,11,21.57,40,78.43,14020
14,21,86,12,13.95,74,86.05,14021
14,22,84,24,28.57,60,71.43,14022
14,23,110,22,20.0,88,80.0,14023
14,24,125,25,20.0,100,80.0,14024
14,25,59,12,20.34,47,79.66,14025
14,26,47,10,21.28,37,78.72,14026
14,27,76,13,17.11,63,82.89,14027
14,28,44,7,15.91,37,84.09,14028
14,29,88,20,22.73,68,77.27,14029
14,30,26,9,34.62,17,65.38,14030
14,31,31,7,22.58,24,77.42,14031
15,1,47,7,14.89,40,85.11,15001
15,2,42,10,23.81,32,76.19,15002
15,3,66,24,36.36,42,63.64,15003
15,4,35,7,20.0,28,80.0,15004
15,5,49,15,30.61,34,69.39,15005
15,6,60,18,30.0,42,70.0,15006
15,7,55,13,23.64,42,76.36,15007
15,8,27,4,14.81,23,85.19,15008
15,9,55,21,38.18,34,61.82,15009
15,10,80,25,31.25,55,68.75,15010
15,11,54,10,18.52,44,81.48,15011
15,12,74,18,24.32,56,75.68,15012
15,13,30,2,6.67,28,93.33,15013
15,14,14,2,14.29,12,85.71,15014
15,15,27,3,11.11,24,88.89,15015
15,16,53,9,16.98,44,83.02,15016
15,17,50,11,22.0,39,78.0,15017
15,18,50,14,28.0,36,72.0,15018
15,19,92,21,22.83,71,77.17,15019
15,20,59,19,32.2,40,67.8,15020
15,21,59,26,44.07,33,55.93,15021
15,22,60,16,26.67,44,73.33,15022
15,23,56,14,25.0,42,75.0,15023
15,24,53,12,22.64,41,77.36,15024
16,1,41,8,19.51,33,80.49,16001
16,2,47,6,12.77,41,87.23,16002
16,3,69,18,26.09,51,73.91,16003
16,4,57,18,31.58,39,68.42,16004
16,5,43,11,25.58,32,74.42,16005
16,6,61,18,29.51,43,70.49,16006
16,7,56,8,14.29,48,85.71,16007
16,8,29,6,20.69,23,79.31,16008
16,9,96,32,33.33,64,66.67,16009
16,10,75,15,20.0,60,80.0,16010
16,11,42,11,26.19,31,73.81,16011
16,12,37,9,24.32,28,75.68,16012
16,13,40,5,12.5,35,87.5,16013
16,14,50,16,32.0,34,68.0,16014
16,15,67,21,31.34,46,68.66,16015
16,16,75,23,30.67,52,69.33,16016
16,17,55,17,30.91,38,69.09,16017
16,18,78,18,23.08,60,76.92,16018
16,19,47,10,21.28,37,78.72,16019
16,20,52,11,21.15,41,78.85,16020
16,21,40,13,32.5,27,67.5,16021
16,22,39,8,20.51,31,79.49,16022
16,23,26,8,30.77,18,69.23,16023
16,24,45,8,17.78,37,82.22,16024
16,25,69,23,33.33,46,66.67,16025
16,26,68,15,22.06,53,77.94,16026
16,27,59,12,20.34,47,79.66,16027
16,28,98,25,25.51,73,74.49,16028
16,29,48,5,10.42,43,89.58,16029
16,30,63,12,19.05,51,80.95,16030
16,31,85,21,24.71,64,75.29,16031
16,32,31,8,25.81,23,74.19,16032
16,33,64,15,23.44,49,76.56,16033
16,34,64,17,26.56,47,73.44,16034
16,35,46,11,23.91,35,76.09,16035
16,36,58,16,27.59,42,72.41,16036
17,1,51,19,37.25,32,62.75,17001
17,2,72,17,23.61,55,76.39,17002
17,3,64,21,32.81,43,67.19,17003
17,4,100,21,21.0,79,79.0,17004
17,5,84,21,25.0,63,75.0,17005
17,6,44,13,29.55,31,70.45,17006
17,7,32,10,31.25,22,68.75,17007
17,8,82,22,26.83,60,73.17,17008
17,9,80,24,30.0,56,70.0,17009
17,10,94,27,28.72,67,71.28,17010
17,11,85,17,20.0,68,80.0,17011
