ward,precinct,total,Shelly A. Harris,Shelly A. Harris Percent,Susan Kennedy Sullivan,Susan Kennedy Sullivan Percent,Freddrenna M. Lyle,Freddrenna M. Lyle Percent,precinct_id
2,25,40,14,35.0,13,32.5,13,32.5,02025
2,26,40,16,40.0,18,45.0,6,15.0,02026
2,27,50,15,30.0,15,30.0,20,40.0,02027
2,28,42,21,50.0,14,33.33,7,16.67,02028
2,29,48,19,39.58,13,27.08,16,33.33,02029
2,30,42,18,42.86,13,30.95,11,26.19,02030
2,31,72,29,40.28,18,25.0,25,34.72,02031
2,32,32,12,37.5,4,12.5,16,50.0,02032
2,33,108,43,39.81,28,25.93,37,34.26,02033
2,34,63,17,26.98,20,31.75,26,41.27,02034
2,35,34,15,44.12,7,20.59,12,35.29,02035
2,36,36,15,41.67,13,36.11,8,22.22,02036
2,37,52,15,28.85,14,26.92,23,44.23,02037
2,38,39,14,35.9,14,35.9,11,28.21,02038
2,39,48,16,33.33,20,41.67,12,25.0,02039
2,40,34,10,29.41,10,29.41,14,41.18,02040
2,41,21,6,28.57,7,33.33,8,38.1,02041
2,42,53,24,45.28,19,35.85,10,18.87,02042
2,43,39,17,43.59,6,15.38,16,41.03,02043
2,44,32,14,43.75,9,28.13,9,28.13,02044
2,45,95,36,37.89,24,25.26,35,36.84,02045
2,46,23,10,43.48,6,26.09,7,30.43,02046
3,1,107,45,42.06,13,12.15,49,45.79,03001
3,2,224,72,32.14,20,8.93,132,58.93,03002
3,3,100,31,31.0,16,16.0,53,53.0,03003
3,4,151,53,35.1,10,6.62,88,58.28,03004
3,5,71,22,30.99,12,16.9,37,52.11,03005
3,6,54,17,31.48,12,22.22,25,46.3,03006
3,7,141,46,32.62,41,29.08,54,38.3,03007
3,8,77,20,25.97,13,16.88,44,57.14,03008
3,9,106,29,27.36,9,8.49,68,64.15,03009
3,10,51,17,33.33,8,15.69,26,50.98,03010
3,11,97,30,30.93,13,13.4,54,55.67,03011
3,12,179,65,36.31,21,11.73,93,51.96,03012
3,13,73,25,34.25,17,23.29,31,42.47,03013
3,14,72,37,51.39,15,20.83,20,27.78,03014
3,15,78,30,38.46,10,12.82,38,48.72,03015
3,16,93,39,41.94,13,13.98,41,44.09,03016
3,17,45,14,31.11,6,13.33,25,55.56,03017
3,18,132,47,35.61,19,14.39,66,50.0,03018
3,19,75,25,33.33,14,18.67,36,48.0,03019
3,20,105,42,40.0,9,8.57,54,51.43,03020
3,21,112,44,39.29,15,13.39,53,47.32,03021
3,22,46,19,41.3,5,10.87,22,47.83,03022
3,23,108,45,41.67,17,15.74,46,42.59,03023
3,24,118,53,44.92,16,13.56,49,41.53,03024
3,25,75,25,33.33,10,13.33,40,53.33,03025
3,26,107,31,28.97,21,19.63,55,51.4,03026
3,27,33,8,24.24,11,33.33,14,42.42,03027
3,28,100,41,41.0,20,20.0,39,39.0,03028
3,29,86,38,44.19,14,16.28,34,39.53,03029
3,30,126,39,30.95,18,14.29,69,54.76,03030
3,31,144,41,28.47,27,18.75,76,52.78,03031
3,32,88,32,36.36,15,17.05,41,46.59,03032
3,33,57,13,22.81,11,19.3,33,57.89,03033
3,34,90,33,36.67,20,22.22,37,41.11,03034
3,35,54,11,20.37,1,1.85,42,77.78,03035
3,36,48,15,31.25,3,6.25,30,62.5,03036
3,37,84,29,34.52,10,11.9,45,53.57,03037
3,38,192,71,36.98,23,11.98,98,51.04,03038
3,39,36,16,44.44,6,16.67,14,38.89,03039
3,40,137,49,35.77,22,16.06,66,48.18,03040
3,41,103,33,32.04,25,24.27,45,43.69,03041
4,1,129,37,28.68,6,4.65,86,66.67,04001
4,2,81,24,29.63,15,18.52,42,51.85,04002
4,3,122,55,45.08,18,14.75,49,40.16,04003
4,4,158,62,39.24,29,18.35,67,42.41,04004
4,5,103,30,29.13,15,14.56,58,56.31,04005
4,6,207,72,34.78,18,8.7,117,56.52,04006
4,7,199,75,37.69,24,12.06,100,50.25,04007
4,8,197,53,26.9,24,12.18,120,60.91,04008
4,9,263,70,26.62,16,6.08,177,67.3,04009
4,10,120,35,29.17,7,5.83,78,65.0,04010
4,11,128,49,38.28,16,12.5,63,49.22,04011
4,12,157,50,31.85,17,10.83,90,57.32,04012
4,13,27,15,55.56,3,11.11,9,33.33,04013
4,14,138,37,26.81,13,9.42,88,63.77,04014
4,15,161,57,35.4,18,11.18,86,53.42,04015
4,16,54,17,31.48,13,24.07,24,44.44,04016
4,17,63,17,26.98,16,25.4,30,47.62,04017
4,18,152,79,51.97,24,15.79,49,32.24,04018
4,19,148,61,41.22,36,24.32,51,34.46,04019
4,20,113,35,30.97,17,15.04,61,53.98,04020
4,21,61,24,39.34,12,19.67,25,40.98,04021
4,22,114,40,35.09,11,9.65,63,55.26,04022
4,23,119,32,26.89,9,7.56,78,65.55,04023
4,24,137,49,35.77,17,12.41,71,51.82,04024
4,25,82,28,34.15,16,19.51,38,46.34,04025
4,26,151,66,43.71,18,11.92,67,44.37,04026
4,27,100,34,34.0,16,16.0,50,50.0,04027
4,28,191,61,31.94,21,10.99,109,57.07,04028
4,29,108,39,36.11,8,7.41,61,56.48,04029
4,30,128,51,39.84,16,12.5,61,47.66,04030
4,31,245,67,27.35,24,9.8,154,62.86,04031
4,32,137,43,31.39,14,10.22,80,58.39,04032
4,33,163,48,29.45,15,9.2,100,61.35,04033
4,34,116,28,24.14,26,22.41,62,53.45,04034
4,35,234,72,30.77,11,4.7,151,64.53,04035
4,36,167,55,32.93,14,8.38,98,58.68,04036
4,37,89,28,31.46,13,14.61,48,53.93,04037
4,38,205,64,31.22,16,7.8,125,60.98,04038
5,1,66,24,36.36,11,16.67,31,46.97,05001
5,2,89,34,38.2,5,5.62,50,56.18,05002
5,3,86,34,39.53,12,13.95,40,46.51,05003
5,4,125,31,24.8,12,9.6,82,65.6,05004
5,5,145,65,44.83,13,8.97,67,46.21,05005
5,6,98,43,43.88,8,8.16,47,47.96,05006
5,7,118,39,33.05,18,15.25,61,51.69,05007
5,8,91,23,25.27,14,15.38,54,59.34,05008
5,9,113,32,28.32,11,9.73,70,61.95,05009
5,10,79,26,32.91,7,8.86,46,58.23,05010
5,11,127,41,32.28,12,9.45,74,58.27,05011
5,12,66,29,43.94,6,9.09,31,46.97,05012
5,13,116,48,41.38,13,11.21,55,47.41,05013
5,14,146,28,19.18,16,10.96,102,69.86,05014
5,15,142,50,35.21,17,11.97,75,52.82,05015
5,16,114,39,34.21,13,11.4,62,54.39,05016
5,17,109,45,41.28,22,20.18,42,38.53,05017
5,18,96,35,36.46,11,11.46,50,52.08,05018
5,19,97,34,35.05,11,11.34,52,53.61,05019
5,20,131,34,25.95,7,5.34,90,68.7,05020
5,21,104,35,33.65,12,11.54,57,54.81,05021
5,22,98,22,22.45,6,6.12,70,71.43,05022
5,23,136,45,33.09,20,14.71,71,52.21,05023
5,24,100,19,19.0,18,18.0,63,63.0,05024
5,25,134,30,22.39,10,7.46,94,70.15,05025
5,26,79,22,27.85,4,5.06,53,67.09,05026
5,27,51,15,29.41,9,17.65,27,52.94,05027
5,28,152,52,34.21,16,10.53,84,55.26,05028
5,29,112,27,24.11,15,13.39,70,62.5,05029
5,30,81,29,35.8,10,12.35,42,51.85,05030
5,31,71,29,40.85,5,7.04,37,52.11,05031
5,32,142,27,19.01,17,11.97,98,69.01,05032
5,33,135,54,40.0,18,13.33,63,46.67,05033
5,34,79,29,36.71,18,22.78,32,40.51,05034
5,35,101,23,22.77,14,13.86,64,63.37,05035
5,36,110,46,41.82,16,14.55,48,43.64,05036
5,37,153,42,27.45,21,13.73,90,58.82,05037
5,38,90,36,40.0,10,11.11,44,48.89,05038
5,39,85,26,30.59,10,11.76,49,57.65,05039
5,40,104,17,16.35,17,16.35,70,67.31,05040
5,41,107,25,23.36,12,11.21,70,65.42,05041
6,1,171,33,19.3,13,7.6,125,73.1,06001
6,2,131,31,23.66,9,6.87,91,69.47,06002
6,3,152,30,19.74,13,8.55,109,71.71,06003
6,4,79,17,21.52,15,18.99,47,59.49,06004
6,5,85,27,31.76,10,11.76,48,56.47,06005
6,6,146,44,30.14,8,5.48,94,64.38,06006
6,7,103,20,19.42,5,4.85,78,75.73,06007
6,8,158,35,22.15,12,7.59,111,70.25,06008
6,9,92,28,30.43,10,10.87,54,58.7,06009
6,10,70,24,34.29,6,8.57,40,57.14,06010
6,11,99,32,32.32,13,13.13,54,54.55,06011
6,12,68,24,35.29,10,14.71,34,50.0,06012
6,13,107,23,21.5,9,8.41,75,70.09,06013
6,14,103,23,22.33,8,7.77,72,69.9,06014
6,15,84,32,38.1,9,10.71,43,51.19,06015
6,16,160,35,21.88,12,7.5,113,70.63,06016
6,17,89,35,39.33,6,6.74,48,53.93,06017
6,18,105,38,36.19,17,16.19,50,47.62,06018
6,19,115,21,18.26,11,9.57,83,72.17,06019
6,20,72,23,31.94,14,19.44,35,48.61,06020
6,21,54,23,42.59,10,18.52,21,38.89,06021
6,22,63,25,39.68,13,20.63,25,39.68,06022
6,23,61,29,47.54,9,14.75,23,37.7,06023
6,24,50,21,42.0,9,18.0,20,40.0,06024
6,25,65,22,33.85,8,12.31,35,53.85,06025
6,26,63,26,41.27,6,9.52,31,49.21,06026
6,27,60,24,40.0,6,10.0,30,50.0,06027
6,28,57,16,28.07,6,10.53,35,61.4,06028
6,29,164,34,20.73,12,7.32,118,71.95,06029
6,30,85,23,27.06,6,7.06,56,65.88,06030
6,31,143,28,19.58,7,4.9,108,75.52,06031
6,32,104,21,20.19,6,5.77,77,74.04,06032
6,33,119,23,19.33,9,7.56,87,73.11,06033
6,34,120,30,25.0,10,8.33,80,66.67,06034
6,35,111,25,22.52,6,5.41,80,72.07,06035
6,36,150,39,26.0,9,6.0,102,68.0,06036
6,37,167,43,25.75,7,4.19,117,70.06,06037
6,38,151,26,17.22,11,7.28,114,75.5,06038
6,39,89,27,30.34,8,8.99,54,60.67,06039
6,40,111,17,15.32,7,6.31,87,78.38,06040
6,41,138,32,23.19,10,7.25,96,69.57,06041
6,42,109,35,32.11,7,6.42,67,61.47,06042
6,43,114,23,20.18,7,6.14,84,73.68,06043
6,44,107,31,28.97,7,6.54,69,64.49,06044
6,45,139,30,21.58,9,6.47,100,71.94,06045
6,46,98,17,17.35,8,8.16,73,74.49,06046
6,47,86,28,32.56,11,12.79,47,54.65,06047
6,48,116,27,23.28,13,11.21,76,65.52,06048
7,1,101,38,37.62,9,8.91,54,53.47,07001
7,2,92,28,30.43,15,16.3,49,53.26,07002
7,3,134,41,30.6,15,11.19,78,58.21,07003
7,4,135,44,32.59,9,6.67,82,60.74,07004
7,5,84,28,33.33,12,14.29,44,52.38,07005
7,6,127,37,29.13,15,11.81,75,59.06,07006
7,7,81,17,20.99,7,8.64,57,70.37,07007
7,8,119,30,25.21,15,12.61,74,62.18,07008
7,9,208,52,25.0,19,9.13,137,65.87,07009
7,10,142,45,31.69,16,11.27,81,57.04,07010
7,11,88,29,32.95,12,13.64,47,53.41,07011
7,12,93,29,31.18,8,8.6,56,60.22,07012
7,13,117,39,33.33,19,16.24,59,50.43,07013
7,14,86,30,34.88,12,13.95,44,51.16,07014
7,15,161,42,26.09,16,9.94,103,63.98,07015
7,16,59,22,37.29,6,10.17,31,52.54,07016
7,17,98,44,44.9,14,14.29,40,40.82,07017
7,18,74,22,29.73,8,10.81,44,59.46,07018
7,19,115,38,33.04,9,7.83,68,59.13,07019
7,20,80,40,50.0,13,16.25,27,33.75,07020
7,21,75,27,36.0,8,10.67,40,53.33,07021
7,22,59,17,28.81,10,16.95,32,54.24,07022
7,23,158,58,36.71,11,6.96,89,56.33,07023
7,24,136,47,34.56,25,18.38,64,47.06,07024
7,25,81,29,35.8,19,23.46,33,40.74,07025
7,26,103,34,33.01,7,6.8,62,60.19,07026
7,27,96,36,37.5,10,10.42,50,52.08,07027
7,28,69,33,47.83,5,7.25,31,44.93,07028
7,29,85,22,25.88,12,14.12,51,60.0,07029
7,30,71,24,33.8,22,30.99,25,35.21,07030
7,31,46,17,36.96,11,23.91,18,39.13,07031
7,32,209,58,27.75,11,5.26,140,66.99,07032
7,33,201,72,35.82,16,7.96,113,56.22,07033
7,34,161,55,34.16,9,5.59,97,60.25,07034
7,35,78,19,24.36,6,7.69,53,67.95,07035
7,36,152,46,30.26,12,7.89,94,61.84,07036
7,37,128,38,29.69,16,12.5,74,57.81,07037
7,38,89,32,35.96,11,12.36,46,51.69,07038
7,39,99,28,28.28,11,11.11,60,60.61,07039
7,40,124,44,35.48,12,9.68,68,54.84,07040
7,41,92,31,33.7,9,9.78,52,56.52,07041
7,42,88,33,37.5,9,10.23,46,52.27,07042
7,43,118,52,44.07,10,8.47,56,47.46,07043
7,44,76,24,31.58,6,7.89,46,60.53,07044
7,45,82,32,39.02,15,18.29,35,42.68,07045
7,46,74,36,48.65,12,16.22,26,35.14,07046
8,1,67,21,31.34,4,5.97,42,62.69,08001
8,2,87,27,31.03,8,9.2,52,59.77,08002
8,3,217,63,29.03,18,8.29,136,62.67,08003
8,4,168,37,22.02,10,5.95,121,72.02,08004
8,5,211,80,37.91,9,4.27,122,57.82,08005
8,6,130,37,28.46,10,7.69,83,63.85,08006
8,7,175,59,33.71,12,6.86,104,59.43,08007
8,8,182,65,35.71,12,6.59,105,57.69,08008
8,9,90,19,21.11,9,10.0,62,68.89,08009
8,10,206,48,23.3,7,3.4,151,73.3,08010
8,11,136,35,25.74,6,4.41,95,69.85,08011
8,12,117,50,42.74,10,8.55,57,48.72,08012
8,13,107,33,30.84,9,8.41,65,60.75,08013
8,14,59,25,42.37,7,11.86,27,45.76,08014
8,15,83,24,28.92,4,4.82,55,66.27,08015
8,16,26,10,38.46,0,0.0,16,61.54,08016
8,17,130,37,28.46,6,4.62,87,66.92,08017
8,18,99,32,32.32,16,16.16,51,51.52,08018
8,19,174,55,31.61,3,1.72,116,66.67,08019
8,20,133,49,36.84,9,6.77,75,56.39,08020
8,21,131,36,27.48,11,8.4,84,64.12,08021
8,22,116,46,39.66,7,6.03,63,54.31,08022
8,23,93,29,31.18,5,5.38,59,63.44,08023
8,24,80,29,36.25,8,10.0,43,53.75,08024
8,25,115,34,29.57,14,12.17,67,58.26,08025
8,26,111,29,26.13,8,7.21,74,66.67,08026
8,27,172,48,27.91,10,5.81,114,66.28,08027
8,28,125,35,28.0,6,4.8,84,67.2,08028
8,29,154,47,30.52,17,11.04,90,58.44,08029
8,30,125,34,27.2,12,9.6,79,63.2,08030
8,31,112,35,31.25,7,6.25,70,62.5,08031
8,32,102,41,40.2,10,9.8,51,50.0,08032
8,33,123,52,42.28,16,13.01,55,44.72,08033
8,34,117,42,35.9,7,5.98,68,58.12,08034
8,35,146,37,25.34,8,5.48,101,69.18,08035
8,36,134,38,28.36,12,8.96,84,62.69,08036
8,37,124,36,29.03,6,4.84,82,66.13,08037
8,38,69,19,27.54,7,10.14,43,62.32,08038
8,39,111,30,27.03,15,13.51,66,59.46,08039
8,40,82,25,30.49,8,9.76,49,59.76,08040
8,41,108,36,33.33,9,8.33,63,58.33,08041
8,42,166,39,23.49,12,7.23,115,69.28,08042
8,43,57,18,31.58,11,19.3,28,49.12,08043
8,44,77,21,27.27,9,11.69,47,61.04,08044
8,45,79,21,26.58,10,12.66,48,60.76,08045
8,46,89,29,32.58,4,4.49,56,62.92,08046
8,47,106,39,36.79,8,7.55,59,55.66,08047
8,48,98,26,26.53,8,8.16,64,65.31,08048
8,49,134,51,38.06,10,7.46,73,54.48,08049
8,50,124,30,24.19,11,8.87,83,66.94,08050
8,51,153,42,27.45,7,4.58,104,67.97,08051
8,52,181,44,24.31,4,2.21,133,73.48,08052
8,53,70,35,50.0,8,11.43,27,38.57,08053
8,54,77,22,28.57,5,6.49,50,64.94,08054
8,55,92,38,41.3,5,5.43,49,53.26,08055
8,56,151,44,29.14,9,5.96,98,64.9,08056
9,1,114,32,28.07,11,9.65,71,62.28,09001
9,2,115,50,43.48,8,6.96,57,49.57,09002
9,3,52,22,42.31,17,32.69,13,25.0,09003
9,4,77,30,38.96,11,14.29,36,46.75,09004
9,5,107,39,36.45,6,5.61,62,57.94,09005
9,6,111,45,40.54,8,7.21,58,52.25,09006
9,7,82,39,47.56,9,10.98,34,41.46,09007
9,8,67,23,34.33,6,8.96,38,56.72,09008
9,9,137,43,31.39,20,14.6,74,54.01,09009
9,10,75,30,40.0,13,17.33,32,42.67,09010
9,11,79,32,40.51,5,6.33,42,53.16,09011
9,12,126,33,26.19,9,7.14,84,66.67,09012
9,13,138,52,37.68,14,10.14,72,52.17,09013
9,14,161,47,29.19,10,6.21,104,64.6,09014
9,15,62,27,43.55,10,16.13,25,40.32,09015
9,16,130,63,48.46,8,6.15,59,45.38,09016
9,17,79,43,54.43,14,17.72,22,27.85,09017
9,18,81,39,48.15,10,12.35,32,39.51,09018
9,19,98,43,43.88,5,5.1,50,51.02,09019
9,20,127,48,37.8,11,8.66,68,53.54,09020
9,21,85,30,35.29,15,17.65,40,47.06,09021
9,22,125,33,26.4,17,13.6,75,60.0,09022
9,23,135,22,16.3,12,8.89,101,74.81,09023
9,24,128,31,24.22,4,3.13,93,72.66,09024
9,25,103,25,24.27,6,5.83,72,69.9,09025
9,26,58,30,51.72,13,22.41,15,25.86,09026
9,27,104,53,50.96,12,11.54,39,37.5,09027
9,28,30,14,46.67,5,16.67,11,36.67,09028
9,29,100,55,55.0,9,9.0,36,36.0,09029
9,30,81,35,43.21,4,4.94,42,51.85,09030
9,31,80,30,37.5,7,8.75,43,53.75,09031
9,32,102,34,33.33,17,16.67,51,50.0,09032
9,33,85,37,43.53,10,11.76,38,44.71,09033
9,34,82,36,43.9,8,9.76,38,46.34,09034
9,35,132,55,41.67,13,9.85,64,48.48,09035
9,36,88,21,23.86,10,11.36,57,64.77,09036
9,37,107,36,33.64,30,28.04,41,38.32,09037
9,38,83,33,39.76,8,9.64,42,50.6,09038
9,39,109,41,37.61,10,9.17,58,53.21,09039
9,40,127,40,31.5,9,7.09,78,61.42,09040
9,41,92,36,39.13,13,14.13,43,46.74,09041
9,42,153,22,14.38,11,7.19,120,78.43,09042
9,43,76,28,36.84,6,7.89,42,55.26,09043
9,44,94,44,46.81,9,9.57,41,43.62,09044
9,45,88,31,35.23,13,14.77,44,50.0,09045
9,46,96,36,37.5,17,17.71,43,44.79,09046
9,47,166,39,23.49,9,5.42,118,71.08,09047
9,48,125,27,21.6,6,4.8,92,73.6,09048
9,49,121,23,19.01,10,8.26,88,72.73,09049
9,50,179,28,15.64,7,3.91,144,80.45,09050
9,51,136,33,24.26,9,6.62,94,69.12,09051
10,1,72,34,47.22,12,16.67,26,36.11,10001
10,2,65,19,29.23,38,58.46,8,12.31,10002
10,3,60,15,25.0,32,53.33,13,21.67,10003
10,4,48,16,33.33,19,39.58,13,27.08,10004
10,5,40,17,42.5,19,47.5,4,10.0,10005
10,6,36,8,22.22,20,55.56,8,22.22,10006
10,7,29,12,41.38,14,48.28,3,10.34,10007
10,8,31,14,45.16,6,19.35,11,35.48,10008
10,9,56,17,30.36,28,50.0,11,19.64,10009
10,10,40,9,22.5,20,50.0,11,27.5,10010
10,11,47,13,27.66,22,46.81,12,25.53,10011
10,12,18,4,22.22,10,55.56,4,22.22,10012
10,13,70,20,28.57,30,42.86,20,28.57,10013
10,14,63,21,33.33,35,55.56,7,11.11,10014
10,15,191,78,40.84,28,14.66,85,44.5,10015
10,16,33,6,18.18,18,54.55,9,27.27,10016
10,17,64,26,40.63,27,42.19,11,17.19,10017
10,18,43,17,39.53,15,34.88,11,25.58,10018
10,19,40,13,32.5,19,47.5,8,20.0,10019
10,20,60,14,23.33,26,43.33,20,33.33,10020
10,21,47,9,19.15,29,61.7,9,19.15,10021
10,22,28,8,28.57,13,46.43,7,25.0,10022
10,23,46,18,39.13,22,47.83,6,13.04,10023
10,24,33,10,30.3,19,57.58,4,12.12,10024
10,25,19,7,36.84,6,31.58,6,31.58,10025
10,26,36,11,30.56,14,38.89,11,30.56,10026
10,27,68,25,36.76,15,22.06,28,41.18,10027
10,28,46,17,36.96,22,47.83,7,15.22,10028
10,29,38,5,13.16,22,57.89,11,28.95,10029
10,30,49,13,26.53,28,57.14,8,16.33,10030
10,31,24,10,41.67,7,29.17,7,29.17,10031
10,32,36,11,30.56,17,47.22,8,22.22,10032
10,33,26,7,26.92,16,61.54,3,11.54,10033
10,34,44,21,47.73,12,27.27,11,25.0,10034
10,35,54,14,25.93,28,51.85,12,22.22,10035
10,36,29,11,37.93,11,37.93,7,24.14,10036
11,1,88,21,23.86,32,36.36,35,39.77,11001
11,2,9,2,22.22,4,44.44,3,33.33,11002
11,3,33,17,51.52,12,36.36,4,12.12,11003
11,4,65,22,33.85,31,47.69,12,18.46,11004
11,5,59,31,52.54,13,22.03,15,25.42,11005
11,6,30,6,20.0,11,36.67,13,43.33,11006
11,7,40,18,45.0,8,20.0,14,35.0,11007
11,8,53,15,28.3,24,45.28,14,26.42,11008
11,9,66,17,25.76,28,42.42,21,31.82,11009
11,10,76,24,31.58,26,34.21,26,34.21,11010
11,11,53,15,28.3,25,47.17,13,24.53,11011
11,12,151,33,21.85,72,47.68,46,30.46,11012
11,13,129,23,17.83,47,36.43,59,45.74,11013
11,14,48,13,27.08,23,47.92,12,25.0,11014
11,15,41,13,31.71,11,26.83,17,41.46,11015
11,16,50,8,16.0,25,50.0,17,34.0,11016
11,17,64,23,35.94,29,45.31,12,18.75,11017
11,18,85,24,28.24,40,47.06,21,24.71,11018
11,19,70,21,30.0,28,40.0,21,30.0,11019
11,20,80,24,30.0,26,32.5,30,37.5,11020
11,21,186,24,12.9,63,33.87,99,53.23,11021
11,22,96,25,26.04,29,30.21,42,43.75,11022
11,23,80,23,28.75,25,31.25,32,40.0,11023
11,24,220,26,11.82,65,29.55,129,58.64,11024
11,25,65,14,21.54,15,23.08,36,55.38,11025
11,26,129,29,22.48,43,33.33,57,44.19,11026
11,27,30,7,23.33,14,46.67,9,30.0,11027
11,28,46,14,30.43,17,36.96,15,32.61,11028
11,29,134,24,17.91,41,30.6,69,51.49,11029
11,30,42,16,38.1,11,26.19,15,35.71,11030
11,31,88,15,17.05,33,37.5,40,45.45,11031
11,32,51,8,15.69,14,27.45,29,56.86,11032
11,33,36,12,33.33,9,25.0,15,41.67,11033
11,34,55,17,30.91,13,23.64,25,45.45,11034
11,35,69,28,40.58,15,21.74,26,37.68,11035
11,36,38,17,44.74,13,34.21,8,21.05,11036
11,37,23,10,43.48,5,21.74,8,34.78,11037
11,38,21,5,23.81,9,42.86,7,33.33,11038
12,1,71,16,22.54,39,54.93,16,22.54,12001
12,2,33,12,36.36,18,54.55,3,9.09,12002
12,3,64,26,40.63,26,40.63,12,18.75,12003
12,4,47,14,29.79,27,57.45,6,12.77,12004
12,5,50,20,40.0,24,48.0,6,12.0,12005
12,6,53,14,26.42,30,56.6,9,16.98,12006
12,7,44,13,29.55,19,43.18,12,27.27,12007
12,8,71,21,29.58,23,32.39,27,38.03,12008
12,9,49,19,38.78,17,34.69,13,26.53,12009
12,10,40,16,40.0,15,37.5,9,22.5,12010
12,11,53,21,39.62,25,47.17,7,13.21,12011
12,12,41,13,31.71,21,51.22,7,17.07,12012
12,13,86,23,26.74,48,55.81,15,17.44,12013
12,14,33,13,39.39,11,33.33,9,27.27,12014
12,15,74,22,29.73,36,48.65,16,21.62,12015
12,16,36,4,11.11,25,69.44,7,19.44,12016
12,17,56,10,17.86,35,62.5,11,19.64,12017
12,18,34,8,23.53,20,58.82,6,17.65,12018
12,19,58,22,37.93,23,39.66,13,22.41,12019
12,20,69,19,27.54,26,37.68,24,34.78,12020
12,21,57,21,36.84,28,49.12,8,14.04,12021
12,22,32,12,37.5,20,62.5,0,0.0,12022
12,23,60,20,33.33,25,41.67,15,25.0,12023
13,1,129,19,14.73,39,30.23,71,55.04,13001
13,2,127,35,27.56,42,33.07,50,39.37,13002
13,3,56,14,25.0,24,42.86,18,32.14,13003
