ward,precinct,total,Daniel William Lipinski,Daniel William Lipinski Percent,precinct_id
14,5,61,61,100.0,14005
14,7,60,60,100.0,14007
14,8,50,50,100.0,14008
14,9,72,72,100.0,14009
14,12,74,74,100.0,14012
14,18,34,34,100.0,14018
14,21,79,79,100.0,14021
14,22,82,82,100.0,14022
14,23,113,113,100.0,14023
14,24,130,130,100.0,14024
14,26,44,44,100.0,14026
14,29,91,91,100.0,14029
15,1,3,3,100.0,15001
15,5,9,9,100.0,15005
15,8,16,16,100.0,15008
15,13,25,25,100.0,15013
15,14,13,13,100.0,15014
15,15,13,13,100.0,15015
15,16,41,41,100.0,15016
15,19,83,83,100.0,15019
16,1,27,27,100.0,16001
16,7,1,1,100.0,16007
16,23,28,28,100.0,16023
16,32,25,25,100.0,16032
16,35,12,12,100.0,16035
18,15,42,42,100.0,18015
18,24,56,56,100.0,18024
18,25,47,47,100.0,18025
18,30,45,45,100.0,18030
18,40,76,76,100.0,18040
18,43,80,80,100.0,18043
18,46,67,67,100.0,18046
19,1,107,107,100.0,19001
19,2,5,5,100.0,19002
19,3,66,66,100.0,19003
19,4,118,118,100.0,19004
19,5,52,52,100.0,19005
19,6,82,82,100.0,19006
19,7,122,122,100.0,19007
19,8,104,104,100.0,19008
19,9,86,86,100.0,19009
19,10,118,118,100.0,19010
19,11,91,91,100.0,19011
19,12,92,92,100.0,19012
19,15,99,99,100.0,19015
19,16,106,106,100.0,19016
19,17,93,93,100.0,19017
19,18,105,105,100.0,19018
19,19,138,138,100.0,19019
19,21,81,81,100.0,19021
19,22,114,114,100.0,19022
19,23,103,103,100.0,19023
19,24,97,97,100.0,19024
19,25,80,80,100.0,19025
19,26,119,119,100.0,19026
19,29,64,64,100.0,19029
19,30,86,86,100.0,19030
19,32,103,103,100.0,19032
19,33,90,90,100.0,19033
19,34,102,102,100.0,19034
19,35,123,123,100.0,19035
19,41,91,91,100.0,19041
19,44,104,104,100.0,19044
19,45,130,130,100.0,19045
19,46,150,150,100.0,19046
19,50,70,70,100.0,19050
19,51,147,147,100.0,19051
19,52,99,99,100.0,19052
19,53,83,83,100.0,19053
19,54,64,64,100.0,19054
19,55,58,58,100.0,19055
19,56,133,133,100.0,19056
19,57,110,110,100.0,19057
20,4,2,2,100.0,20004
20,15,20,20,100.0,20015
22,1,82,82,100.0,22001
22,2,73,73,100.0,22002
22,8,69,69,100.0,22008
22,12,77,77,100.0,22012
22,23,122,122,100.0,22023
23,1,131,131,100.0,23001
23,2,81,81,100.0,23002
23,3,94,94,100.0,23003
23,4,116,116,100.0,23004
23,5,59,59,100.0,23005
23,6,115,115,100.0,23006
23,7,55,55,100.0,23007
23,8,98,98,100.0,23008
23,9,20,20,100.0,23009
23,10,59,59,100.0,23010
23,11,43,43,100.0,23011
23,12,75,75,100.0,23012
23,14,87,87,100.0,23014
23,15,22,22,100.0,23015
23,16,79,79,100.0,23016
23,17,13,13,100.0,23017
23,18,62,62,100.0,23018
23,19,31,31,100.0,23019
23,20,27,27,100.0,23020
23,21,84,84,100.0,23021
23,22,78,78,100.0,23022
23,23,93,93,100.0,23023
23,25,58,58,100.0,23025
23,26,57,57,100.0,23026
23,27,89,89,100.0,23027
23,28,84,84,100.0,23028
23,29,51,51,100.0,23029
23,30,57,57,100.0,23030
23,31,16,16,100.0,23031
23,32,58,58,100.0,23032
23,33,41,41,100.0,23033
23,34,21,21,100.0,23034
23,35,60,60,100.0,23035
23,36,125,125,100.0,23036
23,37,76,76,100.0,23037
23,38,61,61,100.0,23038
23,39,29,29,100.0,23039
25,32,34,34,100.0,25032
