ward,precinct,total,Anthony C. ''Tony'' Kyriakopoulos,Anthony C. ''Tony'' Kyriakopoulos Percent,Katherine A. O'Dell,Katherine A. O'Dell Percent,precinct_id
45,37,47,20,42.55,27,57.45,45037
45,38,44,21,47.73,23,52.27,45038
45,39,52,23,44.23,29,55.77,45039
45,40,58,27,46.55,31,53.45,45040
45,41,42,25,59.52,17,40.48,45041
45,42,88,36,40.91,52,59.09,45042
45,43,60,33,55.0,27,45.0,45043
45,44,72,38,52.78,34,47.22,45044
45,45,21,12,57.14,9,42.86,45045
45,46,37,25,67.57,12,32.43,45046
45,47,46,30,65.22,16,34.78,45047
45,48,29,12,41.38,17,58.62,45048
46,24,0,0,0.0,0,0.0,46024
47,1,22,14,63.64,8,36.36,47001
47,2,57,33,57.89,24,42.11,47002
47,3,96,47,48.96,49,51.04,47003
47,4,58,37,63.79,21,36.21,47004
47,5,45,26,57.78,19,42.22,47005
47,6,37,21,56.76,16,43.24,47006
47,7,30,20,66.67,10,33.33,47007
47,8,34,25,73.53,9,26.47,47008
47,9,0,0,0.0,0,0.0,47009
47,10,34,27,79.41,7,20.59,47010
47,12,39,17,43.59,22,56.41,47012
47,13,8,7,87.5,1,12.5,47013
47,14,34,18,52.94,16,47.06,47014
47,16,61,38,62.3,23,37.7,47016
47,17,54,29,53.7,25,46.3,47017
47,20,45,34,75.56,11,24.44,47020
47,21,50,36,72.0,14,28.0,47021
47,22,64,40,62.5,24,37.5,47022
47,25,32,22,68.75,10,31.25,47025
47,26,27,17,62.96,10,37.04,47026
47,27,40,24,60.0,16,40.0,47027
47,28,46,26,56.52,20,43.48,47028
47,29,55,32,58.18,23,41.82,47029
47,30,62,31,50.0,31,50.0,47030
47,31,55,30,54.55,25,45.45,47031
47,32,51,38,74.51,13,25.49,47032
47,33,28,14,50.0,14,50.0,47033
47,34,39,21,53.85,18,46.15,47034
47,35,45,25,55.56,20,44.44,47035
47,36,55,32,58.18,23,41.82,47036
47,37,42,27,64.29,15,35.71,47037
47,38,36,25,69.44,11,30.56,47038
47,39,55,33,60.0,22,40.0,47039
47,40,23,14,60.87,9,39.13,47040
47,42,7,4,57.14,3,42.86,47042
47,43,41,24,58.54,17,41.46,47043
47,45,48,31,64.58,17,35.42,47045
47,46,53,35,66.04,18,33.96,47046
47,47,49,20,40.82,29,59.18,47047
47,48,25,11,44.0,14,56.0,47048
50,23,36,20,55.56,16,44.44,50023
50,24,3,3,100.0,0,0.0,50024
50,26,2,0,0.0,2,100.0,50026
50,30,3,2,66.67,1,33.33,50030
50,31,14,3,21.43,11,78.57,50031
