ward,precinct,total,Stephen J. Feldman,Stephen J. Feldman Percent,Diana Rosario,Diana Rosario Percent,precinct_id
6,12,65,31,47.69,34,52.31,06012
6,13,91,36,39.56,55,60.44,06013
6,14,82,36,43.9,46,56.1,06014
6,15,68,34,50.0,34,50.0,06015
6,16,131,48,36.64,83,63.36,06016
6,17,73,27,36.99,46,63.01,06017
6,18,83,41,49.4,42,50.6,06018
6,19,95,31,32.63,64,67.37,06019
6,20,64,31,48.44,33,51.56,06020
6,21,45,17,37.78,28,62.22,06021
6,22,55,20,36.36,35,63.64,06022
6,23,54,26,48.15,28,51.85,06023
6,24,46,23,50.0,23,50.0,06024
6,25,54,26,48.15,28,51.85,06025
6,26,56,21,37.5,35,62.5,06026
6,27,55,24,43.64,31,56.36,06027
6,28,51,23,45.1,28,54.9,06028
6,29,135,56,41.48,79,58.52,06029
6,30,69,25,36.23,44,63.77,06030
6,31,125,45,36.0,80,64.0,06031
6,32,92,40,43.48,52,56.52,06032
6,33,106,37,34.91,69,65.09,06033
6,34,102,31,30.39,71,69.61,06034
6,35,95,39,41.05,56,58.95,06035
6,36,123,41,33.33,82,66.67,06036
6,37,143,57,39.86,86,60.14,06037
6,38,120,47,39.17,73,60.83,06038
6,39,77,24,31.17,53,68.83,06039
6,40,100,43,43.0,57,57.0,06040
6,41,119,49,41.18,70,58.82,06041
6,42,96,40,41.67,56,58.33,06042
6,43,89,41,46.07,48,53.93,06043
6,44,92,36,39.13,56,60.87,06044
6,45,117,46,39.32,71,60.68,06045
6,46,80,32,40.0,48,60.0,06046
6,47,72,33,45.83,39,54.17,06047
6,48,93,35,37.63,58,62.37,06048
7,1,89,34,38.2,55,61.8,07001
7,2,83,34,40.96,49,59.04,07002
7,3,108,46,42.59,62,57.41,07003
7,4,115,47,40.87,68,59.13,07004
7,5,73,24,32.88,49,67.12,07005
7,6,118,41,34.75,77,65.25,07006
7,7,63,20,31.75,43,68.25,07007
7,8,103,27,26.21,76,73.79,07008
7,9,174,61,35.06,113,64.94,07009
7,10,129,39,30.23,90,69.77,07010
7,11,80,26,32.5,54,67.5,07011
7,12,76,33,43.42,43,56.58,07012
7,13,91,38,41.76,53,58.24,07013
7,14,77,23,29.87,54,70.13,07014
7,15,138,46,33.33,92,66.67,07015
7,16,56,26,46.43,30,53.57,07016
7,17,80,38,47.5,42,52.5,07017
7,18,61,27,44.26,34,55.74,07018
7,19,95,34,35.79,61,64.21,07019
7,20,67,28,41.79,39,58.21,07020
7,21,63,22,34.92,41,65.08,07021
7,22,53,20,37.74,33,62.26,07022
7,23,134,52,38.81,82,61.19,07023
7,24,113,42,37.17,71,62.83,07024
7,25,75,23,30.67,52,69.33,07025
7,26,93,24,25.81,69,74.19,07026
7,27,78,22,28.21,56,71.79,07027
7,28,63,29,46.03,34,53.97,07028
7,29,73,32,43.84,41,56.16,07029
7,30,62,24,38.71,38,61.29,07030
7,31,38,6,15.79,32,84.21,07031
7,32,184,69,37.5,115,62.5,07032
7,33,181,63,34.81,118,65.19,07033
7,34,143,57,39.86,86,60.14,07034
7,35,69,21,30.43,48,69.57,07035
7,36,137,46,33.58,91,66.42,07036
7,37,111,52,46.85,59,53.15,07037
7,38,78,30,38.46,48,61.54,07038
7,39,88,32,36.36,56,63.64,07039
7,40,109,39,35.78,70,64.22,07040
7,41,78,28,35.9,50,64.1,07041
7,42,82,28,34.15,54,65.85,07042
7,43,105,48,45.71,57,54.29,07043
7,44,70,32,45.71,38,54.29,07044
7,45,74,23,31.08,51,68.92,07045
7,46,60,24,40.0,36,60.0,07046
8,1,59,19,32.2,40,67.8,08001
8,2,77,26,33.77,51,66.23,08002
8,3,194,64,32.99,130,67.01,08003
8,4,148,34,22.97,114,77.03,08004
8,5,179,74,41.34,105,58.66,08005
8,6,121,34,28.1,87,71.9,08006
8,7,161,62,38.51,99,61.49,08007
8,8,153,73,47.71,80,52.29,08008
8,9,83,28,33.73,55,66.27,08009
8,10,181,50,27.62,131,72.38,08010
8,11,121,38,31.4,83,68.6,08011
8,12,106,48,45.28,58,54.72,08012
8,13,91,25,27.47,66,72.53,08013
8,14,56,28,50.0,28,50.0,08014
8,15,72,27,37.5,45,62.5,08015
8,16,20,6,30.0,14,70.0,08016
8,17,107,44,41.12,63,58.88,08017
8,18,84,30,35.71,54,64.29,08018
8,19,165,62,37.58,103,62.42,08019
8,20,118,42,35.59,76,64.41,08020
8,21,115,37,32.17,78,67.83,08021
8,22,96,31,32.29,65,67.71,08022
8,23,84,26,30.95,58,69.05,08023
8,24,74,23,31.08,51,68.92,08024
8,25,101,42,41.58,59,58.42,08025
8,26,94,35,37.23,59,62.77,08026
8,27,149,41,27.52,108,72.48,08027
8,28,108,42,38.89,66,61.11,08028
8,29,137,32,23.36,105,76.64,08029
8,30,109,38,34.86,71,65.14,08030
8,31,98,31,31.63,67,68.37,08031
8,32,93,35,37.63,58,62.37,08032
8,33,103,42,40.78,61,59.22,08033
8,34,102,28,27.45,74,72.55,08034
8,35,120,36,30.0,84,70.0,08035
8,36,108,36,33.33,72,66.67,08036
8,37,107,36,33.64,71,66.36,08037
8,38,64,24,37.5,40,62.5,08038
8,39,98,32,32.65,66,67.35,08039
8,40,74,25,33.78,49,66.22,08040
8,41,92,29,31.52,63,68.48,08041
8,42,137,40,29.2,97,70.8,08042
8,43,48,20,41.67,28,58.33,08043
8,44,69,19,27.54,50,72.46,08044
8,45,70,21,30.0,49,70.0,08045
8,46,76,31,40.79,45,59.21,08046
8,47,89,35,39.33,54,60.67,08047
8,48,91,28,30.77,63,69.23,08048
8,49,119,44,36.97,75,63.03,08049
8,50,108,28,25.93,80,74.07,08050
8,51,130,40,30.77,90,69.23,08051
8,52,154,48,31.17,106,68.83,08052
8,53,62,32,51.61,30,48.39,08053
8,54,70,20,28.57,50,71.43,08054
8,55,83,25,30.12,58,69.88,08055
8,56,126,44,34.92,82,65.08,08056
9,1,92,28,30.43,64,69.57,09001
9,2,101,52,51.49,49,48.51,09002
9,3,45,16,35.56,29,64.44,09003
9,4,70,29,41.43,41,58.57,09004
9,5,91,33,36.26,58,63.74,09005
9,6,98,43,43.88,55,56.12,09006
9,7,76,36,47.37,40,52.63,09007
9,8,58,25,43.1,33,56.9,09008
9,9,117,40,34.19,77,65.81,09009
9,10,69,27,39.13,42,60.87,09010
9,11,71,31,43.66,40,56.34,09011
9,12,110,43,39.09,67,60.91,09012
9,13,113,54,47.79,59,52.21,09013
9,14,147,55,37.41,92,62.59,09014
9,15,51,20,39.22,31,60.78,09015
9,16,110,50,45.45,60,54.55,09016
9,17,67,37,55.22,30,44.78,09017
9,18,66,27,40.91,39,59.09,09018
9,19,92,44,47.83,48,52.17,09019
9,20,121,44,36.36,77,63.64,09020
9,21,71,28,39.44,43,60.56,09021
9,22,115,56,48.7,59,51.3,09022
9,23,115,40,34.78,75,65.22,09023
9,24,110,45,40.91,65,59.09,09024
9,25,94,37,39.36,57,60.64,09025
9,26,55,20,36.36,35,63.64,09026
9,27,92,40,43.48,52,56.52,09027
9,28,28,8,28.57,20,71.43,09028
9,29,75,45,60.0,30,40.0,09029
9,30,72,33,45.83,39,54.17,09030
9,31,73,29,39.73,44,60.27,09031
9,32,80,28,35.0,52,65.0,09032
9,33,77,31,40.26,46,59.74,09033
9,34,76,36,47.37,40,52.63,09034
9,35,113,47,41.59,66,58.41,09035
9,36,72,31,43.06,41,56.94,09036
9,37,100,40,40.0,60,60.0,09037
9,38,71,23,32.39,48,67.61,09038
9,39,98,42,42.86,56,57.14,09039
9,40,104,48,46.15,56,53.85,09040
9,41,74,37,50.0,37,50.0,09041
9,42,124,41,33.06,83,66.94,09042
9,43,72,23,31.94,49,68.06,09043
9,44,93,44,47.31,49,52.69,09044
9,45,81,28,34.57,53,65.43,09045
9,46,87,31,35.63,56,64.37,09046
9,47,145,57,39.31,88,60.69,09047
9,48,106,45,42.45,61,57.55,09048
9,49,106,36,33.96,70,66.04,09049
9,50,154,52,33.77,102,66.23,09050
9,51,124,52,41.94,72,58.06,09051
10,1,56,19,33.93,37,66.07,10001
10,2,56,15,26.79,41,73.21,10002
10,3,56,14,25.0,42,75.0,10003
10,4,41,9,21.95,32,78.05,10004
10,5,35,11,31.43,24,68.57,10005
10,6,35,7,20.0,28,80.0,10006
10,7,29,8,27.59,21,72.41,10007
10,8,29,14,48.28,15,51.72,10008
10,9,48,11,22.92,37,77.08,10009
10,10,37,7,18.92,30,81.08,10010
10,11,45,8,17.78,37,82.22,10011
10,12,20,3,15.0,17,85.0,10012
10,13,63,14,22.22,49,77.78,10013
10,14,64,6,9.38,58,90.63,10014
10,15,171,90,52.63,81,47.37,10015
10,16,29,5,17.24,24,82.76,10016
10,17,54,13,24.07,41,75.93,10017
10,18,41,15,36.59,26,63.41,10018
10,19,38,14,36.84,24,63.16,10019
10,20,57,10,17.54,47,82.46,10020
10,21,44,7,15.91,37,84.09,10021
10,22,24,1,4.17,23,95.83,10022
10,23,44,12,27.27,32,72.73,10023
10,24,30,10,33.33,20,66.67,10024
10,25,18,8,44.44,10,55.56,10025
10,26,35,5,14.29,30,85.71,10026
10,27,64,26,40.63,38,59.38,10027
10,28,48,11,22.92,37,77.08,10028
10,29,36,4,11.11,32,88.89,10029
10,30,50,9,18.0,41,82.0,10030
10,31,25,3,12.0,22,88.0,10031
10,32,35,5,14.29,30,85.71,10032
10,33,23,7,30.43,16,69.57,10033
10,34,38,4,10.53,34,89.47,10034
10,35,46,10,21.74,36,78.26,10035
10,36,27,9,33.33,18,66.67,10036
11,1,77,24,31.17,53,68.83,11001
11,2,9,4,44.44,5,55.56,11002
11,3,33,5,15.15,28,84.85,11003
11,4,60,15,25.0,45,75.0,11004
11,5,55,13,23.64,42,76.36,11005
11,6,26,7,26.92,19,73.08,11006
11,7,37,8,21.62,29,78.38,11007
11,8,47,14,29.79,33,70.21,11008
11,9,61,22,36.07,39,63.93,11009
11,10,68,14,20.59,54,79.41,11010
11,11,52,17,32.69,35,67.31,11011
11,12,123,48,39.02,75,60.98,11012
11,13,109,28,25.69,81,74.31,11013
11,14,44,17,38.64,27,61.36,11014
11,15,33,6,18.18,27,81.82,11015
11,16,41,10,24.39,31,75.61,11016
11,17,60,18,30.0,42,70.0,11017
11,18,75,27,36.0,48,64.0,11018
11,19,59,16,27.12,43,72.88,11019
11,20,78,23,29.49,55,70.51,11020
11,21,181,40,22.1,141,77.9,11021
11,22,89,16,17.98,73,82.02,11022
11,23,78,10,12.82,68,87.18,11023
11,24,203,25,12.32,178,87.68,11024
11,25,59,7,11.86,52,88.14,11025
11,26,114,21,18.42,93,81.58,11026
11,27,31,7,22.58,24,77.42,11027
11,28,39,14,35.9,25,64.1,11028
11,29,128,23,17.97,105,82.03,11029
11,30,39,17,43.59,22,56.41,11030
11,31,87,25,28.74,62,71.26,11031
11,32,46,6,13.04,40,86.96,11032
11,33,36,5,13.89,31,86.11,11033
11,34,50,21,42.0,29,58.0,11034
11,35,58,19,32.76,39,67.24,11035
11,36,35,14,40.0,21,60.0,11036
11,37,19,4,21.05,15,78.95,11037
11,38,22,3,13.64,19,86.36,11038
12,1,69,19,27.54,50,72.46,12001
12,2,32,10,31.25,22,68.75,12002
12,3,63,16,25.4,47,74.6,12003
12,4,47,13,27.66,34,72.34,12004
12,5,44,12,27.27,32,72.73,12005
12,6,50,8,16.0,42,84.0,12006
12,7,39,3,7.69,36,92.31,12007
12,8,66,14,21.21,52,78.79,12008
12,9,48,16,33.33,32,66.67,12009
12,10,38,3,7.89,35,92.11,12010
12,11,50,13,26.0,37,74.0,12011
12,12,40,6,15.0,34,85.0,12012
12,13,86,20,23.26,66,76.74,12013
12,14,31,6,19.35,25,80.65,12014
12,15,71,21,29.58,50,70.42,12015
12,16,36,5,13.89,31,86.11,12016
12,17,58,17,29.31,41,70.69,12017
12,18,32,6,18.75,26,81.25,12018
12,19,59,13,22.03,46,77.97,12019
12,20,66,10,15.15,56,84.85,12020
12,21,57,12,21.05,45,78.95,12021
12,22,30,7,23.33,23,76.67,12022
12,23,60,11,18.33,49,81.67,12023
13,1,121,27,22.31,94,77.69,13001
13,2,115,30,26.09,85,73.91,13002
13,3,53,10,18.87,43,81.13,13003
13,4,103,30,29.13,73,70.87,13004
13,5,88,20,22.73,68,77.27,13005
13,6,109,34,31.19,75,68.81,13006
13,7,103,18,17.48,85,82.52,13007
13,8,70,23,32.86,47,67.14,13008
13,9,81,21,25.93,60,74.07,13009
13,10,91,26,28.57,65,71.43,13010
13,11,135,36,26.67,99,73.33,13011
13,12,60,13,21.67,47,78.33,13012
13,13,172,20,11.63,152,88.37,13013
13,14,71,32,45.07,39,54.93,13014
13,15,123,19,15.45,104,84.55,13015
13,16,83,17,20.48,66,79.52,13016
13,17,85,21,24.71,64,75.29,13017
13,18,62,23,37.1,39,62.9,13018
13,19,107,10,9.35,97,90.65,13019
13,20,67,22,32.84,45,67.16,13020
13,21,134,39,29.1,95,70.9,13021
13,22,75,33,44.0,42,56.0,13022
13,23,87,17,19.54,70,80.46,13023
13,24,82,19,23.17,63,76.83,13024
13,25,94,22,23.4,72,76.6,13025
13,26,103,24,23.3,79,76.7,13026
13,27,114,30,26.32,84,73.68,13027
13,28,56,10,17.86,46,82.14,13028
13,29,67,21,31.34,46,68.66,13029
13,30,70,12,17.14,58,82.86,13030
13,31,90,32,35.56,58,64.44,13031
13,32,81,26,32.1,55,67.9,13032
13,33,69,21,30.43,48,69.57,13033
13,34,160,14,8.75,146,91.25,13034
13,35,130,23,17.69,107,82.31,13035
13,36,45,15,33.33,30,66.67,13036
13,37,140,38,27.14,102,72.86,13037
13,38,86,27,31.4,59,68.6,13038
13,39,107,17,15.89,90,84.11,13039
13,40,94,21,22.34,73,77.66,13040
13,41,130,19,14.62,111,85.38,13041
13,42,76,22,28.95,54,71.05,13042
13,43,139,43,30.94,96,69.06,13043
13,44,214,22,10.28,192,89.72,13044
13,45,146,26,17.81,120,82.19,13045
13,46,84,27,32.14,57,67.86,13046
13,47,80,16,20.0,64,80.0,13047
13,48,109,23,21.1,86,78.9,13048
14,1,86,26,30.23,60,69.77,14001
14,2,121,39,32.23,82,67.77,14002
14,3,51,8,15.69,43,84.31,14003
14,4,61,18,29.51,43,70.49,14004
14,5,101,9,8.91,92,91.09,14005
14,6,43,5,11.63,38,88.37,14006
14,7,59,11,18.64,48,81.36,14007
14,8,47,9,19.15,38,80.85,14008
14,9,61,11,18.03,50,81.97,14009
14,10,49,12,24.49,37,75.51,14010
14,11,66,2,3.03,64,96.97,14011
14,12,63,18,28.57,45,71.43,14012
14,13,64,17,26.56,47,73.44,14013
14,14,60,13,21.67,47,78.33,14014
14,15,89,14,15.73,75,84.27,14015
14,16,56,13,23.21,43,76.79,14016
14,17,58,5,8.62,53,91.38,14017
14,18,26,7,26.92,19,73.08,14018
14,19,41,9,21.95,32,78.05,14019
14,20,47,12,25.53,35,74.47,14020
14,21,84,9,10.71,75,89.29,14021
14,22,72,17,23.61,55,76.39,14022
14,23,93,24,25.81,69,74.19,14023
14,24,115,34,29.57,81,70.43,14024
14,25,59,13,22.03,46,77.97,14025
14,26,43,6,13.95,37,86.05,14026
14,27,71,9,12.68,62,87.32,14027
14,28,49,17,34.69,32,65.31,14028
14,29,87,14,16.09,73,83.91,14029
14,30,26,5,19.23,21,80.77,14030
14,31,34,6,17.65,28,82.35,14031
15,1,43,3,6.98,40,93.02,15001
15,2,33,12,36.36,21,63.64,15002
15,3,60,25,41.67,35,58.33,15003
15,4,32,8,25.0,24,75.0,15004
15,5,41,7,17.07,34,82.93,15005
15,6,54,9,16.67,45,83.33,15006
15,7,41,24,58.54,17,41.46,15007
15,8,26,4,15.38,22,84.62,15008
15,9,53,10,18.87,43,81.13,15009
15,10,76,16,21.05,60,78.95,15010
15,11,51,10,19.61,41,80.39,15011
15,12,79,18,22.78,61,77.22,15012
15,13,31,7,22.58,24,77.42,15013
15,14,12,0,0.0,12,100.0,15014
15,15,27,4,14.81,23,85.19,15015
15,16,44,9,20.45,35,79.55,15016
15,17,48,22,45.83,26,54.17,15017
15,18,46,21,45.65,25,54.35,15018
15,19,80,24,30.0,56,70.0,15019
15,20,55,16,29.09,39,70.91,15020
15,21,51,20,39.22,31,60.78,15021
15,22,51,18,35.29,33,64.71,15022
15,23,51,19,37.25,32,62.75,15023
15,24,48,18,37.5,30,62.5,15024
16,1,37,5,13.51,32,86.49,16001
16,2,41,16,39.02,25,60.98,16002
16,3,54,31,57.41,23,42.59,16003
16,4,46,24,52.17,22,47.83,16004
16,5,39,21,53.85,18,46.15,16005
16,6,49,25,51.02,24,48.98,16006
16,7,45,15,33.33,30,66.67,16007
16,8,21,11,52.38,10,47.62,16008
16,9,74,43,58.11,31,41.89,16009
16,10,66,32,48.48,34,51.52,16010
16,11,38,10,26.32,28,73.68,16011
16,12,29,15,51.72,14,48.28,16012
16,13,31,11,35.48,20,64.52,16013
16,14,38,16,42.11,22,57.89,16014
16,15,57,26,45.61,31,54.39,16015
16,16,58,29,50.0,29,50.0,16016
16,17,41,13,31.71,28,68.29,16017
16,18,59,28,47.46,31,52.54,16018
16,19,39,16,41.03,23,58.97,16019
16,20,47,23,48.94,24,51.06,16020
16,21,28,11,39.29,17,60.71,16021
16,22,30,12,40.0,18,60.0,16022
16,23,25,8,32.0,17,68.0,16023
16,24,35,12,34.29,23,65.71,16024
16,25,62,26,41.94,36,58.06,16025
16,26,53,21,39.62,32,60.38,16026
16,27,43,18,41.86,25,58.14,16027
16,28,65,34,52.31,31,47.69,16028
16,29,36,16,44.44,20,55.56,16029
16,30,50,28,56.0,22,44.0,16030
16,31,69,36,52.17,33,47.83,16031
16,32,27,6,22.22,21,77.78,16032
16,33,45,20,44.44,25,55.56,16033
16,34,55,21,38.18,34,61.82,16034
16,35,34,13,38.24,21,61.76,16035
16,36,42,19,45.24,23,54.76,16036
17,1,45,20,44.44,25,55.56,17001
17,2,63,24,38.1,39,61.9,17002
17,3,50,20,40.0,30,60.0,17003
17,4,87,40,45.98,47,54.02,17004
17,5,63,29,46.03,34,53.97,17005
17,6,35,12,34.29,23,65.71,17006
17,7,28,11,39.29,17,60.71,17007
17,8,72,34,47.22,38,52.78,17008
17,9,68,33,48.53,35,51.47,17009
17,10,80,37,46.25,43,53.75,17010
17,11,72,30,41.67,42,58.33,17011
17,12,43,18,41.86,25,58.14,17012
17,13,59,31,52.54,28,47.46,17013
17,14,54,20,37.04,34,62.96,17014
