ward,precinct,total,Danny K. Davis,Danny K. Davis Percent,precinct_id
24,4,369,369,100.0,24004
24,5,607,607,100.0,24005
24,6,381,381,100.0,24006
24,7,181,181,100.0,24007
24,8,250,250,100.0,24008
24,9,442,442,100.0,24009
24,10,327,327,100.0,24010
24,11,432,432,100.0,24011
24,12,490,490,100.0,24012
24,13,445,445,100.0,24013
24,14,353,353,100.0,24014
24,15,379,379,100.0,24015
24,16,501,501,100.0,24016
24,17,297,297,100.0,24017
24,18,151,151,100.0,24018
25,3,54,54,100.0,25003
25,13,507,507,100.0,25013
25,15,481,481,100.0,25015
25,17,280,280,100.0,25017
26,27,184,184,100.0,26027
27,1,484,484,100.0,27001
27,2,653,653,100.0,27002
27,3,363,363,100.0,27003
27,4,463,463,100.0,27004
27,5,341,341,100.0,27005
27,6,619,619,100.0,27006
27,7,795,795,100.0,27007
27,8,192,192,100.0,27008
27,9,590,590,100.0,27009
27,10,343,343,100.0,27010
27,11,569,569,100.0,27011
27,12,263,263,100.0,27012
27,13,473,473,100.0,27013
27,14,386,386,100.0,27014
27,15,477,477,100.0,27015
27,16,632,632,100.0,27016
27,17,239,239,100.0,27017
27,18,581,581,100.0,27018
27,19,176,176,100.0,27019
27,20,341,341,100.0,27020
27,21,127,127,100.0,27021
27,22,375,375,100.0,27022
27,23,320,320,100.0,27023
27,25,440,440,100.0,27025
27,26,482,482,100.0,27026
27,27,345,345,100.0,27027
27,28,416,416,100.0,27028
27,29,745,745,100.0,27029
28,1,276,276,100.0,28001
28,2,280,280,100.0,28002
28,3,89,89,100.0,28003
28,4,232,232,100.0,28004
28,5,243,243,100.0,28005
28,6,403,403,100.0,28006
28,7,193,193,100.0,28007
28,8,395,395,100.0,28008
28,9,212,212,100.0,28009
28,10,121,121,100.0,28010
28,11,525,525,100.0,28011
28,12,648,648,100.0,28012
28,13,513,513,100.0,28013
28,14,467,467,100.0,28014
28,15,276,276,100.0,28015
28,16,560,560,100.0,28016
28,17,319,319,100.0,28017
28,18,361,361,100.0,28018
28,19,359,359,100.0,28019
28,20,293,293,100.0,28020
28,21,314,314,100.0,28021
28,22,236,236,100.0,28022
28,23,342,342,100.0,28023
28,24,261,261,100.0,28024
28,25,531,531,100.0,28025
28,26,169,169,100.0,28026
29,4,57,57,100.0,29004
29,5,161,161,100.0,29005
29,7,596,596,100.0,29007
29,8,853,853,100.0,29008
29,9,382,382,100.0,29009
29,10,524,524,100.0,29010
29,11,448,448,100.0,29011
29,12,588,588,100.0,29012
29,13,581,581,100.0,29013
29,14,499,499,100.0,29014
29,15,480,480,100.0,29015
29,16,535,535,100.0,29016
29,17,358,358,100.0,29017
29,18,513,513,100.0,29018
29,19,574,574,100.0,29019
29,20,337,337,100.0,29020
29,21,388,388,100.0,29021
29,22,582,582,100.0,29022
29,23,533,533,100.0,29023
29,24,414,414,100.0,29024
34,1,567,567,100.0,34001
34,2,321,321,100.0,34002
34,3,772,772,100.0,34003
34,4,420,420,100.0,34004
34,5,745,745,100.0,34005
34,6,547,547,100.0,34006
34,7,255,255,100.0,34007
34,8,418,418,100.0,34008
34,9,782,782,100.0,34009
34,10,317,317,100.0,34010
34,11,544,544,100.0,34011
34,12,536,536,100.0,34012
34,13,612,612,100.0,34013
34,14,610,610,100.0,34014
34,15,500,500,100.0,34015
34,16,824,824,100.0,34016
34,17,754,754,100.0,34017
34,18,703,703,100.0,34018
34,19,516,516,100.0,34019
34,20,658,658,100.0,34020
36,17,435,435,100.0,36017
36,21,470,470,100.0,36021
36,22,632,632,100.0,36022
36,23,539,539,100.0,36023
36,24,583,583,100.0,36024
36,25,655,655,100.0,36025
36,26,611,611,100.0,36026
36,27,681,681,100.0,36027
37,1,422,422,100.0,37001
37,3,404,404,100.0,37003
37,4,436,436,100.0,37004
37,5,310,310,100.0,37005
37,6,564,564,100.0,37006
37,8,513,513,100.0,37008
37,9,220,220,100.0,37009
37,10,354,354,100.0,37010
37,11,366,366,100.0,37011
37,12,499,499,100.0,37012
37,13,300,300,100.0,37013
37,14,517,517,100.0,37014
37,15,471,471,100.0,37015
37,16,487,487,100.0,37016
37,17,321,321,100.0,37017
37,18,388,388,100.0,37018
37,20,541,541,100.0,37020
42,1,275,275,100.0,42001
42,2,257,257,100.0,42002
42,3,737,737,100.0,42003
42,4,607,607,100.0,42004
42,5,850,850,100.0,42005
42,6,359,359,100.0,42006
42,7,571,571,100.0,42007
42,8,405,405,100.0,42008
42,9,267,267,100.0,42009
42,10,431,431,100.0,42010
42,11,500,500,100.0,42011
42,12,389,389,100.0,42012
42,13,288,288,100.0,42013
42,14,228,228,100.0,42014
42,15,226,226,100.0,42015
42,16,670,670,100.0,42016
42,17,790,790,100.0,42017
42,18,437,437,100.0,42018
42,19,648,648,100.0,42019
42,20,638,638,100.0,42020
42,21,797,797,100.0,42021
42,22,617,617,100.0,42022
43,15,480,480,100.0,43015
