ward,precinct,total,"Jesus """"Chuy"""" Garcia","Jesus """"Chuy"""" Garcia Percent",James Falakos,James Falakos Percent,Edward Hershey,Edward Hershey Percent,precinct_id
14,13,514,396,77.04,104,20.23,14,2.72,14013
14,14,242,203,83.88,29,11.98,10,4.13,14014
14,15,252,202,80.16,36,14.29,14,5.56,14015
15,4,217,190,87.56,23,10.6,4,1.84,15004
15,5,227,193,85.02,25,11.01,9,3.96,15005
15,6,291,246,84.54,39,13.4,6,2.06,15006
15,7,205,167,81.46,27,13.17,11,5.37,15007
15,8,251,216,86.06,26,10.36,9,3.59,15008
15,9,284,229,80.63,44,15.49,11,3.87,15009
15,10,108,102,94.44,5,4.63,1,0.93,15010
15,11,219,196,89.5,17,7.76,6,2.74,15011
15,12,284,237,83.45,33,11.62,14,4.93,15012
15,13,215,181,84.19,24,11.16,10,4.65,15013
15,14,214,188,87.85,22,10.28,4,1.87,15014
15,20,244,199,81.56,31,12.7,14,5.74,15020
16,7,47,43,91.49,1,2.13,3,6.38,16007
16,23,192,168,87.5,16,8.33,8,4.17,16023
17,1,436,370,84.86,51,11.7,15,3.44,17001
18,18,10,6,60.0,4,40.0,0,0.0,18018
18,22,561,381,67.91,164,29.23,16,2.85,18022
18,23,635,414,65.2,204,32.13,17,2.68,18023
18,24,674,540,80.12,117,17.36,17,2.52,18024
18,25,364,266,73.08,87,23.9,11,3.02,18025
18,26,612,453,74.02,134,21.9,25,4.08,18026
20,1,202,174,86.14,19,9.41,9,4.46,20001
20,2,142,110,77.46,30,21.13,2,1.41,20002
20,3,0,0,0.0,0,0.0,0,0.0,20003
20,5,40,37,92.5,2,5.0,1,2.5,20005
22,2,34,28,82.35,4,11.76,2,5.88,22002
22,3,286,241,84.27,38,13.29,7,2.45,22003
22,4,173,159,91.91,10,5.78,4,2.31,22004
22,5,432,382,88.43,37,8.56,13,3.01,22005
22,6,226,197,87.17,19,8.41,10,4.42,22006
22,7,254,221,87.01,23,9.06,10,3.94,22007
22,8,281,253,90.04,20,7.12,8,2.85,22008
22,9,263,236,89.73,18,6.84,9,3.42,22009
22,10,350,307,87.71,31,8.86,12,3.43,22010
22,11,377,329,87.27,31,8.22,17,4.51,22011
22,12,242,211,87.19,21,8.68,10,4.13,22012
22,13,306,281,91.83,20,6.54,5,1.63,22013
22,14,288,254,88.19,22,7.64,12,4.17,22014
22,15,161,145,90.06,12,7.45,4,2.48,22015
22,16,358,258,72.07,85,23.74,15,4.19,22016
22,17,151,141,93.38,7,4.64,3,1.99,22017
22,18,314,297,94.59,6,1.91,11,3.5,22018
22,19,519,380,73.22,118,22.74,21,4.05,22019
23,11,236,168,71.19,61,25.85,7,2.97,23011
23,12,325,214,65.85,101,31.08,10,3.08,23012
23,13,582,394,67.7,168,28.87,20,3.44,23013
23,14,385,283,73.51,88,22.86,14,3.64,23014
23,15,425,295,69.41,114,26.82,16,3.76,23015
23,16,210,156,74.29,41,19.52,13,6.19,23016
23,17,293,253,86.35,36,12.29,4,1.37,23017
23,18,252,201,79.76,48,19.05,3,1.19,23018
23,19,206,167,81.07,35,16.99,4,1.94,23019
23,20,196,162,82.65,34,17.35,0,0.0,23020
23,21,186,148,79.57,31,16.67,7,3.76,23021
23,22,199,158,79.4,35,17.59,6,3.02,23022
23,23,207,162,78.26,38,18.36,7,3.38,23023
23,24,202,166,82.18,21,10.4,15,7.43,23024
23,25,166,137,82.53,24,14.46,5,3.01,23025
23,26,130,112,86.15,15,11.54,3,2.31,23026
23,27,173,136,78.61,33,19.08,4,2.31,23027
23,28,251,211,84.06,33,13.15,7,2.79,23028
23,29,333,273,81.98,50,15.02,10,3.0,23029
23,30,210,170,80.95,31,14.76,9,4.29,23030
23,31,247,206,83.4,36,14.57,5,2.02,23031
23,32,203,166,81.77,32,15.76,5,2.46,23032
23,33,464,372,80.17,75,16.16,17,3.66,23033
24,18,341,297,87.1,25,7.33,19,5.57,24018
24,19,1105,803,72.67,151,13.67,151,13.67,24019
25,1,376,342,90.96,25,6.65,9,2.39,25001
25,2,246,214,86.99,24,9.76,8,3.25,25002
25,3,271,232,85.61,18,6.64,21,7.75,25003
25,4,428,369,86.21,42,9.81,17,3.97,25004
25,5,543,486,89.5,28,5.16,29,5.34,25005
25,6,590,492,83.39,74,12.54,24,4.07,25006
25,7,551,474,86.03,49,8.89,28,5.08,25007
25,8,558,473,84.77,58,10.39,27,4.84,25008
25,9,571,503,88.09,35,6.13,33,5.78,25009
25,10,638,559,87.62,39,6.11,40,6.27,25010
25,11,566,489,86.4,43,7.6,34,6.01,25011
25,12,487,437,89.73,31,6.37,19,3.9,25012
25,13,153,130,84.97,16,10.46,7,4.58,25013
25,14,756,679,89.81,51,6.75,26,3.44,25014
25,16,738,625,84.69,76,10.3,37,5.01,25016
28,12,0,0,0.0,0,0.0,0,0.0,28012
28,17,0,0,0.0,0,0.0,0,0.0,28017
