ward,precinct,total,Jonathan L. Jackson,Jonathan L. Jackson Percent,Eric Carlson,Eric Carlson Percent,precinct_id
6,9,620,589,95.0,31,5.0,06009
6,10,375,368,98.13,7,1.87,06010
6,11,204,198,97.06,6,2.94,06011
6,12,425,410,96.47,15,3.53,06012
6,13,544,526,96.69,18,3.31,06013
6,14,534,517,96.82,17,3.18,06014
6,15,573,548,95.64,25,4.36,06015
6,16,332,322,96.99,10,3.01,06016
6,17,654,629,96.18,25,3.82,06017
6,18,699,672,96.14,27,3.86,06018
6,19,486,465,95.68,21,4.32,06019
6,20,783,747,95.4,36,4.6,06020
6,21,560,544,97.14,16,2.86,06021
6,22,814,795,97.67,19,2.33,06022
6,23,729,717,98.35,12,1.65,06023
6,24,655,629,96.03,26,3.97,06024
6,25,499,483,96.79,16,3.21,06025
6,26,841,814,96.79,27,3.21,06026
6,27,766,744,97.13,22,2.87,06027
7,1,577,558,96.71,19,3.29,07001
7,2,704,684,97.16,20,2.84,07002
7,10,559,545,97.5,14,2.5,07010
7,11,529,511,96.6,18,3.4,07011
7,12,607,591,97.36,16,2.64,07012
7,13,375,358,95.47,17,4.53,07013
7,15,571,547,95.8,24,4.2,07015
7,16,191,178,93.19,13,6.81,07016
7,17,138,131,94.93,7,5.07,07017
7,19,751,717,95.47,34,4.53,07019
7,20,373,362,97.05,11,2.95,07020
7,21,298,288,96.64,10,3.36,07021
7,22,375,362,96.53,13,3.47,07022
7,23,254,242,95.28,12,4.72,07023
7,26,566,547,96.64,19,3.36,07026
7,27,345,335,97.1,10,2.9,07027
7,28,208,204,98.08,4,1.92,07028
7,29,310,300,96.77,10,3.23,07029
8,1,606,580,95.71,26,4.29,08001
8,2,305,287,94.1,18,5.9,08002
8,3,247,246,99.6,1,0.4,08003
8,4,565,551,97.52,14,2.48,08004
8,5,391,384,98.21,7,1.79,08005
8,6,677,652,96.31,25,3.69,08006
8,7,386,377,97.67,9,2.33,08007
8,8,807,775,96.03,32,3.97,08008
8,9,545,522,95.78,23,4.22,08009
8,10,589,565,95.93,24,4.07,08010
8,11,501,483,96.41,18,3.59,08011
8,12,554,537,96.93,17,3.07,08012
8,13,527,513,97.34,14,2.66,08013
8,14,602,585,97.18,17,2.82,08014
8,15,465,445,95.7,20,4.3,08015
8,16,424,410,96.7,14,3.3,08016
8,17,688,669,97.24,19,2.76,08017
8,18,947,925,97.68,22,2.32,08018
8,19,749,723,96.53,26,3.47,08019
8,20,345,340,98.55,5,1.45,08020
8,21,378,361,95.5,17,4.5,08021
8,22,275,262,95.27,13,4.73,08022
8,23,803,781,97.26,22,2.74,08023
8,24,511,498,97.46,13,2.54,08024
8,25,225,221,98.22,4,1.78,08025
8,26,423,405,95.74,18,4.26,08026
8,27,556,535,96.22,21,3.78,08027
8,28,367,360,98.09,7,1.91,08028
8,29,539,520,96.47,19,3.53,08029
8,30,459,444,96.73,15,3.27,08030
9,1,607,584,96.21,23,3.79,09001
9,2,436,425,97.48,11,2.52,09002
9,3,206,201,97.57,5,2.43,09003
9,4,439,426,97.04,13,2.96,09004
9,5,452,431,95.35,21,4.65,09005
9,6,730,703,96.3,27,3.7,09006
9,7,582,560,96.22,22,3.78,09007
9,8,517,505,97.68,12,2.32,09008
9,11,247,238,96.36,9,3.64,09011
9,17,189,177,93.65,12,6.35,09017
9,22,396,376,94.95,20,5.05,09022
9,23,326,314,96.32,12,3.68,09023
9,24,477,462,96.86,15,3.14,09024
9,25,376,362,96.28,14,3.72,09025
9,26,527,517,98.1,10,1.9,09026
9,29,711,695,97.75,16,2.25,09029
9,30,589,566,96.1,23,3.9,09030
16,20,121,119,98.35,2,1.65,16020
17,2,99,92,92.93,7,7.07,17002
17,10,502,484,96.41,18,3.59,17010
17,14,14,14,100.0,0,0.0,17014
17,15,596,579,97.15,17,2.85,17015
17,16,274,265,96.72,9,3.28,17016
17,17,233,221,94.85,12,5.15,17017
17,18,668,653,97.75,15,2.25,17018
17,19,455,439,96.48,16,3.52,17019
17,20,446,435,97.53,11,2.47,17020
17,21,541,527,97.41,14,2.59,17021
17,22,537,520,96.83,17,3.17,17022
17,23,348,336,96.55,12,3.45,17023
17,24,568,551,97.01,17,2.99,17024
17,25,251,243,96.81,8,3.19,17025
17,26,458,442,96.51,16,3.49,17026
17,27,551,528,95.83,23,4.17,17027
17,28,636,617,97.01,19,2.99,17028
17,29,582,567,97.42,15,2.58,17029
18,1,695,664,95.54,31,4.46,18001
18,2,741,720,97.17,21,2.83,18002
18,3,305,295,96.72,10,3.28,18003
18,4,547,519,94.88,28,5.12,18004
18,5,456,445,97.59,11,2.41,18005
18,6,787,759,96.44,28,3.56,18006
18,7,624,582,93.27,42,6.73,18007
18,8,890,845,94.94,45,5.06,18008
18,9,689,646,93.76,43,6.24,18009
18,10,800,749,93.63,51,6.38,18010
18,12,713,678,95.09,35,4.91,18012
18,13,577,511,88.56,66,11.44,18013
18,14,448,424,94.64,24,5.36,18014
18,15,330,307,93.03,23,6.97,18015
18,16,513,484,94.35,29,5.65,18016
18,17,392,363,92.6,29,7.4,18017
18,18,482,392,81.33,90,18.67,18018
18,19,432,379,87.73,53,12.27,18019
18,20,396,331,83.59,65,16.41,18020
18,21,532,492,92.48,40,7.52,18021
19,8,602,582,96.68,20,3.32,19008
19,9,552,521,94.38,31,5.62,19009
19,10,50,42,84.0,8,16.0,19010
19,11,139,114,82.01,25,17.99,19011
19,13,522,487,93.3,35,6.7,19013
19,14,743,601,80.89,142,19.11,19014
19,19,65,52,80.0,13,20.0,19019
19,20,499,457,91.58,42,8.42,19020
19,25,117,110,94.02,7,5.98,19025
19,26,178,147,82.58,31,17.42,19026
19,27,805,715,88.82,90,11.18,19027
19,28,1005,907,90.25,98,9.75,19028
19,31,709,537,75.74,172,24.26,19031
19,32,532,461,86.65,71,13.35,19032
19,36,124,97,78.23,27,21.77,19036
20,8,145,136,93.79,9,6.21,20008
20,12,89,86,96.63,3,3.37,20012
20,13,770,737,95.71,33,4.29,20013
20,14,369,354,95.93,15,4.07,20014
20,15,418,404,96.65,14,3.35,20015
20,16,471,449,95.33,22,4.67,20016
20,17,555,538,96.94,17,3.06,20017
20,18,696,650,93.39,46,6.61,20018
20,19,371,353,95.15,18,4.85,20019
20,20,492,476,96.75,16,3.25,20020
20,21,645,628,97.36,17,2.64,20021
20,22,571,551,96.5,20,3.5,20022
21,1,654,633,96.79,21,3.21,21001
21,2,205,202,98.54,3,1.46,21002
21,3,693,670,96.68,23,3.32,21003
21,4,586,568,96.93,18,3.07,21004
21,5,619,607,98.06,12,1.94,21005
21,6,514,495,96.3,19,3.7,21006
21,7,735,718,97.69,17,2.31,21007
21,8,620,596,96.13,24,3.87,21008
21,9,205,194,94.63,11,5.37,21009
21,10,673,652,96.88,21,3.12,21010
21,11,694,666,95.97,28,4.03,21011
21,12,321,310,96.57,11,3.43,21012
21,13,510,494,96.86,16,3.14,21013
21,14,747,727,97.32,20,2.68,21014
21,15,722,705,97.65,17,2.35,21015
21,16,653,636,97.4,17,2.6,21016
21,17,493,481,97.57,12,2.43,21017
21,18,693,673,97.11,20,2.89,21018
21,19,594,572,96.3,22,3.7,21019
21,20,497,474,95.37,23,4.63,21020
21,21,740,719,97.16,21,2.84,21021
21,22,753,721,95.75,32,4.25,21022
21,23,541,527,97.41,14,2.59,21023
21,24,539,521,96.66,18,3.34,21024
21,25,431,415,96.29,16,3.71,21025
21,26,485,470,96.91,15,3.09,21026
21,27,717,692,96.51,25,3.49,21027
21,28,636,617,97.01,19,2.99,21028
21,29,626,603,96.33,23,3.67,21029
