ward,precinct,total,JB Pritzker & Juliana Stratton,JB Pritzker & Juliana Stratton Percent,Darren Bailey & Stephanie Trussell,Darren Bailey & Stephanie Trussell Percent,Scott Schluter & John Phillips,Scott Schluter & John Phillips Percent,precinct_id
3,25,1013,827,81.64,163,16.09,23,2.27,03025
3,26,338,314,92.9,18,5.33,6,1.78,03026
3,27,856,697,81.43,146,17.06,13,1.52,03027
4,1,904,855,94.58,41,4.54,8,0.88,04001
4,2,359,336,93.59,15,4.18,8,2.23,04002
4,3,617,592,95.95,19,3.08,6,0.97,04003
4,4,725,684,94.34,32,4.41,9,1.24,04004
4,5,346,334,96.53,7,2.02,5,1.45,04005
4,6,501,463,92.42,26,5.19,12,2.4,04006
4,7,374,350,93.58,19,5.08,5,1.34,04007
4,8,502,484,96.41,14,2.79,4,0.8,04008
4,9,538,509,94.61,21,3.9,8,1.49,04009
4,10,491,475,96.74,11,2.24,5,1.02,04010
4,11,677,638,94.24,20,2.95,19,2.81,04011
4,12,430,394,91.63,30,6.98,6,1.4,04012
4,13,447,420,93.96,17,3.8,10,2.24,04013
4,14,430,405,94.19,19,4.42,6,1.4,04014
4,15,392,372,94.9,14,3.57,6,1.53,04015
4,16,567,543,95.77,17,3.0,7,1.23,04016
4,17,783,738,94.25,34,4.34,11,1.4,04017
4,18,262,251,95.8,9,3.44,2,0.76,04018
4,19,493,466,94.52,17,3.45,10,2.03,04019
4,20,707,670,94.77,26,3.68,11,1.56,04020
4,21,447,418,93.51,23,5.15,6,1.34,04021
4,22,223,211,94.62,8,3.59,4,1.79,04022
4,23,412,382,92.72,26,6.31,4,0.97,04023
4,24,820,767,93.54,39,4.76,14,1.71,04024
4,25,1001,862,86.11,110,10.99,29,2.9,04025
4,26,883,773,87.54,95,10.76,15,1.7,04026
4,27,925,823,88.97,78,8.43,24,2.59,04027
4,28,995,880,88.44,92,9.25,23,2.31,04028
5,1,700,663,94.71,30,4.29,7,1.0,05001
5,2,773,723,93.53,39,5.05,11,1.42,05002
5,3,718,684,95.26,22,3.06,12,1.67,05003
5,4,599,561,93.66,28,4.67,10,1.67,05004
5,5,351,337,96.01,13,3.7,1,0.28,05005
5,6,310,295,95.16,12,3.87,3,0.97,05006
5,7,173,159,91.91,7,4.05,7,4.05,05007
5,8,216,210,97.22,5,2.31,1,0.46,05008
5,9,201,191,95.02,6,2.99,4,1.99,05009
5,10,355,335,94.37,17,4.79,3,0.85,05010
5,11,465,441,94.84,14,3.01,10,2.15,05011
5,12,797,756,94.86,33,4.14,8,1.0,05012
5,13,343,326,95.04,12,3.5,5,1.46,05013
5,14,384,368,95.83,13,3.39,3,0.78,05014
5,15,1119,1060,94.73,47,4.2,12,1.07,05015
5,16,679,637,93.81,38,5.6,4,0.59,05016
5,17,507,479,94.48,22,4.34,6,1.18,05017
5,18,1041,978,93.95,48,4.61,15,1.44,05018
5,19,451,431,95.57,13,2.88,7,1.55,05019
5,20,740,707,95.54,24,3.24,9,1.22,05020
5,21,675,631,93.48,39,5.78,5,0.74,05021
5,22,772,734,95.08,28,3.63,10,1.3,05022
5,23,431,404,93.74,21,4.87,6,1.39,05023
5,24,481,432,89.81,39,8.11,10,2.08,05024
5,25,1115,1033,92.65,65,5.83,17,1.52,05025
6,1,233,222,95.28,6,2.58,5,2.15,06001
6,2,292,279,95.55,7,2.4,6,2.05,06002
6,3,91,83,91.21,5,5.49,3,3.3,06003
6,4,205,199,97.07,1,0.49,5,2.44,06004
6,5,374,351,93.85,17,4.55,6,1.6,06005
6,6,342,326,95.32,12,3.51,4,1.17,06006
6,7,420,402,95.71,17,4.05,1,0.24,06007
6,8,325,312,96.0,7,2.15,6,1.85,06008
6,9,644,607,94.25,28,4.35,9,1.4,06009
6,10,391,372,95.14,11,2.81,8,2.05,06010
6,11,208,199,95.67,6,2.88,3,1.44,06011
6,12,429,409,95.34,13,3.03,7,1.63,06012
6,13,556,522,93.88,21,3.78,13,2.34,06013
6,14,550,526,95.64,23,4.18,1,0.18,06014
6,15,582,547,93.99,25,4.3,10,1.72,06015
6,16,335,317,94.63,11,3.28,7,2.09,06016
6,17,665,635,95.49,22,3.31,8,1.2,06017
6,18,712,680,95.51,23,3.23,9,1.26,06018
6,19,498,474,95.18,16,3.21,8,1.61,06019
6,20,811,767,94.57,30,3.7,14,1.73,06020
6,21,573,553,96.51,13,2.27,7,1.22,06021
6,22,833,803,96.4,20,2.4,10,1.2,06022
6,23,752,731,97.21,16,2.13,5,0.66,06023
6,24,672,636,94.64,24,3.57,12,1.79,06024
6,25,502,482,96.02,13,2.59,7,1.39,06025
6,26,853,810,94.96,28,3.28,15,1.76,06026
6,27,772,739,95.73,22,2.85,11,1.42,06027
7,1,600,571,95.17,18,3.0,11,1.83,07001
7,2,755,729,96.56,20,2.65,6,0.79,07002
7,3,427,402,94.15,14,3.28,11,2.58,07003
7,4,563,514,91.3,40,7.1,9,1.6,07004
7,5,650,607,93.38,34,5.23,9,1.38,07005
7,6,188,175,93.09,11,5.85,2,1.06,07006
7,7,468,448,95.73,19,4.06,1,0.21,07007
7,8,269,258,95.91,7,2.6,4,1.49,07008
7,9,440,418,95.0,17,3.86,5,1.14,07009
7,10,596,569,95.47,17,2.85,10,1.68,07010
7,11,540,526,97.41,9,1.67,5,0.93,07011
7,12,623,598,95.99,15,2.41,10,1.61,07012
7,13,457,418,91.47,23,5.03,16,3.5,07013
7,14,415,391,94.22,18,4.34,6,1.45,07014
7,15,581,548,94.32,19,3.27,14,2.41,07015
7,16,203,192,94.58,10,4.93,1,0.49,07016
7,17,164,157,95.73,5,3.05,2,1.22,07017
7,18,96,92,95.83,2,2.08,2,2.08,07018
7,19,762,728,95.54,30,3.94,4,0.52,07019
7,20,391,367,93.86,17,4.35,7,1.79,07020
7,21,304,291,95.72,10,3.29,3,0.99,07021
7,22,387,374,96.64,11,2.84,2,0.52,07022
7,23,257,238,92.61,14,5.45,5,1.95,07023
7,24,72,69,95.83,3,4.17,0,0.0,07024
7,25,416,399,95.91,11,2.64,6,1.44,07025
7,26,586,558,95.22,22,3.75,6,1.02,07026
7,27,349,336,96.28,8,2.29,5,1.43,07027
7,28,208,206,99.04,1,0.48,1,0.48,07028
7,29,311,298,95.82,10,3.22,3,0.96,07029
7,30,283,271,95.76,9,3.18,3,1.06,07030
7,31,134,128,95.52,4,2.99,2,1.49,07031
8,1,622,581,93.41,24,3.86,17,2.73,08001
8,2,312,288,92.31,19,6.09,5,1.6,08002
8,3,250,245,98.0,2,0.8,3,1.2,08003
8,4,582,554,95.19,20,3.44,8,1.37,08004
8,5,401,388,96.76,8,2.0,5,1.25,08005
8,6,693,664,95.82,24,3.46,5,0.72,08006
8,7,406,382,94.09,16,3.94,8,1.97,08007
8,8,814,775,95.21,31,3.81,8,0.98,08008
8,9,558,523,93.73,23,4.12,12,2.15,08009
8,10,604,575,95.2,14,2.32,15,2.48,08010
8,11,509,486,95.48,16,3.14,7,1.38,08011
8,12,565,546,96.64,15,2.65,4,0.71,08012
8,13,536,517,96.46,9,1.68,10,1.87,08013
8,14,620,594,95.81,19,3.06,7,1.13,08014
8,15,472,443,93.86,18,3.81,11,2.33,08015
8,16,430,416,96.74,9,2.09,5,1.16,08016
8,17,708,683,96.47,18,2.54,7,0.99,08017
8,18,956,930,97.28,19,1.99,7,0.73,08018
8,19,755,717,94.97,29,3.84,9,1.19,08019
8,20,357,337,94.4,13,3.64,7,1.96,08020
8,21,387,365,94.32,15,3.88,7,1.81,08021
8,22,283,269,95.05,10,3.53,4,1.41,08022
8,23,820,779,95.0,31,3.78,10,1.22,08023
8,24,520,503,96.73,10,1.92,7,1.35,08024
8,25,224,208,92.86,9,4.02,7,3.13,08025
8,26,438,420,95.89,14,3.2,4,0.91,08026
8,27,565,537,95.04,17,3.01,11,1.95,08027
8,28,380,368,96.84,9,2.37,3,0.79,08028
8,29,544,521,95.77,19,3.49,4,0.74,08029
8,30,478,459,96.03,13,2.72,6,1.26,08030
9,1,623,588,94.38,25,4.01,10,1.61,09001
9,2,437,425,97.25,8,1.83,4,0.92,09002
9,3,213,200,93.9,6,2.82,7,3.29,09003
9,4,440,426,96.82,12,2.73,2,0.45,09004
9,5,462,441,95.45,14,3.03,7,1.52,09005
9,6,737,702,95.25,27,3.66,8,1.09,09006
9,7,603,577,95.69,20,3.32,6,1.0,09007
9,8,596,572,95.97,15,2.52,9,1.51,09008
9,9,375,356,94.93,14,3.73,5,1.33,09009
9,10,701,672,95.86,18,2.57,11,1.57,09010
9,11,254,243,95.67,7,2.76,4,1.57,09011
9,12,641,616,96.1,15,2.34,10,1.56,09012
9,13,599,564,94.16,22,3.67,13,2.17,09013
9,14,344,331,96.22,6,1.74,7,2.03,09014
9,15,479,456,95.2,16,3.34,7,1.46,09015
9,16,646,615,95.2,22,3.41,9,1.39,09016
9,17,192,175,91.15,12,6.25,5,2.6,09017
9,18,347,326,93.95,15,4.32,6,1.73,09018
9,19,262,241,91.98,13,4.96,8,3.05,09019
9,20,510,431,84.51,63,12.35,16,3.14,09020
9,21,561,538,95.9,14,2.5,9,1.6,09021
9,22,401,375,93.52,20,4.99,6,1.5,09022
9,23,334,316,94.61,8,2.4,10,2.99,09023
9,24,497,470,94.57,22,4.43,5,1.01,09024
9,25,375,355,94.67,14,3.73,6,1.6,09025
9,26,536,514,95.9,12,2.24,10,1.87,09026
9,27,310,302,97.42,4,1.29,4,1.29,09027
9,28,253,237,93.68,8,3.16,8,3.16,09028
9,29,717,698,97.35,9,1.26,10,1.39,09029
9,30,599,563,93.99,28,4.67,8,1.34,09030
10,1,152,142,93.42,7,4.61,3,1.97,10001
10,2,201,179,89.05,17,8.46,5,2.49,10002
10,3,312,273,87.5,29,9.29,10,3.21,10003
10,4,383,349,91.12,25,6.53,9,2.35,10004
10,5,138,102,73.91,33,23.91,3,2.17,10005
10,6,180,153,85.0,25,13.89,2,1.11,10006
10,7,339,256,75.52,75,22.12,8,2.36,10007
10,8,309,219,70.87,85,27.51,5,1.62,10008
10,9,355,290,81.69,54,15.21,11,3.1,10009
10,10,373,292,78.28,76,20.38,5,1.34,10010
10,11,129,104,80.62,23,17.83,2,1.55,10011
10,12,339,282,83.19,51,15.04,6,1.77,10012
10,13,409,296,72.37,106,25.92,7,1.71,10013
10,14,539,375,69.57,146,27.09,18,3.34,10014
10,15,443,305,68.85,122,27.54,16,3.61,10015
10,16,557,399,71.63,145,26.03,13,2.33,10016
10,17,495,332,67.07,153,30.91,10,2.02,10017
10,18,607,381,62.77,214,35.26,12,1.98,10018
10,19,393,240,61.07,143,36.39,10,2.54,10019
10,20,226,158,69.91,58,25.66,10,4.42,10020
10,21,299,183,61.2,106,35.45,10,3.34,10021
10,22,572,327,57.17,233,40.73,12,2.1,10022
10,23,355,316,89.01,34,9.58,5,1.41,10023
10,24,189,180,95.24,3,1.59,6,3.17,10024
10,25,278,264,94.96,9,3.24,5,1.8,10025
11,1,217,176,81.11,38,17.51,3,1.38,11001
11,2,94,72,76.6,18,19.15,4,4.26,11002
11,3,613,407,66.39,194,31.65,12,1.96,11003
11,4,410,311,75.85,90,21.95,9,2.2,11004
11,5,434,281,64.75,134,30.88,19,4.38,11005
11,6,538,401,74.54,121,22.49,16,2.97,11006
11,7,316,217,68.67,88,27.85,11,3.48,11007
11,8,579,335,57.86,231,39.9,13,2.25,11008
11,9,575,355,61.74,207,36.0,13,2.26,11009
11,10,152,86,56.58,62,40.79,4,2.63,11010
11,11,95,59,62.11,33,34.74,3,3.16,11011
11,12,218,110,50.46,101,46.33,7,3.21,11012
11,13,514,306,59.53,196,38.13,12,2.33,11013
11,14,904,612,67.7,275,30.42,17,1.88,11014
11,15,635,529,83.31,92,14.49,14,2.2,11015
11,16,781,600,76.82,162,20.74,19,2.43,11016
11,17,362,242,66.85,108,29.83,12,3.31,11017
11,18,494,362,73.28,110,22.27,22,4.45,11018
11,19,170,120,70.59,46,27.06,4,2.35,11019
11,20,501,361,72.06,125,24.95,15,2.99,11020
11,21,837,458,54.72,344,41.1,35,4.18,11021
11,22,576,307,53.3,263,45.66,6,1.04,11022
11,23,599,356,59.43,218,36.39,25,4.17,11023
12,1,303,229,75.58,61,20.13,13,4.29,12001
12,2,221,182,82.35,34,15.38,5,2.26,12002
12,3,419,331,79.0,73,17.42,15,3.58,12003
12,4,339,271,79.94,56,16.52,12,3.54,12004
12,5,342,251,73.39,77,22.51,14,4.09,12005
12,6,303,235,77.56,62,20.46,6,1.98,12006
12,7,305,236,77.38,65,21.31,4,1.31,12007
12,8,298,228,76.51,59,19.8,11,3.69,12008
12,9,161,120,74.53,37,22.98,4,2.48,12009
12,10,319,234,73.35,78,24.45,7,2.19,12010
12,11,248,194,78.23,48,19.35,6,2.42,12011
12,12,219,161,73.52,51,23.29,7,3.2,12012
12,13,242,180,74.38,54,22.31,8,3.31,12013
12,14,273,220,80.59,49,17.95,4,1.47,12014
12,15,283,219,77.39,58,20.49,6,2.12,12015
12,16,321,228,71.03,82,25.55,11,3.43,12016
12,17,287,227,79.09,50,17.42,10,3.48,12017
12,18,327,272,83.18,45,13.76,10,3.06,12018
12,19,184,149,80.98,31,16.85,4,2.17,12019
12,20,244,201,82.38,33,13.52,10,4.1,12020
12,21,256,202,78.91,47,18.36,7,2.73,12021
12,22,229,169,73.8,54,23.58,6,2.62,12022
13,1,267,192,71.91,67,25.09,8,3.0,13001
13,2,316,222,70.25,85,26.9,9,2.85,13002
13,3,500,207,41.4,273,54.6,20,4.0,13003
13,4,357,273,76.47,77,21.57,7,1.96,13004
13,5,327,188,57.49,127,38.84,12,3.67,13005
13,6,356,187,52.53,163,45.79,6,1.69,13006
13,7,317,171,53.94,140,44.16,6,1.89,13007
13,8,418,272,65.07,134,32.06,12,2.87,13008
13,9,522,257,49.23,251,48.08,14,2.68,13009
13,10,494,214,43.32,265,53.64,15,3.04,13010
13,11,266,154,57.89,105,39.47,7,2.63,13011
13,12,247,178,72.06,57,23.08,12,4.86,13012
13,13,338,155,45.86,176,52.07,7,2.07,13013
13,14,319,190,59.56,122,38.24,7,2.19,13014
13,15,320,149,46.56,160,50.0,11,3.44,13015
13,16,369,254,68.83,103,27.91,12,3.25,13016
13,17,405,309,76.3,89,21.98,7,1.73,13017
13,18,277,183,66.06,91,32.85,3,1.08,13018
13,19,270,133,49.26,133,49.26,4,1.48,13019
13,20,414,220,53.14,185,44.69,9,2.17,13020
13,21,340,167,49.12,157,46.18,16,4.71,13021
13,22,404,280,69.31,117,28.96,7,1.73,13022
13,23,448,186,41.52,247,55.13,15,3.35,13023
13,24,317,186,58.68,123,38.8,8,2.52,13024
13,25,318,228,71.7,78,24.53,12,3.77,13025
13,26,262,186,70.99,69,26.34,7,2.67,13026
13,27,205,143,69.76,57,27.8,5,2.44,13027
13,28,267,206,77.15,54,20.22,7,2.62,13028
13,29,245,181,73.88,58,23.67,6,2.45,13029
13,30,415,192,46.27,215,51.81,8,1.93,13030
13,31,278,116,41.73,151,54.32,11,3.96,13031
13,32,279,163,58.42,107,38.35,9,3.23,13032
13,33,332,200,60.24,123,37.05,9,2.71,13033
13,34,450,214,47.56,225,50.0,11,2.44,13034
13,35,521,286,54.89,226,43.38,9,1.73,13035
13,36,188,142,75.53,43,22.87,3,1.6,13036
13,37,455,183,40.22,261,57.36,11,2.42,13037
13,38,226,147,65.04,76,33.63,3,1.33,13038
13,39,425,194,45.65,221,52.0,10,2.35,13039
13,40,359,178,49.58,174,48.47,7,1.95,13040
14,1,487,381,78.23,97,19.92,9,1.85,14001
14,2,303,220,72.61,74,24.42,9,2.97,14002
14,3,204,159,77.94,43,21.08,2,0.98,14003
14,4,98,85,86.73,11,11.22,2,2.04,14004
14,5,347,288,83.0,48,13.83,11,3.17,14005
14,6,438,371,84.7,55,12.56,12,2.74,14006
14,7,464,313,67.46,140,30.17,11,2.37,14007
14,8,428,307,71.73,112,26.17,9,2.1,14008
14,9,437,337,77.12,87,19.91,13,2.97,14009
14,10,412,330,80.1,69,16.75,13,3.16,14010
14,11,452,360,79.65,81,17.92,11,2.43,14011
14,12,290,232,80.0,50,17.24,8,2.76,14012
14,13,517,379,73.31,121,23.4,17,3.29,14013
14,14,238,193,81.09,39,16.39,6,2.52,14014
14,15,251,198,78.88,43,17.13,10,3.98,14015
15,1,335,150,44.78,176,52.54,9,2.69,15001
15,2,465,193,41.51,253,54.41,19,4.09,15002
15,3,163,83,50.92,74,45.4,6,3.68,15003
15,4,219,180,82.19,29,13.24,10,4.57,15004
15,5,238,190,79.83,38,15.97,10,4.2,15005
15,6,295,240,81.36,48,16.27,7,2.37,15006
15,7,208,160,76.92,38,18.27,10,4.81,15007
15,8,250,214,85.6,32,12.8,4,1.6,15008
15,9,284,218,76.76,59,20.77,7,2.46,15009
15,10,223,205,91.93,17,7.62,1,0.45,15010
15,11,211,173,81.99,31,14.69,7,3.32,15011
15,12,284,234,82.39,43,15.14,7,2.46,15012
15,13,216,178,82.41,35,16.2,3,1.39,15013
15,14,216,189,87.5,24,11.11,3,1.39,15014
15,15,217,190,87.56,22,10.14,5,2.3,15015
15,16,348,319,91.67,21,6.03,8,2.3,15016
15,17,435,406,93.33,18,4.14,11,2.53,15017
15,18,316,295,93.35,14,4.43,7,2.22,15018
15,19,187,169,90.37,12,6.42,6,3.21,15019
15,20,246,197,80.08,42,17.07,7,2.85,15020
16,1,369,336,91.06,30,8.13,3,0.81,16001
16,2,237,217,91.56,13,5.49,7,2.95,16002
16,3,295,283,95.93,8,2.71,4,1.36,16003
16,4,198,187,94.44,7,3.54,4,2.02,16004
16,5,406,395,97.29,8,1.97,3,0.74,16005
16,6,395,375,94.94,12,3.04,8,2.03,16006
16,7,216,202,93.52,13,6.02,1,0.46,16007
16,8,168,153,91.07,12,7.14,3,1.79,16008
16,9,377,359,95.23,15,3.98,3,0.8,16009
16,10,315,299,94.92,12,3.81,4,1.27,16010
16,11,258,241,93.41,11,4.26,6,2.33,16011
16,12,111,103,92.79,6,5.41,2,1.8,16012
16,13,168,158,94.05,5,2.98,5,2.98,16013
16,14,428,387,90.42,30,7.01,11,2.57,16014
16,15,355,332,93.52,14,3.94,9,2.54,16015
16,16,280,258,92.14,10,3.57,12,4.29,16016
16,17,467,423,90.58,30,6.42,14,3.0,16017
16,18,433,401,92.61,22,5.08,10,2.31,16018
16,19,324,293,90.43,27,8.33,4,1.23,16019
16,20,342,328,95.91,10,2.92,4,1.17,16020
16,21,250,232,92.8,12,4.8,6,2.4,16021
16,22,344,303,88.08,34,9.88,7,2.03,16022
16,23,229,204,89.08,21,9.17,4,1.75,16023
16,24,283,270,95.41,9,3.18,4,1.41,16024
16,25,140,131,93.57,8,5.71,1,0.71,16025
17,1,442,375,84.84,62,14.03,5,1.13,17001
17,2,272,240,88.24,27,9.93,5,1.84,17002
17,3,333,316,94.89,10,3.0,7,2.1,17003
17,4,340,320,94.12,19,5.59,1,0.29,17004
17,5,219,211,96.35,4,1.83,4,1.83,17005
17,6,319,307,96.24,7,2.19,5,1.57,17006
17,7,185,173,93.51,10,5.41,2,1.08,17007
17,8,246,239,97.15,5,2.03,2,0.81,17008
17,9,249,244,97.99,5,2.01,0,0.0,17009
17,10,514,489,95.14,16,3.11,9,1.75,17010
17,11,299,279,93.31,13,4.35,7,2.34,17011
17,12,184,173,94.02,8,4.35,3,1.63,17012
17,13,209,202,96.65,3,1.44,4,1.91,17013
17,14,214,205,95.79,8,3.74,1,0.47,17014
17,15,610,582,95.41,18,2.95,10,1.64,17015
17,16,277,265,95.67,8,2.89,4,1.44,17016
17,17,237,221,93.25,14,5.91,2,0.84,17017
17,18,685,653,95.33,18,2.63,14,2.04,17018
17,19,460,444,96.52,10,2.17,6,1.3,17019
17,20,453,435,96.03,12,2.65,6,1.32,17020
17,21,560,532,95.0,21,3.75,7,1.25,17021
17,22,547,521,95.25,16,2.93,10,1.83,17022
17,23,353,330,93.48,12,3.4,11,3.12,17023
17,24,575,555,96.52,12,2.09,8,1.39,17024
17,25,255,246,96.47,5,1.96,4,1.57,17025
17,26,460,440,95.65,14,3.04,6,1.3,17026
17,27,551,521,94.56,21,3.81,9,1.63,17027
17,28,651,623,95.7,18,2.76,10,1.54,17028
17,29,596,565,94.8,18,3.02,13,2.18,17029
18,1,704,665,94.46,29,4.12,10,1.42,18001
18,2,755,722,95.63,27,3.58,6,0.79,18002
18,3,312,291,93.27,14,4.49,7,2.24,18003
18,4,548,511,93.25,27,4.93,10,1.82,18004
18,5,467,450,96.36,11,2.36,6,1.28,18005
18,6,795,755,94.97,28,3.52,12,1.51,18006
18,7,632,582,92.09,39,6.17,11,1.74,18007
18,8,909,851,93.62,44,4.84,14,1.54,18008
18,9,700,644,92.0,47,6.71,9,1.29,18009
18,10,810,748,92.35,46,5.68,16,1.98,18010
18,11,492,470,95.53,17,3.46,5,1.02,18011
18,12,723,669,92.53,36,4.98,18,2.49,18012
18,13,592,511,86.32,70,11.82,11,1.86,18013
18,14,472,438,92.8,25,5.3,9,1.91,18014
18,15,335,310,92.54,19,5.67,6,1.79,18015
18,16,531,495,93.22,24,4.52,12,2.26,18016
18,17,397,361,90.93,29,7.3,7,1.76,18017
18,18,499,399,79.96,91,18.24,9,1.8,18018
18,19,443,390,88.04,44,9.93,9,2.03,18019
18,20,407,329,80.84,68,16.71,10,2.46,18020
18,21,546,491,89.93,47,8.61,8,1.47,18021
18,22,568,388,68.31,166,29.23,14,2.46,18022
18,23,643,391,60.81,239,37.17,13,2.02,18023
18,24,683,514,75.26,156,22.84,13,1.9,18024
18,25,366,246,67.21,108,29.51,12,3.28,18025
18,26,623,455,73.03,149,23.92,19,3.05,18026
19,1,886,448,50.56,398,44.92,40,4.51,19001
19,2,830,692,83.37,130,15.66,8,0.96,19002
19,3,655,168,25.65,468,71.45,19,2.9,19003
19,4,616,192,31.17,410,66.56,14,2.27,19004
19,5,674,512,75.96,141,20.92,21,3.12,19005
19,6,660,236,35.76,402,60.91,22,3.33,19006
19,7,895,453,50.61,414,46.26,28,3.13,19007
19,8,608,577,94.9,25,4.11,6,0.99,19008
19,9,562,526,93.59,29,5.16,7,1.25,19009
19,10,655,503,76.79,136,20.76,16,2.44,19010
19,11,552,225,40.76,306,55.43,21,3.8,19011
19,12,866,296,34.18,543,62.7,27,3.12,19012
19,13,528,488,92.42,30,5.68,10,1.89,19013
19,14,766,644,84.07,113,14.75,9,1.17,19014
19,15,513,157,30.6,338,65.89,18,3.51,19015
19,16,613,215,35.07,383,62.48,15,2.45,19016
19,17,599,283,47.25,299,49.92,17,2.84,19017
19,18,568,161,28.35,390,68.66,17,2.99,19018
19,19,686,533,77.7,134,19.53,19,2.77,19019
19,20,510,461,90.39,40,7.84,9,1.76,19020
19,21,872,288,33.03,553,63.42,31,3.56,19021
19,22,664,460,69.28,187,28.16,17,2.56,19022
19,23,636,306,48.11,317,49.84,13,2.04,19023
19,24,614,187,30.46,411,66.94,16,2.61,19024
19,25,568,457,80.46,98,17.25,13,2.29,19025
19,26,568,390,68.66,162,28.52,16,2.82,19026
19,27,823,708,86.03,95,11.54,20,2.43,19027
19,28,1026,921,89.77,92,8.97,13,1.27,19028
19,29,741,270,36.44,443,59.78,28,3.78,19029
19,30,639,193,30.2,430,67.29,16,2.5,19030
19,31,944,683,72.35,231,24.47,30,3.18,19031
19,32,549,473,86.16,62,11.29,14,2.55,19032
19,33,470,121,25.74,327,69.57,22,4.68,19033
19,34,1010,497,49.21,480,47.52,33,3.27,19034
