ward,precinct,total,"Daniel """"Pogo"""" Pogorzelski","Daniel """"Pogo"""" Pogorzelski Percent",Toneal M. Jackson,Toneal M. Jackson Percent,precinct_id
6,4,193,174,90.16,19,9.84,06004
6,5,347,307,88.47,40,11.53,06005
6,6,329,283,86.02,46,13.98,06006
6,7,384,342,89.06,42,10.94,06007
6,8,311,268,86.17,43,13.83,06008
6,9,601,525,87.35,76,12.65,06009
6,10,366,331,90.44,35,9.56,06010
6,11,194,173,89.18,21,10.82,06011
6,12,403,353,87.59,50,12.41,06012
6,13,520,441,84.81,79,15.19,06013
6,14,507,441,86.98,66,13.02,06014
6,15,540,455,84.26,85,15.74,06015
6,16,324,275,84.88,49,15.12,06016
6,17,608,533,87.66,75,12.34,06017
6,18,676,580,85.8,96,14.2,06018
6,19,463,389,84.02,74,15.98,06019
6,20,758,647,85.36,111,14.64,06020
6,21,543,470,86.56,73,13.44,06021
6,22,770,659,85.58,111,14.42,06022
6,23,703,623,88.62,80,11.38,06023
6,24,627,545,86.92,82,13.08,06024
6,25,470,407,86.6,63,13.4,06025
6,26,795,673,84.65,122,15.35,06026
6,27,741,641,86.5,100,13.5,06027
7,1,549,470,85.61,79,14.39,07001
7,2,709,602,84.91,107,15.09,07002
7,3,405,346,85.43,59,14.57,07003
7,4,521,442,84.84,79,15.16,07004
7,5,623,506,81.22,117,18.78,07005
7,6,179,148,82.68,31,17.32,07006
7,7,439,385,87.7,54,12.3,07007
7,8,251,226,90.04,25,9.96,07008
7,9,419,346,82.58,73,17.42,07009
7,10,562,472,83.99,90,16.01,07010
7,11,508,447,87.99,61,12.01,07011
7,12,592,503,84.97,89,15.03,07012
7,13,416,356,85.58,60,14.42,07013
7,14,395,342,86.58,53,13.42,07014
7,15,544,465,85.48,79,14.52,07015
7,16,193,164,84.97,29,15.03,07016
7,17,146,132,90.41,14,9.59,07017
7,18,91,84,92.31,7,7.69,07018
7,19,692,600,86.71,92,13.29,07019
7,20,372,313,84.14,59,15.86,07020
7,21,285,243,85.26,42,14.74,07021
7,22,355,308,86.76,47,13.24,07022
7,23,246,206,83.74,40,16.26,07023
7,24,68,61,89.71,7,10.29,07024
7,25,390,348,89.23,42,10.77,07025
7,26,547,484,88.48,63,11.52,07026
7,27,320,287,89.69,33,10.31,07027
7,28,195,178,91.28,17,8.72,07028
7,29,288,243,84.38,45,15.63,07029
7,30,270,240,88.89,30,11.11,07030
7,31,126,115,91.27,11,8.73,07031
8,1,572,489,85.49,83,14.51,08001
8,2,288,247,85.76,41,14.24,08002
8,3,233,201,86.27,32,13.73,08003
8,4,548,476,86.86,72,13.14,08004
8,5,374,327,87.43,47,12.57,08005
8,6,654,566,86.54,88,13.46,08006
8,7,380,337,88.68,43,11.32,08007
8,8,772,662,85.75,110,14.25,08008
8,9,515,443,86.02,72,13.98,08009
8,10,569,504,88.58,65,11.42,08010
8,11,468,412,88.03,56,11.97,08011
8,12,525,462,88.0,63,12.0,08012
8,13,513,449,87.52,64,12.48,08013
8,14,571,500,87.57,71,12.43,08014
8,15,440,388,88.18,52,11.82,08015
8,16,399,349,87.47,50,12.53,08016
8,17,677,577,85.23,100,14.77,08017
8,18,902,797,88.36,105,11.64,08018
8,19,720,626,86.94,94,13.06,08019
8,20,329,298,90.58,31,9.42,08020
8,21,367,305,83.11,62,16.89,08021
8,22,264,238,90.15,26,9.85,08022
8,23,776,701,90.34,75,9.66,08023
8,24,492,438,89.02,54,10.98,08024
8,25,212,184,86.79,28,13.21,08025
8,26,398,348,87.44,50,12.56,08026
8,27,533,454,85.18,79,14.82,08027
8,28,356,302,84.83,54,15.17,08028
8,29,504,431,85.52,73,14.48,08029
8,30,449,384,85.52,65,14.48,08030
9,1,575,490,85.22,85,14.78,09001
9,2,412,373,90.53,39,9.47,09002
9,3,206,179,86.89,27,13.11,09003
9,4,417,355,85.13,62,14.87,09004
9,5,425,370,87.06,55,12.94,09005
9,6,698,623,89.26,75,10.74,09006
9,7,575,497,86.43,78,13.57,09007
9,8,552,481,87.14,71,12.86,09008
9,9,346,307,88.73,39,11.27,09009
9,10,668,600,89.82,68,10.18,09010
9,11,235,204,86.81,31,13.19,09011
9,12,611,558,91.33,53,8.67,09012
9,13,570,507,88.95,63,11.05,09013
9,14,321,282,87.85,39,12.15,09014
9,15,454,385,84.8,69,15.2,09015
9,16,618,539,87.22,79,12.78,09016
9,17,185,162,87.57,23,12.43,09017
9,18,303,270,89.11,33,10.89,09018
9,19,255,226,88.63,29,11.37,09019
9,20,471,374,79.41,97,20.59,09020
9,21,545,471,86.42,74,13.58,09021
9,22,386,330,85.49,56,14.51,09022
9,23,307,277,90.23,30,9.77,09023
9,24,460,401,87.17,59,12.83,09024
9,25,350,295,84.29,55,15.71,09025
9,26,514,451,87.74,63,12.26,09026
9,27,293,261,89.08,32,10.92,09027
9,28,235,212,90.21,23,9.79,09028
9,29,671,602,89.72,69,10.28,09029
9,30,562,503,89.5,59,10.5,09030
10,1,142,124,87.32,18,12.68,10001
10,2,185,147,79.46,38,20.54,10002
10,3,291,245,84.19,46,15.81,10003
10,4,358,304,84.92,54,15.08,10004
10,5,127,104,81.89,23,18.11,10005
10,6,165,146,88.48,19,11.52,10006
10,7,292,252,86.3,40,13.7,10007
10,8,276,232,84.06,44,15.94,10008
10,9,323,283,87.62,40,12.38,10009
10,10,336,281,83.63,55,16.37,10010
10,11,122,104,85.25,18,14.75,10011
10,12,314,271,86.31,43,13.69,10012
10,13,367,305,83.11,62,16.89,10013
10,14,463,393,84.88,70,15.12,10014
10,15,385,320,83.12,65,16.88,10015
10,16,483,416,86.13,67,13.87,10016
10,17,428,366,85.51,62,14.49,10017
10,18,509,398,78.19,111,21.81,10018
10,19,339,272,80.24,67,19.76,10019
10,20,198,161,81.31,37,18.69,10020
10,21,263,209,79.47,54,20.53,10021
10,22,461,360,78.09,101,21.91,10022
10,23,324,295,91.05,29,8.95,10023
10,24,175,155,88.57,20,11.43,10024
10,25,259,225,86.87,34,13.13,10025
11,1,177,138,77.97,39,22.03,11001
11,2,84,71,84.52,13,15.48,11002
11,3,512,388,75.78,124,24.22,11003
11,4,347,266,76.66,81,23.34,11004
11,5,374,289,77.27,85,22.73,11005
11,6,472,362,76.69,110,23.31,11006
11,7,252,194,76.98,58,23.02,11007
11,8,435,330,75.86,105,24.14,11008
11,9,462,368,79.65,94,20.35,11009
11,10,84,66,78.57,18,21.43,11010
11,11,78,67,85.9,11,14.1,11011
11,12,152,117,76.97,35,23.03,11012
11,13,419,347,82.82,72,17.18,11013
11,14,770,591,76.75,179,23.25,11014
11,15,576,451,78.3,125,21.7,11015
11,16,698,532,76.22,166,23.78,11016
11,17,304,230,75.66,74,24.34,11017
11,18,454,375,82.6,79,17.4,11018
11,19,146,105,71.92,41,28.08,11019
11,20,433,326,75.29,107,24.71,11020
11,21,674,563,83.53,111,16.47,11021
11,22,458,350,76.42,108,23.58,11022
11,23,483,377,78.05,106,21.95,11023
12,1,271,209,77.12,62,22.88,12001
12,2,202,167,82.67,35,17.33,12002
12,3,365,274,75.07,91,24.93,12003
12,4,307,232,75.57,75,24.43,12004
12,5,301,239,79.4,62,20.6,12005
12,6,263,211,80.23,52,19.77,12006
12,7,277,234,84.48,43,15.52,12007
12,8,256,210,82.03,46,17.97,12008
12,9,146,117,80.14,29,19.86,12009
12,10,291,232,79.73,59,20.27,12010
12,11,233,191,81.97,42,18.03,12011
12,12,199,166,83.42,33,16.58,12012
12,13,214,182,85.05,32,14.95,12013
12,14,261,211,80.84,50,19.16,12014
12,15,262,213,81.3,49,18.7,12015
12,16,290,234,80.69,56,19.31,12016
12,17,248,206,83.06,42,16.94,12017
12,18,301,264,87.71,37,12.29,12018
12,19,165,130,78.79,35,21.21,12019
12,20,232,202,87.07,30,12.93,12020
12,21,229,194,84.72,35,15.28,12021
12,22,210,172,81.9,38,18.1,12022
13,1,249,210,84.34,39,15.66,13001
13,2,289,234,80.97,55,19.03,13002
13,3,416,310,74.52,106,25.48,13003
13,4,336,289,86.01,47,13.99,13004
13,5,289,232,80.28,57,19.72,13005
13,6,309,241,77.99,68,22.01,13006
13,7,271,207,76.38,64,23.62,13007
13,8,389,304,78.15,85,21.85,13008
13,9,426,340,79.81,86,20.19,13009
13,10,422,343,81.28,79,18.72,13010
13,11,229,179,78.17,50,21.83,13011
13,12,221,187,84.62,34,15.38,13012
13,13,287,221,77.0,66,23.0,13013
13,14,276,227,82.25,49,17.75,13014
13,15,270,201,74.44,69,25.56,13015
13,16,343,270,78.72,73,21.28,13016
13,17,375,314,83.73,61,16.27,13017
13,18,249,214,85.94,35,14.06,13018
13,19,221,154,69.68,67,30.32,13019
13,20,358,275,76.82,83,23.18,13020
13,21,303,233,76.9,70,23.1,13021
13,22,364,312,85.71,52,14.29,13022
13,23,372,269,72.31,103,27.69,13023
13,24,286,220,76.92,66,23.08,13024
13,25,284,231,81.34,53,18.66,13025
13,26,236,206,87.29,30,12.71,13026
13,27,189,162,85.71,27,14.29,13027
13,28,252,207,82.14,45,17.86,13028
13,29,231,204,88.31,27,11.69,13029
13,30,334,265,79.34,69,20.66,13030
13,31,248,171,68.95,77,31.05,13031
13,32,249,184,73.9,65,26.1,13032
13,33,294,232,78.91,62,21.09,13033
13,34,381,285,74.8,96,25.2,13034
13,35,443,347,78.33,96,21.67,13035
13,36,175,150,85.71,25,14.29,13036
13,37,352,257,73.01,95,26.99,13037
13,38,197,159,80.71,38,19.29,13038
13,39,361,267,73.96,94,26.04,13039
13,40,310,252,81.29,58,18.71,13040
14,1,432,354,81.94,78,18.06,14001
14,2,272,225,82.72,47,17.28,14002
14,3,188,158,84.04,30,15.96,14003
14,4,86,77,89.53,9,10.47,14004
14,5,324,289,89.2,35,10.8,14005
14,6,408,353,86.52,55,13.48,14006
14,7,414,331,79.95,83,20.05,14007
14,8,388,324,83.51,64,16.49,14008
14,9,391,333,85.17,58,14.83,14009
14,10,383,323,84.33,60,15.67,14010
14,11,414,358,86.47,56,13.53,14011
14,12,272,222,81.62,50,18.38,14012
14,13,467,400,85.65,67,14.35,14013
14,14,222,189,85.14,33,14.86,14014
14,15,228,185,81.14,43,18.86,14015
15,1,260,186,71.54,74,28.46,15001
15,2,344,251,72.97,93,27.03,15002
15,3,133,103,77.44,30,22.56,15003
15,4,190,161,84.74,29,15.26,15004
15,5,225,188,83.56,37,16.44,15005
15,6,267,225,84.27,42,15.73,15006
15,7,184,142,77.17,42,22.83,15007
15,8,221,192,86.88,29,13.12,15008
15,9,258,215,83.33,43,16.67,15009
15,10,210,177,84.29,33,15.71,15010
15,11,203,175,86.21,28,13.79,15011
15,12,268,224,83.58,44,16.42,15012
15,13,198,157,79.29,41,20.71,15013
15,14,205,175,85.37,30,14.63,15014
15,15,210,179,85.24,31,14.76,15015
15,16,334,296,88.62,38,11.38,15016
15,17,395,330,83.54,65,16.46,15017
15,18,290,242,83.45,48,16.55,15018
15,19,172,145,84.3,27,15.7,15019
15,20,229,200,87.34,29,12.66,15020
16,1,346,299,86.42,47,13.58,16001
16,2,219,196,89.5,23,10.5,16002
16,3,284,252,88.73,32,11.27,16003
16,4,181,160,88.4,21,11.6,16004
16,5,383,335,87.47,48,12.53,16005
16,6,366,326,89.07,40,10.93,16006
16,7,206,172,83.5,34,16.5,16007
16,8,160,136,85.0,24,15.0,16008
16,9,350,303,86.57,47,13.43,16009
16,10,292,255,87.33,37,12.67,16010
16,11,241,212,87.97,29,12.03,16011
16,12,103,85,82.52,18,17.48,16012
16,13,152,123,80.92,29,19.08,16013
16,14,389,341,87.66,48,12.34,16014
16,15,317,271,85.49,46,14.51,16015
16,16,243,211,86.83,32,13.17,16016
16,17,429,368,85.78,61,14.22,16017
16,18,399,350,87.72,49,12.28,16018
16,19,308,269,87.34,39,12.66,16019
16,20,310,275,88.71,35,11.29,16020
16,21,222,183,82.43,39,17.57,16021
16,22,325,276,84.92,49,15.08,16022
16,23,214,179,83.64,35,16.36,16023
16,24,261,227,86.97,34,13.03,16024
16,25,123,105,85.37,18,14.63,16025
17,1,402,349,86.82,53,13.18,17001
17,2,251,210,83.67,41,16.33,17002
17,3,313,283,90.42,30,9.58,17003
17,4,310,283,91.29,27,8.71,17004
17,5,201,166,82.59,35,17.41,17005
17,6,299,274,91.64,25,8.36,17006
17,7,165,146,88.48,19,11.52,17007
17,8,234,215,91.88,19,8.12,17008
17,9,229,204,89.08,25,10.92,17009
17,10,480,414,86.25,66,13.75,17010
17,11,284,253,89.08,31,10.92,17011
17,12,179,154,86.03,25,13.97,17012
17,13,193,172,89.12,21,10.88,17013
17,14,200,174,87.0,26,13.0,17014
17,15,572,492,86.01,80,13.99,17015
17,16,262,231,88.17,31,11.83,17016
17,17,217,195,89.86,22,10.14,17017
17,18,651,568,87.25,83,12.75,17018
17,19,430,368,85.58,62,14.42,17019
17,20,431,383,88.86,48,11.14,17020
17,21,513,438,85.38,75,14.62,17021
17,22,513,455,88.69,58,11.31,17022
17,23,331,296,89.43,35,10.57,17023
17,24,530,477,90.0,53,10.0,17024
17,25,236,204,86.44,32,13.56,17025
17,26,440,380,86.36,60,13.64,17026
17,27,516,458,88.76,58,11.24,17027
17,28,618,523,84.63,95,15.37,17028
17,29,557,485,87.07,72,12.93,17029
18,1,642,537,83.64,105,16.36,18001
18,2,714,599,83.89,115,16.11,18002
18,3,299,260,86.96,39,13.04,18003
18,4,518,443,85.52,75,14.48,18004
18,5,431,377,87.47,54,12.53,18005
18,6,751,679,90.41,72,9.59,18006
18,7,593,517,87.18,76,12.82,18007
18,8,853,741,86.87,112,13.13,18008
18,9,668,583,87.28,85,12.72,18009
18,10,771,683,88.59,88,11.41,18010
18,11,462,408,88.31,54,11.69,18011
18,12,688,594,86.34,94,13.66,18012
18,13,551,490,88.93,61,11.07,18013
18,14,433,377,87.07,56,12.93,18014
18,15,324,281,86.73,43,13.27,18015
18,16,500,434,86.8,66,13.2,18016
18,17,364,314,86.26,50,13.74,18017
18,18,462,386,83.55,76,16.45,18018
18,19,416,378,90.87,38,9.13,18019
18,20,370,319,86.22,51,13.78,18020
18,21,510,438,85.88,72,14.12,18021
18,22,498,401,80.52,97,19.48,18022
18,23,534,428,80.15,106,19.85,18023
18,24,600,506,84.33,94,15.67,18024
18,25,325,272,83.69,53,16.31,18025
18,26,564,463,82.09,101,17.91,18026
19,1,752,562,74.73,190,25.27,19001
19,2,726,606,83.47,120,16.53,19002
19,3,471,325,69.0,146,31.0,19003
19,4,486,346,71.19,140,28.81,19004
19,5,590,496,84.07,94,15.93,19005
19,6,509,361,70.92,148,29.08,19006
19,7,722,551,76.32,171,23.68,19007
19,8,576,492,85.42,84,14.58,19008
19,9,519,438,84.39,81,15.61,19009
19,10,569,465,81.72,104,18.28,19010
19,11,448,318,70.98,130,29.02,19011
19,12,663,470,70.89,193,29.11,19012
19,13,495,393,79.39,102,20.61,19013
19,14,692,565,81.65,127,18.35,19014
19,15,395,259,65.57,136,34.43,19015
19,16,483,347,71.84,136,28.16,19016
19,17,469,352,75.05,117,24.95,19017
19,18,425,296,69.65,129,30.35,19018
19,19,602,496,82.39,106,17.61,19019
19,20,484,410,84.71,74,15.29,19020
19,21,681,475,69.75,206,30.25,19021
19,22,553,446,80.65,107,19.35,19022
19,23,506,377,74.51,129,25.49,19023
19,24,458,315,68.78,143,31.22,19024
19,25,510,410,80.39,100,19.61,19025
19,26,466,394,84.55,72,15.45,19026
19,27,772,605,78.37,167,21.63,19027
19,28,942,761,80.79,181,19.21,19028
19,29,612,407,66.5,205,33.5,19029
19,30,469,316,67.38,153,32.62,19030
19,31,814,653,80.22,161,19.78,19031
19,32,506,434,85.77,72,14.23,19032
19,33,356,224,62.92,132,37.08,19033
19,34,821,672,81.85,149,18.15,19034
19,35,602,480,79.73,122,20.27,19035
19,36,466,365,78.33,101,21.67,19036
20,1,241,205,85.06,36,14.94,20001
20,2,133,105,78.95,28,21.05,20002
20,3,162,140,86.42,22,13.58,20003
20,4,128,114,89.06,14,10.94,20004
20,5,247,223,90.28,24,9.72,20005
20,6,160,140,87.5,20,12.5,20006
20,7,207,186,89.86,21,10.14,20007
20,8,249,214,85.94,35,14.06,20008
20,9,482,422,87.55,60,12.45,20009
20,10,521,447,85.8,74,14.2,20010
20,11,413,356,86.2,57,13.8,20011
20,12,84,71,84.52,13,15.48,20012
20,13,738,604,81.84,134,18.16,20013
20,14,437,358,81.92,79,18.08,20014
20,15,400,328,82.0,72,18.0,20015
20,16,448,383,85.49,65,14.51,20016
20,17,537,440,81.94,97,18.06,20017
20,18,652,519,79.6,133,20.4,20018
20,19,349,265,75.93,84,24.07,20019
20,20,463,390,84.23,73,15.77,20020
20,21,603,507,84.08,96,15.92,20021
20,22,558,465,83.33,93,16.67,20022
20,23,216,188,87.04,28,12.96,20023
21,1,629,535,85.06,94,14.94,21001
21,2,189,178,94.18,11,5.82,21002
21,3,666,588,88.29,78,11.71,21003
21,4,571,499,87.39,72,12.61,21004
21,5,604,523,86.59,81,13.41,21005
21,6,501,431,86.03,70,13.97,21006
21,7,708,600,84.75,108,15.25,21007
21,8,593,527,88.87,66,11.13,21008
21,9,195,163,83.59,32,16.41,21009
21,10,651,565,86.79,86,13.21,21010
21,11,669,580,86.7,89,13.3,21011
21,12,310,275,88.71,35,11.29,21012
21,13,501,431,86.03,70,13.97,21013
21,14,719,597,83.03,122,16.97,21014
21,15,709,610,86.04,99,13.96,21015
21,16,634,561,88.49,73,11.51,21016
21,17,471,408,86.62,63,13.38,21017
21,18,678,578,85.25,100,14.75,21018
21,19,585,489,83.59,96,16.41,21019
21,20,474,398,83.97,76,16.03,21020
21,21,700,607,86.71,93,13.29,21021
21,22,711,613,86.22,98,13.78,21022
21,23,512,442,86.33,70,13.67,21023
21,24,523,455,87.0,68,13.0,21024
21,25,410,356,86.83,54,13.17,21025
21,26,465,416,89.46,49,10.54,21026
21,27,687,585,85.15,102,14.85,21027
21,28,599,506,84.47,93,15.53,21028
21,29,607,518,85.34,89,14.66,21029
22,1,191,177,92.67,14,7.33,22001
22,2,124,102,82.26,22,17.74,22002
22,3,256,208,81.25,48,18.75,22003
22,4,157,133,84.71,24,15.29,22004
22,5,395,333,84.3,62,15.7,22005
22,6,209,168,80.38,41,19.62,22006
22,7,230,200,86.96,30,13.04,22007
22,8,253,222,87.75,31,12.25,22008
22,9,243,207,85.19,36,14.81,22009
22,10,318,283,88.99,35,11.01,22010
22,11,365,317,86.85,48,13.15,22011
22,12,227,189,83.26,38,16.74,22012
22,13,286,256,89.51,30,10.49,22013
22,14,261,222,85.06,39,14.94,22014
22,15,144,129,89.58,15,10.42,22015
22,16,319,262,82.13,57,17.87,22016
22,17,144,124,86.11,20,13.89,22017
22,18,292,262,89.73,30,10.27,22018
22,19,452,370,81.86,82,18.14,22019
23,1,261,186,71.26,75,28.74,23001
23,2,444,319,71.85,125,28.15,23002
23,3,264,211,79.92,53,20.08,23003
23,4,217,155,71.43,62,28.57,23004
23,5,396,289,72.98,107,27.02,23005
23,6,198,148,74.75,50,25.25,23006
23,7,281,204,72.6,77,27.4,23007
23,8,279,225,80.65,54,19.35,23008
23,9,426,339,79.58,87,20.42,23009
23,10,465,357,76.77,108,23.23,23010
23,11,216,182,84.26,34,15.74,23011
23,12,295,222,75.25,73,24.75,23012
23,13,505,420,83.17,85,16.83,23013
23,14,358,306,85.47,52,14.53,23014
23,15,387,324,83.72,63,16.28,23015
23,16,196,160,81.63,36,18.37,23016
23,17,275,235,85.45,40,14.55,23017
23,18,238,191,80.25,47,19.75,23018
23,19,199,163,81.91,36,18.09,23019
23,20,182,150,82.42,32,17.58,23020
23,21,171,146,85.38,25,14.62,23021
23,22,198,167,84.34,31,15.66,23022
23,23,188,159,84.57,29,15.43,23023
23,24,186,162,87.1,24,12.9,23024
23,25,158,142,89.87,16,10.13,23025
23,26,127,114,89.76,13,10.24,23026
23,27,170,152,89.41,18,10.59,23027
23,28,237,198,83.54,39,16.46,23028
23,29,315,265,84.13,50,15.87,23029
23,30,199,174,87.44,25,12.56,23030
23,31,224,190,84.82,34,15.18,23031
23,32,194,160,82.47,34,17.53,23032
23,33,426,359,84.27,67,15.73,23033
24,1,216,195,90.28,21,9.72,24001
24,2,198,175,88.38,23,11.62,24002
24,3,409,371,90.71,38,9.29,24003
24,4,344,299,86.92,45,13.08,24004
24,5,573,503,87.78,70,12.22,24005
24,6,360,313,86.94,47,13.06,24006
24,7,178,146,82.02,32,17.98,24007
24,8,242,211,87.19,31,12.81,24008
24,9,444,391,88.06,53,11.94,24009
24,10,319,286,89.66,33,10.34,24010
24,11,412,364,88.35,48,11.65,24011
24,12,456,397,87.06,59,12.94,24012
24,13,432,379,87.73,53,12.27,24013
24,14,330,302,91.52,28,8.48,24014
24,15,385,326,84.68,59,15.32,24015
24,16,496,417,84.07,79,15.93,24016
24,17,298,254,85.23,44,14.77,24017
24,18,475,385,81.05,90,18.95,24018
24,19,1050,752,71.62,298,28.38,24019
25,1,346,301,86.99,45,13.01,25001
25,2,234,202,86.32,32,13.68,25002
25,3,318,261,82.08,57,17.92,25003
25,4,392,313,79.85,79,20.15,25004
25,5,521,429,82.34,92,17.66,25005
25,6,532,427,80.26,105,19.74,25006
25,7,509,412,80.94,97,19.06,25007
25,8,524,430,82.06,94,17.94,25008
25,9,531,425,80.04,106,19.96,25009
25,10,586,488,83.28,98,16.72,25010
25,11,514,414,80.54,100,19.46,25011
25,12,455,353,77.58,102,22.42,25012
25,13,688,540,78.49,148,21.51,25013
25,14,697,562,80.63,135,19.37,25014
25,15,510,406,79.61,104,20.39,25015
25,16,685,562,82.04,123,17.96,25016
25,17,301,226,75.08,75,24.92,25017
26,1,222,188,84.68,34,15.32,26001
26,2,286,247,86.36,39,13.64,26002
26,3,475,398,83.79,77,16.21,26003
26,4,290,226,77.93,64,22.07,26004
26,5,388,310,79.9,78,20.1,26005
26,6,241,187,77.59,54,22.41,26006
26,7,365,305,83.56,60,16.44,26007
26,8,272,222,81.62,50,18.38,26008
