ward,precinct,total,Raymond W. Mitchell,Raymond W. Mitchell Percent,precinct_id
3,17,166,166,100.0,03017
3,18,208,208,100.0,03018
3,19,757,757,100.0,03019
3,20,521,521,100.0,03020
3,21,526,526,100.0,03021
3,22,423,423,100.0,03022
3,23,260,260,100.0,03023
3,24,122,122,100.0,03024
3,25,756,756,100.0,03025
3,26,273,273,100.0,03026
3,27,637,637,100.0,03027
4,1,757,757,100.0,04001
4,2,288,288,100.0,04002
4,3,498,498,100.0,04003
4,4,613,613,100.0,04004
4,5,281,281,100.0,04005
4,6,421,421,100.0,04006
4,7,306,306,100.0,04007
4,8,436,436,100.0,04008
4,9,469,469,100.0,04009
4,10,438,438,100.0,04010
4,11,581,581,100.0,04011
4,12,371,371,100.0,04012
4,13,366,366,100.0,04013
4,14,355,355,100.0,04014
4,15,335,335,100.0,04015
4,16,464,464,100.0,04016
4,17,637,637,100.0,04017
4,18,183,183,100.0,04018
4,19,413,413,100.0,04019
4,20,589,589,100.0,04020
4,21,375,375,100.0,04021
4,22,195,195,100.0,04022
4,23,347,347,100.0,04023
4,24,649,649,100.0,04024
4,25,800,800,100.0,04025
4,26,683,683,100.0,04026
4,27,763,763,100.0,04027
4,28,793,793,100.0,04028
5,1,563,563,100.0,05001
5,2,657,657,100.0,05002
5,3,590,590,100.0,05003
5,4,482,482,100.0,05004
5,5,289,289,100.0,05005
5,6,253,253,100.0,05006
5,7,150,150,100.0,05007
5,8,172,172,100.0,05008
5,9,169,169,100.0,05009
5,10,290,290,100.0,05010
5,11,366,366,100.0,05011
5,12,654,654,100.0,05012
5,13,281,281,100.0,05013
5,14,302,302,100.0,05014
5,15,912,912,100.0,05015
5,16,568,568,100.0,05016
5,17,424,424,100.0,05017
5,18,842,842,100.0,05018
5,19,373,373,100.0,05019
5,20,622,622,100.0,05020
5,21,532,532,100.0,05021
5,22,611,611,100.0,05022
5,23,340,340,100.0,05023
5,24,387,387,100.0,05024
5,25,837,837,100.0,05025
6,1,172,172,100.0,06001
6,2,217,217,100.0,06002
6,3,65,65,100.0,06003
6,4,174,174,100.0,06004
6,5,296,296,100.0,06005
6,6,280,280,100.0,06006
6,7,332,332,100.0,06007
6,8,262,262,100.0,06008
6,9,531,531,100.0,06009
6,10,318,318,100.0,06010
6,11,162,162,100.0,06011
6,12,350,350,100.0,06012
6,13,470,470,100.0,06013
6,14,447,447,100.0,06014
6,15,467,467,100.0,06015
6,16,289,289,100.0,06016
6,17,527,527,100.0,06017
6,18,593,593,100.0,06018
6,19,381,381,100.0,06019
6,20,668,668,100.0,06020
6,21,474,474,100.0,06021
6,22,672,672,100.0,06022
6,23,617,617,100.0,06023
6,24,560,560,100.0,06024
