ward,precinct,total,Alexi Giannoulias,Alexi Giannoulias Percent,Dan Brady,Dan Brady Percent,Jon Stewart,Jon Stewart Percent,precinct_id
20,18,716,651,90.92,48,6.7,17,2.37,20018
20,19,379,355,93.67,17,4.49,7,1.85,20019
20,20,505,482,95.45,15,2.97,8,1.58,20020
20,21,651,624,95.85,14,2.15,13,2.0,20021
20,22,593,561,94.6,18,3.04,14,2.36,20022
20,23,244,220,90.16,17,6.97,7,2.87,20023
21,1,664,633,95.33,15,2.26,16,2.41,21001
21,2,206,200,97.09,5,2.43,1,0.49,21002
21,3,699,667,95.42,18,2.58,14,2.0,21003
21,4,597,564,94.47,16,2.68,17,2.85,21004
21,5,625,598,95.68,13,2.08,14,2.24,21005
21,6,532,496,93.23,21,3.95,15,2.82,21006
21,7,745,709,95.17,21,2.82,15,2.01,21007
21,8,637,597,93.72,22,3.45,18,2.83,21008
21,9,208,195,93.75,10,4.81,3,1.44,21009
21,10,689,656,95.21,21,3.05,12,1.74,21010
21,11,713,666,93.41,28,3.93,19,2.66,21011
21,12,331,308,93.05,15,4.53,8,2.42,21012
21,13,519,495,95.38,15,2.89,9,1.73,21013
21,14,761,724,95.14,27,3.55,10,1.31,21014
21,15,734,695,94.69,25,3.41,14,1.91,21015
21,16,660,628,95.15,20,3.03,12,1.82,21016
21,17,503,489,97.22,11,2.19,3,0.6,21017
21,18,716,682,95.25,20,2.79,14,1.96,21018
21,19,607,575,94.73,21,3.46,11,1.81,21019
21,20,505,478,94.65,17,3.37,10,1.98,21020
21,21,743,709,95.42,19,2.56,15,2.02,21021
21,22,770,730,94.81,21,2.73,19,2.47,21022
21,23,546,522,95.6,17,3.11,7,1.28,21023
21,24,549,530,96.54,13,2.37,6,1.09,21024
21,25,432,413,95.6,12,2.78,7,1.62,21025
21,26,494,469,94.94,15,3.04,10,2.02,21026
21,27,731,688,94.12,33,4.51,10,1.37,21027
21,28,644,604,93.79,20,3.11,20,3.11,21028
21,29,640,604,94.38,23,3.59,13,2.03,21029
22,1,205,196,95.61,7,3.41,2,0.98,22001
22,2,128,116,90.63,10,7.81,2,1.56,22002
22,3,287,233,81.18,43,14.98,11,3.83,22003
22,4,171,152,88.89,16,9.36,3,1.75,22004
22,5,433,355,81.99,61,14.09,17,3.93,22005
22,6,223,190,85.2,27,12.11,6,2.69,22006
22,7,251,213,84.86,31,12.35,7,2.79,22007
22,8,277,238,85.92,33,11.91,6,2.17,22008
22,9,265,237,89.43,22,8.3,6,2.26,22009
22,10,344,294,85.47,45,13.08,5,1.45,22010
22,11,378,330,87.3,39,10.32,9,2.38,22011
22,12,238,195,81.93,37,15.55,6,2.52,22012
22,13,311,271,87.14,34,10.93,6,1.93,22013
22,14,287,243,84.67,34,11.85,10,3.48,22014
22,15,157,139,88.54,13,8.28,5,3.18,22015
22,16,362,254,70.17,95,26.24,13,3.59,22016
22,17,152,142,93.42,8,5.26,2,1.32,22017
22,18,319,305,95.61,7,2.19,7,2.19,22018
22,19,525,389,74.1,127,24.19,9,1.71,22019
23,1,321,143,44.55,171,53.27,7,2.18,23001
23,2,553,272,49.19,277,50.09,4,0.72,23002
23,3,340,171,50.29,162,47.65,7,2.06,23003
23,4,269,126,46.84,138,51.3,5,1.86,23004
23,5,460,222,48.26,226,49.13,12,2.61,23005
23,6,257,119,46.3,130,50.58,8,3.11,23006
23,7,341,163,47.8,170,49.85,8,2.35,23007
23,8,348,181,52.01,163,46.84,4,1.15,23008
23,9,531,270,50.85,242,45.57,19,3.58,23009
23,10,537,311,57.91,208,38.73,18,3.35,23010
23,11,242,167,69.01,69,28.51,6,2.48,23011
23,12,329,214,65.05,110,33.43,5,1.52,23012
23,13,589,397,67.4,182,30.9,10,1.7,23013
23,14,390,278,71.28,95,24.36,17,4.36,23014
23,15,428,289,67.52,126,29.44,13,3.04,23015
23,16,212,152,71.7,51,24.06,9,4.25,23016
23,17,296,251,84.8,41,13.85,4,1.35,23017
23,18,252,188,74.6,60,23.81,4,1.59,23018
23,19,210,157,74.76,46,21.9,7,3.33,23019
23,20,199,156,78.39,37,18.59,6,3.02,23020
23,21,187,144,77.01,37,19.79,6,3.21,23021
23,22,211,158,74.88,46,21.8,7,3.32,23022
23,23,211,166,78.67,39,18.48,6,2.84,23023
23,24,202,162,80.2,30,14.85,10,4.95,23024
23,25,167,134,80.24,29,17.37,4,2.4,23025
23,26,132,111,84.09,20,15.15,1,0.76,23026
23,27,177,135,76.27,41,23.16,1,0.56,23027
23,28,252,207,82.14,44,17.46,1,0.4,23028
23,29,335,264,78.81,55,16.42,16,4.78,23029
23,30,209,169,80.86,37,17.7,3,1.44,23030
23,31,246,195,79.27,46,18.7,5,2.03,23031
23,32,206,162,78.64,39,18.93,5,2.43,23032
23,33,466,360,77.25,95,20.39,11,2.36,23033
24,1,247,237,95.95,10,4.05,0,0.0,24001
24,2,215,203,94.42,9,4.19,3,1.4,24002
24,3,431,409,94.9,15,3.48,7,1.62,24003
24,4,386,350,90.67,27,6.99,9,2.33,24004
24,5,620,595,95.97,14,2.26,11,1.77,24005
24,6,390,371,95.13,9,2.31,10,2.56,24006
24,7,187,175,93.58,9,4.81,3,1.6,24007
24,8,267,248,92.88,12,4.49,7,2.62,24008
24,9,465,435,93.55,22,4.73,8,1.72,24009
24,10,340,323,95.0,11,3.24,6,1.76,24010
24,11,449,421,93.76,15,3.34,13,2.9,24011
24,12,495,469,94.75,16,3.23,10,2.02,24012
24,13,467,432,92.51,26,5.57,9,1.93,24013
24,14,371,348,93.8,17,4.58,6,1.62,24014
24,15,400,372,93.0,14,3.5,14,3.5,24015
24,16,530,483,91.13,29,5.47,18,3.4,24016
24,17,312,294,94.23,13,4.17,5,1.6,24017
24,18,512,460,89.84,39,7.62,13,2.54,24018
24,19,1095,799,72.97,182,16.62,114,10.41,24019
25,1,373,333,89.28,36,9.65,4,1.07,25001
25,2,250,220,88.0,27,10.8,3,1.2,25002
25,3,329,285,86.63,34,10.33,10,3.04,25003
25,4,429,357,83.22,54,12.59,18,4.2,25004
25,5,547,486,88.85,35,6.4,26,4.75,25005
25,6,588,496,84.35,78,13.27,14,2.38,25006
25,7,560,469,83.75,73,13.04,18,3.21,25007
25,8,569,485,85.24,68,11.95,16,2.81,25008
25,9,580,505,87.07,53,9.14,22,3.79,25009
25,10,631,564,89.38,52,8.24,15,2.38,25010
25,11,564,500,88.65,56,9.93,8,1.42,25011
25,12,488,436,89.34,37,7.58,15,3.07,25012
25,13,755,641,84.9,92,12.19,22,2.91,25013
25,14,761,673,88.44,67,8.8,21,2.76,25014
25,15,603,470,77.94,118,19.57,15,2.49,25015
25,16,740,637,86.08,81,10.95,22,2.97,25016
25,17,315,270,85.71,36,11.43,9,2.86,25017
26,1,253,200,79.05,47,18.58,6,2.37,26001
26,2,298,265,88.93,30,10.07,3,1.01,26002
