ward,precinct,total,Dennis Deer,Dennis Deer Percent,Evan Kasal,Evan Kasal Percent,precinct_id
24,15,376,357,94.95,19,5.05,24015
24,16,509,478,93.91,31,6.09,24016
24,17,296,275,92.91,21,7.09,24017
24,18,290,269,92.76,21,7.24,24018
25,13,562,483,85.94,79,14.06,25013
27,1,533,433,81.24,100,18.76,27001
27,2,716,573,80.03,143,19.97,27002
27,4,476,442,92.86,34,7.14,27004
27,7,838,726,86.63,112,13.37,27007
27,10,323,296,91.64,27,8.36,27010
27,11,112,91,81.25,21,18.75,27011
27,13,98,77,78.57,21,21.43,27013
27,14,388,363,93.56,25,6.44,27014
27,16,707,549,77.65,158,22.35,27016
27,17,250,224,89.6,26,10.4,27017
27,18,575,527,91.65,48,8.35,27018
27,22,370,350,94.59,20,5.41,27022
27,26,490,457,93.27,33,6.73,27026
27,27,328,293,89.33,35,10.67,27027
28,8,330,317,96.06,13,3.94,28008
28,9,203,194,95.57,9,4.43,28009
28,10,121,114,94.21,7,5.79,28010
28,11,546,484,88.64,62,11.36,28011
28,12,711,605,85.09,106,14.91,28012
28,13,558,441,79.03,117,20.97,28013
28,14,471,430,91.3,41,8.7,28014
28,15,206,195,94.66,11,5.34,28015
28,16,573,506,88.31,67,11.69,28016
28,17,281,265,94.31,16,5.69,28017
28,19,78,76,97.44,2,2.56,28019
28,20,199,188,94.47,11,5.53,28020
28,22,65,63,96.92,2,3.08,28022
28,24,86,83,96.51,3,3.49,28024
34,1,624,513,82.21,111,17.79,34001
34,2,385,286,74.29,99,25.71,34002
34,3,864,702,81.25,162,18.75,34003
34,4,480,366,76.25,114,23.75,34004
34,5,662,556,83.99,106,16.01,34005
34,6,592,466,78.72,126,21.28,34006
34,7,272,210,77.21,62,22.79,34007
34,8,480,365,76.04,115,23.96,34008
34,9,917,655,71.43,262,28.57,34009
34,10,374,280,74.87,94,25.13,34010
34,11,604,470,77.81,134,22.19,34011
34,12,598,465,77.76,133,22.24,34012
34,13,697,534,76.61,163,23.39,34013
34,14,722,525,72.71,197,27.29,34014
34,15,498,402,80.72,96,19.28,34015
34,16,649,558,85.98,91,14.02,34016
34,18,757,652,86.13,105,13.87,34018
34,19,366,307,83.88,59,16.12,34019
34,20,664,512,77.11,152,22.89,34020
36,24,624,532,85.26,92,14.74,36024
36,26,648,564,87.04,84,12.96,36026
36,27,725,617,85.1,108,14.9,36027
42,10,502,336,66.93,166,33.07,42010
42,11,534,453,84.83,81,15.17,42011
42,14,250,208,83.2,42,16.8,42014
42,15,268,173,64.55,95,35.45,42015
42,17,702,504,71.79,198,28.21,42017
42,19,176,137,77.84,39,22.16,42019
