ward,precinct,total,Susana A. Mendoza,Susana A. Mendoza Percent,Shannon L. Teresi,Shannon L. Teresi Percent,Deirdre McCloskey,Deirdre McCloskey Percent,precinct_id
7,17,163,154,94.48,7,4.29,2,1.23,07017
7,18,100,94,94.0,3,3.0,3,3.0,07018
7,19,757,727,96.04,27,3.57,3,0.4,07019
7,20,385,369,95.84,9,2.34,7,1.82,07020
7,21,305,295,96.72,7,2.3,3,0.98,07021
7,22,386,374,96.89,7,1.81,5,1.3,07022
7,23,256,247,96.48,7,2.73,2,0.78,07023
7,24,72,67,93.06,4,5.56,1,1.39,07024
7,25,417,400,95.92,11,2.64,6,1.44,07025
7,26,579,550,94.99,21,3.63,8,1.38,07026
7,27,350,338,96.57,10,2.86,2,0.57,07027
7,28,212,209,98.58,1,0.47,2,0.94,07028
7,29,311,305,98.07,6,1.93,0,0.0,07029
7,30,284,271,95.42,10,3.52,3,1.06,07030
7,31,132,126,95.45,6,4.55,0,0.0,07031
8,1,615,578,93.98,24,3.9,13,2.11,08001
8,2,311,299,96.14,11,3.54,1,0.32,08002
8,3,252,244,96.83,4,1.59,4,1.59,08003
8,4,576,558,96.88,13,2.26,5,0.87,08004
8,5,401,388,96.76,5,1.25,8,2.0,08005
8,6,693,668,96.39,17,2.45,8,1.15,08006
8,7,402,385,95.77,15,3.73,2,0.5,08007
8,8,821,790,96.22,21,2.56,10,1.22,08008
8,9,553,526,95.12,19,3.44,8,1.45,08009
8,10,603,577,95.69,17,2.82,9,1.49,08010
8,11,503,482,95.83,9,1.79,12,2.39,08011
8,12,567,548,96.65,11,1.94,8,1.41,08012
8,13,536,518,96.64,8,1.49,10,1.87,08013
8,14,621,599,96.46,12,1.93,10,1.61,08014
8,15,475,449,94.53,18,3.79,8,1.68,08015
8,16,430,413,96.05,10,2.33,7,1.63,08016
8,17,705,677,96.03,16,2.27,12,1.7,08017
8,18,962,938,97.51,12,1.25,12,1.25,08018
8,19,756,715,94.58,31,4.1,10,1.32,08019
8,20,355,340,95.77,8,2.25,7,1.97,08020
8,21,383,366,95.56,14,3.66,3,0.78,08021
8,22,284,272,95.77,11,3.87,1,0.35,08022
8,23,817,785,96.08,22,2.69,10,1.22,08023
8,24,518,502,96.91,7,1.35,9,1.74,08024
8,25,222,216,97.3,5,2.25,1,0.45,08025
8,26,435,412,94.71,11,2.53,12,2.76,08026
8,27,564,534,94.68,18,3.19,12,2.13,08027
8,28,376,366,97.34,6,1.6,4,1.06,08028
8,29,546,524,95.97,17,3.11,5,0.92,08029
8,30,481,466,96.88,11,2.29,4,0.83,08030
9,1,622,596,95.82,16,2.57,10,1.61,09001
9,2,439,427,97.27,11,2.51,1,0.23,09002
9,3,215,208,96.74,2,0.93,5,2.33,09003
9,4,444,427,96.17,14,3.15,3,0.68,09004
9,5,461,435,94.36,16,3.47,10,2.17,09005
9,6,740,716,96.76,15,2.03,9,1.22,09006
9,7,602,573,95.18,19,3.16,10,1.66,09007
9,8,593,576,97.13,9,1.52,8,1.35,09008
9,9,378,359,94.97,14,3.7,5,1.32,09009
9,10,700,680,97.14,13,1.86,7,1.0,09010
9,11,251,240,95.62,6,2.39,5,1.99,09011
9,12,637,614,96.39,16,2.51,7,1.1,09012
9,13,597,566,94.81,24,4.02,7,1.17,09013
9,14,344,336,97.67,5,1.45,3,0.87,09014
9,15,476,462,97.06,9,1.89,5,1.05,09015
9,16,646,613,94.89,22,3.41,11,1.7,09016
9,17,192,179,93.23,11,5.73,2,1.04,09017
9,18,340,322,94.71,14,4.12,4,1.18,09018
9,19,261,245,93.87,10,3.83,6,2.3,09019
9,20,504,443,87.9,52,10.32,9,1.79,09020
9,21,564,534,94.68,17,3.01,13,2.3,09021
9,22,405,381,94.07,18,4.44,6,1.48,09022
9,23,329,314,95.44,7,2.13,8,2.43,09023
9,24,491,469,95.52,16,3.26,6,1.22,09024
9,25,378,363,96.03,11,2.91,4,1.06,09025
9,26,536,521,97.2,11,2.05,4,0.75,09026
9,27,309,296,95.79,5,1.62,8,2.59,09027
9,28,253,239,94.47,11,4.35,3,1.19,09028
9,29,723,706,97.65,9,1.24,8,1.11,09029
9,30,601,577,96.01,16,2.66,8,1.33,09030
10,1,153,141,92.16,9,5.88,3,1.96,10001
10,2,201,185,92.04,13,6.47,3,1.49,10002
10,3,313,287,91.69,23,7.35,3,0.96,10003
10,4,382,364,95.29,13,3.4,5,1.31,10004
10,5,138,108,78.26,28,20.29,2,1.45,10005
10,6,178,160,89.89,15,8.43,3,1.69,10006
10,7,336,266,79.17,64,19.05,6,1.79,10007
10,8,314,246,78.34,64,20.38,4,1.27,10008
10,9,354,305,86.16,41,11.58,8,2.26,10009
10,10,370,305,82.43,58,15.68,7,1.89,10010
10,11,128,108,84.38,18,14.06,2,1.56,10011
10,12,339,292,86.14,43,12.68,4,1.18,10012
10,13,407,320,78.62,81,19.9,6,1.47,10013
10,14,537,413,76.91,111,20.67,13,2.42,10014
10,15,442,341,77.15,93,21.04,8,1.81,10015
10,16,555,439,79.1,107,19.28,9,1.62,10016
10,17,495,360,72.73,125,25.25,10,2.02,10017
10,18,601,403,67.05,187,31.11,11,1.83,10018
10,19,391,273,69.82,111,28.39,7,1.79,10019
10,20,226,177,78.32,44,19.47,5,2.21,10020
10,21,299,205,68.56,88,29.43,6,2.01,10021
10,22,564,371,65.78,184,32.62,9,1.6,10022
10,23,352,326,92.61,22,6.25,4,1.14,10023
10,24,187,178,95.19,7,3.74,2,1.07,10024
10,25,276,256,92.75,13,4.71,7,2.54,10025
11,1,209,167,79.9,34,16.27,8,3.83,11001
11,2,90,75,83.33,12,13.33,3,3.33,11002
11,3,606,419,69.14,173,28.55,14,2.31,11003
11,4,406,309,76.11,85,20.94,12,2.96,11004
11,5,434,291,67.05,130,29.95,13,3.0,11005
11,6,526,415,78.9,106,20.15,5,0.95,11006
11,7,316,230,72.78,77,24.37,9,2.85,11007
11,8,559,338,60.47,205,36.67,16,2.86,11008
11,9,562,377,67.08,173,30.78,12,2.14,11009
11,10,121,71,58.68,48,39.67,2,1.65,11010
11,11,100,66,66.0,31,31.0,3,3.0,11011
11,12,215,129,60.0,79,36.74,7,3.26,11012
11,13,515,343,66.6,166,32.23,6,1.17,11013
11,14,905,651,71.93,237,26.19,17,1.88,11014
11,15,633,530,83.73,85,13.43,18,2.84,11015
11,16,777,622,80.05,142,18.28,13,1.67,11016
11,17,362,254,70.17,102,28.18,6,1.66,11017
11,18,496,385,77.62,100,20.16,11,2.22,11018
11,19,167,124,74.25,39,23.35,4,2.4,11019
11,20,498,373,74.9,120,24.1,5,1.0,11020
11,21,828,558,67.39,254,30.68,16,1.93,11021
11,22,576,341,59.2,228,39.58,7,1.22,11022
11,23,590,395,66.95,183,31.02,12,2.03,11023
12,1,303,231,76.24,55,18.15,17,5.61,12001
12,2,219,186,84.93,27,12.33,6,2.74,12002
12,3,417,340,81.53,69,16.55,8,1.92,12003
12,4,337,283,83.98,45,13.35,9,2.67,12004
12,5,336,266,79.17,61,18.15,9,2.68,12005
12,6,298,238,79.87,54,18.12,6,2.01,12006
12,7,305,252,82.62,46,15.08,7,2.3,12007
12,8,289,240,83.04,43,14.88,6,2.08,12008
12,9,163,127,77.91,31,19.02,5,3.07,12009
12,10,320,248,77.5,66,20.63,6,1.88,12010
12,11,250,210,84.0,35,14.0,5,2.0,12011
12,12,216,175,81.02,36,16.67,5,2.31,12012
12,13,241,195,80.91,37,15.35,9,3.73,12013
12,14,276,237,85.87,33,11.96,6,2.17,12014
12,15,281,229,81.49,42,14.95,10,3.56,12015
12,16,318,256,80.5,54,16.98,8,2.52,12016
12,17,285,237,83.16,43,15.09,5,1.75,12017
12,18,328,282,85.98,34,10.37,12,3.66,12018
12,19,180,148,82.22,27,15.0,5,2.78,12019
12,20,245,219,89.39,23,9.39,3,1.22,12020
12,21,253,213,84.19,33,13.04,7,2.77,12021
12,22,232,192,82.76,35,15.09,5,2.16,12022
13,1,269,213,79.18,49,18.22,7,2.6,13001
13,2,316,241,76.27,72,22.78,3,0.95,13002
13,3,495,265,53.54,219,44.24,11,2.22,13003
13,4,358,293,81.84,59,16.48,6,1.68,13004
13,5,328,207,63.11,113,34.45,8,2.44,13005
13,6,354,226,63.84,120,33.9,8,2.26,13006
13,7,316,193,61.08,119,37.66,4,1.27,13007
13,8,423,313,74.0,104,24.59,6,1.42,13008
13,9,519,309,59.54,202,38.92,8,1.54,13009
13,10,495,283,57.17,206,41.62,6,1.21,13010
13,11,266,176,66.17,85,31.95,5,1.88,13011
13,12,242,189,78.1,42,17.36,11,4.55,13012
13,13,338,190,56.21,144,42.6,4,1.18,13013
13,14,321,217,67.6,101,31.46,3,0.93,13014
13,15,324,194,59.88,128,39.51,2,0.62,13015
13,16,370,281,75.95,83,22.43,6,1.62,13016
13,17,406,329,81.03,68,16.75,9,2.22,13017
13,18,280,211,75.36,68,24.29,1,0.36,13018
13,19,264,151,57.2,108,40.91,5,1.89,13019
13,20,410,261,63.66,142,34.63,7,1.71,13020
13,21,337,199,59.05,131,38.87,7,2.08,13021
13,22,409,326,79.71,79,19.32,4,0.98,13022
13,23,444,240,54.05,196,44.14,8,1.8,13023
13,24,318,222,69.81,91,28.62,5,1.57,13024
13,25,315,246,78.1,61,19.37,8,2.54,13025
13,26,263,209,79.47,51,19.39,3,1.14,13026
13,27,210,161,76.67,46,21.9,3,1.43,13027
13,28,272,218,80.15,49,18.01,5,1.84,13028
13,29,247,204,82.59,40,16.19,3,1.21,13029
13,30,408,242,59.31,158,38.73,8,1.96,13030
13,31,283,158,55.83,120,42.4,5,1.77,13031
13,32,278,187,67.27,83,29.86,8,2.88,13032
13,33,329,231,70.21,91,27.66,7,2.13,13033
13,34,450,275,61.11,168,37.33,7,1.56,13034
13,35,520,339,65.19,174,33.46,7,1.35,13035
13,36,188,159,84.57,25,13.3,4,2.13,13036
13,37,455,240,52.75,206,45.27,9,1.98,13037
13,38,227,160,70.48,63,27.75,4,1.76,13038
13,39,421,236,56.06,179,42.52,6,1.43,13039
13,40,358,222,62.01,132,36.87,4,1.12,13040
14,1,490,417,85.1,67,13.67,6,1.22,14001
14,2,304,245,80.59,53,17.43,6,1.97,14002
14,3,207,176,85.02,28,13.53,3,1.45,14003
14,4,101,88,87.13,10,9.9,3,2.97,14004
14,5,351,312,88.89,36,10.26,3,0.85,14005
14,6,440,394,89.55,42,9.55,4,0.91,14006
14,7,468,339,72.44,118,25.21,11,2.35,14007
14,8,427,340,79.63,82,19.2,5,1.17,14008
14,9,437,364,83.3,65,14.87,8,1.83,14009
14,10,412,358,86.89,47,11.41,7,1.7,14010
14,11,451,380,84.26,62,13.75,9,2.0,14011
14,12,288,241,83.68,36,12.5,11,3.82,14012
14,13,519,413,79.58,101,19.46,5,0.96,14013
14,14,244,214,87.7,27,11.07,3,1.23,14014
14,15,253,208,82.21,34,13.44,11,4.35,14015
15,1,336,180,53.57,152,45.24,4,1.19,15001
15,2,462,263,56.93,188,40.69,11,2.38,15002
15,3,163,97,59.51,61,37.42,5,3.07,15003
15,4,219,195,89.04,21,9.59,3,1.37,15004
15,5,240,209,87.08,24,10.0,7,2.92,15005
15,6,293,250,85.32,40,13.65,3,1.02,15006
15,7,204,168,82.35,28,13.73,8,3.92,15007
15,8,249,223,89.56,24,9.64,2,0.8,15008
15,9,283,232,81.98,42,14.84,9,3.18,15009
15,10,220,202,91.82,8,3.64,10,4.55,15010
15,11,217,194,89.4,19,8.76,4,1.84,15011
15,12,284,243,85.56,35,12.32,6,2.11,15012
15,13,217,186,85.71,27,12.44,4,1.84,15013
15,14,218,194,88.99,21,9.63,3,1.38,15014
15,15,221,200,90.5,17,7.69,4,1.81,15015
15,16,349,327,93.7,15,4.3,7,2.01,15016
15,17,425,395,92.94,18,4.24,12,2.82,15017
15,18,306,289,94.44,14,4.58,3,0.98,15018
15,19,186,166,89.25,13,6.99,7,3.76,15019
15,20,246,214,86.99,29,11.79,3,1.22,15020
16,1,366,338,92.35,23,6.28,5,1.37,16001
16,2,231,219,94.81,10,4.33,2,0.87,16002
16,3,291,277,95.19,9,3.09,5,1.72,16003
16,4,202,196,97.03,1,0.5,5,2.48,16004
16,5,405,392,96.79,7,1.73,6,1.48,16005
16,6,396,379,95.71,11,2.78,6,1.52,16006
16,7,211,196,92.89,12,5.69,3,1.42,16007
16,8,166,153,92.17,9,5.42,4,2.41,16008
16,9,376,355,94.41,15,3.99,6,1.6,16009
16,10,315,301,95.56,8,2.54,6,1.9,16010
16,11,256,239,93.36,11,4.3,6,2.34,16011
16,12,109,101,92.66,6,5.5,2,1.83,16012
16,13,167,159,95.21,4,2.4,4,2.4,16013
16,14,428,396,92.52,21,4.91,11,2.57,16014
16,15,357,333,93.28,14,3.92,10,2.8,16015
16,16,271,246,90.77,15,5.54,10,3.69,16016
16,17,460,418,90.87,29,6.3,13,2.83,16017
16,18,432,401,92.82,21,4.86,10,2.31,16018
16,19,329,307,93.31,17,5.17,5,1.52,16019
16,20,340,324,95.29,7,2.06,9,2.65,16020
16,21,246,229,93.09,10,4.07,7,2.85,16021
16,22,348,319,91.67,25,7.18,4,1.15,16022
16,23,230,208,90.43,18,7.83,4,1.74,16023
16,24,283,268,94.7,10,3.53,5,1.77,16024
16,25,137,126,91.97,10,7.3,1,0.73,16025
17,1,441,387,87.76,50,11.34,4,0.91,17001
17,2,269,242,89.96,17,6.32,10,3.72,17002
17,3,331,313,94.56,11,3.32,7,2.11,17003
17,4,337,322,95.55,12,3.56,3,0.89,17004
17,5,216,207,95.83,4,1.85,5,2.31,17005
17,6,318,308,96.86,6,1.89,4,1.26,17006
17,7,187,173,92.51,7,3.74,7,3.74,17007
17,8,242,232,95.87,7,2.89,3,1.24,17008
17,9,246,239,97.15,7,2.85,0,0.0,17009
17,10,508,488,96.06,10,1.97,10,1.97,17010
17,11,296,283,95.61,9,3.04,4,1.35,17011
17,12,182,175,96.15,7,3.85,0,0.0,17012
17,13,207,205,99.03,0,0.0,2,0.97,17013
17,14,215,205,95.35,8,3.72,2,0.93,17014
17,15,606,584,96.37,11,1.82,11,1.82,17015
17,16,273,259,94.87,11,4.03,3,1.1,17016
17,17,235,219,93.19,12,5.11,4,1.7,17017
17,18,684,661,96.64,10,1.46,13,1.9,17018
17,19,460,448,97.39,5,1.09,7,1.52,17019
17,20,455,437,96.04,15,3.3,3,0.66,17020
17,21,554,537,96.93,14,2.53,3,0.54,17021
17,22,544,517,95.04,17,3.13,10,1.84,17022
17,23,351,338,96.3,9,2.56,4,1.14,17023
17,24,574,560,97.56,10,1.74,4,0.7,17024
17,25,254,243,95.67,9,3.54,2,0.79,17025
17,26,466,449,96.35,11,2.36,6,1.29,17026
17,27,550,528,96.0,16,2.91,6,1.09,17027
17,28,648,620,95.68,16,2.47,12,1.85,17028
17,29,590,566,95.93,16,2.71,8,1.36,17029
18,1,704,667,94.74,25,3.55,12,1.7,18001
18,2,752,722,96.01,16,2.13,14,1.86,18002
18,3,310,295,95.16,9,2.9,6,1.94,18003
18,4,553,515,93.13,24,4.34,14,2.53,18004
18,5,465,448,96.34,10,2.15,7,1.51,18005
18,6,793,761,95.96,23,2.9,9,1.13,18006
18,7,632,595,94.15,30,4.75,7,1.11,18007
18,8,908,869,95.7,30,3.3,9,0.99,18008
18,9,697,660,94.69,30,4.3,7,1.0,18009
18,10,808,766,94.8,34,4.21,8,0.99,18010
18,11,487,471,96.71,13,2.67,3,0.62,18011
18,12,727,682,93.81,31,4.26,14,1.93,18012
18,13,587,530,90.29,46,7.84,11,1.87,18013
18,14,467,434,92.93,22,4.71,11,2.36,18014
18,15,334,315,94.31,15,4.49,4,1.2,18015
18,16,530,502,94.72,20,3.77,8,1.51,18016
18,17,397,367,92.44,24,6.05,6,1.51,18017
18,18,503,422,83.9,74,14.71,7,1.39,18018
18,19,441,401,90.93,33,7.48,7,1.59,18019
18,20,409,354,86.55,46,11.25,9,2.2,18020
18,21,542,498,91.88,35,6.46,9,1.66,18021
18,22,567,428,75.49,132,23.28,7,1.23,18022
18,23,644,444,68.94,190,29.5,10,1.55,18023
18,24,681,554,81.35,115,16.89,12,1.76,18024
18,25,371,281,75.74,83,22.37,7,1.89,18025
18,26,627,488,77.83,117,18.66,22,3.51,18026
19,1,884,534,60.41,335,37.9,15,1.7,19001
19,2,825,708,85.82,111,13.45,6,0.73,19002
19,3,656,232,35.37,414,63.11,10,1.52,19003
19,4,620,249,40.16,359,57.9,12,1.94,19004
19,5,677,539,79.62,130,19.2,8,1.18,19005
19,6,660,306,46.36,345,52.27,9,1.36,19006
19,7,892,507,56.84,367,41.14,18,2.02,19007
19,8,606,579,95.54,16,2.64,11,1.82,19008
19,9,562,534,95.02,23,4.09,5,0.89,19009
19,10,657,522,79.45,120,18.26,15,2.28,19010
19,11,554,266,48.01,278,50.18,10,1.81,19011
19,12,866,375,43.3,475,54.85,16,1.85,19012
19,13,528,493,93.37,28,5.3,7,1.33,19013
19,14,763,651,85.32,99,12.98,13,1.7,19014
19,15,510,203,39.8,298,58.43,9,1.76,19015
19,16,617,284,46.03,324,52.51,9,1.46,19016
19,17,590,315,53.39,272,46.1,3,0.51,19017
19,18,570,213,37.37,347,60.88,10,1.75,19018
19,19,687,559,81.37,117,17.03,11,1.6,19019
19,20,509,473,92.93,31,6.09,5,0.98,19020
19,21,875,366,41.83,500,57.14,9,1.03,19021
19,22,669,492,73.54,167,24.96,10,1.49,19022
19,23,638,353,55.33,275,43.1,10,1.57,19023
19,24,612,254,41.5,352,57.52,6,0.98,19024
19,25,570,467,81.93,89,15.61,14,2.46,19025
19,26,566,410,72.44,150,26.5,6,1.06,19026
19,27,822,733,89.17,74,9.0,15,1.82,19027
19,28,1018,924,90.77,75,7.37,19,1.87,19028
19,29,735,344,46.8,378,51.43,13,1.77,19029
19,30,637,260,40.82,369,57.93,8,1.26,19030
19,31,950,731,76.95,202,21.26,17,1.79,19031
19,32,555,491,88.47,52,9.37,12,2.16,19032
19,33,467,161,34.48,295,63.17,11,2.36,19033
19,34,1013,590,58.24,403,39.78,20,1.97,19034
19,35,683,514,75.26,159,23.28,10,1.46,19035
19,36,559,411,73.52,138,24.69,10,1.79,19036
20,1,254,222,87.4,27,10.63,5,1.97,20001
