ward,precinct,total,Thomas J. Dart,Thomas J. Dart Percent,Lupe Aguirre,Lupe Aguirre Percent,Brad Sandefur,Brad Sandefur Percent,precinct_id
12,16,313,216,69.01,88,28.12,9,2.88,12016
12,17,266,201,75.56,61,22.93,4,1.5,12017
12,18,314,244,77.71,58,18.47,12,3.82,12018
12,19,178,134,75.28,36,20.22,8,4.49,12019
12,20,236,187,79.24,42,17.8,7,2.97,12020
12,21,247,187,75.71,51,20.65,9,3.64,12021
12,22,221,149,67.42,65,29.41,7,3.17,12022
13,1,262,188,71.76,62,23.66,12,4.58,13001
13,2,311,215,69.13,81,26.05,15,4.82,13002
13,3,482,246,51.04,219,45.44,17,3.53,13003
13,4,348,265,76.15,73,20.98,10,2.87,13004
13,5,319,188,58.93,115,36.05,16,5.02,13005
13,6,347,203,58.5,133,38.33,11,3.17,13006
13,7,305,174,57.05,120,39.34,11,3.61,13007
13,8,406,276,67.98,121,29.8,9,2.22,13008
13,9,498,279,56.02,214,42.97,5,1.0,13009
13,10,484,252,52.07,219,45.25,13,2.69,13010
13,11,261,159,60.92,99,37.93,3,1.15,13011
13,12,237,162,68.35,65,27.43,10,4.22,13012
13,13,336,165,49.11,158,47.02,13,3.87,13013
13,14,310,189,60.97,108,34.84,13,4.19,13014
13,15,318,164,51.57,141,44.34,13,4.09,13015
13,16,366,254,69.4,103,28.14,9,2.46,13016
13,17,395,286,72.41,96,24.3,13,3.29,13017
13,18,271,185,68.27,81,29.89,5,1.85,13018
13,19,265,138,52.08,116,43.77,11,4.15,13019
13,20,407,255,62.65,136,33.42,16,3.93,13020
13,21,333,186,55.86,133,39.94,14,4.2,13021
13,22,394,292,74.11,95,24.11,7,1.78,13022
13,23,438,214,48.86,209,47.72,15,3.42,13023
13,24,313,200,63.9,107,34.19,6,1.92,13024
13,25,306,227,74.18,71,23.2,8,2.61,13025
13,26,253,183,72.33,65,25.69,5,1.98,13026
13,27,198,135,68.18,56,28.28,7,3.54,13027
13,28,269,198,73.61,64,23.79,7,2.6,13028
13,29,246,187,76.02,58,23.58,1,0.41,13029
13,30,399,205,51.38,179,44.86,15,3.76,13030
13,31,277,134,48.38,133,48.01,10,3.61,13031
13,32,276,176,63.77,87,31.52,13,4.71,13032
13,33,328,210,64.02,106,32.32,12,3.66,13033
13,34,433,242,55.89,175,40.42,16,3.7,13034
13,35,512,317,61.91,184,35.94,11,2.15,13035
13,36,184,145,78.8,36,19.57,3,1.63,13036
13,37,442,213,48.19,221,50.0,8,1.81,13037
13,38,215,140,65.12,71,33.02,4,1.86,13038
13,39,413,217,52.54,180,43.58,16,3.87,13039
13,40,349,196,56.16,146,41.83,7,2.01,13040
14,1,460,359,78.04,88,19.13,13,2.83,14001
14,2,299,211,70.57,83,27.76,5,1.67,14002
14,3,196,147,75.0,42,21.43,7,3.57,14003
14,4,93,75,80.65,16,17.2,2,2.15,14004
14,5,337,253,75.07,71,21.07,13,3.86,14005
14,6,430,348,80.93,68,15.81,14,3.26,14006
14,7,456,296,64.91,147,32.24,13,2.85,14007
14,8,415,279,67.23,113,27.23,23,5.54,14008
14,9,420,320,76.19,82,19.52,18,4.29,14009
14,10,398,301,75.63,82,20.6,15,3.77,14010
14,11,440,342,77.73,88,20.0,10,2.27,14011
14,12,284,213,75.0,59,20.77,12,4.23,14012
14,13,500,365,73.0,126,25.2,9,1.8,14013
14,14,234,182,77.78,47,20.09,5,2.14,14014
14,15,245,188,76.73,45,18.37,12,4.9,14015
15,1,322,176,54.66,139,43.17,7,2.17,15001
15,2,449,241,53.67,193,42.98,15,3.34,15002
15,3,160,95,59.38,59,36.88,6,3.75,15003
15,4,208,159,76.44,42,20.19,7,3.37,15004
15,5,229,172,75.11,45,19.65,12,5.24,15005
15,6,280,203,72.5,69,24.64,8,2.86,15006
15,7,198,132,66.67,58,29.29,8,4.04,15007
15,8,242,196,80.99,35,14.46,11,4.55,15008
15,9,275,200,72.73,67,24.36,8,2.91,15009
15,10,219,193,88.13,18,8.22,8,3.65,15010
15,11,212,153,72.17,52,24.53,7,3.3,15011
15,12,279,203,72.76,62,22.22,14,5.02,15012
15,13,212,166,78.3,38,17.92,8,3.77,15013
15,14,213,180,84.51,28,13.15,5,2.35,15014
15,15,215,183,85.12,23,10.7,9,4.19,15015
15,16,342,305,89.18,31,9.06,6,1.75,15016
15,17,418,382,91.39,19,4.55,17,4.07,15017
15,18,305,286,93.77,12,3.93,7,2.3,15018
15,19,179,157,87.71,14,7.82,8,4.47,15019
15,20,236,180,76.27,51,21.61,5,2.12,15020
16,1,362,320,88.4,22,6.08,20,5.52,16001
16,2,227,206,90.75,16,7.05,5,2.2,16002
16,3,288,274,95.14,8,2.78,6,2.08,16003
16,4,188,176,93.62,5,2.66,7,3.72,16004
16,5,392,366,93.37,10,2.55,16,4.08,16005
16,6,386,363,94.04,16,4.15,7,1.81,16006
16,7,210,195,92.86,12,5.71,3,1.43,16007
16,8,167,143,85.63,20,11.98,4,2.4,16008
16,9,368,338,91.85,13,3.53,17,4.62,16009
16,10,306,287,93.79,9,2.94,10,3.27,16010
16,11,256,235,91.8,9,3.52,12,4.69,16011
16,12,108,97,89.81,9,8.33,2,1.85,16012
16,13,157,141,89.81,6,3.82,10,6.37,16013
16,14,413,370,89.59,29,7.02,14,3.39,16014
16,15,335,302,90.15,19,5.67,14,4.18,16015
16,16,254,234,92.13,13,5.12,7,2.76,16016
16,17,450,403,89.56,31,6.89,16,3.56,16017
16,18,418,376,89.95,30,7.18,12,2.87,16018
16,19,318,282,88.68,22,6.92,14,4.4,16019
16,20,321,304,94.7,10,3.12,7,2.18,16020
16,21,232,210,90.52,15,6.47,7,3.02,16021
16,22,332,296,89.16,29,8.73,7,2.11,16022
16,23,222,190,85.59,25,11.26,7,3.15,16023
16,24,270,243,90.0,10,3.7,17,6.3,16024
16,25,132,120,90.91,8,6.06,4,3.03,16025
17,1,422,346,81.99,65,15.4,11,2.61,17001
17,2,262,221,84.35,24,9.16,17,6.49,17002
17,3,322,301,93.48,15,4.66,6,1.86,17003
17,4,323,304,94.12,10,3.1,9,2.79,17004
17,5,205,190,92.68,4,1.95,11,5.37,17005
17,6,307,292,95.11,10,3.26,5,1.63,17006
17,7,175,163,93.14,8,4.57,4,2.29,17007
17,8,241,231,95.85,4,1.66,6,2.49,17008
17,9,235,227,96.6,5,2.13,3,1.28,17009
17,10,501,471,94.01,13,2.59,17,3.39,17010
17,11,292,276,94.52,9,3.08,7,2.4,17011
17,12,181,172,95.03,6,3.31,3,1.66,17012
17,13,200,195,97.5,2,1.0,3,1.5,17013
17,14,205,190,92.68,9,4.39,6,2.93,17014
17,15,601,569,94.68,16,2.66,16,2.66,17015
17,16,271,253,93.36,12,4.43,6,2.21,17016
17,17,229,208,90.83,14,6.11,7,3.06,17017
17,18,665,641,96.39,13,1.95,11,1.65,17018
17,19,447,426,95.3,11,2.46,10,2.24,17019
17,20,444,419,94.37,17,3.83,8,1.8,17020
17,21,526,499,94.87,17,3.23,10,1.9,17021
17,22,533,491,92.12,20,3.75,22,4.13,17022
17,23,344,326,94.77,11,3.2,7,2.03,17023
17,24,556,522,93.88,14,2.52,20,3.6,17024
17,25,245,234,95.51,5,2.04,6,2.45,17025
17,26,450,421,93.56,12,2.67,17,3.78,17026
17,27,539,510,94.62,13,2.41,16,2.97,17027
17,28,638,598,93.73,15,2.35,25,3.92,17028
17,29,576,541,93.92,17,2.95,18,3.13,17029
18,1,680,627,92.21,25,3.68,28,4.12,18001
18,2,735,689,93.74,21,2.86,25,3.4,18002
18,3,309,289,93.53,12,3.88,8,2.59,18003
18,4,537,497,92.55,24,4.47,16,2.98,18004
18,5,444,424,95.5,7,1.58,13,2.93,18005
18,6,772,733,94.95,25,3.24,14,1.81,18006
18,7,618,571,92.39,36,5.83,11,1.78,18007
18,8,894,836,93.51,34,3.8,24,2.68,18008
18,9,690,637,92.32,31,4.49,22,3.19,18009
18,10,789,724,91.76,47,5.96,18,2.28,18010
18,11,478,454,94.98,14,2.93,10,2.09,18011
18,12,707,658,93.07,33,4.67,16,2.26,18012
18,13,579,508,87.74,52,8.98,19,3.28,18013
18,14,459,414,90.2,27,5.88,18,3.92,18014
18,15,331,305,92.15,19,5.74,7,2.11,18015
18,16,519,481,92.68,24,4.62,14,2.7,18016
18,17,381,341,89.5,34,8.92,6,1.57,18017
18,18,487,366,75.15,110,22.59,11,2.26,18018
18,19,435,386,88.74,44,10.11,5,1.15,18019
18,20,400,326,81.5,66,16.5,8,2.0,18020
18,21,540,473,87.59,49,9.07,18,3.33,18021
18,22,557,405,72.71,139,24.96,13,2.33,18022
18,23,617,416,67.42,182,29.5,19,3.08,18023
18,24,658,501,76.14,140,21.28,17,2.58,18024
18,25,361,241,66.76,108,29.92,12,3.32,18025
18,26,616,453,73.54,138,22.4,25,4.06,18026
19,1,872,553,63.42,294,33.72,25,2.87,19001
19,2,805,692,85.96,101,12.55,12,1.49,19002
19,3,645,287,44.5,347,53.8,11,1.71,19003
19,4,615,301,48.94,295,47.97,19,3.09,19004
19,5,665,550,82.71,100,15.04,15,2.26,19005
19,6,656,333,50.76,306,46.65,17,2.59,19006
19,7,872,542,62.16,291,33.37,39,4.47,19007
19,8,596,562,94.3,20,3.36,14,2.35,19008
19,9,554,515,92.96,26,4.69,13,2.35,19009
19,10,639,531,83.1,90,14.08,18,2.82,19010
19,11,553,297,53.71,243,43.94,13,2.35,19011
19,12,861,408,47.39,429,49.83,24,2.79,19012
19,13,521,480,92.13,23,4.41,18,3.45,19013
19,14,747,645,86.35,76,10.17,26,3.48,19014
19,15,505,216,42.77,277,54.85,12,2.38,19015
19,16,608,286,47.04,304,50.0,18,2.96,19016
19,17,574,340,59.23,221,38.5,13,2.26,19017
19,18,557,264,47.4,283,50.81,10,1.8,19018
19,19,676,561,82.99,97,14.35,18,2.66,19019
19,20,503,454,90.26,38,7.55,11,2.19,19020
19,21,868,411,47.35,431,49.65,26,3.0,19021
19,22,657,510,77.63,129,19.63,18,2.74,19022
19,23,627,370,59.01,238,37.96,19,3.03,19023
19,24,599,309,51.59,282,47.08,8,1.34,19024
19,25,558,482,86.38,62,11.11,14,2.51,19025
19,26,563,447,79.4,105,18.65,11,1.95,19026
19,27,814,703,86.36,75,9.21,36,4.42,19027
19,28,1005,912,90.75,67,6.67,26,2.59,19028
19,29,732,373,50.96,343,46.86,16,2.19,19029
19,30,631,287,45.48,333,52.77,11,1.74,19030
19,31,939,719,76.57,182,19.38,38,4.05,19031
19,32,543,482,88.77,48,8.84,13,2.39,19032
19,33,465,202,43.44,250,53.76,13,2.8,19033
19,34,994,640,64.39,332,33.4,22,2.21,19034
19,35,666,533,80.03,124,18.62,9,1.35,19035
19,36,557,440,78.99,106,19.03,11,1.97,19036
20,1,251,198,78.88,47,18.73,6,2.39,20001
20,2,143,97,67.83,41,28.67,5,3.5,20002
