ward,precinct,total,Mike Quigley,Mike Quigley Percent,Tommy Hanson,Tommy Hanson Percent,Jerico Matias Cruz,Jerico Matias Cruz Percent,precinct_id
38,1,923,392,42.47,516,55.9,15,1.63,38001
38,2,464,231,49.78,228,49.14,5,1.08,38002
38,6,423,236,55.79,180,42.55,7,1.65,38006
38,11,352,233,66.19,114,32.39,5,1.42,38011
38,17,413,277,67.07,125,30.27,11,2.66,38017
38,24,420,294,70.0,113,26.9,13,3.1,38024
39,1,650,450,69.23,189,29.08,11,1.69,39001
39,2,366,251,68.58,107,29.23,8,2.19,39002
39,3,491,402,81.87,74,15.07,15,3.05,39003
39,4,685,436,63.65,240,35.04,9,1.31,39004
39,5,463,375,80.99,81,17.49,7,1.51,39005
39,9,338,244,72.19,84,24.85,10,2.96,39009
39,11,347,250,72.05,84,24.21,13,3.75,39011
39,12,574,430,74.91,129,22.47,15,2.61,39012
39,13,825,645,78.18,159,19.27,21,2.55,39013
39,14,917,525,57.25,381,41.55,11,1.2,39014
39,15,658,507,77.05,133,20.21,18,2.74,39015
39,16,389,310,79.69,68,17.48,11,2.83,39016
39,17,947,580,61.25,353,37.28,14,1.48,39017
39,18,410,241,58.78,156,38.05,13,3.17,39018
39,19,838,688,82.1,126,15.04,24,2.86,39019
39,20,566,342,60.42,216,38.16,8,1.41,39020
39,21,742,574,77.36,135,18.19,33,4.45,39021
39,22,389,231,59.38,147,37.79,11,2.83,39022
39,23,88,56,63.64,32,36.36,0,0.0,39023
39,27,368,250,67.93,112,30.43,6,1.63,39027
39,29,171,130,76.02,39,22.81,2,1.17,39029
39,30,326,229,70.25,84,25.77,13,3.99,39030
39,31,424,283,66.75,132,31.13,9,2.12,39031
39,32,963,643,66.77,307,31.88,13,1.35,39032
39,33,360,250,69.44,105,29.17,5,1.39,39033
39,34,418,271,64.83,137,32.78,10,2.39,39034
39,35,668,513,76.8,141,21.11,14,2.1,39035
40,4,490,374,76.33,100,20.41,16,3.27,40004
40,8,420,332,79.05,75,17.86,13,3.1,40008
40,9,734,583,79.43,131,17.85,20,2.72,40009
40,11,740,560,75.68,157,21.22,23,3.11,40011
40,12,753,654,86.85,81,10.76,18,2.39,40012
40,13,762,695,91.21,51,6.69,16,2.1,40013
40,17,769,687,89.34,65,8.45,17,2.21,40017
40,18,861,770,89.43,73,8.48,18,2.09,40018
40,19,413,371,89.83,35,8.47,7,1.69,40019
40,22,1057,937,88.65,103,9.74,17,1.61,40022
40,23,793,723,91.17,62,7.82,8,1.01,40023
41,4,535,214,40.0,318,59.44,3,0.56,41004
41,5,541,269,49.72,264,48.8,8,1.48,41005
41,6,562,280,49.82,273,48.58,9,1.6,41006
41,7,447,241,53.91,194,43.4,12,2.68,41007
41,8,466,235,50.43,220,47.21,11,2.36,41008
41,9,879,497,56.54,366,41.64,16,1.82,41009
41,10,713,370,51.89,328,46.0,15,2.1,41010
41,11,519,302,58.19,200,38.54,17,3.28,41011
41,12,355,161,45.35,189,53.24,5,1.41,41012
41,13,783,447,57.09,326,41.63,10,1.28,41013
41,14,896,487,54.35,385,42.97,24,2.68,41014
41,15,1104,575,52.08,513,46.47,16,1.45,41015
41,16,391,214,54.73,172,43.99,5,1.28,41016
41,17,275,152,55.27,117,42.55,6,2.18,41017
41,18,816,470,57.6,330,40.44,16,1.96,41018
41,19,413,252,61.02,151,36.56,10,2.42,41019
41,20,466,261,56.01,201,43.13,4,0.86,41020
41,21,442,232,52.49,197,44.57,13,2.94,41021
41,22,367,205,55.86,159,43.32,3,0.82,41022
41,23,494,253,51.21,228,46.15,13,2.63,41023
41,24,826,440,53.27,366,44.31,20,2.42,41024
41,25,673,312,46.36,345,51.26,16,2.38,41025
41,26,891,499,56.0,377,42.31,15,1.68,41026
41,27,647,349,53.94,286,44.2,12,1.85,41027
41,28,353,218,61.76,130,36.83,5,1.42,41028
42,9,506,346,68.38,154,30.43,6,1.19,42009
42,22,127,95,74.8,31,24.41,1,0.79,42022
42,23,991,744,75.08,240,24.22,7,0.71,42023
42,24,964,735,76.24,219,22.72,10,1.04,42024
43,1,904,679,75.11,218,24.12,7,0.77,43001
43,2,1075,814,75.72,249,23.16,12,1.12,43002
43,3,373,279,74.8,91,24.4,3,0.8,43003
43,4,710,578,81.41,127,17.89,5,0.7,43004
43,5,1095,899,82.1,181,16.53,15,1.37,43005
43,6,1251,1045,83.53,196,15.67,10,0.8,43006
43,7,1127,958,85.0,158,14.02,11,0.98,43007
43,8,953,792,83.11,147,15.42,14,1.47,43008
43,9,1262,1055,83.6,189,14.98,18,1.43,43009
43,10,833,641,76.95,178,21.37,14,1.68,43010
43,11,575,443,77.04,130,22.61,2,0.35,43011
43,12,1112,881,79.23,221,19.87,10,0.9,43012
43,13,813,656,80.69,152,18.7,5,0.62,43013
43,14,498,383,76.91,105,21.08,10,2.01,43014
43,15,470,373,79.36,85,18.09,12,2.55,43015
43,16,415,341,82.17,69,16.63,5,1.2,43016
43,17,973,790,81.19,166,17.06,17,1.75,43017
43,18,1170,943,80.6,210,17.95,17,1.45,43018
43,19,1110,867,78.11,231,20.81,12,1.08,43019
43,20,918,736,80.17,172,18.74,10,1.09,43020
43,21,480,375,78.13,98,20.42,7,1.46,43021
43,22,1166,931,79.85,221,18.95,14,1.2,43022
43,23,801,629,78.53,158,19.73,14,1.75,43023
44,1,1044,953,91.28,80,7.66,11,1.05,44001
44,2,804,678,84.33,117,14.55,9,1.12,44002
44,3,1003,855,85.24,134,13.36,14,1.4,44003
44,4,1330,1110,83.46,204,15.34,16,1.2,44004
44,5,919,847,92.17,64,6.96,8,0.87,44005
44,6,896,783,87.39,98,10.94,15,1.67,44006
44,7,922,817,88.61,92,9.98,13,1.41,44007
44,8,950,843,88.74,89,9.37,18,1.89,44008
44,9,1283,1089,84.88,173,13.48,21,1.64,44009
44,10,1235,1067,86.4,157,12.71,11,0.89,44010
44,11,976,830,85.04,131,13.42,15,1.54,44011
44,12,1113,995,89.4,103,9.25,15,1.35,44012
44,13,1072,945,88.15,107,9.98,20,1.87,44013
44,14,1053,924,87.75,111,10.54,18,1.71,44014
44,15,1201,1053,87.68,137,11.41,11,0.92,44015
44,16,1217,1066,87.59,139,11.42,12,0.99,44016
44,17,1222,1096,89.69,107,8.76,19,1.55,44017
44,18,851,753,88.48,86,10.11,12,1.41,44018
44,19,1153,992,86.04,139,12.06,22,1.91,44019
44,20,697,629,90.24,58,8.32,10,1.43,44020
44,21,1207,1102,91.3,91,7.54,14,1.16,44021
45,1,1089,610,56.01,457,41.97,22,2.02,45001
45,2,561,366,65.24,191,34.05,4,0.71,45002
45,3,341,196,57.48,139,40.76,6,1.76,45003
45,4,399,267,66.92,120,30.08,12,3.01,45004
45,5,641,428,66.77,203,31.67,10,1.56,45005
45,6,696,419,60.2,260,37.36,17,2.44,45006
45,7,675,413,61.19,241,35.7,21,3.11,45007
45,8,568,339,59.68,216,38.03,13,2.29,45008
45,9,624,398,63.78,215,34.46,11,1.76,45009
45,10,599,378,63.11,206,34.39,15,2.5,45010
45,11,830,488,58.8,328,39.52,14,1.69,45011
45,12,539,387,71.8,138,25.6,14,2.6,45012
45,13,763,546,71.56,203,26.61,14,1.83,45013
45,14,454,311,68.5,128,28.19,15,3.3,45014
45,15,512,387,75.59,107,20.9,18,3.52,45015
45,16,636,468,73.58,149,23.43,19,2.99,45016
45,17,714,453,63.45,244,34.17,17,2.38,45017
45,18,736,489,66.44,234,31.79,13,1.77,45018
45,19,482,346,71.78,124,25.73,12,2.49,45019
45,20,626,487,77.8,127,20.29,12,1.92,45020
45,21,556,372,66.91,171,30.76,13,2.34,45021
45,22,633,519,81.99,95,15.01,19,3.0,45022
45,23,661,481,72.77,159,24.05,21,3.18,45023
45,24,378,273,72.22,98,25.93,7,1.85,45024
45,27,648,527,81.33,106,16.36,15,2.31,45027
45,29,343,279,81.34,57,16.62,7,2.04,45029
46,1,842,710,84.32,123,14.61,9,1.07,46001
46,2,828,748,90.34,66,7.97,14,1.69,46002
46,3,903,820,90.81,68,7.53,15,1.66,46003
46,4,1062,935,88.04,112,10.55,15,1.41,46004
46,5,861,723,83.97,122,14.17,16,1.86,46005
46,7,357,325,91.04,27,7.56,5,1.4,46007
46,8,164,143,87.2,16,9.76,5,3.05,46008
46,9,1029,890,86.49,117,11.37,22,2.14,46009
46,10,368,348,94.57,18,4.89,2,0.54,46010
47,1,804,715,88.93,72,8.96,17,2.11,47001
47,2,509,456,89.59,38,7.47,15,2.95,47002
47,3,405,376,92.84,24,5.93,5,1.23,47003
47,7,1360,1237,90.96,104,7.65,19,1.4,47007
47,8,843,761,90.27,70,8.3,12,1.42,47008
47,9,1079,960,88.97,100,9.27,19,1.76,47009
47,10,946,872,92.18,55,5.81,19,2.01,47010
47,11,836,769,91.99,59,7.06,8,0.96,47011
47,12,636,576,90.57,50,7.86,10,1.57,47012
47,13,681,609,89.43,66,9.69,6,0.88,47013
47,14,853,718,84.17,114,13.36,21,2.46,47014
47,15,868,740,85.25,109,12.56,19,2.19,47015
47,16,888,772,86.94,98,11.04,18,2.03,47016
47,17,781,705,90.27,73,9.35,3,0.38,47017
47,18,977,885,90.58,83,8.5,9,0.92,47018
47,19,945,860,91.01,65,6.88,20,2.12,47019
47,20,934,820,87.79,103,11.03,11,1.18,47020
47,21,955,821,85.97,123,12.88,11,1.15,47021
47,22,810,710,87.65,90,11.11,10,1.23,47022
47,23,916,809,88.32,97,10.59,10,1.09,47023
47,24,1080,927,85.83,133,12.31,20,1.85,47024
47,25,850,744,87.53,99,11.65,7,0.82,47025
47,26,1088,940,86.4,135,12.41,13,1.19,47026
47,27,963,849,88.16,105,10.9,9,0.93,47027
47,28,628,520,82.8,93,14.81,15,2.39,47028
50,24,403,213,52.85,185,45.91,5,1.24,50024
50,28,590,475,80.51,99,16.78,16,2.71,50028
