ward,precinct,total,Stephen Swedlow,Stephen Swedlow Percent,precinct_id
44,10,942,942,100.0,44010
44,11,720,720,100.0,44011
44,12,880,880,100.0,44012
44,13,843,843,100.0,44013
44,14,826,826,100.0,44014
44,15,953,953,100.0,44015
44,16,893,893,100.0,44016
44,17,935,935,100.0,44017
44,18,644,644,100.0,44018
44,19,893,893,100.0,44019
44,20,547,547,100.0,44020
44,21,950,950,100.0,44021
46,1,647,647,100.0,46001
46,2,629,629,100.0,46002
46,3,697,697,100.0,46003
46,4,805,805,100.0,46004
46,5,656,656,100.0,46005
46,6,1020,1020,100.0,46006
46,7,641,641,100.0,46007
46,8,785,785,100.0,46008
46,9,751,751,100.0,46009
46,10,707,707,100.0,46010
46,11,807,807,100.0,46011
46,12,973,973,100.0,46012
46,13,867,867,100.0,46013
46,14,481,481,100.0,46014
46,15,923,923,100.0,46015
46,16,691,691,100.0,46016
46,17,878,878,100.0,46017
46,18,809,809,100.0,46018
46,19,637,637,100.0,46019
46,20,583,583,100.0,46020
46,21,433,433,100.0,46021
46,22,553,553,100.0,46022
46,23,488,488,100.0,46023
47,5,892,892,100.0,47005
47,6,771,771,100.0,47006
47,12,502,502,100.0,47012
47,20,721,721,100.0,47020
47,22,591,591,100.0,47022
48,1,785,785,100.0,48001
48,3,422,422,100.0,48003
48,4,459,459,100.0,48004
48,5,256,256,100.0,48005
48,6,629,629,100.0,48006
48,7,606,606,100.0,48007
48,8,399,399,100.0,48008
48,9,275,275,100.0,48009
48,10,738,738,100.0,48010
48,11,479,479,100.0,48011
48,12,650,650,100.0,48012
48,14,570,570,100.0,48014
48,15,450,450,100.0,48015
48,16,363,363,100.0,48016
48,17,176,176,100.0,48017
48,18,386,386,100.0,48018
48,19,328,328,100.0,48019
48,20,228,228,100.0,48020
48,21,520,520,100.0,48021
48,23,390,390,100.0,48023
48,24,705,705,100.0,48024
48,25,613,613,100.0,48025
48,26,334,334,100.0,48026
48,27,156,156,100.0,48027
48,28,517,517,100.0,48028
48,29,177,177,100.0,48029
48,30,553,553,100.0,48030
48,31,566,566,100.0,48031
48,32,147,147,100.0,48032
48,34,436,436,100.0,48034
48,35,673,673,100.0,48035
49,6,18,18,100.0,49006
49,7,430,430,100.0,49007
49,8,258,258,100.0,49008
