ward,precinct,total,Kwame Raoul,Kwame Raoul Percent,Thomas G. DeVore,Thomas G. DeVore Percent,Daniel K. Robin,Daniel K. Robin Percent,precinct_id
5,21,667,625,93.7,39,5.85,3,0.45,05021
5,22,769,732,95.19,27,3.51,10,1.3,05022
5,23,429,403,93.94,24,5.59,2,0.47,05023
5,24,476,425,89.29,43,9.03,8,1.68,05024
5,25,1103,1014,91.93,71,6.44,18,1.63,05025
6,1,227,217,95.59,8,3.52,2,0.88,06001
6,2,288,277,96.18,8,2.78,3,1.04,06002
6,3,88,84,95.45,1,1.14,3,3.41,06003
6,4,204,197,96.57,1,0.49,6,2.94,06004
6,5,377,354,93.9,16,4.24,7,1.86,06005
6,6,342,325,95.03,13,3.8,4,1.17,06006
6,7,420,407,96.9,9,2.14,4,0.95,06007
6,8,323,310,95.98,9,2.79,4,1.24,06008
6,9,642,614,95.64,17,2.65,11,1.71,06009
6,10,390,376,96.41,9,2.31,5,1.28,06010
6,11,207,196,94.69,10,4.83,1,0.48,06011
6,12,428,415,96.96,8,1.87,5,1.17,06012
6,13,554,541,97.65,8,1.44,5,0.9,06013
6,14,545,524,96.15,19,3.49,2,0.37,06014
6,15,581,546,93.98,19,3.27,16,2.75,06015
6,16,338,326,96.45,8,2.37,4,1.18,06016
6,17,662,641,96.83,11,1.66,10,1.51,06017
6,18,712,687,96.49,15,2.11,10,1.4,06018
6,19,496,474,95.56,11,2.22,11,2.22,06019
6,20,811,772,95.19,29,3.58,10,1.23,06020
6,21,574,555,96.69,12,2.09,7,1.22,06021
6,22,831,810,97.47,12,1.44,9,1.08,06022
6,23,745,725,97.32,14,1.88,6,0.81,06023
6,24,682,659,96.63,17,2.49,6,0.88,06024
6,25,502,490,97.61,8,1.59,4,0.8,06025
6,26,854,824,96.49,25,2.93,5,0.59,06026
6,27,774,750,96.9,13,1.68,11,1.42,06027
7,1,593,570,96.12,15,2.53,8,1.35,07001
7,2,752,723,96.14,18,2.39,11,1.46,07002
7,3,427,403,94.38,10,2.34,14,3.28,07003
7,4,553,513,92.77,26,4.7,14,2.53,07004
7,5,651,607,93.24,27,4.15,17,2.61,07005
7,6,188,176,93.62,9,4.79,3,1.6,07006
7,7,464,436,93.97,21,4.53,7,1.51,07007
7,8,265,258,97.36,5,1.89,2,0.75,07008
7,9,437,414,94.74,14,3.2,9,2.06,07009
7,10,594,576,96.97,9,1.52,9,1.52,07010
7,11,538,525,97.58,8,1.49,5,0.93,07011
7,12,622,597,95.98,15,2.41,10,1.61,07012
7,13,457,422,92.34,22,4.81,13,2.84,07013
7,14,416,390,93.75,23,5.53,3,0.72,07014
7,15,576,544,94.44,17,2.95,15,2.6,07015
7,16,205,191,93.17,8,3.9,6,2.93,07016
7,17,162,154,95.06,5,3.09,3,1.85,07017
7,18,98,94,95.92,4,4.08,0,0.0,07018
7,19,761,730,95.93,27,3.55,4,0.53,07019
7,20,394,383,97.21,9,2.28,2,0.51,07020
7,21,303,297,98.02,6,1.98,0,0.0,07021
7,22,385,369,95.84,13,3.38,3,0.78,07022
7,23,257,245,95.33,7,2.72,5,1.95,07023
7,24,71,65,91.55,5,7.04,1,1.41,07024
7,25,416,398,95.67,10,2.4,8,1.92,07025
7,26,579,553,95.51,19,3.28,7,1.21,07026
7,27,351,336,95.73,8,2.28,7,1.99,07027
7,28,210,207,98.57,2,0.95,1,0.48,07028
7,29,312,302,96.79,8,2.56,2,0.64,07029
7,30,286,276,96.5,7,2.45,3,1.05,07030
7,31,132,125,94.7,7,5.3,0,0.0,07031
8,1,622,593,95.34,21,3.38,8,1.29,08001
8,2,311,289,92.93,15,4.82,7,2.25,08002
8,3,250,244,97.6,1,0.4,5,2.0,08003
8,4,584,565,96.75,15,2.57,4,0.68,08004
8,5,400,390,97.5,6,1.5,4,1.0,08005
8,6,693,669,96.54,18,2.6,6,0.87,08006
8,7,402,388,96.52,8,1.99,6,1.49,08007
8,8,816,780,95.59,27,3.31,9,1.1,08008
8,9,554,529,95.49,20,3.61,5,0.9,08009
8,10,602,573,95.18,24,3.99,5,0.83,08010
8,11,506,490,96.84,11,2.17,5,0.99,08011
8,12,564,551,97.7,11,1.95,2,0.35,08012
8,13,538,521,96.84,8,1.49,9,1.67,08013
8,14,621,600,96.62,15,2.42,6,0.97,08014
8,15,467,444,95.07,17,3.64,6,1.28,08015
8,16,432,423,97.92,6,1.39,3,0.69,08016
8,17,707,693,98.02,10,1.41,4,0.57,08017
8,18,962,942,97.92,18,1.87,2,0.21,08018
8,19,755,727,96.29,23,3.05,5,0.66,08019
8,20,356,347,97.47,5,1.4,4,1.12,08020
8,21,388,367,94.59,11,2.84,10,2.58,08021
8,22,278,264,94.96,12,4.32,2,0.72,08022
8,23,819,791,96.58,21,2.56,7,0.85,08023
8,24,523,509,97.32,9,1.72,5,0.96,08024
8,25,223,218,97.76,4,1.79,1,0.45,08025
8,26,436,416,95.41,14,3.21,6,1.38,08026
8,27,561,537,95.72,17,3.03,7,1.25,08027
8,28,378,362,95.77,4,1.06,12,3.17,08028
8,29,543,524,96.5,13,2.39,6,1.1,08029
8,30,483,467,96.69,11,2.28,5,1.04,08030
9,1,618,591,95.63,16,2.59,11,1.78,09001
9,2,434,420,96.77,9,2.07,5,1.15,09002
9,3,213,202,94.84,6,2.82,5,2.35,09003
9,4,442,428,96.83,11,2.49,3,0.68,09004
9,5,453,434,95.81,17,3.75,2,0.44,09005
9,6,739,717,97.02,19,2.57,3,0.41,09006
9,7,609,584,95.89,20,3.28,5,0.82,09007
9,8,595,571,95.97,12,2.02,12,2.02,09008
9,9,371,344,92.72,15,4.04,12,3.23,09009
9,10,694,675,97.26,10,1.44,9,1.3,09010
9,11,249,239,95.98,5,2.01,5,2.01,09011
9,12,640,617,96.41,13,2.03,10,1.56,09012
9,13,598,571,95.48,19,3.18,8,1.34,09013
9,14,343,327,95.34,10,2.92,6,1.75,09014
9,15,476,462,97.06,10,2.1,4,0.84,09015
9,16,646,614,95.05,23,3.56,9,1.39,09016
9,17,191,176,92.15,11,5.76,4,2.09,09017
9,18,340,323,95.0,13,3.82,4,1.18,09018
9,19,262,242,92.37,11,4.2,9,3.44,09019
9,20,508,431,84.84,67,13.19,10,1.97,09020
9,21,563,539,95.74,14,2.49,10,1.78,09021
9,22,401,381,95.01,13,3.24,7,1.75,09022
9,23,329,319,96.96,8,2.43,2,0.61,09023
9,24,494,472,95.55,16,3.24,6,1.21,09024
9,25,375,359,95.73,14,3.73,2,0.53,09025
9,26,536,524,97.76,9,1.68,3,0.56,09026
9,27,306,295,96.41,2,0.65,9,2.94,09027
9,28,253,238,94.07,9,3.56,6,2.37,09028
9,29,719,704,97.91,10,1.39,5,0.7,09029
9,30,595,568,95.46,16,2.69,11,1.85,09030
10,1,150,137,91.33,11,7.33,2,1.33,10001
10,2,199,177,88.94,14,7.04,8,4.02,10002
10,3,308,264,85.71,36,11.69,8,2.6,10003
10,4,380,351,92.37,18,4.74,11,2.89,10004
10,5,135,97,71.85,33,24.44,5,3.7,10005
10,6,177,149,84.18,24,13.56,4,2.26,10006
10,7,336,249,74.11,81,24.11,6,1.79,10007
10,8,308,222,72.08,81,26.3,5,1.62,10008
10,9,353,287,81.3,51,14.45,15,4.25,10009
10,10,367,286,77.93,69,18.8,12,3.27,10010
10,11,127,96,75.59,24,18.9,7,5.51,10011
10,12,335,266,79.4,59,17.61,10,2.99,10012
10,13,404,304,75.25,96,23.76,4,0.99,10013
10,14,530,375,70.75,137,25.85,18,3.4,10014
10,15,442,305,69.0,125,28.28,12,2.71,10015
10,16,552,385,69.75,154,27.9,13,2.36,10016
10,17,491,330,67.21,153,31.16,8,1.63,10017
10,18,598,370,61.87,216,36.12,12,2.01,10018
10,19,394,256,64.97,134,34.01,4,1.02,10019
10,20,225,156,69.33,61,27.11,8,3.56,10020
10,21,299,180,60.2,109,36.45,10,3.34,10021
10,22,564,328,58.16,223,39.54,13,2.3,10022
10,23,348,313,89.94,30,8.62,5,1.44,10023
10,24,189,183,96.83,5,2.65,1,0.53,10024
10,25,279,266,95.34,11,3.94,2,0.72,10025
11,1,205,163,79.51,39,19.02,3,1.46,11001
11,2,93,76,81.72,15,16.13,2,2.15,11002
11,3,607,376,61.94,213,35.09,18,2.97,11003
11,4,411,299,72.75,98,23.84,14,3.41,11004
11,5,438,290,66.21,135,30.82,13,2.97,11005
11,6,528,392,74.24,122,23.11,14,2.65,11006
11,7,308,207,67.21,91,29.55,10,3.25,11007
11,8,550,314,57.09,222,40.36,14,2.55,11008
11,9,555,331,59.64,208,37.48,16,2.88,11009
11,10,123,57,46.34,62,50.41,4,3.25,11010
11,11,97,61,62.89,35,36.08,1,1.03,11011
11,12,215,109,50.7,95,44.19,11,5.12,11012
11,13,510,304,59.61,200,39.22,6,1.18,11013
11,14,897,610,68.0,275,30.66,12,1.34,11014
11,15,627,518,82.62,88,14.04,21,3.35,11015
11,16,779,593,76.12,167,21.44,19,2.44,11016
11,17,362,237,65.47,113,31.22,12,3.31,11017
11,18,491,352,71.69,119,24.24,20,4.07,11018
11,19,168,113,67.26,50,29.76,5,2.98,11019
11,20,499,353,70.74,137,27.45,9,1.8,11020
11,21,825,481,58.3,324,39.27,20,2.42,11021
11,22,577,304,52.69,262,45.41,11,1.91,11022
11,23,592,355,59.97,224,37.84,13,2.2,11023
12,1,301,231,76.74,59,19.6,11,3.65,12001
12,2,213,168,78.87,36,16.9,9,4.23,12002
12,3,414,326,78.74,76,18.36,12,2.9,12003
12,4,337,264,78.34,60,17.8,13,3.86,12004
12,5,336,248,73.81,75,22.32,13,3.87,12005
12,6,296,227,76.69,60,20.27,9,3.04,12006
12,7,299,231,77.26,61,20.4,7,2.34,12007
12,8,291,225,77.32,57,19.59,9,3.09,12008
12,9,161,115,71.43,36,22.36,10,6.21,12009
12,10,315,222,70.48,80,25.4,13,4.13,12010
12,11,244,191,78.28,45,18.44,8,3.28,12011
12,12,213,155,72.77,48,22.54,10,4.69,12012
12,13,242,173,71.49,53,21.9,16,6.61,12013
12,14,275,205,74.55,53,19.27,17,6.18,12014
12,15,278,204,73.38,59,21.22,15,5.4,12015
12,16,318,225,70.75,81,25.47,12,3.77,12016
12,17,278,216,77.7,50,17.99,12,4.32,12017
12,18,322,253,78.57,51,15.84,18,5.59,12018
12,19,178,140,78.65,31,17.42,7,3.93,12019
12,20,238,189,79.41,34,14.29,15,6.3,12020
12,21,251,204,81.27,40,15.94,7,2.79,12021
12,22,229,172,75.11,49,21.4,8,3.49,12022
13,1,270,194,71.85,70,25.93,6,2.22,13001
13,2,315,216,68.57,88,27.94,11,3.49,13002
13,3,494,212,42.91,270,54.66,12,2.43,13003
13,4,354,256,72.32,88,24.86,10,2.82,13004
13,5,325,189,58.15,124,38.15,12,3.69,13005
13,6,352,183,51.99,164,46.59,5,1.42,13006
13,7,316,178,56.33,131,41.46,7,2.22,13007
13,8,418,285,68.18,125,29.9,8,1.91,13008
13,9,519,249,47.98,260,50.1,10,1.93,13009
13,10,493,226,45.84,254,51.52,13,2.64,13010
13,11,266,157,59.02,106,39.85,3,1.13,13011
13,12,241,173,71.78,56,23.24,12,4.98,13012
13,13,337,158,46.88,170,50.45,9,2.67,13013
13,14,314,178,56.69,127,40.45,9,2.87,13014
13,15,319,161,50.47,151,47.34,7,2.19,13015
13,16,363,244,67.22,106,29.2,13,3.58,13016
13,17,402,296,73.63,91,22.64,15,3.73,13017
13,18,276,181,65.58,89,32.25,6,2.17,13018
13,19,267,128,47.94,135,50.56,4,1.5,13019
13,20,411,219,53.28,186,45.26,6,1.46,13020
13,21,335,163,48.66,161,48.06,11,3.28,13021
13,22,404,289,71.53,103,25.5,12,2.97,13022
13,23,446,181,40.58,252,56.5,13,2.91,13023
13,24,312,188,60.26,115,36.86,9,2.88,13024
13,25,315,225,71.43,76,24.13,14,4.44,13025
13,26,258,185,71.71,69,26.74,4,1.55,13026
13,27,205,141,68.78,56,27.32,8,3.9,13027
13,28,269,196,72.86,62,23.05,11,4.09,13028
13,29,247,183,74.09,56,22.67,8,3.24,13029
13,30,409,189,46.21,212,51.83,8,1.96,13030
13,31,281,125,44.48,150,53.38,6,2.14,13031
13,32,278,167,60.07,106,38.13,5,1.8,13032
13,33,328,196,59.76,127,38.72,5,1.52,13033
13,34,448,215,47.99,224,50.0,9,2.01,13034
13,35,511,282,55.19,220,43.05,9,1.76,13035
13,36,186,149,80.11,33,17.74,4,2.15,13036
13,37,448,180,40.18,260,58.04,8,1.79,13037
13,38,225,150,66.67,68,30.22,7,3.11,13038
13,39,421,199,47.27,215,51.07,7,1.66,13039
13,40,353,176,49.86,170,48.16,7,1.98,13040
14,1,484,388,80.17,82,16.94,14,2.89,14001
14,2,301,222,73.75,71,23.59,8,2.66,14002
14,3,202,160,79.21,38,18.81,4,1.98,14003
14,4,100,85,85.0,12,12.0,3,3.0,14004
14,5,343,282,82.22,44,12.83,17,4.96,14005
14,6,438,371,84.7,52,11.87,15,3.42,14006
14,7,465,311,66.88,141,30.32,13,2.8,14007
14,8,421,303,71.97,103,24.47,15,3.56,14008
14,9,433,338,78.06,79,18.24,16,3.7,14009
14,10,406,318,78.33,68,16.75,20,4.93,14010
14,11,448,353,78.79,80,17.86,15,3.35,14011
14,12,287,224,78.05,47,16.38,16,5.57,14012
14,13,514,386,75.1,111,21.6,17,3.31,14013
14,14,239,197,82.43,34,14.23,8,3.35,14014
14,15,252,195,77.38,41,16.27,16,6.35,14015
15,1,333,153,45.95,178,53.45,2,0.6,15001
15,2,464,197,42.46,258,55.6,9,1.94,15002
15,3,161,87,54.04,72,44.72,2,1.24,15003
15,4,216,177,81.94,33,15.28,6,2.78,15004
15,5,233,185,79.4,36,15.45,12,5.15,15005
15,6,286,227,79.37,48,16.78,11,3.85,15006
15,7,206,153,74.27,40,19.42,13,6.31,15007
15,8,247,206,83.4,29,11.74,12,4.86,15008
15,9,275,205,74.55,57,20.73,13,4.73,15009
15,10,222,199,89.64,18,8.11,5,2.25,15010
15,11,211,170,80.57,29,13.74,12,5.69,15011
15,12,284,226,79.58,44,15.49,14,4.93,15012
15,13,212,170,80.19,32,15.09,10,4.72,15013
15,14,218,189,86.7,21,9.63,8,3.67,15014
15,15,221,191,86.43,24,10.86,6,2.71,15015
15,16,349,320,91.69,25,7.16,4,1.15,15016
15,17,428,401,93.69,14,3.27,13,3.04,15017
15,18,306,289,94.44,13,4.25,4,1.31,15018
15,19,186,168,90.32,11,5.91,7,3.76,15019
15,20,243,182,74.9,49,20.16,12,4.94,15020
16,1,371,343,92.45,23,6.2,5,1.35,16001
16,2,231,213,92.21,14,6.06,4,1.73,16002
16,3,293,278,94.88,7,2.39,8,2.73,16003
16,4,201,191,95.02,6,2.99,4,1.99,16004
16,5,404,390,96.53,6,1.49,8,1.98,16005
16,6,392,375,95.66,11,2.81,6,1.53,16006
16,7,210,195,92.86,11,5.24,4,1.9,16007
16,8,164,147,89.63,14,8.54,3,1.83,16008
16,9,372,353,94.89,11,2.96,8,2.15,16009
16,10,318,302,94.97,13,4.09,3,0.94,16010
16,11,258,240,93.02,9,3.49,9,3.49,16011
16,12,109,101,92.66,7,6.42,1,0.92,16012
16,13,167,157,94.01,4,2.4,6,3.59,16013
16,14,428,393,91.82,20,4.67,15,3.5,16014
16,15,356,333,93.54,11,3.09,12,3.37,16015
16,16,275,258,93.82,14,5.09,3,1.09,16016
16,17,460,417,90.65,26,5.65,17,3.7,16017
16,18,431,397,92.11,24,5.57,10,2.32,16018
16,19,328,292,89.02,27,8.23,9,2.74,16019
16,20,332,319,96.08,8,2.41,5,1.51,16020
16,21,247,236,95.55,9,3.64,2,0.81,16021
16,22,341,308,90.32,23,6.74,10,2.93,16022
16,23,226,201,88.94,19,8.41,6,2.65,16023
16,24,281,268,95.37,8,2.85,5,1.78,16024
16,25,138,129,93.48,7,5.07,2,1.45,16025
17,1,435,367,84.37,61,14.02,7,1.61,17001
17,2,268,239,89.18,24,8.96,5,1.87,17002
17,3,329,317,96.35,7,2.13,5,1.52,17003
17,4,337,320,94.96,9,2.67,8,2.37,17004
17,5,219,211,96.35,2,0.91,6,2.74,17005
17,6,319,307,96.24,10,3.13,2,0.63,17006
17,7,187,175,93.58,7,3.74,5,2.67,17007
17,8,245,237,96.73,5,2.04,3,1.22,17008
17,9,245,237,96.73,5,2.04,3,1.22,17009
17,10,509,487,95.68,15,2.95,7,1.38,17010
17,11,298,287,96.31,7,2.35,4,1.34,17011
17,12,185,181,97.84,3,1.62,1,0.54,17012
17,13,202,198,98.02,3,1.49,1,0.5,17013
17,14,212,200,94.34,7,3.3,5,2.36,17014
17,15,611,585,95.74,14,2.29,12,1.96,17015
17,16,278,272,97.84,4,1.44,2,0.72,17016
17,17,236,218,92.37,13,5.51,5,2.12,17017
17,18,683,657,96.19,11,1.61,15,2.2,17018
17,19,461,446,96.75,9,1.95,6,1.3,17019
17,20,459,439,95.64,14,3.05,6,1.31,17020
17,21,552,533,96.56,15,2.72,4,0.72,17021
17,22,544,523,96.14,13,2.39,8,1.47,17022
17,23,351,333,94.87,11,3.13,7,1.99,17023
17,24,573,559,97.56,10,1.75,4,0.7,17024
17,25,255,247,96.86,7,2.75,1,0.39,17025
17,26,465,450,96.77,9,1.94,6,1.29,17026
17,27,552,530,96.01,11,1.99,11,1.99,17027
17,28,652,623,95.55,14,2.15,15,2.3,17028
17,29,587,562,95.74,14,2.39,11,1.87,17029
18,1,703,672,95.59,23,3.27,8,1.14,18001
18,2,751,724,96.4,22,2.93,5,0.67,18002
18,3,313,297,94.89,14,4.47,2,0.64,18003
18,4,555,516,92.97,31,5.59,8,1.44,18004
18,5,463,452,97.62,6,1.3,5,1.08,18005
18,6,796,771,96.86,18,2.26,7,0.88,18006
18,7,632,589,93.2,40,6.33,3,0.47,18007
18,8,905,867,95.8,30,3.31,8,0.88,18008
18,9,702,657,93.59,40,5.7,5,0.71,18009
18,10,809,759,93.82,38,4.7,12,1.48,18010
18,11,485,466,96.08,8,1.65,11,2.27,18011
18,12,724,680,93.92,33,4.56,11,1.52,18012
18,13,588,519,88.27,59,10.03,10,1.7,18013
18,14,467,435,93.15,20,4.28,12,2.57,18014
18,15,335,314,93.73,15,4.48,6,1.79,18015
18,16,528,494,93.56,19,3.6,15,2.84,18016
18,17,396,364,91.92,25,6.31,7,1.77,18017
18,18,502,399,79.48,86,17.13,17,3.39,18018
18,19,442,389,88.01,47,10.63,6,1.36,18019
18,20,406,340,83.74,61,15.02,5,1.23,18020
18,21,545,498,91.38,40,7.34,7,1.28,18021
18,22,562,388,69.04,167,29.72,7,1.25,18022
18,23,638,394,61.76,234,36.68,10,1.57,18023
18,24,675,521,77.19,142,21.04,12,1.78,18024
18,25,367,249,67.85,101,27.52,17,4.63,18025
18,26,618,450,72.82,142,22.98,26,4.21,18026
19,1,888,444,50.0,419,47.18,25,2.82,19001
19,2,826,688,83.29,134,16.22,4,0.48,19002
19,3,658,161,24.47,489,74.32,8,1.22,19003
19,4,616,192,31.17,415,67.37,9,1.46,19004
19,5,679,512,75.41,158,23.27,9,1.33,19005
19,6,659,236,35.81,412,62.52,11,1.67,19006
19,7,881,431,48.92,429,48.69,21,2.38,19007
19,8,606,586,96.7,15,2.48,5,0.83,19008
19,9,564,526,93.26,29,5.14,9,1.6,19009
19,10,651,495,76.04,141,21.66,15,2.3,19010
19,11,556,225,40.47,322,57.91,9,1.62,19011
19,12,870,295,33.91,558,64.14,17,1.95,19012
19,13,528,490,92.8,29,5.49,9,1.7,19013
19,14,772,641,83.03,117,15.16,14,1.81,19014
19,15,507,148,29.19,351,69.23,8,1.58,19015
19,16,614,198,32.25,402,65.47,14,2.28,19016
19,17,587,261,44.46,316,53.83,10,1.7,19017
19,18,570,164,28.77,401,70.35,5,0.88,19018
19,19,685,520,75.91,150,21.9,15,2.19,19019
19,20,508,469,92.32,36,7.09,3,0.59,19020
19,21,872,278,31.88,575,65.94,19,2.18,19021
19,22,662,445,67.22,204,30.82,13,1.96,19022
19,23,635,297,46.77,332,52.28,6,0.94,19023
19,24,612,203,33.17,402,65.69,7,1.14,19024
19,25,571,451,78.98,103,18.04,17,2.98,19025
19,26,565,386,68.32,173,30.62,6,1.06,19026
19,27,820,720,87.8,83,10.12,17,2.07,19027
19,28,1019,928,91.07,80,7.85,11,1.08,19028
19,29,735,273,37.14,450,61.22,12,1.63,19029
19,30,635,190,29.92,440,69.29,5,0.79,19030
19,31,949,676,71.23,257,27.08,16,1.69,19031
19,32,551,480,87.11,64,11.62,7,1.27,19032
19,33,464,121,26.08,335,72.2,8,1.72,19033
19,34,1012,498,49.21,492,48.62,22,2.17,19034
19,35,684,471,68.86,203,29.68,10,1.46,19035
19,36,559,373,66.73,179,32.02,7,1.25,19036
20,1,253,207,81.82,38,15.02,8,3.16,20001
