ward,precinct,total,George A. Cardenas,George A. Cardenas Percent,precinct_id
23,18,208,208,100.0,23018
23,19,171,171,100.0,23019
23,20,164,164,100.0,23020
23,21,150,150,100.0,23021
23,22,157,157,100.0,23022
23,23,166,166,100.0,23023
23,24,163,163,100.0,23024
23,25,137,137,100.0,23025
23,26,110,110,100.0,23026
23,27,112,112,100.0,23027
23,28,204,204,100.0,23028
23,29,285,285,100.0,23029
23,30,180,180,100.0,23030
23,31,205,205,100.0,23031
23,32,164,164,100.0,23032
23,33,364,364,100.0,23033
24,12,421,421,100.0,24012
24,15,340,340,100.0,24015
24,16,448,448,100.0,24016
24,17,268,268,100.0,24017
24,18,408,408,100.0,24018
24,19,960,960,100.0,24019
25,1,298,298,100.0,25001
25,2,194,194,100.0,25002
25,3,258,258,100.0,25003
25,4,335,335,100.0,25004
25,5,472,472,100.0,25005
25,6,474,474,100.0,25006
25,7,435,435,100.0,25007
25,8,458,458,100.0,25008
25,9,467,467,100.0,25009
25,10,532,532,100.0,25010
25,11,472,472,100.0,25011
25,12,418,418,100.0,25012
25,13,613,613,100.0,25013
25,14,629,629,100.0,25014
25,15,461,461,100.0,25015
25,16,608,608,100.0,25016
25,17,271,271,100.0,25017
26,1,196,196,100.0,26001
26,4,253,253,100.0,26004
26,6,219,219,100.0,26006
26,7,94,94,100.0,26007
26,8,242,242,100.0,26008
26,9,145,145,100.0,26009
26,14,158,158,100.0,26014
26,15,179,179,100.0,26015
26,18,165,165,100.0,26018
26,21,177,177,100.0,26021
26,22,165,165,100.0,26022
26,23,360,360,100.0,26023
26,24,167,167,100.0,26024
26,31,248,248,100.0,26031
28,12,18,18,100.0,28012
28,15,233,233,100.0,28015
28,16,499,499,100.0,28016
28,17,161,161,100.0,28017
29,3,276,276,100.0,29003
29,4,342,342,100.0,29004
29,5,367,367,100.0,29005
29,6,321,321,100.0,29006
29,7,557,557,100.0,29007
29,8,808,808,100.0,29008
29,9,330,330,100.0,29009
29,10,482,482,100.0,29010
29,11,400,400,100.0,29011
30,5,341,341,100.0,30005
30,8,303,303,100.0,30008
30,11,299,299,100.0,30011
30,12,386,386,100.0,30012
30,13,308,308,100.0,30013
31,1,292,292,100.0,31001
31,2,454,454,100.0,31002
31,3,124,124,100.0,31003
31,4,310,310,100.0,31004
31,5,283,283,100.0,31005
31,6,131,131,100.0,31006
31,7,142,142,100.0,31007
31,8,373,373,100.0,31008
31,9,131,131,100.0,31009
31,10,167,167,100.0,31010
31,14,325,325,100.0,31014
31,15,145,145,100.0,31015
31,16,209,209,100.0,31016
31,17,176,176,100.0,31017
31,18,232,232,100.0,31018
31,19,213,213,100.0,31019
31,20,272,272,100.0,31020
31,21,283,283,100.0,31021
31,22,130,130,100.0,31022
31,23,152,152,100.0,31023
35,1,167,167,100.0,35001
35,2,442,442,100.0,35002
35,3,327,327,100.0,35003
35,4,495,495,100.0,35004
35,7,662,662,100.0,35007
35,10,487,487,100.0,35010
35,11,627,627,100.0,35011
35,13,561,561,100.0,35013
36,5,207,207,100.0,36005
36,6,205,205,100.0,36006
36,7,185,185,100.0,36007
36,8,134,134,100.0,36008
36,9,387,387,100.0,36009
36,10,273,273,100.0,36010
36,11,215,215,100.0,36011
36,12,161,161,100.0,36012
36,13,89,89,100.0,36013
36,14,39,39,100.0,36014
36,15,137,137,100.0,36015
37,10,315,315,100.0,37010
37,12,400,400,100.0,37012
37,16,452,452,100.0,37016
37,22,344,344,100.0,37022
