ward,precinct,total,Fritz Kaegi,Fritz Kaegi Percent,Nico Tsatsoulis,Nico Tsatsoulis Percent,precinct_id
2,22,581,469,80.72,112,19.28,02022
2,23,624,527,84.46,97,15.54,02023
2,24,490,400,81.63,90,18.37,02024
2,25,736,585,79.48,151,20.52,02025
3,1,676,633,93.64,43,6.36,03001
3,2,673,654,97.18,19,2.82,03002
3,3,473,438,92.6,35,7.4,03003
3,4,498,463,92.97,35,7.03,03004
3,5,129,118,91.47,11,8.53,03005
3,6,700,627,89.57,73,10.43,03006
3,7,352,331,94.03,21,5.97,03007
3,8,512,480,93.75,32,6.25,03008
3,9,416,374,89.9,42,10.1,03009
3,10,452,373,82.52,79,17.48,03010
3,11,728,673,92.45,55,7.55,03011
3,12,662,627,94.71,35,5.29,03012
3,13,865,750,86.71,115,13.29,03013
3,14,910,777,85.38,133,14.62,03014
3,15,552,521,94.38,31,5.62,03015
3,16,351,325,92.59,26,7.41,03016
3,17,187,178,95.19,9,4.81,03017
3,18,223,216,96.86,7,3.14,03018
3,19,939,791,84.24,148,15.76,03019
3,20,606,573,94.55,33,5.45,03020
3,21,603,533,88.39,70,11.61,03021
3,22,491,449,91.45,42,8.55,03022
3,23,317,290,91.48,27,8.52,03023
3,24,127,124,97.64,3,2.36,03024
3,25,915,769,84.04,146,15.96,03025
3,26,311,293,94.21,18,5.79,03026
3,27,769,650,84.53,119,15.47,03027
4,1,869,823,94.71,46,5.29,04001
4,2,334,313,93.71,21,6.29,04002
4,3,586,557,95.05,29,4.95,04003
4,4,674,643,95.4,31,4.6,04004
4,5,321,312,97.2,9,2.8,04005
4,6,475,443,93.26,32,6.74,04006
4,7,354,332,93.79,22,6.21,04007
4,8,486,462,95.06,24,4.94,04008
4,9,511,492,96.28,19,3.72,04009
4,10,471,458,97.24,13,2.76,04010
4,11,650,605,93.08,45,6.92,04011
4,12,414,387,93.48,27,6.52,04012
4,13,423,389,91.96,34,8.04,04013
4,14,407,384,94.35,23,5.65,04014
4,15,373,343,91.96,30,8.04,04015
4,16,529,508,96.03,21,3.97,04016
4,17,721,684,94.87,37,5.13,04017
4,18,233,225,96.57,8,3.43,04018
4,19,475,449,94.53,26,5.47,04019
4,20,658,624,94.83,34,5.17,04020
4,21,421,399,94.77,22,5.23,04021
4,22,216,203,93.98,13,6.02,04022
4,23,384,364,94.79,20,5.21,04023
4,24,777,744,95.75,33,4.25,04024
4,25,922,813,88.18,109,11.82,04025
4,26,826,746,90.31,80,9.69,04026
4,27,877,784,89.4,93,10.6,04027
4,28,940,831,88.4,109,11.6,04028
5,1,655,622,94.96,33,5.04,05001
5,2,736,700,95.11,36,4.89,05002
5,3,678,645,95.13,33,4.87,05003
5,4,550,521,94.73,29,5.27,05004
5,5,329,319,96.96,10,3.04,05005
5,6,295,286,96.95,9,3.05,05006
5,7,165,154,93.33,11,6.67,05007
5,8,208,202,97.12,6,2.88,05008
5,9,194,185,95.36,9,4.64,05009
5,10,332,314,94.58,18,5.42,05010
5,11,433,407,94.0,26,6.0,05011
5,12,762,734,96.33,28,3.67,05012
5,13,324,304,93.83,20,6.17,05013
5,14,363,352,96.97,11,3.03,05014
5,15,1062,1002,94.35,60,5.65,05015
5,16,649,613,94.45,36,5.55,05016
5,17,476,452,94.96,24,5.04,05017
5,18,980,934,95.31,46,4.69,05018
5,19,433,414,95.61,19,4.39,05019
5,20,710,679,95.63,31,4.37,05020
5,21,645,613,95.04,32,4.96,05021
5,22,727,689,94.77,38,5.23,05022
5,23,405,389,96.05,16,3.95,05023
5,24,453,397,87.64,56,12.36,05024
5,25,1032,971,94.09,61,5.91,05025
6,1,213,207,97.18,6,2.82,06001
6,2,270,254,94.07,16,5.93,06002
6,3,81,74,91.36,7,8.64,06003
6,4,195,187,95.9,8,4.1,06004
6,5,352,333,94.6,19,5.4,06005
6,6,321,300,93.46,21,6.54,06006
6,7,395,376,95.19,19,4.81,06007
6,8,317,301,94.95,16,5.05,06008
6,9,613,588,95.92,25,4.08,06009
6,10,368,351,95.38,17,4.62,06010
6,11,196,192,97.96,4,2.04,06011
6,12,410,401,97.8,9,2.2,06012
6,13,528,507,96.02,21,3.98,06013
6,14,510,495,97.06,15,2.94,06014
6,15,550,516,93.82,34,6.18,06015
6,16,328,314,95.73,14,4.27,06016
6,17,620,600,96.77,20,3.23,06017
6,18,686,659,96.06,27,3.94,06018
6,19,449,427,95.1,22,4.9,06019
6,20,767,731,95.31,36,4.69,06020
6,21,549,526,95.81,23,4.19,06021
6,22,793,765,96.47,28,3.53,06022
6,23,712,692,97.19,20,2.81,06023
6,24,634,603,95.11,31,4.89,06024
6,25,485,469,96.7,16,3.3,06025
6,26,812,773,95.2,39,4.8,06026
6,27,752,717,95.35,35,4.65,06027
7,1,566,544,96.11,22,3.89,07001
7,2,727,700,96.29,27,3.71,07002
7,3,408,383,93.87,25,6.13,07003
7,4,517,495,95.74,22,4.26,07004
7,5,627,592,94.42,35,5.58,07005
7,6,179,169,94.41,10,5.59,07006
7,7,415,391,94.22,24,5.78,07007
7,8,256,251,98.05,5,1.95,07008
7,9,410,384,93.66,26,6.34,07009
7,10,569,545,95.78,24,4.22,07010
7,11,516,501,97.09,15,2.91,07011
7,12,607,583,96.05,24,3.95,07012
7,13,417,385,92.33,32,7.67,07013
7,14,392,369,94.13,23,5.87,07014
7,15,546,515,94.32,31,5.68,07015
7,16,194,183,94.33,11,5.67,07016
7,17,150,143,95.33,7,4.67,07017
7,18,90,86,95.56,4,4.44,07018
7,19,718,689,95.96,29,4.04,07019
7,20,371,357,96.23,14,3.77,07020
7,21,291,283,97.25,8,2.75,07021
7,22,362,348,96.13,14,3.87,07022
7,23,247,237,95.95,10,4.05,07023
7,24,68,64,94.12,4,5.88,07024
7,25,390,378,96.92,12,3.08,07025
7,26,558,535,95.88,23,4.12,07026
7,27,325,316,97.23,9,2.77,07027
7,28,206,201,97.57,5,2.43,07028
7,29,300,288,96.0,12,4.0,07029
7,30,271,262,96.68,9,3.32,07030
7,31,127,123,96.85,4,3.15,07031
8,1,576,550,95.49,26,4.51,08001
8,2,289,275,95.16,14,4.84,08002
8,3,240,234,97.5,6,2.5,08003
8,4,559,538,96.24,21,3.76,08004
8,5,384,372,96.88,12,3.13,08005
8,6,673,652,96.88,21,3.12,08006
8,7,388,376,96.91,12,3.09,08007
8,8,783,755,96.42,28,3.58,08008
8,9,519,488,94.03,31,5.97,08009
8,10,576,554,96.18,22,3.82,08010
8,11,465,445,95.7,20,4.3,08011
8,12,543,524,96.5,19,3.5,08012
8,13,516,501,97.09,15,2.91,08013
8,14,591,571,96.62,20,3.38,08014
8,15,452,431,95.35,21,4.65,08015
8,16,406,385,94.83,21,5.17,08016
8,17,685,662,96.64,23,3.36,08017
8,18,929,915,98.49,14,1.51,08018
8,19,730,702,96.16,28,3.84,08019
8,20,334,319,95.51,15,4.49,08020
8,21,369,354,95.93,15,4.07,08021
8,22,265,253,95.47,12,4.53,08022
8,23,782,763,97.57,19,2.43,08023
8,24,499,481,96.39,18,3.61,08024
8,25,216,209,96.76,7,3.24,08025
8,26,414,390,94.2,24,5.8,08026
8,27,539,524,97.22,15,2.78,08027
8,28,356,342,96.07,14,3.93,08028
8,29,527,503,95.45,24,4.55,08029
8,30,463,449,96.98,14,3.02,08030
9,1,586,558,95.22,28,4.78,09001
9,2,414,401,96.86,13,3.14,09002
9,3,208,202,97.12,6,2.88,09003
9,4,422,407,96.45,15,3.55,09004
9,5,432,416,96.3,16,3.7,09005
9,6,702,677,96.44,25,3.56,09006
9,7,574,546,95.12,28,4.88,09007
9,8,558,542,97.13,16,2.87,09008
9,9,341,321,94.13,20,5.87,09009
9,10,676,652,96.45,24,3.55,09010
9,11,236,226,95.76,10,4.24,09011
9,12,623,604,96.95,19,3.05,09012
9,13,574,554,96.52,20,3.48,09013
9,14,324,309,95.37,15,4.63,09014
9,15,466,450,96.57,16,3.43,09015
9,16,623,597,95.83,26,4.17,09016
9,17,181,174,96.13,7,3.87,09017
9,18,316,300,94.94,16,5.06,09018
9,19,257,242,94.16,15,5.84,09019
9,20,484,434,89.67,50,10.33,09020
9,21,546,519,95.05,27,4.95,09021
9,22,392,376,95.92,16,4.08,09022
9,23,313,303,96.81,10,3.19,09023
9,24,466,445,95.49,21,4.51,09024
9,25,356,340,95.51,16,4.49,09025
9,26,520,502,96.54,18,3.46,09026
9,27,301,291,96.68,10,3.32,09027
9,28,240,232,96.67,8,3.33,09028
9,29,684,667,97.51,17,2.49,09029
9,30,575,556,96.7,19,3.3,09030
10,1,136,130,95.59,6,4.41,10001
10,2,182,163,89.56,19,10.44,10002
10,3,289,265,91.7,24,8.3,10003
10,4,342,319,93.27,23,6.73,10004
10,5,125,103,82.4,22,17.6,10005
10,6,165,147,89.09,18,10.91,10006
10,7,298,255,85.57,43,14.43,10007
10,8,281,237,84.34,44,15.66,10008
10,9,325,288,88.62,37,11.38,10009
10,10,324,284,87.65,40,12.35,10010
10,11,121,107,88.43,14,11.57,10011
10,12,316,284,89.87,32,10.13,10012
10,13,363,319,87.88,44,12.12,10013
10,14,462,397,85.93,65,14.07,10014
10,15,392,318,81.12,74,18.88,10015
10,16,491,413,84.11,78,15.89,10016
10,17,435,371,85.29,64,14.71,10017
10,18,499,411,82.36,88,17.64,10018
10,19,344,257,74.71,87,25.29,10019
10,20,204,162,79.41,42,20.59,10020
10,21,264,194,73.48,70,26.52,10021
10,22,476,351,73.74,125,26.26,10022
10,23,321,297,92.52,24,7.48,10023
10,24,179,172,96.09,7,3.91,10024
10,25,262,250,95.42,12,4.58,10025
11,1,180,144,80.0,36,20.0,11001
11,2,83,75,90.36,8,9.64,11002
11,3,509,417,81.93,92,18.07,11003
11,4,360,306,85.0,54,15.0,11004
11,5,376,299,79.52,77,20.48,11005
11,6,477,401,84.07,76,15.93,11006
11,7,249,205,82.33,44,17.67,11007
11,8,445,332,74.61,113,25.39,11008
11,9,461,372,80.69,89,19.31,11009
11,10,81,59,72.84,22,27.16,11010
11,11,65,49,75.38,16,24.62,11011
11,12,163,123,75.46,40,24.54,11012
11,13,441,351,79.59,90,20.41,11013
11,14,791,646,81.67,145,18.33,11014
11,15,592,507,85.64,85,14.36,11015
11,16,688,582,84.59,106,15.41,11016
11,17,320,251,78.44,69,21.56,11017
11,18,449,383,85.3,66,14.7,11018
11,19,153,111,72.55,42,27.45,11019
11,20,434,347,79.95,87,20.05,11020
11,21,688,556,80.81,132,19.19,11021
11,22,471,369,78.34,102,21.66,11022
11,23,499,396,79.36,103,20.64,11023
12,1,264,220,83.33,44,16.67,12001
12,2,200,172,86.0,28,14.0,12002
12,3,375,318,84.8,57,15.2,12003
12,4,308,261,84.74,47,15.26,12004
12,5,305,262,85.9,43,14.1,12005
12,6,273,226,82.78,47,17.22,12006
12,7,279,240,86.02,39,13.98,12007
12,8,260,224,86.15,36,13.85,12008
12,9,146,123,84.25,23,15.75,12009
12,10,297,241,81.14,56,18.86,12010
12,11,229,195,85.15,34,14.85,12011
12,12,195,162,83.08,33,16.92,12012
12,13,215,183,85.12,32,14.88,12013
12,14,255,217,85.1,38,14.9,12014
12,15,259,218,84.17,41,15.83,12015
12,16,300,250,83.33,50,16.67,12016
12,17,248,213,85.89,35,14.11,12017
12,18,299,265,88.63,34,11.37,12018
12,19,166,146,87.95,20,12.05,12019
12,20,226,208,92.04,18,7.96,12020
12,21,240,209,87.08,31,12.92,12021
12,22,207,180,86.96,27,13.04,12022
13,1,248,208,83.87,40,16.13,13001
13,2,288,233,80.9,55,19.1,13002
13,3,412,280,67.96,132,32.04,13003
13,4,340,292,85.88,48,14.12,13004
13,5,286,215,75.17,71,24.83,13005
13,6,317,232,73.19,85,26.81,13006
13,7,268,208,77.61,60,22.39,13007
13,8,385,305,79.22,80,20.78,13008
13,9,431,321,74.48,110,25.52,13009
13,10,425,310,72.94,115,27.06,13010
13,11,226,170,75.22,56,24.78,13011
13,12,225,188,83.56,37,16.44,13012
13,13,286,213,74.48,73,25.52,13013
13,14,278,214,76.98,64,23.02,13014
13,15,286,195,68.18,91,31.82,13015
13,16,349,286,81.95,63,18.05,13016
13,17,371,334,90.03,37,9.97,13017
13,18,254,211,83.07,43,16.93,13018
13,19,230,161,70.0,69,30.0,13019
13,20,364,262,71.98,102,28.02,13020
13,21,294,205,69.73,89,30.27,13021
13,22,368,316,85.87,52,14.13,13022
13,23,369,237,64.23,132,35.77,13023
13,24,289,217,75.09,72,24.91,13024
13,25,292,237,81.16,55,18.84,13025
13,26,240,210,87.5,30,12.5,13026
13,27,188,158,84.04,30,15.96,13027
13,28,255,227,89.02,28,10.98,13028
13,29,230,199,86.52,31,13.48,13029
13,30,350,265,75.71,85,24.29,13030
13,31,251,162,64.54,89,35.46,13031
13,32,250,193,77.2,57,22.8,13032
13,33,294,227,77.21,67,22.79,13033
13,34,374,266,71.12,108,28.88,13034
13,35,464,356,76.72,108,23.28,13035
13,36,179,163,91.06,16,8.94,13036
13,37,364,256,70.33,108,29.67,13037
13,38,200,157,78.5,43,21.5,13038
13,39,364,256,70.33,108,29.67,13039
13,40,307,232,75.57,75,24.43,13040
14,1,429,380,88.58,49,11.42,14001
14,2,272,235,86.4,37,13.6,14002
14,3,190,163,85.79,27,14.21,14003
14,4,88,81,92.05,7,7.95,14004
14,5,320,281,87.81,39,12.19,14005
14,6,410,373,90.98,37,9.02,14006
14,7,425,337,79.29,88,20.71,14007
14,8,388,327,84.28,61,15.72,14008
14,9,396,345,87.12,51,12.88,14009
14,10,379,323,85.22,56,14.78,14010
14,11,423,372,87.94,51,12.06,14011
14,12,265,230,86.79,35,13.21,14012
14,13,459,395,86.06,64,13.94,14013
14,14,227,201,88.55,26,11.45,14014
14,15,231,196,84.85,35,15.15,14015
15,1,262,191,72.9,71,27.1,15001
15,2,359,259,72.14,100,27.86,15002
15,3,141,107,75.89,34,24.11,15003
15,4,190,170,89.47,20,10.53,15004
15,5,227,195,85.9,32,14.1,15005
15,6,267,232,86.89,35,13.11,15006
15,7,189,162,85.71,27,14.29,15007
15,8,225,202,89.78,23,10.22,15008
15,9,257,216,84.05,41,15.95,15009
15,10,210,195,92.86,15,7.14,15010
15,11,201,173,86.07,28,13.93,15011
15,12,269,236,87.73,33,12.27,15012
15,13,202,181,89.6,21,10.4,15013
15,14,202,187,92.57,15,7.43,15014
15,15,212,193,91.04,19,8.96,15015
15,16,335,311,92.84,24,7.16,15016
15,17,400,375,93.75,25,6.25,15017
15,18,293,282,96.25,11,3.75,15018
15,19,175,164,93.71,11,6.29,15019
15,20,230,192,83.48,38,16.52,15020
16,1,346,321,92.77,25,7.23,16001
16,2,221,210,95.02,11,4.98,16002
16,3,284,269,94.72,15,5.28,16003
16,4,181,170,93.92,11,6.08,16004
16,5,385,372,96.62,13,3.38,16005
16,6,373,356,95.44,17,4.56,16006
16,7,206,197,95.63,9,4.37,16007
16,8,161,145,90.06,16,9.94,16008
16,9,357,339,94.96,18,5.04,16009
16,10,292,277,94.86,15,5.14,16010
16,11,242,225,92.98,17,7.02,16011
16,12,105,98,93.33,7,6.67,16012
16,13,151,142,94.04,9,5.96,16013
16,14,397,370,93.2,27,6.8,16014
16,15,320,300,93.75,20,6.25,16015
16,16,242,229,94.63,13,5.37,16016
16,17,430,409,95.12,21,4.88,16017
16,18,394,373,94.67,21,5.33,16018
16,19,310,284,91.61,26,8.39,16019
16,20,311,301,96.78,10,3.22,16020
16,21,222,203,91.44,19,8.56,16021
16,22,327,300,91.74,27,8.26,16022
16,23,212,194,91.51,18,8.49,16023
16,24,261,250,95.79,11,4.21,16024
16,25,130,120,92.31,10,7.69,16025
17,1,406,374,92.12,32,7.88,17001
17,2,259,237,91.51,22,8.49,17002
17,3,310,299,96.45,11,3.55,17003
17,4,315,303,96.19,12,3.81,17004
17,5,196,183,93.37,13,6.63,17005
17,6,296,284,95.95,12,4.05,17006
17,7,172,163,94.77,9,5.23,17007
17,8,233,227,97.42,6,2.58,17008
17,9,228,224,98.25,4,1.75,17009
17,10,485,467,96.29,18,3.71,17010
17,11,284,271,95.42,13,4.58,17011
17,12,180,172,95.56,8,4.44,17012
17,13,195,187,95.9,8,4.1,17013
17,14,199,189,94.97,10,5.03,17014
17,15,585,564,96.41,21,3.59,17015
17,16,271,260,95.94,11,4.06,17016
17,17,228,216,94.74,12,5.26,17017
17,18,664,640,96.39,24,3.61,17018
17,19,445,425,95.51,20,4.49,17019
17,20,439,425,96.81,14,3.19,17020
17,21,515,496,96.31,19,3.69,17021
17,22,522,502,96.17,20,3.83,17022
17,23,331,322,97.28,9,2.72,17023
17,24,537,524,97.58,13,2.42,17024
17,25,239,228,95.4,11,4.6,17025
17,26,443,425,95.94,18,4.06,17026
17,27,528,504,95.45,24,4.55,17027
17,28,626,598,95.53,28,4.47,17028
17,29,560,538,96.07,22,3.93,17029
18,1,652,627,96.17,25,3.83,18001
18,2,723,700,96.82,23,3.18,18002
18,3,300,286,95.33,14,4.67,18003
18,4,532,504,94.74,28,5.26,18004
18,5,447,431,96.42,16,3.58,18005
18,6,759,736,96.97,23,3.03,18006
18,7,598,574,95.99,24,4.01,18007
18,8,874,832,95.19,42,4.81,18008
18,9,678,640,94.4,38,5.6,18009
18,10,774,740,95.61,34,4.39,18010
18,11,467,453,97.0,14,3.0,18011
18,12,695,662,95.25,33,4.75,18012
18,13,556,516,92.81,40,7.19,18013
18,14,448,428,95.54,20,4.46,18014
18,15,332,319,96.08,13,3.92,18015
18,16,509,484,95.09,25,4.91,18016
18,17,363,341,93.94,22,6.06,18017
18,18,464,402,86.64,62,13.36,18018
18,19,418,389,93.06,29,6.94,18019
18,20,376,344,91.49,32,8.51,18020
18,21,523,489,93.5,34,6.5,18021
18,22,510,429,84.12,81,15.88,18022
18,23,537,446,83.05,91,16.95,18023
18,24,609,534,87.68,75,12.32,18024
18,25,330,279,84.55,51,15.45,18025
18,26,574,480,83.62,94,16.38,18026
19,1,767,571,74.45,196,25.55,19001
19,2,757,703,92.87,54,7.13,19002
19,3,494,294,59.51,200,40.49,19003
19,4,517,324,62.67,193,37.33,19004
19,5,624,540,86.54,84,13.46,19005
19,6,528,335,63.45,193,36.55,19006
19,7,775,564,72.77,211,27.23,19007
19,8,580,557,96.03,23,3.97,19008
19,9,538,514,95.54,24,4.46,19009
19,10,604,517,85.6,87,14.4,19010
19,11,465,315,67.74,150,32.26,19011
19,12,680,416,61.18,264,38.82,19012
19,13,510,477,93.53,33,6.47,19013
19,14,714,643,90.06,71,9.94,19014
19,15,426,240,56.34,186,43.66,19015
19,16,510,316,61.96,194,38.04,19016
19,17,491,353,71.89,138,28.11,19017
19,18,438,267,60.96,171,39.04,19018
19,19,639,559,87.48,80,12.52,19019
19,20,493,466,94.52,27,5.48,19020
19,21,708,441,62.29,267,37.71,19021
19,22,602,493,81.89,109,18.11,19022
19,23,536,374,69.78,162,30.22,19023
19,24,467,288,61.67,179,38.33,19024
19,25,539,471,87.38,68,12.62,19025
19,26,505,421,83.37,84,16.63,19026
19,27,773,702,90.82,71,9.18,19027
19,28,957,897,93.73,60,6.27,19028
19,29,627,400,63.8,227,36.2,19029
19,30,480,284,59.17,196,40.83,19030
19,31,843,708,83.99,135,16.01,19031
19,32,517,479,92.65,38,7.35,19032
19,33,357,196,54.9,161,45.1,19033
19,34,867,664,76.59,203,23.41,19034
19,35,632,532,84.18,100,15.82,19035
19,36,505,412,81.58,93,18.42,19036
20,1,246,221,89.84,25,10.16,20001
20,2,135,109,80.74,26,19.26,20002
20,3,160,155,96.88,5,3.13,20003
20,4,128,124,96.88,4,3.13,20004
20,5,248,237,95.56,11,4.44,20005
20,6,166,157,94.58,9,5.42,20006
20,7,213,205,96.24,8,3.76,20007
20,8,251,233,92.83,18,7.17,20008
20,9,488,466,95.49,22,4.51,20009
20,10,522,502,96.17,20,3.83,20010
20,11,416,389,93.51,27,6.49,20011
20,12,88,84,95.45,4,4.55,20012
20,13,752,721,95.88,31,4.12,20013
20,14,440,421,95.68,19,4.32,20014
20,15,411,378,91.97,33,8.03,20015
20,16,458,429,93.67,29,6.33,20016
20,17,543,513,94.48,30,5.52,20017
20,18,672,626,93.15,46,6.85,20018
20,19,365,340,93.15,25,6.85,20019
20,20,468,448,95.73,20,4.27,20020
20,21,616,590,95.78,26,4.22,20021
20,22,557,538,96.59,19,3.41,20022
20,23,223,211,94.62,12,5.38,20023
21,1,634,608,95.9,26,4.1,21001
21,2,192,184,95.83,8,4.17,21002
21,3,676,642,94.97,34,5.03,21003
21,4,571,549,96.15,22,3.85,21004
21,5,606,582,96.04,24,3.96,21005
21,6,508,478,94.09,30,5.91,21006
21,7,708,687,97.03,21,2.97,21007
21,8,607,578,95.22,29,4.78,21008
21,9,196,190,96.94,6,3.06,21009
21,10,663,639,96.38,24,3.62,21010
21,11,681,657,96.48,24,3.52,21011
21,12,304,287,94.41,17,5.59,21012
21,13,501,481,96.01,20,3.99,21013
21,14,740,708,95.68,32,4.32,21014
21,15,703,674,95.87,29,4.13,21015
21,16,638,619,97.02,19,2.98,21016
21,17,479,457,95.41,22,4.59,21017
21,18,691,659,95.37,32,4.63,21018
21,19,589,564,95.76,25,4.24,21019
21,20,484,464,95.87,20,4.13,21020
21,21,708,669,94.49,39,5.51,21021
21,22,730,699,95.75,31,4.25,21022
21,23,515,496,96.31,19,3.69,21023
21,24,530,510,96.23,20,3.77,21024
21,25,410,400,97.56,10,2.44,21025
21,26,478,460,96.23,18,3.77,21026
21,27,688,666,96.8,22,3.2,21027
21,28,610,585,95.9,25,4.1,21028
21,29,616,588,95.45,28,4.55,21029
22,1,197,191,96.95,6,3.05,22001
22,2,122,112,91.8,10,8.2,22002
22,3,268,226,84.33,42,15.67,22003
22,4,156,143,91.67,13,8.33,22004
22,5,399,356,89.22,43,10.78,22005
22,6,210,185,88.1,25,11.9,22006
22,7,227,201,88.55,26,11.45,22007
22,8,254,227,89.37,27,10.63,22008
22,9,249,231,92.77,18,7.23,22009
22,10,317,291,91.8,26,8.2,22010
22,11,362,318,87.85,44,12.15,22011
22,12,223,190,85.2,33,14.8,22012
22,13,278,258,92.81,20,7.19,22013
22,14,256,235,91.8,21,8.2,22014
22,15,150,134,89.33,16,10.67,22015
22,16,320,265,82.81,55,17.19,22016
22,17,145,139,95.86,6,4.14,22017
22,18,293,283,96.59,10,3.41,22018
22,19,446,383,85.87,63,14.13,22019
23,1,265,174,65.66,91,34.34,23001
23,2,447,313,70.02,134,29.98,23002
23,3,277,202,72.92,75,27.08,23003
23,4,220,141,64.09,79,35.91,23004
23,5,398,274,68.84,124,31.16,23005
23,6,209,138,66.03,71,33.97,23006
23,7,277,194,70.04,83,29.96,23007
23,8,289,210,72.66,79,27.34,23008
23,9,442,318,71.95,124,28.05,23009
23,10,463,369,79.7,94,20.3,23010
23,11,205,173,84.39,32,15.61,23011
23,12,292,225,77.05,67,22.95,23012
23,13,503,406,80.72,97,19.28,23013
23,14,355,296,83.38,59,16.62,23014
23,15,386,298,77.2,88,22.8,23015
23,16,199,162,81.41,37,18.59,23016
23,17,273,250,91.58,23,8.42,23017
23,18,240,197,82.08,43,17.92,23018
23,19,196,173,88.27,23,11.73,23019
23,20,186,158,84.95,28,15.05,23020
23,21,173,152,87.86,21,12.14,23021
23,22,200,175,87.5,25,12.5,23022
23,23,196,173,88.27,23,11.73,23023
23,24,186,161,86.56,25,13.44,23024
23,25,158,142,89.87,16,10.13,23025
23,26,127,117,92.13,10,7.87,23026
23,27,169,145,85.8,24,14.2,23027
23,28,237,202,85.23,35,14.77,23028
23,29,316,272,86.08,44,13.92,23029
23,30,201,182,90.55,19,9.45,23030
23,31,229,200,87.34,29,12.66,23031
23,32,200,166,83.0,34,17.0,23032
23,33,424,368,86.79,56,13.21,23033
24,1,225,220,97.78,5,2.22,24001
24,2,201,197,98.01,4,1.99,24002
24,3,412,393,95.39,19,4.61,24003
24,4,349,329,94.27,20,5.73,24004
24,5,576,555,96.35,21,3.65,24005
24,6,364,355,97.53,9,2.47,24006
24,7,185,178,96.22,7,3.78,24007
24,8,240,224,93.33,16,6.67,24008
24,9,447,429,95.97,18,4.03,24009
24,10,319,313,98.12,6,1.88,24010
24,11,414,395,95.41,19,4.59,24011
24,12,474,457,96.41,17,3.59,24012
24,13,437,412,94.28,25,5.72,24013
24,14,338,322,95.27,16,4.73,24014
24,15,378,365,96.56,13,3.44,24015
24,16,501,465,92.81,36,7.19,24016
24,17,295,281,95.25,14,4.75,24017
24,18,476,444,93.28,32,6.72,24018
24,19,1034,804,77.76,230,22.24,24019
25,1,346,311,89.88,35,10.12,25001
25,2,237,211,89.03,26,10.97,25002
25,3,313,284,90.73,29,9.27,25003
25,4,397,345,86.9,52,13.1,25004
25,5,532,477,89.66,55,10.34,25005
25,6,534,474,88.76,60,11.24,25006
25,7,520,463,89.04,57,10.96,25007
25,8,529,475,89.79,54,10.21,25008
25,9,540,480,88.89,60,11.11,25009
25,10,592,535,90.37,57,9.63,25010
25,11,519,463,89.21,56,10.79,25011
25,12,469,421,89.77,48,10.23,25012
25,13,698,614,87.97,84,12.03,25013
25,14,710,628,88.45,82,11.55,25014
25,15,541,437,80.78,104,19.22,25015
25,16,704,631,89.63,73,10.37,25016
25,17,295,244,82.71,51,17.29,25017
26,1,221,191,86.43,30,13.57,26001
26,2,288,264,91.67,24,8.33,26002
26,3,479,458,95.62,21,4.38,26003
26,4,292,244,83.56,48,16.44,26004
26,5,384,345,89.84,39,10.16,26005
26,6,248,212,85.48,36,14.52,26006
26,7,376,341,90.69,35,9.31,26007
26,8,280,249,88.93,31,11.07,26008
26,9,243,206,84.77,37,15.23,26009
26,10,295,264,89.49,31,10.51,26010
