ward,precinct,total,Karen A. Yarbrough,Karen A. Yarbrough Percent,Tony Peraica,Tony Peraica Percent,Joseph Schreiner,Joseph Schreiner Percent,precinct_id
2,18,735,540,73.47,178,24.22,17,2.31,02018
2,19,393,292,74.3,91,23.16,10,2.54,02019
2,20,513,343,66.86,162,31.58,8,1.56,02020
2,21,160,103,64.38,55,34.38,2,1.25,02021
2,22,604,450,74.5,135,22.35,19,3.15,02022
2,23,657,505,76.86,139,21.16,13,1.98,02023
2,24,517,369,71.37,138,26.69,10,1.93,02024
2,25,802,585,72.94,189,23.57,28,3.49,02025
3,1,693,657,94.81,21,3.03,15,2.16,03001
3,2,693,671,96.83,15,2.16,7,1.01,03002
3,3,497,439,88.33,48,9.66,10,2.01,03003
3,4,511,491,96.09,13,2.54,7,1.37,03004
3,5,130,117,90.0,8,6.15,5,3.85,03005
3,6,720,626,86.94,78,10.83,16,2.22,03006
3,7,360,333,92.5,20,5.56,7,1.94,03007
3,8,535,511,95.51,14,2.62,10,1.87,03008
3,9,429,381,88.81,36,8.39,12,2.8,03009
3,10,482,382,79.25,85,17.63,15,3.11,03010
3,11,743,699,94.08,24,3.23,20,2.69,03011
3,12,690,661,95.8,18,2.61,11,1.59,03012
3,13,904,724,80.09,161,17.81,19,2.1,03013
3,14,947,744,78.56,177,18.69,26,2.75,03014
3,15,563,532,94.49,17,3.02,14,2.49,03015
3,16,370,330,89.19,34,9.19,6,1.62,03016
3,17,199,187,93.97,9,4.52,3,1.51,03017
3,18,233,222,95.28,9,3.86,2,0.86,03018
3,19,982,751,76.48,210,21.38,21,2.14,03019
3,20,627,602,96.01,18,2.87,7,1.12,03020
3,21,620,537,86.61,69,11.13,14,2.26,03021
3,22,509,457,89.78,42,8.25,10,1.96,03022
3,23,336,302,89.88,26,7.74,8,2.38,03023
3,24,131,128,97.71,3,2.29,0,0.0,03024
3,25,979,734,74.97,230,23.49,15,1.53,03025
3,26,325,305,93.85,12,3.69,8,2.46,03026
3,27,823,639,77.64,165,20.05,19,2.31,03027
4,1,886,823,92.89,51,5.76,12,1.35,04001
4,2,340,319,93.82,16,4.71,5,1.47,04002
4,3,598,558,93.31,28,4.68,12,2.01,04003
4,4,701,667,95.15,27,3.85,7,1.0,04004
4,5,334,322,96.41,9,2.69,3,0.9,04005
4,6,485,459,94.64,17,3.51,9,1.86,04006
4,7,359,332,92.48,21,5.85,6,1.67,04007
4,8,495,473,95.56,12,2.42,10,2.02,04008
4,9,531,506,95.29,18,3.39,7,1.32,04009
4,10,481,458,95.22,15,3.12,8,1.66,04010
4,11,667,635,95.2,23,3.45,9,1.35,04011
4,12,422,400,94.79,19,4.5,3,0.71,04012
4,13,432,402,93.06,23,5.32,7,1.62,04013
4,14,417,392,94.0,21,5.04,4,0.96,04014
4,15,380,363,95.53,12,3.16,5,1.32,04015
4,16,547,525,95.98,13,2.38,9,1.65,04016
4,17,742,712,95.96,22,2.96,8,1.08,04017
4,18,242,231,95.45,10,4.13,1,0.41,04018
4,19,486,448,92.18,23,4.73,15,3.09,04019
4,20,686,651,94.9,27,3.94,8,1.17,04020
4,21,437,410,93.82,21,4.81,6,1.37,04021
4,22,221,206,93.21,11,4.98,4,1.81,04022
4,23,396,369,93.18,23,5.81,4,1.01,04023
4,24,805,750,93.17,42,5.22,13,1.61,04024
4,25,969,818,84.42,132,13.62,19,1.96,04025
4,26,859,706,82.19,138,16.07,15,1.75,04026
4,27,896,779,86.94,93,10.38,24,2.68,04027
4,28,959,818,85.3,115,11.99,26,2.71,04028
5,1,677,646,95.42,19,2.81,12,1.77,05001
5,2,756,712,94.18,32,4.23,12,1.59,05002
5,3,700,668,95.43,26,3.71,6,0.86,05003
5,4,580,547,94.31,19,3.28,14,2.41,05004
5,5,338,327,96.75,8,2.37,3,0.89,05005
5,6,304,285,93.75,15,4.93,4,1.32,05006
5,7,167,155,92.81,7,4.19,5,2.99,05007
5,8,212,200,94.34,5,2.36,7,3.3,05008
5,9,197,184,93.4,7,3.55,6,3.05,05009
5,10,345,323,93.62,12,3.48,10,2.9,05010
5,11,450,432,96.0,10,2.22,8,1.78,05011
5,12,774,727,93.93,34,4.39,13,1.68,05012
5,13,330,313,94.85,9,2.73,8,2.42,05013
5,14,370,355,95.95,8,2.16,7,1.89,05014
5,15,1085,1018,93.82,48,4.42,19,1.75,05015
5,16,667,618,92.65,37,5.55,12,1.8,05016
5,17,492,459,93.29,25,5.08,8,1.63,05017
5,18,1010,936,92.67,54,5.35,20,1.98,05018
5,19,444,420,94.59,18,4.05,6,1.35,05019
5,20,723,686,94.88,29,4.01,8,1.11,05020
5,21,643,593,92.22,47,7.31,3,0.47,05021
5,22,735,681,92.65,36,4.9,18,2.45,05022
5,23,412,379,91.99,26,6.31,7,1.7,05023
5,24,463,405,87.47,49,10.58,9,1.94,05024
5,25,1051,948,90.2,81,7.71,22,2.09,05025
6,1,221,213,96.38,6,2.71,2,0.9,06001
6,2,276,261,94.57,11,3.99,4,1.45,06002
6,3,84,82,97.62,2,2.38,0,0.0,06003
6,4,199,191,95.98,3,1.51,5,2.51,06004
6,5,354,338,95.48,10,2.82,6,1.69,06005
6,6,333,315,94.59,12,3.6,6,1.8,06006
6,7,407,386,94.84,14,3.44,7,1.72,06007
6,8,321,309,96.26,7,2.18,5,1.56,06008
6,9,620,593,95.65,18,2.9,9,1.45,06009
6,10,379,364,96.04,9,2.37,6,1.58,06010
6,11,198,191,96.46,4,2.02,3,1.52,06011
6,12,419,399,95.23,13,3.1,7,1.67,06012
6,13,543,526,96.87,12,2.21,5,0.92,06013
6,14,533,510,95.68,18,3.38,5,0.94,06014
6,15,564,532,94.33,23,4.08,9,1.6,06015
6,16,334,320,95.81,9,2.69,5,1.5,06016
6,17,644,619,96.12,17,2.64,8,1.24,06017
6,18,701,673,96.01,24,3.42,4,0.57,06018
6,19,474,454,95.78,13,2.74,7,1.48,06019
6,20,792,754,95.2,27,3.41,11,1.39,06020
6,21,564,547,96.99,13,2.3,4,0.71,06021
6,22,805,780,96.89,17,2.11,8,0.99,06022
6,23,721,707,98.06,9,1.25,5,0.69,06023
6,24,661,632,95.61,22,3.33,7,1.06,06024
6,25,493,476,96.55,10,2.03,7,1.42,06025
6,26,835,790,94.61,31,3.71,14,1.68,06026
6,27,760,734,96.58,15,1.97,11,1.45,06027
7,1,586,561,95.73,19,3.24,6,1.02,07001
7,2,739,711,96.21,20,2.71,8,1.08,07002
7,3,419,395,94.27,12,2.86,12,2.86,07003
7,4,549,499,90.89,43,7.83,7,1.28,07004
7,5,642,605,94.24,28,4.36,9,1.4,07005
7,6,186,171,91.94,11,5.91,4,2.15,07006
7,7,423,400,94.56,14,3.31,9,2.13,07007
7,8,261,252,96.55,8,3.07,1,0.38,07008
7,9,427,403,94.38,17,3.98,7,1.64,07009
7,10,580,559,96.38,11,1.9,10,1.72,07010
7,11,524,500,95.42,14,2.67,10,1.91,07011
7,12,617,596,96.6,14,2.27,7,1.13,07012
7,13,441,403,91.38,25,5.67,13,2.95,07013
7,14,404,374,92.57,20,4.95,10,2.48,07014
7,15,560,528,94.29,22,3.93,10,1.79,07015
7,16,204,191,93.63,9,4.41,4,1.96,07016
7,17,153,145,94.77,6,3.92,2,1.31,07017
7,18,94,89,94.68,4,4.26,1,1.06,07018
7,19,732,701,95.77,24,3.28,7,0.96,07019
7,20,384,369,96.09,12,3.13,3,0.78,07020
7,21,298,289,96.98,6,2.01,3,1.01,07021
7,22,373,361,96.78,9,2.41,3,0.8,07022
7,23,251,240,95.62,8,3.19,3,1.2,07023
7,24,70,62,88.57,7,10.0,1,1.43,07024
7,25,402,390,97.01,8,1.99,4,1.0,07025
7,26,571,547,95.8,13,2.28,11,1.93,07026
7,27,337,327,97.03,6,1.78,4,1.19,07027
7,28,207,203,98.07,2,0.97,2,0.97,07028
7,29,308,300,97.4,4,1.3,4,1.3,07029
7,30,279,265,94.98,8,2.87,6,2.15,07030
7,31,129,121,93.8,7,5.43,1,0.78,07031
8,1,598,558,93.31,26,4.35,14,2.34,08001
8,2,301,293,97.34,8,2.66,0,0.0,08002
8,3,245,239,97.55,4,1.63,2,0.82,08003
8,4,570,554,97.19,12,2.11,4,0.7,08004
8,5,393,381,96.95,5,1.27,7,1.78,08005
8,6,682,656,96.19,20,2.93,6,0.88,08006
8,7,391,373,95.4,12,3.07,6,1.53,08007
8,8,808,780,96.53,20,2.48,8,0.99,08008
8,9,535,510,95.33,19,3.55,6,1.12,08009
8,10,588,560,95.24,13,2.21,15,2.55,08010
8,11,486,466,95.88,11,2.26,9,1.85,08011
8,12,554,540,97.47,12,2.17,2,0.36,08012
8,13,530,515,97.17,10,1.89,5,0.94,08013
8,14,607,589,97.03,14,2.31,4,0.66,08014
8,15,460,443,96.3,13,2.83,4,0.87,08015
8,16,414,395,95.41,9,2.17,10,2.42,08016
8,17,701,683,97.43,12,1.71,6,0.86,08017
8,18,949,926,97.58,15,1.58,8,0.84,08018
8,19,743,713,95.96,21,2.83,9,1.21,08019
8,20,344,336,97.67,5,1.45,3,0.87,08020
8,21,378,361,95.5,10,2.65,7,1.85,08021
8,22,276,263,95.29,9,3.26,4,1.45,08022
8,23,802,777,96.88,16,2.0,9,1.12,08023
8,24,511,496,97.06,10,1.96,5,0.98,08024
8,25,219,211,96.35,5,2.28,3,1.37,08025
8,26,421,404,95.96,10,2.38,7,1.66,08026
8,27,553,524,94.76,17,3.07,12,2.17,08027
8,28,362,346,95.58,8,2.21,8,2.21,08028
8,29,535,512,95.7,18,3.36,5,0.93,08029
8,30,473,459,97.04,7,1.48,7,1.48,08030
9,1,607,577,95.06,19,3.13,11,1.81,09001
9,2,430,418,97.21,10,2.33,2,0.47,09002
9,3,212,200,94.34,6,2.83,6,2.83,09003
9,4,437,426,97.48,8,1.83,3,0.69,09004
9,5,448,426,95.09,16,3.57,6,1.34,09005
9,6,720,691,95.97,16,2.22,13,1.81,09006
9,7,598,570,95.32,19,3.18,9,1.51,09007
9,8,572,549,95.98,16,2.8,7,1.22,09008
9,9,353,338,95.75,9,2.55,6,1.7,09009
9,10,691,677,97.97,12,1.74,2,0.29,09010
9,11,241,229,95.02,7,2.9,5,2.07,09011
9,12,629,612,97.3,12,1.91,5,0.79,09012
9,13,590,562,95.25,20,3.39,8,1.36,09013
9,14,335,323,96.42,8,2.39,4,1.19,09014
9,15,477,459,96.23,13,2.73,5,1.05,09015
9,16,632,607,96.04,18,2.85,7,1.11,09016
9,17,185,171,92.43,12,6.49,2,1.08,09017
9,18,323,306,94.74,13,4.02,4,1.24,09018
9,19,261,243,93.1,15,5.75,3,1.15,09019
9,20,498,420,84.34,62,12.45,16,3.21,09020
9,21,556,530,95.32,17,3.06,9,1.62,09021
9,22,396,373,94.19,15,3.79,8,2.02,09022
9,23,326,313,96.01,9,2.76,4,1.23,09023
9,24,480,457,95.21,17,3.54,6,1.25,09024
9,25,368,347,94.29,15,4.08,6,1.63,09025
9,26,529,512,96.79,11,2.08,6,1.13,09026
9,27,306,293,95.75,10,3.27,3,0.98,09027
9,28,248,236,95.16,5,2.02,7,2.82,09028
9,29,698,678,97.13,13,1.86,7,1.0,09029
9,30,586,559,95.39,20,3.41,7,1.19,09030
10,1,143,129,90.21,11,7.69,3,2.1,10001
10,2,187,163,87.17,17,9.09,7,3.74,10002
10,3,299,252,84.28,37,12.37,10,3.34,10003
10,4,365,335,91.78,20,5.48,10,2.74,10004
10,5,130,90,69.23,38,29.23,2,1.54,10005
10,6,167,145,86.83,20,11.98,2,1.2,10006
10,7,326,239,73.31,79,24.23,8,2.45,10007
10,8,297,215,72.39,78,26.26,4,1.35,10008
10,9,342,276,80.7,53,15.5,13,3.8,10009
10,10,360,270,75.0,80,22.22,10,2.78,10010
10,11,125,94,75.2,27,21.6,4,3.2,10011
10,12,334,260,77.84,64,19.16,10,2.99,10012
10,13,394,284,72.08,99,25.13,11,2.79,10013
10,14,517,352,68.09,146,28.24,19,3.68,10014
10,15,430,292,67.91,125,29.07,13,3.02,10015
10,16,539,369,68.46,157,29.13,13,2.41,10016
10,17,479,319,66.6,152,31.73,8,1.67,10017
10,18,579,357,61.66,205,35.41,17,2.94,10018
10,19,385,231,60.0,136,35.32,18,4.68,10019
10,20,221,152,68.78,61,27.6,8,3.62,10020
10,21,291,177,60.82,108,37.11,6,2.06,10021
10,22,537,304,56.61,218,40.6,15,2.79,10022
10,23,336,302,89.88,26,7.74,8,2.38,10023
10,24,179,170,94.97,6,3.35,3,1.68,10024
10,25,268,253,94.4,7,2.61,8,2.99,10025
11,1,198,155,78.28,37,18.69,6,3.03,11001
11,2,89,68,76.4,18,20.22,3,3.37,11002
11,3,576,362,62.85,195,33.85,19,3.3,11003
11,4,390,272,69.74,101,25.9,17,4.36,11004
11,5,422,265,62.8,141,33.41,16,3.79,11005
11,6,510,365,71.57,128,25.1,17,3.33,11006
11,7,276,187,67.75,83,30.07,6,2.17,11007
11,8,527,285,54.08,223,42.31,19,3.61,11008
11,9,542,305,56.27,220,40.59,17,3.14,11009
11,10,108,45,41.67,59,54.63,4,3.7,11010
11,11,80,43,53.75,33,41.25,4,5.0,11011
11,12,207,100,48.31,102,49.28,5,2.42,11012
11,13,492,286,58.13,191,38.82,15,3.05,11013
11,14,878,571,65.03,285,32.46,22,2.51,11014
11,15,611,489,80.03,98,16.04,24,3.93,11015
11,16,741,556,75.03,168,22.67,17,2.29,11016
11,17,347,214,61.67,124,35.73,9,2.59,11017
11,18,478,345,72.18,115,24.06,18,3.77,11018
11,19,162,102,62.96,47,29.01,13,8.02,11019
11,20,483,335,69.36,136,28.16,12,2.48,11020
11,21,791,442,55.88,336,42.48,13,1.64,11021
11,22,552,277,50.18,263,47.64,12,2.17,11022
11,23,579,342,59.07,225,38.86,12,2.07,11023
12,1,291,214,73.54,61,20.96,16,5.5,12001
12,2,205,156,76.1,39,19.02,10,4.88,12002
12,3,401,310,77.31,79,19.7,12,2.99,12003
12,4,325,255,78.46,59,18.15,11,3.38,12004
12,5,329,229,69.6,87,26.44,13,3.95,12005
12,6,288,214,74.31,61,21.18,13,4.51,12006
12,7,293,211,72.01,73,24.91,9,3.07,12007
12,8,277,207,74.73,61,22.02,9,3.25,12008
12,9,156,113,72.44,38,24.36,5,3.21,12009
12,10,310,221,71.29,76,24.52,13,4.19,12010
12,11,244,184,75.41,46,18.85,14,5.74,12011
12,12,211,150,71.09,51,24.17,10,4.74,12012
12,13,231,169,73.16,46,19.91,16,6.93,12013
12,14,267,201,75.28,53,19.85,13,4.87,12014
12,15,274,198,72.26,61,22.26,15,5.47,12015
12,16,313,226,72.2,77,24.6,10,3.19,12016
12,17,265,202,76.23,58,21.89,5,1.89,12017
12,18,311,240,77.17,59,18.97,12,3.86,12018
12,19,172,133,77.33,30,17.44,9,5.23,12019
12,20,237,191,80.59,37,15.61,9,3.8,12020
12,21,247,191,77.33,49,19.84,7,2.83,12021
12,22,223,165,73.99,49,21.97,9,4.04,12022
13,1,260,176,67.69,75,28.85,9,3.46,13001
13,2,307,204,66.45,93,30.29,10,3.26,13002
13,3,478,188,39.33,273,57.11,17,3.56,13003
13,4,348,258,74.14,80,22.99,10,2.87,13004
13,5,318,168,52.83,136,42.77,14,4.4,13005
13,6,344,172,50.0,166,48.26,6,1.74,13006
13,7,309,158,51.13,141,45.63,10,3.24,13007
13,8,405,264,65.19,127,31.36,14,3.46,13008
13,9,496,234,47.18,251,50.6,11,2.22,13009
13,10,481,203,42.2,262,54.47,16,3.33,13010
13,11,261,144,55.17,108,41.38,9,3.45,13011
13,12,239,178,74.48,54,22.59,7,2.93,13012
13,13,332,152,45.78,172,51.81,8,2.41,13013
13,14,310,177,57.1,126,40.65,7,2.26,13014
13,15,313,151,48.24,155,49.52,7,2.24,13015
13,16,364,247,67.86,104,28.57,13,3.57,13016
13,17,396,291,73.48,92,23.23,13,3.28,13017
13,18,269,174,64.68,88,32.71,7,2.6,13018
13,19,262,128,48.85,125,47.71,9,3.44,13019
13,20,401,197,49.13,188,46.88,16,3.99,13020
13,21,335,159,47.46,166,49.55,10,2.99,13021
13,22,391,272,69.57,109,27.88,10,2.56,13022
13,23,436,164,37.61,251,57.57,21,4.82,13023
13,24,314,186,59.24,123,39.17,5,1.59,13024
13,25,307,225,73.29,71,23.13,11,3.58,13025
13,26,252,170,67.46,77,30.56,5,1.98,13026
13,27,200,138,69.0,56,28.0,6,3.0,13027
13,28,268,201,75.0,61,22.76,6,2.24,13028
13,29,244,180,73.77,59,24.18,5,2.05,13029
13,30,393,175,44.53,210,53.44,8,2.04,13030
13,31,274,105,38.32,156,56.93,13,4.74,13031
13,32,269,155,57.62,107,39.78,7,2.6,13032
13,33,324,189,58.33,125,38.58,10,3.09,13033
13,34,430,196,45.58,222,51.63,12,2.79,13034
13,35,501,283,56.49,209,41.72,9,1.8,13035
13,36,184,144,78.26,36,19.57,4,2.17,13036
13,37,438,175,39.95,257,58.68,6,1.37,13037
13,38,216,138,63.89,73,33.8,5,2.31,13038
13,39,413,183,44.31,216,52.3,14,3.39,13039
13,40,351,170,48.43,176,50.14,5,1.42,13040
14,1,462,372,80.52,78,16.88,12,2.6,14001
14,2,296,207,69.93,79,26.69,10,3.38,14002
14,3,195,149,76.41,40,20.51,6,3.08,14003
14,4,92,82,89.13,9,9.78,1,1.09,14004
14,5,338,276,81.66,50,14.79,12,3.55,14005
14,6,432,355,82.18,62,14.35,15,3.47,14006
14,7,455,296,65.05,139,30.55,20,4.4,14007
14,8,412,295,71.6,106,25.73,11,2.67,14008
14,9,422,330,78.2,76,18.01,16,3.79,14009
14,10,396,309,78.03,69,17.42,18,4.55,14010
14,11,436,341,78.21,83,19.04,12,2.75,14011
14,12,283,218,77.03,48,16.96,17,6.01,14012
14,13,502,366,72.91,128,25.5,8,1.59,14013
14,14,233,182,78.11,43,18.45,8,3.43,14014
14,15,244,187,76.64,43,17.62,14,5.74,14015
15,1,317,141,44.48,167,52.68,9,2.84,15001
15,2,441,183,41.5,245,55.56,13,2.95,15002
15,3,157,79,50.32,70,44.59,8,5.1,15003
15,4,204,164,80.39,36,17.65,4,1.96,15004
15,5,229,174,75.98,46,20.09,9,3.93,15005
15,6,280,218,77.86,50,17.86,12,4.29,15006
15,7,198,151,76.26,36,18.18,11,5.56,15007
15,8,237,193,81.43,35,14.77,9,3.8,15008
15,9,273,207,75.82,55,20.15,11,4.03,15009
15,10,218,191,87.61,21,9.63,6,2.75,15010
15,11,208,165,79.33,33,15.87,10,4.81,15011
15,12,280,230,82.14,42,15.0,8,2.86,15012
15,13,209,167,79.9,34,16.27,8,3.83,15013
15,14,212,182,85.85,26,12.26,4,1.89,15014
15,15,216,187,86.57,25,11.57,4,1.85,15015
15,16,340,305,89.71,29,8.53,6,1.76,15016
15,17,417,385,92.33,21,5.04,11,2.64,15017
15,18,303,285,94.06,10,3.3,8,2.64,15018
15,19,180,161,89.44,14,7.78,5,2.78,15019
15,20,237,180,75.95,50,21.1,7,2.95,15020
16,1,359,331,92.2,22,6.13,6,1.67,16001
16,2,228,210,92.11,14,6.14,4,1.75,16002
16,3,289,275,95.16,7,2.42,7,2.42,16003
16,4,191,182,95.29,6,3.14,3,1.57,16004
16,5,395,381,96.46,10,2.53,4,1.01,16005
16,6,386,366,94.82,13,3.37,7,1.81,16006
16,7,211,196,92.89,12,5.69,3,1.42,16007
16,8,163,145,88.96,14,8.59,4,2.45,16008
16,9,364,345,94.78,13,3.57,6,1.65,16009
16,10,307,289,94.14,13,4.23,5,1.63,16010
16,11,254,235,92.52,13,5.12,6,2.36,16011
16,12,108,97,89.81,11,10.19,0,0.0,16012
16,13,158,148,93.67,7,4.43,3,1.9,16013
16,14,409,376,91.93,19,4.65,14,3.42,16014
16,15,334,311,93.11,15,4.49,8,2.4,16015
16,16,252,235,93.25,11,4.37,6,2.38,16016
16,17,446,405,90.81,30,6.73,11,2.47,16017
16,18,416,382,91.83,26,6.25,8,1.92,16018
16,19,319,287,89.97,22,6.9,10,3.13,16019
16,20,316,300,94.94,10,3.16,6,1.9,16020
16,21,233,212,90.99,16,6.87,5,2.15,16021
16,22,332,294,88.55,30,9.04,8,2.41,16022
16,23,220,191,86.82,23,10.45,6,2.73,16023
16,24,277,255,92.06,14,5.05,8,2.89,16024
16,25,135,122,90.37,8,5.93,5,3.7,16025
17,1,421,354,84.09,58,13.78,9,2.14,17001
17,2,263,234,88.97,22,8.37,7,2.66,17002
17,3,321,307,95.64,14,4.36,0,0.0,17003
17,4,326,312,95.71,10,3.07,4,1.23,17004
17,5,203,194,95.57,4,1.97,5,2.46,17005
17,6,312,298,95.51,11,3.53,3,0.96,17006
17,7,175,168,96.0,5,2.86,2,1.14,17007
17,8,240,232,96.67,6,2.5,2,0.83,17008
17,9,239,230,96.23,6,2.51,3,1.26,17009
17,10,494,479,96.96,11,2.23,4,0.81,17010
17,11,293,280,95.56,9,3.07,4,1.37,17011
17,12,180,172,95.56,8,4.44,0,0.0,17012
17,13,199,194,97.49,3,1.51,2,1.01,17013
17,14,209,196,93.78,9,4.31,4,1.91,17014
17,15,597,574,96.15,16,2.68,7,1.17,17015
17,16,273,263,96.34,8,2.93,2,0.73,17016
17,17,230,218,94.78,9,3.91,3,1.3,17017
17,18,672,645,95.98,14,2.08,13,1.93,17018
17,19,453,440,97.13,10,2.21,3,0.66,17019
17,20,443,433,97.74,8,1.81,2,0.45,17020
17,21,531,515,96.99,12,2.26,4,0.75,17021
17,22,531,508,95.67,15,2.82,8,1.51,17022
17,23,341,324,95.01,14,4.11,3,0.88,17023
17,24,557,537,96.41,13,2.33,7,1.26,17024
17,25,246,236,95.93,5,2.03,5,2.03,17025
17,26,455,437,96.04,11,2.42,7,1.54,17026
17,27,537,510,94.97,14,2.61,13,2.42,17027
17,28,638,606,94.98,20,3.13,12,1.88,17028
17,29,579,550,94.99,17,2.94,12,2.07,17029
18,1,671,637,94.93,26,3.87,8,1.19,18001
18,2,736,700,95.11,23,3.13,13,1.77,18002
18,3,307,293,95.44,11,3.58,3,0.98,18003
18,4,543,508,93.55,23,4.24,12,2.21,18004
18,5,450,429,95.33,11,2.44,10,2.22,18005
18,6,775,747,96.39,21,2.71,7,0.9,18006
18,7,620,571,92.1,41,6.61,8,1.29,18007
18,8,901,861,95.56,31,3.44,9,1.0,18008
18,9,690,648,93.91,34,4.93,8,1.16,18009
18,10,793,743,93.69,42,5.3,8,1.01,18010
18,11,480,459,95.63,15,3.13,6,1.25,18011
18,12,716,671,93.72,29,4.05,16,2.23,18012
18,13,578,505,87.37,65,11.25,8,1.38,18013
18,14,456,426,93.42,19,4.17,11,2.41,18014
18,15,331,307,92.75,17,5.14,7,2.11,18015
18,16,515,479,93.01,20,3.88,16,3.11,18016
18,17,381,343,90.03,30,7.87,8,2.1,18017
18,18,491,386,78.62,91,18.53,14,2.85,18018
18,19,433,380,87.76,46,10.62,7,1.62,18019
18,20,398,331,83.17,60,15.08,7,1.76,18020
18,21,539,484,89.8,40,7.42,15,2.78,18021
18,22,558,376,67.38,174,31.18,8,1.43,18022
18,23,612,367,59.97,229,37.42,16,2.61,18023
18,24,655,505,77.1,135,20.61,15,2.29,18024
18,25,360,245,68.06,106,29.44,9,2.5,18025
18,26,614,434,70.68,159,25.9,21,3.42,18026
19,1,858,434,50.58,397,46.27,27,3.15,19001
19,2,797,664,83.31,128,16.06,5,0.63,19002
19,3,636,157,24.69,462,72.64,17,2.67,19003
19,4,606,192,31.68,395,65.18,19,3.14,19004
19,5,657,491,74.73,150,22.83,16,2.44,19005
19,6,647,245,37.87,394,60.9,8,1.24,19006
19,7,858,418,48.72,415,48.37,25,2.91,19007
19,8,593,569,95.95,16,2.7,8,1.35,19008
19,9,552,523,94.75,24,4.35,5,0.91,19009
19,10,635,479,75.43,145,22.83,11,1.73,19010
19,11,544,230,42.28,306,56.25,8,1.47,19011
19,12,849,294,34.63,543,63.96,12,1.41,19012
19,13,521,489,93.86,26,4.99,6,1.15,19013
19,14,743,611,82.23,118,15.88,14,1.88,19014
19,15,503,153,30.42,338,67.2,12,2.39,19015
19,16,598,205,34.28,380,63.55,13,2.17,19016
19,17,567,256,45.15,303,53.44,8,1.41,19017
19,18,550,159,28.91,382,69.45,9,1.64,19018
19,19,675,504,74.67,156,23.11,15,2.22,19019
19,20,504,462,91.67,39,7.74,3,0.6,19020
19,21,853,267,31.3,561,65.77,25,2.93,19021
19,22,648,423,65.28,212,32.72,13,2.01,19022
19,23,615,294,47.8,308,50.08,13,2.11,19023
19,24,590,183,31.02,393,66.61,14,2.37,19024
19,25,558,439,78.67,107,19.18,12,2.15,19025
19,26,556,363,65.29,184,33.09,9,1.62,19026
19,27,811,708,87.3,84,10.36,19,2.34,19027
19,28,1004,904,90.04,84,8.37,16,1.59,19028
19,29,724,271,37.43,433,59.81,20,2.76,19029
19,30,616,192,31.17,414,67.21,10,1.62,19030
19,31,927,643,69.36,253,27.29,31,3.34,19031
19,32,542,470,86.72,62,11.44,10,1.85,19032
19,33,454,110,24.23,333,73.35,11,2.42,19033
19,34,976,472,48.36,484,49.59,20,2.05,19034
19,35,657,451,68.65,192,29.22,14,2.13,19035
19,36,549,360,65.57,179,32.6,10,1.82,19036
20,1,250,207,82.8,35,14.0,8,3.2,20001
