ward,precinct,total,Robin Kelly,Robin Kelly Percent,Paul McKinley,Paul McKinley Percent,LeAlan M. Jones,LeAlan M. Jones Percent,Curtiss Llong Bey,Curtiss Llong Bey Percent,Marcus Lewis,Marcus Lewis Percent,Elizabeth ''Liz'' Pahlke,Elizabeth ''Liz'' Pahlke Percent,precinct_id
5,41,132,123,93.18,4,3.03,2,1.52,0,0.0,2,1.52,1,0.76,05041
7,1,37,36,97.3,0,0.0,1,2.7,0,0.0,0,0.0,0,0.0,07001
7,2,62,61,98.39,1,1.61,0,0.0,0,0.0,0,0.0,0,0.0,07002
7,3,102,98,96.08,3,2.94,0,0.0,0,0.0,1,0.98,0,0.0,07003
7,4,104,99,95.19,5,4.81,0,0.0,0,0.0,0,0.0,0,0.0,07004
7,5,128,116,90.63,6,4.69,3,2.34,1,0.78,0,0.0,2,1.56,07005
7,6,140,128,91.43,5,3.57,3,2.14,3,2.14,0,0.0,1,0.71,07006
7,7,75,70,93.33,1,1.33,0,0.0,0,0.0,3,4.0,1,1.33,07007
7,8,148,125,84.46,13,8.78,3,2.03,0,0.0,2,1.35,5,3.38,07008
7,9,212,203,95.75,3,1.42,1,0.47,1,0.47,3,1.42,1,0.47,07009
7,10,111,106,95.5,2,1.8,1,0.9,0,0.0,1,0.9,1,0.9,07010
7,11,75,72,96.0,2,2.67,0,0.0,0,0.0,0,0.0,1,1.33,07011
7,12,100,92,92.0,1,1.0,3,3.0,1,1.0,3,3.0,0,0.0,07012
7,13,108,96,88.89,3,2.78,2,1.85,1,0.93,2,1.85,4,3.7,07013
7,14,86,81,94.19,1,1.16,1,1.16,0,0.0,3,3.49,0,0.0,07014
7,15,113,112,99.12,0,0.0,0,0.0,1,0.88,0,0.0,0,0.0,07015
7,16,68,66,97.06,0,0.0,1,1.47,0,0.0,1,1.47,0,0.0,07016
7,17,88,84,95.45,2,2.27,1,1.14,1,1.14,0,0.0,0,0.0,07017
7,18,115,105,91.3,6,5.22,1,0.87,0,0.0,2,1.74,1,0.87,07018
7,19,99,95,95.96,2,2.02,1,1.01,0,0.0,1,1.01,0,0.0,07019
7,20,69,65,94.2,1,1.45,0,0.0,1,1.45,2,2.9,0,0.0,07020
7,21,74,68,91.89,3,4.05,1,1.35,0,0.0,1,1.35,1,1.35,07021
7,22,53,50,94.34,0,0.0,2,3.77,0,0.0,0,0.0,1,1.89,07022
7,23,133,131,98.5,0,0.0,1,0.75,0,0.0,1,0.75,0,0.0,07023
7,24,92,90,97.83,1,1.09,1,1.09,0,0.0,0,0.0,0,0.0,07024
7,25,63,58,92.06,2,3.17,1,1.59,1,1.59,1,1.59,0,0.0,07025
7,26,96,94,97.92,2,2.08,0,0.0,0,0.0,0,0.0,0,0.0,07026
7,27,87,77,88.51,0,0.0,2,2.3,3,3.45,3,3.45,2,2.3,07027
7,28,71,63,88.73,5,7.04,2,2.82,1,1.41,0,0.0,0,0.0,07028
7,29,80,78,97.5,0,0.0,1,1.25,0,0.0,1,1.25,0,0.0,07029
7,30,65,58,89.23,2,3.08,1,1.54,2,3.08,0,0.0,2,3.08,07030
7,31,118,116,98.31,1,0.85,1,0.85,0,0.0,0,0.0,0,0.0,07031
7,32,189,179,94.71,6,3.17,1,0.53,1,0.53,2,1.06,0,0.0,07032
7,33,191,182,95.29,1,0.52,3,1.57,0,0.0,5,2.62,0,0.0,07033
7,34,146,138,94.52,5,3.42,1,0.68,2,1.37,0,0.0,0,0.0,07034
7,35,72,68,94.44,3,4.17,0,0.0,1,1.39,0,0.0,0,0.0,07035
7,36,119,114,95.8,4,3.36,0,0.0,0,0.0,1,0.84,0,0.0,07036
7,37,112,109,97.32,1,0.89,1,0.89,0,0.0,1,0.89,0,0.0,07037
7,38,85,80,94.12,2,2.35,2,2.35,0,0.0,1,1.18,0,0.0,07038
7,39,98,90,91.84,2,2.04,1,1.02,1,1.02,4,4.08,0,0.0,07039
7,40,117,110,94.02,6,5.13,0,0.0,0,0.0,1,0.85,0,0.0,07040
7,41,76,71,93.42,2,2.63,0,0.0,1,1.32,1,1.32,1,1.32,07041
7,42,81,78,96.3,1,1.23,0,0.0,2,2.47,0,0.0,0,0.0,07042
7,43,108,105,97.22,3,2.78,0,0.0,0,0.0,0,0.0,0,0.0,07043
7,44,75,73,97.33,2,2.67,0,0.0,0,0.0,0,0.0,0,0.0,07044
7,45,58,51,87.93,2,3.45,1,1.72,0,0.0,4,6.9,0,0.0,07045
8,4,87,86,98.85,0,0.0,0,0.0,0,0.0,0,0.0,1,1.15,08004
8,5,8,8,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,08005
8,7,151,147,97.35,0,0.0,2,1.32,1,0.66,1,0.66,0,0.0,08007
8,9,75,71,94.67,2,2.67,0,0.0,0,0.0,2,2.67,0,0.0,08009
8,17,103,102,99.03,0,0.0,1,0.97,0,0.0,0,0.0,0,0.0,08017
8,27,91,87,95.6,4,4.4,0,0.0,0,0.0,0,0.0,0,0.0,08027
8,28,125,117,93.6,2,1.6,3,2.4,2,1.6,1,0.8,0,0.0,08028
8,32,95,95,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,08032
8,36,117,114,97.44,0,0.0,1,0.85,0,0.0,2,1.71,0,0.0,08036
8,39,97,92,94.85,2,2.06,1,1.03,1,1.03,0,0.0,1,1.03,08039
8,42,105,99,94.29,1,0.95,2,1.9,2,1.9,0,0.0,1,0.95,08042
8,46,58,53,91.38,2,3.45,2,3.45,0,0.0,1,1.72,0,0.0,08046
8,49,12,10,83.33,0,0.0,0,0.0,0,0.0,2,16.67,0,0.0,08049
8,50,55,55,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,08050
8,53,84,81,96.43,1,1.19,1,1.19,1,1.19,0,0.0,0,0.0,08053
9,1,94,91,96.81,1,1.06,1,1.06,1,1.06,0,0.0,0,0.0,09001
9,2,72,69,95.83,1,1.39,0,0.0,2,2.78,0,0.0,0,0.0,09002
9,3,36,35,97.22,1,2.78,0,0.0,0,0.0,0,0.0,0,0.0,09003
9,4,65,63,96.92,1,1.54,0,0.0,0,0.0,1,1.54,0,0.0,09004
9,5,88,85,96.59,2,2.27,0,0.0,1,1.14,0,0.0,0,0.0,09005
9,6,69,69,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,09006
9,7,57,54,94.74,1,1.75,0,0.0,0,0.0,0,0.0,2,3.51,09007
9,8,47,41,87.23,3,6.38,2,4.26,0,0.0,1,2.13,0,0.0,09008
9,9,125,122,97.6,2,1.6,0,0.0,1,0.8,0,0.0,0,0.0,09009
9,10,77,74,96.1,2,2.6,0,0.0,0,0.0,1,1.3,0,0.0,09010
9,11,61,56,91.8,2,3.28,1,1.64,1,1.64,1,1.64,0,0.0,09011
9,13,124,122,98.39,0,0.0,1,0.81,0,0.0,0,0.0,1,0.81,09013
9,14,129,127,98.45,2,1.55,0,0.0,0,0.0,0,0.0,0,0.0,09014
9,15,29,29,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,09015
9,16,83,83,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,09016
9,17,65,61,93.85,3,4.62,0,0.0,0,0.0,1,1.54,0,0.0,09017
9,18,72,72,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,09018
9,19,80,74,92.5,3,3.75,0,0.0,2,2.5,1,1.25,0,0.0,09019
9,20,109,107,98.17,1,0.92,0,0.0,0,0.0,1,0.92,0,0.0,09020
9,21,76,74,97.37,0,0.0,0,0.0,1,1.32,1,1.32,0,0.0,09021
9,22,100,99,99.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,09022
9,26,50,50,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,09026
9,27,80,76,95.0,2,2.5,0,0.0,1,1.25,0,0.0,1,1.25,09027
9,28,26,25,96.15,1,3.85,0,0.0,0,0.0,0,0.0,0,0.0,09028
9,29,99,96,96.97,1,1.01,1,1.01,0,0.0,0,0.0,1,1.01,09029
9,30,58,55,94.83,3,5.17,0,0.0,0,0.0,0,0.0,0,0.0,09030
9,31,75,70,93.33,3,4.0,2,2.67,0,0.0,0,0.0,0,0.0,09031
9,32,93,87,93.55,2,2.15,1,1.08,0,0.0,3,3.23,0,0.0,09032
9,33,69,65,94.2,1,1.45,0,0.0,0,0.0,1,1.45,2,2.9,09033
9,34,56,53,94.64,1,1.79,0,0.0,0,0.0,2,3.57,0,0.0,09034
9,35,107,102,95.33,0,0.0,1,0.93,2,1.87,1,0.93,1,0.93,09035
9,37,118,95,80.51,10,8.47,5,4.24,0,0.0,4,3.39,4,3.39,09037
9,38,73,67,91.78,5,6.85,0,0.0,0,0.0,0,0.0,1,1.37,09038
9,39,99,96,96.97,0,0.0,1,1.01,0,0.0,2,2.02,0,0.0,09039
9,40,119,118,99.16,0,0.0,1,0.84,0,0.0,0,0.0,0,0.0,09040
9,41,79,76,96.2,2,2.53,1,1.27,0,0.0,0,0.0,0,0.0,09041
9,43,59,57,96.61,2,3.39,0,0.0,0,0.0,0,0.0,0,0.0,09043
9,44,106,101,95.28,0,0.0,0,0.0,3,2.83,2,1.89,0,0.0,09044
9,45,70,69,98.57,1,1.43,0,0.0,0,0.0,0,0.0,0,0.0,09045
9,46,83,77,92.77,5,6.02,1,1.2,0,0.0,0,0.0,0,0.0,09046
10,1,74,65,87.84,1,1.35,3,4.05,1,1.35,2,2.7,2,2.7,10001
10,2,60,39,65.0,19,31.67,0,0.0,0,0.0,0,0.0,2,3.33,10002
10,3,49,35,71.43,14,28.57,0,0.0,0,0.0,0,0.0,0,0.0,10003
10,4,35,30,85.71,2,5.71,1,2.86,0,0.0,0,0.0,2,5.71,10004
10,5,48,30,62.5,11,22.92,0,0.0,0,0.0,1,2.08,6,12.5,10005
10,6,52,31,59.62,13,25.0,3,5.77,0,0.0,0,0.0,5,9.62,10006
10,7,33,27,81.82,4,12.12,0,0.0,0,0.0,2,6.06,0,0.0,10007
10,8,14,14,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10008
10,9,47,26,55.32,17,36.17,0,0.0,0,0.0,2,4.26,2,4.26,10009
10,10,46,32,69.57,10,21.74,1,2.17,0,0.0,0,0.0,3,6.52,10010
10,11,35,23,65.71,9,25.71,0,0.0,0,0.0,0,0.0,3,8.57,10011
10,12,24,11,45.83,10,41.67,1,4.17,1,4.17,1,4.17,0,0.0,10012
10,13,48,40,83.33,2,4.17,4,8.33,0,0.0,1,2.08,1,2.08,10013
10,14,56,41,73.21,12,21.43,1,1.79,0,0.0,0,0.0,2,3.57,10014
10,15,166,156,93.98,7,4.22,2,1.2,1,0.6,0,0.0,0,0.0,10015
10,16,43,25,58.14,16,37.21,0,0.0,0,0.0,0,0.0,2,4.65,10016
10,17,66,42,63.64,19,28.79,3,4.55,0,0.0,1,1.52,1,1.52,10017
10,18,18,18,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10018
10,19,46,28,60.87,13,28.26,3,6.52,0,0.0,0,0.0,2,4.35,10019
10,20,59,31,52.54,17,28.81,1,1.69,0,0.0,4,6.78,6,10.17,10020
10,21,38,25,65.79,10,26.32,0,0.0,0,0.0,0,0.0,3,7.89,10021
10,22,25,16,64.0,4,16.0,1,4.0,0,0.0,0,0.0,4,16.0,10022
10,23,36,26,72.22,7,19.44,1,2.78,0,0.0,0,0.0,2,5.56,10023
10,24,47,25,53.19,19,40.43,0,0.0,0,0.0,2,4.26,1,2.13,10024
10,25,21,16,76.19,4,19.05,1,4.76,0,0.0,0,0.0,0,0.0,10025
10,26,29,23,79.31,3,10.34,1,3.45,0,0.0,1,3.45,1,3.45,10026
10,27,27,25,92.59,2,7.41,0,0.0,0,0.0,0,0.0,0,0.0,10027
10,28,40,27,67.5,8,20.0,4,10.0,0,0.0,0,0.0,1,2.5,10028
10,29,21,16,76.19,4,19.05,0,0.0,0,0.0,0,0.0,1,4.76,10029
10,30,32,25,78.13,5,15.63,2,6.25,0,0.0,0,0.0,0,0.0,10030
10,31,25,23,92.0,2,8.0,0,0.0,0,0.0,0,0.0,0,0.0,10031
10,32,42,28,66.67,12,28.57,0,0.0,0,0.0,1,2.38,1,2.38,10032
10,33,26,18,69.23,7,26.92,0,0.0,0,0.0,1,3.85,0,0.0,10033
10,34,33,30,90.91,1,3.03,2,6.06,0,0.0,0,0.0,0,0.0,10034
10,35,58,38,65.52,17,29.31,0,0.0,0,0.0,0,0.0,3,5.17,10035
10,36,25,24,96.0,1,4.0,0,0.0,0,0.0,0,0.0,0,0.0,10036
34,2,30,29,96.67,0,0.0,0,0.0,0,0.0,1,3.33,0,0.0,34002
34,4,51,46,90.2,4,7.84,1,1.96,0,0.0,0,0.0,0,0.0,34004
34,18,59,57,96.61,2,3.39,0,0.0,0,0.0,0,0.0,0,0.0,34018
34,22,70,68,97.14,2,2.86,0,0.0,0,0.0,0,0.0,0,0.0,34022
34,23,71,68,95.77,2,2.82,1,1.41,0,0.0,0,0.0,0,0.0,34023
34,24,63,60,95.24,3,4.76,0,0.0,0,0.0,0,0.0,0,0.0,34024
34,27,91,86,94.51,2,2.2,1,1.1,1,1.1,0,0.0,1,1.1,34027
34,28,56,52,92.86,1,1.79,1,1.79,0,0.0,2,3.57,0,0.0,34028
34,30,94,86,91.49,2,2.13,3,3.19,0,0.0,2,2.13,1,1.06,34030
34,36,111,110,99.1,0,0.0,0,0.0,1,0.9,0,0.0,0,0.0,34036
34,37,42,42,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,34037
34,38,55,51,92.73,1,1.82,0,0.0,1,1.82,0,0.0,2,3.64,34038
34,39,61,57,93.44,3,4.92,0,0.0,0,0.0,1,1.64,0,0.0,34039
34,41,47,47,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,34041
34,53,49,46,93.88,2,4.08,1,2.04,0,0.0,0,0.0,0,0.0,34053
