ward,precinct,total,BRANDON JOHNSON,BRANDON JOHNSON Percent,PAUL VALLAS,PAUL VALLAS Percent,precinct_id
13,31,280,32,11.43,248,88.57,13031
13,32,280,40,14.29,240,85.71,13032
13,33,326,68,20.86,258,79.14,13033
13,34,419,49,11.69,370,88.31,13034
13,35,506,72,14.23,434,85.77,13035
13,36,194,51,26.29,143,73.71,13036
13,37,451,35,7.76,416,92.24,13037
13,38,217,54,24.88,163,75.12,13038
13,39,433,51,11.78,382,88.22,13039
13,40,362,56,15.47,306,84.53,13040
14,1,382,182,47.64,200,52.36,14001
14,2,301,119,39.53,182,60.47,14002
14,3,183,88,48.09,95,51.91,14003
14,4,80,43,53.75,37,46.25,14004
14,5,266,125,46.99,141,53.01,14005
14,6,367,142,38.69,225,61.31,14006
14,7,388,115,29.64,273,70.36,14007
14,8,359,137,38.16,222,61.84,14008
14,9,362,153,42.27,209,57.73,14009
14,10,340,133,39.12,207,60.88,14010
14,11,399,172,43.11,227,56.89,14011
14,12,245,98,40.0,147,60.0,14012
14,13,430,158,36.74,272,63.26,14013
14,14,211,102,48.34,109,51.66,14014
14,15,190,98,51.58,92,48.42,14015
15,1,380,40,10.53,340,89.47,15001
15,2,463,53,11.45,410,88.55,15002
15,3,163,28,17.18,135,82.82,15003
15,4,201,69,34.33,132,65.67,15004
15,5,186,95,51.08,91,48.92,15005
15,6,255,138,54.12,117,45.88,15006
15,7,157,88,56.05,69,43.95,15007
15,8,198,103,52.02,95,47.98,15008
15,9,251,115,45.82,136,54.18,15009
15,10,213,138,64.79,75,35.21,15010
15,11,167,66,39.52,101,60.48,15011
15,12,239,108,45.19,131,54.81,15012
15,13,173,105,60.69,68,39.31,15013
15,14,162,101,62.35,61,37.65,15014
15,15,177,86,48.59,91,51.41,15015
15,16,286,171,59.79,115,40.21,15016
15,17,342,293,85.67,49,14.33,15017
15,18,252,205,81.35,47,18.65,15018
15,19,141,114,80.85,27,19.15,15019
15,20,225,107,47.56,118,52.44,15020
16,1,292,245,83.9,47,16.1,16001
16,2,192,139,72.4,53,27.6,16002
16,3,216,187,86.57,29,13.43,16003
16,4,157,126,80.25,31,19.75,16004
16,5,344,286,83.14,58,16.86,16005
16,6,312,278,89.1,34,10.9,16006
16,7,170,126,74.12,44,25.88,16007
16,8,122,93,76.23,29,23.77,16008
16,9,325,265,81.54,60,18.46,16009
16,10,218,172,78.9,46,21.1,16010
16,11,209,177,84.69,32,15.31,16011
16,12,86,55,63.95,31,36.05,16012
16,13,114,95,83.33,19,16.67,16013
16,14,291,232,79.73,59,20.27,16014
16,15,283,231,81.63,52,18.37,16015
16,16,181,140,77.35,41,22.65,16016
16,17,366,274,74.86,92,25.14,16017
16,18,324,266,82.1,58,17.9,16018
16,19,237,175,73.84,62,26.16,16019
16,20,291,246,84.54,45,15.46,16020
16,21,181,155,85.64,26,14.36,16021
16,22,262,223,85.11,39,14.89,16022
16,23,151,110,72.85,41,27.15,16023
16,24,192,161,83.85,31,16.15,16024
16,25,111,92,82.88,19,17.12,16025
17,1,354,216,61.02,138,38.98,17001
17,2,209,159,76.08,50,23.92,17002
17,3,285,233,81.75,52,18.25,17003
17,4,250,213,85.2,37,14.8,17004
17,5,157,134,85.35,23,14.65,17005
17,6,254,222,87.4,32,12.6,17006
17,7,109,93,85.32,16,14.68,17007
17,8,152,130,85.53,22,14.47,17008
17,9,189,159,84.13,30,15.87,17009
17,10,378,298,78.84,80,21.16,17010
17,11,221,173,78.28,48,21.72,17011
17,12,139,119,85.61,20,14.39,17012
17,13,148,119,80.41,29,19.59,17013
17,14,180,150,83.33,30,16.67,17014
17,15,472,381,80.72,91,19.28,17015
17,16,229,183,79.91,46,20.09,17016
17,17,198,158,79.8,40,20.2,17017
17,18,542,435,80.26,107,19.74,17018
17,19,330,274,83.03,56,16.97,17019
17,20,380,310,81.58,70,18.42,17020
17,21,441,344,78.0,97,22.0,17021
17,22,407,331,81.33,76,18.67,17022
17,23,278,214,76.98,64,23.02,17023
17,24,450,364,80.89,86,19.11,17024
17,25,206,157,76.21,49,23.79,17025
17,26,394,333,84.52,61,15.48,17026
17,27,437,362,82.84,75,17.16,17027
17,28,496,409,82.46,87,17.54,17028
17,29,436,367,84.17,69,15.83,17029
18,1,573,474,82.72,99,17.28,18001
18,2,594,470,79.12,124,20.88,18002
18,3,246,194,78.86,52,21.14,18003
18,4,471,360,76.43,111,23.57,18004
18,5,417,339,81.29,78,18.71,18005
18,6,681,520,76.36,161,23.64,18006
18,7,576,416,72.22,160,27.78,18007
18,8,779,568,72.91,211,27.09,18008
18,9,565,411,72.74,154,27.26,18009
18,10,769,524,68.14,245,31.86,18010
18,11,374,297,79.41,77,20.59,18011
18,12,607,460,75.78,147,24.22,18012
18,13,473,280,59.2,193,40.8,18013
18,14,384,285,74.22,99,25.78,18014
18,15,272,204,75.0,68,25.0,18015
18,16,414,314,75.85,100,24.15,18016
18,17,311,200,64.31,111,35.69,18017
18,18,414,215,51.93,199,48.07,18018
18,19,371,240,64.69,131,35.31,18019
18,20,347,177,51.01,170,48.99,18020
18,21,431,316,73.32,115,26.68,18021
18,22,531,174,32.77,357,67.23,18022
18,23,611,189,30.93,422,69.07,18023
18,24,601,243,40.43,358,59.57,18024
18,25,325,107,32.92,218,67.08,18025
18,26,539,209,38.78,330,61.22,18026
19,1,963,148,15.37,815,84.63,19001
19,2,792,393,49.62,399,50.38,19002
19,3,708,27,3.81,681,96.19,19003
19,4,687,38,5.53,649,94.47,19004
19,5,653,246,37.67,407,62.33,19005
19,6,686,58,8.45,628,91.55,19006
19,7,920,144,15.65,776,84.35,19007
19,8,495,398,80.4,97,19.6,19008
19,9,458,320,69.87,138,30.13,19009
19,10,603,213,35.32,390,64.68,19010
19,11,558,76,13.62,482,86.38,19011
19,12,946,60,6.34,886,93.66,19012
19,13,478,350,73.22,128,26.78,19013
19,14,719,341,47.43,378,52.57,19014
19,15,556,38,6.83,518,93.17,19015
19,16,639,40,6.26,599,93.74,19016
19,17,612,63,10.29,549,89.71,19017
19,18,591,28,4.74,563,95.26,19018
19,19,656,294,44.82,362,55.18,19019
19,20,481,317,65.9,164,34.1,19020
19,21,960,61,6.35,899,93.65,19021
19,22,664,201,30.27,463,69.73,19022
19,23,679,101,14.87,578,85.13,19023
19,24,666,26,3.9,640,96.1,19024
19,25,548,220,40.15,328,59.85,19025
19,26,522,146,27.97,376,72.03,19026
19,27,727,487,66.99,240,33.01,19027
19,28,930,605,65.05,325,34.95,19028
19,29,798,68,8.52,730,91.48,19029
19,30,674,29,4.3,645,95.7,19030
19,31,899,323,35.93,576,64.07,19031
19,32,500,298,59.6,202,40.4,19032
19,33,482,24,4.98,458,95.02,19033
19,34,1100,110,10.0,990,90.0,19034
19,35,661,175,26.48,486,73.52,19035
19,36,545,141,25.87,404,74.13,19036
20,1,197,91,46.19,106,53.81,20001
20,2,104,53,50.96,51,49.04,20002
20,3,139,91,65.47,48,34.53,20003
20,4,104,85,81.73,19,18.27,20004
20,5,208,168,80.77,40,19.23,20005
20,6,136,109,80.15,27,19.85,20006
20,7,182,143,78.57,39,21.43,20007
20,8,211,170,80.57,41,19.43,20008
20,9,386,325,84.2,61,15.8,20009
20,10,406,345,84.98,61,15.02,20010
20,11,326,273,83.74,53,16.26,20011
20,12,57,50,87.72,7,12.28,20012
20,13,636,524,82.39,112,17.61,20013
20,14,375,320,85.33,55,14.67,20014
20,15,281,237,84.34,44,15.66,20015
20,16,389,332,85.35,57,14.65,20016
20,17,415,334,80.48,81,19.52,20017
20,18,616,499,81.01,117,18.99,20018
20,19,316,253,80.06,63,19.94,20019
20,20,421,353,83.85,68,16.15,20020
20,21,506,439,86.76,67,13.24,20021
20,22,436,357,81.88,79,18.12,20022
20,23,196,160,81.63,36,18.37,20023
21,1,515,396,76.89,119,23.11,21001
21,2,179,144,80.45,35,19.55,21002
21,3,563,460,81.71,103,18.29,21003
21,4,454,374,82.38,80,17.62,21004
21,5,503,416,82.7,87,17.3,21005
21,6,402,329,81.84,73,18.16,21006
21,7,587,485,82.62,102,17.38,21007
21,8,534,419,78.46,115,21.54,21008
21,9,169,136,80.47,33,19.53,21009
21,10,540,442,81.85,98,18.15,21010
21,11,616,498,80.84,118,19.16,21011
21,12,237,199,83.97,38,16.03,21012
21,13,382,307,80.37,75,19.63,21013
21,14,656,542,82.62,114,17.38,21014
21,15,607,500,82.37,107,17.63,21015
21,16,564,484,85.82,80,14.18,21016
21,17,376,309,82.18,67,17.82,21017
21,18,583,487,83.53,96,16.47,21018
21,19,488,383,78.48,105,21.52,21019
21,20,412,334,81.07,78,18.93,21020
21,21,623,521,83.63,102,16.37,21021
21,22,666,536,80.48,130,19.52,21022
21,23,475,376,79.16,99,20.84,21023
21,24,415,325,78.31,90,21.69,21024
21,25,344,281,81.69,63,18.31,21025
21,26,403,330,81.89,73,18.11,21026
21,27,569,475,83.48,94,16.52,21027
21,28,533,421,78.99,112,21.01,21028
21,29,553,465,84.09,88,15.91,21029
22,1,168,147,87.5,21,12.5,22001
22,2,114,91,79.82,23,20.18,22002
22,3,224,125,55.8,99,44.2,22003
22,4,141,87,61.7,54,38.3,22004
22,5,368,229,62.23,139,37.77,22005
22,6,188,109,57.98,79,42.02,22006
22,7,215,130,60.47,85,39.53,22007
22,8,212,109,51.42,103,48.58,22008
22,9,206,135,65.53,71,34.47,22009
22,10,297,163,54.88,134,45.12,22010
22,11,345,189,54.78,156,45.22,22011
22,12,194,110,56.7,84,43.3,22012
22,13,290,159,54.83,131,45.17,22013
22,14,257,147,57.2,110,42.8,22014
22,15,130,63,48.46,67,51.54,22015
22,16,337,107,31.75,230,68.25,22016
22,17,129,107,82.95,22,17.05,22017
22,18,270,215,79.63,55,20.37,22018
22,19,442,150,33.94,292,66.06,22019
23,1,332,30,9.04,302,90.96,23001
23,2,563,59,10.48,504,89.52,23002
23,3,358,37,10.34,321,89.66,23003
23,4,267,35,13.11,232,86.89,23004
23,5,475,35,7.37,440,92.63,23005
23,6,266,29,10.9,237,89.1,23006
23,7,370,49,13.24,321,86.76,23007
23,8,354,41,11.58,313,88.42,23008
23,9,539,73,13.54,466,86.46,23009
23,10,504,88,17.46,416,82.54,23010
23,11,214,64,29.91,150,70.09,23011
23,12,303,68,22.44,235,77.56,23012
23,13,507,119,23.47,388,76.53,23013
23,14,386,106,27.46,280,72.54,23014
23,15,390,118,30.26,272,69.74,23015
23,16,183,59,32.24,124,67.76,23016
23,17,259,118,45.56,141,54.44,23017
23,18,237,83,35.02,154,64.98,23018
23,19,163,49,30.06,114,69.94,23019
23,20,169,70,41.42,99,58.58,23020
23,21,164,61,37.2,103,62.8,23021
23,22,178,49,27.53,129,72.47,23022
23,23,182,54,29.67,128,70.33,23023
23,24,173,67,38.73,106,61.27,23024
23,25,157,38,24.2,119,75.8,23025
23,26,127,56,44.09,71,55.91,23026
23,27,142,52,36.62,90,63.38,23027
23,28,198,70,35.35,128,64.65,23028
23,29,239,76,31.8,163,68.2,23029
23,30,188,60,31.91,128,68.09,23030
23,31,201,65,32.34,136,67.66,23031
23,32,180,52,28.89,128,71.11,23032
23,33,409,154,37.65,255,62.35,23033
24,1,184,157,85.33,27,14.67,24001
24,2,173,151,87.28,22,12.72,24002
24,3,322,278,86.34,44,13.66,24003
24,4,294,248,84.35,46,15.65,24004
24,5,527,444,84.25,83,15.75,24005
24,6,322,288,89.44,34,10.56,24006
24,7,159,136,85.53,23,14.47,24007
24,8,222,184,82.88,38,17.12,24008
24,9,402,344,85.57,58,14.43,24009
24,10,268,224,83.58,44,16.42,24010
24,11,365,312,85.48,53,14.52,24011
24,12,536,469,87.5,67,12.5,24012
24,13,352,294,83.52,58,16.48,24013
24,14,324,289,89.2,35,10.8,24014
24,15,213,189,88.73,24,11.27,24015
24,16,147,111,75.51,36,24.49,24016
24,17,262,217,82.82,45,17.18,24017
24,18,452,338,74.78,114,25.22,24018
24,19,1072,873,81.44,199,18.56,24019
24,20,335,270,80.6,65,19.4,24020
25,1,297,163,54.88,134,45.12,25001
25,2,209,120,57.42,89,42.58,25002
25,3,318,223,70.13,95,29.87,25003
25,4,352,227,64.49,125,35.51,25004
25,5,509,354,69.55,155,30.45,25005
25,6,546,285,52.2,261,47.8,25006
25,7,560,367,65.54,193,34.46,25007
25,8,545,309,56.7,236,43.3,25008
25,9,530,357,67.36,173,32.64,25009
25,10,616,437,70.94,179,29.06,25010
25,11,535,341,63.74,194,36.26,25011
25,12,455,341,74.95,114,25.05,25012
25,13,616,360,58.44,256,41.56,25013
25,14,746,486,65.15,260,34.85,25014
25,15,527,206,39.09,321,60.91,25015
25,16,664,423,63.7,241,36.3,25016
25,17,298,169,56.71,129,43.29,25017
26,1,197,65,32.99,132,67.01,26001
26,2,246,141,57.32,105,42.68,26002
26,3,448,366,81.7,82,18.3,26003
26,4,260,102,39.23,158,60.77,26004
26,5,365,257,70.41,108,29.59,26005
26,6,223,141,63.23,82,36.77,26006
26,7,364,275,75.55,89,24.45,26007
26,8,258,162,62.79,96,37.21,26008
26,9,251,137,54.58,114,45.42,26009
