ward,precinct,total,FREDERICK SCOTT RHINE,FREDERICK SCOTT RHINE Percent,MARY REGINA MINELLA,MARY REGINA MINELLA Percent,WILLIAM TIMOTHY O'BRIEN,WILLIAM TIMOTHY O'BRIEN Percent,precinct_id
41,39,172,10,5.81,41,23.84,121,70.35,41039
41,40,151,12,7.95,42,27.81,97,64.24,41040
41,41,123,19,15.45,40,32.52,64,52.03,41041
41,42,161,14,8.7,32,19.88,115,71.43,41042
41,43,138,21,15.22,46,33.33,71,51.45,41043
41,44,131,13,9.92,41,31.3,77,58.78,41044
41,45,126,14,11.11,48,38.1,64,50.79,41045
41,46,144,16,11.11,59,40.97,69,47.92,41046
41,49,149,10,6.71,33,22.15,106,71.14,41049
41,50,172,22,12.79,53,30.81,97,56.4,41050
41,51,86,12,13.95,28,32.56,46,53.49,41051
41,52,182,18,9.89,40,21.98,124,68.13,41052
41,53,142,9,6.34,43,30.28,90,63.38,41053
41,55,131,15,11.45,51,38.93,65,49.62,41055
41,56,186,14,7.53,47,25.27,125,67.2,41056
41,57,152,18,11.84,66,43.42,68,44.74,41057
41,58,111,12,10.81,29,26.13,70,63.06,41058
41,59,156,18,11.54,36,23.08,102,65.38,41059
41,60,130,16,12.31,42,32.31,72,55.38,41060
41,61,241,19,7.88,49,20.33,173,71.78,41061
41,62,160,18,11.25,61,38.13,81,50.63,41062
41,63,157,6,3.82,29,18.47,122,77.71,41063
41,64,145,11,7.59,53,36.55,81,55.86,41064
41,65,130,22,16.92,42,32.31,66,50.77,41065
41,66,173,17,9.83,40,23.12,116,67.05,41066
45,2,166,10,6.02,48,28.92,108,65.06,45002
45,3,288,18,6.25,55,19.1,215,74.65,45003
45,5,101,2,1.98,35,34.65,64,63.37,45005
45,6,152,15,9.87,32,21.05,105,69.08,45006
45,7,163,23,14.11,56,34.36,84,51.53,45007
45,8,153,16,10.46,45,29.41,92,60.13,45008
45,9,220,19,8.64,69,31.36,132,60.0,45009
45,10,211,33,15.64,68,32.23,110,52.13,45010
45,11,169,21,12.43,51,30.18,97,57.4,45011
45,12,172,25,14.53,52,30.23,95,55.23,45012
45,13,201,16,7.96,56,27.86,129,64.18,45013
45,14,204,19,9.31,77,37.75,108,52.94,45014
45,15,211,25,11.85,63,29.86,123,58.29,45015
45,16,191,18,9.42,76,39.79,97,50.79,45016
45,17,153,20,13.07,47,30.72,86,56.21,45017
45,18,164,10,6.1,49,29.88,105,64.02,45018
45,19,247,19,7.69,72,29.15,156,63.16,45019
45,20,181,20,11.05,69,38.12,92,50.83,45020
45,21,168,16,9.52,58,34.52,94,55.95,45021
45,22,137,19,13.87,54,39.42,64,46.72,45022
45,23,165,20,12.12,46,27.88,99,60.0,45023
45,24,212,27,12.74,76,35.85,109,51.42,45024
45,25,147,18,12.24,48,32.65,81,55.1,45025
45,26,180,24,13.33,58,32.22,98,54.44,45026
45,27,165,9,5.45,51,30.91,105,63.64,45027
45,28,203,16,7.88,56,27.59,131,64.53,45028
45,29,183,17,9.29,58,31.69,108,59.02,45029
45,30,198,25,12.63,64,32.32,109,55.05,45030
45,31,169,16,9.47,51,30.18,102,60.36,45031
45,32,141,17,12.06,51,36.17,73,51.77,45032
45,33,212,32,15.09,70,33.02,110,51.89,45033
45,34,149,14,9.4,54,36.24,81,54.36,45034
45,35,152,11,7.24,42,27.63,99,65.13,45035
45,36,208,15,7.21,76,36.54,117,56.25,45036
45,37,146,12,8.22,62,42.47,72,49.32,45037
45,38,253,19,7.51,80,31.62,154,60.87,45038
45,39,213,22,10.33,66,30.99,125,58.69,45039
45,40,208,14,6.73,48,23.08,146,70.19,45040
45,41,145,21,14.48,40,27.59,84,57.93,45041
45,42,194,19,9.79,60,30.93,115,59.28,45042
45,43,154,10,6.49,53,34.42,91,59.09,45043
45,44,199,22,11.06,43,21.61,134,67.34,45044
45,45,132,12,9.09,48,36.36,72,54.55,45045
45,46,181,30,16.57,57,31.49,94,51.93,45046
45,47,183,13,7.1,64,34.97,106,57.92,45047
45,48,143,10,6.99,44,30.77,89,62.24,45048
45,49,167,17,10.18,58,34.73,92,55.09,45049
45,50,147,15,10.2,51,34.69,81,55.1,45050
45,51,182,19,10.44,54,29.67,109,59.89,45051
45,52,155,14,9.03,49,31.61,92,59.35,45052
45,53,173,25,14.45,57,32.95,91,52.6,45053
45,54,192,33,17.19,59,30.73,100,52.08,45054
45,55,134,14,10.45,48,35.82,72,53.73,45055
45,56,141,17,12.06,49,34.75,75,53.19,45056
45,57,171,19,11.11,43,25.15,109,63.74,45057
46,21,38,5,13.16,19,50.0,14,36.84,46021
47,1,96,12,12.5,34,35.42,50,52.08,47001
47,2,241,27,11.2,68,28.22,146,60.58,47002
47,3,168,14,8.33,48,28.57,106,63.1,47003
47,4,219,30,13.7,70,31.96,119,54.34,47004
47,5,132,13,9.85,61,46.21,58,43.94,47005
47,6,212,18,8.49,79,37.26,115,54.25,47006
47,7,145,10,6.9,72,49.66,63,43.45,47007
47,8,236,24,10.17,88,37.29,124,52.54,47008
47,9,205,36,17.56,54,26.34,115,56.1,47009
47,10,150,11,7.33,76,50.67,63,42.0,47010
47,11,278,36,12.95,89,32.01,153,55.04,47011
47,12,176,18,10.23,78,44.32,80,45.45,47012
47,13,281,38,13.52,100,35.59,143,50.89,47013
47,14,236,22,9.32,65,27.54,149,63.14,47014
47,16,116,11,9.48,40,34.48,65,56.03,47016
47,17,200,36,18.0,62,31.0,102,51.0,47017
47,19,215,17,7.91,64,29.77,134,62.33,47019
47,20,177,22,12.43,59,33.33,96,54.24,47020
47,22,124,18,14.52,41,33.06,65,52.42,47022
47,25,139,13,9.35,75,53.96,51,36.69,47025
47,26,219,31,14.16,112,51.14,76,34.7,47026
47,27,141,7,4.96,60,42.55,74,52.48,47027
47,28,212,19,8.96,75,35.38,118,55.66,47028
47,29,166,21,12.65,70,42.17,75,45.18,47029
47,30,96,7,7.29,43,44.79,46,47.92,47030
47,31,157,22,14.01,71,45.22,64,40.76,47031
47,32,200,22,11.0,93,46.5,85,42.5,47032
47,33,149,23,15.44,59,39.6,67,44.97,47033
47,34,169,18,10.65,70,41.42,81,47.93,47034
47,35,211,22,10.43,90,42.65,99,46.92,47035
47,36,184,16,8.7,98,53.26,70,38.04,47036
47,37,166,20,12.05,70,42.17,76,45.78,47037
47,38,187,18,9.63,88,47.06,81,43.32,47038
47,39,152,18,11.84,76,50.0,58,38.16,47039
47,40,138,6,4.35,51,36.96,81,58.7,47040
47,42,174,26,14.94,74,42.53,74,42.53,47042
47,43,188,16,8.51,75,39.89,97,51.6,47043
47,45,170,11,6.47,68,40.0,91,53.53,47045
50,8,165,25,15.15,58,35.15,82,49.7,50008
50,23,93,21,22.58,35,37.63,37,39.78,50023
50,29,121,14,11.57,50,41.32,57,47.11,50029
