ward,precinct,total,ROBERTO MALDONADO,ROBERTO MALDONADO Percent,precinct_id
35,7,155,155,100.0,35007
35,8,40,40,100.0,35008
35,9,137,137,100.0,35009
35,10,111,111,100.0,35010
35,11,90,90,100.0,35011
35,12,145,145,100.0,35012
35,13,211,211,100.0,35013
35,14,142,142,100.0,35014
35,15,169,169,100.0,35015
35,16,140,140,100.0,35016
35,17,183,183,100.0,35017
35,18,158,158,100.0,35018
35,19,141,141,100.0,35019
35,20,81,81,100.0,35020
35,21,218,218,100.0,35021
35,22,133,133,100.0,35022
35,23,131,131,100.0,35023
35,24,161,161,100.0,35024
35,25,130,130,100.0,35025
35,26,108,108,100.0,35026
35,27,215,215,100.0,35027
35,28,126,126,100.0,35028
35,29,182,182,100.0,35029
35,30,218,218,100.0,35030
35,31,161,161,100.0,35031
35,32,86,86,100.0,35032
35,33,96,96,100.0,35033
35,34,176,176,100.0,35034
35,35,81,81,100.0,35035
36,6,127,127,100.0,36006
36,21,4,4,100.0,36021
36,36,56,56,100.0,36036
36,41,1,1,100.0,36041
36,56,1,1,100.0,36056
37,2,84,84,100.0,37002
37,42,40,40,100.0,37042
39,22,8,8,100.0,39022
39,24,124,124,100.0,39024
39,25,57,57,100.0,39025
39,27,77,77,100.0,39027
39,29,81,81,100.0,39029
39,31,53,53,100.0,39031
