ward,precinct,total,CARRIE M. AUSTIN,CARRIE M. AUSTIN Percent,LINDA SCHWARTZ PASTERNAK,LINDA SCHWARTZ PASTERNAK Percent,QUEEN SISTER GEORZETTA DELONEY,QUEEN SISTER GEORZETTA DELONEY Percent,precinct_id
9,22,256,197,76.95,14,5.47,45,17.58,09022
9,23,140,104,74.29,14,10.0,22,15.71,09023
9,24,91,44,48.35,15,16.48,32,35.16,09024
9,25,98,57,58.16,25,25.51,16,16.33,09025
9,26,120,85,70.83,9,7.5,26,21.67,09026
9,27,127,101,79.53,13,10.24,13,10.24,09027
9,28,123,75,60.98,24,19.51,24,19.51,09028
9,29,184,134,72.83,17,9.24,33,17.93,09029
9,30,230,185,80.43,15,6.52,30,13.04,09030
9,31,163,120,73.62,21,12.88,22,13.5,09031
9,32,214,171,79.91,15,7.01,28,13.08,09032
9,33,130,93,71.54,11,8.46,26,20.0,09033
9,34,160,104,65.0,23,14.38,33,20.63,09034
9,35,203,152,74.88,19,9.36,32,15.76,09035
9,36,107,74,69.16,9,8.41,24,22.43,09036
9,37,198,104,52.53,72,36.36,22,11.11,09037
9,38,205,146,71.22,22,10.73,37,18.05,09038
9,39,184,138,75.0,16,8.7,30,16.3,09039
9,40,236,178,75.42,15,6.36,43,18.22,09040
9,41,229,172,75.11,19,8.3,38,16.59,09041
9,42,132,77,58.33,22,16.67,33,25.0,09042
9,43,147,105,71.43,15,10.2,27,18.37,09043
9,44,155,104,67.1,23,14.84,28,18.06,09044
9,45,243,176,72.43,22,9.05,45,18.52,09045
9,46,175,131,74.86,19,10.86,25,14.29,09046
9,47,105,61,58.1,17,16.19,27,25.71,09047
9,48,247,179,72.47,29,11.74,39,15.79,09048
9,49,77,44,57.14,14,18.18,19,24.68,09049
9,50,246,190,77.24,16,6.5,40,16.26,09050
9,51,157,114,72.61,20,12.74,23,14.65,09051
9,52,220,175,79.55,14,6.36,31,14.09,09052
10,1,116,54,46.55,40,34.48,22,18.97,10001
10,2,105,28,26.67,76,72.38,1,0.95,10002
10,3,111,29,26.13,76,68.47,6,5.41,10003
10,4,115,51,44.35,47,40.87,17,14.78,10004
10,5,114,50,43.86,56,49.12,8,7.02,10005
10,6,252,162,64.29,37,14.68,53,21.03,10006
10,7,34,18,52.94,14,41.18,2,5.88,10007
10,8,131,41,31.3,85,64.89,5,3.82,10008
10,9,144,38,26.39,100,69.44,6,4.17,10009
10,10,177,123,69.49,14,7.91,40,22.6,10010
10,11,131,44,33.59,77,58.78,10,7.63,10011
10,12,101,34,33.66,60,59.41,7,6.93,10012
10,13,191,71,37.17,107,56.02,13,6.81,10013
10,14,30,14,46.67,12,40.0,4,13.33,10014
10,15,69,27,39.13,38,55.07,4,5.8,10015
10,16,159,25,15.72,126,79.25,8,5.03,10016
10,17,98,19,19.39,72,73.47,7,7.14,10017
10,18,88,41,46.59,37,42.05,10,11.36,10018
10,19,216,76,35.19,128,59.26,12,5.56,10019
10,20,238,87,36.55,139,58.4,12,5.04,10020
10,21,106,27,25.47,74,69.81,5,4.72,10021
10,22,40,17,42.5,22,55.0,1,2.5,10022
10,23,123,36,29.27,77,62.6,10,8.13,10023
10,24,120,32,26.67,81,67.5,7,5.83,10024
10,25,157,76,48.41,53,33.76,28,17.83,10025
10,26,103,51,49.51,44,42.72,8,7.77,10026
10,27,189,60,31.75,115,60.85,14,7.41,10027
10,28,156,109,69.87,18,11.54,29,18.59,10028
10,29,168,116,69.05,16,9.52,36,21.43,10029
10,30,146,55,37.67,76,52.05,15,10.27,10030
10,31,127,37,29.13,82,64.57,8,6.3,10031
10,32,128,60,46.88,63,49.22,5,3.91,10032
10,33,126,43,34.13,71,56.35,12,9.52,10033
10,34,111,41,36.94,57,51.35,13,11.71,10034
10,35,118,49,41.53,59,50.0,10,8.47,10035
10,36,159,69,43.4,67,42.14,23,14.47,10036
10,37,108,42,38.89,39,36.11,27,25.0,10037
10,38,182,53,29.12,119,65.38,10,5.49,10038
10,39,127,49,38.58,64,50.39,14,11.02,10039
10,40,106,47,44.34,41,38.68,18,16.98,10040
10,41,261,85,32.57,154,59.0,22,8.43,10041
10,42,144,45,31.25,91,63.19,8,5.56,10042
10,43,108,58,53.7,27,25.0,23,21.3,10043
10,44,130,53,40.77,61,46.92,16,12.31,10044
10,45,150,54,36.0,84,56.0,12,8.0,10045
10,46,130,50,38.46,69,53.08,11,8.46,10046
21,32,102,73,71.57,7,6.86,22,21.57,21032
21,68,108,97,89.81,2,1.85,9,8.33,21068
34,1,347,318,91.64,12,3.46,17,4.9,34001
34,2,235,205,87.23,7,2.98,23,9.79,34002
34,3,174,143,82.18,10,5.75,21,12.07,34003
34,4,201,160,79.6,9,4.48,32,15.92,34004
34,5,125,115,92.0,7,5.6,3,2.4,34005
34,6,247,208,84.21,17,6.88,22,8.91,34006
34,7,315,284,90.16,12,3.81,19,6.03,34007
34,8,264,245,92.8,7,2.65,12,4.55,34008
34,9,173,151,87.28,9,5.2,13,7.51,34009
34,10,307,277,90.23,6,1.95,24,7.82,34010
34,11,145,112,77.24,12,8.28,21,14.48,34011
34,12,225,205,91.11,4,1.78,16,7.11,34012
34,13,121,90,74.38,16,13.22,15,12.4,34013
34,14,138,115,83.33,11,7.97,12,8.7,34014
34,15,131,110,83.97,6,4.58,15,11.45,34015
34,16,158,120,75.95,16,10.13,22,13.92,34016
34,17,235,186,79.15,24,10.21,25,10.64,34017
34,18,164,141,85.98,13,7.93,10,6.1,34018
34,19,176,144,81.82,6,3.41,26,14.77,34019
34,20,272,241,88.6,8,2.94,23,8.46,34020
34,21,307,268,87.3,11,3.58,28,9.12,34021
34,22,307,247,80.46,11,3.58,49,15.96,34022
34,23,219,191,87.21,9,4.11,19,8.68,34023
34,24,233,177,75.97,9,3.86,47,20.17,34024
34,25,152,131,86.18,6,3.95,15,9.87,34025
34,26,183,159,86.89,7,3.83,17,9.29,34026
34,27,147,126,85.71,10,6.8,11,7.48,34027
34,28,136,121,88.97,8,5.88,7,5.15,34028
34,29,255,212,83.14,12,4.71,31,12.16,34029
34,30,325,270,83.08,10,3.08,45,13.85,34030
34,31,211,176,83.41,14,6.64,21,9.95,34031
34,32,244,216,88.52,8,3.28,20,8.2,34032
34,34,246,208,84.55,9,3.66,29,11.79,34034
34,35,294,265,90.14,11,3.74,18,6.12,34035
34,36,318,267,83.96,18,5.66,33,10.38,34036
34,37,141,134,95.04,3,2.13,4,2.84,34037
34,38,157,134,85.35,10,6.37,13,8.28,34038
34,39,137,102,74.45,8,5.84,27,19.71,34039
34,40,266,227,85.34,13,4.89,26,9.77,34040
34,41,206,174,84.47,7,3.4,25,12.14,34041
34,42,272,230,84.56,15,5.51,27,9.93,34042
34,43,266,239,89.85,7,2.63,20,7.52,34043
34,44,237,212,89.45,9,3.8,16,6.75,34044
34,45,296,248,83.78,15,5.07,33,11.15,34045
34,46,166,140,84.34,9,5.42,17,10.24,34046
34,48,240,216,90.0,6,2.5,18,7.5,34048
34,49,286,266,93.01,4,1.4,16,5.59,34049
34,50,181,153,84.53,9,4.97,19,10.5,34050
34,52,191,160,83.77,12,6.28,19,9.95,34052
34,53,186,148,79.57,13,6.99,25,13.44,34053
34,54,213,186,87.32,9,4.23,18,8.45,34054
34,55,156,145,92.95,5,3.21,6,3.85,34055
34,56,171,138,80.7,17,9.94,16,9.36,34056
34,57,140,110,78.57,11,7.86,19,13.57,34057
34,58,200,186,93.0,5,2.5,9,4.5,34058
34,59,185,157,84.86,7,3.78,21,11.35,34059
34,60,220,180,81.82,13,5.91,27,12.27,34060
34,61,211,178,84.36,9,4.27,24,11.37,34061
