ward,precinct,total,STANLEY NIZIOLEK,STANLEY NIZIOLEK Percent,RAHM EMANUEL,RAHM EMANUEL Percent,PAUL A. RAUNER,PAUL A. RAUNER Percent,NANCY KASZAK,NANCY KASZAK Percent,PETER DAGHER,PETER DAGHER Percent,MARK A. FREDRICKSON,MARK A. FREDRICKSON Percent,JOSEPH SLOVINEC,JOSEPH SLOVINEC Percent,RAY (THE ANGEL) LEAR,RAY (THE ANGEL) LEAR Percent,precinct_id
30,10,150,5,3.33,37,24.67,8,5.33,83,55.33,7,4.67,0,0.0,5,3.33,5,3.33,30010
30,11,182,4,2.2,72,39.56,4,2.2,85,46.7,12,6.59,3,1.65,1,0.55,1,0.55,30011
30,12,190,2,1.05,97,51.05,2,1.05,73,38.42,5,2.63,0,0.0,5,2.63,6,3.16,30012
30,13,129,2,1.55,72,55.81,2,1.55,45,34.88,4,3.1,2,1.55,0,0.0,2,1.55,30013
30,14,130,4,3.08,61,46.92,3,2.31,52,40.0,5,3.85,2,1.54,2,1.54,1,0.77,30014
30,15,232,4,1.72,73,31.47,2,0.86,137,59.05,9,3.88,0,0.0,1,0.43,6,2.59,30015
30,16,118,3,2.54,42,35.59,4,3.39,64,54.24,1,0.85,1,0.85,1,0.85,2,1.69,30016
30,18,217,6,2.76,132,60.83,5,2.3,52,23.96,3,1.38,2,0.92,7,3.23,10,4.61,30018
30,19,108,8,7.41,45,41.67,1,0.93,48,44.44,2,1.85,2,1.85,1,0.93,1,0.93,30019
30,22,163,1,0.61,70,42.94,0,0.0,86,52.76,5,3.07,0,0.0,0,0.0,1,0.61,30022
30,23,115,12,10.43,48,41.74,1,0.87,43,37.39,3,2.61,2,1.74,2,1.74,4,3.48,30023
30,26,174,7,4.02,70,40.23,6,3.45,72,41.38,6,3.45,3,1.72,3,1.72,7,4.02,30026
30,27,138,3,2.17,47,34.06,0,0.0,75,54.35,5,3.62,2,1.45,2,1.45,4,2.9,30027
30,28,179,4,2.23,65,36.31,4,2.23,82,45.81,8,4.47,4,2.23,6,3.35,6,3.35,30028
30,29,178,4,2.25,62,34.83,1,0.56,91,51.12,13,7.3,1,0.56,2,1.12,4,2.25,30029
30,30,189,5,2.65,69,36.51,1,0.53,99,52.38,7,3.7,2,1.06,2,1.06,4,2.12,30030
30,31,166,0,0.0,64,38.55,2,1.2,87,52.41,4,2.41,3,1.81,1,0.6,5,3.01,30031
30,32,209,2,0.96,91,43.54,2,0.96,100,47.85,8,3.83,1,0.48,1,0.48,4,1.91,30032
30,33,11,0,0.0,4,36.36,1,9.09,4,36.36,0,0.0,1,9.09,1,9.09,0,0.0,30033
30,34,306,18,5.88,126,41.18,6,1.96,125,40.85,13,4.25,7,2.29,5,1.63,6,1.96,30034
30,35,145,4,2.76,53,36.55,4,2.76,72,49.66,7,4.83,1,0.69,1,0.69,3,2.07,30035
30,37,151,2,1.32,70,46.36,3,1.99,71,47.02,2,1.32,1,0.66,2,1.32,0,0.0,30037
30,38,198,7,3.54,100,50.51,1,0.51,75,37.88,6,3.03,2,1.01,3,1.52,4,2.02,30038
30,39,149,5,3.36,67,44.97,6,4.03,60,40.27,8,5.37,2,1.34,1,0.67,0,0.0,30039
30,40,153,5,3.27,53,34.64,2,1.31,82,53.59,4,2.61,1,0.65,2,1.31,4,2.61,30040
30,42,170,7,4.12,52,30.59,0,0.0,91,53.53,14,8.24,1,0.59,3,1.76,2,1.18,30042
30,43,137,3,2.19,56,40.88,4,2.92,56,40.88,6,4.38,4,2.92,3,2.19,5,3.65,30043
30,44,203,2,0.99,86,42.36,2,0.99,97,47.78,11,5.42,3,1.48,1,0.49,1,0.49,30044
31,5,8,0,0.0,2,25.0,0,0.0,5,62.5,0,0.0,0,0.0,0,0.0,1,12.5,31005
31,18,16,1,6.25,5,31.25,0,0.0,5,31.25,1,6.25,2,12.5,1,6.25,1,6.25,31018
31,32,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,31032
32,7,120,1,0.83,61,50.83,1,0.83,50,41.67,5,4.17,0,0.0,1,0.83,1,0.83,32007
32,8,171,3,1.75,92,53.8,1,0.58,64,37.43,4,2.34,2,1.17,2,1.17,3,1.75,32008
32,9,270,2,0.74,135,50.0,3,1.11,117,43.33,6,2.22,2,0.74,1,0.37,4,1.48,32009
32,10,118,1,0.85,50,42.37,1,0.85,51,43.22,8,6.78,1,0.85,2,1.69,4,3.39,32010
32,13,122,1,0.82,77,63.11,1,0.82,33,27.05,6,4.92,1,0.82,0,0.0,3,2.46,32013
32,15,160,5,3.13,78,48.75,1,0.63,61,38.13,3,1.88,3,1.88,4,2.5,5,3.13,32015
32,18,129,0,0.0,65,50.39,1,0.78,57,44.19,5,3.88,0,0.0,1,0.78,0,0.0,32018
32,19,291,1,0.34,158,54.3,2,0.69,110,37.8,10,3.44,2,0.69,3,1.03,5,1.72,32019
32,20,141,1,0.71,88,62.41,1,0.71,40,28.37,5,3.55,1,0.71,2,1.42,3,2.13,32020
32,21,215,3,1.4,111,51.63,2,0.93,91,42.33,5,2.33,0,0.0,3,1.4,0,0.0,32021
32,22,191,0,0.0,116,60.73,4,2.09,66,34.55,3,1.57,0,0.0,0,0.0,2,1.05,32022
32,23,160,1,0.63,99,61.88,1,0.63,49,30.63,4,2.5,2,1.25,0,0.0,4,2.5,32023
32,24,138,1,0.72,70,50.72,1,0.72,62,44.93,2,1.45,0,0.0,2,1.45,0,0.0,32024
32,25,172,1,0.58,88,51.16,1,0.58,69,40.12,4,2.33,5,2.91,0,0.0,4,2.33,32025
32,27,133,2,1.5,77,57.89,3,2.26,39,29.32,3,2.26,3,2.26,6,4.51,0,0.0,32027
32,32,161,0,0.0,94,58.39,2,1.24,51,31.68,3,1.86,5,3.11,3,1.86,3,1.86,32032
32,37,148,3,2.03,83,56.08,4,2.7,47,31.76,3,2.03,2,1.35,3,2.03,3,2.03,32037
32,38,204,3,1.47,120,58.82,1,0.49,65,31.86,3,1.47,4,1.96,3,1.47,5,2.45,32038
32,39,164,2,1.22,101,61.59,1,0.61,52,31.71,4,2.44,3,1.83,1,0.61,0,0.0,32039
32,40,176,2,1.14,102,57.95,2,1.14,52,29.55,11,6.25,6,3.41,1,0.57,0,0.0,32040
32,41,238,2,0.84,131,55.04,3,1.26,87,36.55,5,2.1,2,0.84,7,2.94,1,0.42,32041
32,42,204,1,0.49,107,52.45,4,1.96,73,35.78,5,2.45,5,2.45,4,1.96,5,2.45,32042
32,43,200,1,0.5,135,67.5,2,1.0,53,26.5,3,1.5,1,0.5,4,2.0,1,0.5,32043
32,44,149,5,3.36,84,56.38,3,2.01,48,32.21,6,4.03,1,0.67,0,0.0,2,1.34,32044
32,45,201,2,1.0,123,61.19,1,0.5,65,32.34,4,1.99,3,1.49,0,0.0,3,1.49,32045
32,48,169,3,1.78,95,56.21,0,0.0,66,39.05,2,1.18,1,0.59,1,0.59,1,0.59,32048
33,7,227,0,0.0,108,47.58,0,0.0,102,44.93,16,7.05,1,0.44,0,0.0,0,0.0,33007
33,8,194,3,1.55,94,48.45,3,1.55,83,42.78,9,4.64,0,0.0,0,0.0,2,1.03,33008
33,9,197,2,1.02,95,48.22,2,1.02,77,39.09,12,6.09,2,1.02,3,1.52,4,2.03,33009
33,11,207,3,1.45,98,47.34,0,0.0,86,41.55,10,4.83,5,2.42,0,0.0,5,2.42,33011
33,14,159,2,1.26,99,62.26,6,3.77,32,20.13,11,6.92,4,2.52,1,0.63,4,2.52,33014
33,16,239,8,3.35,74,30.96,3,1.26,140,58.58,3,1.26,2,0.84,2,0.84,7,2.93,33016
33,18,76,1,1.32,48,63.16,1,1.32,17,22.37,3,3.95,1,1.32,2,2.63,3,3.95,33018
33,22,209,5,2.39,129,61.72,3,1.44,55,26.32,8,3.83,2,0.96,3,1.44,4,1.91,33022
33,23,201,4,1.99,115,57.21,2,1.0,52,25.87,20,9.95,1,0.5,2,1.0,5,2.49,33023
33,24,240,1,0.42,119,49.58,2,0.83,100,41.67,13,5.42,1,0.42,2,0.83,2,0.83,33024
33,25,318,3,0.94,165,51.89,1,0.31,124,38.99,13,4.09,3,0.94,4,1.26,5,1.57,33025
33,26,6,0,0.0,3,50.0,0,0.0,3,50.0,0,0.0,0,0.0,0,0.0,0,0.0,33026
33,27,304,6,1.97,200,65.79,6,1.97,65,21.38,11,3.62,9,2.96,1,0.33,6,1.97,33027
33,28,221,0,0.0,105,47.51,4,1.81,99,44.8,12,5.43,1,0.45,0,0.0,0,0.0,33028
33,29,205,0,0.0,112,54.63,3,1.46,75,36.59,11,5.37,1,0.49,2,0.98,1,0.49,33029
33,35,30,0,0.0,18,60.0,0,0.0,9,30.0,0,0.0,1,3.33,2,6.67,0,0.0,33035
33,37,141,8,5.67,63,44.68,7,4.96,51,36.17,4,2.84,1,0.71,4,2.84,3,2.13,33037
33,38,70,5,7.14,28,40.0,2,2.86,27,38.57,3,4.29,2,2.86,1,1.43,2,2.86,33038
36,1,165,4,2.42,97,58.79,5,3.03,46,27.88,6,3.64,6,3.64,1,0.61,0,0.0,36001
36,2,156,3,1.92,87,55.77,3,1.92,49,31.41,4,2.56,6,3.85,0,0.0,4,2.56,36002
36,3,163,1,0.61,118,72.39,2,1.23,29,17.79,8,4.91,3,1.84,1,0.61,1,0.61,36003
36,5,164,5,3.05,75,45.73,1,0.61,73,44.51,5,3.05,1,0.61,3,1.83,1,0.61,36005
36,6,166,4,2.41,106,63.86,1,0.6,41,24.7,4,2.41,1,0.6,6,3.61,3,1.81,36006
36,7,218,4,1.83,96,44.04,0,0.0,103,47.25,10,4.59,2,0.92,1,0.46,2,0.92,36007
36,8,235,5,2.13,103,43.83,0,0.0,112,47.66,12,5.11,2,0.85,1,0.43,0,0.0,36008
36,9,209,3,1.44,111,53.11,1,0.48,86,41.15,4,1.91,2,0.96,1,0.48,1,0.48,36009
36,10,182,5,2.75,73,40.11,4,2.2,86,47.25,5,2.75,2,1.1,4,2.2,3,1.65,36010
36,11,283,7,2.47,146,51.59,8,2.83,95,33.57,16,5.65,7,2.47,2,0.71,2,0.71,36011
36,12,207,6,2.9,106,51.21,1,0.48,83,40.1,10,4.83,0,0.0,0,0.0,1,0.48,36012
36,13,335,7,2.09,204,60.9,5,1.49,105,31.34,10,2.99,1,0.3,1,0.3,2,0.6,36013
36,14,260,3,1.15,155,59.62,1,0.38,81,31.15,9,3.46,5,1.92,4,1.54,2,0.77,36014
36,15,173,4,2.31,103,59.54,2,1.16,46,26.59,4,2.31,2,1.16,2,1.16,10,5.78,36015
36,16,218,4,1.83,134,61.47,4,1.83,57,26.15,6,2.75,7,3.21,1,0.46,5,2.29,36016
36,17,175,3,1.71,72,41.14,0,0.0,87,49.71,7,4.0,1,0.57,3,1.71,2,1.14,36017
36,18,222,5,2.25,90,40.54,3,1.35,103,46.4,11,4.95,5,2.25,3,1.35,2,0.9,36018
36,19,360,0,0.0,319,88.61,0,0.0,32,8.89,4,1.11,1,0.28,3,0.83,1,0.28,36019
36,20,285,2,0.7,172,60.35,2,0.7,96,33.68,5,1.75,5,1.75,2,0.7,1,0.35,36020
36,21,215,6,2.79,117,54.42,2,0.93,76,35.35,8,3.72,1,0.47,3,1.4,2,0.93,36021
36,22,270,4,1.48,145,53.7,4,1.48,96,35.56,13,4.81,3,1.11,3,1.11,2,0.74,36022
36,25,153,1,0.65,69,45.1,0,0.0,64,41.83,16,10.46,2,1.31,0,0.0,1,0.65,36025
36,27,184,5,2.72,79,42.93,2,1.09,69,37.5,18,9.78,3,1.63,5,2.72,3,1.63,36027
36,28,178,8,4.49,81,45.51,2,1.12,77,43.26,6,3.37,0,0.0,2,1.12,2,1.12,36028
36,29,216,3,1.39,118,54.63,0,0.0,72,33.33,14,6.48,1,0.46,8,3.7,0,0.0,36029
36,30,272,3,1.1,150,55.15,2,0.74,96,35.29,17,6.25,0,0.0,2,0.74,2,0.74,36030
36,31,224,6,2.68,126,56.25,1,0.45,70,31.25,12,5.36,1,0.45,3,1.34,5,2.23,36031
36,32,222,5,2.25,130,58.56,4,1.8,74,33.33,6,2.7,0,0.0,3,1.35,0,0.0,36032
36,33,133,1,0.75,82,61.65,0,0.0,40,30.08,6,4.51,3,2.26,0,0.0,1,0.75,36033
36,34,148,2,1.35,83,56.08,0,0.0,54,36.49,5,3.38,1,0.68,2,1.35,1,0.68,36034
36,35,241,4,1.66,158,65.56,3,1.24,65,26.97,3,1.24,3,1.24,4,1.66,1,0.41,36035
36,36,198,1,0.51,97,48.99,1,0.51,79,39.9,14,7.07,3,1.52,1,0.51,2,1.01,36036
36,37,163,3,1.84,82,50.31,4,2.45,59,36.2,9,5.52,2,1.23,2,1.23,2,1.23,36037
36,38,144,4,2.78,79,54.86,4,2.78,49,34.03,4,2.78,1,0.69,2,1.39,1,0.69,36038
36,39,221,2,0.9,107,48.42,5,2.26,92,41.63,12,5.43,1,0.45,1,0.45,1,0.45,36039
36,40,228,9,3.95,124,54.39,3,1.32,76,33.33,9,3.95,3,1.32,2,0.88,2,0.88,36040
36,41,159,4,2.52,85,53.46,2,1.26,52,32.7,2,1.26,4,2.52,2,1.26,8,5.03,36041
36,42,162,4,2.47,78,48.15,2,1.23,66,40.74,9,5.56,1,0.62,1,0.62,1,0.62,36042
36,45,172,5,2.91,98,56.98,1,0.58,53,30.81,11,6.4,2,1.16,1,0.58,1,0.58,36045
36,46,200,7,3.5,86,43.0,4,2.0,91,45.5,7,3.5,3,1.5,2,1.0,0,0.0,36046
36,47,172,2,1.16,82,47.67,3,1.74,67,38.95,12,6.98,2,1.16,3,1.74,1,0.58,36047
36,48,216,10,4.63,98,45.37,1,0.46,81,37.5,18,8.33,2,0.93,4,1.85,2,0.93,36048
36,49,188,4,2.13,102,54.26,2,1.06,64,34.04,14,7.45,2,1.06,0,0.0,0,0.0,36049
36,50,203,4,1.97,140,68.97,2,0.99,45,22.17,5,2.46,1,0.49,2,0.99,4,1.97,36050
36,51,211,9,4.27,118,55.92,3,1.42,57,27.01,12,5.69,3,1.42,6,2.84,3,1.42,36051
36,52,170,9,5.29,81,47.65,3,1.76,60,35.29,9,5.29,3,1.76,1,0.59,4,2.35,36052
36,53,219,11,5.02,82,37.44,2,0.91,113,51.6,4,1.83,3,1.37,0,0.0,4,1.83,36053
36,55,206,7,3.4,114,55.34,3,1.46,59,28.64,11,5.34,6,2.91,3,1.46,3,1.46,36055
36,56,164,5,3.05,75,45.73,0,0.0,69,42.07,9,5.49,4,2.44,1,0.61,1,0.61,36056
38,1,143,6,4.2,62,43.36,5,3.5,63,44.06,2,1.4,4,2.8,0,0.0,1,0.7,38001
38,2,211,11,5.21,58,27.49,1,0.47,124,58.77,12,5.69,2,0.95,2,0.95,1,0.47,38002
38,3,192,7,3.65,91,47.4,3,1.56,80,41.67,6,3.13,0,0.0,2,1.04,3,1.56,38003
38,4,71,1,1.41,34,47.89,1,1.41,33,46.48,1,1.41,1,1.41,0,0.0,0,0.0,38004
38,5,278,6,2.16,149,53.6,1,0.36,111,39.93,8,2.88,1,0.36,1,0.36,1,0.36,38005
38,6,206,8,3.88,70,33.98,1,0.49,112,54.37,9,4.37,1,0.49,3,1.46,2,0.97,38006
38,7,223,3,1.35,94,42.15,1,0.45,113,50.67,7,3.14,4,1.79,0,0.0,1,0.45,38007
38,8,269,8,2.97,135,50.19,6,2.23,102,37.92,16,5.95,1,0.37,0,0.0,1,0.37,38008
38,9,202,2,0.99,67,33.17,1,0.5,119,58.91,6,2.97,5,2.48,0,0.0,2,0.99,38009
38,10,177,4,2.26,89,50.28,2,1.13,64,36.16,13,7.34,2,1.13,3,1.69,0,0.0,38010
38,11,148,1,0.68,71,47.97,0,0.0,59,39.86,11,7.43,2,1.35,2,1.35,2,1.35,38011
38,12,144,7,4.86,60,41.67,2,1.39,59,40.97,10,6.94,0,0.0,1,0.69,5,3.47,38012
38,13,167,2,1.2,95,56.89,2,1.2,60,35.93,3,1.8,1,0.6,2,1.2,2,1.2,38013
38,14,208,4,1.92,98,47.12,0,0.0,94,45.19,10,4.81,1,0.48,0,0.0,1,0.48,38014
38,15,148,1,0.68,76,51.35,2,1.35,55,37.16,10,6.76,1,0.68,3,2.03,0,0.0,38015
38,16,239,4,1.67,135,56.49,0,0.0,87,36.4,9,3.77,1,0.42,2,0.84,1,0.42,38016
38,17,173,3,1.73,84,48.55,2,1.16,69,39.88,5,2.89,6,3.47,4,2.31,0,0.0,38017
38,18,172,5,2.91,79,45.93,2,1.16,69,40.12,11,6.4,2,1.16,3,1.74,1,0.58,38018
38,19,163,2,1.23,97,59.51,0,0.0,54,33.13,8,4.91,2,1.23,0,0.0,0,0.0,38019
38,20,181,1,0.55,67,37.02,1,0.55,99,54.7,11,6.08,1,0.55,0,0.0,1,0.55,38020
38,21,168,6,3.57,80,47.62,3,1.79,69,41.07,6,3.57,2,1.19,0,0.0,2,1.19,38021
38,22,217,1,0.46,91,41.94,4,1.84,101,46.54,14,6.45,2,0.92,3,1.38,1,0.46,38022
38,23,153,3,1.96,68,44.44,1,0.65,65,42.48,12,7.84,2,1.31,0,0.0,2,1.31,38023
38,24,101,0,0.0,44,43.56,1,0.99,46,45.54,8,7.92,0,0.0,0,0.0,2,1.98,38024
38,25,165,1,0.61,88,53.33,0,0.0,69,41.82,4,2.42,2,1.21,1,0.61,0,0.0,38025
38,26,152,4,2.63,73,48.03,1,0.66,67,44.08,7,4.61,0,0.0,0,0.0,0,0.0,38026
38,27,127,4,3.15,50,39.37,0,0.0,56,44.09,11,8.66,4,3.15,0,0.0,2,1.57,38027
38,28,136,2,1.47,63,46.32,1,0.74,55,40.44,11,8.09,1,0.74,0,0.0,3,2.21,38028
38,29,153,5,3.27,83,54.25,0,0.0,59,38.56,6,3.92,0,0.0,0,0.0,0,0.0,38029
38,30,167,2,1.2,89,53.29,3,1.8,68,40.72,3,1.8,0,0.0,1,0.6,1,0.6,38030
38,31,207,2,0.97,114,55.07,3,1.45,75,36.23,6,2.9,3,1.45,3,1.45,1,0.48,38031
38,32,203,3,1.48,77,37.93,2,0.99,108,53.2,10,4.93,1,0.49,2,0.99,0,0.0,38032
38,33,158,4,2.53,73,46.2,2,1.27,66,41.77,9,5.7,1,0.63,3,1.9,0,0.0,38033
38,34,151,2,1.32,71,47.02,3,1.99,61,40.4,10,6.62,3,1.99,1,0.66,0,0.0,38034
38,35,202,2,0.99,101,50.0,2,0.99,79,39.11,11,5.45,1,0.5,4,1.98,2,0.99,38035
38,36,189,2,1.06,100,52.91,2,1.06,71,37.57,10,5.29,2,1.06,1,0.53,1,0.53,38036
38,37,224,6,2.68,91,40.63,3,1.34,110,49.11,6,2.68,3,1.34,2,0.89,3,1.34,38037
38,38,210,3,1.43,97,46.19,2,0.95,73,34.76,24,11.43,6,2.86,2,0.95,3,1.43,38038
38,39,167,2,1.2,87,52.1,1,0.6,61,36.53,11,6.59,2,1.2,2,1.2,1,0.6,38039
38,40,126,3,2.38,49,38.89,1,0.79,61,48.41,10,7.94,0,0.0,0,0.0,2,1.59,38040
38,41,242,3,1.24,116,47.93,0,0.0,110,45.45,9,3.72,2,0.83,1,0.41,1,0.41,38041
38,42,212,7,3.3,109,51.42,1,0.47,85,40.09,4,1.89,1,0.47,3,1.42,2,0.94,38042
38,43,178,3,1.69,67,37.64,1,0.56,88,49.44,14,7.87,1,0.56,4,2.25,0,0.0,38043
38,44,169,3,1.78,78,46.15,0,0.0,70,41.42,14,8.28,1,0.59,0,0.0,3,1.78,38044
38,45,202,6,2.97,104,51.49,3,1.49,75,37.13,12,5.94,1,0.5,1,0.5,0,0.0,38045
38,46,177,2,1.13,75,42.37,2,1.13,71,40.11,21,11.86,2,1.13,2,1.13,2,1.13,38046
38,47,169,1,0.59,76,44.97,6,3.55,75,44.38,4,2.37,1,0.59,3,1.78,3,1.78,38047
38,48,173,1,0.58,84,48.55,1,0.58,73,42.2,11,6.36,2,1.16,1,0.58,0,0.0,38048
38,49,171,2,1.17,70,40.94,1,0.58,89,52.05,9,5.26,0,0.0,0,0.0,0,0.0,38049
38,50,195,4,2.05,79,40.51,3,1.54,86,44.1,13,6.67,2,1.03,4,2.05,4,2.05,38050
38,51,139,6,4.32,71,51.08,1,0.72,52,37.41,6,4.32,2,1.44,1,0.72,0,0.0,38051
38,52,186,5,2.69,68,36.56,5,2.69,90,48.39,13,6.99,2,1.08,2,1.08,1,0.54,38052
38,53,197,2,1.02,72,36.55,2,1.02,104,52.79,10,5.08,3,1.52,3,1.52,1,0.51,38053
38,54,201,4,1.99,102,50.75,4,1.99,77,38.31,10,4.98,0,0.0,3,1.49,1,0.5,38054
38,55,262,10,3.82,144,54.96,1,0.38,89,33.97,15,5.73,2,0.76,1,0.38,0,0.0,38055
38,56,167,3,1.8,74,44.31,3,1.8,76,45.51,8,4.79,3,1.8,0,0.0,0,0.0,38056
39,1,176,4,2.27,61,34.66,1,0.57,89,50.57,16,9.09,1,0.57,2,1.14,2,1.14,39001
39,2,280,6,2.14,206,73.57,1,0.36,54,19.29,8,2.86,2,0.71,2,0.71,1,0.36,39002
39,3,190,2,1.05,105,55.26,1,0.53,61,32.11,15,7.89,2,1.05,2,1.05,2,1.05,39003
39,4,135,0,0.0,54,40.0,1,0.74,66,48.89,11,8.15,2,1.48,0,0.0,1,0.74,39004
39,5,184,5,2.72,98,53.26,0,0.0,70,38.04,6,3.26,3,1.63,1,0.54,1,0.54,39005
39,6,188,5,2.66,97,51.6,1,0.53,66,35.11,12,6.38,3,1.6,2,1.06,2,1.06,39006
39,7,199,5,2.51,124,62.31,2,1.01,54,27.14,5,2.51,6,3.02,1,0.5,2,1.01,39007
39,8,178,1,0.56,93,52.25,3,1.69,69,38.76,8,4.49,3,1.69,1,0.56,0,0.0,39008
39,9,278,5,1.8,155,55.76,1,0.36,88,31.65,21,7.55,2,0.72,2,0.72,4,1.44,39009
39,10,156,1,0.64,98,62.82,3,1.92,46,29.49,3,1.92,1,0.64,2,1.28,2,1.28,39010
39,11,229,4,1.75,158,69.0,2,0.87,56,24.45,5,2.18,2,0.87,2,0.87,0,0.0,39011
39,12,110,0,0.0,55,50.0,1,0.91,34,30.91,16,14.55,1,0.91,0,0.0,3,2.73,39012
39,13,88,3,3.41,57,64.77,0,0.0,21,23.86,5,5.68,1,1.14,1,1.14,0,0.0,39013
39,14,170,3,1.76,76,44.71,4,2.35,53,31.18,25,14.71,5,2.94,2,1.18,2,1.18,39014
39,15,134,1,0.75,70,52.24,5,3.73,47,35.07,4,2.99,2,1.49,3,2.24,2,1.49,39015
39,16,124,0,0.0,69,55.65,0,0.0,34,27.42,18,14.52,0,0.0,1,0.81,2,1.61,39016
39,17,147,2,1.36,98,66.67,1,0.68,27,18.37,15,10.2,1,0.68,0,0.0,3,2.04,39017
39,18,235,0,0.0,160,68.09,2,0.85,57,24.26,13,5.53,0,0.0,3,1.28,0,0.0,39018
39,19,124,2,1.61,58,46.77,0,0.0,47,37.9,8,6.45,5,4.03,1,0.81,3,2.42,39019
39,20,154,4,2.6,76,49.35,1,0.65,62,40.26,8,5.19,1,0.65,1,0.65,1,0.65,39020
39,21,126,5,3.97,81,64.29,1,0.79,34,26.98,3,2.38,0,0.0,0,0.0,2,1.59,39021
39,22,142,1,0.7,116,81.69,1,0.7,14,9.86,9,6.34,1,0.7,0,0.0,0,0.0,39022
39,23,112,1,0.89,40,35.71,1,0.89,51,45.54,17,15.18,1,0.89,1,0.89,0,0.0,39023
39,24,151,7,4.64,88,58.28,6,3.97,34,22.52,8,5.3,3,1.99,2,1.32,3,1.99,39024
39,25,69,2,2.9,36,52.17,1,1.45,21,30.43,3,4.35,3,4.35,1,1.45,2,2.9,39025
39,26,199,3,1.51,95,47.74,1,0.5,75,37.69,20,10.05,3,1.51,0,0.0,2,1.01,39026
39,28,102,0,0.0,48,47.06,0,0.0,48,47.06,4,3.92,0,0.0,1,0.98,1,0.98,39028
39,30,166,6,3.61,98,59.04,2,1.2,40,24.1,13,7.83,5,3.01,1,0.6,1,0.6,39030
39,31,125,4,3.2,73,58.4,0,0.0,39,31.2,4,3.2,1,0.8,1,0.8,3,2.4,39031
39,32,306,4,1.31,216,70.59,3,0.98,46,15.03,32,10.46,1,0.33,1,0.33,3,0.98,39032
39,33,217,0,0.0,139,64.06,3,1.38,53,24.42,15,6.91,4,1.84,1,0.46,2,0.92,39033
39,34,241,4,1.66,190,78.84,1,0.41,29,12.03,12,4.98,4,1.66,0,0.0,1,0.41,39034
39,35,177,4,2.26,98,55.37,1,0.56,44,24.86,22,12.43,4,2.26,3,1.69,1,0.56,39035
39,36,331,7,2.11,212,64.05,6,1.81,76,22.96,17,5.14,5,1.51,2,0.6,6,1.81,39036
39,37,242,2,0.83,134,55.37,3,1.24,87,35.95,9,3.72,2,0.83,1,0.41,4,1.65,39037
39,38,301,4,1.33,134,44.52,4,1.33,136,45.18,16,5.32,2,0.66,3,1.0,2,0.66,39038
39,39,101,0,0.0,55,54.46,0,0.0,29,28.71,13,12.87,3,2.97,1,0.99,0,0.0,39039
39,40,127,2,1.57,48,37.8,0,0.0,60,47.24,14,11.02,2,1.57,0,0.0,1,0.79,39040
39,41,49,0,0.0,30,61.22,0,0.0,16,32.65,1,2.04,0,0.0,2,4.08,0,0.0,39041
39,42,163,1,0.61,81,49.69,0,0.0,69,42.33,7,4.29,2,1.23,0,0.0,3,1.84,39042
39,43,159,4,2.52,78,49.06,3,1.89,54,33.96,16,10.06,4,2.52,0,0.0,0,0.0,39043
39,44,213,2,0.94,116,54.46,1,0.47,62,29.11,14,6.57,3,1.41,4,1.88,11,5.16,39044
39,45,181,4,2.21,75,41.44,3,1.66,64,35.36,29,16.02,3,1.66,3,1.66,0,0.0,39045
