ward,precinct,total,STEVEN BOONE,STEVEN BOONE Percent,APRIL TROOPE,APRIL TROOPE Percent,EVERLOYCE FAYE McCULLOUGH,EVERLOYCE FAYE McCULLOUGH Percent,PATRICIA BAILEY,PATRICIA BAILEY Percent,KEITH HARRIS,KEITH HARRIS Percent,BRIAN KENNER,BRIAN KENNER Percent,precinct_id
15,23,130,12,9.23,64,49.23,24,18.46,20,15.38,4,3.08,6,4.62,15023
15,24,147,11,7.48,57,38.78,24,16.33,37,25.17,9,6.12,9,6.12,15024
15,26,175,17,9.71,98,56.0,14,8.0,26,14.86,7,4.0,13,7.43,15026
15,29,127,11,8.66,78,61.42,9,7.09,18,14.17,4,3.15,7,5.51,15029
15,30,28,1,3.57,12,42.86,5,17.86,8,28.57,2,7.14,0,0.0,15030
15,31,31,0,0.0,14,45.16,2,6.45,7,22.58,2,6.45,6,19.35,15031
15,33,1,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,15033
15,35,203,21,10.34,88,43.35,18,8.87,51,25.12,11,5.42,14,6.9,15035
15,36,170,8,4.71,73,42.94,62,36.47,12,7.06,5,2.94,10,5.88,15036
15,37,170,11,6.47,96,56.47,12,7.06,34,20.0,12,7.06,5,2.94,15037
15,38,140,10,7.14,51,36.43,20,14.29,39,27.86,8,5.71,12,8.57,15038
15,39,142,27,19.01,54,38.03,8,5.63,17,11.97,25,17.61,11,7.75,15039
15,40,110,7,6.36,52,47.27,7,6.36,33,30.0,5,4.55,6,5.45,15040
15,43,139,11,7.91,68,48.92,22,15.83,19,13.67,5,3.6,14,10.07,15043
15,48,46,3,6.52,16,34.78,10,21.74,13,28.26,1,2.17,3,6.52,15048
15,49,56,7,12.5,26,46.43,4,7.14,13,23.21,1,1.79,5,8.93,15049
15,50,160,14,8.75,113,70.63,8,5.0,19,11.88,2,1.25,4,2.5,15050
16,1,91,12,13.19,31,34.07,5,5.49,37,40.66,2,2.2,4,4.4,16001
16,2,155,13,8.39,71,45.81,4,2.58,51,32.9,4,2.58,12,7.74,16002
16,3,149,24,16.11,40,26.85,18,12.08,26,17.45,24,16.11,17,11.41,16003
16,4,47,6,12.77,12,25.53,3,6.38,17,36.17,4,8.51,5,10.64,16004
16,5,156,11,7.05,60,38.46,36,23.08,26,16.67,9,5.77,14,8.97,16005
16,6,118,13,11.02,49,41.53,21,17.8,24,20.34,6,5.08,5,4.24,16006
16,7,88,36,40.91,28,31.82,10,11.36,9,10.23,1,1.14,4,4.55,16007
16,8,163,12,7.36,91,55.83,5,3.07,34,20.86,8,4.91,13,7.98,16008
16,9,228,26,11.4,94,41.23,31,13.6,47,20.61,24,10.53,6,2.63,16009
16,10,201,11,5.47,62,30.85,9,4.48,26,12.94,82,40.8,11,5.47,16010
16,12,108,10,9.26,51,47.22,7,6.48,24,22.22,5,4.63,11,10.19,16012
16,13,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,16013
16,14,144,14,9.72,63,43.75,11,7.64,28,19.44,13,9.03,15,10.42,16014
16,15,140,14,10.0,60,42.86,13,9.29,31,22.14,9,6.43,13,9.29,16015
16,16,71,7,9.86,29,40.85,5,7.04,10,14.08,9,12.68,11,15.49,16016
16,17,38,4,10.53,16,42.11,4,10.53,5,13.16,6,15.79,3,7.89,16017
16,18,97,8,8.25,43,44.33,3,3.09,23,23.71,9,9.28,11,11.34,16018
16,19,127,6,4.72,71,55.91,5,3.94,29,22.83,6,4.72,10,7.87,16019
16,20,164,9,5.49,73,44.51,30,18.29,26,15.85,13,7.93,13,7.93,16020
16,22,124,9,7.26,55,44.35,23,18.55,16,12.9,13,10.48,8,6.45,16022
16,24,119,11,9.24,54,45.38,7,5.88,21,17.65,11,9.24,15,12.61,16024
16,25,98,3,3.06,20,20.41,3,3.06,59,60.2,7,7.14,6,6.12,16025
16,26,183,16,8.74,82,44.81,9,4.92,39,21.31,19,10.38,18,9.84,16026
16,27,114,11,9.65,32,28.07,7,6.14,35,30.7,15,13.16,14,12.28,16027
16,28,168,18,10.71,87,51.79,18,10.71,30,17.86,11,6.55,4,2.38,16028
16,29,104,16,15.38,31,29.81,11,10.58,29,27.88,3,2.88,14,13.46,16029
16,30,169,13,7.69,69,40.83,15,8.88,35,20.71,13,7.69,24,14.2,16030
16,31,155,18,11.61,65,41.94,15,9.68,35,22.58,16,10.32,6,3.87,16031
16,32,44,3,6.82,16,36.36,5,11.36,14,31.82,4,9.09,2,4.55,16032
16,33,120,5,4.17,44,36.67,24,20.0,25,20.83,11,9.17,11,9.17,16033
16,34,113,15,13.27,31,27.43,6,5.31,40,35.4,14,12.39,7,6.19,16034
16,35,102,8,7.84,28,27.45,7,6.86,36,35.29,11,10.78,12,11.76,16035
16,36,138,24,17.39,44,31.88,12,8.7,20,14.49,21,15.22,17,12.32,16036
16,37,101,10,9.9,42,41.58,4,3.96,14,13.86,11,10.89,20,19.8,16037
16,38,214,14,6.54,145,67.76,6,2.8,31,14.49,6,2.8,12,5.61,16038
16,39,137,14,10.22,53,38.69,19,13.87,36,26.28,7,5.11,8,5.84,16039
16,40,220,25,11.36,60,27.27,20,9.09,82,37.27,21,9.55,12,5.45,16040
16,41,77,15,19.48,31,40.26,3,3.9,22,28.57,5,6.49,1,1.3,16041
17,13,1,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,17013
17,14,66,13,19.7,17,25.76,9,13.64,16,24.24,9,13.64,2,3.03,17014
17,19,20,3,15.0,2,10.0,1,5.0,10,50.0,4,20.0,0,0.0,17019
17,42,31,2,6.45,7,22.58,5,16.13,5,16.13,9,29.03,3,9.68,17042
20,12,4,0,0.0,1,25.0,0,0.0,0,0.0,1,25.0,2,50.0,20012
20,13,1,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,20013
20,16,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20016
20,17,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20017
20,19,146,16,10.96,44,30.14,15,10.27,47,32.19,15,10.27,9,6.16,20019
20,20,144,9,6.25,48,33.33,8,5.56,54,37.5,11,7.64,14,9.72,20020
20,21,131,15,11.45,40,30.53,2,1.53,54,41.22,4,3.05,16,12.21,20021
20,25,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20025
20,39,143,13,9.09,49,34.27,8,5.59,60,41.96,10,6.99,3,2.1,20039
20,44,163,62,38.04,45,27.61,3,1.84,34,20.86,9,5.52,10,6.13,20044
25,14,34,2,5.88,5,14.71,5,14.71,19,55.88,0,0.0,3,8.82,25014
25,21,165,19,11.52,18,10.91,5,3.03,112,67.88,6,3.64,5,3.03,25021
