ward,precinct,total,JESSE RUBEN JUAREZ,JESSE RUBEN JUAREZ Percent,"ANTONIO """"TONY"""" MUNOZ","ANTONIO """"TONY"""" MUNOZ Percent",precinct_id
26,6,147,65,44.22,82,55.78,26006
26,8,75,30,40.0,45,60.0,26008
26,9,113,54,47.79,59,52.21,26009
26,10,108,40,37.04,68,62.96,26010
26,11,161,49,30.43,112,69.57,26011
26,12,115,47,40.87,68,59.13,26012
26,13,150,55,36.67,95,63.33,26013
26,14,196,81,41.33,115,58.67,26014
26,15,78,29,37.18,49,62.82,26015
26,16,110,45,40.91,65,59.09,26016
26,17,128,48,37.5,80,62.5,26017
26,18,144,65,45.14,79,54.86,26018
26,19,167,48,28.74,119,71.26,26019
26,20,80,39,48.75,41,51.25,26020
26,21,99,35,35.35,64,64.65,26021
26,22,63,23,36.51,40,63.49,26022
26,23,121,45,37.19,76,62.81,26023
26,24,159,54,33.96,105,66.04,26024
26,25,166,56,33.73,110,66.27,26025
26,26,69,31,44.93,38,55.07,26026
26,27,73,34,46.58,39,53.42,26027
26,28,176,44,25.0,132,75.0,26028
26,29,133,61,45.86,72,54.14,26029
26,30,60,26,43.33,34,56.67,26030
26,32,157,49,31.21,108,68.79,26032
26,33,127,36,28.35,91,71.65,26033
26,34,140,47,33.57,93,66.43,26034
26,35,123,52,42.28,71,57.72,26035
26,36,162,43,26.54,119,73.46,26036
26,37,125,46,36.8,79,63.2,26037
26,38,94,47,50.0,47,50.0,26038
27,15,0,0,0.0,0,0.0,27015
27,18,0,0,0.0,0,0.0,27018
27,30,2,2,100.0,0,0.0,27030
27,32,105,57,54.29,48,45.71,27032
27,35,80,41,51.25,39,48.75,27035
27,55,21,8,38.1,13,61.9,27055
29,2,82,35,42.68,47,57.32,29002
29,6,59,18,30.51,41,69.49,29006
29,7,126,50,39.68,76,60.32,29007
29,17,137,52,37.96,85,62.04,29017
29,30,26,9,34.62,17,65.38,29030
29,39,138,31,22.46,107,77.54,29039
29,48,68,18,26.47,50,73.53,29048
29,52,143,56,39.16,87,60.84,29052
29,54,13,7,53.85,6,46.15,29054
30,4,141,57,40.43,84,59.57,30004
30,16,0,0,0.0,0,0.0,30016
30,17,92,40,43.48,52,56.52,30017
30,19,1,0,0.0,1,100.0,30019
30,20,87,36,41.38,51,58.62,30020
30,21,40,16,40.0,24,60.0,30021
30,24,71,22,30.99,49,69.01,30024
30,25,131,48,36.64,83,63.36,30025
30,33,31,12,38.71,19,61.29,30033
30,36,110,36,32.73,74,67.27,30036
30,41,56,24,42.86,32,57.14,30041
30,45,117,49,41.88,68,58.12,30045
31,1,87,32,36.78,55,63.22,31001
31,2,114,44,38.6,70,61.4,31002
31,3,133,39,29.32,94,70.68,31003
31,4,177,62,35.03,115,64.97,31004
31,5,72,30,41.67,42,58.33,31005
31,6,39,11,28.21,28,71.79,31006
31,7,98,37,37.76,61,62.24,31007
31,8,84,23,27.38,61,72.62,31008
31,9,103,34,33.01,69,66.99,31009
31,10,116,29,25.0,87,75.0,31010
31,11,98,35,35.71,63,64.29,31011
31,12,158,41,25.95,117,74.05,31012
31,13,95,28,29.47,67,70.53,31013
31,14,146,46,31.51,100,68.49,31014
31,15,103,34,33.01,69,66.99,31015
31,16,98,32,32.65,66,67.35,31016
31,17,155,51,32.9,104,67.1,31017
31,18,14,8,57.14,6,42.86,31018
31,20,96,35,36.46,61,63.54,31020
31,21,95,26,27.37,69,72.63,31021
31,22,112,40,35.71,72,64.29,31022
31,23,124,36,29.03,88,70.97,31023
31,24,167,71,42.51,96,57.49,31024
31,25,131,43,32.82,88,67.18,31025
31,26,31,10,32.26,21,67.74,31026
31,27,97,28,28.87,69,71.13,31027
31,28,116,38,32.76,78,67.24,31028
31,29,76,29,38.16,47,61.84,31029
31,30,97,40,41.24,57,58.76,31030
31,31,171,61,35.67,110,64.33,31031
31,32,74,31,41.89,43,58.11,31032
31,33,167,52,31.14,115,68.86,31033
31,34,147,55,37.41,92,62.59,31034
31,35,104,32,30.77,72,69.23,31035
31,36,157,47,29.94,110,70.06,31036
31,37,122,42,34.43,80,65.57,31037
31,38,108,28,25.93,80,74.07,31038
31,39,103,33,32.04,70,67.96,31039
31,40,114,46,40.35,68,59.65,31040
31,41,82,37,45.12,45,54.88,31041
31,42,86,25,29.07,61,70.93,31042
31,43,81,24,29.63,57,70.37,31043
31,44,114,36,31.58,78,68.42,31044
31,45,83,35,42.17,48,57.83,31045
32,1,13,4,30.77,9,69.23,32001
32,2,83,35,42.17,48,57.83,32002
32,3,91,30,32.97,61,67.03,32003
32,4,183,96,52.46,87,47.54,32004
32,5,90,35,38.89,55,61.11,32005
32,11,140,66,47.14,74,52.86,32011
32,12,8,5,62.5,3,37.5,32012
32,14,71,27,38.03,44,61.97,32014
32,16,132,52,39.39,80,60.61,32016
32,17,79,41,51.9,38,48.1,32017
32,28,77,28,36.36,49,63.64,32028
32,29,113,55,48.67,58,51.33,32029
32,30,110,45,40.91,65,59.09,32030
32,31,137,65,47.45,72,52.55,32031
32,33,93,45,48.39,48,51.61,32033
32,34,139,58,41.73,81,58.27,32034
32,35,151,72,47.68,79,52.32,32035
32,36,164,74,45.12,90,54.88,32036
32,47,56,24,42.86,32,57.14,32047
33,1,183,60,32.79,123,67.21,33001
33,2,269,60,22.3,209,77.7,33002
33,3,152,44,28.95,108,71.05,33003
33,4,220,47,21.36,173,78.64,33004
33,5,136,42,30.88,94,69.12,33005
33,6,202,57,28.22,145,71.78,33006
33,7,48,10,20.83,38,79.17,33007
33,10,197,51,25.89,146,74.11,33010
33,12,209,59,28.23,150,71.77,33012
33,13,236,63,26.69,173,73.31,33013
33,15,50,14,28.0,36,72.0,33015
33,17,199,46,23.12,153,76.88,33017
33,19,142,52,36.62,90,63.38,33019
33,20,196,51,26.02,145,73.98,33020
33,21,154,31,20.13,123,79.87,33021
33,22,92,17,18.48,75,81.52,33022
33,23,26,6,23.08,20,76.92,33023
33,24,17,6,35.29,11,64.71,33024
33,26,141,47,33.33,94,66.67,33026
33,28,15,8,53.33,7,46.67,33028
33,30,148,45,30.41,103,69.59,33030
33,31,159,29,18.24,130,81.76,33031
33,32,46,15,32.61,31,67.39,33032
33,33,173,41,23.7,132,76.3,33033
33,34,177,45,25.42,132,74.58,33034
33,35,177,56,31.64,121,68.36,33035
33,36,233,45,19.31,188,80.69,33036
33,37,9,2,22.22,7,77.78,33037
35,1,94,36,38.3,58,61.7,35001
35,2,174,62,35.63,112,64.37,35002
35,3,99,30,30.3,69,69.7,35003
35,4,64,19,29.69,45,70.31,35004
35,5,154,41,26.62,113,73.38,35005
35,6,123,48,39.02,75,60.98,35006
35,7,140,50,35.71,90,64.29,35007
35,8,45,10,22.22,35,77.78,35008
35,9,125,52,41.6,73,58.4,35009
35,10,106,32,30.19,74,69.81,35010
35,11,87,28,32.18,59,67.82,35011
35,12,137,61,44.53,76,55.47,35012
35,13,186,78,41.94,108,58.06,35013
35,14,140,52,37.14,88,62.86,35014
35,15,148,67,45.27,81,54.73,35015
35,16,135,43,31.85,92,68.15,35016
35,17,146,53,36.3,93,63.7,35017
35,18,146,54,36.99,92,63.01,35018
35,19,146,48,32.88,98,67.12,35019
35,20,65,27,41.54,38,58.46,35020
35,21,214,79,36.92,135,63.08,35021
35,22,114,40,35.09,74,64.91,35022
35,23,120,47,39.17,73,60.83,35023
35,24,136,48,35.29,88,64.71,35024
35,25,129,43,33.33,86,66.67,35025
35,26,97,42,43.3,55,56.7,35026
35,27,189,64,33.86,125,66.14,35027
35,28,114,52,45.61,62,54.39,35028
35,29,143,34,23.78,109,76.22,35029
35,30,209,66,31.58,143,68.42,35030
35,31,143,50,34.97,93,65.03,35031
35,32,85,28,32.94,57,67.06,35032
35,33,82,30,36.59,52,63.41,35033
35,34,159,53,33.33,106,66.67,35034
35,35,79,17,21.52,62,78.48,35035
36,3,19,7,36.84,12,63.16,36003
36,4,58,24,41.38,34,58.62,36004
36,33,45,13,28.89,32,71.11,36033
36,44,30,9,30.0,21,70.0,36044
36,54,31,14,45.16,17,54.84,36054
36,55,17,5,29.41,12,70.59,36055
37,42,11,8,72.73,3,27.27,37042
39,22,8,2,25.0,6,75.0,39022
39,27,81,33,40.74,48,59.26,39027
39,29,82,29,35.37,53,64.63,39029
