ward,precinct,total,JOSEPH G. GEBHART,JOSEPH G. GEBHART Percent,ERIN KATHLEEN FARRELL,ERIN KATHLEEN FARRELL Percent,JOSEPH E. KEATING,JOSEPH E. KEATING Percent,ANTHONY LYNN BURRELL,ANTHONY LYNN BURRELL Percent,SUSAN SALITA,SUSAN SALITA Percent,precinct_id
24,13,113,12,10.62,7,6.19,10,8.85,74,65.49,10,8.85,24013
24,14,191,18,9.42,23,12.04,16,8.38,108,56.54,26,13.61,24014
24,15,127,11,8.66,19,14.96,11,8.66,70,55.12,16,12.6,24015
24,16,109,6,5.5,6,5.5,12,11.01,73,66.97,12,11.01,24016
24,17,124,10,8.06,16,12.9,13,10.48,69,55.65,16,12.9,24017
24,18,85,11,12.94,11,12.94,9,10.59,45,52.94,9,10.59,24018
24,19,110,9,8.18,14,12.73,12,10.91,62,56.36,13,11.82,24019
24,20,170,22,12.94,24,14.12,14,8.24,93,54.71,17,10.0,24020
24,21,109,11,10.09,13,11.93,13,11.93,49,44.95,23,21.1,24021
24,22,151,14,9.27,13,8.61,23,15.23,78,51.66,23,15.23,24022
24,23,147,13,8.84,16,10.88,18,12.24,82,55.78,18,12.24,24023
24,24,111,8,7.21,11,9.91,14,12.61,66,59.46,12,10.81,24024
24,25,151,15,9.93,17,11.26,18,11.92,86,56.95,15,9.93,24025
24,26,152,15,9.87,18,11.84,21,13.82,77,50.66,21,13.82,24026
24,27,70,5,7.14,7,10.0,5,7.14,47,67.14,6,8.57,24027
24,28,171,17,9.94,12,7.02,13,7.6,124,72.51,5,2.92,24028
24,29,149,16,10.74,21,14.09,18,12.08,74,49.66,20,13.42,24029
24,30,132,12,9.09,12,9.09,12,9.09,82,62.12,14,10.61,24030
24,31,137,13,9.49,22,16.06,15,10.95,61,44.53,26,18.98,24031
24,32,153,11,7.19,10,6.54,19,12.42,99,64.71,14,9.15,24032
24,33,102,12,11.76,14,13.73,11,10.78,53,51.96,12,11.76,24033
24,34,108,8,7.41,15,13.89,16,14.81,55,50.93,14,12.96,24034
24,35,144,16,11.11,25,17.36,18,12.5,59,40.97,26,18.06,24035
24,36,124,10,8.06,17,13.71,7,5.65,80,64.52,10,8.06,24036
24,37,144,9,6.25,22,15.28,13,9.03,78,54.17,22,15.28,24037
24,38,158,21,13.29,11,6.96,7,4.43,100,63.29,19,12.03,24038
24,39,145,13,8.97,12,8.28,16,11.03,94,64.83,10,6.9,24039
24,40,197,19,9.64,22,11.17,24,12.18,105,53.3,27,13.71,24040
24,41,116,15,12.93,14,12.07,12,10.34,61,52.59,14,12.07,24041
24,42,129,10,7.75,14,10.85,17,13.18,70,54.26,18,13.95,24042
24,43,130,11,8.46,15,11.54,16,12.31,73,56.15,15,11.54,24043
24,45,114,10,8.77,9,7.89,16,14.04,66,57.89,13,11.4,24045
24,46,134,14,10.45,18,13.43,10,7.46,83,61.94,9,6.72,24046
24,47,132,15,11.36,10,7.58,17,12.88,70,53.03,20,15.15,24047
24,48,30,0,0.0,3,10.0,2,6.67,20,66.67,5,16.67,24048
24,49,169,12,7.1,13,7.69,18,10.65,98,57.99,28,16.57,24049
24,50,209,24,11.48,22,10.53,24,11.48,111,53.11,28,13.4,24050
24,51,203,17,8.37,22,10.84,26,12.81,112,55.17,26,12.81,24051
24,52,152,16,10.53,17,11.18,17,11.18,75,49.34,27,17.76,24052
25,4,237,27,11.39,48,20.25,22,9.28,35,14.77,105,44.3,25004
25,10,53,3,5.66,5,9.43,4,7.55,32,60.38,9,16.98,25010
26,2,110,12,10.91,16,14.55,13,11.82,19,17.27,50,45.45,26002
27,1,46,4,8.7,9,19.57,4,8.7,7,15.22,22,47.83,27001
27,2,118,12,10.17,19,16.1,14,11.86,43,36.44,30,25.42,27002
27,3,111,15,13.51,18,16.22,12,10.81,45,40.54,21,18.92,27003
27,7,89,10,11.24,19,21.35,14,15.73,13,14.61,33,37.08,27007
27,8,66,11,16.67,6,9.09,7,10.61,26,39.39,16,24.24,27008
27,11,97,6,6.19,10,10.31,10,10.31,51,52.58,20,20.62,27011
27,15,93,13,13.98,12,12.9,12,12.9,26,27.96,30,32.26,27015
27,17,153,22,14.38,16,10.46,17,11.11,42,27.45,56,36.6,27017
27,19,113,13,11.5,14,12.39,10,8.85,42,37.17,34,30.09,27019
27,22,124,12,9.68,13,10.48,16,12.9,52,41.94,31,25.0,27022
27,23,103,18,17.48,13,12.62,8,7.77,42,40.78,22,21.36,27023
27,24,136,20,14.71,16,11.76,17,12.5,47,34.56,36,26.47,27024
27,25,93,16,17.2,8,8.6,5,5.38,47,50.54,17,18.28,27025
27,26,240,28,11.67,30,12.5,35,14.58,91,37.92,56,23.33,27026
27,27,67,8,11.94,9,13.43,2,2.99,28,41.79,20,29.85,27027
27,29,92,11,11.96,6,6.52,9,9.78,30,32.61,36,39.13,27029
27,31,108,9,8.33,21,19.44,14,12.96,38,35.19,26,24.07,27031
27,33,96,6,6.25,7,7.29,15,15.63,45,46.88,23,23.96,27033
27,34,123,14,11.38,11,8.94,14,11.38,40,32.52,44,35.77,27034
27,36,147,10,6.8,19,12.93,12,8.16,78,53.06,28,19.05,27036
27,40,94,14,14.89,9,9.57,7,7.45,30,31.91,34,36.17,27040
27,41,128,15,11.72,32,25.0,17,13.28,9,7.03,55,42.97,27041
27,44,165,19,11.52,20,12.12,22,13.33,75,45.45,29,17.58,27044
27,45,164,11,6.71,20,12.2,13,7.93,51,31.1,69,42.07,27045
27,46,142,10,7.04,9,6.34,9,6.34,32,22.54,82,57.75,27046
27,47,96,8,8.33,12,12.5,13,13.54,45,46.88,18,18.75,27047
27,48,166,21,12.65,18,10.84,27,16.27,64,38.55,36,21.69,27048
27,49,109,15,13.76,20,18.35,16,14.68,38,34.86,20,18.35,27049
27,53,133,11,8.27,25,18.8,30,22.56,15,11.28,52,39.1,27053
27,56,75,9,12.0,18,24.0,6,8.0,5,6.67,37,49.33,27056
27,57,82,4,4.88,18,21.95,4,4.88,4,4.88,52,63.41,27057
27,58,114,15,13.16,30,26.32,12,10.53,17,14.91,40,35.09,27058
27,59,43,8,18.6,5,11.63,3,6.98,18,41.86,9,20.93,27059
28,1,165,21,12.73,15,9.09,13,7.88,91,55.15,25,15.15,28001
28,2,89,6,6.74,9,10.11,17,19.1,47,52.81,10,11.24,28002
28,3,102,5,4.9,12,11.76,12,11.76,56,54.9,17,16.67,28003
28,4,194,20,10.31,35,18.04,20,10.31,103,53.09,16,8.25,28004
28,5,126,11,8.73,15,11.9,10,7.94,75,59.52,15,11.9,28005
28,6,159,14,8.81,19,11.95,7,4.4,100,62.89,19,11.95,28006
28,7,193,24,12.44,27,13.99,19,9.84,98,50.78,25,12.95,28007
28,8,86,9,10.47,15,17.44,2,2.33,40,46.51,20,23.26,28008
28,9,132,14,10.61,16,12.12,15,11.36,78,59.09,9,6.82,28009
28,10,164,7,4.27,13,7.93,23,14.02,102,62.2,19,11.59,28010
28,11,113,9,7.96,12,10.62,13,11.5,60,53.1,19,16.81,28011
28,12,104,9,8.65,14,13.46,8,7.69,46,44.23,27,25.96,28012
28,13,114,16,14.04,11,9.65,8,7.02,64,56.14,15,13.16,28013
28,14,49,4,8.16,4,8.16,6,12.24,6,12.24,29,59.18,28014
28,15,76,10,13.16,3,3.95,7,9.21,44,57.89,12,15.79,28015
28,16,117,17,14.53,12,10.26,11,9.4,50,42.74,27,23.08,28016
28,17,78,12,15.38,11,14.1,7,8.97,32,41.03,16,20.51,28017
28,18,170,17,10.0,20,11.76,12,7.06,96,56.47,25,14.71,28018
28,19,118,9,7.63,11,9.32,16,13.56,73,61.86,9,7.63,28019
28,20,151,18,11.92,17,11.26,14,9.27,64,42.38,38,25.17,28020
28,21,134,18,13.43,7,5.22,11,8.21,85,63.43,13,9.7,28021
28,22,134,10,7.46,12,8.96,8,5.97,93,69.4,11,8.21,28022
28,23,146,21,14.38,17,11.64,13,8.9,68,46.58,27,18.49,28023
28,24,72,6,8.33,11,15.28,10,13.89,33,45.83,12,16.67,28024
28,25,139,13,9.35,13,9.35,14,10.07,82,58.99,17,12.23,28025
28,26,124,9,7.26,12,9.68,9,7.26,72,58.06,22,17.74,28026
28,27,73,10,13.7,5,6.85,5,6.85,40,54.79,13,17.81,28027
28,28,112,8,7.14,7,6.25,10,8.93,61,54.46,26,23.21,28028
28,29,140,24,17.14,13,9.29,16,11.43,67,47.86,20,14.29,28029
28,30,73,7,9.59,6,8.22,8,10.96,36,49.32,16,21.92,28030
28,31,114,17,14.91,11,9.65,15,13.16,58,50.88,13,11.4,28031
28,32,117,16,13.68,15,12.82,15,12.82,44,37.61,27,23.08,28032
28,33,93,12,12.9,10,10.75,19,20.43,37,39.78,15,16.13,28033
28,34,141,14,9.93,19,13.48,24,17.02,68,48.23,16,11.35,28034
28,35,105,8,7.62,10,9.52,12,11.43,52,49.52,23,21.9,28035
28,36,116,9,7.76,12,10.34,7,6.03,72,62.07,16,13.79,28036
28,37,146,14,9.59,14,9.59,24,16.44,78,53.42,16,10.96,28037
28,38,98,12,12.24,8,8.16,11,11.22,46,46.94,21,21.43,28038
28,39,55,9,16.36,10,18.18,2,3.64,26,47.27,8,14.55,28039
28,40,137,13,9.49,20,14.6,11,8.03,77,56.2,16,11.68,28040
28,41,81,5,6.17,6,7.41,4,4.94,47,58.02,19,23.46,28041
28,42,89,5,5.62,9,10.11,7,7.87,52,58.43,16,17.98,28042
28,43,74,6,8.11,8,10.81,5,6.76,44,59.46,11,14.86,28043
28,44,70,11,15.71,5,7.14,10,14.29,35,50.0,9,12.86,28044
28,45,81,11,13.58,6,7.41,9,11.11,45,55.56,10,12.35,28045
28,46,94,9,9.57,14,14.89,9,9.57,49,52.13,13,13.83,28046
28,47,129,10,7.75,13,10.08,6,4.65,81,62.79,19,14.73,28047
28,48,35,2,5.71,6,17.14,1,2.86,22,62.86,4,11.43,28048
28,49,86,5,5.81,14,16.28,14,16.28,46,53.49,7,8.14,28049
28,50,69,8,11.59,3,4.35,8,11.59,41,59.42,9,13.04,28050
28,51,111,6,5.41,11,9.91,13,11.71,57,51.35,24,21.62,28051
28,52,130,12,9.23,14,10.77,18,13.85,73,56.15,13,10.0,28052
28,53,41,5,12.2,4,9.76,4,9.76,12,29.27,16,39.02,28053
28,54,74,11,14.86,6,8.11,6,8.11,35,47.3,16,21.62,28054
28,55,71,11,15.49,6,8.45,12,16.9,29,40.85,13,18.31,28055
28,56,92,11,11.96,14,15.22,9,9.78,51,55.43,7,7.61,28056
28,57,120,13,10.83,16,13.33,12,10.0,60,50.0,19,15.83,28057
28,58,80,12,15.0,9,11.25,8,10.0,31,38.75,20,25.0,28058
28,59,97,5,5.15,9,9.28,9,9.28,60,61.86,14,14.43,28059
28,60,99,8,8.08,14,14.14,8,8.08,54,54.55,15,15.15,28060
28,61,68,7,10.29,12,17.65,10,14.71,31,45.59,8,11.76,28061
29,1,168,23,13.69,21,12.5,11,6.55,100,59.52,13,7.74,29001
29,3,156,15,9.62,13,8.33,17,10.9,99,63.46,12,7.69,29003
29,4,201,8,3.98,20,9.95,15,7.46,127,63.18,31,15.42,29004
29,5,173,17,9.83,20,11.56,20,11.56,104,60.12,12,6.94,29005
29,8,194,19,9.79,18,9.28,16,8.25,120,61.86,21,10.82,29008
29,9,128,16,12.5,8,6.25,13,10.16,70,54.69,21,16.41,29009
29,10,154,16,10.39,15,9.74,11,7.14,96,62.34,16,10.39,29010
29,11,154,15,9.74,26,16.88,12,7.79,76,49.35,25,16.23,29011
29,12,148,17,11.49,17,11.49,16,10.81,76,51.35,22,14.86,29012
29,13,204,17,8.33,21,10.29,11,5.39,139,68.14,16,7.84,29013
29,14,153,14,9.15,13,8.5,14,9.15,98,64.05,14,9.15,29014
29,15,192,18,9.38,34,17.71,11,5.73,119,61.98,10,5.21,29015
29,16,169,7,4.14,19,11.24,6,3.55,124,73.37,13,7.69,29016
29,18,204,7,3.43,6,2.94,13,6.37,162,79.41,16,7.84,29018
29,19,152,12,7.89,17,11.18,10,6.58,97,63.82,16,10.53,29019
29,20,220,15,6.82,25,11.36,16,7.27,151,68.64,13,5.91,29020
29,21,129,12,9.3,17,13.18,18,13.95,69,53.49,13,10.08,29021
29,22,101,17,16.83,19,18.81,14,13.86,30,29.7,21,20.79,29022
29,23,115,14,12.17,9,7.83,8,6.96,76,66.09,8,6.96,29023
29,26,171,8,4.68,22,12.87,11,6.43,103,60.23,27,15.79,29026
29,27,108,12,11.11,13,12.04,12,11.11,55,50.93,16,14.81,29027
29,28,125,9,7.2,17,13.6,10,8.0,74,59.2,15,12.0,29028
29,29,250,14,5.6,22,8.8,20,8.0,164,65.6,30,12.0,29029
29,31,174,13,7.47,17,9.77,18,10.34,102,58.62,24,13.79,29031
29,32,166,14,8.43,24,14.46,9,5.42,103,62.05,16,9.64,29032
29,33,155,12,7.74,17,10.97,14,9.03,100,64.52,12,7.74,29033
29,34,110,9,8.18,17,15.45,5,4.55,52,47.27,27,24.55,29034
29,35,236,11,4.66,10,4.24,14,5.93,188,79.66,13,5.51,29035
29,37,171,21,12.28,20,11.7,16,9.36,85,49.71,29,16.96,29037
29,38,165,18,10.91,26,15.76,11,6.67,93,56.36,17,10.3,29038
29,40,249,19,7.63,26,10.44,24,9.64,159,63.86,21,8.43,29040
29,41,228,20,8.77,14,6.14,17,7.46,153,67.11,24,10.53,29041
29,42,122,15,12.3,11,9.02,5,4.1,82,67.21,9,7.38,29042
29,43,230,22,9.57,29,12.61,15,6.52,136,59.13,28,12.17,29043
29,44,181,10,5.52,17,9.39,15,8.29,108,59.67,31,17.13,29044
29,45,153,10,6.54,16,10.46,8,5.23,98,64.05,21,13.73,29045
29,46,141,11,7.8,14,9.93,12,8.51,92,65.25,12,8.51,29046
29,47,263,25,9.51,29,11.03,20,7.6,143,54.37,46,17.49,29047
29,50,209,17,8.13,17,8.13,16,7.66,126,60.29,33,15.79,29050
29,51,167,19,11.38,16,9.58,23,13.77,87,52.1,22,13.17,29051
29,55,37,6,16.22,3,8.11,3,8.11,18,48.65,7,18.92,29055
29,56,136,17,12.5,10,7.35,9,6.62,82,60.29,18,13.24,29056
37,1,125,16,12.8,12,9.6,9,7.2,71,56.8,17,13.6,37001
37,4,155,13,8.39,16,10.32,10,6.45,90,58.06,26,16.77,37004
37,5,134,17,12.69,20,14.93,12,8.96,74,55.22,11,8.21,37005
37,6,253,24,9.49,17,6.72,23,9.09,100,39.53,89,35.18,37006
37,7,190,20,10.53,15,7.89,16,8.42,119,62.63,20,10.53,37007
37,8,117,15,12.82,13,11.11,19,16.24,42,35.9,28,23.93,37008
37,9,140,17,12.14,16,11.43,17,12.14,73,52.14,17,12.14,37009
37,13,134,12,8.96,20,14.93,16,11.94,44,32.84,42,31.34,37013
37,14,161,12,7.45,16,9.94,17,10.56,93,57.76,23,14.29,37014
37,15,134,10,7.46,11,8.21,14,10.45,61,45.52,38,28.36,37015
37,17,142,17,11.97,14,9.86,15,10.56,72,50.7,24,16.9,37017
37,18,158,14,8.86,17,10.76,15,9.49,63,39.87,49,31.01,37018
37,19,131,13,9.92,10,7.63,14,10.69,64,48.85,30,22.9,37019
37,20,169,16,9.47,20,11.83,12,7.1,65,38.46,56,33.14,37020
37,21,166,20,12.05,18,10.84,22,13.25,78,46.99,28,16.87,37021
37,22,117,15,12.82,10,8.55,9,7.69,74,63.25,9,7.69,37022
37,23,106,8,7.55,10,9.43,11,10.38,41,38.68,36,33.96,37023
37,24,150,11,7.33,18,12.0,9,6.0,85,56.67,27,18.0,37024
37,25,184,16,8.7,23,12.5,9,4.89,75,40.76,61,33.15,37025
37,26,170,12,7.06,29,17.06,10,5.88,100,58.82,19,11.18,37026
37,27,83,13,15.66,9,10.84,10,12.05,40,48.19,11,13.25,37027
37,28,114,21,18.42,17,14.91,16,14.04,47,41.23,13,11.4,37028
37,29,176,15,8.52,17,9.66,14,7.95,88,50.0,42,23.86,37029
37,30,117,8,6.84,12,10.26,7,5.98,54,46.15,36,30.77,37030
37,31,256,18,7.03,25,9.77,24,9.38,144,56.25,45,17.58,37031
37,32,146,12,8.22,24,16.44,15,10.27,80,54.79,15,10.27,37032
37,33,156,19,12.18,12,7.69,14,8.97,83,53.21,28,17.95,37033
37,34,145,20,13.79,14,9.66,11,7.59,80,55.17,20,13.79,37034
37,36,126,7,5.56,16,12.7,7,5.56,80,63.49,16,12.7,37036
37,37,170,19,11.18,10,5.88,17,10.0,104,61.18,20,11.76,37037
37,38,158,7,4.43,11,6.96,15,9.49,94,59.49,31,19.62,37038
37,39,112,12,10.71,14,12.5,8,7.14,62,55.36,16,14.29,37039
37,40,164,12,7.32,17,10.37,19,11.59,59,35.98,57,34.76,37040
37,41,228,15,6.58,23,10.09,19,8.33,87,38.16,84,36.84,37041
37,43,204,21,10.29,20,9.8,13,6.37,92,45.1,58,28.43,37043
37,45,127,19,14.96,16,12.6,12,9.45,54,42.52,26,20.47,37045
37,46,134,7,5.22,18,13.43,16,11.94,78,58.21,15,11.19,37046
37,48,136,19,13.97,10,7.35,19,13.97,70,51.47,18,13.24,37048
37,49,137,16,11.68,17,12.41,18,13.14,66,48.18,20,14.6,37049
37,50,51,7,13.73,10,19.61,6,11.76,19,37.25,9,17.65,37050
37,51,102,10,9.8,13,12.75,11,10.78,42,41.18,26,25.49,37051
42,21,91,15,16.48,23,25.27,7,7.69,8,8.79,38,41.76,42021
42,26,94,12,12.77,29,30.85,6,6.38,10,10.64,37,39.36,42026
42,39,151,12,7.95,42,27.81,19,12.58,19,12.58,59,39.07,42039
42,48,61,6,9.84,11,18.03,7,11.48,7,11.48,30,49.18,42048
42,49,116,18,15.52,31,26.72,15,12.93,16,13.79,36,31.03,42049
