ward,precinct,total,EARLEAN COLLINS,EARLEAN COLLINS Percent,IVAN V. WILLIAMS,IVAN V. WILLIAMS Percent,LUTHER FRANKLIN SPENCE,LUTHER FRANKLIN SPENCE Percent,IOLA McGOWAN,IOLA McGOWAN Percent,precinct_id
27,26,266,178,66.92,13,4.89,13,4.89,62,23.31,27026
27,27,78,51,65.38,3,3.85,6,7.69,18,23.08,27027
27,29,97,60,61.86,8,8.25,4,4.12,25,25.77,27029
27,30,50,16,32.0,6,12.0,1,2.0,27,54.0,27030
27,31,115,76,66.09,6,5.22,6,5.22,27,23.48,27031
27,33,107,58,54.21,4,3.74,10,9.35,35,32.71,27033
27,34,137,82,59.85,6,4.38,7,5.11,42,30.66,27034
27,36,156,110,70.51,11,7.05,6,3.85,29,18.59,27036
27,40,105,54,51.43,3,2.86,5,4.76,43,40.95,27040
27,44,181,122,67.4,14,7.73,10,5.52,35,19.34,27044
27,45,183,104,56.83,11,6.01,4,2.19,64,34.97,27045
27,46,156,50,32.05,8,5.13,6,3.85,92,58.97,27046
27,47,104,68,65.38,8,7.69,2,1.92,26,25.0,27047
27,48,183,127,69.4,12,6.56,11,6.01,33,18.03,27048
27,49,119,76,63.87,14,11.76,7,5.88,22,18.49,27049
27,54,13,4,30.77,3,23.08,2,15.38,4,30.77,27054
27,55,28,6,21.43,3,10.71,2,7.14,17,60.71,27055
27,57,73,29,39.73,14,19.18,3,4.11,27,36.99,27057
27,59,48,33,68.75,8,16.67,1,2.08,6,12.5,27059
28,1,188,143,76.06,12,6.38,6,3.19,27,14.36,28001
28,2,98,78,79.59,4,4.08,3,3.06,13,13.27,28002
28,3,142,121,85.21,7,4.93,4,2.82,10,7.04,28003
28,4,222,172,77.48,7,3.15,10,4.5,33,14.86,28004
28,5,144,104,72.22,9,6.25,5,3.47,26,18.06,28005
28,6,181,150,82.87,4,2.21,11,6.08,16,8.84,28006
28,7,209,172,82.3,9,4.31,7,3.35,21,10.05,28007
28,8,95,65,68.42,8,8.42,4,4.21,18,18.95,28008
28,9,149,126,84.56,4,2.68,2,1.34,17,11.41,28009
28,11,131,99,75.57,7,5.34,8,6.11,17,12.98,28011
28,12,120,92,76.67,4,3.33,3,2.5,21,17.5,28012
28,13,124,101,81.45,4,3.23,1,0.81,18,14.52,28013
28,15,86,74,86.05,2,2.33,0,0.0,10,11.63,28015
28,16,136,100,73.53,6,4.41,2,1.47,28,20.59,28016
28,18,192,153,79.69,7,3.65,8,4.17,24,12.5,28018
28,19,148,116,78.38,9,6.08,6,4.05,17,11.49,28019
28,20,173,141,81.5,7,4.05,10,5.78,15,8.67,28020
28,21,155,131,84.52,8,5.16,3,1.94,13,8.39,28021
28,22,153,127,83.01,10,6.54,6,3.92,10,6.54,28022
28,23,165,132,80.0,1,0.61,7,4.24,25,15.15,28023
28,24,84,61,72.62,6,7.14,5,5.95,12,14.29,28024
28,25,159,130,81.76,9,5.66,4,2.52,16,10.06,28025
28,26,139,110,79.14,8,5.76,1,0.72,20,14.39,28026
28,27,79,62,78.48,4,5.06,5,6.33,8,10.13,28027
28,28,131,97,74.05,4,3.05,6,4.58,24,18.32,28028
28,30,87,71,81.61,3,3.45,2,2.3,11,12.64,28030
28,31,134,112,83.58,3,2.24,5,3.73,14,10.45,28031
28,33,104,82,78.85,11,10.58,3,2.88,8,7.69,28033
28,37,183,152,83.06,6,3.28,4,2.19,21,11.48,28037
28,38,118,93,78.81,6,5.08,1,0.85,18,15.25,28038
28,40,158,136,86.08,6,3.8,3,1.9,13,8.23,28040
28,41,82,54,65.85,3,3.66,5,6.1,20,24.39,28041
28,42,101,80,79.21,2,1.98,3,2.97,16,15.84,28042
28,43,83,68,81.93,3,3.61,3,3.61,9,10.84,28043
28,44,88,65,73.86,4,4.55,3,3.41,16,18.18,28044
28,45,96,68,70.83,5,5.21,7,7.29,16,16.67,28045
28,46,117,96,82.05,9,7.69,4,3.42,8,6.84,28046
28,47,147,110,74.83,6,4.08,3,2.04,28,19.05,28047
28,51,135,110,81.48,7,5.19,5,3.7,13,9.63,28051
28,55,76,56,73.68,5,6.58,3,3.95,12,15.79,28055
28,56,119,98,82.35,2,1.68,3,2.52,16,13.45,28056
28,57,134,99,73.88,3,2.24,7,5.22,25,18.66,28057
28,58,94,66,70.21,4,4.26,3,3.19,21,22.34,28058
28,59,100,84,84.0,4,4.0,4,4.0,8,8.0,28059
28,60,117,84,71.79,12,10.26,3,2.56,18,15.38,28060
28,61,78,58,74.36,6,7.69,1,1.28,13,16.67,28061
29,1,189,162,85.71,6,3.17,4,2.12,17,8.99,29001
29,3,180,142,78.89,7,3.89,1,0.56,30,16.67,29003
29,4,212,167,78.77,6,2.83,5,2.36,34,16.04,29004
29,5,204,168,82.35,8,3.92,9,4.41,19,9.31,29005
29,8,209,140,66.99,12,5.74,9,4.31,48,22.97,29008
29,9,140,104,74.29,11,7.86,2,1.43,23,16.43,29009
29,10,194,175,90.21,4,2.06,2,1.03,13,6.7,29010
29,11,181,130,71.82,8,4.42,7,3.87,36,19.89,29011
29,12,167,114,68.26,7,4.19,13,7.78,33,19.76,29012
29,13,227,182,80.18,14,6.17,7,3.08,24,10.57,29013
29,14,193,139,72.02,2,1.04,3,1.55,49,25.39,29014
29,15,217,159,73.27,7,3.23,3,1.38,48,22.12,29015
29,16,180,165,91.67,5,2.78,6,3.33,4,2.22,29016
29,18,213,175,82.16,11,5.16,4,1.88,23,10.8,29018
29,19,170,141,82.94,3,1.76,4,2.35,22,12.94,29019
29,20,245,205,83.67,2,0.82,6,2.45,32,13.06,29020
29,21,148,115,77.7,8,5.41,5,3.38,20,13.51,29021
29,22,119,68,57.14,10,8.4,7,5.88,34,28.57,29022
29,23,134,108,80.6,5,3.73,2,1.49,19,14.18,29023
29,24,205,154,75.12,20,9.76,6,2.93,25,12.2,29024
29,25,261,224,85.82,6,2.3,8,3.07,23,8.81,29025
29,26,183,155,84.7,4,2.19,6,3.28,18,9.84,29026
29,27,118,99,83.9,6,5.08,2,1.69,11,9.32,29027
29,28,140,105,75.0,2,1.43,7,5.0,26,18.57,29028
29,29,257,198,77.04,6,2.33,4,1.56,49,19.07,29029
29,30,131,110,83.97,9,6.87,5,3.82,7,5.34,29030
29,31,201,149,74.13,9,4.48,6,2.99,37,18.41,29031
29,32,181,123,67.96,11,6.08,9,4.97,38,20.99,29032
29,33,181,109,60.22,8,4.42,7,3.87,57,31.49,29033
29,34,134,92,68.66,5,3.73,5,3.73,32,23.88,29034
29,35,265,225,84.91,9,3.4,4,1.51,27,10.19,29035
29,36,235,196,83.4,12,5.11,3,1.28,24,10.21,29036
29,37,182,127,69.78,6,3.3,8,4.4,41,22.53,29037
29,38,183,131,71.58,8,4.37,10,5.46,34,18.58,29038
29,40,272,207,76.1,5,1.84,5,1.84,55,20.22,29040
29,41,258,188,72.87,11,4.26,11,4.26,48,18.6,29041
29,42,141,114,80.85,5,3.55,4,2.84,18,12.77,29042
29,43,275,211,76.73,12,4.36,9,3.27,43,15.64,29043
29,44,208,143,68.75,11,5.29,9,4.33,45,21.63,29044
29,45,184,145,78.8,12,6.52,6,3.26,21,11.41,29045
29,46,158,117,74.05,5,3.16,3,1.9,33,20.89,29046
29,47,299,193,64.55,11,3.68,4,1.34,91,30.43,29047
29,49,288,243,84.38,16,5.56,10,3.47,19,6.6,29049
29,50,237,178,75.11,18,7.59,4,1.69,37,15.61,29050
29,51,181,116,64.09,10,5.52,8,4.42,47,25.97,29051
29,55,39,24,61.54,2,5.13,1,2.56,12,30.77,29055
29,56,150,122,81.33,5,3.33,1,0.67,22,14.67,29056
31,19,25,12,48.0,4,16.0,1,4.0,8,32.0,31019
32,6,0,0,0.0,0,0.0,0,0.0,0,0.0,32006
32,11,125,46,36.8,37,29.6,11,8.8,31,24.8,32011
36,23,111,72,64.86,10,9.01,3,2.7,26,23.42,36023
36,24,195,107,54.87,20,10.26,15,7.69,53,27.18,36024
36,26,299,146,48.83,11,3.68,8,2.68,134,44.82,36026
36,43,223,106,47.53,18,8.07,5,2.24,94,42.15,36043
36,44,175,105,60.0,15,8.57,9,5.14,46,26.29,36044
36,54,253,169,66.8,22,8.7,8,3.16,54,21.34,36054
37,1,138,90,65.22,2,1.45,7,5.07,39,28.26,37001
37,3,76,44,57.89,11,14.47,3,3.95,18,23.68,37003
37,4,167,110,65.87,5,2.99,3,1.8,49,29.34,37004
37,5,142,81,57.04,10,7.04,8,5.63,43,30.28,37005
37,6,291,168,57.73,15,5.15,7,2.41,101,34.71,37006
37,7,213,163,76.53,12,5.63,6,2.82,32,15.02,37007
37,8,121,78,64.46,10,8.26,5,4.13,28,23.14,37008
37,9,161,116,72.05,5,3.11,9,5.59,31,19.25,37009
37,10,250,162,64.8,11,4.4,9,3.6,68,27.2,37010
37,11,33,19,57.58,4,12.12,1,3.03,9,27.27,37011
37,12,151,84,55.63,10,6.62,5,3.31,52,34.44,37012
37,13,150,102,68.0,8,5.33,5,3.33,35,23.33,37013
37,14,185,131,70.81,11,5.95,5,2.7,38,20.54,37014
37,15,143,86,60.14,5,3.5,4,2.8,48,33.57,37015
37,16,244,170,69.67,14,5.74,10,4.1,50,20.49,37016
37,17,157,104,66.24,11,7.01,10,6.37,32,20.38,37017
37,18,173,106,61.27,4,2.31,10,5.78,53,30.64,37018
37,19,140,96,68.57,6,4.29,5,3.57,33,23.57,37019
37,20,172,101,58.72,9,5.23,11,6.4,51,29.65,37020
37,21,188,108,57.45,8,4.26,7,3.72,65,34.57,37021
37,22,130,83,63.85,8,6.15,4,3.08,35,26.92,37022
37,23,115,69,60.0,1,0.87,4,3.48,41,35.65,37023
37,24,159,117,73.58,3,1.89,7,4.4,32,20.13,37024
37,25,200,121,60.5,6,3.0,4,2.0,69,34.5,37025
37,26,178,112,62.92,13,7.3,3,1.69,50,28.09,37026
37,27,104,69,66.35,5,4.81,6,5.77,24,23.08,37027
37,28,132,96,72.73,7,5.3,13,9.85,16,12.12,37028
37,29,194,105,54.12,6,3.09,9,4.64,74,38.14,37029
37,30,125,67,53.6,6,4.8,4,3.2,48,38.4,37030
37,31,290,194,66.9,13,4.48,5,1.72,78,26.9,37031
37,32,158,103,65.19,11,6.96,8,5.06,36,22.78,37032
37,33,184,116,63.04,7,3.8,12,6.52,49,26.63,37033
37,34,199,130,65.33,7,3.52,5,2.51,57,28.64,37034
37,35,22,11,50.0,3,13.64,2,9.09,6,27.27,37035
37,36,136,84,61.76,8,5.88,5,3.68,39,28.68,37036
37,37,193,121,62.69,11,5.7,9,4.66,52,26.94,37037
37,38,171,81,47.37,9,5.26,4,2.34,77,45.03,37038
37,39,124,95,76.61,4,3.23,6,4.84,19,15.32,37039
37,40,174,80,45.98,10,5.75,5,2.87,79,45.4,37040
37,41,259,147,56.76,10,3.86,10,3.86,92,35.52,37041
37,43,222,135,60.81,10,4.5,6,2.7,71,31.98,37043
37,44,193,124,64.25,10,5.18,3,1.55,56,29.02,37044
37,45,135,93,68.89,7,5.19,9,6.67,26,19.26,37045
37,46,158,115,72.78,3,1.9,8,5.06,32,20.25,37046
37,47,23,11,47.83,1,4.35,1,4.35,10,43.48,37047
37,48,159,113,71.07,10,6.29,4,2.52,32,20.13,37048
37,49,142,91,64.08,9,6.34,11,7.75,31,21.83,37049
37,50,50,40,80.0,1,2.0,1,2.0,8,16.0,37050
37,51,124,79,63.71,5,4.03,4,3.23,36,29.03,37051
