ward,precinct,total,JAMES FITZGERALD SMITH,JAMES FITZGERALD SMITH Percent,ROGER G. FEIN,ROGER G. FEIN Percent,WILLIAM D. O'NEAL,WILLIAM D. O'NEAL Percent,THOMAS H. FEGAN,THOMAS H. FEGAN Percent,precinct_id
2,17,130,58,44.62,31,23.85,34,26.15,7,5.38,02017
2,18,190,79,41.58,9,4.74,87,45.79,15,7.89,02018
2,19,67,31,46.27,7,10.45,28,41.79,1,1.49,02019
2,20,125,65,52.0,7,5.6,43,34.4,10,8.0,02020
2,21,144,61,42.36,17,11.81,55,38.19,11,7.64,02021
2,22,307,80,26.06,74,24.1,72,23.45,81,26.38,02022
2,23,101,43,42.57,9,8.91,37,36.63,12,11.88,02023
2,24,70,22,31.43,7,10.0,34,48.57,7,10.0,02024
2,25,68,27,39.71,11,16.18,24,35.29,6,8.82,02025
2,26,98,40,40.82,22,22.45,25,25.51,11,11.22,02026
2,27,19,4,21.05,3,15.79,4,21.05,8,42.11,02027
2,28,207,79,38.16,15,7.25,96,46.38,17,8.21,02028
2,29,70,35,50.0,9,12.86,18,25.71,8,11.43,02029
2,30,105,40,38.1,8,7.62,49,46.67,8,7.62,02030
2,31,171,56,32.75,29,16.96,64,37.43,22,12.87,02031
2,32,86,32,37.21,7,8.14,41,47.67,6,6.98,02032
2,33,217,91,41.94,24,11.06,82,37.79,20,9.22,02033
2,34,148,45,30.41,18,12.16,76,51.35,9,6.08,02034
2,35,30,9,30.0,4,13.33,9,30.0,8,26.67,02035
2,36,55,22,40.0,9,16.36,18,32.73,6,10.91,02036
2,37,172,51,29.65,47,27.33,33,19.19,41,23.84,02037
2,38,121,61,50.41,15,12.4,33,27.27,12,9.92,02038
2,39,161,86,53.42,22,13.66,40,24.84,13,8.07,02039
2,40,154,57,37.01,27,17.53,44,28.57,26,16.88,02040
2,41,38,13,34.21,4,10.53,20,52.63,1,2.63,02041
2,42,45,17,37.78,8,17.78,16,35.56,4,8.89,02042
2,43,170,46,27.06,44,25.88,37,21.76,43,25.29,02043
2,44,145,45,31.03,25,17.24,60,41.38,15,10.34,02044
2,45,58,20,34.48,7,12.07,26,44.83,5,8.62,02045
2,46,258,91,35.27,30,11.63,116,44.96,21,8.14,02046
2,47,88,35,39.77,16,18.18,26,29.55,11,12.5,02047
2,48,177,54,30.51,18,10.17,87,49.15,18,10.17,02048
2,49,56,18,32.14,10,17.86,10,17.86,18,32.14,02049
2,50,71,30,42.25,13,18.31,20,28.17,8,11.27,02050
2,51,136,61,44.85,15,11.03,48,35.29,12,8.82,02051
2,52,109,53,48.62,17,15.6,30,27.52,9,8.26,02052
2,53,71,24,33.8,7,9.86,29,40.85,11,15.49,02053
2,54,139,34,24.46,38,27.34,34,24.46,33,23.74,02054
2,55,111,36,32.43,16,14.41,36,32.43,23,20.72,02055
2,56,44,18,40.91,8,18.18,16,36.36,2,4.55,02056
3,1,108,38,35.19,9,8.33,56,51.85,5,4.63,03001
3,2,214,70,32.71,14,6.54,116,54.21,14,6.54,03002
3,3,22,5,22.73,1,4.55,14,63.64,2,9.09,03003
3,4,52,23,44.23,2,3.85,22,42.31,5,9.62,03004
3,5,0,0,0.0,0,0.0,0,0.0,0,0.0,03005
3,6,0,0,0.0,0,0.0,0,0.0,0,0.0,03006
3,7,0,0,0.0,0,0.0,0,0.0,0,0.0,03007
3,8,79,24,30.38,13,16.46,30,37.97,12,15.19,03008
3,9,92,41,44.57,6,6.52,37,40.22,8,8.7,03009
3,10,81,26,32.1,6,7.41,42,51.85,7,8.64,03010
3,11,105,38,36.19,5,4.76,51,48.57,11,10.48,03011
3,12,140,40,28.57,11,7.86,84,60.0,5,3.57,03012
3,13,5,1,20.0,0,0.0,4,80.0,0,0.0,03013
3,14,55,24,43.64,7,12.73,21,38.18,3,5.45,03014
3,15,109,32,29.36,6,5.5,60,55.05,11,10.09,03015
3,16,212,57,26.89,8,3.77,141,66.51,6,2.83,03016
3,17,132,45,34.09,9,6.82,70,53.03,8,6.06,03017
3,18,110,51,46.36,8,7.27,48,43.64,3,2.73,03018
3,19,63,23,36.51,6,9.52,29,46.03,5,7.94,03019
3,20,34,13,38.24,6,17.65,13,38.24,2,5.88,03020
3,21,82,17,20.73,7,8.54,54,65.85,4,4.88,03021
3,22,108,44,40.74,7,6.48,48,44.44,9,8.33,03022
3,23,45,21,46.67,3,6.67,18,40.0,3,6.67,03023
3,24,125,59,47.2,9,7.2,50,40.0,7,5.6,03024
3,25,29,17,58.62,1,3.45,7,24.14,4,13.79,03025
3,26,82,29,35.37,8,9.76,38,46.34,7,8.54,03026
3,27,24,9,37.5,3,12.5,12,50.0,0,0.0,03027
3,28,132,49,37.12,10,7.58,54,40.91,19,14.39,03028
3,29,0,0,0.0,0,0.0,0,0.0,0,0.0,03029
3,30,124,40,32.26,10,8.06,62,50.0,12,9.68,03030
3,31,139,50,35.97,5,3.6,77,55.4,7,5.04,03031
3,32,154,55,35.71,12,7.79,75,48.7,12,7.79,03032
3,33,143,59,41.26,16,11.19,57,39.86,11,7.69,03033
3,34,42,11,26.19,9,21.43,20,47.62,2,4.76,03034
3,35,106,36,33.96,4,3.77,63,59.43,3,2.83,03035
3,36,46,12,26.09,6,13.04,25,54.35,3,6.52,03036
3,37,95,40,42.11,16,16.84,38,40.0,1,1.05,03037
3,38,171,62,36.26,11,6.43,82,47.95,16,9.36,03038
3,39,227,75,33.04,13,5.73,121,53.3,18,7.93,03039
3,40,119,36,30.25,6,5.04,67,56.3,10,8.4,03040
3,41,103,41,39.81,6,5.83,46,44.66,10,9.71,03041
3,42,65,29,44.62,3,4.62,28,43.08,5,7.69,03042
3,43,0,0,0.0,0,0.0,0,0.0,0,0.0,03043
3,44,89,19,21.35,6,6.74,61,68.54,3,3.37,03044
3,45,60,20,33.33,10,16.67,26,43.33,4,6.67,03045
3,46,20,9,45.0,0,0.0,11,55.0,0,0.0,03046
3,47,103,44,42.72,8,7.77,40,38.83,11,10.68,03047
3,48,127,39,30.71,9,7.09,71,55.91,8,6.3,03048
3,49,127,42,33.07,13,10.24,66,51.97,6,4.72,03049
3,50,150,37,24.67,4,2.67,104,69.33,5,3.33,03050
3,51,54,26,48.15,7,12.96,13,24.07,8,14.81,03051
3,52,175,61,34.86,11,6.29,92,52.57,11,6.29,03052
4,1,167,32,19.16,77,46.11,34,20.36,24,14.37,04001
4,2,37,18,48.65,5,13.51,7,18.92,7,18.92,04002
4,3,217,68,31.34,74,34.1,57,26.27,18,8.29,04003
4,4,202,80,39.6,61,30.2,49,24.26,12,5.94,04004
4,5,174,58,33.33,48,27.59,52,29.89,16,9.2,04005
4,6,0,0,0.0,0,0.0,0,0.0,0,0.0,04006
4,7,118,26,22.03,57,48.31,26,22.03,9,7.63,04007
4,8,233,70,30.04,89,38.2,64,27.47,10,4.29,04008
4,9,370,86,23.24,119,32.16,141,38.11,24,6.49,04009
4,10,275,102,37.09,79,28.73,72,26.18,22,8.0,04010
4,11,171,66,38.6,50,29.24,44,25.73,11,6.43,04011
4,12,134,36,26.87,64,47.76,28,20.9,6,4.48,04012
4,13,222,60,27.03,89,40.09,51,22.97,22,9.91,04013
4,14,90,26,28.89,38,42.22,16,17.78,10,11.11,04014
4,15,74,28,37.84,22,29.73,19,25.68,5,6.76,04015
4,16,175,57,32.57,43,24.57,63,36.0,12,6.86,04016
4,17,193,53,27.46,56,29.02,57,29.53,27,13.99,04017
4,18,132,56,42.42,28,21.21,37,28.03,11,8.33,04018
4,19,30,6,20.0,9,30.0,13,43.33,2,6.67,04019
4,20,59,24,40.68,6,10.17,21,35.59,8,13.56,04020
4,21,191,50,26.18,80,41.88,45,23.56,16,8.38,04021
4,22,220,50,22.73,72,32.73,62,28.18,36,16.36,04022
4,23,131,25,19.08,63,48.09,26,19.85,17,12.98,04023
4,24,171,59,34.5,69,40.35,27,15.79,16,9.36,04024
4,25,194,58,29.9,60,30.93,66,34.02,10,5.15,04025
4,26,157,52,33.12,59,37.58,37,23.57,9,5.73,04026
4,27,174,58,33.33,42,24.14,59,33.91,15,8.62,04027
4,28,150,28,18.67,63,42.0,29,19.33,30,20.0,04028
4,29,134,50,37.31,36,26.87,25,18.66,23,17.16,04029
4,30,46,20,43.48,11,23.91,11,23.91,4,8.7,04030
4,31,43,24,55.81,1,2.33,14,32.56,4,9.3,04031
4,32,173,36,20.81,62,35.84,40,23.12,35,20.23,04032
4,33,55,25,45.45,9,16.36,17,30.91,4,7.27,04033
4,34,122,20,16.39,51,41.8,24,19.67,27,22.13,04034
4,35,98,49,50.0,13,13.27,29,29.59,7,7.14,04035
4,36,186,53,28.49,57,30.65,61,32.8,15,8.06,04036
4,37,90,43,47.78,14,15.56,23,25.56,10,11.11,04037
4,38,230,75,32.61,79,34.35,57,24.78,19,8.26,04038
4,39,85,34,40.0,13,15.29,30,35.29,8,9.41,04039
4,40,146,55,37.67,35,23.97,40,27.4,16,10.96,04040
4,41,120,27,22.5,40,33.33,29,24.17,24,20.0,04041
4,42,117,30,25.64,50,42.74,31,26.5,6,5.13,04042
4,43,97,23,23.71,49,50.52,13,13.4,12,12.37,04043
4,44,89,20,22.47,37,41.57,20,22.47,12,13.48,04044
4,45,316,69,21.84,153,48.42,62,19.62,32,10.13,04045
4,46,172,47,27.33,63,36.63,44,25.58,18,10.47,04046
4,47,214,57,26.64,94,43.93,35,16.36,28,13.08,04047
4,48,230,54,23.48,93,40.43,50,21.74,33,14.35,04048
4,49,44,16,36.36,12,27.27,15,34.09,1,2.27,04049
4,50,140,48,34.29,56,40.0,28,20.0,8,5.71,04050
4,51,192,57,29.69,44,22.92,60,31.25,31,16.15,04051
4,52,37,17,45.95,4,10.81,13,35.14,3,8.11,04052
4,53,22,12,54.55,1,4.55,7,31.82,2,9.09,04053
4,54,77,28,36.36,25,32.47,17,22.08,7,9.09,04054
4,55,86,12,13.95,51,59.3,8,9.3,15,17.44,04055
5,1,176,63,35.8,19,10.8,85,48.3,9,5.11,05001
5,2,157,57,36.31,16,10.19,75,47.77,9,5.73,05002
5,3,192,90,46.88,19,9.9,65,33.85,18,9.38,05003
5,4,215,81,37.67,26,12.09,91,42.33,17,7.91,05004
5,5,131,53,40.46,10,7.63,53,40.46,15,11.45,05005
5,6,179,61,34.08,18,10.06,77,43.02,23,12.85,05006
5,7,164,45,27.44,19,11.59,90,54.88,10,6.1,05007
5,8,176,34,19.32,79,44.89,20,11.36,43,24.43,05008
5,9,179,51,28.49,12,6.7,100,55.87,16,8.94,05009
5,10,111,47,42.34,18,16.22,36,32.43,10,9.01,05010
5,11,56,8,14.29,23,41.07,6,10.71,19,33.93,05011
5,12,161,71,44.1,27,16.77,52,32.3,11,6.83,05012
5,13,156,55,35.26,11,7.05,75,48.08,15,9.62,05013
5,14,116,24,20.69,38,32.76,34,29.31,20,17.24,05014
5,15,117,56,47.86,7,5.98,42,35.9,12,10.26,05015
5,16,134,55,41.04,11,8.21,53,39.55,15,11.19,05016
5,17,102,38,37.25,8,7.84,47,46.08,9,8.82,05017
5,18,109,47,43.12,14,12.84,36,33.03,12,11.01,05018
5,19,131,55,41.98,12,9.16,54,41.22,10,7.63,05019
5,20,104,51,49.04,9,8.65,31,29.81,13,12.5,05020
5,21,235,103,43.83,26,11.06,87,37.02,19,8.09,05021
5,22,187,86,45.99,13,6.95,78,41.71,10,5.35,05022
5,23,122,56,45.9,15,12.3,40,32.79,11,9.02,05023
5,24,143,42,29.37,37,25.87,35,24.48,29,20.28,05024
5,25,132,55,41.67,9,6.82,59,44.7,9,6.82,05025
5,26,102,58,56.86,11,10.78,30,29.41,3,2.94,05026
5,27,40,8,20.0,10,25.0,11,27.5,11,27.5,05027
5,28,194,83,42.78,25,12.89,70,36.08,16,8.25,05028
5,29,124,44,35.48,18,14.52,58,46.77,4,3.23,05029
5,30,110,11,10.0,52,47.27,5,4.55,42,38.18,05030
5,31,153,60,39.22,22,14.38,54,35.29,17,11.11,05031
5,32,243,86,35.39,41,16.87,97,39.92,19,7.82,05032
5,33,194,86,44.33,19,9.79,71,36.6,18,9.28,05033
5,34,91,38,41.76,10,10.99,32,35.16,11,12.09,05034
5,35,95,40,42.11,18,18.95,27,28.42,10,10.53,05035
5,36,187,88,47.06,17,9.09,65,34.76,17,9.09,05036
5,37,92,26,28.26,21,22.83,24,26.09,21,22.83,05037
5,38,177,44,24.86,56,31.64,31,17.51,46,25.99,05038
5,39,140,12,8.57,52,37.14,18,12.86,58,41.43,05039
5,40,132,75,56.82,9,6.82,42,31.82,6,4.55,05040
5,41,90,10,11.11,33,36.67,11,12.22,36,40.0,05041
5,42,141,48,34.04,14,9.93,72,51.06,7,4.96,05042
5,43,179,59,32.96,23,12.85,76,42.46,21,11.73,05043
5,44,160,63,39.38,21,13.13,62,38.75,14,8.75,05044
5,45,109,58,53.21,13,11.93,27,24.77,11,10.09,05045
5,46,142,45,31.69,38,26.76,34,23.94,25,17.61,05046
5,47,140,61,43.57,16,11.43,52,37.14,11,7.86,05047
5,48,115,36,31.3,28,24.35,32,27.83,19,16.52,05048
5,49,117,24,20.51,45,38.46,17,14.53,31,26.5,05049
5,50,113,48,42.48,8,7.08,47,41.59,10,8.85,05050
5,51,127,51,40.16,16,12.6,50,39.37,10,7.87,05051
5,52,103,44,42.72,16,15.53,37,35.92,6,5.83,05052
5,53,112,44,39.29,10,8.93,44,39.29,14,12.5,05053
5,54,99,36,36.36,4,4.04,51,51.52,8,8.08,05054
5,55,162,64,39.51,13,8.02,79,48.77,6,3.7,05055
5,56,98,47,47.96,11,11.22,34,34.69,6,6.12,05056
5,57,156,44,28.21,37,23.72,41,26.28,34,21.79,05057
5,58,100,38,38.0,6,6.0,48,48.0,8,8.0,05058
5,59,82,26,31.71,8,9.76,46,56.1,2,2.44,05059
6,1,257,61,23.74,26,10.12,157,61.09,13,5.06,06001
6,2,228,81,35.53,20,8.77,106,46.49,21,9.21,06002
6,3,196,77,39.29,24,12.24,78,39.8,17,8.67,06003
6,4,89,36,40.45,11,12.36,33,37.08,9,10.11,06004
6,5,90,40,44.44,14,15.56,27,30.0,9,10.0,06005
6,6,215,84,39.07,21,9.77,91,42.33,19,8.84,06006
6,7,166,67,40.36,21,12.65,69,41.57,9,5.42,06007
6,8,205,74,36.1,24,11.71,90,43.9,17,8.29,06008
6,9,249,59,23.69,24,9.64,154,61.85,12,4.82,06009
6,10,279,95,34.05,30,10.75,134,48.03,20,7.17,06010
6,11,189,66,34.92,24,12.7,81,42.86,18,9.52,06011
6,12,140,55,39.29,14,10.0,55,39.29,16,11.43,06012
6,13,193,53,27.46,19,9.84,112,58.03,9,4.66,06013
6,14,173,74,42.77,17,9.83,67,38.73,15,8.67,06014
6,15,114,53,46.49,11,9.65,35,30.7,15,13.16,06015
6,16,209,85,40.67,22,10.53,86,41.15,16,7.66,06016
6,17,218,84,38.53,17,7.8,102,46.79,15,6.88,06017
6,18,57,29,50.88,7,12.28,18,31.58,3,5.26,06018
6,19,178,58,32.58,19,10.67,82,46.07,19,10.67,06019
6,20,53,24,45.28,6,11.32,18,33.96,5,9.43,06020
6,21,208,66,31.73,21,10.1,107,51.44,14,6.73,06021
6,22,190,58,30.53,10,5.26,113,59.47,9,4.74,06022
6,23,157,52,33.12,21,13.38,76,48.41,8,5.1,06023
6,24,157,68,43.31,11,7.01,66,42.04,12,7.64,06024
6,25,185,68,36.76,21,11.35,79,42.7,17,9.19,06025
6,26,218,55,25.23,23,10.55,124,56.88,16,7.34,06026
6,27,266,88,33.08,31,11.65,137,51.5,10,3.76,06027
6,28,337,81,24.04,35,10.39,210,62.31,11,3.26,06028
6,29,249,82,32.93,30,12.05,123,49.4,14,5.62,06029
6,30,165,65,39.39,15,9.09,75,45.45,10,6.06,06030
6,31,248,101,40.73,25,10.08,99,39.92,23,9.27,06031
6,32,199,81,40.7,11,5.53,95,47.74,12,6.03,06032
6,33,225,84,37.33,22,9.78,104,46.22,15,6.67,06033
6,34,169,69,40.83,20,11.83,57,33.73,23,13.61,06034
6,35,250,88,35.2,28,11.2,120,48.0,14,5.6,06035
6,36,102,39,38.24,13,12.75,40,39.22,10,9.8,06036
6,37,243,73,30.04,35,14.4,119,48.97,16,6.58,06037
6,38,226,85,37.61,26,11.5,97,42.92,18,7.96,06038
6,39,109,44,40.37,17,15.6,35,32.11,13,11.93,06039
6,40,94,39,41.49,14,14.89,30,31.91,11,11.7,06040
6,41,231,56,24.24,23,9.96,141,61.04,11,4.76,06041
6,42,97,45,46.39,6,6.19,43,44.33,3,3.09,06042
6,43,220,75,34.09,24,10.91,91,41.36,30,13.64,06043
6,44,196,62,31.63,19,9.69,95,48.47,20,10.2,06044
6,45,103,30,29.13,15,14.56,47,45.63,11,10.68,06045
6,46,173,59,34.1,14,8.09,88,50.87,12,6.94,06046
6,47,202,66,32.67,32,15.84,87,43.07,17,8.42,06047
6,48,76,21,27.63,9,11.84,42,55.26,4,5.26,06048
6,49,159,66,41.51,14,8.81,69,43.4,10,6.29,06049
6,50,216,65,30.09,41,18.98,97,44.91,13,6.02,06050
6,51,140,46,32.86,14,10.0,74,52.86,6,4.29,06051
6,52,153,55,35.95,15,9.8,78,50.98,5,3.27,06052
6,53,161,69,42.86,17,10.56,59,36.65,16,9.94,06053
6,54,157,38,24.2,22,14.01,85,54.14,12,7.64,06054
6,55,146,43,29.45,26,17.81,70,47.95,7,4.79,06055
6,56,157,44,28.03,27,17.2,76,48.41,10,6.37,06056
6,57,108,39,36.11,16,14.81,46,42.59,7,6.48,06057
6,58,236,74,31.36,38,16.1,110,46.61,14,5.93,06058
6,59,173,63,36.42,24,13.87,71,41.04,15,8.67,06059
6,60,130,53,40.77,8,6.15,61,46.92,8,6.15,06060
6,61,123,44,35.77,16,13.01,57,46.34,6,4.88,06061
6,62,226,87,38.5,43,19.03,79,34.96,17,7.52,06062
6,63,162,60,37.04,12,7.41,78,48.15,12,7.41,06063
6,64,255,85,33.33,16,6.27,130,50.98,24,9.41,06064
7,1,278,95,34.17,110,39.57,65,23.38,8,2.88,07001
7,2,232,88,37.93,69,29.74,60,25.86,15,6.47,07002
7,3,142,55,38.73,43,30.28,33,23.24,11,7.75,07003
7,4,155,44,28.39,52,33.55,51,32.9,8,5.16,07004
7,5,128,34,26.56,52,40.63,32,25.0,10,7.81,07005
7,6,177,62,35.03,42,23.73,56,31.64,17,9.6,07006
7,7,152,48,31.58,57,37.5,37,24.34,10,6.58,07007
7,8,168,71,42.26,27,16.07,49,29.17,21,12.5,07008
7,9,207,62,29.95,53,25.6,76,36.71,16,7.73,07009
7,10,246,100,40.65,59,23.98,64,26.02,23,9.35,07010
7,11,168,53,31.55,38,22.62,65,38.69,12,7.14,07011
7,12,217,81,37.33,67,30.88,58,26.73,11,5.07,07012
7,13,93,30,32.26,23,24.73,34,36.56,6,6.45,07013
7,14,188,65,34.57,58,30.85,48,25.53,17,9.04,07014
7,15,229,81,35.37,67,29.26,57,24.89,24,10.48,07015
7,16,179,71,39.66,57,31.84,43,24.02,8,4.47,07016
7,17,146,62,42.47,28,19.18,41,28.08,15,10.27,07017
7,18,177,41,23.16,77,43.5,40,22.6,19,10.73,07018
7,19,224,91,40.63,50,22.32,66,29.46,17,7.59,07019
7,20,58,26,44.83,4,6.9,22,37.93,6,10.34,07020
7,21,193,71,36.79,54,27.98,57,29.53,11,5.7,07021
7,22,180,65,36.11,39,21.67,55,30.56,21,11.67,07022
7,23,174,51,29.31,65,37.36,46,26.44,12,6.9,07023
7,24,249,98,39.36,77,30.92,60,24.1,14,5.62,07024
7,25,178,57,32.02,55,30.9,56,31.46,10,5.62,07025
7,26,223,86,38.57,59,26.46,62,27.8,16,7.17,07026
7,27,207,83,40.1,27,13.04,75,36.23,22,10.63,07027
7,28,166,66,39.76,39,23.49,44,26.51,17,10.24,07028
7,29,113,28,24.78,38,33.63,36,31.86,11,9.73,07029
7,30,276,107,38.77,61,22.1,88,31.88,20,7.25,07030
7,31,262,107,40.84,64,24.43,68,25.95,23,8.78,07031
7,32,178,73,41.01,41,23.03,50,28.09,14,7.87,07032
7,33,213,89,41.78,46,21.6,57,26.76,21,9.86,07033
7,34,161,41,25.47,70,43.48,37,22.98,13,8.07,07034
7,35,240,88,36.67,73,30.42,65,27.08,14,5.83,07035
7,36,305,103,33.77,65,21.31,118,38.69,19,6.23,07036
7,37,239,64,26.78,56,23.43,98,41.0,21,8.79,07037
7,38,247,92,37.25,63,25.51,78,31.58,14,5.67,07038
7,39,177,57,32.2,55,31.07,53,29.94,12,6.78,07039
7,40,122,40,32.79,36,29.51,34,27.87,12,9.84,07040
7,41,230,82,35.65,58,25.22,67,29.13,23,10.0,07041
7,42,200,87,43.5,35,17.5,64,32.0,14,7.0,07042
7,43,198,66,33.33,48,24.24,71,35.86,13,6.57,07043
7,44,215,88,40.93,49,22.79,52,24.19,26,12.09,07044
7,45,275,63,22.91,133,48.36,73,26.55,6,2.18,07045
7,46,59,26,44.07,10,16.95,18,30.51,5,8.47,07046
8,1,230,81,35.22,57,24.78,77,33.48,15,6.52,08001
8,2,127,47,37.01,23,18.11,41,32.28,16,12.6,08002
8,3,284,101,35.56,62,21.83,107,37.68,14,4.93,08003
8,4,214,77,35.98,61,28.5,62,28.97,14,6.54,08004
8,5,244,72,29.51,65,26.64,87,35.66,20,8.2,08005
8,6,234,69,29.49,65,27.78,87,37.18,13,5.56,08006
8,7,157,54,34.39,46,29.3,43,27.39,14,8.92,08007
8,8,230,91,39.57,45,19.57,76,33.04,18,7.83,08008
8,9,262,99,37.79,49,18.7,92,35.11,22,8.4,08009
8,10,260,85,32.69,68,26.15,86,33.08,21,8.08,08010
8,11,158,63,39.87,35,22.15,48,30.38,12,7.59,08011
8,12,193,80,41.45,51,26.42,49,25.39,13,6.74,08012
8,13,159,42,26.42,57,35.85,52,32.7,8,5.03,08013
8,14,158,66,41.77,33,20.89,48,30.38,11,6.96,08014
8,15,173,69,39.88,27,15.61,62,35.84,15,8.67,08015
8,16,226,76,33.63,53,23.45,77,34.07,20,8.85,08016
8,17,173,74,42.77,41,23.7,44,25.43,14,8.09,08017
8,18,134,49,36.57,37,27.61,38,28.36,10,7.46,08018
8,19,234,83,35.47,42,17.95,86,36.75,23,9.83,08019
8,20,148,58,39.19,32,21.62,48,32.43,10,6.76,08020
8,21,153,51,33.33,47,30.72,44,28.76,11,7.19,08021
8,22,190,78,41.05,50,26.32,53,27.89,9,4.74,08022
8,23,181,59,32.6,50,27.62,60,33.15,12,6.63,08023
8,24,211,72,34.12,44,20.85,77,36.49,18,8.53,08024
8,25,198,66,33.33,55,27.78,67,33.84,10,5.05,08025
8,26,126,44,34.92,32,25.4,34,26.98,16,12.7,08026
8,27,239,68,28.45,73,30.54,80,33.47,18,7.53,08027
8,28,161,52,32.3,60,37.27,38,23.6,11,6.83,08028
8,29,210,62,29.52,76,36.19,60,28.57,12,5.71,08029
8,30,187,60,32.09,49,26.2,68,36.36,10,5.35,08030
8,31,167,59,35.33,56,33.53,46,27.54,6,3.59,08031
8,32,316,109,34.49,51,16.14,138,43.67,18,5.7,08032
8,33,204,52,25.49,97,47.55,42,20.59,13,6.37,08033
8,34,238,78,32.77,52,21.85,81,34.03,27,11.34,08034
8,35,247,98,39.68,54,21.86,80,32.39,15,6.07,08035
8,36,194,66,34.02,53,27.32,56,28.87,19,9.79,08036
8,37,178,83,46.63,26,14.61,50,28.09,19,10.67,08037
8,38,189,55,29.1,60,31.75,60,31.75,14,7.41,08038
8,39,233,68,29.18,49,21.03,96,41.2,20,8.58,08039
8,40,201,71,35.32,38,18.91,69,34.33,23,11.44,08040
8,41,178,58,32.58,59,33.15,53,29.78,8,4.49,08041
8,42,197,78,39.59,39,19.8,68,34.52,12,6.09,08042
8,43,158,76,48.1,23,14.56,47,29.75,12,7.59,08043
8,44,235,80,34.04,79,33.62,65,27.66,11,4.68,08044
8,45,173,52,30.06,65,37.57,45,26.01,11,6.36,08045
8,46,141,56,39.72,32,22.7,42,29.79,11,7.8,08046
