ward,precinct,total,MIKE QUIGLEY,MIKE QUIGLEY Percent,MARY ELLEN E. DALY,MARY ELLEN E. DALY Percent,precinct_id
40,46,145,81,55.86,64,44.14,40046
40,47,121,74,61.16,47,38.84,40047
43,1,89,52,58.43,37,41.57,43001
43,2,70,37,52.86,33,47.14,43002
43,3,111,69,62.16,42,37.84,43003
43,4,93,57,61.29,36,38.71,43004
43,5,120,73,60.83,47,39.17,43005
43,6,100,57,57.0,43,43.0,43006
43,7,94,58,61.7,36,38.3,43007
43,8,113,84,74.34,29,25.66,43008
43,9,74,46,62.16,28,37.84,43009
43,10,90,56,62.22,34,37.78,43010
43,11,80,49,61.25,31,38.75,43011
43,12,140,94,67.14,46,32.86,43012
43,13,75,48,64.0,27,36.0,43013
43,14,102,74,72.55,28,27.45,43014
43,15,112,69,61.61,43,38.39,43015
43,16,96,52,54.17,44,45.83,43016
43,17,137,80,58.39,57,41.61,43017
43,18,148,88,59.46,60,40.54,43018
43,19,122,75,61.48,47,38.52,43019
43,20,164,108,65.85,56,34.15,43020
43,21,67,45,67.16,22,32.84,43021
43,22,79,61,77.22,18,22.78,43022
43,23,126,71,56.35,55,43.65,43023
43,24,94,57,60.64,37,39.36,43024
43,25,122,64,52.46,58,47.54,43025
43,26,102,55,53.92,47,46.08,43026
43,27,88,55,62.5,33,37.5,43027
43,28,79,45,56.96,34,43.04,43028
43,29,75,49,65.33,26,34.67,43029
43,30,79,49,62.03,30,37.97,43030
43,31,114,66,57.89,48,42.11,43031
43,32,75,44,58.67,31,41.33,43032
43,33,65,43,66.15,22,33.85,43033
43,34,68,42,61.76,26,38.24,43034
43,35,123,72,58.54,51,41.46,43035
43,36,95,45,47.37,50,52.63,43036
43,37,83,46,55.42,37,44.58,43037
43,38,89,47,52.81,42,47.19,43038
43,39,84,48,57.14,36,42.86,43039
43,40,147,83,56.46,64,43.54,43040
43,41,100,67,67.0,33,33.0,43041
43,42,110,60,54.55,50,45.45,43042
43,43,89,54,60.67,35,39.33,43043
43,44,116,67,57.76,49,42.24,43044
43,45,101,65,64.36,36,35.64,43045
43,46,144,82,56.94,62,43.06,43046
43,47,120,70,58.33,50,41.67,43047
43,48,104,58,55.77,46,44.23,43048
43,49,93,57,61.29,36,38.71,43049
43,50,96,60,62.5,36,37.5,43050
43,51,81,49,60.49,32,39.51,43051
43,52,141,80,56.74,61,43.26,43052
43,53,124,75,60.48,49,39.52,43053
43,54,55,37,67.27,18,32.73,43054
43,55,106,57,53.77,49,46.23,43055
43,56,93,68,73.12,25,26.88,43056
43,57,55,37,67.27,18,32.73,43057
43,58,104,74,71.15,30,28.85,43058
43,59,148,99,66.89,49,33.11,43059
43,60,84,51,60.71,33,39.29,43060
44,1,164,121,73.78,43,26.22,44001
44,2,95,68,71.58,27,28.42,44002
44,3,176,118,67.05,58,32.95,44003
44,4,161,116,72.05,45,27.95,44004
44,5,128,90,70.31,38,29.69,44005
44,6,108,65,60.19,43,39.81,44006
44,7,163,105,64.42,58,35.58,44007
44,8,143,96,67.13,47,32.87,44008
44,9,157,125,79.62,32,20.38,44009
44,10,143,112,78.32,31,21.68,44010
44,11,137,109,79.56,28,20.44,44011
44,12,106,72,67.92,34,32.08,44012
44,13,148,117,79.05,31,20.95,44013
44,14,142,98,69.01,44,30.99,44014
44,15,163,127,77.91,36,22.09,44015
44,16,117,92,78.63,25,21.37,44016
44,17,172,127,73.84,45,26.16,44017
44,18,56,37,66.07,19,33.93,44018
44,19,84,66,78.57,18,21.43,44019
44,20,145,105,72.41,40,27.59,44020
44,21,127,92,72.44,35,27.56,44021
44,22,126,91,72.22,35,27.78,44022
44,23,121,84,69.42,37,30.58,44023
44,24,92,67,72.83,25,27.17,44024
44,25,151,114,75.5,37,24.5,44025
44,26,88,68,77.27,20,22.73,44026
44,27,135,96,71.11,39,28.89,44027
44,28,89,60,67.42,29,32.58,44028
44,29,124,84,67.74,40,32.26,44029
44,30,99,70,70.71,29,29.29,44030
44,31,172,128,74.42,44,25.58,44031
44,32,74,55,74.32,19,25.68,44032
44,33,153,109,71.24,44,28.76,44033
44,34,90,60,66.67,30,33.33,44034
44,35,129,90,69.77,39,30.23,44035
44,36,129,99,76.74,30,23.26,44036
44,37,192,144,75.0,48,25.0,44037
44,38,160,132,82.5,28,17.5,44038
44,39,145,112,77.24,33,22.76,44039
44,40,132,90,68.18,42,31.82,44040
44,41,143,109,76.22,34,23.78,44041
44,42,147,123,83.67,24,16.33,44042
44,43,163,122,74.85,41,25.15,44043
44,44,178,128,71.91,50,28.09,44044
44,45,59,41,69.49,18,30.51,44045
44,46,97,73,75.26,24,24.74,44046
44,47,118,80,67.8,38,32.2,44047
44,48,115,94,81.74,21,18.26,44048
44,49,109,71,65.14,38,34.86,44049
44,50,130,102,78.46,28,21.54,44050
46,1,276,165,59.78,111,40.22,46001
46,2,104,72,69.23,32,30.77,46002
46,3,168,123,73.21,45,26.79,46003
46,4,123,68,55.28,55,44.72,46004
46,5,111,83,74.77,28,25.23,46005
46,6,109,54,49.54,55,50.46,46006
46,7,210,135,64.29,75,35.71,46007
46,8,173,118,68.21,55,31.79,46008
46,9,121,73,60.33,48,39.67,46009
46,10,156,110,70.51,46,29.49,46010
46,11,170,104,61.18,66,38.82,46011
46,12,142,100,70.42,42,29.58,46012
46,13,182,91,50.0,91,50.0,46013
46,14,90,55,61.11,35,38.89,46014
46,15,140,96,68.57,44,31.43,46015
46,16,221,144,65.16,77,34.84,46016
46,17,214,148,69.16,66,30.84,46017
46,18,204,150,73.53,54,26.47,46018
46,19,160,87,54.38,73,45.63,46019
46,20,145,96,66.21,49,33.79,46020
46,22,101,58,57.43,43,42.57,46022
46,23,105,68,64.76,37,35.24,46023
46,24,131,99,75.57,32,24.43,46024
46,25,138,100,72.46,38,27.54,46025
46,26,116,71,61.21,45,38.79,46026
46,27,171,114,66.67,57,33.33,46027
46,28,123,72,58.54,51,41.46,46028
46,29,162,107,66.05,55,33.95,46029
46,30,177,99,55.93,78,44.07,46030
46,31,175,112,64.0,63,36.0,46031
46,32,205,139,67.8,66,32.2,46032
46,33,166,97,58.43,69,41.57,46033
46,34,168,114,67.86,54,32.14,46034
46,35,170,96,56.47,74,43.53,46035
46,36,190,121,63.68,69,36.32,46036
46,37,182,132,72.53,50,27.47,46037
46,38,100,67,67.0,33,33.0,46038
46,39,173,113,65.32,60,34.68,46039
48,1,171,118,69.01,53,30.99,48001
48,2,139,80,57.55,59,42.45,48002
48,3,167,103,61.68,64,38.32,48003
48,4,174,128,73.56,46,26.44,48004
48,5,149,87,58.39,62,41.61,48005
48,6,181,119,65.75,62,34.25,48006
48,7,163,113,69.33,50,30.67,48007
48,8,122,75,61.48,47,38.52,48008
48,9,142,92,64.79,50,35.21,48009
48,11,204,139,68.14,65,31.86,48011
48,12,113,78,69.03,35,30.97,48012
48,13,120,81,67.5,39,32.5,48013
48,14,195,129,66.15,66,33.85,48014
48,15,99,66,66.67,33,33.33,48015
48,16,135,93,68.89,42,31.11,48016
48,17,112,75,66.96,37,33.04,48017
48,18,92,63,68.48,29,31.52,48018
48,19,167,106,63.47,61,36.53,48019
48,20,142,104,73.24,38,26.76,48020
48,21,190,116,61.05,74,38.95,48021
48,22,217,128,58.99,89,41.01,48022
48,23,134,90,67.16,44,32.84,48023
48,24,126,69,54.76,57,45.24,48024
48,25,127,85,66.93,42,33.07,48025
48,26,158,116,73.42,42,26.58,48026
48,27,90,53,58.89,37,41.11,48027
48,28,136,85,62.5,51,37.5,48028
48,29,151,96,63.58,55,36.42,48029
48,30,101,70,69.31,31,30.69,48030
48,31,136,87,63.97,49,36.03,48031
48,32,132,87,65.91,45,34.09,48032
48,33,129,88,68.22,41,31.78,48033
48,34,147,101,68.71,46,31.29,48034
48,35,156,96,61.54,60,38.46,48035
48,36,121,80,66.12,41,33.88,48036
48,37,141,94,66.67,47,33.33,48037
48,38,187,132,70.59,55,29.41,48038
48,39,106,47,44.34,59,55.66,48039
48,40,137,71,51.82,66,48.18,48040
48,41,71,44,61.97,27,38.03,48041
48,42,171,104,60.82,67,39.18,48042
48,43,107,76,71.03,31,28.97,48043
48,44,127,76,59.84,51,40.16,48044
48,45,108,78,72.22,30,27.78,48045
48,46,85,57,67.06,28,32.94,48046
48,47,96,60,62.5,36,37.5,48047
48,48,103,64,62.14,39,37.86,48048
49,2,165,105,63.64,60,36.36,49002
49,4,66,38,57.58,28,42.42,49004
49,7,92,71,77.17,21,22.83,49007
49,9,107,68,63.55,39,36.45,49009
49,12,98,60,61.22,38,38.78,49012
49,17,36,18,50.0,18,50.0,49017
49,18,36,16,44.44,20,55.56,49018
49,21,76,52,68.42,24,31.58,49021
49,24,40,21,52.5,19,47.5,49024
49,32,124,87,70.16,37,29.84,49032
49,37,89,61,68.54,28,31.46,49037
50,8,153,106,69.28,47,30.72,50008
50,17,132,67,50.76,65,49.24,50017
50,23,97,50,51.55,47,48.45,50023
50,24,121,74,61.16,47,38.84,50024
50,25,156,100,64.1,56,35.9,50025
50,26,101,66,65.35,35,34.65,50026
50,29,139,70,50.36,69,49.64,50029
50,32,97,56,57.73,41,42.27,50032
50,34,47,35,74.47,12,25.53,50034
50,39,141,97,68.79,44,31.21,50039
50,46,105,64,60.95,41,39.05,50046
