ward,precinct,total,"WALLACE DAVIS, III","WALLACE DAVIS, III Percent",RICKEY R. HENDON,RICKEY R. HENDON Percent,JOHNNIE DAVIS,JOHNNIE DAVIS Percent,precinct_id
27,59,56,18,32.14,35,62.5,3,5.36,27059
28,2,99,36,36.36,59,59.6,4,4.04,28002
28,3,151,35,23.18,113,74.83,3,1.99,28003
28,5,156,66,42.31,87,55.77,3,1.92,28005
28,6,188,54,28.72,127,67.55,7,3.72,28006
28,7,225,80,35.56,132,58.67,13,5.78,28007
28,9,154,52,33.77,98,63.64,4,2.6,28009
28,10,207,62,29.95,140,67.63,5,2.42,28010
28,11,139,70,50.36,66,47.48,3,2.16,28011
28,13,135,38,28.15,89,65.93,8,5.93,28013
28,14,57,11,19.3,37,64.91,9,15.79,28014
28,15,97,28,28.87,65,67.01,4,4.12,28015
28,16,143,55,38.46,78,54.55,10,6.99,28016
28,17,101,40,39.6,58,57.43,3,2.97,28017
28,18,206,51,24.76,150,72.82,5,2.43,28018
28,20,201,84,41.79,109,54.23,8,3.98,28020
28,22,150,38,25.33,107,71.33,5,3.33,28022
28,23,171,62,36.26,103,60.23,6,3.51,28023
28,24,85,33,38.82,45,52.94,7,8.24,28024
28,25,161,58,36.02,99,61.49,4,2.48,28025
28,26,148,50,33.78,90,60.81,8,5.41,28026
28,28,131,55,41.98,71,54.2,5,3.82,28028
28,29,168,104,61.9,60,35.71,4,2.38,28029
28,30,93,46,49.46,42,45.16,5,5.38,28030
28,31,136,61,44.85,66,48.53,9,6.62,28031
28,32,147,57,38.78,84,57.14,6,4.08,28032
28,33,103,32,31.07,59,57.28,12,11.65,28033
28,34,170,57,33.53,107,62.94,6,3.53,28034
28,35,123,45,36.59,74,60.16,4,3.25,28035
28,36,145,37,25.52,105,72.41,3,2.07,28036
28,37,194,52,26.8,141,72.68,1,0.52,28037
28,38,120,51,42.5,64,53.33,5,4.17,28038
28,39,63,23,36.51,38,60.32,2,3.17,28039
28,41,89,35,39.33,50,56.18,4,4.49,28041
28,43,87,35,40.23,48,55.17,4,4.6,28043
28,44,95,48,50.53,41,43.16,6,6.32,28044
28,46,125,38,30.4,84,67.2,3,2.4,28046
28,48,42,17,40.48,25,59.52,0,0.0,28048
28,49,118,43,36.44,74,62.71,1,0.85,28049
28,50,91,24,26.37,67,73.63,0,0.0,28050
28,52,154,59,38.31,86,55.84,9,5.84,28052
28,53,41,18,43.9,19,46.34,4,9.76,28053
28,54,103,26,25.24,75,72.82,2,1.94,28054
28,55,78,27,34.62,48,61.54,3,3.85,28055
28,56,130,35,26.92,89,68.46,6,4.62,28056
28,57,149,80,53.69,60,40.27,9,6.04,28057
28,59,107,29,27.1,76,71.03,2,1.87,28059
31,19,27,13,48.15,12,44.44,2,7.41,31019
32,2,84,26,30.95,39,46.43,19,22.62,32002
32,4,189,86,45.5,82,43.39,21,11.11,32004
32,5,103,48,46.6,43,41.75,12,11.65,32005
32,6,136,51,37.5,63,46.32,22,16.18,32006
32,26,128,44,34.38,63,49.22,21,16.41,32026
32,29,76,25,32.89,42,55.26,9,11.84,32029
32,30,117,47,40.17,52,44.44,18,15.38,32030
32,31,145,59,40.69,64,44.14,22,15.17,32031
32,33,106,54,50.94,38,35.85,14,13.21,32033
32,34,139,53,38.13,60,43.17,26,18.71,32034
32,35,174,80,45.98,75,43.1,19,10.92,32035
32,36,179,58,32.4,88,49.16,33,18.44,32036
32,37,0,0,0.0,0,0.0,0,0.0,32037
32,46,27,9,33.33,14,51.85,4,14.81,32046
32,47,55,29,52.73,21,38.18,5,9.09,32047
37,3,83,44,53.01,32,38.55,7,8.43,37003
37,8,131,48,36.64,73,55.73,10,7.63,37008
37,11,35,20,57.14,11,31.43,4,11.43,37011
37,12,157,56,35.67,92,58.6,9,5.73,37012
37,13,159,62,38.99,86,54.09,11,6.92,37013
37,17,177,57,32.2,116,65.54,4,2.26,37017
37,19,161,53,32.92,96,59.63,12,7.45,37019
37,35,10,3,30.0,6,60.0,1,10.0,37035
37,47,25,13,52.0,10,40.0,2,8.0,37047
37,51,135,59,43.7,70,51.85,6,4.44,37051
42,9,31,13,41.94,14,45.16,4,12.9,42009
42,12,121,81,66.94,34,28.1,6,4.96,42012
42,14,109,24,22.02,74,67.89,11,10.09,42014
42,21,104,53,50.96,47,45.19,4,3.85,42021
42,26,103,39,37.86,50,48.54,14,13.59,42026
42,32,128,60,46.88,58,45.31,10,7.81,42032
42,39,190,86,45.26,90,47.37,14,7.37,42039
42,46,38,27,71.05,7,18.42,4,10.53,42046
42,48,76,36,47.37,32,42.11,8,10.53,42048
42,49,133,63,47.37,56,42.11,14,10.53,42049
42,57,1,0,0.0,0,0.0,1,100.0,42057
42,68,84,26,30.95,51,60.71,7,8.33,42068
43,1,86,34,39.53,46,53.49,6,6.98,43001
43,3,89,30,33.71,53,59.55,6,6.74,43003
43,5,101,35,34.65,64,63.37,2,1.98,43005
43,7,4,2,50.0,2,50.0,0,0.0,43007
43,9,70,33,47.14,26,37.14,11,15.71,43009
43,10,22,22,100.0,0,0.0,0,0.0,43010
43,11,13,6,46.15,6,46.15,1,7.69,43011
43,13,60,26,43.33,29,48.33,5,8.33,43013
43,15,108,33,30.56,66,61.11,9,8.33,43015
43,23,14,7,50.0,6,42.86,1,7.14,43023
43,28,70,18,25.71,34,48.57,18,25.71,43028
43,30,22,11,50.0,8,36.36,3,13.64,43030
43,40,149,65,43.62,72,48.32,12,8.05,43040
43,41,14,3,21.43,11,78.57,0,0.0,43041
43,47,126,55,43.65,64,50.79,7,5.56,43047
