ward,precinct,total,"EMIL JONES, JR.","EMIL JONES, JR. Percent",MARK A. MYERS,MARK A. MYERS Percent,precinct_id
21,68,126,123,97.62,3,2.38,21068
34,1,349,341,97.71,8,2.29,34001
34,2,238,222,93.28,16,6.72,34002
34,3,175,158,90.29,17,9.71,34003
34,4,211,196,92.89,15,7.11,34004
34,5,124,117,94.35,7,5.65,34005
34,6,253,226,89.33,27,10.67,34006
34,7,315,300,95.24,15,4.76,34007
34,8,264,249,94.32,15,5.68,34008
34,9,177,160,90.4,17,9.6,34009
34,10,318,308,96.86,10,3.14,34010
34,11,148,138,93.24,10,6.76,34011
34,12,228,221,96.93,7,3.07,34012
34,13,114,105,92.11,9,7.89,34013
34,14,137,121,88.32,16,11.68,34014
34,15,129,119,92.25,10,7.75,34015
34,16,161,142,88.2,19,11.8,34016
34,17,235,201,85.53,34,14.47,34017
34,18,155,144,92.9,11,7.1,34018
34,19,174,164,94.25,10,5.75,34019
34,20,282,269,95.39,13,4.61,34020
34,21,312,297,95.19,15,4.81,34021
34,22,303,286,94.39,17,5.61,34022
34,23,224,209,93.3,15,6.7,34023
34,24,227,214,94.27,13,5.73,34024
34,25,144,129,89.58,15,10.42,34025
34,26,179,166,92.74,13,7.26,34026
34,27,147,139,94.56,8,5.44,34027
34,28,137,132,96.35,5,3.65,34028
34,29,281,259,92.17,22,7.83,34029
34,30,325,313,96.31,12,3.69,34030
34,31,204,183,89.71,21,10.29,34031
34,32,250,243,97.2,7,2.8,34032
34,34,253,239,94.47,14,5.53,34034
34,35,290,270,93.1,20,6.9,34035
34,36,311,279,89.71,32,10.29,34036
34,37,141,133,94.33,8,5.67,34037
34,38,161,149,92.55,12,7.45,34038
34,39,145,134,92.41,11,7.59,34039
34,40,264,241,91.29,23,8.71,34040
34,41,212,193,91.04,19,8.96,34041
34,42,282,260,92.2,22,7.8,34042
34,43,278,257,92.45,21,7.55,34043
34,44,238,223,93.7,15,6.3,34044
34,45,297,276,92.93,21,7.07,34045
34,46,160,150,93.75,10,6.25,34046
34,48,245,238,97.14,7,2.86,34048
34,49,300,292,97.33,8,2.67,34049
34,50,184,169,91.85,15,8.15,34050
34,52,192,174,90.63,18,9.38,34052
34,53,183,166,90.71,17,9.29,34053
34,54,212,193,91.04,19,8.96,34054
34,55,153,144,94.12,9,5.88,34055
34,56,171,157,91.81,14,8.19,34056
34,57,139,124,89.21,15,10.79,34057
34,58,198,189,95.45,9,4.55,34058
34,59,184,170,92.39,14,7.61,34059
34,60,207,191,92.27,16,7.73,34060
34,61,217,213,98.16,4,1.84,34061
