ward,precinct,total,ANNAZETTE COLLINS,ANNAZETTE COLLINS Percent,JOSEPH WILLIAM SNEED,JOSEPH WILLIAM SNEED Percent,JULIUS D. PENN,JULIUS D. PENN Percent,precinct_id
27,55,43,29,67.44,11,25.58,3,6.98,27055
28,2,98,68,69.39,23,23.47,7,7.14,28002
28,3,138,126,91.3,9,6.52,3,2.17,28003
28,5,143,105,73.43,31,21.68,7,4.9,28005
28,6,181,147,81.22,30,16.57,4,2.21,28006
28,7,214,170,79.44,34,15.89,10,4.67,28007
28,9,150,129,86.0,20,13.33,1,0.67,28009
28,10,191,154,80.63,32,16.75,5,2.62,28010
28,11,135,110,81.48,18,13.33,7,5.19,28011
28,13,126,101,80.16,15,11.9,10,7.94,28013
28,15,90,74,82.22,12,13.33,4,4.44,28015
28,16,131,96,73.28,25,19.08,10,7.63,28016
28,18,192,152,79.17,33,17.19,7,3.65,28018
28,20,183,136,74.32,26,14.21,21,11.48,28020
28,22,146,130,89.04,12,8.22,4,2.74,28022
28,23,164,119,72.56,35,21.34,10,6.1,28023
28,24,82,56,68.29,21,25.61,5,6.1,28024
28,25,151,128,84.77,21,13.91,2,1.32,28025
28,26,144,118,81.94,18,12.5,8,5.56,28026
28,28,129,82,63.57,42,32.56,5,3.88,28028
28,29,154,112,72.73,33,21.43,9,5.84,28029
28,30,88,67,76.14,19,21.59,2,2.27,28030
28,31,130,100,76.92,21,16.15,9,6.92,28031
28,32,127,90,70.87,31,24.41,6,4.72,28032
28,33,98,69,70.41,21,21.43,8,8.16,28033
28,34,157,109,69.43,43,27.39,5,3.18,28034
28,36,138,125,90.58,8,5.8,5,3.62,28036
28,37,189,154,81.48,30,15.87,5,2.65,28037
28,38,116,97,83.62,18,15.52,1,0.86,28038
28,41,85,66,77.65,18,21.18,1,1.18,28041
28,43,90,70,77.78,13,14.44,7,7.78,28043
28,44,89,63,70.79,19,21.35,7,7.87,28044
28,46,126,109,86.51,14,11.11,3,2.38,28046
28,49,101,87,86.14,12,11.88,2,1.98,28049
28,50,82,62,75.61,19,23.17,1,1.22,28050
28,55,74,57,77.03,13,17.57,4,5.41,28055
28,56,124,104,83.87,16,12.9,4,3.23,28056
28,57,137,98,71.53,30,21.9,9,6.57,28057
28,59,103,84,81.55,15,14.56,4,3.88,28059
31,19,22,10,45.45,10,45.45,2,9.09,31019
32,2,83,36,43.37,33,39.76,14,16.87,32002
32,4,185,115,62.16,53,28.65,17,9.19,32004
32,5,100,58,58.0,35,35.0,7,7.0,32005
32,6,128,73,57.03,38,29.69,17,13.28,32006
32,26,121,71,58.68,34,28.1,16,13.22,32026
32,29,69,45,65.22,19,27.54,5,7.25,32029
32,30,108,60,55.56,36,33.33,12,11.11,32030
32,31,145,89,61.38,45,31.03,11,7.59,32031
32,33,105,66,62.86,27,25.71,12,11.43,32033
32,34,136,70,51.47,44,32.35,22,16.18,32034
32,35,165,103,62.42,50,30.3,12,7.27,32035
32,36,168,100,59.52,48,28.57,20,11.9,32036
32,37,0,0,0.0,0,0.0,0,0.0,32037
32,46,26,18,69.23,5,19.23,3,11.54,32046
32,47,57,34,59.65,17,29.82,6,10.53,32047
37,3,72,56,77.78,13,18.06,3,4.17,37003
37,8,117,82,70.09,28,23.93,7,5.98,37008
37,11,33,17,51.52,13,39.39,3,9.09,37011
37,12,142,109,76.76,27,19.01,6,4.23,37012
37,13,150,109,72.67,32,21.33,9,6.0,37013
37,17,163,120,73.62,30,18.4,13,7.98,37017
37,19,147,118,80.27,23,15.65,6,4.08,37019
37,35,10,6,60.0,3,30.0,1,10.0,37035
37,47,22,15,68.18,4,18.18,3,13.64,37047
37,51,119,94,78.99,22,18.49,3,2.52,37051
43,1,76,40,52.63,30,39.47,6,7.89,43001
43,3,85,40,47.06,36,42.35,9,10.59,43003
43,5,92,42,45.65,39,42.39,11,11.96,43005
43,7,3,2,66.67,1,33.33,0,0.0,43007
43,9,63,35,55.56,21,33.33,7,11.11,43009
43,10,20,20,100.0,0,0.0,0,0.0,43010
43,11,12,4,33.33,6,50.0,2,16.67,43011
43,13,59,27,45.76,27,45.76,5,8.47,43013
43,15,100,44,44.0,42,42.0,14,14.0,43015
43,23,13,7,53.85,3,23.08,3,23.08,43023
43,28,67,29,43.28,30,44.78,8,11.94,43028
43,30,19,10,52.63,7,36.84,2,10.53,43030
43,40,137,79,57.66,44,32.12,14,10.22,43040
43,41,12,6,50.0,4,33.33,2,16.67,43041
43,47,118,53,44.92,55,46.61,10,8.47,43047
