ward,precinct,total,WILLIAM B. RAINES,WILLIAM B. RAINES Percent,KERRY M. KENNEDY,KERRY M. KENNEDY Percent,PENELOPE MORRIS,PENELOPE MORRIS Percent,precinct_id
3,48,123,35,28.46,31,25.2,57,46.34,03048
3,49,116,32,27.59,27,23.28,57,49.14,03049
3,50,139,30,21.58,23,16.55,86,61.87,03050
3,51,57,15,26.32,24,42.11,18,31.58,03051
3,52,171,49,28.65,45,26.32,77,45.03,03052
4,1,166,28,16.87,99,59.64,39,23.49,04001
4,2,42,13,30.95,14,33.33,15,35.71,04002
4,3,235,62,26.38,115,48.94,58,24.68,04003
4,4,208,50,24.04,100,48.08,58,27.88,04004
4,5,180,51,28.33,73,40.56,56,31.11,04005
4,6,0,0,0.0,0,0.0,0,0.0,04006
4,7,125,27,21.6,64,51.2,34,27.2,04007
4,8,240,49,20.42,123,51.25,68,28.33,04008
4,9,364,69,18.96,181,49.73,114,31.32,04009
4,10,280,70,25.0,124,44.29,86,30.71,04010
4,11,174,53,30.46,77,44.25,44,25.29,04011
4,12,138,32,23.19,74,53.62,32,23.19,04012
4,13,225,50,22.22,113,50.22,62,27.56,04013
4,14,96,19,19.79,60,62.5,17,17.71,04014
4,15,75,22,29.33,33,44.0,20,26.67,04015
4,16,165,58,35.15,67,40.61,40,24.24,04016
4,17,197,44,22.34,81,41.12,72,36.55,04017
4,18,135,43,31.85,53,39.26,39,28.89,04018
4,19,32,4,12.5,16,50.0,12,37.5,04019
4,20,56,23,41.07,20,35.71,13,23.21,04020
4,21,191,39,20.42,102,53.4,50,26.18,04021
4,22,215,41,19.07,115,53.49,59,27.44,04022
4,23,131,16,12.21,75,57.25,40,30.53,04023
4,24,180,40,22.22,108,60.0,32,17.78,04024
4,25,197,50,25.38,81,41.12,66,33.5,04025
4,26,160,44,27.5,77,48.13,39,24.38,04026
4,27,180,37,20.56,78,43.33,65,36.11,04027
4,28,149,24,16.11,80,53.69,45,30.2,04028
4,29,132,28,21.21,59,44.7,45,34.09,04029
4,30,46,13,28.26,23,50.0,10,21.74,04030
4,31,47,19,40.43,13,27.66,15,31.91,04031
4,32,179,28,15.64,96,53.63,55,30.73,04032
4,33,58,21,36.21,18,31.03,19,32.76,04033
4,34,125,19,15.2,69,55.2,37,29.6,04034
4,35,97,26,26.8,29,29.9,42,43.3,04035
4,36,171,44,25.73,69,40.35,58,33.92,04036
4,37,88,32,36.36,31,35.23,25,28.41,04037
4,38,238,47,19.75,103,43.28,88,36.97,04038
4,39,84,21,25.0,27,32.14,36,42.86,04039
4,40,151,44,29.14,61,40.4,46,30.46,04040
4,41,127,23,18.11,68,53.54,36,28.35,04041
4,42,121,28,23.14,59,48.76,34,28.1,04042
4,43,96,15,15.63,62,64.58,19,19.79,04043
4,44,98,15,15.31,63,64.29,20,20.41,04044
4,45,332,54,16.27,194,58.43,84,25.3,04045
4,46,176,32,18.18,96,54.55,48,27.27,04046
4,47,216,38,17.59,115,53.24,63,29.17,04047
4,48,239,42,17.57,132,55.23,65,27.2,04048
4,49,42,8,19.05,22,52.38,12,28.57,04049
4,50,148,38,25.68,85,57.43,25,16.89,04050
4,51,201,48,23.88,84,41.79,69,34.33,04051
4,52,37,10,27.03,16,43.24,11,29.73,04052
4,53,23,7,30.43,10,43.48,6,26.09,04053
4,54,81,16,19.75,27,33.33,38,46.91,04054
4,55,86,12,13.95,55,63.95,19,22.09,04055
5,1,176,37,21.02,70,39.77,69,39.2,05001
5,2,165,50,30.3,74,44.85,41,24.85,05002
5,3,184,66,35.87,55,29.89,63,34.24,05003
5,4,220,74,33.64,53,24.09,93,42.27,05004
5,5,137,44,32.12,55,40.15,38,27.74,05005
5,6,177,61,34.46,44,24.86,72,40.68,05006
5,7,170,49,28.82,71,41.76,50,29.41,05007
5,8,155,19,12.26,89,57.42,47,30.32,05008
5,9,173,39,22.54,81,46.82,53,30.64,05009
5,10,114,41,35.96,44,38.6,29,25.44,05010
5,11,51,6,11.76,27,52.94,18,35.29,05011
5,12,160,65,40.63,47,29.38,48,30.0,05012
5,13,151,51,33.77,57,37.75,43,28.48,05013
5,14,115,24,20.87,45,39.13,46,40.0,05014
5,15,119,48,40.34,31,26.05,40,33.61,05015
5,16,131,36,27.48,48,36.64,47,35.88,05016
5,17,94,31,32.98,40,42.55,23,24.47,05017
5,18,108,42,38.89,31,28.7,35,32.41,05018
5,19,137,59,43.07,36,26.28,42,30.66,05019
5,20,104,38,36.54,40,38.46,26,25.0,05020
5,21,245,81,33.06,85,34.69,79,32.24,05021
5,22,194,65,33.51,61,31.44,68,35.05,05022
5,23,124,44,35.48,38,30.65,42,33.87,05023
5,24,144,28,19.44,53,36.81,63,43.75,05024
5,25,131,45,34.35,35,26.72,51,38.93,05025
5,26,104,35,33.65,33,31.73,36,34.62,05026
5,27,39,9,23.08,15,38.46,15,38.46,05027
5,28,203,71,34.98,52,25.62,80,39.41,05028
5,29,137,35,25.55,52,37.96,50,36.5,05029
5,30,102,10,9.8,64,62.75,28,27.45,05030
5,31,157,51,32.48,44,28.03,62,39.49,05031
5,32,244,80,32.79,69,28.28,95,38.93,05032
5,33,194,64,32.99,62,31.96,68,35.05,05033
5,34,92,33,35.87,27,29.35,32,34.78,05034
5,35,103,25,24.27,34,33.01,44,42.72,05035
5,36,194,83,42.78,60,30.93,51,26.29,05036
5,37,83,22,26.51,31,37.35,30,36.14,05037
5,38,184,30,16.3,106,57.61,48,26.09,05038
5,39,128,9,7.03,93,72.66,26,20.31,05039
5,40,134,49,36.57,43,32.09,42,31.34,05040
5,41,80,6,7.5,51,63.75,23,28.75,05041
5,42,150,39,26.0,66,44.0,45,30.0,05042
5,43,184,50,27.17,54,29.35,80,43.48,05043
5,44,162,58,35.8,51,31.48,53,32.72,05044
5,45,115,37,32.17,33,28.7,45,39.13,05045
5,46,139,31,22.3,68,48.92,40,28.78,05046
5,47,139,53,38.13,50,35.97,36,25.9,05047
5,48,117,23,19.66,46,39.32,48,41.03,05048
5,49,114,21,18.42,67,58.77,26,22.81,05049
5,50,114,45,39.47,28,24.56,41,35.96,05050
5,51,126,48,38.1,51,40.48,27,21.43,05051
5,52,100,34,34.0,29,29.0,37,37.0,05052
5,53,120,42,35.0,36,30.0,42,35.0,05053
5,54,109,30,27.52,34,31.19,45,41.28,05054
5,55,169,49,28.99,64,37.87,56,33.14,05055
5,56,97,24,24.74,37,38.14,36,37.11,05056
5,57,151,36,23.84,68,45.03,47,31.13,05057
5,58,98,35,35.71,41,41.84,22,22.45,05058
5,59,88,25,28.41,36,40.91,27,30.68,05059
6,1,255,130,50.98,43,16.86,82,32.16,06001
6,2,226,90,39.82,54,23.89,82,36.28,06002
6,3,211,89,42.18,43,20.38,79,37.44,06003
6,4,85,32,37.65,22,25.88,31,36.47,06004
6,5,94,30,31.91,34,36.17,30,31.91,06005
6,6,213,91,42.72,55,25.82,67,31.46,06006
6,7,159,56,35.22,54,33.96,49,30.82,06007
6,8,207,83,40.1,61,29.47,63,30.43,06008
6,9,252,88,34.92,42,16.67,122,48.41,06009
6,10,273,117,42.86,60,21.98,96,35.16,06010
6,11,201,73,36.32,49,24.38,79,39.3,06011
6,12,143,62,43.36,35,24.48,46,32.17,06012
6,13,181,53,29.28,45,24.86,83,45.86,06013
6,14,170,82,48.24,42,24.71,46,27.06,06014
6,15,116,53,45.69,33,28.45,30,25.86,06015
6,16,221,81,36.65,67,30.32,73,33.03,06016
6,17,234,86,36.75,46,19.66,102,43.59,06017
6,18,61,23,37.7,21,34.43,17,27.87,06018
6,19,178,70,39.33,42,23.6,66,37.08,06019
6,20,52,22,42.31,9,17.31,21,40.38,06020
6,21,216,85,39.35,61,28.24,70,32.41,06021
6,22,196,90,45.92,48,24.49,58,29.59,06022
6,23,160,58,36.25,42,26.25,60,37.5,06023
6,24,160,59,36.88,35,21.88,66,41.25,06024
6,25,192,78,40.63,53,27.6,61,31.77,06025
6,26,225,82,36.44,41,18.22,102,45.33,06026
6,27,276,105,38.04,50,18.12,121,43.84,06027
6,28,331,90,27.19,65,19.64,176,53.17,06028
6,29,247,87,35.22,61,24.7,99,40.08,06029
6,30,173,72,41.62,54,31.21,47,27.17,06030
6,31,254,79,31.1,77,30.31,98,38.58,06031
6,32,194,69,35.57,47,24.23,78,40.21,06032
6,33,220,72,32.73,71,32.27,77,35.0,06033
6,34,177,80,45.2,43,24.29,54,30.51,06034
6,35,248,116,46.77,54,21.77,78,31.45,06035
6,36,99,40,40.4,36,36.36,23,23.23,06036
6,37,257,86,33.46,66,25.68,105,40.86,06037
6,38,232,95,40.95,73,31.47,64,27.59,06038
6,39,107,29,27.1,32,29.91,46,42.99,06039
6,40,96,41,42.71,25,26.04,30,31.25,06040
6,41,226,117,51.77,41,18.14,68,30.09,06041
6,42,91,48,52.75,25,27.47,18,19.78,06042
6,43,221,92,41.63,51,23.08,78,35.29,06043
6,44,200,96,48.0,39,19.5,65,32.5,06044
6,45,113,44,38.94,42,37.17,27,23.89,06045
6,46,178,85,47.75,33,18.54,60,33.71,06046
6,47,208,79,37.98,68,32.69,61,29.33,06047
6,48,71,21,29.58,24,33.8,26,36.62,06048
6,49,166,66,39.76,46,27.71,54,32.53,06049
6,50,207,90,43.48,52,25.12,65,31.4,06050
6,51,146,60,41.1,42,28.77,44,30.14,06051
6,52,154,80,51.95,35,22.73,39,25.32,06052
6,53,163,64,39.26,40,24.54,59,36.2,06053
6,54,165,80,48.48,43,26.06,42,25.45,06054
6,55,145,69,47.59,38,26.21,38,26.21,06055
6,56,150,73,48.67,32,21.33,45,30.0,06056
6,57,110,49,44.55,31,28.18,30,27.27,06057
6,58,236,81,34.32,55,23.31,100,42.37,06058
6,59,175,68,38.86,49,28.0,58,33.14,06059
6,60,133,61,45.86,31,23.31,41,30.83,06060
6,61,119,40,33.61,39,32.77,40,33.61,06061
6,62,222,95,42.79,55,24.77,72,32.43,06062
6,63,165,68,41.21,33,20.0,64,38.79,06063
6,64,245,131,53.47,40,16.33,74,30.2,06064
7,1,287,82,28.57,129,44.95,76,26.48,07001
7,2,234,77,32.91,101,43.16,56,23.93,07002
7,3,153,50,32.68,54,35.29,49,32.03,07003
7,4,161,47,29.19,76,47.2,38,23.6,07004
7,5,128,31,24.22,69,53.91,28,21.88,07005
7,6,174,55,31.61,67,38.51,52,29.89,07006
7,7,160,50,31.25,83,51.88,27,16.88,07007
7,8,168,42,25.0,84,50.0,42,25.0,07008
7,9,199,58,29.15,71,35.68,70,35.18,07009
7,10,250,86,34.4,100,40.0,64,25.6,07010
7,11,177,47,26.55,64,36.16,66,37.29,07011
7,12,222,75,33.78,98,44.14,49,22.07,07012
7,13,92,30,32.61,36,39.13,26,28.26,07013
7,14,191,59,30.89,75,39.27,57,29.84,07014
7,15,232,84,36.21,87,37.5,61,26.29,07015
7,16,179,57,31.84,85,47.49,37,20.67,07016
7,17,147,61,41.5,55,37.41,31,21.09,07017
7,18,180,27,15.0,116,64.44,37,20.56,07018
7,19,227,80,35.24,93,40.97,54,23.79,07019
7,20,57,22,38.6,21,36.84,14,24.56,07020
7,21,192,64,33.33,87,45.31,41,21.35,07021
7,22,186,44,23.66,71,38.17,71,38.17,07022
7,23,175,54,30.86,93,53.14,28,16.0,07023
7,24,263,80,30.42,132,50.19,51,19.39,07024
7,25,185,57,30.81,70,37.84,58,31.35,07025
7,26,228,76,33.33,102,44.74,50,21.93,07026
7,27,211,74,35.07,67,31.75,70,33.18,07027
7,28,170,56,32.94,69,40.59,45,26.47,07028
7,29,114,29,25.44,61,53.51,24,21.05,07029
7,30,284,111,39.08,97,34.15,76,26.76,07030
7,31,260,76,29.23,102,39.23,82,31.54,07031
7,32,178,63,35.39,64,35.96,51,28.65,07032
7,33,212,59,27.83,91,42.92,62,29.25,07033
7,34,164,49,29.88,80,48.78,35,21.34,07034
7,35,241,78,32.37,91,37.76,72,29.88,07035
7,36,321,99,30.84,134,41.74,88,27.41,07036
7,37,247,76,30.77,90,36.44,81,32.79,07037
7,38,252,79,31.35,90,35.71,83,32.94,07038
7,39,181,67,37.02,54,29.83,60,33.15,07039
7,40,121,35,28.93,49,40.5,37,30.58,07040
7,41,233,64,27.47,106,45.49,63,27.04,07041
7,42,199,74,37.19,70,35.18,55,27.64,07042
7,43,219,53,24.2,97,44.29,69,31.51,07043
7,44,226,80,35.4,84,37.17,62,27.43,07044
7,45,285,52,18.25,171,60.0,62,21.75,07045
7,46,58,22,37.93,27,46.55,9,15.52,07046
