ward,precinct,total,WILLIAM O. LIPINSKI,WILLIAM O. LIPINSKI Percent,precinct_id
13,49,132,132,100.0,13049
13,50,236,236,100.0,13050
13,51,186,186,100.0,13051
13,52,251,251,100.0,13052
13,53,243,243,100.0,13053
13,54,251,251,100.0,13054
13,55,213,213,100.0,13055
13,56,277,277,100.0,13056
13,57,224,224,100.0,13057
13,58,258,258,100.0,13058
13,59,172,172,100.0,13059
13,60,187,187,100.0,13060
13,61,298,298,100.0,13061
13,62,240,240,100.0,13062
13,63,254,254,100.0,13063
14,1,147,147,100.0,14001
14,2,152,152,100.0,14002
14,15,71,71,100.0,14015
14,17,116,116,100.0,14017
14,20,124,124,100.0,14020
14,21,222,222,100.0,14021
14,25,131,131,100.0,14025
14,27,230,230,100.0,14027
14,28,112,112,100.0,14028
14,32,14,14,100.0,14032
14,38,116,116,100.0,14038
14,43,180,180,100.0,14043
14,44,163,163,100.0,14044
14,45,148,148,100.0,14045
14,48,102,102,100.0,14048
15,12,101,101,100.0,15012
15,45,152,152,100.0,15045
16,2,9,9,100.0,16002
16,4,32,32,100.0,16004
16,6,5,5,100.0,16006
16,7,86,86,100.0,16007
16,11,96,96,100.0,16011
16,13,82,82,100.0,16013
16,23,100,100,100.0,16023
16,32,34,34,100.0,16032
16,41,17,17,100.0,16041
16,42,45,45,100.0,16042
19,1,301,301,100.0,19001
19,2,220,220,100.0,19002
19,3,247,247,100.0,19003
19,4,239,239,100.0,19004
19,5,235,235,100.0,19005
19,6,254,254,100.0,19006
19,7,268,268,100.0,19007
19,8,196,196,100.0,19008
19,9,224,224,100.0,19009
19,10,334,334,100.0,19010
19,11,289,289,100.0,19011
19,12,236,236,100.0,19012
19,13,192,192,100.0,19013
19,14,166,166,100.0,19014
19,15,128,128,100.0,19015
19,16,341,341,100.0,19016
19,17,263,263,100.0,19017
19,18,297,297,100.0,19018
19,19,267,267,100.0,19019
19,20,203,203,100.0,19020
19,21,202,202,100.0,19021
19,22,289,289,100.0,19022
19,23,337,337,100.0,19023
19,24,230,230,100.0,19024
19,25,273,273,100.0,19025
19,26,257,257,100.0,19026
19,27,123,123,100.0,19027
19,29,218,218,100.0,19029
19,30,231,231,100.0,19030
19,31,226,226,100.0,19031
19,32,315,315,100.0,19032
19,33,278,278,100.0,19033
19,34,249,249,100.0,19034
19,35,240,240,100.0,19035
19,36,197,197,100.0,19036
19,37,220,220,100.0,19037
19,38,275,275,100.0,19038
19,39,143,143,100.0,19039
19,40,271,271,100.0,19040
19,41,264,264,100.0,19041
19,42,171,171,100.0,19042
19,44,213,213,100.0,19044
19,45,325,325,100.0,19045
19,46,365,365,100.0,19046
19,47,172,172,100.0,19047
19,49,268,268,100.0,19049
19,51,245,245,100.0,19051
19,52,197,197,100.0,19052
19,53,274,274,100.0,19053
19,54,190,190,100.0,19054
19,55,218,218,100.0,19055
19,56,294,294,100.0,19056
19,57,269,269,100.0,19057
19,58,252,252,100.0,19058
19,59,300,300,100.0,19059
19,61,359,359,100.0,19061
19,62,273,273,100.0,19062
19,63,162,162,100.0,19063
19,64,350,350,100.0,19064
19,65,208,208,100.0,19065
22,1,83,83,100.0,22001
22,15,113,113,100.0,22015
22,22,47,47,100.0,22022
23,1,219,219,100.0,23001
23,2,288,288,100.0,23002
23,3,231,231,100.0,23003
23,4,177,177,100.0,23004
23,5,184,184,100.0,23005
23,6,242,242,100.0,23006
23,8,195,195,100.0,23008
23,10,330,330,100.0,23010
23,11,261,261,100.0,23011
23,12,219,219,100.0,23012
23,13,274,274,100.0,23013
23,14,223,223,100.0,23014
23,15,226,226,100.0,23015
23,16,260,260,100.0,23016
23,17,278,278,100.0,23017
23,18,197,197,100.0,23018
23,19,254,254,100.0,23019
23,20,223,223,100.0,23020
23,21,182,182,100.0,23021
23,23,173,173,100.0,23023
23,26,208,208,100.0,23026
23,27,174,174,100.0,23027
23,28,206,206,100.0,23028
23,30,265,265,100.0,23030
23,31,237,237,100.0,23031
23,32,262,262,100.0,23032
23,33,293,293,100.0,23033
23,34,190,190,100.0,23034
23,35,137,137,100.0,23035
23,36,269,269,100.0,23036
23,37,146,146,100.0,23037
23,38,176,176,100.0,23038
23,39,202,202,100.0,23039
23,40,229,229,100.0,23040
23,41,223,223,100.0,23041
23,42,179,179,100.0,23042
23,43,217,217,100.0,23043
23,44,252,252,100.0,23044
23,45,217,217,100.0,23045
23,46,243,243,100.0,23046
23,47,274,274,100.0,23047
23,48,203,203,100.0,23048
23,49,47,47,100.0,23049
23,50,163,163,100.0,23050
23,51,206,206,100.0,23051
23,52,280,280,100.0,23052
23,53,161,161,100.0,23053
23,54,252,252,100.0,23054
23,55,234,234,100.0,23055
23,56,206,206,100.0,23056
23,57,180,180,100.0,23057
23,58,360,360,100.0,23058
23,59,157,157,100.0,23059
23,60,255,255,100.0,23060
23,61,261,261,100.0,23061
23,62,250,250,100.0,23062
