ward,precinct,total,DARLENA WILLIAMS-BURNETT,DARLENA WILLIAMS-BURNETT Percent,MARY RUSSELL GARDNER,MARY RUSSELL GARDNER Percent,GEORGIA CLAYTON,GEORGIA CLAYTON Percent,precinct_id
24,26,153,100,65.36,35,22.88,18,11.76,24026
24,27,69,37,53.62,20,28.99,12,17.39,24027
24,28,111,55,49.55,37,33.33,19,17.12,24028
24,29,132,81,61.36,33,25.0,18,13.64,24029
24,30,104,54,51.92,27,25.96,23,22.12,24030
24,31,119,73,61.34,36,30.25,10,8.4,24031
24,32,129,75,58.14,34,26.36,20,15.5,24032
24,33,99,68,68.69,21,21.21,10,10.1,24033
24,34,101,51,50.5,36,35.64,14,13.86,24034
24,35,141,88,62.41,35,24.82,18,12.77,24035
24,36,95,52,54.74,37,38.95,6,6.32,24036
24,37,142,81,57.04,47,33.1,14,9.86,24037
24,38,130,72,55.38,39,30.0,19,14.62,24038
24,39,127,79,62.2,43,33.86,5,3.94,24039
24,40,179,130,72.63,33,18.44,16,8.94,24040
24,41,116,61,52.59,46,39.66,9,7.76,24041
24,42,115,68,59.13,35,30.43,12,10.43,24042
24,43,128,68,53.13,33,25.78,27,21.09,24043
24,44,34,22,64.71,8,23.53,4,11.76,24044
24,45,96,62,64.58,21,21.88,13,13.54,24045
24,46,137,93,67.88,34,24.82,10,7.3,24046
24,47,120,75,62.5,29,24.17,16,13.33,24047
24,48,28,17,60.71,10,35.71,1,3.57,24048
24,49,166,105,63.25,42,25.3,19,11.45,24049
24,50,192,106,55.21,60,31.25,26,13.54,24050
24,51,186,104,55.91,49,26.34,33,17.74,24051
24,52,145,94,64.83,31,21.38,20,13.79,24052
24,53,54,35,64.81,15,27.78,4,7.41,24053
25,3,77,26,33.77,41,53.25,10,12.99,25003
25,4,230,82,35.65,103,44.78,45,19.57,25004
25,6,4,1,25.0,2,50.0,1,25.0,25006
25,8,1,0,0.0,1,100.0,0,0.0,25008
25,10,53,38,71.7,8,15.09,7,13.21,25010
25,14,100,54,54.0,35,35.0,11,11.0,25014
25,16,49,21,42.86,21,42.86,7,14.29,25016
25,18,242,182,75.21,51,21.07,9,3.72,25018
25,21,102,48,47.06,46,45.1,8,7.84,25021
26,31,40,16,40.0,18,45.0,6,15.0,26031
27,1,47,22,46.81,19,40.43,6,12.77,27001
27,2,124,83,66.94,23,18.55,18,14.52,27002
27,3,131,82,62.6,25,19.08,24,18.32,27003
27,4,85,45,52.94,22,25.88,18,21.18,27004
27,5,73,46,63.01,22,30.14,5,6.85,27005
27,6,115,82,71.3,15,13.04,18,15.65,27006
27,7,86,48,55.81,25,29.07,13,15.12,27007
27,8,77,52,67.53,17,22.08,8,10.39,27008
27,9,254,213,83.86,29,11.42,12,4.72,27009
27,10,263,218,82.89,27,10.27,18,6.84,27010
27,11,110,72,65.45,22,20.0,16,14.55,27011
27,12,140,126,90.0,6,4.29,8,5.71,27012
27,13,277,169,61.01,82,29.6,26,9.39,27013
27,14,74,66,89.19,5,6.76,3,4.05,27014
27,15,112,76,67.86,21,18.75,15,13.39,27015
27,16,86,44,51.16,33,38.37,9,10.47,27016
27,17,162,105,64.81,39,24.07,18,11.11,27017
27,18,57,33,57.89,17,29.82,7,12.28,27018
27,19,125,85,68.0,27,21.6,13,10.4,27019
27,20,278,241,86.69,25,8.99,12,4.32,27020
27,21,88,75,85.23,8,9.09,5,5.68,27021
27,22,141,104,73.76,23,16.31,14,9.93,27022
27,23,121,86,71.07,14,11.57,21,17.36,27023
27,24,161,125,77.64,23,14.29,13,8.07,27024
27,25,102,76,74.51,16,15.69,10,9.8,27025
27,26,261,178,68.2,40,15.33,43,16.48,27026
27,27,74,59,79.73,3,4.05,12,16.22,27027
27,28,140,106,75.71,20,14.29,14,10.0,27028
27,29,104,77,74.04,12,11.54,15,14.42,27029
27,30,64,41,64.06,17,26.56,6,9.38,27030
27,31,108,88,81.48,11,10.19,9,8.33,27031
27,33,110,88,80.0,18,16.36,4,3.64,27033
27,34,148,125,84.46,13,8.78,10,6.76,27034
27,35,0,0,0.0,0,0.0,0,0.0,27035
27,36,158,109,68.99,30,18.99,19,12.03,27036
27,37,175,130,74.29,30,17.14,15,8.57,27037
27,38,85,29,34.12,42,49.41,14,16.47,27038
27,39,104,92,88.46,10,9.62,2,1.92,27039
27,40,106,84,79.25,14,13.21,8,7.55,27040
27,41,130,69,53.08,39,30.0,22,16.92,27041
27,42,63,39,61.9,21,33.33,3,4.76,27042
27,43,129,94,72.87,19,14.73,16,12.4,27043
27,44,169,109,64.5,36,21.3,24,14.2,27044
27,45,179,131,73.18,29,16.2,19,10.61,27045
27,46,157,138,87.9,10,6.37,9,5.73,27046
27,47,105,83,79.05,18,17.14,4,3.81,27047
27,48,171,114,66.67,29,16.96,28,16.37,27048
27,49,116,71,61.21,24,20.69,21,18.1,27049
27,50,152,82,53.95,51,33.55,19,12.5,27050
27,51,122,97,79.51,18,14.75,7,5.74,27051
27,52,53,48,90.57,4,7.55,1,1.89,27052
27,53,129,69,53.49,30,23.26,30,23.26,27053
27,54,95,55,57.89,25,26.32,15,15.79,27054
27,55,11,6,54.55,4,36.36,1,9.09,27055
27,56,72,27,37.5,32,44.44,13,18.06,27056
27,57,72,37,51.39,25,34.72,10,13.89,27057
27,58,119,65,54.62,35,29.41,19,15.97,27058
27,59,50,40,80.0,6,12.0,4,8.0,27059
28,1,174,126,72.41,30,17.24,18,10.34,28001
28,2,80,50,62.5,17,21.25,13,16.25,28002
28,3,121,83,68.6,18,14.88,20,16.53,28003
28,4,214,111,51.87,95,44.39,8,3.74,28004
28,5,135,93,68.89,23,17.04,19,14.07,28005
28,6,166,114,68.67,25,15.06,27,16.27,28006
28,7,203,155,76.35,28,13.79,20,9.85,28007
28,8,92,72,78.26,11,11.96,9,9.78,28008
28,9,142,123,86.62,15,10.56,4,2.82,28009
28,10,188,153,81.38,17,9.04,18,9.57,28010
28,11,121,91,75.21,21,17.36,9,7.44,28011
28,12,119,91,76.47,21,17.65,7,5.88,28012
28,13,124,96,77.42,16,12.9,12,9.68,28013
28,14,43,15,34.88,22,51.16,6,13.95,28014
28,15,79,48,60.76,11,13.92,20,25.32,28015
28,16,128,82,64.06,32,25.0,14,10.94,28016
28,17,79,51,64.56,15,18.99,13,16.46,28017
28,18,172,125,72.67,18,10.47,29,16.86,28018
28,19,131,97,74.05,20,15.27,14,10.69,28019
28,20,164,117,71.34,26,15.85,21,12.8,28020
28,21,149,120,80.54,21,14.09,8,5.37,28021
28,22,145,106,73.1,18,12.41,21,14.48,28022
28,23,161,121,75.16,24,14.91,16,9.94,28023
28,24,74,43,58.11,12,16.22,19,25.68,28024
28,25,147,117,79.59,13,8.84,17,11.56,28025
28,26,141,114,80.85,17,12.06,10,7.09,28026
28,27,75,56,74.67,12,16.0,7,9.33,28027
28,28,118,91,77.12,12,10.17,15,12.71,28028
28,29,140,103,73.57,29,20.71,8,5.71,28029
28,30,79,54,68.35,12,15.19,13,16.46,28030
28,31,119,88,73.95,25,21.01,6,5.04,28031
28,32,123,71,57.72,34,27.64,18,14.63,28032
28,33,96,64,66.67,17,17.71,15,15.63,28033
28,34,149,113,75.84,19,12.75,17,11.41,28034
28,35,102,68,66.67,20,19.61,14,13.73,28035
28,36,129,103,79.84,16,12.4,10,7.75,28036
28,37,160,128,80.0,17,10.63,15,9.38,28037
28,38,107,92,85.98,12,11.21,3,2.8,28038
28,39,58,45,77.59,9,15.52,4,6.9,28039
28,40,144,108,75.0,26,18.06,10,6.94,28040
28,41,84,66,78.57,11,13.1,7,8.33,28041
28,42,93,80,86.02,9,9.68,4,4.3,28042
28,43,81,69,85.19,11,13.58,1,1.23,28043
28,44,85,64,75.29,9,10.59,12,14.12,28044
28,45,96,76,79.17,13,13.54,7,7.29,28045
28,46,104,86,82.69,11,10.58,7,6.73,28046
28,47,131,93,70.99,30,22.9,8,6.11,28047
28,48,37,23,62.16,7,18.92,7,18.92,28048
28,49,98,78,79.59,15,15.31,5,5.1,28049
28,50,69,52,75.36,12,17.39,5,7.25,28050
28,51,123,96,78.05,17,13.82,10,8.13,28051
28,52,125,71,56.8,28,22.4,26,20.8,28052
28,53,40,24,60.0,10,25.0,6,15.0,28053
28,54,81,58,71.6,10,12.35,13,16.05,28054
28,55,68,52,76.47,14,20.59,2,2.94,28055
28,56,108,84,77.78,14,12.96,10,9.26,28056
28,57,135,109,80.74,14,10.37,12,8.89,28057
28,58,90,69,76.67,16,17.78,5,5.56,28058
28,59,96,64,66.67,13,13.54,19,19.79,28059
28,60,108,85,78.7,16,14.81,7,6.48,28060
28,61,75,56,74.67,12,16.0,7,9.33,28061
29,1,184,141,76.63,30,16.3,13,7.07,29001
29,3,168,116,69.05,23,13.69,29,17.26,29003
29,4,197,118,59.9,68,34.52,11,5.58,29004
29,5,199,129,64.82,48,24.12,22,11.06,29005
29,8,206,127,61.65,61,29.61,18,8.74,29008
29,9,143,74,51.75,59,41.26,10,6.99,29009
29,10,188,156,82.98,27,14.36,5,2.66,29010
29,11,165,100,60.61,50,30.3,15,9.09,29011
29,12,161,104,64.6,32,19.88,25,15.53,29012
29,13,223,143,64.13,68,30.49,12,5.38,29013
29,14,163,115,70.55,35,21.47,13,7.98,29014
29,15,201,143,71.14,43,21.39,15,7.46,29015
29,16,167,141,84.43,22,13.17,4,2.4,29016
29,18,203,142,69.95,50,24.63,11,5.42,29018
29,19,154,120,77.92,26,16.88,8,5.19,29019
29,20,225,161,71.56,57,25.33,7,3.11,29020
29,21,128,86,67.19,21,16.41,21,16.41,29021
29,22,117,68,58.12,30,25.64,19,16.24,29022
29,23,123,77,62.6,37,30.08,9,7.32,29023
29,24,213,137,64.32,65,30.52,11,5.16,29024
29,25,255,210,82.35,29,11.37,16,6.27,29025
29,26,168,124,73.81,34,20.24,10,5.95,29026
29,27,111,73,65.77,24,21.62,14,12.61,29027
29,28,129,87,67.44,30,23.26,12,9.3,29028
29,29,253,178,70.36,65,25.69,10,3.95,29029
29,30,125,90,72.0,26,20.8,9,7.2,29030
29,31,181,122,67.4,32,17.68,27,14.92,29031
29,32,179,84,46.93,79,44.13,16,8.94,29032
29,33,168,81,48.21,75,44.64,12,7.14,29033
29,34,120,80,66.67,31,25.83,9,7.5,29034
29,35,257,211,82.1,35,13.62,11,4.28,29035
29,36,223,182,81.61,36,16.14,5,2.24,29036
29,37,183,88,48.09,73,39.89,22,12.02,29037
29,38,178,126,70.79,34,19.1,18,10.11,29038
29,40,258,159,61.63,85,32.95,14,5.43,29040
29,41,242,135,55.79,86,35.54,21,8.68,29041
29,42,129,90,69.77,28,21.71,11,8.53,29042
29,43,253,142,56.13,93,36.76,18,7.11,29043
29,44,184,96,52.17,74,40.22,14,7.61,29044
29,45,173,92,53.18,64,36.99,17,9.83,29045
29,46,149,69,46.31,66,44.3,14,9.4,29046
29,47,285,131,45.96,136,47.72,18,6.32,29047
29,49,272,213,78.31,39,14.34,20,7.35,29049
29,50,220,121,55.0,89,40.45,10,4.55,29050
29,51,166,88,53.01,62,37.35,16,9.64,29051
29,55,32,23,71.88,5,15.63,4,12.5,29055
29,56,139,100,71.94,30,21.58,9,6.47,29056
31,19,20,10,50.0,5,25.0,5,25.0,31019
31,26,5,2,40.0,3,60.0,0,0.0,31026
32,1,81,27,33.33,45,55.56,9,11.11,32001
32,6,125,37,29.6,57,45.6,31,24.8,32006
32,12,43,18,41.86,18,41.86,7,16.28,32012
32,17,34,7,20.59,19,55.88,8,23.53,32017
32,26,117,48,41.03,54,46.15,15,12.82,32026
32,46,24,6,25.0,9,37.5,9,37.5,32046
36,23,87,34,39.08,45,51.72,8,9.2,36023
36,24,182,88,48.35,72,39.56,22,12.09,36024
36,26,291,212,72.85,55,18.9,24,8.25,36026
36,43,208,147,70.67,50,24.04,11,5.29,36043
36,44,108,43,39.81,57,52.78,8,7.41,36044
36,54,180,77,42.78,83,46.11,20,11.11,36054
37,1,135,104,77.04,20,14.81,11,8.15,37001
37,2,80,60,75.0,14,17.5,6,7.5,37002
37,3,63,40,63.49,16,25.4,7,11.11,37003
37,4,158,112,70.89,29,18.35,17,10.76,37004
37,5,142,99,69.72,32,22.54,11,7.75,37005
37,6,273,168,61.54,82,30.04,23,8.42,37006
37,7,205,136,66.34,55,26.83,14,6.83,37007
37,8,112,71,63.39,29,25.89,12,10.71,37008
37,9,147,82,55.78,52,35.37,13,8.84,37009
37,10,241,171,70.95,41,17.01,29,12.03,37010
37,11,33,23,69.7,5,15.15,5,15.15,37011
37,12,135,98,72.59,18,13.33,19,14.07,37012
37,13,140,86,61.43,33,23.57,21,15.0,37013
37,14,166,121,72.89,19,11.45,26,15.66,37014
37,15,137,98,71.53,33,24.09,6,4.38,37015
37,16,223,154,69.06,45,20.18,24,10.76,37016
37,17,148,86,58.11,29,19.59,33,22.3,37017
37,18,175,92,52.57,32,18.29,51,29.14,37018
37,19,133,91,68.42,24,18.05,18,13.53,37019
37,20,161,115,71.43,24,14.91,22,13.66,37020
37,21,188,142,75.53,28,14.89,18,9.57,37021
37,22,132,101,76.52,16,12.12,15,11.36,37022
37,23,113,68,60.18,25,22.12,20,17.7,37023
37,24,148,105,70.95,31,20.95,12,8.11,37024
37,25,193,138,71.5,40,20.73,15,7.77,37025
37,26,179,147,82.12,20,11.17,12,6.7,37026
37,27,91,56,61.54,25,27.47,10,10.99,37027
37,28,123,84,68.29,29,23.58,10,8.13,37028
37,29,189,123,65.08,49,25.93,17,8.99,37029
37,30,124,94,75.81,20,16.13,10,8.06,37030
37,31,278,218,78.42,44,15.83,16,5.76,37031
37,32,152,104,68.42,35,23.03,13,8.55,37032
37,33,172,135,78.49,20,11.63,17,9.88,37033
37,34,201,142,70.65,39,19.4,20,9.95,37034
37,35,22,10,45.45,7,31.82,5,22.73,37035
37,36,130,93,71.54,24,18.46,13,10.0,37036
37,37,180,109,60.56,48,26.67,23,12.78,37037
37,38,173,130,75.14,31,17.92,12,6.94,37038
37,39,120,77,64.17,36,30.0,7,5.83,37039
37,40,166,122,73.49,32,19.28,12,7.23,37040
37,41,245,171,69.8,60,24.49,14,5.71,37041
37,42,26,15,57.69,8,30.77,3,11.54,37042
37,43,222,170,76.58,35,15.77,17,7.66,37043
37,44,191,153,80.1,27,14.14,11,5.76,37044
37,45,140,75,53.57,41,29.29,24,17.14,37045
37,46,153,95,62.09,40,26.14,18,11.76,37046
37,47,19,13,68.42,3,15.79,3,15.79,37047
37,48,145,104,71.72,27,18.62,14,9.66,37048
37,49,131,84,64.12,36,27.48,11,8.4,37049
37,50,52,28,53.85,18,34.62,6,11.54,37050
37,51,128,77,60.16,32,25.0,19,14.84,37051
42,1,108,37,34.26,54,50.0,17,15.74,42001
42,2,62,16,25.81,38,61.29,8,12.9,42002
42,3,65,28,43.08,26,40.0,11,16.92,42003
42,4,83,29,34.94,37,44.58,17,20.48,42004
42,5,89,17,19.1,60,67.42,12,13.48,42005
42,6,223,84,37.67,112,50.22,27,12.11,42006
42,7,98,40,40.82,41,41.84,17,17.35,42007
42,8,120,46,38.33,56,46.67,18,15.0,42008
42,9,109,36,33.03,47,43.12,26,23.85,42009
42,10,84,27,32.14,39,46.43,18,21.43,42010
42,11,92,18,19.57,56,60.87,18,19.57,42011
42,12,104,63,60.58,28,26.92,13,12.5,42012
42,13,208,66,31.73,100,48.08,42,20.19,42013
42,14,88,36,40.91,34,38.64,18,20.45,42014
42,15,115,33,28.7,59,51.3,23,20.0,42015
42,16,150,52,34.67,74,49.33,24,16.0,42016
42,17,79,30,37.97,38,48.1,11,13.92,42017
42,18,211,80,37.91,101,47.87,30,14.22,42018
42,19,96,33,34.38,50,52.08,13,13.54,42019
42,20,60,17,28.33,24,40.0,19,31.67,42020
42,21,89,55,61.8,19,21.35,15,16.85,42021
42,22,55,21,38.18,27,49.09,7,12.73,42022
42,23,103,26,25.24,55,53.4,22,21.36,42023
42,24,91,29,31.87,49,53.85,13,14.29,42024
42,25,96,32,33.33,52,54.17,12,12.5,42025
42,26,95,26,27.37,48,50.53,21,22.11,42026
42,27,160,63,39.38,70,43.75,27,16.88,42027
42,28,112,37,33.04,57,50.89,18,16.07,42028
42,29,95,27,28.42,57,60.0,11,11.58,42029
42,30,124,37,29.84,73,58.87,14,11.29,42030
42,31,44,17,38.64,17,38.64,10,22.73,42031
42,32,113,59,52.21,40,35.4,14,12.39,42032
42,33,156,40,25.64,89,57.05,27,17.31,42033
42,34,93,31,33.33,46,49.46,16,17.2,42034
42,35,77,22,28.57,44,57.14,11,14.29,42035
42,36,121,42,34.71,57,47.11,22,18.18,42036
42,37,85,22,25.88,55,64.71,8,9.41,42037
42,38,82,23,28.05,45,54.88,14,17.07,42038
42,39,160,80,50.0,59,36.88,21,13.13,42039
42,40,58,17,29.31,35,60.34,6,10.34,42040
42,41,83,30,36.14,37,44.58,16,19.28,42041
42,42,89,31,34.83,41,46.07,17,19.1,42042
42,43,102,24,23.53,65,63.73,13,12.75,42043
42,44,97,36,37.11,53,54.64,8,8.25,42044
42,45,78,27,34.62,38,48.72,13,16.67,42045
42,46,65,29,44.62,23,35.38,13,20.0,42046
42,47,58,23,39.66,26,44.83,9,15.52,42047
42,48,62,30,48.39,20,32.26,12,19.35,42048
42,49,131,73,55.73,40,30.53,18,13.74,42049
42,50,100,32,32.0,48,48.0,20,20.0,42050
42,51,80,28,35.0,41,51.25,11,13.75,42051
42,52,69,35,50.72,24,34.78,10,14.49,42052
42,53,73,31,42.47,36,49.32,6,8.22,42053
42,54,60,23,38.33,25,41.67,12,20.0,42054
42,55,83,23,27.71,44,53.01,16,19.28,42055
42,56,62,19,30.65,31,50.0,12,19.35,42056
42,57,74,27,36.49,33,44.59,14,18.92,42057
42,58,168,72,42.86,65,38.69,31,18.45,42058
42,59,90,57,63.33,25,27.78,8,8.89,42059
42,60,45,17,37.78,24,53.33,4,8.89,42060
42,61,29,10,34.48,14,48.28,5,17.24,42061
42,62,69,24,34.78,33,47.83,12,17.39,42062
42,63,76,23,30.26,35,46.05,18,23.68,42063
42,64,45,27,60.0,12,26.67,6,13.33,42064
42,65,61,17,27.87,34,55.74,10,16.39,42065
42,66,61,24,39.34,28,45.9,9,14.75,42066
