ward,precinct,total,LAURA MARIE SULLIVAN,LAURA MARIE SULLIVAN Percent,MICHAEL R. CLANCY,MICHAEL R. CLANCY Percent,SHELDON A. HARRIS,SHELDON A. HARRIS Percent,MOIRA SUSAN JOHNSON,MOIRA SUSAN JOHNSON Percent,precinct_id
1,31,73,37,50.68,10,13.7,13,17.81,13,17.81,01031
1,32,120,54,45.0,23,19.17,17,14.17,26,21.67,01032
1,33,120,65,54.17,9,7.5,26,21.67,20,16.67,01033
1,34,27,18,66.67,6,22.22,2,7.41,1,3.7,01034
1,35,31,17,54.84,7,22.58,1,3.23,6,19.35,01035
1,36,94,41,43.62,13,13.83,20,21.28,20,21.28,01036
1,37,148,69,46.62,19,12.84,39,26.35,21,14.19,01037
2,1,119,34,28.57,24,20.17,29,24.37,32,26.89,02001
2,2,227,60,26.43,15,6.61,70,30.84,82,36.12,02002
2,3,91,30,32.97,17,18.68,25,27.47,19,20.88,02003
2,4,64,13,20.31,10,15.63,24,37.5,17,26.56,02004
2,5,70,20,28.57,11,15.71,21,30.0,18,25.71,02005
2,6,68,31,45.59,12,17.65,17,25.0,8,11.76,02006
2,7,203,66,32.51,22,10.84,74,36.45,41,20.2,02007
2,8,160,53,33.13,13,8.13,44,27.5,50,31.25,02008
2,9,0,0,0.0,0,0.0,0,0.0,0,0.0,02009
2,10,84,21,25.0,14,16.67,24,28.57,25,29.76,02010
2,11,250,110,44.0,21,8.4,48,19.2,71,28.4,02011
2,12,155,29,18.71,15,9.68,61,39.35,50,32.26,02012
2,13,201,48,23.88,20,9.95,65,32.34,68,33.83,02013
2,14,233,45,19.31,20,8.58,71,30.47,97,41.63,02014
2,15,51,12,23.53,6,11.76,8,15.69,25,49.02,02015
2,16,87,28,32.18,14,16.09,32,36.78,13,14.94,02016
2,17,125,32,25.6,19,15.2,49,39.2,25,20.0,02017
2,18,192,57,29.69,13,6.77,47,24.48,75,39.06,02018
2,19,69,18,26.09,10,14.49,27,39.13,14,20.29,02019
2,20,131,40,30.53,9,6.87,36,27.48,46,35.11,02020
2,21,135,39,28.89,13,9.63,34,25.19,49,36.3,02021
2,22,302,118,39.07,27,8.94,66,21.85,91,30.13,02022
2,23,103,26,25.24,9,8.74,40,38.83,28,27.18,02023
2,24,70,16,22.86,6,8.57,17,24.29,31,44.29,02024
2,25,64,16,25.0,10,15.63,24,37.5,14,21.88,02025
2,26,98,20,20.41,14,14.29,41,41.84,23,23.47,02026
2,27,20,7,35.0,3,15.0,7,35.0,3,15.0,02027
2,28,195,45,23.08,27,13.85,44,22.56,79,40.51,02028
2,29,62,16,25.81,18,29.03,17,27.42,11,17.74,02029
2,30,100,22,22.0,14,14.0,19,19.0,45,45.0,02030
2,31,171,36,21.05,22,12.87,61,35.67,52,30.41,02031
2,32,91,26,28.57,10,10.99,33,36.26,22,24.18,02032
2,33,223,59,26.46,26,11.66,80,35.87,58,26.01,02033
2,34,128,32,25.0,16,12.5,45,35.16,35,27.34,02034
2,35,30,16,53.33,6,20.0,4,13.33,4,13.33,02035
2,36,50,10,20.0,7,14.0,22,44.0,11,22.0,02036
2,37,167,68,40.72,19,11.38,47,28.14,33,19.76,02037
2,38,127,35,27.56,18,14.17,41,32.28,33,25.98,02038
2,39,160,57,35.63,22,13.75,41,25.63,40,25.0,02039
2,40,153,46,30.07,24,15.69,44,28.76,39,25.49,02040
2,41,35,6,17.14,7,20.0,12,34.29,10,28.57,02041
2,42,50,14,28.0,7,14.0,12,24.0,17,34.0,02042
2,43,172,75,43.6,20,11.63,34,19.77,43,25.0,02043
2,44,148,27,18.24,11,7.43,44,29.73,66,44.59,02044
2,45,59,15,25.42,4,6.78,15,25.42,25,42.37,02045
2,46,262,61,23.28,20,7.63,84,32.06,97,37.02,02046
2,47,93,36,38.71,5,5.38,25,26.88,27,29.03,02047
2,48,176,48,27.27,25,14.2,37,21.02,66,37.5,02048
2,49,59,18,30.51,6,10.17,11,18.64,24,40.68,02049
2,50,75,23,30.67,9,12.0,27,36.0,16,21.33,02050
2,51,133,32,24.06,21,15.79,48,36.09,32,24.06,02051
2,52,112,33,29.46,21,18.75,32,28.57,26,23.21,02052
2,53,69,17,24.64,15,21.74,23,33.33,14,20.29,02053
2,54,145,54,37.24,21,14.48,25,17.24,45,31.03,02054
2,55,111,39,35.14,15,13.51,26,23.42,31,27.93,02055
2,56,46,14,30.43,8,17.39,13,28.26,11,23.91,02056
3,1,110,22,20.0,20,18.18,20,18.18,48,43.64,03001
3,2,210,36,17.14,25,11.9,49,23.33,100,47.62,03002
3,3,20,6,30.0,3,15.0,3,15.0,8,40.0,03003
3,4,51,17,33.33,10,19.61,9,17.65,15,29.41,03004
3,5,0,0,0.0,0,0.0,0,0.0,0,0.0,03005
3,6,0,0,0.0,0,0.0,0,0.0,0,0.0,03006
3,7,0,0,0.0,0,0.0,0,0.0,0,0.0,03007
3,8,80,22,27.5,26,32.5,19,23.75,13,16.25,03008
3,9,82,25,30.49,11,13.41,13,15.85,33,40.24,03009
3,10,80,15,18.75,6,7.5,23,28.75,36,45.0,03010
3,11,101,17,16.83,14,13.86,30,29.7,40,39.6,03011
3,12,141,28,19.86,17,12.06,29,20.57,67,47.52,03012
3,13,5,1,20.0,0,0.0,2,40.0,2,40.0,03013
3,14,58,18,31.03,9,15.52,13,22.41,18,31.03,03014
3,15,107,23,21.5,15,14.02,20,18.69,49,45.79,03015
3,16,214,30,14.02,18,8.41,30,14.02,136,63.55,03016
3,17,128,18,14.06,18,14.06,25,19.53,67,52.34,03017
3,18,108,27,25.0,12,11.11,23,21.3,46,42.59,03018
3,19,61,17,27.87,14,22.95,13,21.31,17,27.87,03019
3,20,32,14,43.75,5,15.63,7,21.88,6,18.75,03020
3,21,85,22,25.88,6,7.06,11,12.94,46,54.12,03021
3,22,108,24,22.22,10,9.26,21,19.44,53,49.07,03022
3,23,45,12,26.67,7,15.56,14,31.11,12,26.67,03023
3,24,137,34,24.82,19,13.87,36,26.28,48,35.04,03024
3,25,27,6,22.22,6,22.22,9,33.33,6,22.22,03025
3,26,78,13,16.67,6,7.69,27,34.62,32,41.03,03026
3,27,29,9,31.03,4,13.79,7,24.14,9,31.03,03027
3,28,135,39,28.89,14,10.37,32,23.7,50,37.04,03028
3,29,0,0,0.0,0,0.0,0,0.0,0,0.0,03029
3,30,129,23,17.83,12,9.3,26,20.16,68,52.71,03030
3,31,140,28,20.0,20,14.29,34,24.29,58,41.43,03031
3,32,157,32,20.38,19,12.1,39,24.84,67,42.68,03032
3,33,136,36,26.47,21,15.44,40,29.41,39,28.68,03033
3,34,47,9,19.15,1,2.13,12,25.53,25,53.19,03034
3,35,99,14,14.14,11,11.11,16,16.16,58,58.59,03035
3,36,45,18,40.0,7,15.56,10,22.22,10,22.22,03036
3,37,97,22,22.68,12,12.37,25,25.77,38,39.18,03037
3,38,168,45,26.79,9,5.36,44,26.19,70,41.67,03038
3,39,225,51,22.67,15,6.67,48,21.33,111,49.33,03039
3,40,112,20,17.86,9,8.04,27,24.11,56,50.0,03040
3,41,102,26,25.49,11,10.78,22,21.57,43,42.16,03041
3,42,65,17,26.15,6,9.23,26,40.0,16,24.62,03042
3,43,0,0,0.0,0,0.0,0,0.0,0,0.0,03043
3,44,86,16,18.6,7,8.14,12,13.95,51,59.3,03044
3,45,52,14,26.92,10,19.23,17,32.69,11,21.15,03045
3,46,18,4,22.22,3,16.67,4,22.22,7,38.89,03046
3,47,107,26,24.3,19,17.76,29,27.1,33,30.84,03047
3,48,123,33,26.83,17,13.82,25,20.33,48,39.02,03048
3,49,117,17,14.53,13,11.11,32,27.35,55,47.01,03049
3,50,153,30,19.61,8,5.23,26,16.99,89,58.17,03050
3,51,59,33,55.93,8,13.56,7,11.86,11,18.64,03051
3,52,167,37,22.16,23,13.77,41,24.55,66,39.52,03052
4,1,163,25,15.34,20,12.27,27,16.56,91,55.83,04001
4,2,40,10,25.0,10,25.0,15,37.5,5,12.5,04002
4,3,224,55,24.55,18,8.04,37,16.52,114,50.89,04003
4,4,210,41,19.52,28,13.33,40,19.05,101,48.1,04004
4,5,172,34,19.77,14,8.14,42,24.42,82,47.67,04005
4,6,0,0,0.0,0,0.0,0,0.0,0,0.0,04006
4,7,128,18,14.06,6,4.69,33,25.78,71,55.47,04007
4,8,243,47,19.34,19,7.82,55,22.63,122,50.21,04008
4,9,386,60,15.54,26,6.74,88,22.8,212,54.92,04009
4,10,279,57,20.43,26,9.32,68,24.37,128,45.88,04010
4,11,171,40,23.39,22,12.87,39,22.81,70,40.94,04011
4,12,139,13,9.35,14,10.07,26,18.71,86,61.87,04012
4,13,229,46,20.09,12,5.24,46,20.09,125,54.59,04013
4,14,96,14,14.58,14,14.58,20,20.83,48,50.0,04014
4,15,76,8,10.53,7,9.21,25,32.89,36,47.37,04015
4,16,173,38,21.97,11,6.36,50,28.9,74,42.77,04016
4,17,193,44,22.8,15,7.77,33,17.1,101,52.33,04017
4,18,139,48,34.53,19,13.67,31,22.3,41,29.5,04018
4,19,33,3,9.09,6,18.18,11,33.33,13,39.39,04019
4,20,57,18,31.58,9,15.79,13,22.81,17,29.82,04020
4,21,198,32,16.16,15,7.58,34,17.17,117,59.09,04021
4,22,228,47,20.61,13,5.7,46,20.18,122,53.51,04022
4,23,136,24,17.65,5,3.68,20,14.71,87,63.97,04023
4,24,184,34,18.48,9,4.89,41,22.28,100,54.35,04024
4,25,203,32,15.76,16,7.88,50,24.63,105,51.72,04025
4,26,158,35,22.15,9,5.7,31,19.62,83,52.53,04026
4,27,177,40,22.6,8,4.52,42,23.73,87,49.15,04027
4,28,152,35,23.03,10,6.58,23,15.13,84,55.26,04028
4,29,138,40,28.99,6,4.35,32,23.19,60,43.48,04029
4,30,47,11,23.4,7,14.89,15,31.91,14,29.79,04030
4,31,44,18,40.91,6,13.64,11,25.0,9,20.45,04031
4,32,176,32,18.18,14,7.95,29,16.48,101,57.39,04032
4,33,60,11,18.33,8,13.33,20,33.33,21,35.0,04033
4,34,124,28,22.58,7,5.65,22,17.74,67,54.03,04034
4,35,99,29,29.29,16,16.16,25,25.25,29,29.29,04035
4,36,190,40,21.05,22,11.58,36,18.95,92,48.42,04036
4,37,90,37,41.11,14,15.56,23,25.56,16,17.78,04037
4,38,232,42,18.1,13,5.6,57,24.57,120,51.72,04038
4,39,84,22,26.19,9,10.71,21,25.0,32,38.1,04039
4,40,149,34,22.82,12,8.05,43,28.86,60,40.27,04040
4,41,125,29,23.2,13,10.4,23,18.4,60,48.0,04041
4,42,122,23,18.85,10,8.2,23,18.85,66,54.1,04042
4,43,99,20,20.2,9,9.09,10,10.1,60,60.61,04043
4,44,99,22,22.22,6,6.06,16,16.16,55,55.56,04044
4,45,338,58,17.16,9,2.66,65,19.23,206,60.95,04045
4,46,181,23,12.71,13,7.18,33,18.23,112,61.88,04046
4,47,214,36,16.82,17,7.94,45,21.03,116,54.21,04047
4,48,242,67,27.69,13,5.37,50,20.66,112,46.28,04048
4,49,42,7,16.67,7,16.67,14,33.33,14,33.33,04049
4,50,156,29,18.59,19,12.18,28,17.95,80,51.28,04050
4,51,200,43,21.5,18,9.0,49,24.5,90,45.0,04051
4,52,35,13,37.14,2,5.71,9,25.71,11,31.43,04052
4,53,22,11,50.0,0,0.0,9,40.91,2,9.09,04053
4,54,77,25,32.47,4,5.19,13,16.88,35,45.45,04054
4,55,91,27,29.67,4,4.4,11,12.09,49,53.85,04055
5,1,181,26,14.36,16,8.84,59,32.6,80,44.2,05001
5,2,165,43,26.06,14,8.48,40,24.24,68,41.21,05002
5,3,185,49,26.49,24,12.97,59,31.89,53,28.65,05003
5,4,221,56,25.34,25,11.31,71,32.13,69,31.22,05004
5,5,140,47,33.57,20,14.29,30,21.43,43,30.71,05005
5,6,180,39,21.67,14,7.78,74,41.11,53,29.44,05006
5,7,168,33,19.64,13,7.74,49,29.17,73,43.45,05007
5,8,162,48,29.63,6,3.7,42,25.93,66,40.74,05008
5,9,184,37,20.11,21,11.41,42,22.83,84,45.65,05009
5,10,116,29,25.0,11,9.48,37,31.9,39,33.62,05010
5,11,55,23,41.82,5,9.09,12,21.82,15,27.27,05011
5,12,163,49,30.06,20,12.27,55,33.74,39,23.93,05012
5,13,154,44,28.57,13,8.44,49,31.82,48,31.17,05013
5,14,114,32,28.07,7,6.14,41,35.96,34,29.82,05014
5,15,126,32,25.4,16,12.7,34,26.98,44,34.92,05015
5,16,144,39,27.08,18,12.5,44,30.56,43,29.86,05016
5,17,95,32,33.68,5,5.26,25,26.32,33,34.74,05017
5,18,112,29,25.89,13,11.61,36,32.14,34,30.36,05018
5,19,132,31,23.48,15,11.36,42,31.82,44,33.33,05019
5,20,107,33,30.84,13,12.15,41,38.32,20,18.69,05020
5,21,251,63,25.1,36,14.34,68,27.09,84,33.47,05021
5,22,190,49,25.79,26,13.68,58,30.53,57,30.0,05022
5,23,127,40,31.5,13,10.24,42,33.07,32,25.2,05023
5,24,145,43,29.66,6,4.14,44,30.34,52,35.86,05024
5,25,132,38,28.79,13,9.85,35,26.52,46,34.85,05025
5,26,104,20,19.23,12,11.54,43,41.35,29,27.88,05026
5,27,45,18,40.0,3,6.67,15,33.33,9,20.0,05027
5,28,209,50,23.92,18,8.61,63,30.14,78,37.32,05028
5,29,132,24,18.18,7,5.3,39,29.55,62,46.97,05029
5,30,108,39,36.11,7,6.48,28,25.93,34,31.48,05030
5,31,153,38,24.84,20,13.07,47,30.72,48,31.37,05031
5,32,253,46,18.18,21,8.3,66,26.09,120,47.43,05032
5,33,197,49,24.87,21,10.66,61,30.96,66,33.5,05033
5,34,97,23,23.71,8,8.25,35,36.08,31,31.96,05034
5,35,99,24,24.24,12,12.12,22,22.22,41,41.41,05035
5,36,192,64,33.33,21,10.94,60,31.25,47,24.48,05036
5,37,96,30,31.25,5,5.21,23,23.96,38,39.58,05037
5,38,176,53,30.11,7,3.98,54,30.68,62,35.23,05038
5,39,126,41,32.54,6,4.76,21,16.67,58,46.03,05039
5,40,134,30,22.39,18,13.43,52,38.81,34,25.37,05040
5,41,93,31,33.33,11,11.83,11,11.83,40,43.01,05041
5,42,149,33,22.15,16,10.74,32,21.48,68,45.64,05042
5,43,183,33,18.03,18,9.84,48,26.23,84,45.9,05043
5,44,171,33,19.3,19,11.11,63,36.84,56,32.75,05044
5,45,114,37,32.46,12,10.53,40,35.09,25,21.93,05045
5,46,146,48,32.88,10,6.85,40,27.4,48,32.88,05046
5,47,138,36,26.09,14,10.14,50,36.23,38,27.54,05047
5,48,115,35,30.43,11,9.57,24,20.87,45,39.13,05048
5,49,118,35,29.66,16,13.56,19,16.1,48,40.68,05049
5,50,116,33,28.45,19,16.38,35,30.17,29,25.0,05050
5,51,130,32,24.62,23,17.69,41,31.54,34,26.15,05051
5,52,98,23,23.47,6,6.12,33,33.67,36,36.73,05052
5,53,119,20,16.81,17,14.29,37,31.09,45,37.82,05053
5,54,103,20,19.42,4,3.88,26,25.24,53,51.46,05054
5,55,167,28,16.77,13,7.78,47,28.14,79,47.31,05055
5,56,95,22,23.16,14,14.74,27,28.42,32,33.68,05056
5,57,155,33,21.29,18,11.61,47,30.32,57,36.77,05057
5,58,101,22,21.78,12,11.88,22,21.78,45,44.55,05058
5,59,89,19,21.35,10,11.24,30,33.71,30,33.71,05059
6,1,266,47,17.67,16,6.02,73,27.44,130,48.87,06001
6,2,227,59,25.99,21,9.25,63,27.75,84,37.0,06002
6,3,210,48,22.86,24,11.43,64,30.48,74,35.24,06003
6,4,87,24,27.59,8,9.2,24,27.59,31,35.63,06004
6,5,101,29,28.71,9,8.91,36,35.64,27,26.73,06005
6,6,217,50,23.04,22,10.14,73,33.64,72,33.18,06006
6,7,165,38,23.03,17,10.3,66,40.0,44,26.67,06007
6,8,208,52,25.0,25,12.02,61,29.33,70,33.65,06008
6,9,255,43,16.86,13,5.1,54,21.18,145,56.86,06009
6,10,278,73,26.26,24,8.63,74,26.62,107,38.49,06010
6,11,198,56,28.28,10,5.05,43,21.72,89,44.95,06011
6,12,156,33,21.15,13,8.33,43,27.56,67,42.95,06012
6,13,185,30,16.22,21,11.35,43,23.24,91,49.19,06013
6,14,173,39,22.54,15,8.67,60,34.68,59,34.1,06014
6,15,118,30,25.42,17,14.41,37,31.36,34,28.81,06015
6,16,209,50,23.92,25,11.96,71,33.97,63,30.14,06016
6,17,240,58,24.17,18,7.5,60,25.0,104,43.33,06017
6,18,60,20,33.33,5,8.33,18,30.0,17,28.33,06018
6,19,178,41,23.03,12,6.74,56,31.46,69,38.76,06019
6,20,51,18,35.29,7,13.73,6,11.76,20,39.22,06020
6,21,211,43,20.38,20,9.48,64,30.33,84,39.81,06021
6,22,206,39,18.93,21,10.19,49,23.79,97,47.09,06022
6,23,155,36,23.23,14,9.03,54,34.84,51,32.9,06023
6,24,159,54,33.96,11,6.92,39,24.53,55,34.59,06024
6,25,197,37,18.78,14,7.11,58,29.44,88,44.67,06025
6,26,234,31,13.25,15,6.41,63,26.92,125,53.42,06026
6,27,270,66,24.44,26,9.63,59,21.85,119,44.07,06027
6,28,337,46,13.65,23,6.82,78,23.15,190,56.38,06028
6,29,253,55,21.74,22,8.7,80,31.62,96,37.94,06029
6,30,173,44,25.43,20,11.56,40,23.12,69,39.88,06030
6,31,247,68,27.53,18,7.29,85,34.41,76,30.77,06031
6,32,206,50,24.27,18,8.74,66,32.04,72,34.95,06032
6,33,225,57,25.33,29,12.89,75,33.33,64,28.44,06033
6,34,183,58,31.69,15,8.2,53,28.96,57,31.15,06034
6,35,255,65,25.49,23,9.02,76,29.8,91,35.69,06035
6,36,99,24,24.24,9,9.09,35,35.35,31,31.31,06036
6,37,252,44,17.46,18,7.14,73,28.97,117,46.43,06037
6,38,230,61,26.52,32,13.91,55,23.91,82,35.65,06038
6,39,116,33,28.45,13,11.21,35,30.17,35,30.17,06039
6,40,103,36,34.95,9,8.74,26,25.24,32,31.07,06040
6,41,232,29,12.5,9,3.88,57,24.57,137,59.05,06041
6,42,100,19,19.0,12,12.0,22,22.0,47,47.0,06042
6,43,225,49,21.78,33,14.67,72,32.0,71,31.56,06043
6,44,196,47,23.98,11,5.61,50,25.51,88,44.9,06044
6,45,109,27,24.77,13,11.93,40,36.7,29,26.61,06045
6,46,179,39,21.79,11,6.15,47,26.26,82,45.81,06046
6,47,212,31,14.62,16,7.55,89,41.98,76,35.85,06047
6,48,73,10,13.7,8,10.96,28,38.36,27,36.99,06048
6,49,169,33,19.53,18,10.65,60,35.5,58,34.32,06049
6,50,213,44,20.66,28,13.15,69,32.39,72,33.8,06050
6,51,144,36,25.0,13,9.03,45,31.25,50,34.72,06051
6,52,151,39,25.83,12,7.95,41,27.15,59,39.07,06052
6,53,161,35,21.74,17,10.56,64,39.75,45,27.95,06053
6,54,170,25,14.71,16,9.41,51,30.0,78,45.88,06054
6,55,146,29,19.86,14,9.59,49,33.56,54,36.99,06055
6,56,156,35,22.44,11,7.05,44,28.21,66,42.31,06056
6,57,113,26,23.01,16,14.16,33,29.2,38,33.63,06057
6,58,242,35,14.46,22,9.09,81,33.47,104,42.98,06058
6,59,178,52,29.21,12,6.74,59,33.15,55,30.9,06059
6,60,134,24,17.91,14,10.45,54,40.3,42,31.34,06060
6,61,129,36,27.91,14,10.85,40,31.01,39,30.23,06061
6,62,224,50,22.32,25,11.16,82,36.61,67,29.91,06062
6,63,169,34,20.12,11,6.51,55,32.54,69,40.83,06063
6,64,260,48,18.46,24,9.23,71,27.31,117,45.0,06064
7,1,291,42,14.43,22,7.56,165,56.7,62,21.31,07001
7,2,229,51,22.27,29,12.66,106,46.29,43,18.78,07002
7,3,151,34,22.52,9,5.96,64,42.38,44,29.14,07003
7,4,161,32,19.88,16,9.94,73,45.34,40,24.84,07004
7,5,134,33,24.63,14,10.45,66,49.25,21,15.67,07005
7,6,175,44,25.14,22,12.57,72,41.14,37,21.14,07006
7,7,155,33,21.29,14,9.03,79,50.97,29,18.71,07007
7,8,166,57,34.34,30,18.07,42,25.3,37,22.29,07008
7,9,210,36,17.14,18,8.57,100,47.62,56,26.67,07009
7,10,256,68,26.56,33,12.89,91,35.55,64,25.0,07010
7,11,182,34,18.68,8,4.4,79,43.41,61,33.52,07011
7,12,215,51,23.72,21,9.77,109,50.7,34,15.81,07012
7,13,92,22,23.91,5,5.43,42,45.65,23,25.0,07013
7,14,187,37,19.79,26,13.9,80,42.78,44,23.53,07014
7,15,224,50,22.32,34,15.18,81,36.16,59,26.34,07015
7,16,179,33,18.44,20,11.17,101,56.42,25,13.97,07016
7,17,151,42,27.81,17,11.26,54,35.76,38,25.17,07017
7,18,179,47,26.26,14,7.82,84,46.93,34,18.99,07018
7,19,220,51,23.18,22,10.0,89,40.45,58,26.36,07019
7,20,60,22,36.67,9,15.0,14,23.33,15,25.0,07020
7,21,187,44,23.53,17,9.09,94,50.27,32,17.11,07021
7,22,194,38,19.59,14,7.22,88,45.36,54,27.84,07022
7,23,181,40,22.1,24,13.26,88,48.62,29,16.02,07023
7,24,260,62,23.85,26,10.0,137,52.69,35,13.46,07024
7,25,182,40,21.98,14,7.69,77,42.31,51,28.02,07025
7,26,221,66,29.86,20,9.05,93,42.08,42,19.0,07026
7,27,211,49,23.22,31,14.69,72,34.12,59,27.96,07027
7,28,162,49,30.25,17,10.49,65,40.12,31,19.14,07028
7,29,115,21,18.26,6,5.22,64,55.65,24,20.87,07029
7,30,276,62,22.46,26,9.42,115,41.67,73,26.45,07030
7,31,260,56,21.54,28,10.77,121,46.54,55,21.15,07031
7,32,188,61,32.45,27,14.36,65,34.57,35,18.62,07032
7,33,219,55,25.11,28,12.79,99,45.21,37,16.89,07033
7,34,162,27,16.67,11,6.79,85,52.47,39,24.07,07034
7,35,243,62,25.51,22,9.05,106,43.62,53,21.81,07035
7,36,325,68,20.92,29,8.92,137,42.15,91,28.0,07036
7,37,249,49,19.68,22,8.84,96,38.55,82,32.93,07037
7,38,249,63,25.3,27,10.84,112,44.98,47,18.88,07038
7,39,185,56,30.27,14,7.57,73,39.46,42,22.7,07039
7,40,123,27,21.95,12,9.76,50,40.65,34,27.64,07040
7,41,228,55,24.12,22,9.65,108,47.37,43,18.86,07041
7,42,206,64,31.07,25,12.14,77,37.38,40,19.42,07042
7,43,209,30,14.35,33,15.79,90,43.06,56,26.79,07043
7,44,227,58,25.55,24,10.57,83,36.56,62,27.31,07044
7,45,275,45,16.36,17,6.18,167,60.73,46,16.73,07045
7,46,60,26,43.33,14,23.33,12,20.0,8,13.33,07046
8,1,234,47,20.09,24,10.26,112,47.86,51,21.79,08001
8,2,125,30,24.0,19,15.2,42,33.6,34,27.2,08002
8,3,297,66,22.22,20,6.73,115,38.72,96,32.32,08003
8,4,215,46,21.4,22,10.23,102,47.44,45,20.93,08004
8,5,263,50,19.01,18,6.84,122,46.39,73,27.76,08005
8,6,225,45,20.0,15,6.67,103,45.78,62,27.56,08006
8,7,158,38,24.05,18,11.39,64,40.51,38,24.05,08007
8,8,239,45,18.83,19,7.95,113,47.28,62,25.94,08008
8,9,271,54,19.93,22,8.12,120,44.28,75,27.68,08009
8,10,265,62,23.4,28,10.57,122,46.04,53,20.0,08010
8,11,159,56,35.22,20,12.58,57,35.85,26,16.35,08011
8,12,192,46,23.96,25,13.02,78,40.63,43,22.4,08012
8,13,170,27,15.88,12,7.06,90,52.94,41,24.12,08013
8,14,165,56,33.94,20,12.12,46,27.88,43,26.06,08014
8,15,169,40,23.67,24,14.2,66,39.05,39,23.08,08015
8,16,231,46,19.91,20,8.66,110,47.62,55,23.81,08016
8,17,169,39,23.08,13,7.69,78,46.15,39,23.08,08017
8,18,137,30,21.9,13,9.49,68,49.64,26,18.98,08018
8,19,245,44,17.96,23,9.39,117,47.76,61,24.9,08019
8,20,148,48,32.43,10,6.76,69,46.62,21,14.19,08020
8,21,154,25,16.23,15,9.74,62,40.26,52,33.77,08021
8,22,190,43,22.63,16,8.42,91,47.89,40,21.05,08022
8,23,180,35,19.44,9,5.0,97,53.89,39,21.67,08023
8,24,215,49,22.79,21,9.77,90,41.86,55,25.58,08024
8,25,203,33,16.26,27,13.3,96,47.29,47,23.15,08025
8,26,123,32,26.02,4,3.25,66,53.66,21,17.07,08026
8,27,239,37,15.48,20,8.37,111,46.44,71,29.71,08027
8,28,166,37,22.29,11,6.63,78,46.99,40,24.1,08028
8,29,216,33,15.28,12,5.56,119,55.09,52,24.07,08029
8,30,195,45,23.08,18,9.23,78,40.0,54,27.69,08030
8,31,165,43,26.06,6,3.64,85,51.52,31,18.79,08031
8,32,319,69,21.63,26,8.15,109,34.17,115,36.05,08032
8,33,204,33,16.18,21,10.29,116,56.86,34,16.67,08033
8,34,235,59,25.11,17,7.23,103,43.83,56,23.83,08034
8,35,258,59,22.87,21,8.14,114,44.19,64,24.81,08035
8,36,215,53,24.65,15,6.98,102,47.44,45,20.93,08036
8,37,181,57,31.49,30,16.57,59,32.6,35,19.34,08037
8,38,186,38,20.43,23,12.37,97,52.15,28,15.05,08038
8,39,233,53,22.75,25,10.73,87,37.34,68,29.18,08039
8,40,201,43,21.39,25,12.44,86,42.79,47,23.38,08040
8,41,179,35,19.55,13,7.26,102,56.98,29,16.2,08041
8,42,195,47,24.1,21,10.77,80,41.03,47,24.1,08042
8,43,157,57,36.31,18,11.46,49,31.21,33,21.02,08043
8,44,247,51,20.65,13,5.26,119,48.18,64,25.91,08044
8,45,170,34,20.0,12,7.06,90,52.94,34,20.0,08045
8,46,138,31,22.46,17,12.32,69,50.0,21,15.22,08046
