ward,precinct,total,YVONNE L. CHRISTIAN-WILLIAMS,YVONNE L. CHRISTIAN-WILLIAMS Percent,"JESSE L. JACKSON, JR.","JESSE L. JACKSON, JR. Percent",ANTHONY W. WILLIAMS,ANTHONY W. WILLIAMS Percent,precinct_id
8,50,247,12,4.86,231,93.52,4,1.62,08050
8,51,144,5,3.47,137,95.14,2,1.39,08051
8,57,272,19,6.99,253,93.01,0,0.0,08057
8,60,279,18,6.45,256,91.76,5,1.79,08060
8,62,319,13,4.08,305,95.61,1,0.31,08062
8,63,285,13,4.56,265,92.98,7,2.46,08063
8,65,268,16,5.97,248,92.54,4,1.49,08065
8,66,311,14,4.5,294,94.53,3,0.96,08066
9,1,289,19,6.57,266,92.04,4,1.38,09001
9,2,302,18,5.96,278,92.05,6,1.99,09002
9,3,182,25,13.74,144,79.12,13,7.14,09003
9,4,298,48,16.11,247,82.89,3,1.01,09004
9,5,261,18,6.9,241,92.34,2,0.77,09005
9,6,253,18,7.11,226,89.33,9,3.56,09006
9,7,235,21,8.94,206,87.66,8,3.4,09007
9,8,188,8,4.26,175,93.09,5,2.66,09008
9,9,316,24,7.59,287,90.82,5,1.58,09009
9,10,224,9,4.02,213,95.09,2,0.89,09010
9,11,160,16,10.0,134,83.75,10,6.25,09011
9,12,253,6,2.37,243,96.05,4,1.58,09012
9,13,334,13,3.89,314,94.01,7,2.1,09013
9,14,355,15,4.23,333,93.8,7,1.97,09014
9,15,105,15,14.29,87,82.86,3,2.86,09015
9,16,267,21,7.87,243,91.01,3,1.12,09016
9,17,208,9,4.33,195,93.75,4,1.92,09017
9,18,241,39,16.18,192,79.67,10,4.15,09018
9,19,291,25,8.59,258,88.66,8,2.75,09019
9,20,310,16,5.16,287,92.58,7,2.26,09020
9,21,185,13,7.03,172,92.97,0,0.0,09021
9,22,310,22,7.1,281,90.65,7,2.26,09022
9,23,167,13,7.78,146,87.43,8,4.79,09023
9,24,117,9,7.69,104,88.89,4,3.42,09024
9,25,120,4,3.33,111,92.5,5,4.17,09025
9,26,150,15,10.0,132,88.0,3,2.0,09026
9,27,155,9,5.81,145,93.55,1,0.65,09027
9,28,162,27,16.67,127,78.4,8,4.94,09028
9,29,230,12,5.22,215,93.48,3,1.3,09029
9,30,263,19,7.22,239,90.87,5,1.9,09030
9,31,200,14,7.0,182,91.0,4,2.0,09031
9,32,270,11,4.07,256,94.81,3,1.11,09032
9,33,178,16,8.99,159,89.33,3,1.69,09033
9,34,197,16,8.12,178,90.36,3,1.52,09034
9,35,258,13,5.04,242,93.8,3,1.16,09035
9,36,129,10,7.75,116,89.92,3,2.33,09036
9,37,225,43,19.11,159,70.67,23,10.22,09037
9,38,256,9,3.52,244,95.31,3,1.17,09038
9,39,232,28,12.07,202,87.07,2,0.86,09039
9,40,295,28,9.49,258,87.46,9,3.05,09040
9,41,329,74,22.49,253,76.9,2,0.61,09041
9,42,186,28,15.05,151,81.18,7,3.76,09042
9,43,180,14,7.78,162,90.0,4,2.22,09043
9,44,191,12,6.28,178,93.19,1,0.52,09044
9,45,292,25,8.56,263,90.07,4,1.37,09045
9,46,208,16,7.69,186,89.42,6,2.88,09046
9,47,137,15,10.95,117,85.4,5,3.65,09047
9,48,301,28,9.3,268,89.04,5,1.66,09048
9,49,96,6,6.25,86,89.58,4,4.17,09049
9,50,299,38,12.71,252,84.28,9,3.01,09050
9,51,182,7,3.85,173,95.05,2,1.1,09051
9,52,267,16,5.99,248,92.88,3,1.12,09052
10,1,153,24,15.69,124,81.05,5,3.27,10001
10,2,108,39,36.11,45,41.67,24,22.22,10002
10,3,110,40,36.36,34,30.91,36,32.73,10003
10,4,130,22,16.92,89,68.46,19,14.62,10004
10,5,125,36,28.8,58,46.4,31,24.8,10005
10,6,287,18,6.27,255,88.85,14,4.88,10006
10,7,43,9,20.93,33,76.74,1,2.33,10007
10,8,141,47,33.33,63,44.68,31,21.99,10008
10,9,151,34,22.52,71,47.02,46,30.46,10009
10,10,215,8,3.72,207,96.28,0,0.0,10010
10,11,141,45,31.91,69,48.94,27,19.15,10011
10,12,123,37,30.08,58,47.15,28,22.76,10012
10,13,202,67,33.17,99,49.01,36,17.82,10013
10,14,38,6,15.79,25,65.79,7,18.42,10014
10,15,74,28,37.84,29,39.19,17,22.97,10015
10,16,159,55,34.59,61,38.36,43,27.04,10016
10,17,110,35,31.82,47,42.73,28,25.45,10017
10,18,100,11,11.0,79,79.0,10,10.0,10018
10,19,233,61,26.18,100,42.92,72,30.9,10019
10,20,245,86,35.1,113,46.12,46,18.78,10020
10,21,110,39,35.45,44,40.0,27,24.55,10021
10,22,41,8,19.51,24,58.54,9,21.95,10022
10,23,126,32,25.4,73,57.94,21,16.67,10023
10,24,131,36,27.48,59,45.04,36,27.48,10024
10,25,190,33,17.37,145,76.32,12,6.32,10025
10,26,111,29,26.13,62,55.86,20,18.02,10026
10,27,193,55,28.5,83,43.01,55,28.5,10027
10,28,192,11,5.73,170,88.54,11,5.73,10028
10,29,219,10,4.57,202,92.24,7,3.2,10029
10,30,159,39,24.53,97,61.01,23,14.47,10030
10,31,144,48,33.33,73,50.69,23,15.97,10031
10,32,136,39,28.68,73,53.68,24,17.65,10032
10,33,134,34,25.37,73,54.48,27,20.15,10033
10,34,123,40,32.52,59,47.97,24,19.51,10034
10,35,133,46,34.59,64,48.12,23,17.29,10035
10,36,190,29,15.26,149,78.42,12,6.32,10036
10,37,132,12,9.09,118,89.39,2,1.52,10037
10,38,192,53,27.6,93,48.44,46,23.96,10038
10,39,138,40,28.99,72,52.17,26,18.84,10039
10,40,128,22,17.19,92,71.88,14,10.94,10040
10,41,264,59,22.35,129,48.86,76,28.79,10041
10,42,155,59,38.06,61,39.35,35,22.58,10042
10,43,136,12,8.82,119,87.5,5,3.68,10043
10,44,144,40,27.78,80,55.56,24,16.67,10044
10,45,162,47,29.01,85,52.47,30,18.52,10045
10,46,136,39,28.68,78,57.35,19,13.97,10046
21,32,129,11,8.53,116,89.92,2,1.55,21032
21,68,127,5,3.94,122,96.06,0,0.0,21068
34,1,357,17,4.76,335,93.84,5,1.4,34001
34,2,246,10,4.07,234,95.12,2,0.81,34002
34,3,179,13,7.26,165,92.18,1,0.56,34003
34,4,218,12,5.5,200,91.74,6,2.75,34004
34,5,135,3,2.22,130,96.3,2,1.48,34005
34,6,261,11,4.21,246,94.25,4,1.53,34006
34,7,325,22,6.77,300,92.31,3,0.92,34007
34,8,283,14,4.95,266,93.99,3,1.06,34008
34,9,180,11,6.11,168,93.33,1,0.56,34009
34,10,324,18,5.56,303,93.52,3,0.93,34010
34,11,157,15,9.55,140,89.17,2,1.27,34011
34,12,240,6,2.5,231,96.25,3,1.25,34012
34,13,129,8,6.2,117,90.7,4,3.1,34013
34,14,147,9,6.12,136,92.52,2,1.36,34014
34,15,136,8,5.88,126,92.65,2,1.47,34015
34,16,176,6,3.41,167,94.89,3,1.7,34016
34,17,245,11,4.49,226,92.24,8,3.27,34017
34,18,173,6,3.47,165,95.38,2,1.16,34018
34,19,186,4,2.15,176,94.62,6,3.23,34019
34,20,296,17,5.74,275,92.91,4,1.35,34020
34,21,319,20,6.27,296,92.79,3,0.94,34021
34,22,317,17,5.36,295,93.06,5,1.58,34022
34,23,217,14,6.45,202,93.09,1,0.46,34023
34,24,233,17,7.3,212,90.99,4,1.72,34024
34,25,147,8,5.44,135,91.84,4,2.72,34025
34,26,193,7,3.63,183,94.82,3,1.55,34026
34,27,151,12,7.95,136,90.07,3,1.99,34027
34,28,140,5,3.57,133,95.0,2,1.43,34028
34,29,293,13,4.44,277,94.54,3,1.02,34029
34,30,335,22,6.57,302,90.15,11,3.28,34030
34,31,228,11,4.82,215,94.3,2,0.88,34031
34,32,253,8,3.16,239,94.47,6,2.37,34032
34,34,270,12,4.44,252,93.33,6,2.22,34034
34,35,299,13,4.35,284,94.98,2,0.67,34035
34,36,323,19,5.88,297,91.95,7,2.17,34036
34,37,141,7,4.96,131,92.91,3,2.13,34037
34,38,162,5,3.09,151,93.21,6,3.7,34038
34,39,154,4,2.6,146,94.81,4,2.6,34039
34,40,270,9,3.33,258,95.56,3,1.11,34040
34,41,211,15,7.11,190,90.05,6,2.84,34041
34,42,284,22,7.75,256,90.14,6,2.11,34042
34,43,277,11,3.97,262,94.58,4,1.44,34043
34,44,248,15,6.05,232,93.55,1,0.4,34044
34,45,322,10,3.11,310,96.27,2,0.62,34045
34,46,171,9,5.26,161,94.15,1,0.58,34046
34,48,251,9,3.59,237,94.42,5,1.99,34048
34,49,317,17,5.36,294,92.74,6,1.89,34049
34,50,188,15,7.98,173,92.02,0,0.0,34050
34,52,200,6,3.0,188,94.0,6,3.0,34052
34,53,200,17,8.5,180,90.0,3,1.5,34053
34,54,214,5,2.34,207,96.73,2,0.93,34054
34,55,163,8,4.91,153,93.87,2,1.23,34055
34,56,177,7,3.95,170,96.05,0,0.0,34056
34,57,150,11,7.33,136,90.67,3,2.0,34057
34,58,217,6,2.76,210,96.77,1,0.46,34058
34,59,193,11,5.7,181,93.78,1,0.52,34059
34,60,230,15,6.52,214,93.04,1,0.43,34060
34,61,231,11,4.76,216,93.51,4,1.73,34061
