ward,precinct,total,"JACQUELINE """"JACQUI"""" Y. COLLINS","JACQUELINE """"JACQUI"""" Y. COLLINS Percent","MELVIN """"MEL"""" CALDWELL","MELVIN """"MEL"""" CALDWELL Percent",precinct_id
17,32,182,163,89.56,19,10.44,17032
17,33,207,185,89.37,22,10.63,17033
17,34,150,131,87.33,19,12.67,17034
17,35,135,123,91.11,12,8.89,17035
17,36,110,97,88.18,13,11.82,17036
17,37,181,163,90.06,18,9.94,17037
17,38,162,144,88.89,18,11.11,17038
17,39,161,141,87.58,20,12.42,17039
17,40,164,136,82.93,28,17.07,17040
17,41,160,129,80.63,31,19.38,17041
17,42,4,4,100.0,0,0.0,17042
17,43,146,121,82.88,25,17.12,17043
17,44,159,149,93.71,10,6.29,17044
17,45,103,91,88.35,12,11.65,17045
17,46,201,173,86.07,28,13.93,17046
17,47,102,92,90.2,10,9.8,17047
17,48,104,96,92.31,8,7.69,17048
17,49,138,119,86.23,19,13.77,17049
17,50,168,153,91.07,15,8.93,17050
17,51,201,184,91.54,17,8.46,17051
17,52,274,249,90.88,25,9.12,17052
17,53,189,172,91.01,17,8.99,17053
17,54,212,176,83.02,36,16.98,17054
17,55,167,151,90.42,16,9.58,17055
18,1,212,182,85.85,30,14.15,18001
18,2,206,162,78.64,44,21.36,18002
18,3,185,155,83.78,30,16.22,18003
18,4,327,230,70.34,97,29.66,18004
18,5,190,161,84.74,29,15.26,18005
18,6,219,203,92.69,16,7.31,18006
18,7,96,78,81.25,18,18.75,18007
18,8,177,141,79.66,36,20.34,18008
18,9,96,79,82.29,17,17.71,18009
18,10,347,279,80.4,68,19.6,18010
18,11,155,124,80.0,31,20.0,18011
18,12,190,161,84.74,29,15.26,18012
18,13,193,126,65.28,67,34.72,18013
18,14,304,210,69.08,94,30.92,18014
18,15,157,130,82.8,27,17.2,18015
18,16,214,184,85.98,30,14.02,18016
18,17,243,193,79.42,50,20.58,18017
18,18,188,155,82.45,33,17.55,18018
18,20,219,190,86.76,29,13.24,18020
18,21,263,198,75.29,65,24.71,18021
18,22,236,166,70.34,70,29.66,18022
18,23,159,122,76.73,37,23.27,18023
18,26,156,141,90.38,15,9.62,18026
18,28,180,150,83.33,30,16.67,18028
18,29,155,116,74.84,39,25.16,18029
18,30,2,2,100.0,0,0.0,18030
18,31,155,128,82.58,27,17.42,18031
18,33,177,143,80.79,34,19.21,18033
18,35,262,204,77.86,58,22.14,18035
18,36,111,91,81.98,20,18.02,18036
18,37,133,94,70.68,39,29.32,18037
18,38,265,215,81.13,50,18.87,18038
18,39,50,45,90.0,5,10.0,18039
18,40,265,198,74.72,67,25.28,18040
18,44,50,47,94.0,3,6.0,18044
18,47,279,242,86.74,37,13.26,18047
18,48,127,98,77.17,29,22.83,18048
18,49,118,96,81.36,22,18.64,18049
18,50,200,167,83.5,33,16.5,18050
18,54,256,170,66.41,86,33.59,18054
18,55,185,166,89.73,19,10.27,18055
18,57,164,138,84.15,26,15.85,18057
18,58,124,113,91.13,11,8.87,18058
18,60,183,168,91.8,15,8.2,18060
18,61,231,209,90.48,22,9.52,18061
20,10,187,151,80.75,36,19.25,20010
20,13,1,1,100.0,0,0.0,20013
20,16,77,60,77.92,17,22.08,20016
20,25,115,103,89.57,12,10.43,20025
20,28,186,137,73.66,49,26.34,20028
20,30,163,121,74.23,42,25.77,20030
20,35,97,54,55.67,43,44.33,20035
20,40,134,106,79.1,28,20.9,20040
20,43,234,209,89.32,25,10.68,20043
20,44,0,0,0.0,0,0.0,20044
20,49,131,120,91.6,11,8.4,20049
20,51,141,105,74.47,36,25.53,20051
21,2,133,109,81.95,24,18.05,21002
21,13,12,11,91.67,1,8.33,21013
21,17,123,107,86.99,16,13.01,21017
21,34,256,240,93.75,16,6.25,21034
21,37,139,121,87.05,18,12.95,21037
21,41,183,165,90.16,18,9.84,21041
21,62,263,236,89.73,27,10.27,21062
21,64,101,88,87.13,13,12.87,21064
21,65,211,188,89.1,23,10.9,21065
21,70,155,119,76.77,36,23.23,21070
