ward,precinct,total,MARGARET SMITH,MARGARET SMITH Percent,MARTINI SHAW,MARTINI SHAW Percent,GALEN L. McGEE,GALEN L. McGEE Percent,HAL BASKIN,HAL BASKIN Percent,precinct_id
3,35,133,117,87.97,15,11.28,0,0.0,1,0.75,03035
3,36,56,41,73.21,10,17.86,3,5.36,2,3.57,03036
3,37,126,99,78.57,21,16.67,3,2.38,3,2.38,03037
3,38,31,23,74.19,6,19.35,0,0.0,2,6.45,03038
3,40,161,129,80.12,25,15.53,5,3.11,2,1.24,03040
3,41,113,85,75.22,21,18.58,5,4.42,2,1.77,03041
3,42,79,44,55.7,26,32.91,2,2.53,7,8.86,03042
3,43,0,0,0.0,0,0.0,0,0.0,0,0.0,03043
3,44,106,78,73.58,22,20.75,0,0.0,6,5.66,03044
3,45,71,42,59.15,26,36.62,1,1.41,2,2.82,03045
3,46,22,17,77.27,2,9.09,3,13.64,0,0.0,03046
3,47,121,84,69.42,29,23.97,5,4.13,3,2.48,03047
3,48,164,105,64.02,39,23.78,10,6.1,10,6.1,03048
3,49,146,110,75.34,22,15.07,9,6.16,5,3.42,03049
3,50,158,137,86.71,12,7.59,7,4.43,2,1.27,03050
3,51,72,34,47.22,26,36.11,8,11.11,4,5.56,03051
3,52,200,126,63.0,52,26.0,11,5.5,11,5.5,03052
4,8,141,104,73.76,23,16.31,12,8.51,2,1.42,04008
11,12,251,211,84.06,14,5.58,18,7.17,8,3.19,11012
11,13,230,198,86.09,16,6.96,11,4.78,5,2.17,11013
11,15,180,143,79.44,23,12.78,10,5.56,4,2.22,11015
11,25,0,0,0.0,0,0.0,0,0.0,0,0.0,11025
11,28,31,25,80.65,2,6.45,1,3.23,3,9.68,11028
11,30,0,0,0.0,0,0.0,0,0.0,0,0.0,11030
11,32,189,156,82.54,18,9.52,11,5.82,4,2.12,11032
11,33,186,140,75.27,30,16.13,13,6.99,3,1.61,11033
11,34,133,93,69.92,30,22.56,7,5.26,3,2.26,11034
11,35,279,245,87.81,13,4.66,10,3.58,11,3.94,11035
11,37,195,169,86.67,14,7.18,7,3.59,5,2.56,11037
11,38,100,78,78.0,10,10.0,5,5.0,7,7.0,11038
11,39,289,230,79.58,42,14.53,7,2.42,10,3.46,11039
11,40,61,51,83.61,5,8.2,1,1.64,4,6.56,11040
11,41,34,25,73.53,4,11.76,4,11.76,1,2.94,11041
11,42,134,110,82.09,14,10.45,6,4.48,4,2.99,11042
11,43,223,174,78.03,32,14.35,8,3.59,9,4.04,11043
11,45,82,77,93.9,1,1.22,1,1.22,3,3.66,11045
11,46,149,117,78.52,21,14.09,8,5.37,3,2.01,11046
11,48,130,107,82.31,7,5.38,11,8.46,5,3.85,11048
11,49,153,134,87.58,7,4.58,8,5.23,4,2.61,11049
11,50,56,52,92.86,2,3.57,2,3.57,0,0.0,11050
11,51,209,166,79.43,28,13.4,11,5.26,4,1.91,11051
11,52,109,88,80.73,9,8.26,7,6.42,5,4.59,11052
11,53,210,184,87.62,12,5.71,6,2.86,8,3.81,11053
11,54,73,71,97.26,1,1.37,1,1.37,0,0.0,11054
12,16,67,33,49.25,22,32.84,7,10.45,5,7.46,12016
12,25,129,72,55.81,36,27.91,16,12.4,5,3.88,12025
12,28,69,40,57.97,20,28.99,4,5.8,5,7.25,12028
15,2,196,123,62.76,45,22.96,16,8.16,12,6.12,15002
15,4,123,81,65.85,34,27.64,2,1.63,6,4.88,15004
15,5,150,97,64.67,36,24.0,8,5.33,9,6.0,15005
15,7,11,4,36.36,3,27.27,3,27.27,1,9.09,15007
15,17,180,95,52.78,51,28.33,13,7.22,21,11.67,15017
15,18,179,94,52.51,55,30.73,10,5.59,20,11.17,15018
15,20,127,65,51.18,44,34.65,10,7.87,8,6.3,15020
15,22,150,94,62.67,34,22.67,14,9.33,8,5.33,15022
15,23,120,75,62.5,35,29.17,7,5.83,3,2.5,15023
15,24,145,97,66.9,29,20.0,9,6.21,10,6.9,15024
15,26,159,80,50.31,61,38.36,6,3.77,12,7.55,15026
15,29,125,78,62.4,35,28.0,9,7.2,3,2.4,15029
15,30,27,12,44.44,12,44.44,1,3.7,2,7.41,15030
15,31,37,26,70.27,8,21.62,1,2.7,2,5.41,15031
15,33,1,0,0.0,0,0.0,1,100.0,0,0.0,15033
15,35,207,116,56.04,68,32.85,12,5.8,11,5.31,15035
15,36,153,85,55.56,53,34.64,7,4.58,8,5.23,15036
15,37,159,87,54.72,50,31.45,6,3.77,16,10.06,15037
15,38,138,94,68.12,29,21.01,7,5.07,8,5.8,15038
15,39,142,76,53.52,29,20.42,7,4.93,30,21.13,15039
15,40,119,71,59.66,37,31.09,5,4.2,6,5.04,15040
15,43,146,82,56.16,50,34.25,7,4.79,7,4.79,15043
15,48,46,27,58.7,11,23.91,3,6.52,5,10.87,15048
15,49,58,39,67.24,14,24.14,3,5.17,2,3.45,15049
15,50,145,83,57.24,33,22.76,14,9.66,15,10.34,15050
16,1,90,49,54.44,27,30.0,8,8.89,6,6.67,16001
16,2,147,92,62.59,32,21.77,5,3.4,18,12.24,16002
16,3,161,88,54.66,19,11.8,7,4.35,47,29.19,16003
16,4,48,34,70.83,8,16.67,2,4.17,4,8.33,16004
16,5,155,79,50.97,38,24.52,11,7.1,27,17.42,16005
16,6,113,71,62.83,22,19.47,11,9.73,9,7.96,16006
16,7,81,58,71.6,11,13.58,4,4.94,8,9.88,16007
16,8,156,78,50.0,44,28.21,10,6.41,24,15.38,16008
16,9,233,102,43.78,65,27.9,10,4.29,56,24.03,16009
16,10,207,80,38.65,31,14.98,4,1.93,92,44.44,16010
16,12,108,59,54.63,29,26.85,5,4.63,15,13.89,16012
16,13,2,1,50.0,1,50.0,0,0.0,0,0.0,16013
16,14,140,82,58.57,28,20.0,5,3.57,25,17.86,16014
16,15,140,71,50.71,30,21.43,8,5.71,31,22.14,16015
16,16,66,32,48.48,15,22.73,3,4.55,16,24.24,16016
16,17,37,21,56.76,8,21.62,0,0.0,8,21.62,16017
16,18,92,59,64.13,13,14.13,1,1.09,19,20.65,16018
16,19,131,79,60.31,34,25.95,6,4.58,12,9.16,16019
16,20,155,63,40.65,32,20.65,8,5.16,52,33.55,16020
16,22,124,65,52.42,26,20.97,5,4.03,28,22.58,16022
16,24,118,63,53.39,24,20.34,5,4.24,26,22.03,16024
16,25,105,81,77.14,10,9.52,4,3.81,10,9.52,16025
16,26,179,114,63.69,22,12.29,5,2.79,38,21.23,16026
16,27,115,72,62.61,17,14.78,5,4.35,21,18.26,16027
16,28,162,92,56.79,26,16.05,5,3.09,39,24.07,16028
16,29,104,63,60.58,19,18.27,3,2.88,19,18.27,16029
16,30,172,104,60.47,38,22.09,9,5.23,21,12.21,16030
16,31,160,99,61.88,18,11.25,9,5.63,34,21.25,16031
16,32,45,22,48.89,8,17.78,3,6.67,12,26.67,16032
16,33,118,68,57.63,13,11.02,3,2.54,34,28.81,16033
16,34,124,63,50.81,16,12.9,5,4.03,40,32.26,16034
16,35,105,69,65.71,11,10.48,5,4.76,20,19.05,16035
16,36,136,71,52.21,17,12.5,4,2.94,44,32.35,16036
16,37,102,53,51.96,13,12.75,5,4.9,31,30.39,16037
16,38,219,140,63.93,52,23.74,6,2.74,21,9.59,16038
16,39,133,71,53.38,41,30.83,10,7.52,11,8.27,16039
16,40,205,98,47.8,32,15.61,7,3.41,68,33.17,16040
16,41,76,44,57.89,17,22.37,5,6.58,10,13.16,16041
17,13,2,1,50.0,0,0.0,0,0.0,1,50.0,17013
17,14,69,42,60.87,12,17.39,5,7.25,10,14.49,17014
17,19,21,10,47.62,2,9.52,1,4.76,8,38.1,17019
17,42,37,12,32.43,10,27.03,3,8.11,12,32.43,17042
20,1,171,109,63.74,34,19.88,18,10.53,10,5.85,20001
20,3,193,138,71.5,37,19.17,14,7.25,4,2.07,20003
20,4,171,126,73.68,27,15.79,11,6.43,7,4.09,20004
20,6,164,104,63.41,38,23.17,16,9.76,6,3.66,20006
20,7,97,62,63.92,18,18.56,13,13.4,4,4.12,20007
20,8,117,92,78.63,19,16.24,3,2.56,3,2.56,20008
20,11,107,75,70.09,19,17.76,9,8.41,4,3.74,20011
20,12,154,107,69.48,35,22.73,9,5.84,3,1.95,20012
20,13,2,2,100.0,0,0.0,0,0.0,0,0.0,20013
20,14,245,165,67.35,52,21.22,21,8.57,7,2.86,20014
20,15,168,120,71.43,38,22.62,6,3.57,4,2.38,20015
20,16,0,0,0.0,0,0.0,0,0.0,0,0.0,20016
20,17,140,95,67.86,34,24.29,6,4.29,5,3.57,20017
20,19,144,78,54.17,17,11.81,11,7.64,38,26.39,20019
20,20,136,84,61.76,27,19.85,5,3.68,20,14.71,20020
20,21,128,98,76.56,19,14.84,5,3.91,6,4.69,20021
20,23,144,80,55.56,42,29.17,18,12.5,4,2.78,20023
20,25,0,0,0.0,0,0.0,0,0.0,0,0.0,20025
20,27,113,77,68.14,24,21.24,6,5.31,6,5.31,20027
20,31,135,101,74.81,23,17.04,8,5.93,3,2.22,20031
20,33,191,141,73.82,34,17.8,10,5.24,6,3.14,20033
20,37,126,92,73.02,28,22.22,5,3.97,1,0.79,20037
20,39,153,94,61.44,27,17.65,4,2.61,28,18.3,20039
20,41,36,29,80.56,5,13.89,2,5.56,0,0.0,20041
20,42,58,39,67.24,13,22.41,4,6.9,2,3.45,20042
20,44,161,117,72.67,25,15.53,5,3.11,14,8.7,20044
20,45,38,29,76.32,6,15.79,1,2.63,2,5.26,20045
20,46,88,63,71.59,14,15.91,3,3.41,8,9.09,20046
20,48,105,76,72.38,25,23.81,2,1.9,2,1.9,20048
20,50,115,79,68.7,21,18.26,9,7.83,6,5.22,20050
20,52,43,30,69.77,11,25.58,1,2.33,1,2.33,20052
25,3,179,155,86.59,11,6.15,6,3.35,7,3.91,25003
25,14,174,153,87.93,10,5.75,5,2.87,6,3.45,25014
25,16,126,109,86.51,16,12.7,0,0.0,1,0.79,25016
25,18,194,168,86.6,18,9.28,7,3.61,1,0.52,25018
25,21,142,112,78.87,19,13.38,8,5.63,3,2.11,25021
27,5,76,49,64.47,16,21.05,5,6.58,6,7.89,27005
27,6,112,70,62.5,24,21.43,17,15.18,1,0.89,27006
27,9,255,198,77.65,43,16.86,8,3.14,6,2.35,27009
27,12,135,113,83.7,12,8.89,7,5.19,3,2.22,27012
27,13,299,187,62.54,53,17.73,20,6.69,39,13.04,27013
27,14,74,56,75.68,12,16.22,4,5.41,2,2.7,27014
27,16,89,42,47.19,26,29.21,8,8.99,13,14.61,27016
27,20,255,201,78.82,33,12.94,18,7.06,3,1.18,27020
27,21,89,54,60.67,14,15.73,18,20.22,3,3.37,27021
27,28,144,101,70.14,30,20.83,8,5.56,5,3.47,27028
27,37,193,143,74.09,34,17.62,8,4.15,8,4.15,27037
27,38,104,53,50.96,25,24.04,6,5.77,20,19.23,27038
27,39,101,60,59.41,16,15.84,24,23.76,1,0.99,27039
27,42,79,35,44.3,27,34.18,8,10.13,9,11.39,27042
27,43,125,78,62.4,21,16.8,19,15.2,7,5.6,27043
27,50,0,0,0.0,0,0.0,0,0.0,0,0.0,27050
27,51,119,88,73.95,23,19.33,5,4.2,3,2.52,27051
27,52,57,49,85.96,3,5.26,5,8.77,0,0.0,27052
42,3,70,34,48.57,24,34.29,5,7.14,7,10.0,42003
42,4,99,48,48.48,28,28.28,6,6.06,17,17.17,42004
42,9,35,24,68.57,1,2.86,5,14.29,5,14.29,42009
42,17,92,44,47.83,22,23.91,5,5.43,21,22.83,42017
42,19,58,33,56.9,14,24.14,7,12.07,4,6.9,42019
42,20,63,34,53.97,19,30.16,3,4.76,7,11.11,42020
42,22,64,39,60.94,16,25.0,0,0.0,9,14.06,42022
42,27,177,105,59.32,46,25.99,12,6.78,14,7.91,42027
42,45,90,37,41.11,31,34.44,9,10.0,13,14.44,42045
42,46,39,29,74.36,4,10.26,4,10.26,2,5.13,42046
42,55,102,58,56.86,28,27.45,5,4.9,11,10.78,42055
42,56,73,30,41.1,24,32.88,8,10.96,11,15.07,42056
42,57,82,38,46.34,27,32.93,13,15.85,4,4.88,42057
42,58,196,121,61.73,43,21.94,13,6.63,19,9.69,42058
42,59,75,73,97.33,2,2.67,0,0.0,0,0.0,42059
42,60,53,26,49.06,15,28.3,4,7.55,8,15.09,42060
42,61,9,8,88.89,0,0.0,1,11.11,0,0.0,42061
43,55,113,62,54.87,29,25.66,13,11.5,9,7.96,43055
