ward,precinct,total,"JOHN B. DILLON, JR.","JOHN B. DILLON, JR. Percent",SANDRA OTAKA,SANDRA OTAKA Percent,ROBERT L. ABRAHAM,ROBERT L. ABRAHAM Percent,STUART P. KATZ,STUART P. KATZ Percent,LARRY G. AXELROOD,LARRY G. AXELROOD Percent,JACQUELINE A. WALKER,JACQUELINE A. WALKER Percent,JUDY FRYDLAND,JUDY FRYDLAND Percent,precinct_id
50,32,101,11,10.89,55,54.46,4,3.96,2,1.98,8,7.92,16,15.84,5,4.95,50032
50,33,84,6,7.14,31,36.9,11,13.1,13,15.48,11,13.1,7,8.33,5,5.95,50033
50,34,135,14,10.37,85,62.96,6,4.44,11,8.15,3,2.22,11,8.15,5,3.7,50034
50,35,176,12,6.82,99,56.25,12,6.82,19,10.8,17,9.66,11,6.25,6,3.41,50035
50,36,143,17,11.89,55,38.46,14,9.79,25,17.48,16,11.19,11,7.69,5,3.5,50036
50,37,175,14,8.0,98,56.0,13,7.43,12,6.86,18,10.29,14,8.0,6,3.43,50037
50,38,150,2,1.33,63,42.0,14,9.33,40,26.67,22,14.67,4,2.67,5,3.33,50038
50,39,150,10,6.67,69,46.0,20,13.33,28,18.67,13,8.67,6,4.0,4,2.67,50039
50,40,158,7,4.43,62,39.24,11,6.96,20,12.66,38,24.05,10,6.33,10,6.33,50040
50,41,217,6,2.76,80,36.87,30,13.82,52,23.96,28,12.9,7,3.23,14,6.45,50041
50,42,218,10,4.59,88,40.37,16,7.34,29,13.3,30,13.76,5,2.29,40,18.35,50042
50,43,169,8,4.73,65,38.46,17,10.06,31,18.34,36,21.3,4,2.37,8,4.73,50043
50,44,189,5,2.65,104,55.03,8,4.23,37,19.58,24,12.7,3,1.59,8,4.23,50044
50,45,171,13,7.6,87,50.88,11,6.43,26,15.2,18,10.53,7,4.09,9,5.26,50045
50,46,110,14,12.73,62,56.36,5,4.55,8,7.27,6,5.45,9,8.18,6,5.45,50046
