ward,precinct,total,NANCY A. DONAHOE,NANCY A. DONAHOE Percent,ROBERT BRENNAN QUINLIVAN,ROBERT BRENNAN QUINLIVAN Percent,MARGARET ANN BRENNAN,MARGARET ANN BRENNAN Percent,precinct_id
2,2,196,61,31.12,48,24.49,87,44.39,02002
2,3,85,21,24.71,23,27.06,41,48.24,02003
2,4,51,12,23.53,14,27.45,25,49.02,02004
2,5,69,22,31.88,14,20.29,33,47.83,02005
2,6,69,26,37.68,11,15.94,32,46.38,02006
2,7,186,52,27.96,33,17.74,101,54.3,02007
2,8,150,41,27.33,47,31.33,62,41.33,02008
2,9,0,0,0.0,0,0.0,0,0.0,02009
2,10,67,23,34.33,15,22.39,29,43.28,02010
2,11,239,71,29.71,83,34.73,85,35.56,02011
2,12,133,35,26.32,29,21.8,69,51.88,02012
2,13,168,37,22.02,47,27.98,84,50.0,02013
2,14,183,60,32.79,36,19.67,87,47.54,02014
2,15,38,12,31.58,9,23.68,17,44.74,02015
2,16,78,18,23.08,20,25.64,40,51.28,02016
2,17,109,36,33.03,26,23.85,47,43.12,02017
2,18,146,48,32.88,23,15.75,75,51.37,02018
2,19,64,12,18.75,26,40.63,26,40.63,02019
2,20,118,31,26.27,15,12.71,72,61.02,02020
2,21,113,36,31.86,21,18.58,56,49.56,02021
2,22,289,93,32.18,80,27.68,116,40.14,02022
2,23,99,28,28.28,17,17.17,54,54.55,02023
2,24,63,33,52.38,8,12.7,22,34.92,02024
2,25,61,18,29.51,15,24.59,28,45.9,02025
2,26,88,27,30.68,19,21.59,42,47.73,02026
2,27,18,4,22.22,4,22.22,10,55.56,02027
2,28,164,48,29.27,33,20.12,83,50.61,02028
2,29,61,10,16.39,21,34.43,30,49.18,02029
2,30,79,27,34.18,18,22.78,34,43.04,02030
2,31,148,38,25.68,25,16.89,85,57.43,02031
2,32,73,23,31.51,19,26.03,31,42.47,02032
2,33,204,75,36.76,39,19.12,90,44.12,02033
2,34,108,38,35.19,17,15.74,53,49.07,02034
2,35,28,12,42.86,8,28.57,8,28.57,02035
2,36,46,16,34.78,9,19.57,21,45.65,02036
2,37,162,55,33.95,45,27.78,62,38.27,02037
2,38,115,28,24.35,22,19.13,65,56.52,02038
2,39,141,45,31.91,38,26.95,58,41.13,02039
2,40,150,40,26.67,40,26.67,70,46.67,02040
2,41,28,5,17.86,9,32.14,14,50.0,02041
2,42,46,19,41.3,9,19.57,18,39.13,02042
2,43,161,53,32.92,57,35.4,51,31.68,02043
2,44,104,30,28.85,28,26.92,46,44.23,02044
2,45,49,22,44.9,6,12.24,21,42.86,02045
2,46,227,91,40.09,31,13.66,105,46.26,02046
2,47,85,21,24.71,20,23.53,44,51.76,02047
2,48,151,46,30.46,35,23.18,70,46.36,02048
2,49,59,19,32.2,16,27.12,24,40.68,02049
2,50,71,30,42.25,10,14.08,31,43.66,02050
2,51,125,44,35.2,22,17.6,59,47.2,02051
2,52,107,39,36.45,26,24.3,42,39.25,02052
2,53,65,18,27.69,11,16.92,36,55.38,02053
2,54,140,41,29.29,42,30.0,57,40.71,02054
2,55,103,35,33.98,17,16.5,51,49.51,02055
2,56,39,13,33.33,8,20.51,18,46.15,02056
3,1,106,44,41.51,22,20.75,40,37.74,03001
3,2,200,99,49.5,26,13.0,75,37.5,03002
3,3,19,8,42.11,4,21.05,7,36.84,03003
3,4,45,24,53.33,6,13.33,15,33.33,03004
3,5,0,0,0.0,0,0.0,0,0.0,03005
3,6,0,0,0.0,0,0.0,0,0.0,03006
3,7,0,0,0.0,0,0.0,0,0.0,03007
3,8,80,19,23.75,27,33.75,34,42.5,03008
3,9,84,34,40.48,16,19.05,34,40.48,03009
3,10,72,29,40.28,11,15.28,32,44.44,03010
3,11,94,42,44.68,15,15.96,37,39.36,03011
3,12,129,68,52.71,24,18.6,37,28.68,03012
3,13,3,0,0.0,0,0.0,3,100.0,03013
3,14,54,22,40.74,9,16.67,23,42.59,03014
3,15,101,47,46.53,18,17.82,36,35.64,03015
3,16,192,107,55.73,33,17.19,52,27.08,03016
3,17,124,72,58.06,18,14.52,34,27.42,03017
3,18,103,41,39.81,14,13.59,48,46.6,03018
3,19,58,12,20.69,15,25.86,31,53.45,03019
3,20,32,6,18.75,14,43.75,12,37.5,03020
3,21,78,43,55.13,15,19.23,20,25.64,03021
3,22,102,47,46.08,14,13.73,41,40.2,03022
3,23,44,13,29.55,9,20.45,22,50.0,03023
3,24,124,38,30.65,18,14.52,68,54.84,03024
3,25,27,12,44.44,7,25.93,8,29.63,03025
3,26,77,31,40.26,13,16.88,33,42.86,03026
3,27,25,2,8.0,8,32.0,15,60.0,03027
3,28,124,44,35.48,15,12.1,65,52.42,03028
3,29,0,0,0.0,0,0.0,0,0.0,03029
3,30,122,60,49.18,12,9.84,50,40.98,03030
3,31,130,70,53.85,20,15.38,40,30.77,03031
3,32,146,67,45.89,31,21.23,48,32.88,03032
3,33,135,38,28.15,28,20.74,69,51.11,03033
3,34,42,22,52.38,10,23.81,10,23.81,03034
3,35,95,42,44.21,17,17.89,36,37.89,03035
3,36,42,20,47.62,5,11.9,17,40.48,03036
3,37,92,35,38.04,14,15.22,43,46.74,03037
3,38,171,76,44.44,18,10.53,77,45.03,03038
3,39,213,93,43.66,24,11.27,96,45.07,03039
3,40,106,56,52.83,15,14.15,35,33.02,03040
3,41,102,52,50.98,5,4.9,45,44.12,03041
3,42,60,17,28.33,12,20.0,31,51.67,03042
3,43,0,0,0.0,0,0.0,0,0.0,03043
3,44,78,48,61.54,6,7.69,24,30.77,03044
3,45,50,14,28.0,15,30.0,21,42.0,03045
3,46,19,7,36.84,2,10.53,10,52.63,03046
3,47,98,34,34.69,16,16.33,48,48.98,03047
3,48,106,47,44.34,17,16.04,42,39.62,03048
3,49,113,50,44.25,19,16.81,44,38.94,03049
3,50,144,89,61.81,19,13.19,36,25.0,03050
3,51,59,29,49.15,12,20.34,18,30.51,03051
3,52,158,72,45.57,26,16.46,60,37.97,03052
4,1,161,93,57.76,28,17.39,40,24.84,04001
4,2,41,16,39.02,10,24.39,15,36.59,04002
4,3,215,113,52.56,28,13.02,74,34.42,04003
4,4,197,94,47.72,26,13.2,77,39.09,04004
4,5,160,72,45.0,25,15.63,63,39.38,04005
4,6,0,0,0.0,0,0.0,0,0.0,04006
4,7,119,63,52.94,12,10.08,44,36.97,04007
4,8,233,122,52.36,30,12.88,81,34.76,04008
4,9,350,187,53.43,45,12.86,118,33.71,04009
4,10,265,139,52.45,27,10.19,99,37.36,04010
4,11,160,79,49.38,24,15.0,57,35.63,04011
4,12,133,80,60.15,20,15.04,33,24.81,04012
4,13,216,112,51.85,39,18.06,65,30.09,04013
4,14,88,46,52.27,7,7.95,35,39.77,04014
4,15,72,37,51.39,9,12.5,26,36.11,04015
4,16,161,66,40.99,28,17.39,67,41.61,04016
4,17,187,92,49.2,23,12.3,72,38.5,04017
4,18,127,43,33.86,19,14.96,65,51.18,04018
4,19,28,13,46.43,8,28.57,7,25.0,04019
4,20,48,7,14.58,13,27.08,28,58.33,04020
4,21,190,107,56.32,29,15.26,54,28.42,04021
4,22,205,107,52.2,27,13.17,71,34.63,04022
4,23,121,72,59.5,23,19.01,26,21.49,04023
4,24,176,98,55.68,31,17.61,47,26.7,04024
4,25,181,80,44.2,32,17.68,69,38.12,04025
4,26,152,73,48.03,20,13.16,59,38.82,04026
4,27,171,65,38.01,33,19.3,73,42.69,04027
4,28,139,77,55.4,32,23.02,30,21.58,04028
4,29,135,47,34.81,32,23.7,56,41.48,04029
4,30,47,16,34.04,8,17.02,23,48.94,04030
4,31,40,9,22.5,13,32.5,18,45.0,04031
4,32,171,77,45.03,45,26.32,49,28.65,04032
4,33,54,19,35.19,12,22.22,23,42.59,04033
4,34,121,51,42.15,32,26.45,38,31.4,04034
4,35,90,20,22.22,20,22.22,50,55.56,04035
4,36,179,88,49.16,31,17.32,60,33.52,04036
4,37,88,19,21.59,19,21.59,50,56.82,04037
4,38,217,102,47.0,38,17.51,77,35.48,04038
4,39,73,30,41.1,12,16.44,31,42.47,04039
4,40,131,51,38.93,22,16.79,58,44.27,04040
4,41,122,51,41.8,28,22.95,43,35.25,04041
4,42,121,71,58.68,13,10.74,37,30.58,04042
4,43,94,56,59.57,11,11.7,27,28.72,04043
4,44,94,44,46.81,18,19.15,32,34.04,04044
4,45,311,189,60.77,42,13.5,80,25.72,04045
4,46,171,85,49.71,25,14.62,61,35.67,04046
4,47,209,129,61.72,30,14.35,50,23.92,04047
4,48,225,120,53.33,43,19.11,62,27.56,04048
4,49,38,18,47.37,7,18.42,13,34.21,04049
4,50,141,79,56.03,15,10.64,47,33.33,04050
4,51,187,77,41.18,37,19.79,73,39.04,04051
4,52,35,7,20.0,12,34.29,16,45.71,04052
4,53,23,8,34.78,3,13.04,12,52.17,04053
4,54,74,37,50.0,11,14.86,26,35.14,04054
4,55,91,56,61.54,18,19.78,17,18.68,04055
5,1,169,39,23.08,58,34.32,72,42.6,05001
5,2,149,30,20.13,60,40.27,59,39.6,05002
5,3,173,53,30.64,26,15.03,94,54.34,05003
5,4,208,59,28.37,37,17.79,112,53.85,05004
5,5,133,50,37.59,37,27.82,46,34.59,05005
5,6,168,44,26.19,39,23.21,85,50.6,05006
5,7,164,33,20.12,67,40.85,64,39.02,05007
5,8,168,79,47.02,46,27.38,43,25.6,05008
5,9,166,30,18.07,71,42.77,65,39.16,05009
5,10,102,30,29.41,29,28.43,43,42.16,05010
5,11,58,22,37.93,21,36.21,15,25.86,05011
5,12,155,51,32.9,38,24.52,66,42.58,05012
5,13,136,34,25.0,39,28.68,63,46.32,05013
5,14,108,51,47.22,27,25.0,30,27.78,05014
5,15,116,37,31.9,29,25.0,50,43.1,05015
5,16,124,26,20.97,31,25.0,67,54.03,05016
5,17,89,27,30.34,25,28.09,37,41.57,05017
5,18,107,31,28.97,21,19.63,55,51.4,05018
5,19,124,38,30.65,33,26.61,53,42.74,05019
5,20,103,30,29.13,25,24.27,48,46.6,05020
5,21,236,67,28.39,60,25.42,109,46.19,05021
5,22,182,48,26.37,34,18.68,100,54.95,05022
5,23,114,39,34.21,18,15.79,57,50.0,05023
5,24,134,50,37.31,44,32.84,40,29.85,05024
5,25,130,37,28.46,27,20.77,66,50.77,05025
5,26,97,27,27.84,17,17.53,53,54.64,05026
5,27,36,13,36.11,7,19.44,16,44.44,05027
5,28,190,53,27.89,43,22.63,94,49.47,05028
5,29,121,36,29.75,37,30.58,48,39.67,05029
5,30,111,39,35.14,47,42.34,25,22.52,05030
5,31,144,43,29.86,26,18.06,75,52.08,05031
5,32,236,51,21.61,80,33.9,105,44.49,05032
5,33,174,41,23.56,28,16.09,105,60.34,05033
5,34,91,24,26.37,16,17.58,51,56.04,05034
5,35,100,38,38.0,21,21.0,41,41.0,05035
5,36,187,47,25.13,49,26.2,91,48.66,05036
5,37,84,32,38.1,23,27.38,29,34.52,05037
5,38,174,56,32.18,57,32.76,61,35.06,05038
5,39,141,62,43.97,56,39.72,23,16.31,05039
5,40,128,45,35.16,27,21.09,56,43.75,05040
5,41,91,33,36.26,36,39.56,22,24.18,05041
5,42,135,27,20.0,59,43.7,49,36.3,05042
5,43,170,53,31.18,40,23.53,77,45.29,05043
5,44,154,48,31.17,33,21.43,73,47.4,05044
5,45,108,34,31.48,24,22.22,50,46.3,05045
5,46,138,46,33.33,37,26.81,55,39.86,05046
5,47,135,35,25.93,38,28.15,62,45.93,05047
5,48,111,36,32.43,26,23.42,49,44.14,05048
5,49,121,54,44.63,39,32.23,28,23.14,05049
5,50,106,31,29.25,17,16.04,58,54.72,05050
5,51,122,33,27.05,40,32.79,49,40.16,05051
5,52,86,27,31.4,18,20.93,41,47.67,05052
5,53,107,21,19.63,28,26.17,58,54.21,05053
5,54,97,21,21.65,37,38.14,39,40.21,05054
5,55,157,46,29.3,50,31.85,61,38.85,05055
5,56,91,20,21.98,21,23.08,50,54.95,05056
5,57,148,52,35.14,44,29.73,52,35.14,05057
5,58,94,31,32.98,29,30.85,34,36.17,05058
5,59,84,24,28.57,18,21.43,42,50.0,05059
6,1,235,52,22.13,99,42.13,84,35.74,06001
6,2,202,60,29.7,50,24.75,92,45.54,06002
6,3,191,45,23.56,52,27.23,94,49.21,06003
6,4,81,26,32.1,24,29.63,31,38.27,06004
6,5,91,26,28.57,28,30.77,37,40.66,06005
6,6,202,49,24.26,66,32.67,87,43.07,06006
6,7,149,52,34.9,30,20.13,67,44.97,06007
6,8,188,53,28.19,45,23.94,90,47.87,06008
6,9,200,49,24.5,66,33.0,85,42.5,06009
6,10,257,76,29.57,78,30.35,103,40.08,06010
6,11,184,53,28.8,42,22.83,89,48.37,06011
6,12,139,37,26.62,47,33.81,55,39.57,06012
6,13,161,45,27.95,49,30.43,67,41.61,06013
6,14,167,49,29.34,39,23.35,79,47.31,06014
6,15,109,26,23.85,36,33.03,47,43.12,06015
6,16,198,54,27.27,48,24.24,96,48.48,06016
6,17,215,60,27.91,61,28.37,94,43.72,06017
6,18,59,20,33.9,9,15.25,30,50.85,06018
6,19,169,35,20.71,63,37.28,71,42.01,06019
6,20,43,13,30.23,9,20.93,21,48.84,06020
6,21,191,48,25.13,60,31.41,83,43.46,06021
6,22,187,37,19.79,78,41.71,72,38.5,06022
6,23,144,50,34.72,28,19.44,66,45.83,06023
6,24,135,46,34.07,26,19.26,63,46.67,06024
6,25,187,52,27.81,53,28.34,82,43.85,06025
6,26,189,53,28.04,54,28.57,82,43.39,06026
6,27,243,73,30.04,64,26.34,106,43.62,06027
6,28,281,71,25.27,75,26.69,135,48.04,06028
6,29,237,63,26.58,69,29.11,105,44.3,06029
6,30,156,32,20.51,44,28.21,80,51.28,06030
6,31,229,85,37.12,39,17.03,105,45.85,06031
6,32,178,45,25.28,35,19.66,98,55.06,06032
6,33,204,59,28.92,41,20.1,104,50.98,06033
6,34,170,51,30.0,37,21.76,82,48.24,06034
6,35,232,65,28.02,65,28.02,102,43.97,06035
6,36,97,27,27.84,33,34.02,37,38.14,06036
6,37,233,60,25.75,67,28.76,106,45.49,06037
6,38,211,70,33.18,52,24.64,89,42.18,06038
6,39,107,30,28.04,30,28.04,47,43.93,06039
6,40,97,31,31.96,23,23.71,43,44.33,06040
6,41,209,33,15.79,116,55.5,60,28.71,06041
6,42,86,19,22.09,34,39.53,33,38.37,06042
6,43,204,47,23.04,55,26.96,102,50.0,06043
6,44,190,45,23.68,57,30.0,88,46.32,06044
6,45,101,37,36.63,27,26.73,37,36.63,06045
6,46,157,45,28.66,55,35.03,57,36.31,06046
6,47,199,47,23.62,78,39.2,74,37.19,06047
6,48,72,25,34.72,17,23.61,30,41.67,06048
6,49,161,44,27.33,42,26.09,75,46.58,06049
6,50,200,66,33.0,61,30.5,73,36.5,06050
6,51,128,38,29.69,31,24.22,59,46.09,06051
6,52,142,42,29.58,39,27.46,61,42.96,06052
6,53,155,43,27.74,31,20.0,81,52.26,06053
6,54,165,26,15.76,70,42.42,69,41.82,06054
6,55,132,24,18.18,45,34.09,63,47.73,06055
6,56,137,39,28.47,43,31.39,55,40.15,06056
6,57,107,21,19.63,43,40.19,43,40.19,06057
6,58,212,58,27.36,66,31.13,88,41.51,06058
6,59,165,56,33.94,40,24.24,69,41.82,06059
6,60,119,38,31.93,27,22.69,54,45.38,06060
6,61,113,30,26.55,28,24.78,55,48.67,06061
6,62,211,54,25.59,50,23.7,107,50.71,06062
6,63,158,46,29.11,48,30.38,64,40.51,06063
6,64,248,71,28.63,94,37.9,83,33.47,06064
7,1,277,61,22.02,121,43.68,95,34.3,07001
7,2,228,56,24.56,89,39.04,83,36.4,07002
7,3,148,27,18.24,54,36.49,67,45.27,07003
7,4,149,36,24.16,61,40.94,52,34.9,07004
7,5,127,31,24.41,60,47.24,36,28.35,07005
7,6,172,49,28.49,56,32.56,67,38.95,07006
7,7,154,28,18.18,70,45.45,56,36.36,07007
7,8,167,53,31.74,51,30.54,63,37.72,07008
7,9,190,44,23.16,71,37.37,75,39.47,07009
7,10,241,59,24.48,87,36.1,95,39.42,07010
7,11,165,40,24.24,45,27.27,80,48.48,07011
7,12,207,54,26.09,85,41.06,68,32.85,07012
7,13,88,22,25.0,32,36.36,34,38.64,07013
7,14,180,39,21.67,59,32.78,82,45.56,07014
7,15,218,57,26.15,84,38.53,77,35.32,07015
7,16,171,42,24.56,72,42.11,57,33.33,07016
7,17,142,41,28.87,42,29.58,59,41.55,07017
7,18,174,25,14.37,82,47.13,67,38.51,07018
7,19,215,61,28.37,55,25.58,99,46.05,07019
7,20,57,18,31.58,14,24.56,25,43.86,07020
7,21,186,56,30.11,65,34.95,65,34.95,07021
7,22,170,35,20.59,57,33.53,78,45.88,07022
7,23,175,42,24.0,76,43.43,57,32.57,07023
7,24,251,59,23.51,99,39.44,93,37.05,07024
7,25,176,41,23.3,64,36.36,71,40.34,07025
7,26,207,57,27.54,71,34.3,79,38.16,07026
7,27,201,74,36.82,40,19.9,87,43.28,07027
7,28,155,48,30.97,44,28.39,63,40.65,07028
7,29,112,23,20.54,56,50.0,33,29.46,07029
7,30,253,68,26.88,72,28.46,113,44.66,07030
7,31,252,56,22.22,89,35.32,107,42.46,07031
7,32,178,57,32.02,49,27.53,72,40.45,07032
7,33,205,51,24.88,65,31.71,89,43.41,07033
7,34,159,40,25.16,74,46.54,45,28.3,07034
7,35,231,63,27.27,82,35.5,86,37.23,07035
7,36,297,63,21.21,103,34.68,131,44.11,07036
7,37,217,49,22.58,79,36.41,89,41.01,07037
7,38,241,57,23.65,85,35.27,99,41.08,07038
7,39,169,45,26.63,55,32.54,69,40.83,07039
7,40,114,26,22.81,45,39.47,43,37.72,07040
7,41,221,54,24.43,70,31.67,97,43.89,07041
7,42,197,57,28.93,52,26.4,88,44.67,07042
7,43,187,43,22.99,64,34.22,80,42.78,07043
7,44,218,52,23.85,60,27.52,106,48.62,07044
7,45,270,55,20.37,134,49.63,81,30.0,07045
7,46,59,24,40.68,14,23.73,21,35.59,07046
8,1,216,58,26.85,75,34.72,83,38.43,08001
8,2,118,30,25.42,32,27.12,56,47.46,08002
8,3,261,72,27.59,79,30.27,110,42.15,08003
8,4,200,43,21.5,72,36.0,85,42.5,08004
8,5,228,66,28.95,80,35.09,82,35.96,08005
8,6,204,57,27.94,82,40.2,65,31.86,08006
8,7,148,40,27.03,59,39.86,49,33.11,08007
8,8,227,66,29.07,63,27.75,98,43.17,08008
8,9,251,70,27.89,68,27.09,113,45.02,08009
8,10,246,64,26.02,79,32.11,103,41.87,08010
8,11,152,48,31.58,47,30.92,57,37.5,08011
8,12,182,46,25.27,54,29.67,82,45.05,08012
8,13,149,33,22.15,67,44.97,49,32.89,08013
8,14,164,53,32.32,51,31.1,60,36.59,08014
8,15,162,47,29.01,45,27.78,70,43.21,08015
8,16,212,57,26.89,66,31.13,89,41.98,08016
8,17,166,44,26.51,48,28.92,74,44.58,08017
8,18,125,32,25.6,52,41.6,41,32.8,08018
8,19,225,75,33.33,51,22.67,99,44.0,08019
8,20,140,46,32.86,39,27.86,55,39.29,08020
8,21,145,36,24.83,55,37.93,54,37.24,08021
8,22,180,49,27.22,66,36.67,65,36.11,08022
8,23,164,41,25.0,56,34.15,67,40.85,08023
8,24,200,64,32.0,53,26.5,83,41.5,08024
8,25,185,47,25.41,66,35.68,72,38.92,08025
8,26,113,27,23.89,41,36.28,45,39.82,08026
8,27,219,46,21.0,97,44.29,76,34.7,08027
8,28,161,32,19.88,78,48.45,51,31.68,08028
8,29,199,50,25.13,98,49.25,51,25.63,08029
8,30,184,44,23.91,57,30.98,83,45.11,08030
8,31,156,45,28.85,61,39.1,50,32.05,08031
8,32,285,84,29.47,77,27.02,124,43.51,08032
8,33,194,41,21.13,105,54.12,48,24.74,08033
8,34,228,65,28.51,76,33.33,87,38.16,08034
8,35,234,66,28.21,73,31.2,95,40.6,08035
8,36,185,42,22.7,72,38.92,71,38.38,08036
8,37,172,51,29.65,42,24.42,79,45.93,08037
8,38,183,49,26.78,66,36.07,68,37.16,08038
8,39,215,64,29.77,68,31.63,83,38.6,08039
8,40,195,60,30.77,39,20.0,96,49.23,08040
8,41,175,45,25.71,79,45.14,51,29.14,08041
8,42,185,41,22.16,50,27.03,94,50.81,08042
8,43,141,45,31.91,38,26.95,58,41.13,08043
8,44,234,60,25.64,103,44.02,71,30.34,08044
8,45,174,38,21.84,82,47.13,54,31.03,08045
8,46,131,33,25.19,48,36.64,50,38.17,08046
8,47,200,52,26.0,73,36.5,75,37.5,08047
8,48,196,40,20.41,96,48.98,60,30.61,08048
8,49,206,66,32.04,52,25.24,88,42.72,08049
8,50,181,53,29.28,37,20.44,91,50.28,08050
8,51,175,50,28.57,51,29.14,74,42.29,08051
8,52,222,51,22.97,78,35.14,93,41.89,08052
8,53,217,66,30.41,68,31.34,83,38.25,08053
8,54,183,51,27.87,59,32.24,73,39.89,08054
8,55,168,53,31.55,38,22.62,77,45.83,08055
8,56,154,31,20.13,80,51.95,43,27.92,08056
8,57,229,57,24.89,77,33.62,95,41.48,08057
8,58,215,54,25.12,80,37.21,81,37.67,08058
8,59,185,46,24.86,80,43.24,59,31.89,08059
8,60,220,71,32.27,77,35.0,72,32.73,08060
8,61,153,39,25.49,45,29.41,69,45.1,08061
8,62,250,72,28.8,76,30.4,102,40.8,08062
8,63,229,72,31.44,65,28.38,92,40.17,08063
8,64,107,29,27.1,34,31.78,44,41.12,08064
8,65,221,57,25.79,74,33.48,90,40.72,08065
8,66,238,68,28.57,75,31.51,95,39.92,08066
9,1,202,55,27.23,42,20.79,105,51.98,09001
9,2,199,69,34.67,41,20.6,89,44.72,09002
9,3,137,36,26.28,51,37.23,50,36.5,09003
9,4,199,44,22.11,69,34.67,86,43.22,09004
9,5,193,58,30.05,45,23.32,90,46.63,09005
9,6,187,42,22.46,71,37.97,74,39.57,09006
9,7,172,34,19.77,57,33.14,81,47.09,09007
9,8,133,31,23.31,35,26.32,67,50.38,09008
9,9,225,72,32.0,43,19.11,110,48.89,09009
9,10,175,57,32.57,53,30.29,65,37.14,09010
9,11,123,24,19.51,49,39.84,50,40.65,09011
9,12,163,58,35.58,41,25.15,64,39.26,09012
9,13,247,75,30.36,63,25.51,109,44.13,09013
9,14,266,81,30.45,54,20.3,131,49.25,09014
9,15,78,27,34.62,23,29.49,28,35.9,09015
9,16,191,54,28.27,64,33.51,73,38.22,09016
9,17,149,52,34.9,29,19.46,68,45.64,09017
9,18,179,55,30.73,44,24.58,80,44.69,09018
9,19,231,61,26.41,82,35.5,88,38.1,09019
9,20,225,71,31.56,41,18.22,113,50.22,09020
9,21,140,37,26.43,31,22.14,72,51.43,09021
9,22,227,64,28.19,51,22.47,112,49.34,09022
9,23,126,44,34.92,29,23.02,53,42.06,09023
9,24,80,22,27.5,24,30.0,34,42.5,09024
9,25,91,20,21.98,27,29.67,44,48.35,09025
9,26,114,35,30.7,43,37.72,36,31.58,09026
9,27,119,36,30.25,31,26.05,52,43.7,09027
9,28,121,41,33.88,41,33.88,39,32.23,09028
9,29,164,51,31.1,38,23.17,75,45.73,09029
9,30,200,48,24.0,75,37.5,77,38.5,09030
9,31,150,48,32.0,36,24.0,66,44.0,09031
9,32,194,47,24.23,74,38.14,73,37.63,09032
9,33,135,47,34.81,39,28.89,49,36.3,09033
9,34,140,52,37.14,28,20.0,60,42.86,09034
9,35,169,47,27.81,48,28.4,74,43.79,09035
9,36,101,29,28.71,36,35.64,36,35.64,09036
9,37,191,65,34.03,54,28.27,72,37.7,09037
9,38,182,60,32.97,46,25.27,76,41.76,09038
9,39,162,46,28.4,46,28.4,70,43.21,09039
9,40,213,54,25.35,71,33.33,88,41.31,09040
9,41,205,55,26.83,68,33.17,82,40.0,09041
9,42,131,41,31.3,39,29.77,51,38.93,09042
9,43,129,43,33.33,27,20.93,59,45.74,09043
9,44,135,34,25.19,46,34.07,55,40.74,09044
9,45,233,54,23.18,95,40.77,84,36.05,09045
9,46,155,33,21.29,63,40.65,59,38.06,09046
9,47,110,26,23.64,37,33.64,47,42.73,09047
9,48,226,68,30.09,45,19.91,113,50.0,09048
9,49,61,15,24.59,23,37.7,23,37.7,09049
9,50,218,62,28.44,80,36.7,76,34.86,09050
9,51,139,51,36.69,20,14.39,68,48.92,09051
9,52,198,50,25.25,48,24.24,100,50.51,09052
10,1,106,41,38.68,22,20.75,43,40.57,10001
10,2,92,35,38.04,30,32.61,27,29.35,10002
10,3,102,42,41.18,30,29.41,30,29.41,10003
10,4,109,44,40.37,32,29.36,33,30.28,10004
10,5,108,43,39.81,25,23.15,40,37.04,10005
10,6,221,52,23.53,50,22.62,119,53.85,10006
10,7,29,11,37.93,7,24.14,11,37.93,10007
10,8,120,54,45.0,26,21.67,40,33.33,10008
10,9,125,50,40.0,27,21.6,48,38.4,10009
10,10,158,43,27.22,37,23.42,78,49.37,10010
10,11,126,53,42.06,26,20.63,47,37.3,10011
10,12,102,40,39.22,27,26.47,35,34.31,10012
10,13,183,83,45.36,41,22.4,59,32.24,10013
10,14,29,13,44.83,5,17.24,11,37.93,10014
10,15,63,27,42.86,16,25.4,20,31.75,10015
10,16,146,56,38.36,36,24.66,54,36.99,10016
10,17,96,40,41.67,30,31.25,26,27.08,10017
10,18,86,36,41.86,27,31.4,23,26.74,10018
10,19,197,85,43.15,58,29.44,54,27.41,10019
10,20,210,66,31.43,67,31.9,77,36.67,10020
10,21,95,41,43.16,24,25.26,30,31.58,10021
10,22,34,12,35.29,14,41.18,8,23.53,10022
