ward,precinct,total,ROBERT E. GORDON,ROBERT E. GORDON Percent,THOMAS O'BRIEN,THOMAS O'BRIEN Percent,DEBORAH JEAN GUBIN,DEBORAH JEAN GUBIN Percent,STEPHEN JAFFE,STEPHEN JAFFE Percent,JENNIFER C. DOUGHTY DAVENPORT,JENNIFER C. DOUGHTY DAVENPORT Percent,KATHLEEN MARIE BURKE,KATHLEEN MARIE BURKE Percent,precinct_id
43,14,95,16,16.84,2,2.11,39,41.05,14,14.74,7,7.37,17,17.89,43014
43,15,100,19,19.0,8,8.0,30,30.0,9,9.0,11,11.0,23,23.0,43015
43,16,96,5,5.21,16,16.67,31,32.29,10,10.42,20,20.83,14,14.58,43016
43,17,116,12,10.34,13,11.21,29,25.0,15,12.93,14,12.07,33,28.45,43017
43,18,143,33,23.08,11,7.69,32,22.38,18,12.59,13,9.09,36,25.17,43018
43,19,107,18,16.82,10,9.35,21,19.63,11,10.28,11,10.28,36,33.64,43019
43,20,147,23,15.65,13,8.84,39,26.53,17,11.56,7,4.76,48,32.65,43020
43,21,58,10,17.24,10,17.24,10,17.24,6,10.34,7,12.07,15,25.86,43021
43,22,67,11,16.42,9,13.43,16,23.88,5,7.46,11,16.42,15,22.39,43022
43,23,109,18,16.51,14,12.84,22,20.18,11,10.09,16,14.68,28,25.69,43023
43,24,82,10,12.2,11,13.41,17,20.73,7,8.54,12,14.63,25,30.49,43024
43,25,117,20,17.09,17,14.53,20,17.09,13,11.11,20,17.09,27,23.08,43025
43,26,99,13,13.13,12,12.12,15,15.15,7,7.07,10,10.1,42,42.42,43026
43,27,78,13,16.67,4,5.13,24,30.77,13,16.67,9,11.54,15,19.23,43027
43,28,73,9,12.33,16,21.92,21,28.77,9,12.33,11,15.07,7,9.59,43028
43,29,65,9,13.85,6,9.23,18,27.69,7,10.77,5,7.69,20,30.77,43029
43,30,66,9,13.64,10,15.15,23,34.85,8,12.12,2,3.03,14,21.21,43030
43,31,97,22,22.68,14,14.43,23,23.71,6,6.19,8,8.25,24,24.74,43031
43,32,74,6,8.11,8,10.81,22,29.73,15,20.27,8,10.81,15,20.27,43032
43,33,52,5,9.62,7,13.46,13,25.0,5,9.62,8,15.38,14,26.92,43033
43,34,54,9,16.67,7,12.96,15,27.78,2,3.7,5,9.26,16,29.63,43034
43,35,111,14,12.61,12,10.81,34,30.63,12,10.81,16,14.41,23,20.72,43035
43,36,96,14,14.58,11,11.46,22,22.92,15,15.63,14,14.58,20,20.83,43036
43,37,79,21,26.58,11,13.92,18,22.78,5,6.33,6,7.59,18,22.78,43037
43,38,77,13,16.88,15,19.48,13,16.88,4,5.19,8,10.39,24,31.17,43038
43,39,71,13,18.31,10,14.08,17,23.94,9,12.68,9,12.68,13,18.31,43039
43,40,129,23,17.83,17,13.18,17,13.18,8,6.2,26,20.16,38,29.46,43040
43,41,82,19,23.17,11,13.41,22,26.83,9,10.98,4,4.88,17,20.73,43041
43,42,113,29,25.66,8,7.08,26,23.01,23,20.35,10,8.85,17,15.04,43042
43,43,82,20,24.39,6,7.32,13,15.85,9,10.98,11,13.41,23,28.05,43043
43,44,103,19,18.45,15,14.56,34,33.01,8,7.77,11,10.68,16,15.53,43044
43,45,82,15,18.29,11,13.41,18,21.95,8,9.76,9,10.98,21,25.61,43045
43,46,136,34,25.0,12,8.82,30,22.06,28,20.59,11,8.09,21,15.44,43046
43,47,112,20,17.86,21,18.75,23,20.54,10,8.93,16,14.29,22,19.64,43047
43,48,87,18,20.69,8,9.2,16,18.39,6,6.9,12,13.79,27,31.03,43048
43,49,71,14,19.72,8,11.27,25,35.21,6,8.45,9,12.68,9,12.68,43049
43,50,80,16,20.0,10,12.5,21,26.25,14,17.5,4,5.0,15,18.75,43050
43,51,68,13,19.12,10,14.71,23,33.82,5,7.35,4,5.88,13,19.12,43051
43,52,126,15,11.9,18,14.29,34,26.98,20,15.87,11,8.73,28,22.22,43052
43,53,108,20,18.52,17,15.74,27,25.0,6,5.56,18,16.67,20,18.52,43053
43,54,46,12,26.09,5,10.87,11,23.91,7,15.22,2,4.35,9,19.57,43054
43,55,105,30,28.57,10,9.52,26,24.76,9,8.57,16,15.24,14,13.33,43055
43,56,82,14,17.07,10,12.2,20,24.39,13,15.85,7,8.54,18,21.95,43056
43,57,54,11,20.37,10,18.52,12,22.22,7,12.96,4,7.41,10,18.52,43057
43,58,87,16,18.39,11,12.64,23,26.44,8,9.2,9,10.34,20,22.99,43058
43,59,121,18,14.88,11,9.09,39,32.23,28,23.14,5,4.13,20,16.53,43059
43,60,82,31,37.8,14,17.07,14,17.07,4,4.88,5,6.1,14,17.07,43060
44,1,133,32,24.06,16,12.03,33,24.81,13,9.77,11,8.27,28,21.05,44001
44,2,75,15,20.0,8,10.67,16,21.33,9,12.0,10,13.33,17,22.67,44002
44,3,170,59,34.71,6,3.53,42,24.71,38,22.35,5,2.94,20,11.76,44003
44,4,158,78,49.37,14,8.86,30,18.99,15,9.49,8,5.06,13,8.23,44004
44,5,104,25,24.04,17,16.35,25,24.04,13,12.5,9,8.65,15,14.42,44005
44,6,93,10,10.75,12,12.9,16,17.2,13,13.98,20,21.51,22,23.66,44006
44,7,135,30,22.22,8,5.93,38,28.15,27,20.0,13,9.63,19,14.07,44007
44,8,114,20,17.54,20,17.54,36,31.58,15,13.16,12,10.53,11,9.65,44008
44,9,127,18,14.17,25,19.69,24,18.9,9,7.09,17,13.39,34,26.77,44009
44,10,123,22,17.89,14,11.38,32,26.02,24,19.51,12,9.76,19,15.45,44010
44,11,111,23,20.72,16,14.41,21,18.92,11,9.91,13,11.71,27,24.32,44011
44,12,87,18,20.69,11,12.64,19,21.84,13,14.94,10,11.49,16,18.39,44012
44,13,129,23,17.83,27,20.93,31,24.03,9,6.98,18,13.95,21,16.28,44013
44,14,126,20,15.87,19,15.08,30,23.81,9,7.14,15,11.9,33,26.19,44014
44,15,122,22,18.03,17,13.93,33,27.05,7,5.74,12,9.84,31,25.41,44015
44,16,96,12,12.5,18,18.75,32,33.33,7,7.29,4,4.17,23,23.96,44016
44,17,141,33,23.4,15,10.64,34,24.11,19,13.48,19,13.48,21,14.89,44017
44,18,40,10,25.0,9,22.5,5,12.5,3,7.5,1,2.5,12,30.0,44018
44,19,67,16,23.88,7,10.45,17,25.37,6,8.96,8,11.94,13,19.4,44019
44,20,127,24,18.9,16,12.6,44,34.65,7,5.51,14,11.02,22,17.32,44020
44,21,107,13,12.15,18,16.82,27,25.23,9,8.41,15,14.02,25,23.36,44021
44,22,116,26,22.41,13,11.21,26,22.41,21,18.1,9,7.76,21,18.1,44022
44,23,92,21,22.83,13,14.13,22,23.91,2,2.17,8,8.7,26,28.26,44023
44,24,71,9,12.68,12,16.9,18,25.35,8,11.27,11,15.49,13,18.31,44024
44,25,125,25,20.0,14,11.2,29,23.2,12,9.6,9,7.2,36,28.8,44025
44,26,66,10,15.15,5,7.58,21,31.82,4,6.06,11,16.67,15,22.73,44026
44,27,114,22,19.3,9,7.89,34,29.82,8,7.02,11,9.65,30,26.32,44027
44,28,80,13,16.25,10,12.5,20,25.0,5,6.25,10,12.5,22,27.5,44028
44,29,107,19,17.76,16,14.95,25,23.36,9,8.41,11,10.28,27,25.23,44029
44,30,89,27,30.34,11,12.36,16,17.98,7,7.87,9,10.11,19,21.35,44030
44,31,122,27,22.13,22,18.03,23,18.85,12,9.84,17,13.93,21,17.21,44031
44,32,70,12,17.14,4,5.71,24,34.29,8,11.43,6,8.57,16,22.86,44032
44,33,125,17,13.6,15,12.0,37,29.6,6,4.8,21,16.8,29,23.2,44033
44,34,84,18,21.43,9,10.71,19,22.62,3,3.57,15,17.86,20,23.81,44034
44,35,118,21,17.8,15,12.71,21,17.8,20,16.95,13,11.02,28,23.73,44035
44,36,116,25,21.55,23,19.83,20,17.24,8,6.9,16,13.79,24,20.69,44036
44,37,162,47,29.01,15,9.26,39,24.07,13,8.02,12,7.41,36,22.22,44037
44,38,131,43,32.82,24,18.32,20,15.27,11,8.4,11,8.4,22,16.79,44038
44,39,120,36,30.0,16,13.33,26,21.67,7,5.83,14,11.67,21,17.5,44039
44,40,115,19,16.52,19,16.52,23,20.0,10,8.7,13,11.3,31,26.96,44040
44,41,123,39,31.71,9,7.32,33,26.83,14,11.38,11,8.94,17,13.82,44041
44,42,111,37,33.33,15,13.51,22,19.82,3,2.7,12,10.81,22,19.82,44042
44,43,120,35,29.17,12,10.0,29,24.17,8,6.67,18,15.0,18,15.0,44043
44,44,158,31,19.62,27,17.09,36,22.78,11,6.96,14,8.86,39,24.68,44044
44,45,51,14,27.45,8,15.69,9,17.65,5,9.8,3,5.88,12,23.53,44045
44,46,80,15,18.75,3,3.75,27,33.75,10,12.5,7,8.75,18,22.5,44046
44,47,105,15,14.29,19,18.1,28,26.67,13,12.38,12,11.43,18,17.14,44047
44,48,103,30,29.13,12,11.65,34,33.01,9,8.74,7,6.8,11,10.68,44048
44,49,92,13,14.13,13,14.13,29,31.52,12,13.04,12,13.04,13,14.13,44049
44,50,101,15,14.85,14,13.86,21,20.79,12,11.88,16,15.84,23,22.77,44050
46,1,246,65,26.42,27,10.98,51,20.73,42,17.07,25,10.16,36,14.63,46001
46,2,96,17,17.71,13,13.54,29,30.21,13,13.54,8,8.33,16,16.67,46002
46,3,162,41,25.31,31,19.14,30,18.52,6,3.7,24,14.81,30,18.52,46003
46,4,113,29,25.66,16,14.16,15,13.27,6,5.31,9,7.96,38,33.63,46004
46,5,88,9,10.23,12,13.64,28,31.82,6,6.82,11,12.5,22,25.0,46005
46,6,98,20,20.41,22,22.45,18,18.37,4,4.08,12,12.24,22,22.45,46006
46,7,183,42,22.95,28,15.3,42,22.95,16,8.74,16,8.74,39,21.31,46007
46,8,143,40,27.97,26,18.18,18,12.59,8,5.59,19,13.29,32,22.38,46008
46,9,113,24,21.24,23,20.35,29,25.66,8,7.08,12,10.62,17,15.04,46009
46,10,120,19,15.83,16,13.33,31,25.83,9,7.5,17,14.17,28,23.33,46010
46,11,135,25,18.52,13,9.63,26,19.26,19,14.07,16,11.85,36,26.67,46011
46,12,114,31,27.19,14,12.28,23,20.18,5,4.39,15,13.16,26,22.81,46012
46,13,154,35,22.73,16,10.39,42,27.27,21,13.64,11,7.14,29,18.83,46013
46,14,75,11,14.67,7,9.33,21,28.0,4,5.33,14,18.67,18,24.0,46014
46,15,116,17,14.66,10,8.62,36,31.03,15,12.93,10,8.62,28,24.14,46015
46,16,195,46,23.59,28,14.36,43,22.05,11,5.64,32,16.41,35,17.95,46016
46,17,177,36,20.34,17,9.6,47,26.55,26,14.69,17,9.6,34,19.21,46017
46,18,179,44,24.58,21,11.73,51,28.49,22,12.29,16,8.94,25,13.97,46018
46,19,131,34,25.95,11,8.4,32,24.43,5,3.82,15,11.45,34,25.95,46019
46,20,134,54,40.3,10,7.46,19,14.18,4,2.99,24,17.91,23,17.16,46020
46,22,89,20,22.47,22,24.72,15,16.85,7,7.87,5,5.62,20,22.47,46022
46,23,99,39,39.39,13,13.13,14,14.14,7,7.07,6,6.06,20,20.2,46023
46,24,103,19,18.45,5,4.85,32,31.07,9,8.74,14,13.59,24,23.3,46024
46,25,92,28,30.43,17,18.48,13,14.13,8,8.7,9,9.78,17,18.48,46025
46,26,116,37,31.9,14,12.07,22,18.97,4,3.45,19,16.38,20,17.24,46026
46,27,149,29,19.46,25,16.78,35,23.49,13,8.72,21,14.09,26,17.45,46027
46,28,109,14,12.84,20,18.35,16,14.68,15,13.76,17,15.6,27,24.77,46028
46,29,142,33,23.24,19,13.38,35,24.65,12,8.45,19,13.38,24,16.9,46029
46,30,166,29,17.47,24,14.46,39,23.49,6,3.61,21,12.65,47,28.31,46030
46,31,149,24,16.11,11,7.38,47,31.54,19,12.75,15,10.07,33,22.15,46031
46,32,186,63,33.87,23,12.37,31,16.67,11,5.91,31,16.67,27,14.52,46032
46,33,150,40,26.67,12,8.0,29,19.33,16,10.67,16,10.67,37,24.67,46033
46,34,153,38,24.84,24,15.69,22,14.38,13,8.5,26,16.99,30,19.61,46034
46,35,150,47,31.33,30,20.0,25,16.67,6,4.0,18,12.0,24,16.0,46035
46,36,176,39,22.16,24,13.64,40,22.73,26,14.77,13,7.39,34,19.32,46036
46,37,156,36,23.08,32,20.51,25,16.03,13,8.33,25,16.03,25,16.03,46037
46,38,96,33,34.38,13,13.54,16,16.67,2,2.08,10,10.42,22,22.92,46038
46,39,145,33,22.76,24,16.55,31,21.38,14,9.66,11,7.59,32,22.07,46039
47,15,122,26,21.31,18,14.75,28,22.95,7,5.74,14,11.48,29,23.77,47015
47,18,151,28,18.54,16,10.6,41,27.15,18,11.92,22,14.57,26,17.22,47018
47,21,101,22,21.78,10,9.9,26,25.74,7,6.93,12,11.88,24,23.76,47021
47,23,63,12,19.05,8,12.7,14,22.22,4,6.35,12,19.05,13,20.63,47023
47,24,105,16,15.24,18,17.14,23,21.9,5,4.76,15,14.29,28,26.67,47024
47,41,92,14,15.22,23,25.0,16,17.39,4,4.35,11,11.96,24,26.09,47041
47,44,116,32,27.59,15,12.93,27,23.28,10,8.62,8,6.9,24,20.69,47044
48,1,155,41,26.45,28,18.06,27,17.42,12,7.74,17,10.97,30,19.35,48001
48,3,149,40,26.85,26,17.45,33,22.15,6,4.03,15,10.07,29,19.46,48003
48,4,138,43,31.16,15,10.87,26,18.84,13,9.42,11,7.97,30,21.74,48004
48,5,130,29,22.31,21,16.15,33,25.38,8,6.15,11,8.46,28,21.54,48005
48,6,182,77,42.31,12,6.59,29,15.93,7,3.85,27,14.84,30,16.48,48006
48,7,141,42,29.79,14,9.93,44,31.21,10,7.09,9,6.38,22,15.6,48007
48,8,104,28,26.92,18,17.31,20,19.23,10,9.62,6,5.77,22,21.15,48008
48,9,119,29,24.37,16,13.45,29,24.37,14,11.76,10,8.4,21,17.65,48009
48,10,74,10,13.51,9,12.16,23,31.08,3,4.05,12,16.22,17,22.97,48010
48,11,162,43,26.54,26,16.05,42,25.93,13,8.02,16,9.88,22,13.58,48011
48,12,92,32,34.78,6,6.52,18,19.57,8,8.7,10,10.87,18,19.57,48012
48,14,196,115,58.67,19,9.69,25,12.76,3,1.53,14,7.14,20,10.2,48014
48,15,96,38,39.58,9,9.38,22,22.92,1,1.04,6,6.25,20,20.83,48015
48,16,136,71,52.21,16,11.76,14,10.29,6,4.41,11,8.09,18,13.24,48016
48,17,99,38,38.38,8,8.08,14,14.14,6,6.06,12,12.12,21,21.21,48017
48,18,84,25,29.76,11,13.1,8,9.52,9,10.71,9,10.71,22,26.19,48018
