ward,precinct,total,BARBARA M MEYER,BARBARA M MEYER Percent,HENRY M. SINGER,HENRY M. SINGER Percent,"JOHN M. """"JACK"""" CUTRONE","JOHN M. """"JACK"""" CUTRONE Percent",PAUL WILLIAM PLOTNICK,PAUL WILLIAM PLOTNICK Percent,GEORGE J. MANDRONIS,GEORGE J. MANDRONIS Percent,"WILLIAM R. JACKSON, JR.","WILLIAM R. JACKSON, JR. Percent",precinct_id
50,21,168,40,23.81,68,40.48,36,21.43,13,7.74,5,2.98,6,3.57,50021
50,22,127,37,29.13,44,34.65,24,18.9,7,5.51,2,1.57,13,10.24,50022
50,24,116,35,30.17,43,37.07,10,8.62,13,11.21,9,7.76,6,5.17,50024
50,25,192,24,12.5,139,72.4,10,5.21,5,2.6,12,6.25,2,1.04,50025
50,26,97,23,23.71,48,49.48,9,9.28,7,7.22,6,6.19,4,4.12,50026
50,27,90,17,18.89,54,60.0,5,5.56,12,13.33,2,2.22,0,0.0,50027
50,28,201,31,15.42,131,65.17,15,7.46,11,5.47,4,1.99,9,4.48,50028
50,30,163,25,15.34,106,65.03,15,9.2,13,7.98,2,1.23,2,1.23,50030
50,31,110,14,12.73,80,72.73,2,1.82,12,10.91,0,0.0,2,1.82,50031
50,32,95,34,35.79,12,12.63,19,20.0,4,4.21,9,9.47,17,17.89,50032
50,33,88,20,22.73,50,56.82,10,11.36,4,4.55,1,1.14,3,3.41,50033
50,34,139,27,19.42,67,48.2,18,12.95,9,6.47,5,3.6,13,9.35,50034
50,35,158,48,30.38,42,26.58,47,29.75,6,3.8,5,3.16,10,6.33,50035
50,36,137,35,25.55,41,29.93,34,24.82,15,10.95,5,3.65,7,5.11,50036
50,37,177,51,28.81,46,25.99,44,24.86,22,12.43,8,4.52,6,3.39,50037
50,38,154,39,25.32,83,53.9,5,3.25,24,15.58,3,1.95,0,0.0,50038
50,39,168,18,10.71,105,62.5,11,6.55,15,8.93,10,5.95,9,5.36,50039
50,40,159,46,28.93,82,51.57,20,12.58,5,3.14,3,1.89,3,1.89,50040
50,41,230,39,16.96,128,55.65,27,11.74,23,10.0,9,3.91,4,1.74,50041
50,42,225,47,20.89,127,56.44,26,11.56,15,6.67,7,3.11,3,1.33,50042
50,43,171,42,24.56,79,46.2,34,19.88,8,4.68,2,1.17,6,3.51,50043
50,44,205,22,10.73,161,78.54,11,5.37,9,4.39,1,0.49,1,0.49,50044
50,45,159,29,18.24,60,37.74,46,28.93,9,5.66,10,6.29,5,3.14,50045
50,46,106,38,35.85,31,29.25,19,17.92,6,5.66,7,6.6,5,4.72,50046
