ward,precinct,total,LEWIS NIXON,LEWIS NIXON Percent,DOMENICA ANN STEPHENSON,DOMENICA ANN STEPHENSON Percent,precinct_id
28,2,85,55,64.71,30,35.29,28002
28,3,91,63,69.23,28,30.77,28003
28,4,181,121,66.85,60,33.15,28004
28,5,117,82,70.09,35,29.91,28005
28,6,157,113,71.97,44,28.03,28006
28,7,185,122,65.95,63,34.05,28007
28,8,87,59,67.82,28,32.18,28008
28,9,132,104,78.79,28,21.21,28009
28,10,156,107,68.59,49,31.41,28010
28,11,117,81,69.23,36,30.77,28011
28,12,102,74,72.55,28,27.45,28012
28,13,115,89,77.39,26,22.61,28013
28,14,43,24,55.81,19,44.19,28014
28,15,71,49,69.01,22,30.99,28015
28,16,115,76,66.09,39,33.91,28016
28,17,75,50,66.67,25,33.33,28017
28,18,152,112,73.68,40,26.32,28018
28,19,120,90,75.0,30,25.0,28019
28,20,144,88,61.11,56,38.89,28020
28,21,128,92,71.88,36,28.13,28021
28,22,121,95,78.51,26,21.49,28022
28,23,137,105,76.64,32,23.36,28023
28,24,71,36,50.7,35,49.3,28024
28,25,134,100,74.63,34,25.37,28025
28,26,119,78,65.55,41,34.45,28026
28,27,73,59,80.82,14,19.18,28027
28,28,111,71,63.96,40,36.04,28028
28,29,131,82,62.6,49,37.4,28029
28,30,69,45,65.22,24,34.78,28030
28,31,118,82,69.49,36,30.51,28031
28,32,112,75,66.96,37,33.04,28032
28,33,89,60,67.42,29,32.58,28033
28,34,141,98,69.5,43,30.5,28034
28,35,106,65,61.32,41,38.68,28035
28,36,113,83,73.45,30,26.55,28036
28,37,138,112,81.16,26,18.84,28037
28,38,98,67,68.37,31,31.63,28038
28,39,55,35,63.64,20,36.36,28039
28,40,134,103,76.87,31,23.13,28040
28,41,75,49,65.33,26,34.67,28041
28,42,87,67,77.01,20,22.99,28042
28,43,72,48,66.67,24,33.33,28043
28,44,67,45,67.16,22,32.84,28044
28,45,79,54,68.35,25,31.65,28045
28,46,97,68,70.1,29,29.9,28046
28,47,124,82,66.13,42,33.87,28047
28,48,32,19,59.38,13,40.63,28048
28,49,83,55,66.27,28,33.73,28049
28,50,58,45,77.59,13,22.41,28050
28,51,105,75,71.43,30,28.57,28051
28,52,109,78,71.56,31,28.44,28052
28,53,39,21,53.85,18,46.15,28053
28,54,67,38,56.72,29,43.28,28054
28,55,71,47,66.2,24,33.8,28055
28,56,83,51,61.45,32,38.55,28056
28,57,119,73,61.34,46,38.66,28057
28,58,78,52,66.67,26,33.33,28058
28,59,82,61,74.39,21,25.61,28059
28,60,96,79,82.29,17,17.71,28060
28,61,63,48,76.19,15,23.81,28061
29,1,162,127,78.4,35,21.6,29001
29,2,77,46,59.74,31,40.26,29002
29,3,149,120,80.54,29,19.46,29003
29,4,185,129,69.73,56,30.27,29004
29,5,185,134,72.43,51,27.57,29005
29,6,59,39,66.1,20,33.9,29006
29,7,124,76,61.29,48,38.71,29007
29,8,182,133,73.08,49,26.92,29008
29,9,130,98,75.38,32,24.62,29009
29,10,178,159,89.33,19,10.67,29010
29,11,159,116,72.96,43,27.04,29011
29,12,144,100,69.44,44,30.56,29012
29,13,191,141,73.82,50,26.18,29013
29,14,161,125,77.64,36,22.36,29014
29,15,191,130,68.06,61,31.94,29015
29,16,172,144,83.72,28,16.28,29016
29,17,125,67,53.6,58,46.4,29017
29,18,205,174,84.88,31,15.12,29018
29,19,140,106,75.71,34,24.29,29019
29,20,206,152,73.79,54,26.21,29020
29,21,127,92,72.44,35,27.56,29021
29,22,97,61,62.89,36,37.11,29022
29,23,107,78,72.9,29,27.1,29023
29,24,190,145,76.32,45,23.68,29024
29,25,237,195,82.28,42,17.72,29025
29,26,160,125,78.13,35,21.88,29026
29,27,107,71,66.36,36,33.64,29027
29,28,122,88,72.13,34,27.87,29028
29,29,245,190,77.55,55,22.45,29029
29,30,154,113,73.38,41,26.62,29030
29,31,172,121,70.35,51,29.65,29031
29,32,171,111,64.91,60,35.09,29032
29,33,154,111,72.08,43,27.92,29033
29,34,110,72,65.45,38,34.55,29034
29,35,248,222,89.52,26,10.48,29035
29,36,203,164,80.79,39,19.21,29036
29,37,166,112,67.47,54,32.53,29037
29,38,158,110,69.62,48,30.38,29038
29,39,135,77,57.04,58,42.96,29039
29,40,234,178,76.07,56,23.93,29040
29,41,226,165,73.01,61,26.99,29041
29,42,118,95,80.51,23,19.49,29042
29,43,222,149,67.12,73,32.88,29043
29,44,166,102,61.45,64,38.55,29044
29,45,149,116,77.85,33,22.15,29045
29,46,138,98,71.01,40,28.99,29046
29,47,251,190,75.7,61,24.3,29047
29,48,59,33,55.93,26,44.07,29048
29,49,253,198,78.26,55,21.74,29049
29,50,199,149,74.87,50,25.13,29050
29,51,156,107,68.59,49,31.41,29051
29,52,132,82,62.12,50,37.88,29052
29,53,97,59,60.82,38,39.18,29053
29,54,125,85,68.0,40,32.0,29054
29,55,32,20,62.5,12,37.5,29055
29,56,125,95,76.0,30,24.0,29056
30,1,185,83,44.86,102,55.14,30001
30,2,123,55,44.72,68,55.28,30002
30,3,198,82,41.41,116,58.59,30003
30,4,185,91,49.19,94,50.81,30004
30,5,93,59,63.44,34,36.56,30005
30,6,127,61,48.03,66,51.97,30006
30,7,146,71,48.63,75,51.37,30007
30,8,169,75,44.38,94,55.62,30008
30,9,253,136,53.75,117,46.25,30009
30,10,119,56,47.06,63,52.94,30010
30,11,125,66,52.8,59,47.2,30011
30,12,133,70,52.63,63,47.37,30012
30,13,93,60,64.52,33,35.48,30013
30,14,103,64,62.14,39,37.86,30014
30,15,161,100,62.11,61,37.89,30015
30,16,116,55,47.41,61,52.59,30016
30,17,86,55,63.95,31,36.05,30017
30,18,156,86,55.13,70,44.87,30018
30,19,152,86,56.58,66,43.42,30019
30,20,75,45,60.0,30,40.0,30020
30,21,40,19,47.5,21,52.5,30021
30,22,111,53,47.75,58,52.25,30022
30,23,91,45,49.45,46,50.55,30023
30,24,72,40,55.56,32,44.44,30024
30,25,143,79,55.24,64,44.76,30025
30,26,138,70,50.72,68,49.28,30026
30,27,114,65,57.02,49,42.98,30027
30,28,145,70,48.28,75,51.72,30028
30,29,131,65,49.62,66,50.38,30029
30,30,162,64,39.51,98,60.49,30030
