ward,precinct,total,JOHN JOSEPH HOLOWINSKI,JOHN JOSEPH HOLOWINSKI Percent,MARTIN R. CASTRO,MARTIN R. CASTRO Percent,LUIS V. GUTIERREZ,LUIS V. GUTIERREZ Percent,precinct_id
22,4,160,2,1.25,33,20.63,125,78.13,22004
22,5,207,10,4.83,37,17.87,160,77.29,22005
22,6,188,2,1.06,20,10.64,166,88.3,22006
22,9,174,6,3.45,20,11.49,148,85.06,22009
22,10,234,9,3.85,46,19.66,179,76.5,22010
22,11,171,5,2.92,33,19.3,133,77.78,22011
22,13,168,4,2.38,48,28.57,116,69.05,22013
22,14,106,6,5.66,9,8.49,91,85.85,22014
22,16,184,6,3.26,37,20.11,141,76.63,22016
22,17,187,4,2.14,27,14.44,156,83.42,22017
22,18,147,2,1.36,33,22.45,112,76.19,22018
22,23,203,5,2.46,38,18.72,160,78.82,22023
22,24,171,4,2.34,19,11.11,148,86.55,22024
22,25,165,4,2.42,26,15.76,135,81.82,22025
22,26,113,3,2.65,20,17.7,90,79.65,22026
22,27,222,11,4.95,29,13.06,182,81.98,22027
22,29,105,3,2.86,25,23.81,77,73.33,22029
23,7,175,36,20.57,44,25.14,95,54.29,23007
23,9,168,47,27.98,37,22.02,84,50.0,23009
23,22,172,53,30.81,31,18.02,88,51.16,23022
23,24,158,44,27.85,39,24.68,75,47.47,23024
23,25,206,51,24.76,42,20.39,113,54.85,23025
23,29,181,68,37.57,34,18.78,79,43.65,23029
23,49,115,39,33.91,24,20.87,52,45.22,23049
24,53,1,0,0.0,1,100.0,0,0.0,24053
25,1,181,9,4.97,58,32.04,114,62.98,25001
25,2,204,8,3.92,36,17.65,160,78.43,25002
25,5,221,25,11.31,81,36.65,115,52.04,25005
25,6,230,13,5.65,81,35.22,136,59.13,25006
25,7,185,8,4.32,34,18.38,143,77.3,25007
25,8,184,10,5.43,36,19.57,138,75.0,25008
25,9,263,18,6.84,44,16.73,201,76.43,25009
25,11,235,9,3.83,56,23.83,170,72.34,25011
25,12,172,7,4.07,45,26.16,120,69.77,25012
25,13,211,7,3.32,36,17.06,168,79.62,25013
25,15,200,12,6.0,53,26.5,135,67.5,25015
25,17,319,4,1.25,60,18.81,255,79.94,25017
25,19,219,9,4.11,43,19.63,167,76.26,25019
25,20,267,21,7.87,65,24.34,181,67.79,25020
25,22,156,7,4.49,29,18.59,120,76.92,25022
25,23,212,5,2.36,53,25.0,154,72.64,25023
25,24,194,6,3.09,71,36.6,117,60.31,25024
26,1,111,7,6.31,19,17.12,85,76.58,26001
26,2,172,6,3.49,25,14.53,141,81.98,26002
26,3,126,11,8.73,20,15.87,95,75.4,26003
26,4,217,6,2.76,50,23.04,161,74.19,26004
26,5,195,10,5.13,24,12.31,161,82.56,26005
26,6,218,8,3.67,57,26.15,153,70.18,26006
26,8,127,2,1.57,76,59.84,49,38.58,26008
26,9,175,6,3.43,36,20.57,133,76.0,26009
26,10,170,7,4.12,22,12.94,141,82.94,26010
26,11,205,25,12.2,58,28.29,122,59.51,26011
26,12,177,3,1.69,39,22.03,135,76.27,26012
26,13,198,18,9.09,53,26.77,127,64.14,26013
26,14,271,13,4.8,38,14.02,220,81.18,26014
26,15,129,5,3.88,8,6.2,116,89.92,26015
26,16,159,8,5.03,24,15.09,127,79.87,26016
26,17,233,21,9.01,37,15.88,175,75.11,26017
26,18,203,10,4.93,41,20.2,152,74.88,26018
26,19,211,17,8.06,54,25.59,140,66.35,26019
26,20,131,2,1.53,28,21.37,101,77.1,26020
26,21,181,12,6.63,16,8.84,153,84.53,26021
26,22,101,4,3.96,20,19.8,77,76.24,26022
26,23,182,8,4.4,43,23.63,131,71.98,26023
26,24,237,26,10.97,68,28.69,143,60.34,26024
26,25,202,31,15.35,50,24.75,121,59.9,26025
26,26,112,8,7.14,19,16.96,85,75.89,26026
26,27,126,7,5.56,14,11.11,105,83.33,26027
26,28,225,23,10.22,41,18.22,161,71.56,26028
26,29,190,4,2.11,33,17.37,153,80.53,26029
26,30,82,8,9.76,25,30.49,49,59.76,26030
26,32,206,17,8.25,44,21.36,145,70.39,26032
26,33,181,24,13.26,33,18.23,124,68.51,26033
26,34,188,15,7.98,58,30.85,115,61.17,26034
26,35,184,2,1.09,30,16.3,152,82.61,26035
26,36,236,5,2.12,54,22.88,177,75.0,26036
26,37,157,19,12.1,59,37.58,79,50.32,26037
26,38,146,6,4.11,55,37.67,85,58.22,26038
27,15,0,0,0.0,0,0.0,0,0.0,27015
27,18,0,0,0.0,0,0.0,0,0.0,27018
27,30,3,0,0.0,1,33.33,2,66.67,27030
27,32,130,14,10.77,33,25.38,83,63.85,27032
27,35,114,16,14.04,44,38.6,54,47.37,27035
27,55,27,6,22.22,8,29.63,13,48.15,27055
29,2,104,26,25.0,19,18.27,59,56.73,29002
29,6,79,11,13.92,12,15.19,56,70.89,29006
29,7,166,20,12.05,28,16.87,118,71.08,29007
29,17,181,24,13.26,21,11.6,136,75.14,29017
29,30,31,1,3.23,3,9.68,27,87.1,29030
29,39,185,16,8.65,31,16.76,138,74.59,29039
29,48,73,13,17.81,7,9.59,53,72.6,29048
29,52,181,13,7.18,25,13.81,143,79.01,29052
29,54,14,3,21.43,2,14.29,9,64.29,29054
30,4,191,50,26.18,42,21.99,99,51.83,30004
30,16,0,0,0.0,0,0.0,0,0.0,30016
30,17,125,19,15.2,19,15.2,87,69.6,30017
30,19,1,1,100.0,0,0.0,0,0.0,30019
30,20,113,23,20.35,9,7.96,81,71.68,30020
30,21,65,10,15.38,7,10.77,48,73.85,30021
30,24,118,25,21.19,23,19.49,70,59.32,30024
30,25,193,77,39.9,24,12.44,92,47.67,30025
30,33,38,11,28.95,11,28.95,16,42.11,30033
30,36,148,46,31.08,17,11.49,85,57.43,30036
30,41,80,27,33.75,12,15.0,41,51.25,30041
30,45,154,35,22.73,23,14.94,96,62.34,30045
31,1,125,1,0.8,26,20.8,98,78.4,31001
31,2,129,13,10.08,33,25.58,83,64.34,31002
31,3,175,10,5.71,31,17.71,134,76.57,31003
31,4,218,16,7.34,56,25.69,146,66.97,31004
31,5,89,20,22.47,19,21.35,50,56.18,31005
31,6,41,7,17.07,7,17.07,27,65.85,31006
31,7,136,12,8.82,15,11.03,109,80.15,31007
31,8,91,5,5.49,8,8.79,78,85.71,31008
31,9,138,9,6.52,16,11.59,113,81.88,31009
31,10,151,4,2.65,20,13.25,127,84.11,31010
31,11,128,7,5.47,29,22.66,92,71.88,31011
31,12,190,13,6.84,27,14.21,150,78.95,31012
31,13,149,26,17.45,26,17.45,97,65.1,31013
31,14,187,13,6.95,31,16.58,143,76.47,31014
31,15,150,5,3.33,19,12.67,126,84.0,31015
31,16,136,7,5.15,15,11.03,114,83.82,31016
31,17,208,11,5.29,31,14.9,166,79.81,31017
31,18,18,3,16.67,2,11.11,13,72.22,31018
31,20,141,4,2.84,15,10.64,122,86.52,31020
31,21,120,6,5.0,22,18.33,92,76.67,31021
31,22,147,8,5.44,18,12.24,121,82.31,31022
31,23,155,13,8.39,21,13.55,121,78.06,31023
31,24,229,11,4.8,37,16.16,181,79.04,31024
31,25,187,4,2.14,21,11.23,162,86.63,31025
31,26,43,2,4.65,5,11.63,36,83.72,31026
31,27,133,15,11.28,22,16.54,96,72.18,31027
31,28,150,6,4.0,18,12.0,126,84.0,31028
31,29,129,5,3.88,18,13.95,106,82.17,31029
31,30,130,21,16.15,25,19.23,84,64.62,31030
31,31,204,42,20.59,36,17.65,126,61.76,31031
31,32,87,13,14.94,17,19.54,57,65.52,31032
31,33,197,24,12.18,34,17.26,139,70.56,31033
31,34,209,8,3.83,26,12.44,175,83.73,31034
31,35,127,4,3.15,9,7.09,114,89.76,31035
31,36,230,19,8.26,29,12.61,182,79.13,31036
31,37,187,15,8.02,18,9.63,154,82.35,31037
31,38,158,5,3.16,23,14.56,130,82.28,31038
31,39,142,4,2.82,15,10.56,123,86.62,31039
31,40,173,8,4.62,12,6.94,153,88.44,31040
31,41,110,2,1.82,18,16.36,90,81.82,31041
31,42,126,2,1.59,23,18.25,101,80.16,31042
31,43,137,3,2.19,15,10.95,119,86.86,31043
31,44,163,7,4.29,30,18.4,126,77.3,31044
31,45,130,3,2.31,12,9.23,115,88.46,31045
32,1,21,7,33.33,5,23.81,9,42.86,32001
32,2,113,9,7.96,46,40.71,58,51.33,32002
32,3,134,9,6.72,60,44.78,65,48.51,32003
32,4,275,30,10.91,105,38.18,140,50.91,32004
32,5,131,17,12.98,42,32.06,72,54.96,32005
32,11,193,26,13.47,61,31.61,106,54.92,32011
32,12,12,1,8.33,1,8.33,10,83.33,32012
32,14,108,15,13.89,34,31.48,59,54.63,32014
32,16,195,39,20.0,74,37.95,82,42.05,32016
32,17,107,9,8.41,52,48.6,46,42.99,32017
32,28,108,24,22.22,32,29.63,52,48.15,32028
32,29,183,25,13.66,80,43.72,78,42.62,32029
32,30,158,20,12.66,58,36.71,80,50.63,32030
32,31,204,33,16.18,74,36.27,97,47.55,32031
32,33,151,22,14.57,39,25.83,90,59.6,32033
32,34,211,28,13.27,86,40.76,97,45.97,32034
32,35,212,29,13.68,70,33.02,113,53.3,32035
32,36,251,25,9.96,126,50.2,100,39.84,32036
32,47,83,6,7.23,28,33.73,49,59.04,32047
33,1,203,28,13.79,54,26.6,121,59.61,33001
33,2,305,34,11.15,95,31.15,176,57.7,33002
33,3,185,16,8.65,57,30.81,112,60.54,33003
33,4,258,34,13.18,55,21.32,169,65.5,33004
33,5,182,35,19.23,41,22.53,106,58.24,33005
33,6,268,28,10.45,57,21.27,183,68.28,33006
33,7,69,9,13.04,16,23.19,44,63.77,33007
33,10,248,41,16.53,73,29.44,134,54.03,33010
33,12,266,45,16.92,68,25.56,153,57.52,33012
33,13,281,21,7.47,68,24.2,192,68.33,33013
33,15,56,8,14.29,17,30.36,31,55.36,33015
33,17,231,44,19.05,68,29.44,119,51.52,33017
33,19,159,18,11.32,35,22.01,106,66.67,33019
33,20,219,18,8.22,54,24.66,147,67.12,33020
33,21,194,17,8.76,43,22.16,134,69.07,33021
33,22,117,22,18.8,24,20.51,71,60.68,33022
33,23,31,7,22.58,9,29.03,15,48.39,33023
33,24,24,4,16.67,6,25.0,14,58.33,33024
33,26,179,15,8.38,40,22.35,124,69.27,33026
33,28,17,1,5.88,5,29.41,11,64.71,33028
33,30,187,26,13.9,36,19.25,125,66.84,33030
33,31,195,12,6.15,35,17.95,148,75.9,33031
33,32,55,12,21.82,5,9.09,38,69.09,33032
33,33,217,21,9.68,40,18.43,156,71.89,33033
33,34,208,25,12.02,47,22.6,136,65.38,33034
33,35,218,29,13.3,57,26.15,132,60.55,33035
33,36,287,40,13.94,52,18.12,195,67.94,33036
33,37,12,0,0.0,1,8.33,11,91.67,33037
35,1,124,22,17.74,20,16.13,82,66.13,35001
35,2,221,16,7.24,36,16.29,169,76.47,35002
35,3,120,7,5.83,27,22.5,86,71.67,35003
35,4,87,19,21.84,27,31.03,41,47.13,35004
35,5,213,16,7.51,45,21.13,152,71.36,35005
35,6,171,41,23.98,38,22.22,92,53.8,35006
35,7,199,14,7.04,39,19.6,146,73.37,35007
35,8,60,10,16.67,21,35.0,29,48.33,35008
35,9,162,13,8.02,27,16.67,122,75.31,35009
35,10,137,4,2.92,25,18.25,108,78.83,35010
35,11,106,28,26.42,17,16.04,61,57.55,35011
35,12,176,10,5.68,31,17.61,135,76.7,35012
35,13,272,30,11.03,96,35.29,146,53.68,35013
35,14,185,7,3.78,42,22.7,136,73.51,35014
35,15,208,28,13.46,39,18.75,141,67.79,35015
35,16,178,13,7.3,43,24.16,122,68.54,35016
35,17,221,11,4.98,43,19.46,167,75.57,35017
35,18,210,24,11.43,50,23.81,136,64.76,35018
35,19,199,16,8.04,28,14.07,155,77.89,35019
35,20,99,3,3.03,22,22.22,74,74.75,35020
35,21,269,43,15.99,58,21.56,168,62.45,35021
35,22,137,9,6.57,16,11.68,112,81.75,35022
35,23,175,11,6.29,28,16.0,136,77.71,35023
35,24,188,14,7.45,22,11.7,152,80.85,35024
35,25,182,24,13.19,49,26.92,109,59.89,35025
35,26,131,4,3.05,13,9.92,114,87.02,35026
35,27,255,28,10.98,74,29.02,153,60.0,35027
35,28,160,17,10.63,28,17.5,115,71.88,35028
35,29,208,14,6.73,30,14.42,164,78.85,35029
35,30,276,12,4.35,83,30.07,181,65.58,35030
35,31,183,9,4.92,53,28.96,121,66.12,35031
35,32,105,6,5.71,22,20.95,77,73.33,35032
35,33,119,7,5.88,18,15.13,94,78.99,35033
35,34,204,15,7.35,35,17.16,154,75.49,35034
35,35,100,6,6.0,19,19.0,75,75.0,35035
36,3,38,2,5.26,6,15.79,30,78.95,36003
36,4,71,8,11.27,13,18.31,50,70.42,36004
36,33,53,7,13.21,29,54.72,17,32.08,36033
36,44,37,5,13.51,10,27.03,22,59.46,36044
36,54,40,8,20.0,8,20.0,24,60.0,36054
36,55,23,5,21.74,7,30.43,11,47.83,36055
37,42,12,3,25.0,3,25.0,6,50.0,37042
39,22,10,3,30.0,1,10.0,6,60.0,39022
39,27,109,16,14.68,20,18.35,73,66.97,39027
39,29,103,12,11.65,19,18.45,72,69.9,39029
