ward,precinct,total,JoANNE GUILLEMETTE,JoANNE GUILLEMETTE Percent,CASANDRA LEWIS,CASANDRA LEWIS Percent,precinct_id
11,53,197,179,90.86,18,9.14,11053
11,54,68,59,86.76,9,13.24,11054
15,1,154,48,31.17,106,68.83,15001
15,2,177,72,40.68,105,59.32,15002
15,4,104,34,32.69,70,67.31,15004
15,5,134,50,37.31,84,62.69,15005
15,7,150,41,27.33,109,72.67,15007
15,17,165,63,38.18,102,61.82,15017
15,18,157,41,26.11,116,73.89,15018
15,19,117,38,32.48,79,67.52,15019
15,20,121,34,28.1,87,71.9,15020
15,21,194,52,26.8,142,73.2,15021
15,23,112,33,29.46,79,70.54,15023
15,26,146,50,34.25,96,65.75,15026
15,31,136,56,41.18,80,58.82,15031
15,33,116,37,31.9,79,68.1,15033
15,34,0,0,0.0,0,0.0,15034
15,35,180,82,45.56,98,54.44,15035
15,36,145,51,35.17,94,64.83,15036
15,37,155,37,23.87,118,76.13,15037
15,39,133,48,36.09,85,63.91,15039
15,40,129,29,22.48,100,77.52,15040
15,42,101,34,33.66,67,66.34,15042
15,43,123,47,38.21,76,61.79,15043
15,47,152,52,34.21,100,65.79,15047
16,3,148,49,33.11,99,66.89,16003
16,5,135,44,32.59,91,67.41,16005
16,6,112,30,26.79,82,73.21,16006
16,8,141,52,36.88,89,63.12,16008
16,9,208,85,40.87,123,59.13,16009
16,10,167,73,43.71,94,56.29,16010
16,12,92,37,40.22,55,59.78,16012
16,14,120,41,34.17,79,65.83,16014
16,15,113,26,23.01,87,76.99,16015
16,16,62,22,35.48,40,64.52,16016
16,17,37,10,27.03,27,72.97,16017
16,18,87,31,35.63,56,64.37,16018
16,19,109,39,35.78,70,64.22,16019
16,20,141,51,36.17,90,63.83,16020
16,22,110,34,30.91,76,69.09,16022
16,24,98,39,39.8,59,60.2,16024
16,25,96,56,58.33,40,41.67,16025
16,26,140,55,39.29,85,60.71,16026
16,27,99,37,37.37,62,62.63,16027
16,28,142,52,36.62,90,63.38,16028
16,29,96,38,39.58,58,60.42,16029
16,30,152,48,31.58,104,68.42,16030
16,31,136,46,33.82,90,66.18,16031
16,33,103,38,36.89,65,63.11,16033
16,34,101,51,50.5,50,49.5,16034
16,35,87,37,42.53,50,57.47,16035
16,36,125,48,38.4,77,61.6,16036
16,37,89,30,33.71,59,66.29,16037
16,38,187,60,32.09,127,67.91,16038
16,39,119,47,39.5,72,60.5,16039
16,40,183,73,39.89,110,60.11,16040
17,1,82,27,32.93,55,67.07,17001
17,6,113,50,44.25,63,55.75,17006
17,8,88,29,32.95,59,67.05,17008
17,13,118,40,33.9,78,66.1,17013
17,14,135,49,36.3,86,63.7,17014
17,16,169,84,49.7,85,50.3,17016
17,17,112,46,41.07,66,58.93,17017
17,19,97,54,55.67,43,44.33,17019
17,34,132,50,37.88,82,62.12,17034
17,36,96,39,40.63,57,59.38,17036
17,39,115,46,40.0,69,60.0,17039
17,41,134,52,38.81,82,61.19,17041
17,42,83,26,31.33,57,68.67,17042
17,43,125,54,43.2,71,56.8,17043
17,45,90,36,40.0,54,60.0,17045
17,46,173,62,35.84,111,64.16,17046
17,49,111,44,39.64,67,60.36,17049
20,1,138,48,34.78,90,65.22,20001
20,2,130,64,49.23,66,50.77,20002
20,3,166,42,25.3,124,74.7,20003
20,4,155,47,30.32,108,69.68,20004
20,5,112,39,34.82,73,65.18,20005
20,6,153,51,33.33,102,66.67,20006
20,7,94,32,34.04,62,65.96,20007
20,8,101,32,31.68,69,68.32,20008
20,9,115,49,42.61,66,57.39,20009
20,10,191,63,32.98,128,67.02,20010
20,11,95,35,36.84,60,63.16,20011
20,12,133,49,36.84,84,63.16,20012
20,13,74,36,48.65,38,51.35,20013
20,14,215,87,40.47,128,59.53,20014
20,15,137,48,35.04,89,64.96,20015
20,16,88,35,39.77,53,60.23,20016
20,17,129,38,29.46,91,70.54,20017
20,18,192,76,39.58,116,60.42,20018
20,19,126,49,38.89,77,61.11,20019
20,20,127,56,44.09,71,55.91,20020
20,21,129,61,47.29,68,52.71,20021
20,22,134,71,52.99,63,47.01,20022
20,23,125,56,44.8,69,55.2,20023
20,24,181,64,35.36,117,64.64,20024
20,25,85,32,37.65,53,62.35,20025
20,26,249,84,33.73,165,66.27,20026
20,27,101,27,26.73,74,73.27,20027
20,28,170,87,51.18,83,48.82,20028
20,29,116,41,35.34,75,64.66,20029
20,30,158,74,46.84,84,53.16,20030
20,31,121,42,34.71,79,65.29,20031
20,32,215,85,39.53,130,60.47,20032
20,33,172,88,51.16,84,48.84,20033
20,34,180,70,38.89,110,61.11,20034
20,35,95,61,64.21,34,35.79,20035
20,36,148,62,41.89,86,58.11,20036
20,37,113,48,42.48,65,57.52,20037
20,38,196,73,37.24,123,62.76,20038
20,39,142,67,47.18,75,52.82,20039
20,40,124,44,35.48,80,64.52,20040
20,41,35,20,57.14,15,42.86,20041
20,42,51,16,31.37,35,68.63,20042
20,43,196,70,35.71,126,64.29,20043
20,44,178,35,19.66,143,80.34,20044
20,45,37,17,45.95,20,54.05,20045
20,46,78,16,20.51,62,79.49,20046
20,47,106,50,47.17,56,52.83,20047
20,48,91,41,45.05,50,54.95,20048
20,49,111,37,33.33,74,66.67,20049
20,50,100,36,36.0,64,64.0,20050
20,51,136,60,44.12,76,55.88,20051
20,52,36,14,38.89,22,61.11,20052
25,21,102,74,72.55,28,27.45,25021
