ward,precinct,total,KATHLEEN THERESE MEANY,KATHLEEN THERESE MEANY Percent,CYNTHIA M. SANTOS,CYNTHIA M. SANTOS Percent,EDWARD J. SCHMIT III,EDWARD J. SCHMIT III Percent,"LEWIS W. POWELL, III","LEWIS W. POWELL, III Percent",JESSE J. EVANS,JESSE J. EVANS Percent,"TURHERAN """"TC"""" CRAWFORD","TURHERAN """"TC"""" CRAWFORD Percent",JAMES P. SHEEHAN,JAMES P. SHEEHAN Percent,FRANK AVILA,FRANK AVILA Percent,precinct_id
1,17,238,54,22.69,57,23.95,8,3.36,3,1.26,23,9.66,8,3.36,22,9.24,44,18.49,01017
1,18,289,31,10.73,104,35.99,13,4.5,13,4.5,32,11.07,3,1.04,19,6.57,61,21.11,01018
1,19,312,38,12.18,109,34.94,17,5.45,12,3.85,32,10.26,7,2.24,22,7.05,65,20.83,01019
1,20,235,26,11.06,86,36.6,10,4.26,14,5.96,23,9.79,10,4.26,19,8.09,40,17.02,01020
1,21,302,57,18.87,69,22.85,29,9.6,9,2.98,21,6.95,7,2.32,39,12.91,52,17.22,01021
1,22,170,21,12.35,65,38.24,9,5.29,7,4.12,23,13.53,5,2.94,9,5.29,29,17.06,01022
1,23,512,95,18.55,145,28.32,14,2.73,24,4.69,33,6.45,10,1.95,71,13.87,95,18.55,01023
1,24,249,51,20.48,73,29.32,10,4.02,8,3.21,14,5.62,10,4.02,36,14.46,37,14.86,01024
1,25,248,46,18.55,78,31.45,13,5.24,12,4.84,15,6.05,7,2.82,20,8.06,46,18.55,01025
1,26,308,63,20.45,81,26.3,22,7.14,14,4.55,17,5.52,10,3.25,43,13.96,49,15.91,01026
1,27,233,27,11.59,80,34.33,9,3.86,14,6.01,33,14.16,8,3.43,17,7.3,36,15.45,01027
1,28,51,8,15.69,16,31.37,0,0.0,2,3.92,8,15.69,2,3.92,1,1.96,13,25.49,01028
1,29,475,71,14.95,139,29.26,23,4.84,24,5.05,41,8.63,16,3.37,43,9.05,93,19.58,01029
1,30,273,31,11.36,96,35.16,21,7.69,8,2.93,24,8.79,5,1.83,20,7.33,57,20.88,01030
1,31,232,62,26.72,53,22.84,14,6.03,5,2.16,8,3.45,7,3.02,26,11.21,47,20.26,01031
1,32,340,44,12.94,107,31.47,23,6.76,8,2.35,45,13.24,7,2.06,30,8.82,63,18.53,01032
1,33,347,55,15.85,118,34.01,20,5.76,7,2.02,29,8.36,3,0.86,35,10.09,71,20.46,01033
1,34,79,18,22.78,19,24.05,5,6.33,1,1.27,7,8.86,1,1.27,9,11.39,12,15.19,01034
1,35,99,20,20.2,25,25.25,8,8.08,2,2.02,4,4.04,2,2.02,12,12.12,19,19.19,01035
1,36,268,47,17.54,76,28.36,16,5.97,11,4.1,20,7.46,3,1.12,42,15.67,38,14.18,01036
1,37,395,79,20.0,107,27.09,27,6.84,14,3.54,27,6.84,15,3.8,50,12.66,63,15.95,01037
2,1,317,64,20.19,57,17.98,11,3.47,19,5.99,52,16.4,17,5.36,26,8.2,41,12.93,02001
2,2,661,82,12.41,87,13.16,10,1.51,79,11.95,170,25.72,45,6.81,35,5.3,59,8.93,02002
2,3,220,37,16.82,32,14.55,16,7.27,24,10.91,54,24.55,12,5.45,16,7.27,7,3.18,02003
2,4,168,23,13.69,22,13.1,5,2.98,14,8.33,42,25.0,8,4.76,12,7.14,17,10.12,02004
2,5,174,29,16.67,26,14.94,9,5.17,21,12.07,46,26.44,8,4.6,13,7.47,9,5.17,02005
2,6,185,36,19.46,24,12.97,15,8.11,15,8.11,43,23.24,8,4.32,13,7.03,6,3.24,02006
2,7,524,78,14.89,72,13.74,17,3.24,51,9.73,135,25.76,52,9.92,41,7.82,21,4.01,02007
2,8,478,100,20.92,77,16.11,15,3.14,38,7.95,66,13.81,21,4.39,45,9.41,63,13.18,02008
2,9,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,02009
2,10,220,23,10.45,23,10.45,7,3.18,14,6.36,61,27.73,12,5.45,13,5.91,30,13.64,02010
2,11,704,124,17.61,122,17.33,33,4.69,46,6.53,90,12.78,21,2.98,71,10.09,118,16.76,02011
2,12,449,69,15.37,78,17.37,14,3.12,44,9.8,102,22.72,21,4.68,24,5.35,30,6.68,02012
2,13,609,79,12.97,91,14.94,14,2.3,76,12.48,164,26.93,44,7.22,25,4.11,43,7.06,02013
2,14,637,55,8.63,66,10.36,7,1.1,115,18.05,182,28.57,31,4.87,34,5.34,36,5.65,02014
2,15,135,19,14.07,14,10.37,4,2.96,6,4.44,35,25.93,7,5.19,3,2.22,19,14.07,02015
2,16,248,46,18.55,40,16.13,7,2.82,22,8.87,53,21.37,11,4.44,12,4.84,9,3.63,02016
2,17,317,63,19.87,59,18.61,11,3.47,32,10.09,56,17.67,6,1.89,17,5.36,29,9.15,02017
2,18,526,47,8.94,60,11.41,13,2.47,78,14.83,150,28.52,24,4.56,37,7.03,28,5.32,02018
2,19,160,24,15.0,14,8.75,8,5.0,17,10.63,33,20.63,10,6.25,9,5.63,17,10.63,02019
2,20,365,51,13.97,51,13.97,15,4.11,30,8.22,98,26.85,17,4.66,22,6.03,33,9.04,02020
2,21,321,40,12.46,42,13.08,12,3.74,43,13.4,91,28.35,14,4.36,22,6.85,15,4.67,02021
2,22,891,172,19.3,144,16.16,29,3.25,61,6.85,102,11.45,35,3.93,99,11.11,142,15.94,02022
2,23,265,37,13.96,42,15.85,21,7.92,19,7.17,55,20.75,14,5.28,20,7.55,26,9.81,02023
2,24,152,12,7.89,36,23.68,2,1.32,7,4.61,30,19.74,8,5.26,10,6.58,15,9.87,02024
2,25,165,33,20.0,30,18.18,6,3.64,7,4.24,29,17.58,8,4.85,18,10.91,18,10.91,02025
2,26,245,37,15.1,41,16.73,5,2.04,22,8.98,59,24.08,11,4.49,14,5.71,17,6.94,02026
2,27,62,13,20.97,11,17.74,4,6.45,5,8.06,14,22.58,3,4.84,0,0.0,2,3.23,02027
2,28,496,58,11.69,58,11.69,13,2.62,53,10.69,119,23.99,31,6.25,17,3.43,52,10.48,02028
2,29,168,21,12.5,18,10.71,11,6.55,20,11.9,42,25.0,10,5.95,17,10.12,5,2.98,02029
2,30,264,25,9.47,27,10.23,8,3.03,25,9.47,73,27.65,11,4.17,6,2.27,32,12.12,02030
2,31,466,65,13.95,81,17.38,14,3.0,42,9.01,113,24.25,21,4.51,20,4.29,30,6.44,02031
2,32,249,32,12.85,35,14.06,20,8.03,20,8.03,70,28.11,7,2.81,18,7.23,17,6.83,02032
2,33,605,82,13.55,82,13.55,20,3.31,66,10.91,155,25.62,40,6.61,38,6.28,53,8.76,02033
2,34,372,54,14.52,40,10.75,10,2.69,44,11.83,103,27.69,16,4.3,30,8.06,27,7.26,02034
2,35,75,11,14.67,12,16.0,3,4.0,7,9.33,7,9.33,4,5.33,10,13.33,12,16.0,02035
2,36,141,25,17.73,21,14.89,6,4.26,12,8.51,37,26.24,8,5.67,3,2.13,8,5.67,02036
2,37,454,100,22.03,73,16.08,16,3.52,27,5.95,64,14.1,27,5.95,44,9.69,53,11.67,02037
2,38,353,44,12.46,44,12.46,14,3.97,29,8.22,93,26.35,20,5.67,21,5.95,17,4.82,02038
2,39,427,74,17.33,80,18.74,19,4.45,36,8.43,74,17.33,11,2.58,27,6.32,57,13.35,02039
2,40,429,71,16.55,79,18.41,17,3.96,32,7.46,82,19.11,28,6.53,43,10.02,36,8.39,02040
2,41,107,14,13.08,14,13.08,7,6.54,8,7.48,31,28.97,6,5.61,9,8.41,6,5.61,02041
2,42,134,23,17.16,22,16.42,11,8.21,8,5.97,25,18.66,5,3.73,10,7.46,16,11.94,02042
2,43,491,96,19.55,82,16.7,15,3.05,24,4.89,56,11.41,19,3.87,48,9.78,87,17.72,02043
2,44,431,53,12.3,65,15.08,3,0.7,38,8.82,86,19.95,19,4.41,18,4.18,18,4.18,02044
2,45,171,14,8.19,19,11.11,2,1.17,15,8.77,53,30.99,13,7.6,9,5.26,16,9.36,02045
2,46,784,75,9.57,98,12.5,15,1.91,105,13.39,213,27.17,35,4.46,34,4.34,54,6.89,02046
2,47,286,39,13.64,45,15.73,8,2.8,35,12.24,70,24.48,12,4.2,17,5.94,26,9.09,02047
2,48,499,63,12.63,70,14.03,16,3.21,61,12.22,124,24.85,22,4.41,32,6.41,40,8.02,02048
2,49,147,36,24.49,24,16.33,9,6.12,7,4.76,15,10.2,4,2.72,13,8.84,26,17.69,02049
2,50,195,29,14.87,49,25.13,6,3.08,14,7.18,19,9.74,10,5.13,12,6.15,39,20.0,02050
2,51,328,57,17.38,54,16.46,10,3.05,30,9.15,83,25.3,18,5.49,15,4.57,23,7.01,02051
2,52,329,49,14.89,58,17.63,8,2.43,37,11.25,63,19.15,11,3.34,32,9.73,29,8.81,02052
2,53,192,28,14.58,30,15.63,9,4.69,15,7.81,49,25.52,10,5.21,10,5.21,19,9.9,02053
2,54,383,71,18.54,71,18.54,13,3.39,22,5.74,40,10.44,20,5.22,39,10.18,65,16.97,02054
2,55,310,58,18.71,63,20.32,10,3.23,12,3.87,55,17.74,12,3.87,31,10.0,39,12.58,02055
2,56,125,19,15.2,29,23.2,8,6.4,12,9.6,28,22.4,6,4.8,7,5.6,3,2.4,02056
3,1,260,23,8.85,51,19.62,10,3.85,17,6.54,52,20.0,13,5.0,15,5.77,11,4.23,03001
3,2,540,70,12.96,94,17.41,13,2.41,53,9.81,139,25.74,22,4.07,28,5.19,25,4.63,03002
3,3,39,4,10.26,7,17.95,2,5.13,1,2.56,9,23.08,1,2.56,4,10.26,1,2.56,03003
3,4,126,19,15.08,21,16.67,7,5.56,12,9.52,24,19.05,5,3.97,10,7.94,10,7.94,03004
3,5,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03005
3,6,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03006
3,7,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03007
3,8,190,16,8.42,42,22.11,25,13.16,14,7.37,27,14.21,5,2.63,8,4.21,10,5.26,03008
3,9,216,24,11.11,44,20.37,12,5.56,16,7.41,53,24.54,16,7.41,9,4.17,10,4.63,03009
3,10,161,19,11.8,34,21.12,6,3.73,13,8.07,32,19.88,8,4.97,11,6.83,9,5.59,03010
3,11,229,19,8.3,44,19.21,14,6.11,19,8.3,52,22.71,8,3.49,14,6.11,12,5.24,03011
3,12,320,32,10.0,79,24.69,10,3.13,20,6.25,71,22.19,16,5.0,19,5.94,15,4.69,03012
3,13,14,2,14.29,1,7.14,0,0.0,0,0.0,5,35.71,0,0.0,1,7.14,2,14.29,03013
3,14,138,14,10.14,24,17.39,6,4.35,17,12.32,36,26.09,9,6.52,10,7.25,8,5.8,03014
3,15,247,21,8.5,47,19.03,8,3.24,25,10.12,54,21.86,16,6.48,11,4.45,11,4.45,03015
3,16,506,38,7.51,121,23.91,16,3.16,36,7.11,101,19.96,32,6.32,20,3.95,21,4.15,03016
3,17,285,22,7.72,72,25.26,11,3.86,13,4.56,58,20.35,14,4.91,13,4.56,17,5.96,03017
3,18,277,38,13.72,55,19.86,10,3.61,23,8.3,57,20.58,18,6.5,19,6.86,13,4.69,03018
3,19,137,26,18.98,16,11.68,8,5.84,14,10.22,31,22.63,5,3.65,7,5.11,10,7.3,03019
3,20,85,12,14.12,16,18.82,10,11.76,6,7.06,16,18.82,7,8.24,6,7.06,4,4.71,03020
3,21,177,19,10.73,51,28.81,3,1.69,10,5.65,28,15.82,3,1.69,8,4.52,6,3.39,03021
3,22,268,25,9.33,48,17.91,10,3.73,23,8.58,68,25.37,15,5.6,14,5.22,18,6.72,03022
3,23,106,16,15.09,16,15.09,1,0.94,10,9.43,21,19.81,9,8.49,11,10.38,3,2.83,03023
3,24,303,33,10.89,59,19.47,12,3.96,20,6.6,78,25.74,15,4.95,21,6.93,19,6.27,03024
3,25,60,7,11.67,10,16.67,10,16.67,6,10.0,16,26.67,1,1.67,4,6.67,1,1.67,03025
3,26,224,16,7.14,50,22.32,9,4.02,16,7.14,53,23.66,13,5.8,17,7.59,11,4.91,03026
3,27,54,11,20.37,11,20.37,2,3.7,4,7.41,11,20.37,2,3.7,4,7.41,1,1.85,03027
3,28,344,40,11.63,72,20.93,11,3.2,33,9.59,82,23.84,17,4.94,11,3.2,22,6.4,03028
3,29,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03029
3,30,331,36,10.88,71,21.45,13,3.93,28,8.46,81,24.47,14,4.23,10,3.02,17,5.14,03030
3,31,357,32,8.96,79,22.13,15,4.2,31,8.68,79,22.13,16,4.48,25,7.0,14,3.92,03031
3,32,385,35,9.09,90,23.38,14,3.64,34,8.83,83,21.56,14,3.64,21,5.45,23,5.97,03032
3,33,319,33,10.34,61,19.12,17,5.33,31,9.72,65,20.38,18,5.64,20,6.27,18,5.64,03033
3,34,114,16,14.04,24,21.05,5,4.39,7,6.14,20,17.54,8,7.02,6,5.26,4,3.51,03034
3,35,233,13,5.58,50,21.46,6,2.58,13,5.58,59,25.32,11,4.72,11,4.72,9,3.86,03035
3,36,108,18,16.67,25,23.15,2,1.85,9,8.33,23,21.3,6,5.56,8,7.41,6,5.56,03036
3,37,229,23,10.04,48,20.96,10,4.37,16,6.99,56,24.45,12,5.24,15,6.55,16,6.99,03037
3,38,444,40,9.01,96,21.62,14,3.15,37,8.33,104,23.42,23,5.18,28,6.31,23,5.18,03038
3,39,622,58,9.32,126,20.26,15,2.41,61,9.81,161,25.88,23,3.7,37,5.95,33,5.31,03039
3,40,278,26,9.35,56,20.14,8,2.88,24,8.63,57,20.5,15,5.4,13,4.68,22,7.91,03040
3,41,219,24,10.96,51,23.29,7,3.2,8,3.65,40,18.26,14,6.39,10,4.57,12,5.48,03041
3,42,159,16,10.06,31,19.5,8,5.03,13,8.18,43,27.04,9,5.66,15,9.43,9,5.66,03042
3,43,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03043
3,44,202,14,6.93,67,33.17,13,6.44,12,5.94,31,15.35,2,0.99,7,3.47,9,4.46,03044
3,45,114,16,14.04,17,14.91,7,6.14,8,7.02,18,15.79,6,5.26,6,5.26,8,7.02,03045
3,46,36,6,16.67,5,13.89,1,2.78,3,8.33,9,25.0,3,8.33,3,8.33,2,5.56,03046
3,47,241,36,14.94,46,19.09,8,3.32,21,8.71,59,24.48,7,2.9,16,6.64,19,7.88,03047
3,48,263,26,9.89,60,22.81,11,4.18,16,6.08,66,25.1,12,4.56,18,6.84,6,2.28,03048
3,49,293,27,9.22,62,21.16,10,3.41,27,9.22,64,21.84,20,6.83,21,7.17,15,5.12,03049
3,50,305,28,9.18,93,30.49,6,1.97,17,5.57,61,20.0,4,1.31,11,3.61,9,2.95,03050
3,51,146,17,11.64,43,29.45,9,6.16,4,2.74,19,13.01,2,1.37,15,10.27,28,19.18,03051
3,52,394,40,10.15,85,21.57,18,4.57,32,8.12,97,24.62,18,4.57,18,4.57,26,6.6,03052
4,1,468,51,10.9,50,10.68,10,2.14,86,18.38,54,11.54,14,2.99,20,4.27,91,19.44,04001
4,2,86,12,13.95,15,17.44,7,8.14,9,10.47,18,20.93,7,8.14,5,5.81,5,5.81,04002
4,3,647,65,10.05,59,9.12,15,2.32,123,19.01,131,20.25,32,4.95,23,3.55,95,14.68,04003
4,4,549,52,9.47,51,9.29,21,3.83,93,16.94,105,19.13,28,5.1,19,3.46,84,15.3,04004
4,5,476,47,9.87,55,11.55,12,2.52,71,14.92,101,21.22,25,5.25,18,3.78,72,15.13,04005
4,6,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,04006
4,7,333,24,7.21,35,10.51,5,1.5,71,21.32,53,15.92,14,4.2,9,2.7,53,15.92,04007
4,8,677,62,9.16,83,12.26,20,2.95,115,16.99,131,19.35,23,3.4,23,3.4,98,14.48,04008
4,9,1057,87,8.23,109,10.31,24,2.27,186,17.6,200,18.92,56,5.3,40,3.78,166,15.7,04009
4,10,721,66,9.15,76,10.54,14,1.94,125,17.34,145,20.11,43,5.96,37,5.13,100,13.87,04010
4,11,427,53,12.41,46,10.77,9,2.11,65,15.22,77,18.03,32,7.49,25,5.85,53,12.41,04011
4,12,391,30,7.67,27,6.91,4,1.02,80,20.46,62,15.86,19,4.86,13,3.32,69,17.65,04012
4,13,633,56,8.85,80,12.64,16,2.53,108,17.06,104,16.43,25,3.95,25,3.95,110,17.38,04013
4,14,267,24,8.99,25,9.36,5,1.87,56,20.97,46,17.23,7,2.62,9,3.37,48,17.98,04014
4,15,223,10,4.48,24,10.76,8,3.59,44,19.73,46,20.63,11,4.93,8,3.59,31,13.9,04015
4,16,484,54,11.16,58,11.98,14,2.89,69,14.26,119,24.59,26,5.37,21,4.34,61,12.6,04016
4,17,560,71,12.68,87,15.54,11,1.96,78,13.93,98,17.5,20,3.57,29,5.18,86,15.36,04017
4,18,380,39,10.26,58,15.26,8,2.11,47,12.37,93,24.47,31,8.16,22,5.79,40,10.53,04018
4,19,85,10,11.76,7,8.24,6,7.06,15,17.65,11,12.94,4,4.71,4,4.71,14,16.47,04019
4,20,137,15,10.95,16,11.68,6,4.38,14,10.22,37,27.01,12,8.76,9,6.57,10,7.3,04020
4,21,566,54,9.54,59,10.42,14,2.47,110,19.43,90,15.9,24,4.24,17,3.0,96,16.96,04021
4,22,660,65,9.85,74,11.21,19,2.88,118,17.88,108,16.36,30,4.55,20,3.03,119,18.03,04022
4,23,389,36,9.25,48,12.34,4,1.03,67,17.22,48,12.34,13,3.34,12,3.08,82,21.08,04023
4,24,524,46,8.78,51,9.73,19,3.63,101,19.27,78,14.89,18,3.44,12,2.29,103,19.66,04024
4,25,577,42,7.28,70,12.13,11,1.91,107,18.54,106,18.37,37,6.41,20,3.47,77,13.34,04025
4,26,426,34,7.98,46,10.8,15,3.52,67,15.73,89,20.89,27,6.34,20,4.69,63,14.79,04026
4,27,501,53,10.58,57,11.38,18,3.59,72,14.37,104,20.76,24,4.79,39,7.78,59,11.78,04027
4,28,441,66,14.97,60,13.61,7,1.59,60,13.61,55,12.47,16,3.63,11,2.49,84,19.05,04028
4,29,421,57,13.54,69,16.39,10,2.38,50,11.88,68,16.15,12,2.85,23,5.46,77,18.29,04029
4,30,110,10,9.09,14,12.73,5,4.55,15,13.64,23,20.91,3,2.73,13,11.82,12,10.91,04030
4,31,123,15,12.2,17,13.82,6,4.88,13,10.57,28,22.76,11,8.94,14,11.38,8,6.5,04031
4,32,508,65,12.8,59,11.61,12,2.36,74,14.57,67,13.19,20,3.94,19,3.74,104,20.47,04032
4,33,155,18,11.61,21,13.55,6,3.87,26,16.77,35,22.58,14,9.03,2,1.29,12,7.74,04033
4,34,349,53,15.19,45,12.89,7,2.01,46,13.18,39,11.17,10,2.87,12,3.44,76,21.78,04034
4,35,246,29,11.79,32,13.01,12,4.88,28,11.38,62,25.2,17,6.91,22,8.94,14,5.69,04035
4,36,502,47,9.36,64,12.75,15,2.99,78,15.54,109,21.71,29,5.78,23,4.58,64,12.75,04036
4,37,241,39,16.18,30,12.45,17,7.05,38,15.77,40,16.6,12,4.98,21,8.71,20,8.3,04037
4,38,665,73,10.98,89,13.38,16,2.41,112,16.84,115,17.29,31,4.66,22,3.31,108,16.24,04038
4,39,234,28,11.97,26,11.11,11,4.7,32,13.68,55,23.5,21,8.97,15,6.41,14,5.98,04039
4,40,407,51,12.53,51,12.53,13,3.19,58,14.25,109,26.78,19,4.67,22,5.41,36,8.85,04040
4,41,342,51,14.91,50,14.62,6,1.75,39,11.4,46,13.45,16,4.68,19,5.56,65,19.01,04041
4,42,331,22,6.65,30,9.06,5,1.51,63,19.03,61,18.43,16,4.83,15,4.53,54,16.31,04042
4,43,299,32,10.7,31,10.37,3,1.0,47,15.72,36,12.04,6,2.01,9,3.01,71,23.75,04043
4,44,296,32,10.81,33,11.15,4,1.35,46,15.54,46,15.54,13,4.39,10,3.38,61,20.61,04044
4,45,977,83,8.5,76,7.78,9,0.92,186,19.04,158,16.17,27,2.76,37,3.79,204,20.88,04045
4,46,474,33,6.96,43,9.07,10,2.11,95,20.04,76,16.03,15,3.16,22,4.64,88,18.57,04046
4,47,643,70,10.89,71,11.04,14,2.18,108,16.8,93,14.46,32,4.98,26,4.04,117,18.2,04047
4,48,703,83,11.81,81,11.52,15,2.13,104,14.79,109,15.5,36,5.12,36,5.12,128,18.21,04048
4,49,113,11,9.73,13,11.5,5,4.42,15,13.27,20,17.7,5,4.42,6,5.31,17,15.04,04049
4,50,384,35,9.11,37,9.64,9,2.34,74,19.27,74,19.27,12,3.13,18,4.69,57,14.84,04050
4,51,607,80,13.18,79,13.01,17,2.8,73,12.03,122,20.1,32,5.27,30,4.94,89,14.66,04051
4,52,91,15,16.48,12,13.19,4,4.4,12,13.19,21,23.08,7,7.69,10,10.99,2,2.2,04052
4,53,62,10,16.13,5,8.06,5,8.06,5,8.06,15,24.19,5,8.06,4,6.45,4,6.45,04053
4,54,216,30,13.89,26,12.04,3,1.39,29,13.43,46,21.3,13,6.02,10,4.63,30,13.89,04054
4,55,266,34,12.78,33,12.41,3,1.13,41,15.41,18,6.77,7,2.63,8,3.01,69,25.94,04055
5,1,504,52,10.32,68,13.49,9,1.79,79,15.67,113,22.42,34,6.75,24,4.76,58,11.51,05001
5,2,422,53,12.56,50,11.85,16,3.79,61,14.45,90,21.33,19,4.5,20,4.74,50,11.85,05002
5,3,468,57,12.18,59,12.61,18,3.85,67,14.32,137,29.27,27,5.77,30,6.41,28,5.98,05003
5,4,607,64,10.54,86,14.17,14,2.31,74,12.19,177,29.16,60,9.88,24,3.95,37,6.1,05004
5,5,385,45,11.69,63,16.36,24,6.23,50,12.99,83,21.56,25,6.49,21,5.45,37,9.61,05005
5,6,491,58,11.81,76,15.48,13,2.65,75,15.27,127,25.87,31,6.31,32,6.52,36,7.33,05006
5,7,460,40,8.7,56,12.17,11,2.39,87,18.91,93,20.22,26,5.65,30,6.52,54,11.74,05007
5,8,488,111,22.75,73,14.96,11,2.25,20,4.1,49,10.04,10,2.05,21,4.3,106,21.72,05008
5,9,503,44,8.75,56,11.13,15,2.98,81,16.1,104,20.68,36,7.16,19,3.78,67,13.32,05009
5,10,305,37,12.13,45,14.75,7,2.3,38,12.46,78,25.57,16,5.25,21,6.89,28,9.18,05010
5,11,142,42,29.58,17,11.97,7,4.93,3,2.11,8,5.63,2,1.41,8,5.63,34,23.94,05011
5,12,413,59,14.29,78,18.89,16,3.87,44,10.65,110,26.63,27,6.54,20,4.84,24,5.81,05012
5,13,396,44,11.11,50,12.63,21,5.3,42,10.61,108,27.27,35,8.84,19,4.8,26,6.57,05013
5,14,346,61,17.63,52,15.03,11,3.18,26,7.51,60,17.34,17,4.91,25,7.23,57,16.47,05014
5,15,334,49,14.67,53,15.87,11,3.29,37,11.08,95,28.44,18,5.39,15,4.49,26,7.78,05015
5,16,396,54,13.64,64,16.16,13,3.28,39,9.85,100,25.25,32,8.08,27,6.82,33,8.33,05016
5,17,283,32,11.31,47,16.61,9,3.18,37,13.07,79,27.92,12,4.24,13,4.59,25,8.83,05017
5,18,304,34,11.18,46,15.13,10,3.29,41,13.49,82,26.97,19,6.25,19,6.25,21,6.91,05018
5,19,356,42,11.8,46,12.92,18,5.06,48,13.48,104,29.21,24,6.74,24,6.74,26,7.3,05019
5,20,285,47,16.49,43,15.09,9,3.16,31,10.88,80,28.07,21,7.37,21,7.37,14,4.91,05020
5,21,651,81,12.44,80,12.29,21,3.23,98,15.05,169,25.96,46,7.07,33,5.07,54,8.29,05021
5,22,486,62,12.76,59,12.14,21,4.32,53,10.91,125,25.72,30,6.17,33,6.79,50,10.29,05022
5,23,352,58,16.48,60,17.05,18,5.11,37,10.51,91,25.85,24,6.82,19,5.4,18,5.11,05023
5,24,413,68,16.46,74,17.92,15,3.63,37,8.96,83,20.1,16,3.87,20,4.84,48,11.62,05024
5,25,339,50,14.75,49,14.45,13,3.83,42,12.39,75,22.12,21,6.19,19,5.6,31,9.14,05025
5,26,267,40,14.98,36,13.48,6,2.25,34,12.73,74,27.72,18,6.74,17,6.37,17,6.37,05026
5,27,109,21,19.27,19,17.43,3,2.75,8,7.34,17,15.6,3,2.75,5,4.59,18,16.51,05027
5,28,550,64,11.64,84,15.27,16,2.91,79,14.36,134,24.36,33,6.0,35,6.36,48,8.73,05028
5,29,372,36,9.68,56,15.05,9,2.42,56,15.05,83,22.31,25,6.72,16,4.3,45,12.1,05029
5,30,324,95,29.32,39,12.04,4,1.23,10,3.09,14,4.32,9,2.78,19,5.86,75,23.15,05030
5,31,405,48,11.85,65,16.05,9,2.22,46,11.36,111,27.41,40,9.88,23,5.68,29,7.16,05031
5,32,701,85,12.13,102,14.55,16,2.28,106,15.12,162,23.11,38,5.42,34,4.85,65,9.27,05032
5,33,490,60,12.24,86,17.55,10,2.04,64,13.06,128,26.12,34,6.94,26,5.31,45,9.18,05033
5,34,233,30,12.88,36,15.45,10,4.29,33,14.16,69,29.61,15,6.44,10,4.29,14,6.01,05034
5,35,318,58,18.24,53,16.67,8,2.52,16,5.03,58,18.24,22,6.92,23,7.23,42,13.21,05035
5,36,451,71,15.74,61,13.53,16,3.55,58,12.86,125,27.72,35,7.76,27,5.99,22,4.88,05036
