ward,precinct,total,"THADDEUS """"TED"""" LECHOWICZ","THADDEUS """"TED"""" LECHOWICZ Percent",FORREST CLAYPOOL,FORREST CLAYPOOL Percent,precinct_id
38,5,259,111,42.86,148,57.14,38005
38,6,190,121,63.68,69,36.32,38006
38,9,193,76,39.38,117,60.62,38009
38,11,141,62,43.97,79,56.03,38011
38,12,130,79,60.77,51,39.23,38012
38,13,149,94,63.09,55,36.91,38013
38,15,147,93,63.27,54,36.73,38015
38,16,212,133,62.74,79,37.26,38016
38,17,163,100,61.35,63,38.65,38017
38,18,163,81,49.69,82,50.31,38018
38,19,141,83,58.87,58,41.13,38019
38,20,174,56,32.18,118,67.82,38020
38,21,160,78,48.75,82,51.25,38021
38,22,200,104,52.0,96,48.0,38022
38,23,140,76,54.29,64,45.71,38023
38,24,98,62,63.27,36,36.73,38024
38,25,153,87,56.86,66,43.14,38025
38,26,144,91,63.19,53,36.81,38026
38,27,116,75,64.66,41,35.34,38027
38,28,129,76,58.91,53,41.09,38028
38,29,138,74,53.62,64,46.38,38029
38,30,163,99,60.74,64,39.26,38030
38,31,182,108,59.34,74,40.66,38031
38,32,194,91,46.91,103,53.09,38032
38,33,151,73,48.34,78,51.66,38033
38,34,128,74,57.81,54,42.19,38034
38,35,196,96,48.98,100,51.02,38035
38,36,188,110,58.51,78,41.49,38036
38,37,208,136,65.38,72,34.62,38037
38,39,161,85,52.8,76,47.2,38039
38,40,126,52,41.27,74,58.73,38040
38,41,239,98,41.0,141,59.0,38041
38,42,196,98,50.0,98,50.0,38042
38,43,171,85,49.71,86,50.29,38043
38,44,163,70,42.94,93,57.06,38044
38,45,188,95,50.53,93,49.47,38045
38,46,171,74,43.27,97,56.73,38046
38,47,164,97,59.15,67,40.85,38047
38,48,163,82,50.31,81,49.69,38048
38,49,155,104,67.1,51,32.9,38049
38,50,187,97,51.87,90,48.13,38050
38,51,93,51,54.84,42,45.16,38051
38,52,174,92,52.87,82,47.13,38052
38,53,183,104,56.83,79,43.17,38053
38,54,190,107,56.32,83,43.68,38054
38,56,159,86,54.09,73,45.91,38056
39,5,169,72,42.6,97,57.4,39005
39,6,178,70,39.33,108,60.67,39006
39,7,186,69,37.1,117,62.9,39007
39,8,156,73,46.79,83,53.21,39008
39,9,247,139,56.28,108,43.72,39009
39,10,134,69,51.49,65,48.51,39010
39,11,198,112,56.57,86,43.43,39011
39,12,93,54,58.06,39,41.94,39012
39,13,65,30,46.15,35,53.85,39013
39,14,156,67,42.95,89,57.05,39014
39,19,110,61,55.45,49,44.55,39019
39,21,104,65,62.5,39,37.5,39021
39,22,61,33,54.1,28,45.9,39022
39,30,142,75,52.82,67,47.18,39030
39,31,5,3,60.0,2,40.0,39031
39,33,200,96,48.0,104,52.0,39033
39,35,152,54,35.53,98,64.47,39035
39,43,142,62,43.66,80,56.34,39043
39,44,174,83,47.7,91,52.3,39044
39,45,158,58,36.71,100,63.29,39045
39,46,149,84,56.38,65,43.62,39046
39,48,115,57,49.57,58,50.43,39048
39,50,178,64,35.96,114,64.04,39050
40,1,107,51,47.66,56,52.34,40001
40,5,139,48,34.53,91,65.47,40005
40,6,117,56,47.86,61,52.14,40006
40,14,108,50,46.3,58,53.7,40014
40,17,80,37,46.25,43,53.75,40017
40,19,101,54,53.47,47,46.53,40019
40,20,112,48,42.86,64,57.14,40020
40,21,140,58,41.43,82,58.57,40021
40,23,144,50,34.72,94,65.28,40023
40,24,95,43,45.26,52,54.74,40024
40,30,48,29,60.42,19,39.58,40030
40,32,96,54,56.25,42,43.75,40032
40,34,121,69,57.02,52,42.98,40034
40,36,164,103,62.8,61,37.2,40036
40,38,79,47,59.49,32,40.51,40038
40,40,93,38,40.86,55,59.14,40040
40,41,150,62,41.33,88,58.67,40041
40,42,176,90,51.14,86,48.86,40042
40,43,133,59,44.36,74,55.64,40043
40,44,108,51,47.22,57,52.78,40044
45,7,191,118,61.78,73,38.22,45007
45,8,111,67,60.36,44,39.64,45008
45,10,236,114,48.31,122,51.69,45010
45,12,205,104,50.73,101,49.27,45012
45,14,229,123,53.71,106,46.29,45014
45,16,198,118,59.6,80,40.4,45016
45,20,198,101,51.01,97,48.99,45020
45,25,168,110,65.48,58,34.52,45025
45,26,48,26,54.17,22,45.83,45026
45,28,217,139,64.06,78,35.94,45028
45,29,206,108,52.43,98,47.57,45029
45,31,184,107,58.15,77,41.85,45031
45,38,143,88,61.54,55,38.46,45038
45,39,49,23,46.94,26,53.06,45039
45,46,188,97,51.6,91,48.4,45046
45,47,204,120,58.82,84,41.18,45047
45,48,161,85,52.8,76,47.2,45048
45,50,163,108,66.26,55,33.74,45050
45,53,205,116,56.59,89,43.41,45053
45,55,162,94,58.02,68,41.98,45055
45,56,160,76,47.5,84,52.5,45056
46,21,43,17,39.53,26,60.47,46021
47,1,109,51,46.79,58,53.21,47001
47,2,274,132,48.18,142,51.82,47002
47,3,187,93,49.73,94,50.27,47003
47,4,263,102,38.78,161,61.22,47004
47,5,179,68,37.99,111,62.01,47005
47,6,261,89,34.1,172,65.9,47006
47,7,180,84,46.67,96,53.33,47007
47,8,267,87,32.58,180,67.42,47008
47,9,229,105,45.85,124,54.15,47009
47,10,183,70,38.25,113,61.75,47010
47,11,320,85,26.56,235,73.44,47011
47,12,219,82,37.44,137,62.56,47012
47,13,341,125,36.66,216,63.34,47013
47,14,265,147,55.47,118,44.53,47014
47,15,150,45,30.0,105,70.0,47015
47,16,149,39,26.17,110,73.83,47016
47,17,221,90,40.72,131,59.28,47017
47,18,211,39,18.48,172,81.52,47018
47,19,260,38,14.62,222,85.38,47019
47,20,210,60,28.57,150,71.43,47020
47,21,138,29,21.01,109,78.99,47021
47,22,153,46,30.07,107,69.93,47022
47,23,76,17,22.37,59,77.63,47023
47,24,140,34,24.29,106,75.71,47024
47,25,181,45,24.86,136,75.14,47025
47,26,269,77,28.62,192,71.38,47026
47,27,161,72,44.72,89,55.28,47027
47,28,253,103,40.71,150,59.29,47028
47,29,191,77,40.31,114,59.69,47029
47,30,114,33,28.95,81,71.05,47030
47,31,213,88,41.31,125,58.69,47031
47,32,249,69,27.71,180,72.29,47032
47,33,178,71,39.89,107,60.11,47033
47,34,198,58,29.29,140,70.71,47034
47,35,254,98,38.58,156,61.42,47035
47,36,200,44,22.0,156,78.0,47036
47,37,205,70,34.15,135,65.85,47037
47,38,212,60,28.3,152,71.7,47038
47,39,202,51,25.25,151,74.75,47039
47,40,168,70,41.67,98,58.33,47040
47,41,122,30,24.59,92,75.41,47041
47,42,220,64,29.09,156,70.91,47042
47,43,238,85,35.71,153,64.29,47043
47,44,157,69,43.95,88,56.05,47044
47,45,206,75,36.41,131,63.59,47045
48,10,94,29,30.85,65,69.15,48010
