ward,precinct,total,JERRY (ICEMAN) BUTLER,JERRY (ICEMAN) BUTLER Percent,precinct_id
42,35,78,78,100.0,42035
42,37,88,88,100.0,42037
42,38,93,93,100.0,42038
42,40,61,61,100.0,42040
42,41,76,76,100.0,42041
42,43,103,103,100.0,42043
42,47,66,66,100.0,42047
42,50,101,101,100.0,42050
42,51,86,86,100.0,42051
42,52,70,70,100.0,42052
42,53,71,71,100.0,42053
42,54,70,70,100.0,42054
42,62,64,64,100.0,42062
42,63,76,76,100.0,42063
42,64,45,45,100.0,42064
42,65,70,70,100.0,42065
42,66,63,63,100.0,42066
42,67,192,192,100.0,42067
