ward,precinct,total,PAUL G. VALLAS,PAUL G. VALLAS Percent,ROD R. BLAGOJEVICH,ROD R. BLAGOJEVICH Percent,ROLAND W. BURRIS,ROLAND W. BURRIS Percent,precinct_id
4,3,301,24,7.97,19,6.31,258,85.71,04003
4,4,296,34,11.49,24,8.11,238,80.41,04004
4,5,255,27,10.59,7,2.75,221,86.67,04005
4,6,0,0,0.0,0,0.0,0,0.0,04006
4,7,183,21,11.48,4,2.19,158,86.34,04007
4,8,320,35,10.94,8,2.5,277,86.56,04008
4,9,461,64,13.88,35,7.59,362,78.52,04009
4,10,350,46,13.14,12,3.43,292,83.43,04010
4,11,224,27,12.05,12,5.36,185,82.59,04011
4,12,172,12,6.98,3,1.74,157,91.28,04012
4,13,298,81,27.18,21,7.05,196,65.77,04013
4,14,126,18,14.29,8,6.35,100,79.37,04014
4,15,97,7,7.22,2,2.06,88,90.72,04015
4,16,276,19,6.88,12,4.35,245,88.77,04016
4,17,262,72,27.48,31,11.83,159,60.69,04017
4,18,182,21,11.54,14,7.69,147,80.77,04018
4,19,40,2,5.0,5,12.5,33,82.5,04019
4,20,91,4,4.4,10,10.99,77,84.62,04020
4,21,248,48,19.35,24,9.68,176,70.97,04021
4,22,291,78,26.8,31,10.65,182,62.54,04022
4,23,184,40,21.74,22,11.96,122,66.3,04023
4,24,252,57,22.62,18,7.14,177,70.24,04024
4,25,261,49,18.77,12,4.6,200,76.63,04025
4,26,206,23,11.17,6,2.91,177,85.92,04026
4,27,221,27,12.22,17,7.69,177,80.09,04027
4,28,202,69,34.16,22,10.89,111,54.95,04028
4,29,201,66,32.84,18,8.96,117,58.21,04029
4,30,61,8,13.11,3,4.92,50,81.97,04030
4,31,65,8,12.31,4,6.15,53,81.54,04031
4,32,238,87,36.55,38,15.97,113,47.48,04032
4,33,81,16,19.75,4,4.94,61,75.31,04033
4,34,167,55,32.93,37,22.16,75,44.91,04034
4,35,126,18,14.29,16,12.7,92,73.02,04035
4,36,242,28,11.57,20,8.26,194,80.17,04036
4,37,124,14,11.29,6,4.84,104,83.87,04037
4,38,312,96,30.77,24,7.69,192,61.54,04038
4,39,112,18,16.07,7,6.25,87,77.68,04039
4,40,215,15,6.98,10,4.65,190,88.37,04040
4,41,160,56,35.0,29,18.13,75,46.88,04041
4,42,162,17,10.49,10,6.17,135,83.33,04042
4,43,135,32,23.7,27,20.0,76,56.3,04043
4,44,131,26,19.85,14,10.69,91,69.47,04044
4,45,424,93,21.93,23,5.42,308,72.64,04045
4,46,223,35,15.7,10,4.48,178,79.82,04046
4,47,291,62,21.31,26,8.93,203,69.76,04047
4,48,318,104,32.7,41,12.89,173,54.4,04048
4,49,72,4,5.56,2,2.78,66,91.67,04049
4,50,208,20,9.62,10,4.81,178,85.58,04050
4,51,277,71,25.63,29,10.47,177,63.9,04051
4,52,58,8,13.79,1,1.72,49,84.48,04052
4,53,34,3,8.82,2,5.88,29,85.29,04053
4,54,114,22,19.3,23,20.18,69,60.53,04054
4,55,130,48,36.92,31,23.85,51,39.23,04055
5,1,237,31,13.08,8,3.38,198,83.54,05001
5,2,235,22,9.36,15,6.38,198,84.26,05002
5,3,253,29,11.46,7,2.77,217,85.77,05003
5,4,287,33,11.5,8,2.79,246,85.71,05004
5,5,175,20,11.43,7,4.0,148,84.57,05005
5,6,234,27,11.54,6,2.56,201,85.9,05006
5,7,209,20,9.57,14,6.7,175,83.73,05007
5,8,261,142,54.41,60,22.99,59,22.61,05008
5,9,225,27,12.0,10,4.44,188,83.56,05009
5,10,157,11,7.01,6,3.82,140,89.17,05010
5,11,85,40,47.06,20,23.53,25,29.41,05011
5,12,218,28,12.84,12,5.5,178,81.65,05012
5,13,212,14,6.6,3,1.42,195,91.98,05013
5,14,184,67,36.41,28,15.22,89,48.37,05014
5,15,170,12,7.06,9,5.29,149,87.65,05015
5,16,181,25,13.81,9,4.97,147,81.22,05016
5,17,178,13,7.3,7,3.93,158,88.76,05017
5,18,155,12,7.74,8,5.16,135,87.1,05018
5,19,189,14,7.41,9,4.76,166,87.83,05019
5,20,139,21,15.11,3,2.16,115,82.73,05020
5,21,321,46,14.33,10,3.12,265,82.55,05021
5,22,236,29,12.29,10,4.24,197,83.47,05022
5,23,167,18,10.78,7,4.19,142,85.03,05023
5,24,208,90,43.27,23,11.06,95,45.67,05024
5,25,178,22,12.36,6,3.37,150,84.27,05025
5,26,148,12,8.11,6,4.05,130,87.84,05026
5,27,62,20,32.26,10,16.13,32,51.61,05027
5,28,265,34,12.83,13,4.91,218,82.26,05028
5,29,161,19,11.8,5,3.11,137,85.09,05029
5,30,187,116,62.03,37,19.79,34,18.18,05030
5,31,201,19,9.45,5,2.49,177,88.06,05031
5,32,354,46,12.99,18,5.08,290,81.92,05032
5,33,242,31,12.81,11,4.55,200,82.64,05033
5,34,130,11,8.46,5,3.85,114,87.69,05034
5,35,169,51,30.18,34,20.12,84,49.7,05035
5,36,241,28,11.62,5,2.07,208,86.31,05036
5,37,138,45,32.61,30,21.74,63,45.65,05037
5,38,253,104,41.11,50,19.76,99,39.13,05038
5,39,191,117,61.26,43,22.51,31,16.23,05039
5,40,179,21,11.73,7,3.91,151,84.36,05040
5,41,152,96,63.16,37,24.34,19,12.5,05041
5,42,191,15,7.85,6,3.14,170,89.01,05042
5,43,253,42,16.6,9,3.56,202,79.84,05043
5,44,217,25,11.52,8,3.69,184,84.79,05044
5,45,150,20,13.33,4,2.67,126,84.0,05045
5,46,208,80,38.46,38,18.27,90,43.27,05046
5,47,181,19,10.5,12,6.63,150,82.87,05047
5,48,166,46,27.71,25,15.06,95,57.23,05048
5,49,184,95,51.63,35,19.02,54,29.35,05049
5,50,150,11,7.33,8,5.33,131,87.33,05050
5,51,157,15,9.55,11,7.01,131,83.44,05051
5,52,137,14,10.22,2,1.46,121,88.32,05052
5,53,149,10,6.71,11,7.38,128,85.91,05053
5,54,139,24,17.27,5,3.6,110,79.14,05054
5,55,213,21,9.86,8,3.76,184,86.38,05055
5,56,150,19,12.67,8,5.33,123,82.0,05056
5,57,217,62,28.57,33,15.21,122,56.22,05057
5,58,143,9,6.29,9,6.29,125,87.41,05058
5,59,122,13,10.66,8,6.56,101,82.79,05059
6,1,335,31,9.25,6,1.79,298,88.96,06001
6,2,291,32,11.0,6,2.06,253,86.94,06002
6,3,283,33,11.66,12,4.24,238,84.1,06003
6,4,111,12,10.81,7,6.31,92,82.88,06004
6,5,138,14,10.14,6,4.35,118,85.51,06005
6,6,277,32,11.55,13,4.69,232,83.75,06006
6,7,209,13,6.22,10,4.78,186,89.0,06007
6,8,264,32,12.12,12,4.55,220,83.33,06008
6,9,294,23,7.82,9,3.06,262,89.12,06009
6,10,338,23,6.8,20,5.92,295,87.28,06010
6,11,243,31,12.76,5,2.06,207,85.19,06011
6,12,189,20,10.58,10,5.29,159,84.13,06012
6,13,222,16,7.21,17,7.66,189,85.14,06013
6,14,234,16,6.84,11,4.7,207,88.46,06014
6,15,165,11,6.67,5,3.03,149,90.3,06015
6,16,296,32,10.81,19,6.42,245,82.77,06016
6,17,303,29,9.57,2,0.66,272,89.77,06017
6,18,76,13,17.11,4,5.26,59,77.63,06018
6,19,225,19,8.44,17,7.56,189,84.0,06019
6,20,66,3,4.55,1,1.52,62,93.94,06020
6,21,266,25,9.4,18,6.77,223,83.83,06021
6,22,238,29,12.18,13,5.46,196,82.35,06022
6,23,200,19,9.5,10,5.0,171,85.5,06023
6,24,208,25,12.02,3,1.44,180,86.54,06024
6,25,231,22,9.52,11,4.76,198,85.71,06025
6,26,288,24,8.33,16,5.56,248,86.11,06026
6,27,340,25,7.35,12,3.53,303,89.12,06027
6,28,400,50,12.5,18,4.5,332,83.0,06028
6,29,326,39,11.96,10,3.07,277,84.97,06029
6,30,229,14,6.11,6,2.62,209,91.27,06030
6,31,309,40,12.94,6,1.94,263,85.11,06031
6,32,278,20,7.19,12,4.32,246,88.49,06032
6,33,286,42,14.69,8,2.8,236,82.52,06033
6,34,235,32,13.62,12,5.11,191,81.28,06034
6,35,331,36,10.88,12,3.63,283,85.5,06035
6,36,132,10,7.58,9,6.82,113,85.61,06036
6,37,323,26,8.05,12,3.72,285,88.24,06037
6,38,291,28,9.62,17,5.84,246,84.54,06038
6,39,153,12,7.84,11,7.19,130,84.97,06039
6,40,135,10,7.41,11,8.15,114,84.44,06040
6,41,290,31,10.69,10,3.45,249,85.86,06041
6,42,135,15,11.11,7,5.19,113,83.7,06042
6,43,288,28,9.72,12,4.17,248,86.11,06043
6,44,252,19,7.54,11,4.37,222,88.1,06044
6,45,138,14,10.14,7,5.07,117,84.78,06045
6,46,232,26,11.21,14,6.03,192,82.76,06046
6,47,268,27,10.07,8,2.99,233,86.94,06047
6,48,99,5,5.05,2,2.02,92,92.93,06048
6,49,256,18,7.03,15,5.86,223,87.11,06049
6,50,269,25,9.29,9,3.35,235,87.36,06050
6,51,200,20,10.0,13,6.5,167,83.5,06051
6,52,197,29,14.72,6,3.05,162,82.23,06052
6,53,214,31,14.49,11,5.14,172,80.37,06053
6,54,221,25,11.31,9,4.07,187,84.62,06054
6,55,177,17,9.6,4,2.26,156,88.14,06055
6,56,198,11,5.56,9,4.55,178,89.9,06056
6,57,138,12,8.7,5,3.62,121,87.68,06057
6,58,309,35,11.33,22,7.12,252,81.55,06058
6,59,229,25,10.92,5,2.18,199,86.9,06059
6,60,173,12,6.94,7,4.05,154,89.02,06060
6,61,169,19,11.24,1,0.59,149,88.17,06061
6,62,288,32,11.11,9,3.13,247,85.76,06062
6,63,221,19,8.6,7,3.17,195,88.24,06063
6,64,297,45,15.15,12,4.04,240,80.81,06064
7,1,331,44,13.29,9,2.72,278,83.99,07001
7,2,275,43,15.64,12,4.36,220,80.0,07002
7,3,198,18,9.09,12,6.06,168,84.85,07003
7,4,190,26,13.68,34,17.89,130,68.42,07004
7,5,157,33,21.02,19,12.1,105,66.88,07005
7,6,223,29,13.0,6,2.69,188,84.3,07006
7,7,191,24,12.57,3,1.57,164,85.86,07007
7,8,211,44,20.85,45,21.33,122,57.82,07008
7,9,241,19,7.88,8,3.32,214,88.8,07009
7,10,321,36,11.21,21,6.54,264,82.24,07010
7,11,233,28,12.02,14,6.01,191,81.97,07011
7,12,278,37,13.31,25,8.99,216,77.7,07012
7,13,110,15,13.64,4,3.64,91,82.73,07013
7,14,243,41,16.87,19,7.82,183,75.31,07014
7,15,276,36,13.04,13,4.71,227,82.25,07015
7,16,225,24,10.67,7,3.11,194,86.22,07016
7,17,204,20,9.8,12,5.88,172,84.31,07017
7,18,215,50,23.26,24,11.16,141,65.58,07018
7,19,295,48,16.27,15,5.08,232,78.64,07019
7,20,76,22,28.95,6,7.89,48,63.16,07020
7,21,229,31,13.54,19,8.3,179,78.17,07021
7,22,248,34,13.71,15,6.05,199,80.24,07022
7,23,238,22,9.24,8,3.36,208,87.39,07023
7,24,308,37,12.01,20,6.49,251,81.49,07024
7,25,224,26,11.61,15,6.7,183,81.7,07025
7,26,287,37,12.89,16,5.57,234,81.53,07026
7,27,253,25,9.88,13,5.14,215,84.98,07027
7,28,207,19,9.18,11,5.31,177,85.51,07028
7,29,137,20,14.6,5,3.65,112,81.75,07029
7,30,326,42,12.88,12,3.68,272,83.44,07030
7,31,306,50,16.34,20,6.54,236,77.12,07031
7,32,225,59,26.22,57,25.33,109,48.44,07032
7,33,280,44,15.71,29,10.36,207,73.93,07033
7,34,202,26,12.87,10,4.95,166,82.18,07034
7,35,323,39,12.07,27,8.36,257,79.57,07035
7,36,399,42,10.53,15,3.76,342,85.71,07036
7,37,294,25,8.5,13,4.42,256,87.07,07037
7,38,310,40,12.9,22,7.1,248,80.0,07038
7,39,230,18,7.83,7,3.04,205,89.13,07039
7,40,161,20,12.42,13,8.07,128,79.5,07040
7,41,290,37,12.76,16,5.52,237,81.72,07041
7,42,258,22,8.53,22,8.53,214,82.95,07042
7,43,257,24,9.34,17,6.61,216,84.05,07043
7,44,291,36,12.37,7,2.41,248,85.22,07044
7,45,332,53,15.96,23,6.93,256,77.11,07045
7,46,101,7,6.93,8,7.92,86,85.15,07046
8,1,290,40,13.79,13,4.48,237,81.72,08001
8,2,174,14,8.05,9,5.17,151,86.78,08002
8,3,369,54,14.63,16,4.34,299,81.03,08003
8,4,263,43,16.35,15,5.7,205,77.95,08004
8,5,309,30,9.71,11,3.56,268,86.73,08005
8,6,272,29,10.66,7,2.57,236,86.76,08006
8,7,194,11,5.67,12,6.19,171,88.14,08007
8,8,322,29,9.01,28,8.7,265,82.3,08008
8,9,328,35,10.67,13,3.96,280,85.37,08009
8,10,333,49,14.71,8,2.4,276,82.88,08010
8,11,202,28,13.86,12,5.94,162,80.2,08011
8,12,233,35,15.02,16,6.87,182,78.11,08012
8,13,207,20,9.66,11,5.31,176,85.02,08013
8,14,223,25,11.21,9,4.04,189,84.75,08014
8,15,218,28,12.84,23,10.55,167,76.61,08015
8,16,286,35,12.24,8,2.8,243,84.97,08016
8,17,217,37,17.05,8,3.69,172,79.26,08017
8,18,184,18,9.78,5,2.72,161,87.5,08018
8,19,290,32,11.03,11,3.79,247,85.17,08019
8,20,187,16,8.56,5,2.67,166,88.77,08020
8,21,199,24,12.06,7,3.52,168,84.42,08021
8,22,234,29,12.39,23,9.83,182,77.78,08022
8,23,227,16,7.05,17,7.49,194,85.46,08023
8,24,266,23,8.65,18,6.77,225,84.59,08024
8,25,257,27,10.51,23,8.95,207,80.54,08025
8,26,152,16,10.53,8,5.26,128,84.21,08026
8,27,279,30,10.75,25,8.96,224,80.29,08027
8,28,200,22,11.0,10,5.0,168,84.0,08028
8,29,256,25,9.77,12,4.69,219,85.55,08029
8,30,245,25,10.2,14,5.71,206,84.08,08030
8,31,209,22,10.53,9,4.31,178,85.17,08031
8,32,417,38,9.11,24,5.76,355,85.13,08032
8,33,250,22,8.8,16,6.4,212,84.8,08033
8,34,282,34,12.06,13,4.61,235,83.33,08034
8,35,301,43,14.29,13,4.32,245,81.4,08035
8,36,262,32,12.21,16,6.11,214,81.68,08036
8,37,225,17,7.56,12,5.33,196,87.11,08037
8,38,236,22,9.32,11,4.66,203,86.02,08038
8,39,293,26,8.87,15,5.12,252,86.01,08039
8,40,255,34,13.33,16,6.27,205,80.39,08040
8,41,235,24,10.21,12,5.11,199,84.68,08041
8,42,237,29,12.24,14,5.91,194,81.86,08042
8,43,218,21,9.63,8,3.67,189,86.7,08043
8,44,284,44,15.49,15,5.28,225,79.23,08044
8,45,213,25,11.74,11,5.16,177,83.1,08045
8,46,174,17,9.77,16,9.2,141,81.03,08046
8,47,255,26,10.2,15,5.88,214,83.92,08047
8,48,245,27,11.02,17,6.94,201,82.04,08048
8,49,272,30,11.03,15,5.51,227,83.46,08049
8,50,253,34,13.44,10,3.95,209,82.61,08050
8,51,240,27,11.25,15,6.25,198,82.5,08051
8,52,272,35,12.87,11,4.04,226,83.09,08052
8,53,283,29,10.25,15,5.3,239,84.45,08053
8,54,271,23,8.49,17,6.27,231,85.24,08054
8,55,216,18,8.33,14,6.48,184,85.19,08055
8,56,202,17,8.42,8,3.96,177,87.62,08056
8,57,276,26,9.42,21,7.61,229,82.97,08057
8,58,270,36,13.33,12,4.44,222,82.22,08058
8,59,232,24,10.34,14,6.03,194,83.62,08059
8,60,293,31,10.58,16,5.46,246,83.96,08060
8,61,204,19,9.31,6,2.94,179,87.75,08061
8,62,324,39,12.04,16,4.94,269,83.02,08062
8,63,281,30,10.68,11,3.91,240,85.41,08063
8,64,133,9,6.77,6,4.51,118,88.72,08064
8,65,271,27,9.96,6,2.21,238,87.82,08065
8,66,323,37,11.46,19,5.88,267,82.66,08066
9,1,295,26,8.81,16,5.42,253,85.76,09001
9,2,308,27,8.77,7,2.27,274,88.96,09002
9,3,183,27,14.75,12,6.56,144,78.69,09003
9,4,299,21,7.02,15,5.02,263,87.96,09004
9,5,268,29,10.82,19,7.09,220,82.09,09005
9,6,254,30,11.81,16,6.3,208,81.89,09006
9,7,243,16,6.58,15,6.17,212,87.24,09007
9,8,186,18,9.68,9,4.84,159,85.48,09008
9,9,311,38,12.22,17,5.47,256,82.32,09009
9,10,228,21,9.21,4,1.75,203,89.04,09010
9,11,152,25,16.45,8,5.26,119,78.29,09011
9,12,253,21,8.3,10,3.95,222,87.75,09012
9,13,338,42,12.43,24,7.1,272,80.47,09013
9,14,371,32,8.63,14,3.77,325,87.6,09014
9,15,109,12,11.01,3,2.75,94,86.24,09015
9,16,268,34,12.69,12,4.48,222,82.84,09016
9,17,204,10,4.9,11,5.39,183,89.71,09017
9,18,234,25,10.68,17,7.26,192,82.05,09018
9,19,299,33,11.04,14,4.68,252,84.28,09019
9,20,314,29,9.24,14,4.46,271,86.31,09020
9,21,185,14,7.57,11,5.95,160,86.49,09021
9,22,304,31,10.2,18,5.92,255,83.88,09022
9,23,182,28,15.38,10,5.49,144,79.12,09023
9,24,110,17,15.45,6,5.45,87,79.09,09024
9,25,125,21,16.8,10,8.0,94,75.2,09025
9,26,147,26,17.69,10,6.8,111,75.51,09026
9,27,154,14,9.09,9,5.84,131,85.06,09027
9,28,160,34,21.25,29,18.13,97,60.63,09028
9,29,230,28,12.17,13,5.65,189,82.17,09029
9,30,263,35,13.31,15,5.7,213,80.99,09030
9,31,204,21,10.29,12,5.88,171,83.82,09031
9,32,269,23,8.55,25,9.29,221,82.16,09032
9,33,174,16,9.2,9,5.17,149,85.63,09033
9,34,208,20,9.62,10,4.81,178,85.58,09034
9,35,251,29,11.55,14,5.58,208,82.87,09035
9,36,128,16,12.5,10,7.81,102,79.69,09036
9,37,241,133,55.19,50,20.75,58,24.07,09037
9,38,255,23,9.02,20,7.84,212,83.14,09038
9,39,243,24,9.88,6,2.47,213,87.65,09039
9,40,290,36,12.41,12,4.14,242,83.45,09040
9,41,324,35,10.8,19,5.86,270,83.33,09041
9,42,181,30,16.57,11,6.08,140,77.35,09042
9,43,181,12,6.63,6,3.31,163,90.06,09043
9,44,189,13,6.88,6,3.17,170,89.95,09044
9,45,295,41,13.9,18,6.1,236,80.0,09045
9,46,207,19,9.18,8,3.86,180,86.96,09046
9,47,141,10,7.09,13,9.22,118,83.69,09047
9,48,301,26,8.64,14,4.65,261,86.71,09048
9,49,96,17,17.71,0,0.0,79,82.29,09049
9,50,299,35,11.71,15,5.02,249,83.28,09050
9,51,177,19,10.73,13,7.34,145,81.92,09051
9,52,270,24,8.89,15,5.56,231,85.56,09052
10,1,166,39,23.49,52,31.33,75,45.18,10001
10,2,133,74,55.64,55,41.35,4,3.01,10002
10,3,133,56,42.11,75,56.39,2,1.5,10003
10,4,142,48,33.8,67,47.18,27,19.01,10004
10,5,146,73,50.0,58,39.73,15,10.27,10005
10,6,293,26,8.87,23,7.85,244,83.28,10006
10,7,41,11,26.83,16,39.02,14,34.15,10007
10,8,173,83,47.98,85,49.13,5,2.89,10008
10,9,182,89,48.9,84,46.15,9,4.95,10009
10,10,213,28,13.15,18,8.45,167,78.4,10010
10,11,164,65,39.63,92,56.1,7,4.27,10011
10,12,148,66,44.59,75,50.68,7,4.73,10012
10,13,239,108,45.19,115,48.12,16,6.69,10013
10,14,37,17,45.95,6,16.22,14,37.84,10014
10,15,84,47,55.95,30,35.71,7,8.33,10015
10,16,196,95,48.47,95,48.47,6,3.06,10016
10,17,141,75,53.19,60,42.55,6,4.26,10017
10,18,111,30,27.03,45,40.54,36,32.43,10018
10,19,272,122,44.85,138,50.74,12,4.41,10019
10,20,308,117,37.99,178,57.79,13,4.22,10020
10,21,138,54,39.13,81,58.7,3,2.17,10021
10,22,43,16,37.21,23,53.49,4,9.3,10022
10,23,143,42,29.37,97,67.83,4,2.8,10023
