ward,precinct,total,MICHAEL FRANCIS LEFKOW,MICHAEL FRANCIS LEFKOW Percent,RHODA DAVIS SWEENEY,RHODA DAVIS SWEENEY Percent,BRIAN M. COLLINS,BRIAN M. COLLINS Percent,THOMAS J. LIPSCOMB,THOMAS J. LIPSCOMB Percent,COLLEEN M. GLASS,COLLEEN M. GLASS Percent,ROBERT RONALD TEPPER,ROBERT RONALD TEPPER Percent,precinct_id
27,52,44,0,0.0,2,4.55,5,11.36,33,75.0,3,6.82,0,0.0,27052
32,7,77,3,3.9,14,18.18,17,22.08,12,15.58,14,18.18,6,7.79,32007
32,8,123,11,8.94,22,17.89,17,13.82,24,19.51,22,17.89,11,8.94,32008
32,10,80,8,10.0,6,7.5,19,23.75,17,21.25,10,12.5,8,10.0,32010
32,13,80,7,8.75,6,7.5,15,18.75,14,17.5,17,21.25,9,11.25,32013
32,18,94,8,8.51,12,12.77,13,13.83,17,18.09,19,20.21,4,4.26,32018
32,20,72,28,38.89,18,25.0,7,9.72,6,8.33,4,5.56,0,0.0,32020
32,23,101,6,5.94,13,12.87,18,17.82,14,13.86,14,13.86,19,18.81,32023
32,32,108,6,5.56,21,19.44,23,21.3,20,18.52,12,11.11,11,10.19,32032
32,37,114,7,6.14,22,19.3,20,17.54,24,21.05,24,21.05,6,5.26,32037
32,38,155,16,10.32,30,19.35,25,16.13,31,20.0,23,14.84,10,6.45,32038
32,39,120,9,7.5,15,12.5,25,20.83,19,15.83,18,15.0,12,10.0,32039
32,43,140,10,7.14,24,17.14,23,16.43,15,10.71,21,15.0,14,10.0,32043
32,46,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,32046
32,48,121,9,7.44,19,15.7,25,20.66,14,11.57,23,19.01,7,5.79,32048
40,3,90,8,8.89,14,15.56,20,22.22,16,17.78,14,15.56,3,3.33,40003
40,4,138,4,2.9,24,17.39,23,16.67,41,29.71,16,11.59,11,7.97,40004
40,7,94,3,3.19,21,22.34,12,12.77,28,29.79,12,12.77,6,6.38,40007
40,8,139,8,5.76,23,16.55,23,16.55,36,25.9,20,14.39,11,7.91,40008
40,11,93,5,5.38,13,13.98,19,20.43,29,31.18,7,7.53,6,6.45,40011
40,16,202,1,0.5,15,7.43,19,9.41,141,69.8,13,6.44,7,3.47,40016
40,22,70,11,15.71,7,10.0,12,17.14,17,24.29,11,15.71,5,7.14,40022
40,23,119,7,5.88,19,15.97,26,21.85,14,11.76,17,14.29,11,9.24,40023
40,27,182,9,4.95,35,19.23,25,13.74,58,31.87,20,10.99,10,5.49,40027
40,33,113,10,8.85,13,11.5,19,16.81,13,11.5,22,19.47,3,2.65,40033
40,40,79,6,7.59,15,18.99,14,17.72,9,11.39,15,18.99,11,13.92,40040
40,41,127,7,5.51,20,15.75,14,11.02,23,18.11,29,22.83,4,3.15,40041
40,42,166,9,5.42,26,15.66,23,13.86,41,24.7,15,9.04,16,9.64,40042
40,43,123,8,6.5,11,8.94,22,17.89,16,13.01,19,15.45,12,9.76,40043
40,45,190,14,7.37,23,12.11,28,14.74,52,27.37,26,13.68,14,7.37,40045
40,46,130,16,12.31,14,10.77,27,20.77,19,14.62,27,20.77,6,4.62,40046
42,1,138,12,8.7,30,21.74,24,17.39,11,7.97,17,12.32,31,22.46,42001
42,2,66,4,6.06,14,21.21,15,22.73,5,7.58,10,15.15,3,4.55,42002
42,3,75,3,4.0,16,21.33,13,17.33,10,13.33,8,10.67,12,16.0,42003
42,4,92,4,4.35,13,14.13,23,25.0,17,18.48,12,13.04,11,11.96,42004
42,5,97,4,4.12,14,14.43,22,22.68,6,6.19,24,24.74,11,11.34,42005
42,6,256,16,6.25,33,12.89,35,13.67,18,7.03,115,44.92,21,8.2,42006
42,7,106,8,7.55,20,18.87,16,15.09,22,20.75,11,10.38,14,13.21,42007
42,8,154,10,6.49,19,12.34,28,18.18,49,31.82,15,9.74,16,10.39,42008
42,9,112,5,4.46,18,16.07,22,19.64,18,16.07,17,15.18,16,14.29,42009
42,10,96,8,8.33,9,9.38,25,26.04,10,10.42,13,13.54,18,18.75,42010
42,11,103,9,8.74,44,42.72,12,11.65,9,8.74,14,13.59,5,4.85,42011
42,13,224,23,10.27,36,16.07,46,20.54,28,12.5,43,19.2,19,8.48,42013
42,14,89,8,8.99,15,16.85,19,21.35,10,11.24,10,11.24,16,17.98,42014
42,15,135,4,2.96,18,13.33,39,28.89,19,14.07,15,11.11,19,14.07,42015
42,16,172,29,16.86,23,13.37,21,12.21,24,13.95,19,11.05,25,14.53,42016
42,17,85,8,9.41,10,11.76,20,23.53,9,10.59,12,14.12,6,7.06,42017
42,18,212,16,7.55,55,25.94,52,24.53,26,12.26,36,16.98,8,3.77,42018
42,19,95,11,11.58,15,15.79,17,17.89,8,8.42,18,18.95,10,10.53,42019
42,20,60,5,8.33,12,20.0,14,23.33,9,15.0,10,16.67,4,6.67,42020
42,22,57,10,17.54,10,17.54,19,33.33,2,3.51,8,14.04,4,7.02,42022
42,23,126,11,8.73,22,17.46,32,25.4,15,11.9,11,8.73,17,13.49,42023
42,24,111,10,9.01,18,16.22,17,15.32,13,11.71,11,9.91,31,27.93,42024
42,25,102,6,5.88,16,15.69,20,19.61,13,12.75,16,15.69,13,12.75,42025
42,27,159,14,8.81,27,16.98,41,25.79,34,21.38,24,15.09,10,6.29,42027
42,28,132,6,4.55,13,9.85,26,19.7,34,25.76,13,9.85,18,13.64,42028
42,29,118,14,11.86,21,17.8,23,19.49,7,5.93,8,6.78,20,16.95,42029
42,30,126,13,10.32,15,11.9,33,26.19,6,4.76,22,17.46,13,10.32,42030
42,31,44,2,4.55,7,15.91,15,34.09,2,4.55,7,15.91,3,6.82,42031
42,33,179,3,1.68,30,16.76,37,20.67,26,14.53,18,10.06,36,20.11,42033
42,34,100,9,9.0,16,16.0,24,24.0,10,10.0,16,16.0,9,9.0,42034
42,35,84,9,10.71,18,21.43,13,15.48,11,13.1,5,5.95,13,15.48,42035
42,36,125,6,4.8,21,16.8,22,17.6,15,12.0,18,14.4,13,10.4,42036
42,37,106,11,10.38,19,17.92,23,21.7,6,5.66,13,12.26,19,17.92,42037
42,38,104,4,3.85,16,15.38,25,24.04,15,14.42,14,13.46,17,16.35,42038
42,40,68,10,14.71,9,13.24,17,25.0,4,5.88,14,20.59,5,7.35,42040
42,41,87,4,4.6,17,19.54,19,21.84,7,8.05,15,17.24,8,9.2,42041
42,42,97,9,9.28,21,21.65,17,17.53,9,9.28,9,9.28,13,13.4,42042
42,43,102,8,7.84,11,10.78,23,22.55,9,8.82,11,10.78,17,16.67,42043
42,44,117,12,10.26,21,17.95,26,22.22,9,7.69,10,8.55,18,15.38,42044
42,45,78,9,11.54,7,8.97,22,28.21,10,12.82,12,15.38,8,10.26,42045
42,46,74,7,9.46,15,20.27,11,14.86,16,21.62,13,17.57,4,5.41,42046
42,47,70,9,12.86,7,10.0,13,18.57,9,12.86,9,12.86,11,15.71,42047
42,50,104,4,3.85,15,14.42,30,28.85,7,6.73,27,25.96,8,7.69,42050
42,51,89,5,5.62,25,28.09,22,24.72,2,2.25,17,19.1,8,8.99,42051
42,52,78,5,6.41,11,14.1,17,21.79,10,12.82,14,17.95,6,7.69,42052
42,53,72,6,8.33,12,16.67,23,31.94,8,11.11,10,13.89,4,5.56,42053
42,54,65,7,10.77,12,18.46,11,16.92,8,12.31,17,26.15,4,6.15,42054
42,55,95,9,9.47,19,20.0,20,21.05,9,9.47,18,18.95,9,9.47,42055
42,56,66,2,3.03,12,18.18,15,22.73,9,13.64,10,15.15,3,4.55,42056
42,57,73,6,8.22,9,12.33,12,16.44,11,15.07,14,19.18,9,12.33,42057
42,58,174,15,8.62,33,18.97,41,23.56,19,10.92,19,10.92,19,10.92,42058
42,59,80,5,6.25,27,33.75,16,20.0,11,13.75,8,10.0,4,5.0,42059
42,60,48,6,12.5,6,12.5,8,16.67,7,14.58,7,14.58,8,16.67,42060
42,61,41,6,14.63,6,14.63,10,24.39,4,9.76,2,4.88,7,17.07,42061
42,62,67,4,5.97,11,16.42,14,20.9,7,10.45,18,26.87,3,4.48,42062
42,63,88,11,12.5,12,13.64,11,12.5,8,9.09,9,10.23,8,9.09,42063
42,64,37,2,5.41,10,27.03,8,21.62,4,10.81,3,8.11,6,16.22,42064
42,65,69,3,4.35,9,13.04,19,27.54,8,11.59,11,15.94,7,10.14,42065
42,66,61,10,16.39,8,13.11,6,9.84,11,18.03,14,22.95,4,6.56,42066
42,67,157,14,8.92,40,25.48,36,22.93,9,5.73,35,22.29,9,5.73,42067
42,68,81,5,6.17,12,14.81,19,23.46,9,11.11,12,14.81,6,7.41,42068
43,1,85,4,4.71,9,10.59,21,24.71,13,15.29,23,27.06,7,8.24,43001
43,2,62,6,9.68,6,9.68,7,11.29,18,29.03,7,11.29,7,11.29,43002
43,3,100,11,11.0,12,12.0,24,24.0,15,15.0,11,11.0,8,8.0,43003
43,4,91,3,3.3,7,7.69,23,25.27,15,16.48,13,14.29,9,9.89,43004
43,5,105,6,5.71,8,7.62,25,23.81,21,20.0,12,11.43,14,13.33,43005
43,6,101,9,8.91,10,9.9,19,18.81,25,24.75,13,12.87,10,9.9,43006
43,7,117,7,5.98,7,5.98,17,14.53,62,52.99,9,7.69,2,1.71,43007
43,8,108,7,6.48,17,15.74,19,17.59,23,21.3,15,13.89,12,11.11,43008
43,9,72,3,4.17,4,5.56,14,19.44,13,18.06,17,23.61,8,11.11,43009
43,10,80,1,1.25,13,16.25,18,22.5,10,12.5,14,17.5,7,8.75,43010
43,11,67,5,7.46,5,7.46,17,25.37,13,19.4,7,10.45,12,17.91,43011
43,12,123,11,8.94,19,15.45,25,20.33,28,22.76,14,11.38,12,9.76,43012
43,13,61,4,6.56,10,16.39,12,19.67,13,21.31,9,14.75,5,8.2,43013
43,14,99,7,7.07,16,16.16,17,17.17,21,21.21,7,7.07,11,11.11,43014
43,15,102,15,14.71,10,9.8,26,25.49,20,19.61,10,9.8,7,6.86,43015
43,16,95,7,7.37,10,10.53,20,21.05,23,24.21,7,7.37,14,14.74,43016
43,17,113,9,7.96,13,11.5,24,21.24,17,15.04,15,13.27,17,15.04,43017
43,18,142,17,11.97,26,18.31,30,21.13,24,16.9,11,7.75,16,11.27,43018
43,19,106,5,4.72,19,17.92,23,21.7,21,19.81,14,13.21,7,6.6,43019
43,20,138,6,4.35,22,15.94,27,19.57,30,21.74,17,12.32,21,15.22,43020
43,21,56,8,14.29,13,23.21,9,16.07,10,17.86,6,10.71,3,5.36,43021
43,22,68,9,13.24,9,13.24,12,17.65,18,26.47,7,10.29,5,7.35,43022
43,23,118,6,5.08,15,12.71,16,13.56,37,31.36,13,11.02,10,8.47,43023
43,24,82,8,9.76,5,6.1,9,10.98,11,13.41,12,14.63,18,21.95,43024
43,25,120,4,3.33,22,18.33,22,18.33,40,33.33,8,6.67,14,11.67,43025
43,26,99,4,4.04,10,10.1,15,15.15,26,26.26,11,11.11,5,5.05,43026
43,27,88,5,5.68,7,7.95,15,17.05,23,26.14,14,15.91,9,10.23,43027
43,28,67,8,11.94,6,8.96,17,25.37,11,16.42,10,14.93,6,8.96,43028
43,29,68,11,16.18,6,8.82,14,20.59,10,14.71,11,16.18,4,5.88,43029
43,30,67,6,8.96,6,8.96,19,28.36,12,17.91,7,10.45,6,8.96,43030
43,31,96,11,11.46,14,14.58,17,17.71,17,17.71,11,11.46,8,8.33,43031
43,32,78,14,17.95,15,19.23,10,12.82,11,14.1,11,14.1,9,11.54,43032
43,33,56,4,7.14,7,12.5,12,21.43,10,17.86,8,14.29,6,10.71,43033
43,34,53,3,5.66,7,13.21,8,15.09,12,22.64,12,22.64,5,9.43,43034
43,35,113,8,7.08,16,14.16,19,16.81,28,24.78,10,8.85,10,8.85,43035
43,36,98,4,4.08,17,17.35,25,25.51,21,21.43,10,10.2,9,9.18,43036
43,37,82,4,4.88,15,18.29,15,18.29,22,26.83,4,4.88,9,10.98,43037
43,38,82,12,14.63,12,14.63,13,15.85,12,14.63,18,21.95,5,6.1,43038
43,39,72,5,6.94,13,18.06,10,13.89,12,16.67,8,11.11,7,9.72,43039
43,40,136,9,6.62,17,12.5,38,27.94,33,24.26,16,11.76,13,9.56,43040
43,41,88,13,14.77,7,7.95,31,35.23,11,12.5,12,13.64,6,6.82,43041
43,42,110,10,9.09,16,14.55,12,10.91,26,23.64,12,10.91,16,14.55,43042
43,43,82,5,6.1,20,24.39,13,15.85,19,23.17,9,10.98,2,2.44,43043
43,44,103,6,5.83,13,12.62,21,20.39,11,10.68,25,24.27,9,8.74,43044
43,45,88,13,14.77,11,12.5,14,15.91,20,22.73,12,13.64,4,4.55,43045
43,46,138,15,10.87,17,12.32,26,18.84,29,21.01,11,7.97,22,15.94,43046
43,47,114,9,7.89,18,15.79,28,24.56,23,20.18,13,11.4,9,7.89,43047
43,48,87,8,9.2,13,14.94,19,21.84,14,16.09,12,13.79,8,9.2,43048
43,49,80,4,5.0,6,7.5,19,23.75,18,22.5,11,13.75,5,6.25,43049
43,50,85,3,3.53,7,8.24,15,17.65,28,32.94,11,12.94,9,10.59,43050
43,51,69,7,10.14,10,14.49,18,26.09,8,11.59,10,14.49,7,10.14,43051
43,52,126,7,5.56,12,9.52,25,19.84,29,23.02,18,14.29,15,11.9,43052
43,53,110,11,10.0,14,12.73,20,18.18,27,24.55,15,13.64,12,10.91,43053
43,54,48,6,12.5,7,14.58,6,12.5,14,29.17,4,8.33,7,14.58,43054
43,55,101,9,8.91,20,19.8,18,17.82,25,24.75,16,15.84,5,4.95,43055
43,56,80,5,6.25,13,16.25,16,20.0,15,18.75,7,8.75,17,21.25,43056
43,57,51,3,5.88,9,17.65,13,25.49,9,17.65,8,15.69,3,5.88,43057
43,58,85,7,8.24,14,16.47,16,18.82,25,29.41,6,7.06,6,7.06,43058
43,59,126,11,8.73,15,11.9,26,20.63,15,11.9,15,11.9,21,16.67,43059
43,60,87,8,9.2,17,19.54,21,24.14,23,26.44,10,11.49,3,3.45,43060
44,1,134,6,4.48,12,8.96,24,17.91,28,20.9,23,17.16,16,11.94,44001
44,2,80,9,11.25,15,18.75,14,17.5,16,20.0,4,5.0,11,13.75,44002
44,3,158,16,10.13,22,13.92,28,17.72,17,10.76,8,5.06,27,17.09,44003
44,4,148,9,6.08,31,20.95,19,12.84,55,37.16,11,7.43,12,8.11,44004
44,5,109,15,13.76,17,15.6,18,16.51,13,11.93,8,7.34,20,18.35,44005
44,6,95,4,4.21,14,14.74,16,16.84,12,12.63,20,21.05,9,9.47,44006
44,7,143,14,9.79,14,9.79,18,12.59,11,7.69,14,9.79,28,19.58,44007
44,8,123,9,7.32,18,14.63,24,19.51,24,19.51,16,13.01,19,15.45,44008
44,9,129,8,6.2,16,12.4,19,14.73,32,24.81,17,13.18,11,8.53,44009
44,10,113,11,9.73,21,18.58,20,17.7,21,18.58,8,7.08,9,7.96,44010
44,11,109,8,7.34,19,17.43,21,19.27,23,21.1,17,15.6,8,7.34,44011
44,12,93,9,9.68,14,15.05,19,20.43,9,9.68,13,13.98,9,9.68,44012
44,13,126,4,3.17,20,15.87,28,22.22,24,19.05,24,19.05,6,4.76,44013
44,14,125,6,4.8,17,13.6,28,22.4,18,14.4,17,13.6,17,13.6,44014
44,15,129,19,14.73,22,17.05,26,20.16,16,12.4,14,10.85,14,10.85,44015
44,16,96,10,10.42,10,10.42,22,22.92,11,11.46,13,13.54,11,11.46,44016
44,17,146,11,7.53,27,18.49,25,17.12,25,17.12,23,15.75,17,11.64,44017
44,18,41,2,4.88,4,9.76,10,24.39,8,19.51,5,12.2,2,4.88,44018
44,19,71,6,8.45,16,22.54,10,14.08,10,14.08,10,14.08,10,14.08,44019
44,20,129,13,10.08,28,21.71,19,14.73,18,13.95,19,14.73,13,10.08,44020
44,21,110,4,3.64,26,23.64,19,17.27,10,9.09,15,13.64,14,12.73,44021
44,22,115,10,8.7,11,9.57,23,20.0,14,12.17,11,9.57,17,14.78,44022
44,23,93,8,8.6,16,17.2,15,16.13,13,13.98,18,19.35,10,10.75,44023
44,24,65,3,4.62,13,20.0,13,20.0,5,7.69,10,15.38,10,15.38,44024
44,25,122,9,7.38,15,12.3,24,19.67,17,13.93,23,18.85,11,9.02,44025
44,26,66,4,6.06,14,21.21,9,13.64,15,22.73,8,12.12,3,4.55,44026
44,27,120,7,5.83,19,15.83,18,15.0,19,15.83,17,14.17,10,8.33,44027
44,28,81,10,12.35,10,12.35,12,14.81,9,11.11,17,20.99,4,4.94,44028
44,29,105,4,3.81,7,6.67,19,18.1,26,24.76,17,16.19,10,9.52,44029
44,30,89,3,3.37,10,11.24,12,13.48,16,17.98,20,22.47,11,12.36,44030
44,31,130,7,5.38,18,13.85,30,23.08,23,17.69,19,14.62,14,10.77,44031
44,32,72,4,5.56,13,18.06,10,13.89,20,27.78,14,19.44,6,8.33,44032
44,33,127,7,5.51,26,20.47,22,17.32,23,18.11,22,17.32,12,9.45,44033
44,34,81,9,11.11,16,19.75,9,11.11,7,8.64,18,22.22,9,11.11,44034
44,35,120,6,5.0,12,10.0,22,18.33,14,11.67,14,11.67,31,25.83,44035
44,36,117,6,5.13,25,21.37,18,15.38,28,23.93,12,10.26,10,8.55,44036
44,37,168,14,8.33,21,12.5,51,30.36,23,13.69,25,14.88,16,9.52,44037
44,38,127,12,9.45,18,14.17,18,14.17,40,31.5,10,7.87,11,8.66,44038
44,39,119,13,10.92,21,17.65,18,15.13,27,22.69,18,15.13,5,4.2,44039
44,40,118,5,4.24,16,13.56,17,14.41,23,19.49,15,12.71,15,12.71,44040
44,41,124,10,8.06,29,23.39,12,9.68,30,24.19,7,5.65,15,12.1,44041
44,42,105,5,4.76,6,5.71,25,23.81,30,28.57,17,16.19,9,8.57,44042
44,43,129,11,8.53,20,15.5,18,13.95,33,25.58,10,7.75,10,7.75,44043
44,44,164,12,7.32,22,13.41,25,15.24,31,18.9,27,16.46,19,11.59,44044
44,45,51,1,1.96,7,13.73,7,13.73,15,29.41,8,15.69,9,17.65,44045
44,46,76,8,10.53,15,19.74,21,27.63,7,9.21,8,10.53,7,9.21,44046
44,47,105,6,5.71,14,13.33,22,20.95,13,12.38,15,14.29,15,14.29,44047
44,48,99,6,6.06,13,13.13,26,26.26,17,17.17,8,8.08,11,11.11,44048
44,49,97,6,6.19,13,13.4,18,18.56,11,11.34,18,18.56,15,15.46,44049
44,50,102,8,7.84,19,18.63,16,15.69,17,16.67,12,11.76,10,9.8,44050
46,1,241,22,9.13,34,14.11,38,15.77,30,12.45,29,12.03,32,13.28,46001
46,2,86,9,10.47,22,25.58,16,18.6,10,11.63,10,11.63,7,8.14,46002
46,3,161,9,5.59,31,19.25,34,21.12,33,20.5,26,16.15,7,4.35,46003
46,4,108,14,12.96,21,19.44,22,20.37,14,12.96,17,15.74,7,6.48,46004
46,5,90,6,6.67,12,13.33,23,25.56,14,15.56,9,10.0,4,4.44,46005
46,6,99,8,8.08,24,24.24,20,20.2,19,19.19,10,10.1,3,3.03,46006
46,7,178,12,6.74,34,19.1,35,19.66,28,15.73,26,14.61,17,9.55,46007
46,8,145,12,8.28,39,26.9,20,13.79,40,27.59,13,8.97,3,2.07,46008
46,9,111,8,7.21,22,19.82,24,21.62,16,14.41,19,17.12,6,5.41,46009
46,10,120,10,8.33,20,16.67,21,17.5,17,14.17,24,20.0,7,5.83,46010
46,11,135,9,6.67,25,18.52,20,14.81,29,21.48,20,14.81,9,6.67,46011
46,12,109,4,3.67,17,15.6,24,22.02,20,18.35,15,13.76,7,6.42,46012
46,13,151,10,6.62,32,21.19,23,15.23,23,15.23,23,15.23,8,5.3,46013
46,14,77,8,10.39,18,23.38,14,18.18,6,7.79,15,19.48,2,2.6,46014
46,15,118,6,5.08,23,19.49,15,12.71,20,16.95,22,18.64,11,9.32,46015
46,16,191,16,8.38,41,21.47,32,16.75,43,22.51,33,17.28,8,4.19,46016
46,17,172,20,11.63,20,11.63,29,16.86,32,18.6,21,12.21,15,8.72,46017
46,18,170,23,13.53,22,12.94,28,16.47,38,22.35,17,10.0,18,10.59,46018
46,19,133,24,18.05,26,19.55,16,12.03,14,10.53,27,20.3,8,6.02,46019
46,20,134,6,4.48,23,17.16,23,17.16,47,35.07,20,14.93,2,1.49,46020
46,22,94,15,15.96,16,17.02,15,15.96,15,15.96,9,9.57,6,6.38,46022
46,23,101,14,13.86,14,13.86,23,22.77,20,19.8,16,15.84,4,3.96,46023
46,24,105,7,6.67,17,16.19,11,10.48,16,15.24,22,20.95,14,13.33,46024
46,25,93,17,18.28,10,10.75,18,19.35,16,17.2,8,8.6,7,7.53,46025
46,26,110,7,6.36,28,25.45,16,14.55,21,19.09,23,20.91,7,6.36,46026
46,27,141,7,4.96,27,19.15,29,20.57,24,17.02,23,16.31,8,5.67,46027
46,28,105,6,5.71,22,20.95,21,20.0,17,16.19,17,16.19,8,7.62,46028
46,29,147,14,9.52,25,17.01,17,11.56,30,20.41,19,12.93,10,6.8,46029
46,30,165,7,4.24,42,25.45,24,14.55,16,9.7,29,17.58,15,9.09,46030
46,31,155,13,8.39,21,13.55,26,16.77,28,18.06,23,14.84,10,6.45,46031
46,32,188,7,3.72,40,21.28,25,13.3,63,33.51,25,13.3,9,4.79,46032
46,33,147,18,12.24,22,14.97,28,19.05,24,16.33,19,12.93,6,4.08,46033
46,34,156,10,6.41,32,20.51,35,22.44,22,14.1,25,16.03,14,8.97,46034
46,35,151,13,8.61,25,16.56,36,23.84,28,18.54,22,14.57,2,1.32,46035
46,36,173,17,9.83,26,15.03,24,13.87,31,17.92,29,16.76,17,9.83,46036
46,37,162,16,9.88,40,24.69,24,14.81,26,16.05,18,11.11,10,6.17,46037
46,38,97,1,1.03,19,19.59,19,19.59,23,23.71,15,15.46,6,6.19,46038
46,39,141,16,11.35,19,13.48,30,21.28,26,18.44,20,14.18,7,4.96,46039
47,15,118,9,7.63,16,13.56,19,16.1,15,12.71,14,11.86,11,9.32,47015
47,18,158,20,12.66,30,18.99,30,18.99,14,8.86,22,13.92,8,5.06,47018
47,21,105,6,5.71,17,16.19,18,17.14,17,16.19,25,23.81,9,8.57,47021
47,23,69,5,7.25,13,18.84,8,11.59,13,18.84,14,20.29,2,2.9,47023
47,24,111,10,9.01,12,10.81,17,15.32,11,9.91,16,14.41,4,3.6,47024
47,41,90,4,4.44,19,21.11,18,20.0,18,20.0,14,15.56,3,3.33,47041
47,44,115,10,8.7,25,21.74,20,17.39,20,17.39,14,12.17,9,7.83,47044
48,1,152,11,7.24,28,18.42,25,16.45,31,20.39,16,10.53,8,5.26,48001
48,3,152,15,9.87,35,23.03,19,12.5,41,26.97,18,11.84,6,3.95,48003
48,4,140,14,10.0,24,17.14,18,12.86,46,32.86,15,10.71,4,2.86,48004
48,5,127,11,8.66,19,14.96,30,23.62,30,23.62,16,12.6,5,3.94,48005
48,6,174,26,14.94,25,14.37,36,20.69,47,27.01,21,12.07,6,3.45,48006
48,7,143,10,6.99,29,20.28,20,13.99,33,23.08,16,11.19,7,4.9,48007
48,8,104,5,4.81,20,19.23,18,17.31,28,26.92,10,9.62,6,5.77,48008
48,9,122,9,7.38,11,9.02,20,16.39,29,23.77,21,17.21,7,5.74,48009
48,10,78,3,3.85,16,20.51,17,21.79,9,11.54,14,17.95,3,3.85,48010
48,11,172,42,24.42,31,18.02,19,11.05,33,19.19,15,8.72,8,4.65,48011
48,12,94,7,7.45,13,13.83,15,15.96,24,25.53,14,14.89,4,4.26,48012
48,14,194,35,18.04,19,9.79,26,13.4,72,37.11,19,9.79,9,4.64,48014
48,15,89,5,5.62,14,15.73,15,16.85,30,33.71,8,8.99,4,4.49,48015
48,16,124,6,4.84,26,20.97,13,10.48,52,41.94,10,8.06,5,4.03,48016
48,17,95,7,7.37,22,23.16,13,13.68,17,17.89,14,14.74,9,9.47,48017
48,18,77,10,12.99,10,12.99,14,18.18,19,24.68,13,16.88,2,2.6,48018
