ward,precinct,total,BOBBY L. RUSH,BOBBY L. RUSH Percent,precinct_id
21,9,203,203,100.0,21009
21,10,153,153,100.0,21010
21,11,230,230,100.0,21011
21,12,235,235,100.0,21012
21,13,129,129,100.0,21013
21,14,213,213,100.0,21014
21,15,139,139,100.0,21015
21,16,93,93,100.0,21016
21,17,120,120,100.0,21017
21,18,244,244,100.0,21018
21,19,191,191,100.0,21019
21,20,58,58,100.0,21020
21,21,242,242,100.0,21021
21,22,244,244,100.0,21022
21,23,190,190,100.0,21023
21,24,239,239,100.0,21024
21,25,185,185,100.0,21025
21,26,175,175,100.0,21026
21,27,257,257,100.0,21027
21,28,189,189,100.0,21028
21,29,165,165,100.0,21029
21,30,117,117,100.0,21030
21,31,297,297,100.0,21031
21,33,222,222,100.0,21033
21,34,262,262,100.0,21034
21,35,153,153,100.0,21035
21,36,258,258,100.0,21036
21,37,134,134,100.0,21037
21,38,216,216,100.0,21038
21,39,168,168,100.0,21039
21,40,220,220,100.0,21040
21,41,170,170,100.0,21041
21,42,238,238,100.0,21042
21,43,198,198,100.0,21043
21,44,203,203,100.0,21044
21,45,172,172,100.0,21045
21,46,160,160,100.0,21046
21,47,301,301,100.0,21047
21,48,267,267,100.0,21048
21,49,261,261,100.0,21049
21,50,207,207,100.0,21050
21,51,238,238,100.0,21051
21,52,217,217,100.0,21052
21,53,199,199,100.0,21053
21,54,221,221,100.0,21054
21,55,227,227,100.0,21055
21,56,118,118,100.0,21056
21,57,136,136,100.0,21057
21,58,158,158,100.0,21058
21,59,288,288,100.0,21059
21,60,99,99,100.0,21060
21,61,231,231,100.0,21061
21,62,258,258,100.0,21062
21,63,219,219,100.0,21063
21,64,140,140,100.0,21064
21,65,206,206,100.0,21065
21,66,188,188,100.0,21066
21,67,173,173,100.0,21067
21,69,141,141,100.0,21069
21,70,139,139,100.0,21070
34,32,6,6,100.0,34032
34,33,157,157,100.0,34033
34,44,39,39,100.0,34044
34,47,108,108,100.0,34047
34,51,301,301,100.0,34051
