ward,precinct,total,VALARIE E. TURNER,VALARIE E. TURNER Percent,ALFRED S. PHELPS,ALFRED S. PHELPS Percent,"MICHAEL """"MIKE"""" STUTTLEY","MICHAEL """"MIKE"""" STUTTLEY Percent",precinct_id
21,10,140,98,70.0,7,5.0,35,25.0,21010
21,11,208,138,66.35,24,11.54,46,22.12,21011
21,12,213,136,63.85,20,9.39,57,26.76,21012
21,13,122,88,72.13,13,10.66,21,17.21,21013
21,14,208,135,64.9,16,7.69,57,27.4,21014
21,15,131,86,65.65,19,14.5,26,19.85,21015
21,16,81,64,79.01,9,11.11,8,9.88,21016
21,18,226,163,72.12,12,5.31,51,22.57,21018
21,19,187,98,52.41,48,25.67,41,21.93,21019
21,21,229,152,66.38,26,11.35,51,22.27,21021
21,22,225,153,68.0,29,12.89,43,19.11,21022
21,23,174,114,65.52,32,18.39,28,16.09,21023
21,24,237,185,78.06,20,8.44,32,13.5,21024
21,25,176,120,68.18,28,15.91,28,15.91,21025
21,26,150,96,64.0,24,16.0,30,20.0,21026
21,27,227,174,76.65,18,7.93,35,15.42,21027
21,28,183,135,73.77,20,10.93,28,15.3,21028
21,29,162,100,61.73,21,12.96,41,25.31,21029
21,30,107,69,64.49,19,17.76,19,17.76,21030
21,31,289,228,78.89,13,4.5,48,16.61,21031
21,32,110,83,75.45,14,12.73,13,11.82,21032
21,33,205,131,63.9,32,15.61,42,20.49,21033
21,35,146,100,68.49,22,15.07,24,16.44,21035
21,36,245,161,65.71,26,10.61,58,23.67,21036
21,38,206,121,58.74,26,12.62,59,28.64,21038
21,39,149,106,71.14,15,10.07,28,18.79,21039
21,40,216,176,81.48,9,4.17,31,14.35,21040
21,42,226,155,68.58,18,7.96,53,23.45,21042
21,43,171,124,72.51,20,11.7,27,15.79,21043
21,44,194,135,69.59,12,6.19,47,24.23,21044
21,45,154,99,64.29,14,9.09,41,26.62,21045
21,46,141,110,78.01,11,7.8,20,14.18,21046
21,47,291,205,70.45,22,7.56,64,21.99,21047
21,48,250,186,74.4,21,8.4,43,17.2,21048
21,49,258,179,69.38,28,10.85,51,19.77,21049
21,50,198,146,73.74,18,9.09,34,17.17,21050
21,51,220,117,53.18,47,21.36,56,25.45,21051
21,52,211,159,75.36,23,10.9,29,13.74,21052
21,53,194,108,55.67,27,13.92,59,30.41,21053
21,54,212,138,65.09,14,6.6,60,28.3,21054
21,55,217,162,74.65,23,10.6,32,14.75,21055
21,57,130,81,62.31,14,10.77,35,26.92,21057
21,58,149,89,59.73,20,13.42,40,26.85,21058
21,59,276,175,63.41,23,8.33,78,28.26,21059
21,60,92,50,54.35,29,31.52,13,14.13,21060
21,61,219,144,65.75,33,15.07,42,19.18,21061
21,63,203,137,67.49,15,7.39,51,25.12,21063
21,64,131,87,66.41,19,14.5,25,19.08,21064
21,66,175,124,70.86,17,9.71,34,19.43,21066
21,67,159,97,61.01,34,21.38,28,17.61,21067
21,68,104,61,58.65,15,14.42,28,26.92,21068
21,69,127,79,62.2,28,22.05,20,15.75,21069
34,1,314,179,57.01,69,21.97,66,21.02,34001
34,2,212,94,44.34,33,15.57,85,40.09,34002
34,3,167,85,50.9,16,9.58,66,39.52,34003
34,4,188,86,45.74,18,9.57,84,44.68,34004
34,5,115,49,42.61,23,20.0,43,37.39,34005
34,6,237,111,46.84,18,7.59,108,45.57,34006
34,7,282,199,70.57,38,13.48,45,15.96,34007
34,8,226,157,69.47,19,8.41,50,22.12,34008
34,9,153,75,49.02,15,9.8,63,41.18,34009
34,10,271,148,54.61,74,27.31,49,18.08,34010
34,11,137,86,62.77,19,13.87,32,23.36,34011
34,12,207,127,61.35,22,10.63,58,28.02,34012
34,13,112,65,58.04,15,13.39,32,28.57,34013
34,14,116,70,60.34,15,12.93,31,26.72,34014
34,15,118,76,64.41,14,11.86,28,23.73,34015
34,16,155,101,65.16,23,14.84,31,20.0,34016
34,17,214,125,58.41,36,16.82,53,24.77,34017
34,18,146,81,55.48,17,11.64,48,32.88,34018
34,19,167,78,46.71,22,13.17,67,40.12,34019
34,20,248,129,52.02,29,11.69,90,36.29,34020
34,21,269,173,64.31,42,15.61,54,20.07,34021
34,22,258,144,55.81,14,5.43,100,38.76,34022
34,23,192,122,63.54,13,6.77,57,29.69,34023
34,24,207,99,47.83,31,14.98,77,37.2,34024
34,25,138,84,60.87,24,17.39,30,21.74,34025
34,26,160,59,36.88,20,12.5,81,50.63,34026
34,27,132,76,57.58,10,7.58,46,34.85,34027
34,28,125,43,34.4,7,5.6,75,60.0,34028
34,29,235,159,67.66,30,12.77,46,19.57,34029
34,30,286,135,47.2,22,7.69,129,45.1,34030
34,31,186,114,61.29,27,14.52,45,24.19,34031
34,32,235,137,58.3,19,8.09,79,33.62,34032
34,34,212,140,66.04,30,14.15,42,19.81,34034
34,35,277,122,44.04,11,3.97,144,51.99,34035
34,36,269,172,63.94,27,10.04,70,26.02,34036
34,37,131,47,35.88,6,4.58,78,59.54,34037
34,38,143,58,40.56,13,9.09,72,50.35,34038
34,39,130,65,50.0,22,16.92,43,33.08,34039
34,40,256,101,39.45,13,5.08,142,55.47,34040
34,41,184,116,63.04,21,11.41,47,25.54,34041
34,42,242,146,60.33,28,11.57,68,28.1,34042
34,43,240,144,60.0,25,10.42,71,29.58,34043
34,44,221,150,67.87,29,13.12,42,19.0,34044
34,45,260,180,69.23,29,11.15,51,19.62,34045
34,46,154,99,64.29,15,9.74,40,25.97,34046
34,47,109,69,63.3,25,22.94,15,13.76,34047
34,48,211,129,61.14,20,9.48,62,29.38,34048
34,49,255,189,74.12,18,7.06,48,18.82,34049
34,50,174,94,54.02,19,10.92,61,35.06,34050
34,51,317,99,31.23,25,7.89,193,60.88,34051
34,52,175,85,48.57,21,12.0,69,39.43,34052
34,53,165,109,66.06,24,14.55,32,19.39,34053
34,54,197,103,52.28,20,10.15,74,37.56,34054
34,55,127,84,66.14,15,11.81,28,22.05,34055
34,56,150,102,68.0,19,12.67,29,19.33,34056
34,57,116,65,56.03,20,17.24,31,26.72,34057
34,58,178,65,36.52,12,6.74,101,56.74,34058
34,59,153,90,58.82,15,9.8,48,31.37,34059
34,60,203,98,48.28,33,16.26,72,35.47,34060
34,61,200,133,66.5,19,9.5,48,24.0,34061
