ward,precinct,total,Kristyna Colleen Ryan,Kristyna Colleen Ryan Percent,Paula M. Lingo,Paula M. Lingo Percent,Frank James Ryan,Frank James Ryan Percent,precinct_id
5,28,246,75,30.49,126,51.22,45,18.29,05028
5,29,213,76,35.68,87,40.85,50,23.47,05029
5,30,169,31,18.34,126,74.56,12,7.1,05030
5,31,215,86,40.0,79,36.74,50,23.26,05031
5,32,309,113,36.57,141,45.63,55,17.8,05032
5,33,161,60,37.27,59,36.65,42,26.09,05033
5,34,266,115,43.23,83,31.2,68,25.56,05034
5,35,165,59,35.76,78,47.27,28,16.97,05035
5,36,135,60,44.44,36,26.67,39,28.89,05036
5,37,167,63,37.72,74,44.31,30,17.96,05037
5,38,196,39,19.9,125,63.78,32,16.33,05038
5,39,235,49,20.85,167,71.06,19,8.09,05039
5,40,231,100,43.29,72,31.17,59,25.54,05040
5,41,153,27,17.65,114,74.51,12,7.84,05041
5,42,228,89,39.04,72,31.58,67,29.39,05042
5,43,245,72,29.39,125,51.02,48,19.59,05043
5,44,254,114,44.88,90,35.43,50,19.69,05044
5,45,135,55,40.74,40,29.63,40,29.63,05045
5,46,201,69,34.33,98,48.76,34,16.92,05046
5,47,202,88,43.56,64,31.68,50,24.75,05047
5,48,132,37,28.03,69,52.27,26,19.7,05048
5,49,52,29,55.77,11,21.15,12,23.08,05049
5,50,201,79,39.3,78,38.81,44,21.89,05050
5,51,172,67,38.95,55,31.98,50,29.07,05051
5,52,25,11,44.0,11,44.0,3,12.0,05052
5,53,226,69,30.53,115,50.88,42,18.58,05053
5,54,317,103,32.49,158,49.84,56,17.67,05054
5,55,203,88,43.35,64,31.53,51,25.12,05055
6,1,278,94,33.81,140,50.36,44,15.83,06001
6,2,309,116,37.54,138,44.66,55,17.8,06002
6,3,259,80,30.89,126,48.65,53,20.46,06003
6,4,195,73,37.44,69,35.38,53,27.18,06004
6,5,121,51,42.15,44,36.36,26,21.49,06005
6,6,204,73,35.78,78,38.24,53,25.98,06006
6,7,259,87,33.59,120,46.33,52,20.08,06007
6,8,291,85,29.21,152,52.23,54,18.56,06008
6,9,237,66,27.85,133,56.12,38,16.03,06009
6,10,325,96,29.54,177,54.46,52,16.0,06010
6,11,229,86,37.55,106,46.29,37,16.16,06011
6,12,185,86,46.49,57,30.81,42,22.7,06012
6,13,218,72,33.03,112,51.38,34,15.6,06013
6,14,267,99,37.08,99,37.08,69,25.84,06014
6,15,152,52,34.21,63,41.45,37,24.34,06015
6,16,292,91,31.16,151,51.71,50,17.12,06016
6,17,307,100,32.57,147,47.88,60,19.54,06017
6,18,153,67,43.79,57,37.25,29,18.95,06018
6,19,289,105,36.33,109,37.72,75,25.95,06019
6,20,235,93,39.57,88,37.45,54,22.98,06020
6,21,239,59,24.69,118,49.37,62,25.94,06021
6,22,239,80,33.47,123,51.46,36,15.06,06022
6,23,186,56,30.11,94,50.54,36,19.35,06023
6,24,257,87,33.85,125,48.64,45,17.51,06024
6,25,178,68,38.2,63,35.39,47,26.4,06025
6,26,280,92,32.86,137,48.93,51,18.21,06026
6,27,347,106,30.55,181,52.16,60,17.29,06027
6,28,443,133,30.02,225,50.79,85,19.19,06028
6,29,287,73,25.44,158,55.05,56,19.51,06029
6,30,226,65,28.76,123,54.42,38,16.81,06030
6,31,294,87,29.59,152,51.7,55,18.71,06031
6,32,267,86,32.21,122,45.69,59,22.1,06032
6,33,291,106,36.43,129,44.33,56,19.24,06033
6,34,246,94,38.21,107,43.5,45,18.29,06034
6,35,246,67,27.24,145,58.94,34,13.82,06035
6,36,138,57,41.3,45,32.61,36,26.09,06036
6,37,296,70,23.65,185,62.5,41,13.85,06037
6,38,264,100,37.88,106,40.15,58,21.97,06038
6,39,220,61,27.73,109,49.55,50,22.73,06039
6,40,149,46,30.87,75,50.34,28,18.79,06040
6,41,279,79,28.32,162,58.06,38,13.62,06041
6,42,138,52,37.68,54,39.13,32,23.19,06042
6,43,261,81,31.03,131,50.19,49,18.77,06043
6,44,255,73,28.63,137,53.73,45,17.65,06044
6,45,194,71,36.6,84,43.3,39,20.1,06045
6,46,242,85,35.12,109,45.04,48,19.83,06046
6,47,281,94,33.45,133,47.33,54,19.22,06047
6,48,239,60,25.1,133,55.65,46,19.25,06048
6,49,233,98,42.06,86,36.91,49,21.03,06049
6,50,272,84,30.88,122,44.85,66,24.26,06050
6,51,178,60,33.71,77,43.26,41,23.03,06051
6,52,166,52,31.33,80,48.19,34,20.48,06052
6,53,219,80,36.53,101,46.12,38,17.35,06053
6,54,265,92,34.72,113,42.64,60,22.64,06054
6,55,227,56,24.67,133,58.59,38,16.74,06055
6,56,187,61,32.62,96,51.34,30,16.04,06056
6,57,138,45,32.61,61,44.2,32,23.19,06057
6,58,269,70,26.02,150,55.76,49,18.22,06058
6,59,216,86,39.81,96,44.44,34,15.74,06059
6,60,165,60,36.36,80,48.48,25,15.15,06060
6,61,165,50,30.3,75,45.45,40,24.24,06061
6,62,213,70,32.86,108,50.7,35,16.43,06062
6,63,258,76,29.46,117,45.35,65,25.19,06063
6,64,283,71,25.09,153,54.06,59,20.85,06064
7,1,265,113,42.64,112,42.26,40,15.09,07001
7,2,269,85,31.6,130,48.33,54,20.07,07002
7,3,169,71,42.01,57,33.73,41,24.26,07003
7,4,204,64,31.37,111,54.41,29,14.22,07004
7,5,180,57,31.67,93,51.67,30,16.67,07005
7,6,208,58,27.88,102,49.04,48,23.08,07006
7,7,160,55,34.38,61,38.13,44,27.5,07007
7,8,79,24,30.38,40,50.63,15,18.99,07008
7,9,212,77,36.32,92,43.4,43,20.28,07009
7,10,145,44,30.34,73,50.34,28,19.31,07010
7,11,217,82,37.79,93,42.86,42,19.35,07011
7,12,170,56,32.94,81,47.65,33,19.41,07012
7,13,139,47,33.81,63,45.32,29,20.86,07013
7,14,242,95,39.26,92,38.02,55,22.73,07014
7,15,128,45,35.16,46,35.94,37,28.91,07015
7,16,152,66,43.42,52,34.21,34,22.37,07016
