ward,precinct,total,Janice D. Schakowsky,Janice D. Schakowsky Percent,John Nocita,John Nocita Percent,precinct_id
48,43,327,300,91.74,27,8.26,48043
48,44,249,228,91.57,21,8.43,48044
48,45,186,171,91.94,15,8.06,48045
48,46,165,150,90.91,15,9.09,48046
48,47,215,182,84.65,33,15.35,48047
48,48,249,224,89.96,25,10.04,48048
48,49,99,86,86.87,13,13.13,48049
48,50,276,258,93.48,18,6.52,48050
48,51,340,313,92.06,27,7.94,48051
48,52,171,156,91.23,15,8.77,48052
48,53,132,120,90.91,12,9.09,48053
48,54,182,165,90.66,17,9.34,48054
49,1,219,197,89.95,22,10.05,49001
49,2,298,270,90.6,28,9.4,49002
49,3,162,143,88.27,19,11.73,49003
49,4,119,107,89.92,12,10.08,49004
49,5,245,225,91.84,20,8.16,49005
49,6,259,225,86.87,34,13.13,49006
49,7,186,171,91.94,15,8.06,49007
49,8,234,206,88.03,28,11.97,49008
49,9,199,173,86.93,26,13.07,49009
49,10,209,185,88.52,24,11.48,49010
49,11,161,136,84.47,25,15.53,49011
49,12,245,223,91.02,22,8.98,49012
49,13,280,260,92.86,20,7.14,49013
49,14,207,186,89.86,21,10.14,49014
49,15,176,154,87.5,22,12.5,49015
49,16,152,145,95.39,7,4.61,49016
49,17,29,27,93.1,2,6.9,49017
49,18,149,127,85.23,22,14.77,49018
49,19,194,174,89.69,20,10.31,49019
49,20,243,210,86.42,33,13.58,49020
49,21,90,83,92.22,7,7.78,49021
49,22,199,170,85.43,29,14.57,49022
49,23,184,171,92.93,13,7.07,49023
49,24,280,261,93.21,19,6.79,49024
49,25,256,225,87.89,31,12.11,49025
49,26,219,195,89.04,24,10.96,49026
49,27,294,265,90.14,29,9.86,49027
49,28,199,176,88.44,23,11.56,49028
49,29,273,241,88.28,32,11.72,49029
49,30,230,202,87.83,28,12.17,49030
49,31,153,139,90.85,14,9.15,49031
49,32,154,132,85.71,22,14.29,49032
49,33,174,153,87.93,21,12.07,49033
49,34,211,194,91.94,17,8.06,49034
49,35,284,251,88.38,33,11.62,49035
49,36,294,257,87.41,37,12.59,49036
49,37,310,274,88.39,36,11.61,49037
49,38,181,169,93.37,12,6.63,49038
49,39,196,170,86.73,26,13.27,49039
49,40,164,148,90.24,16,9.76,49040
49,41,199,181,90.95,18,9.05,49041
49,42,255,219,85.88,36,14.12,49042
50,1,283,247,87.28,36,12.72,50001
50,2,268,225,83.96,43,16.04,50002
50,3,213,198,92.96,15,7.04,50003
50,4,199,181,90.95,18,9.05,50004
50,5,228,206,90.35,22,9.65,50005
50,6,161,142,88.2,19,11.8,50006
50,7,282,246,87.23,36,12.77,50007
50,8,176,148,84.09,28,15.91,50008
50,9,187,164,87.7,23,12.3,50009
50,10,128,115,89.84,13,10.16,50010
50,11,213,189,88.73,24,11.27,50011
50,12,117,106,90.6,11,9.4,50012
50,13,193,160,82.9,33,17.1,50013
50,14,118,108,91.53,10,8.47,50014
50,15,274,247,90.15,27,9.85,50015
50,16,114,100,87.72,14,12.28,50016
50,17,158,133,84.18,25,15.82,50017
50,18,163,145,88.96,18,11.04,50018
50,19,163,132,80.98,31,19.02,50019
50,20,182,159,87.36,23,12.64,50020
50,21,236,210,88.98,26,11.02,50021
50,22,197,162,82.23,35,17.77,50022
50,23,153,127,83.01,26,16.99,50023
50,24,195,169,86.67,26,13.33,50024
50,25,178,157,88.2,21,11.8,50025
50,26,135,110,81.48,25,18.52,50026
50,27,85,76,89.41,9,10.59,50027
50,28,161,135,83.85,26,16.15,50028
50,29,210,183,87.14,27,12.86,50029
50,30,181,148,81.77,33,18.23,50030
50,31,75,72,96.0,3,4.0,50031
50,32,203,173,85.22,30,14.78,50032
50,33,145,125,86.21,20,13.79,50033
50,34,150,123,82.0,27,18.0,50034
50,35,274,237,86.5,37,13.5,50035
50,36,221,202,91.4,19,8.6,50036
50,37,212,190,89.62,22,10.38,50037
50,38,142,131,92.25,11,7.75,50038
50,39,159,131,82.39,28,17.61,50039
50,40,215,190,88.37,25,11.63,50040
50,41,281,252,89.68,29,10.32,50041
50,42,219,186,84.93,33,15.07,50042
50,43,170,144,84.71,26,15.29,50043
