ward,precinct,total,Ann Collins Dole,Ann Collins Dole Percent,James A. Shapiro,James A. Shapiro Percent,Debra Kramer Marcus,Debra Kramer Marcus Percent,Daniel Thomas Gillespie,Daniel Thomas Gillespie Percent,James Byrne,James Byrne Percent,Aaron J. Weiss,Aaron J. Weiss Percent,precinct_id
2,55,59,14,23.73,17,28.81,3,5.08,4,6.78,16,27.12,2,3.39,02055
3,3,191,62,32.46,39,20.42,29,15.18,16,8.38,31,16.23,6,3.14,03003
3,6,153,35,22.88,32,20.92,23,15.03,13,8.5,37,24.18,8,5.23,03006
3,28,321,119,37.07,51,15.89,47,14.64,36,11.21,40,12.46,16,4.98,03028
3,45,234,79,33.76,52,22.22,34,14.53,21,8.97,26,11.11,9,3.85,03045
11,14,135,32,23.7,31,22.96,14,10.37,11,8.15,40,29.63,4,2.96,11014
11,27,28,10,35.71,3,10.71,3,10.71,3,10.71,8,28.57,1,3.57,11027
11,36,46,17,36.96,13,28.26,1,2.17,5,10.87,7,15.22,1,2.17,11036
25,14,72,22,30.56,13,18.06,4,5.56,11,15.28,12,16.67,4,5.56,25014
25,16,79,34,43.04,9,11.39,12,15.19,11,13.92,11,13.92,1,1.27,25016
25,18,131,41,31.3,23,17.56,27,20.61,14,10.69,20,15.27,2,1.53,25018
27,5,56,15,26.79,19,33.93,7,12.5,5,8.93,5,8.93,3,5.36,27005
27,6,75,19,25.33,11,14.67,13,17.33,8,10.67,18,24.0,4,5.33,27006
27,9,195,53,27.18,40,20.51,25,12.82,27,13.85,33,16.92,7,3.59,27009
27,11,63,19,30.16,15,23.81,7,11.11,6,9.52,9,14.29,4,6.35,27011
27,12,129,38,29.46,28,21.71,26,20.16,13,10.08,10,7.75,10,7.75,27012
27,16,44,12,27.27,5,11.36,8,18.18,8,18.18,11,25.0,0,0.0,27016
27,20,205,40,19.51,46,22.44,29,14.15,33,16.1,37,18.05,10,4.88,27020
27,21,96,24,25.0,17,17.71,10,10.42,12,12.5,28,29.17,3,3.13,27021
27,28,141,33,23.4,23,16.31,20,14.18,13,9.22,33,23.4,6,4.26,27028
27,37,76,19,25.0,16,21.05,5,6.58,5,6.58,26,34.21,0,0.0,27037
27,39,84,8,9.52,10,11.9,6,7.14,18,21.43,36,42.86,4,4.76,27039
27,42,109,31,28.44,19,17.43,15,13.76,12,11.01,20,18.35,8,7.34,27042
27,43,79,18,22.78,7,8.86,4,5.06,12,15.19,30,37.97,2,2.53,27043
27,50,158,54,34.18,30,18.99,15,9.49,20,12.66,21,13.29,9,5.7,27050
27,51,58,14,24.14,7,12.07,7,12.07,15,25.86,14,24.14,1,1.72,27051
32,7,125,47,37.6,23,18.4,15,12.0,18,14.4,9,7.2,8,6.4,32007
32,8,208,78,37.5,35,16.83,30,14.42,25,12.02,20,9.62,13,6.25,32008
32,10,174,44,25.29,46,26.44,31,17.82,16,9.2,21,12.07,7,4.02,32010
32,13,81,17,20.99,17,20.99,24,29.63,6,7.41,8,9.88,2,2.47,32013
32,18,132,46,34.85,24,18.18,13,9.85,25,18.94,12,9.09,7,5.3,32018
32,20,105,33,31.43,23,21.9,21,20.0,4,3.81,12,11.43,6,5.71,32020
32,23,148,43,29.05,38,25.68,19,12.84,18,12.16,15,10.14,6,4.05,32023
32,27,34,12,35.29,4,11.76,13,38.24,1,2.94,2,5.88,0,0.0,32027
32,32,142,49,34.51,24,16.9,31,21.83,18,12.68,15,10.56,5,3.52,32032
32,37,154,33,21.43,51,33.12,31,20.13,9,5.84,16,10.39,9,5.84,32037
32,38,180,73,40.56,30,16.67,30,16.67,19,10.56,12,6.67,7,3.89,32038
32,39,171,66,38.6,34,19.88,28,16.37,10,5.85,13,7.6,11,6.43,32039
32,43,159,55,34.59,34,21.38,39,24.53,9,5.66,11,6.92,7,4.4,32043
32,44,123,42,34.15,29,23.58,16,13.01,10,8.13,13,10.57,6,4.88,32044
32,46,5,2,40.0,0,0.0,0,0.0,1,20.0,0,0.0,1,20.0,32046
32,47,198,81,40.91,51,25.76,23,11.62,14,7.07,17,8.59,6,3.03,32047
32,48,181,68,37.57,35,19.34,25,13.81,13,7.18,21,11.6,7,3.87,32048
32,49,114,38,33.33,19,16.67,20,17.54,14,12.28,11,9.65,6,5.26,32049
32,50,188,77,40.96,37,19.68,25,13.3,15,7.98,20,10.64,5,2.66,32050
32,51,195,81,41.54,44,22.56,22,11.28,17,8.72,15,7.69,8,4.1,32051
40,3,182,56,30.77,31,17.03,21,11.54,27,14.84,27,14.84,16,8.79,40003
40,4,172,69,40.12,33,19.19,15,8.72,17,9.88,28,16.28,7,4.07,40004
40,7,178,60,33.71,30,16.85,29,16.29,10,5.62,32,17.98,10,5.62,40007
40,11,176,48,27.27,35,19.89,24,13.64,19,10.8,30,17.05,15,8.52,40011
40,16,172,50,29.07,47,27.33,9,5.23,12,6.98,42,24.42,6,3.49,40016
40,22,95,31,32.63,14,14.74,12,12.63,8,8.42,17,17.89,8,8.42,40022
40,23,215,70,32.56,39,18.14,31,14.42,32,14.88,20,9.3,9,4.19,40023
40,27,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,40027
40,33,176,48,27.27,27,15.34,22,12.5,22,12.5,28,15.91,15,8.52,40033
40,37,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,40037
40,40,118,37,31.36,33,27.97,13,11.02,11,9.32,17,14.41,4,3.39,40040
40,41,215,72,33.49,37,17.21,36,16.74,8,3.72,40,18.6,11,5.12,40041
40,42,202,51,25.25,39,19.31,22,10.89,18,8.91,45,22.28,13,6.44,40042
40,43,184,49,26.63,36,19.57,31,16.85,17,9.24,27,14.67,14,7.61,40043
40,45,257,60,23.35,53,20.62,33,12.84,27,10.51,52,20.23,15,5.84,40045
40,46,208,64,30.77,58,27.88,18,8.65,17,8.17,27,12.98,11,5.29,40046
42,1,194,67,34.54,50,25.77,22,11.34,12,6.19,19,9.79,15,7.73,42001
42,2,114,39,34.21,26,22.81,21,18.42,9,7.89,5,4.39,7,6.14,42002
42,3,137,35,25.55,38,27.74,19,13.87,10,7.3,15,10.95,11,8.03,42003
42,4,152,64,42.11,40,26.32,21,13.82,2,1.32,8,5.26,6,3.95,42004
42,5,145,68,46.9,26,17.93,8,5.52,6,4.14,29,20.0,4,2.76,42005
42,6,306,109,35.62,57,18.63,37,12.09,36,11.76,40,13.07,13,4.25,42006
42,7,145,42,28.97,31,21.38,23,15.86,9,6.21,27,18.62,9,6.21,42007
42,8,203,73,35.96,41,20.2,23,11.33,23,11.33,31,15.27,5,2.46,42008
42,9,312,97,31.09,60,19.23,49,15.71,40,12.82,37,11.86,17,5.45,42009
42,10,129,42,32.56,32,24.81,24,18.6,9,6.98,6,4.65,12,9.3,42010
42,11,168,66,39.29,34,20.24,21,12.5,17,10.12,22,13.1,4,2.38,42011
42,12,118,34,28.81,29,24.58,23,19.49,17,14.41,9,7.63,3,2.54,42012
42,13,259,93,35.91,64,24.71,28,10.81,26,10.04,25,9.65,9,3.47,42013
42,14,169,62,36.69,39,23.08,26,15.38,14,8.28,10,5.92,9,5.33,42014
42,15,189,56,29.63,46,24.34,29,15.34,11,5.82,22,11.64,17,8.99,42015
42,16,113,35,30.97,30,26.55,19,16.81,8,7.08,11,9.73,4,3.54,42016
42,17,318,110,34.59,82,25.79,42,13.21,22,6.92,37,11.64,12,3.77,42017
42,19,71,22,30.99,13,18.31,7,9.86,7,9.86,9,12.68,8,11.27,42019
42,20,102,33,32.35,19,18.63,14,13.73,8,7.84,17,16.67,5,4.9,42020
42,22,111,36,32.43,23,20.72,19,17.12,9,8.11,11,9.91,10,9.01,42022
42,23,208,80,38.46,55,26.44,24,11.54,12,5.77,18,8.65,9,4.33,42023
42,24,164,40,24.39,49,29.88,21,12.8,5,3.05,24,14.63,11,6.71,42024
42,25,152,45,29.61,41,26.97,24,15.79,10,6.58,16,10.53,13,8.55,42025
42,26,194,50,25.77,65,33.51,17,8.76,12,6.19,28,14.43,13,6.7,42026
42,27,206,61,29.61,43,20.87,29,14.08,20,9.71,39,18.93,7,3.4,42027
42,28,181,64,35.36,58,32.04,17,9.39,9,4.97,21,11.6,6,3.31,42028
42,29,184,63,34.24,58,31.52,22,11.96,10,5.43,10,5.43,11,5.98,42029
42,30,102,37,36.27,22,21.57,21,20.59,9,8.82,6,5.88,2,1.96,42030
42,31,107,53,49.53,20,18.69,13,12.15,7,6.54,7,6.54,3,2.8,42031
42,32,105,27,25.71,31,29.52,15,14.29,15,14.29,6,5.71,4,3.81,42032
42,33,237,88,37.13,49,20.68,29,12.24,20,8.44,26,10.97,16,6.75,42033
42,34,161,56,34.78,36,22.36,21,13.04,12,7.45,16,9.94,12,7.45,42034
42,35,132,39,29.55,53,40.15,10,7.58,5,3.79,12,9.09,9,6.82,42035
42,36,129,33,25.58,29,22.48,25,19.38,20,15.5,13,10.08,5,3.88,42036
42,37,130,35,26.92,39,30.0,19,14.62,3,2.31,13,10.0,12,9.23,42037
42,38,98,24,24.49,38,38.78,15,15.31,5,5.1,9,9.18,4,4.08,42038
42,39,105,16,15.24,25,23.81,12,11.43,5,4.76,34,32.38,6,5.71,42039
42,40,179,72,40.22,47,26.26,17,9.5,20,11.17,6,3.35,9,5.03,42040
42,41,195,61,31.28,41,21.03,32,16.41,10,5.13,22,11.28,17,8.72,42041
42,42,96,22,22.92,27,28.13,15,15.63,6,6.25,14,14.58,7,7.29,42042
42,43,163,63,38.65,38,23.31,18,11.04,11,6.75,17,10.43,9,5.52,42043
42,44,220,76,34.55,34,15.45,42,19.09,19,8.64,28,12.73,12,5.45,42044
42,45,150,58,38.67,34,22.67,16,10.67,10,6.67,14,9.33,13,8.67,42045
42,46,115,40,34.78,23,20.0,19,16.52,6,5.22,17,14.78,7,6.09,42046
42,47,109,32,29.36,31,28.44,7,6.42,10,9.17,15,13.76,7,6.42,42047
42,48,123,53,43.09,23,18.7,22,17.89,8,6.5,10,8.13,7,5.69,42048
42,49,47,11,23.4,17,36.17,3,6.38,3,6.38,7,14.89,2,4.26,42049
42,50,123,40,32.52,27,21.95,16,13.01,15,12.2,14,11.38,6,4.88,42050
42,51,165,67,40.61,40,24.24,16,9.7,3,1.82,24,14.55,9,5.45,42051
42,52,87,22,25.29,28,32.18,14,16.09,5,5.75,9,10.34,3,3.45,42052
42,53,161,63,39.13,33,20.5,22,13.66,13,8.07,17,10.56,6,3.73,42053
42,54,134,53,39.55,25,18.66,21,15.67,14,10.45,11,8.21,7,5.22,42054
42,55,177,65,36.72,42,23.73,27,15.25,12,6.78,12,6.78,12,6.78,42055
42,56,168,53,31.55,34,20.24,21,12.5,15,8.93,20,11.9,14,8.33,42056
42,57,134,39,29.1,34,25.37,18,13.43,11,8.21,21,15.67,7,5.22,42057
42,58,78,27,34.62,17,21.79,10,12.82,4,5.13,10,12.82,6,7.69,42058
42,59,208,69,33.17,41,19.71,38,18.27,27,12.98,16,7.69,9,4.33,42059
42,60,86,27,31.4,24,27.91,12,13.95,6,6.98,11,12.79,3,3.49,42060
42,61,96,29,30.21,29,30.21,10,10.42,10,10.42,4,4.17,7,7.29,42061
42,62,95,30,31.58,26,27.37,11,11.58,7,7.37,11,11.58,7,7.37,42062
42,63,170,47,27.65,50,29.41,33,19.41,12,7.06,8,4.71,14,8.24,42063
42,64,65,23,35.38,18,27.69,7,10.77,4,6.15,10,15.38,1,1.54,42064
42,65,154,59,38.31,47,30.52,17,11.04,11,7.14,13,8.44,4,2.6,42065
42,66,164,52,31.71,35,21.34,30,18.29,14,8.54,24,14.63,5,3.05,42066
42,67,262,92,35.11,59,22.52,48,18.32,17,6.49,21,8.02,10,3.82,42067
42,68,138,52,37.68,31,22.46,24,17.39,6,4.35,14,10.14,4,2.9,42068
43,1,225,69,30.67,67,29.78,33,14.67,18,8.0,22,9.78,10,4.44,43001
43,2,172,60,34.88,31,18.02,27,15.7,15,8.72,20,11.63,13,7.56,43002
43,3,200,87,43.5,39,19.5,25,12.5,18,9.0,16,8.0,8,4.0,43003
43,4,219,65,29.68,44,20.09,28,12.79,24,10.96,32,14.61,9,4.11,43004
43,5,178,60,33.71,34,19.1,31,17.42,16,8.99,20,11.24,7,3.93,43005
43,6,125,38,30.4,29,23.2,13,10.4,19,15.2,14,11.2,9,7.2,43006
43,7,172,56,32.56,51,29.65,20,11.63,11,6.4,17,9.88,9,5.23,43007
43,8,200,86,43.0,46,23.0,29,14.5,7,3.5,14,7.0,7,3.5,43008
43,9,152,59,38.82,30,19.74,23,15.13,11,7.24,14,9.21,5,3.29,43009
43,10,161,57,35.4,41,25.47,24,14.91,15,9.32,15,9.32,3,1.86,43010
43,11,134,50,37.31,27,20.15,14,10.45,16,11.94,14,10.45,8,5.97,43011
43,12,203,72,35.47,53,26.11,28,13.79,12,5.91,21,10.34,7,3.45,43012
43,13,83,28,33.73,11,13.25,15,18.07,10,12.05,14,16.87,1,1.2,43013
43,14,140,52,37.14,43,30.71,13,9.29,7,5.0,7,5.0,6,4.29,43014
43,15,139,54,38.85,35,25.18,18,12.95,8,5.76,13,9.35,3,2.16,43015
43,16,162,65,40.12,32,19.75,26,16.05,11,6.79,11,6.79,12,7.41,43016
43,17,181,73,40.33,47,25.97,22,12.15,12,6.63,11,6.08,6,3.31,43017
43,18,192,68,35.42,62,32.29,21,10.94,12,6.25,14,7.29,9,4.69,43018
43,19,125,31,24.8,30,24.0,17,13.6,11,8.8,23,18.4,6,4.8,43019
43,20,207,81,39.13,57,27.54,15,7.25,18,8.7,18,8.7,8,3.86,43020
43,21,193,68,35.23,66,34.2,15,7.77,19,9.84,10,5.18,9,4.66,43021
43,22,122,38,31.15,28,22.95,12,9.84,14,11.48,18,14.75,6,4.92,43022
43,23,176,63,35.8,42,23.86,32,18.18,15,8.52,14,7.95,4,2.27,43023
43,24,176,41,23.3,47,26.7,29,16.48,13,7.39,34,19.32,10,5.68,43024
43,25,203,57,28.08,49,24.14,28,13.79,18,8.87,32,15.76,9,4.43,43025
43,26,132,50,37.88,38,28.79,12,9.09,6,4.55,13,9.85,5,3.79,43026
43,27,146,47,32.19,45,30.82,18,12.33,11,7.53,14,9.59,5,3.42,43027
43,28,210,64,30.48,53,25.24,29,13.81,14,6.67,28,13.33,9,4.29,43028
43,29,147,56,38.1,28,19.05,24,16.33,15,10.2,10,6.8,9,6.12,43029
43,30,126,49,38.89,18,14.29,17,13.49,18,14.29,16,12.7,5,3.97,43030
43,31,202,77,38.12,38,18.81,25,12.38,23,11.39,24,11.88,6,2.97,43031
43,32,154,63,40.91,36,23.38,21,13.64,12,7.79,11,7.14,5,3.25,43032
43,33,101,28,27.72,19,18.81,17,16.83,13,12.87,13,12.87,4,3.96,43033
43,34,87,32,36.78,24,27.59,7,8.05,7,8.05,9,10.34,4,4.6,43034
43,35,177,52,29.38,43,24.29,16,9.04,20,11.3,15,8.47,19,10.73,43035
43,36,146,50,34.25,39,26.71,23,15.75,9,6.16,13,8.9,6,4.11,43036
43,37,132,40,30.3,33,25.0,18,13.64,8,6.06,18,13.64,9,6.82,43037
43,38,148,39,26.35,34,22.97,33,22.3,16,10.81,16,10.81,5,3.38,43038
43,39,114,31,27.19,28,24.56,11,9.65,11,9.65,16,14.04,12,10.53,43039
43,40,73,22,30.14,12,16.44,12,16.44,7,9.59,11,15.07,2,2.74,43040
43,41,99,35,35.35,22,22.22,17,17.17,7,7.07,10,10.1,4,4.04,43041
43,42,146,30,20.55,55,37.67,12,8.22,7,4.79,25,17.12,9,6.16,43042
43,43,128,45,35.16,27,21.09,21,16.41,12,9.38,10,7.81,6,4.69,43043
43,44,162,55,33.95,37,22.84,23,14.2,22,13.58,16,9.88,7,4.32,43044
43,45,40,11,27.5,11,27.5,7,17.5,8,20.0,3,7.5,0,0.0,43045
43,46,177,44,24.86,55,31.07,27,15.25,14,7.91,21,11.86,5,2.82,43046
43,47,155,49,31.61,41,26.45,17,10.97,13,8.39,20,12.9,6,3.87,43047
43,48,172,57,33.14,46,26.74,25,14.53,8,4.65,20,11.63,7,4.07,43048
43,49,160,52,32.5,40,25.0,17,10.63,14,8.75,15,9.38,15,9.38,43049
43,50,123,42,34.15,27,21.95,23,18.7,11,8.94,8,6.5,9,7.32,43050
43,51,205,57,27.8,52,25.37,26,12.68,17,8.29,35,17.07,11,5.37,43051
43,52,134,42,31.34,42,31.34,26,19.4,10,7.46,3,2.24,5,3.73,43052
43,53,192,50,26.04,53,27.6,27,14.06,22,11.46,22,11.46,8,4.17,43053
43,54,118,40,33.9,28,23.73,17,14.41,8,6.78,14,11.86,5,4.24,43054
43,55,174,62,35.63,35,20.11,31,17.82,10,5.75,20,11.49,6,3.45,43055
43,56,94,32,34.04,23,24.47,13,13.83,9,9.57,10,10.64,3,3.19,43056
43,57,135,54,40.0,36,26.67,20,14.81,5,3.7,8,5.93,4,2.96,43057
43,58,139,51,36.69,31,22.3,16,11.51,12,8.63,11,7.91,11,7.91,43058
43,59,168,49,29.17,48,28.57,26,15.48,10,5.95,12,7.14,12,7.14,43059
44,1,172,43,25.0,48,27.91,16,9.3,35,20.35,9,5.23,8,4.65,44001
44,2,160,51,31.88,40,25.0,9,5.63,28,17.5,8,5.0,10,6.25,44002
44,3,228,60,26.32,68,29.82,31,13.6,10,4.39,10,4.39,15,6.58,44003
44,4,199,52,26.13,62,31.16,20,10.05,21,10.55,16,8.04,17,8.54,44004
44,5,237,70,29.54,61,25.74,37,15.61,27,11.39,17,7.17,7,2.95,44005
44,6,197,68,34.52,39,19.8,27,13.71,21,10.66,9,4.57,20,10.15,44006
44,7,193,58,30.05,77,39.9,23,11.92,6,3.11,11,5.7,13,6.74,44007
44,8,85,25,29.41,22,25.88,11,12.94,11,12.94,5,5.88,5,5.88,44008
44,9,122,48,39.34,33,27.05,6,4.92,13,10.66,7,5.74,6,4.92,44009
44,10,131,46,35.11,21,16.03,27,20.61,17,12.98,10,7.63,5,3.82,44010
44,11,166,65,39.16,45,27.11,17,10.24,20,12.05,11,6.63,4,2.41,44011
44,12,140,40,28.57,37,26.43,12,8.57,17,12.14,11,7.86,16,11.43,44012
44,13,130,47,36.15,29,22.31,12,9.23,22,16.92,11,8.46,0,0.0,44013
44,14,186,56,30.11,40,21.51,22,11.83,25,13.44,20,10.75,11,5.91,44014
44,15,230,80,34.78,47,20.43,30,13.04,36,15.65,10,4.35,15,6.52,44015
44,16,205,93,45.37,28,13.66,31,15.12,20,9.76,18,8.78,7,3.41,44016
44,17,218,83,38.07,43,19.72,31,14.22,30,13.76,11,5.05,10,4.59,44017
44,18,135,42,31.11,31,22.96,19,14.07,19,14.07,13,9.63,6,4.44,44018
44,19,106,34,32.08,26,24.53,17,16.04,5,4.72,7,6.6,3,2.83,44019
44,20,168,56,33.33,34,20.24,15,8.93,22,13.1,18,10.71,11,6.55,44020
44,21,225,79,35.11,53,23.56,33,14.67,21,9.33,20,8.89,9,4.0,44021
44,22,227,66,29.07,61,26.87,34,14.98,14,6.17,19,8.37,21,9.25,44022
44,23,162,63,38.89,38,23.46,21,12.96,11,6.79,5,3.09,13,8.02,44023
44,24,109,32,29.36,27,24.77,15,13.76,16,14.68,13,11.93,4,3.67,44024
44,25,174,85,48.85,25,14.37,25,14.37,17,9.77,10,5.75,4,2.3,44025
44,26,155,60,38.71,38,24.52,9,5.81,20,12.9,8,5.16,17,10.97,44026
44,27,227,69,30.4,43,18.94,32,14.1,30,13.22,20,8.81,21,9.25,44027
44,28,145,61,42.07,31,21.38,17,11.72,20,13.79,6,4.14,9,6.21,44028
44,29,194,61,31.44,39,20.1,29,14.95,13,6.7,20,10.31,24,12.37,44029
44,30,172,57,33.14,38,22.09,28,16.28,17,9.88,11,6.4,7,4.07,44030
44,31,159,56,35.22,36,22.64,11,6.92,26,16.35,17,10.69,9,5.66,44031
44,32,139,57,41.01,27,19.42,11,7.91,9,6.47,9,6.47,19,13.67,44032
44,33,257,77,29.96,33,12.84,32,12.45,48,18.68,14,5.45,33,12.84,44033
44,34,126,39,30.95,37,29.37,20,15.87,8,6.35,10,7.94,8,6.35,44034
44,35,142,53,37.32,43,30.28,18,12.68,5,3.52,6,4.23,8,5.63,44035
44,36,179,43,24.02,46,25.7,18,10.06,47,26.26,12,6.7,9,5.03,44036
44,37,241,69,28.63,38,15.77,35,14.52,51,21.16,13,5.39,17,7.05,44037
44,38,160,53,33.13,28,17.5,20,12.5,30,18.75,14,8.75,7,4.38,44038
44,39,174,57,32.76,36,20.69,25,14.37,22,12.64,17,9.77,9,5.17,44039
44,40,180,64,35.56,43,23.89,17,9.44,14,7.78,18,10.0,18,10.0,44040
44,41,144,43,29.86,39,27.08,15,10.42,18,12.5,9,6.25,9,6.25,44041
44,42,231,52,22.51,44,19.05,31,13.42,46,19.91,20,8.66,20,8.66,44042
44,43,209,77,36.84,49,23.44,25,11.96,20,9.57,21,10.05,10,4.78,44043
44,44,224,73,32.59,54,24.11,26,11.61,23,10.27,17,7.59,15,6.7,44044
44,45,195,69,35.38,44,22.56,27,13.85,23,11.79,15,7.69,9,4.62,44045
44,46,134,59,44.03,24,17.91,15,11.19,9,6.72,5,3.73,8,5.97,44046
44,47,204,70,34.31,43,21.08,29,14.22,27,13.24,18,8.82,7,3.43,44047
44,48,125,33,26.4,30,24.0,16,12.8,17,13.6,11,8.8,12,9.6,44048
44,49,300,91,30.33,101,33.67,37,12.33,17,5.67,18,6.0,20,6.67,44049
44,50,161,52,32.3,35,21.74,30,18.63,17,10.56,18,11.18,5,3.11,44050
44,51,137,29,21.17,36,26.28,26,18.98,16,11.68,14,10.22,10,7.3,44051
46,1,322,89,27.64,99,30.75,37,11.49,17,5.28,26,8.07,38,11.8,46001
46,2,220,78,35.45,52,23.64,36,16.36,9,4.09,17,7.73,21,9.55,46002
46,3,226,95,42.04,45,19.91,30,13.27,22,9.73,17,7.52,12,5.31,46003
46,4,185,57,30.81,40,21.62,23,12.43,12,6.49,21,11.35,23,12.43,46004
46,5,145,53,36.55,25,17.24,26,17.93,10,6.9,15,10.34,10,6.9,46005
46,6,209,75,35.89,37,17.7,28,13.4,20,9.57,23,11.0,19,9.09,46006
46,7,119,45,37.82,26,21.85,12,10.08,12,10.08,11,9.24,8,6.72,46007
46,8,195,63,32.31,52,26.67,21,10.77,13,6.67,25,12.82,9,4.62,46008
46,9,199,57,28.64,34,17.09,25,12.56,19,9.55,18,9.05,38,19.1,46009
46,10,164,46,28.05,39,23.78,13,7.93,16,9.76,16,9.76,21,12.8,46010
46,11,215,61,28.37,48,22.33,40,18.6,20,9.3,15,6.98,18,8.37,46011
46,12,185,62,33.51,45,24.32,18,9.73,21,11.35,12,6.49,17,9.19,46012
46,13,178,51,28.65,44,24.72,30,16.85,16,8.99,22,12.36,12,6.74,46013
46,14,160,61,38.13,40,25.0,23,14.38,12,7.5,10,6.25,9,5.63,46014
46,15,221,56,25.34,64,28.96,29,13.12,11,4.98,19,8.6,32,14.48,46015
46,16,142,44,30.99,32,22.54,15,10.56,21,14.79,12,8.45,11,7.75,46016
46,17,270,77,28.52,81,30.0,39,14.44,20,7.41,24,8.89,20,7.41,46017
46,18,224,65,29.02,67,29.91,29,12.95,12,5.36,15,6.7,20,8.93,46018
46,19,234,91,38.89,55,23.5,35,14.96,16,6.84,14,5.98,14,5.98,46019
46,20,157,50,31.85,29,18.47,25,15.92,12,7.64,17,10.83,13,8.28,46020
46,22,121,55,45.45,25,20.66,10,8.26,7,5.79,12,9.92,5,4.13,46022
46,23,142,40,28.17,31,21.83,23,16.2,9,6.34,22,15.49,9,6.34,46023
46,24,154,35,22.73,37,24.03,23,14.94,23,14.94,11,7.14,17,11.04,46024
46,25,234,72,30.77,44,18.8,14,5.98,17,7.26,20,8.55,63,26.92,46025
46,26,200,73,36.5,37,18.5,19,9.5,14,7.0,27,13.5,13,6.5,46026
46,27,236,76,32.2,39,16.53,33,13.98,20,8.47,24,10.17,31,13.14,46027
46,28,209,69,33.01,36,17.22,32,15.31,25,11.96,23,11.0,17,8.13,46028
46,29,202,57,28.22,55,27.23,20,9.9,21,10.4,17,8.42,14,6.93,46029
46,30,219,57,26.03,53,24.2,32,14.61,22,10.05,26,11.87,16,7.31,46030
46,31,247,108,43.72,44,17.81,10,4.05,21,8.5,10,4.05,43,17.41,46031
46,32,114,39,34.21,23,20.18,20,17.54,7,6.14,7,6.14,11,9.65,46032
46,33,251,90,35.86,52,20.72,39,15.54,22,8.76,22,8.76,14,5.58,46033
46,34,177,59,33.33,28,15.82,26,14.69,18,10.17,13,7.34,19,10.73,46034
46,35,217,79,36.41,39,17.97,26,11.98,16,7.37,25,11.52,19,8.76,46035
46,36,212,71,33.49,58,27.36,26,12.26,21,9.91,14,6.6,15,7.08,46036
46,37,143,49,34.27,38,26.57,20,13.99,16,11.19,6,4.2,7,4.9,46037
46,38,148,35,23.65,41,27.7,22,14.86,11,7.43,24,16.22,10,6.76,46038
46,39,215,61,28.37,60,27.91,22,10.23,13,6.05,23,10.7,16,7.44,46039
46,40,144,35,24.31,36,25.0,17,11.81,21,14.58,21,14.58,7,4.86,46040
46,41,155,39,25.16,34,21.94,22,14.19,19,12.26,20,12.9,6,3.87,46041
46,42,177,63,35.59,38,21.47,27,15.25,14,7.91,21,11.86,7,3.95,46042
46,43,285,112,39.3,57,20.0,24,8.42,31,10.88,18,6.32,32,11.23,46043
46,44,159,52,32.7,35,22.01,21,13.21,15,9.43,15,9.43,9,5.66,46044
46,45,248,55,22.18,57,22.98,22,8.87,8,3.23,12,4.84,21,8.47,46045
