ward,precinct,total,James Edward Snyder,James Edward Snyder Percent,Ursula Walowski,Ursula Walowski Percent,Gerald Patrick Cleary,Gerald Patrick Cleary Percent,precinct_id
39,44,221,87,39.37,94,42.53,22,9.95,39044
39,45,90,37,41.11,24,26.67,19,21.11,39045
39,46,150,55,36.67,46,30.67,38,25.33,39046
39,47,78,27,34.62,21,26.92,24,30.77,39047
40,1,103,32,31.07,47,45.63,19,18.45,40001
40,2,118,47,39.83,40,33.9,24,20.34,40002
40,5,155,44,28.39,69,44.52,32,20.65,40005
40,6,171,46,26.9,83,48.54,32,18.71,40006
40,8,35,14,40.0,13,37.14,6,17.14,40008
40,10,160,63,39.38,46,28.75,39,24.38,40010
40,14,149,65,43.62,48,32.21,27,18.12,40014
40,15,172,73,42.44,51,29.65,32,18.6,40015
40,17,76,31,40.79,29,38.16,14,18.42,40017
40,18,32,15,46.88,5,15.63,7,21.88,40018
40,19,113,39,34.51,37,32.74,26,23.01,40019
40,20,133,55,41.35,41,30.83,23,17.29,40020
40,21,162,54,33.33,67,41.36,31,19.14,40021
40,24,92,44,47.83,21,22.83,15,16.3,40024
40,25,129,43,33.33,35,27.13,36,27.91,40025
40,29,180,49,27.22,82,45.56,39,21.67,40029
40,30,184,93,50.54,54,29.35,24,13.04,40030
40,31,135,59,43.7,39,28.89,27,20.0,40031
40,32,87,32,36.78,31,35.63,15,17.24,40032
40,34,111,42,37.84,45,40.54,15,13.51,40034
40,36,152,53,34.87,57,37.5,31,20.39,40036
40,38,99,38,38.38,42,42.42,11,11.11,40038
40,44,126,42,33.33,38,30.16,28,22.22,40044
40,48,106,30,28.3,43,40.57,23,21.7,40048
40,49,91,35,38.46,31,34.07,16,17.58,40049
41,1,210,42,20.0,60,28.57,74,35.24,41001
41,2,240,43,17.92,75,31.25,78,32.5,41002
41,3,196,44,22.45,62,31.63,66,33.67,41003
41,4,216,26,12.04,65,30.09,95,43.98,41004
41,5,241,42,17.43,96,39.83,76,31.54,41005
41,6,200,27,13.5,92,46.0,54,27.0,41006
41,7,244,42,17.21,77,31.56,109,44.67,41007
41,8,201,36,17.91,54,26.87,81,40.3,41008
41,9,205,55,26.83,74,36.1,48,23.41,41009
41,10,171,27,15.79,83,48.54,45,26.32,41010
41,11,221,54,24.43,81,36.65,53,23.98,41011
41,12,189,42,22.22,75,39.68,50,26.46,41012
41,13,114,27,23.68,48,42.11,20,17.54,41013
41,14,223,38,17.04,104,46.64,64,28.7,41014
41,15,200,35,17.5,81,40.5,64,32.0,41015
41,16,206,42,20.39,73,35.44,71,34.47,41016
41,17,204,40,19.61,82,40.2,61,29.9,41017
41,18,152,29,19.08,61,40.13,38,25.0,41018
41,19,117,28,23.93,49,41.88,33,28.21,41019
41,20,235,43,18.3,83,35.32,83,35.32,41020
41,21,204,37,18.14,76,37.25,56,27.45,41021
41,22,192,35,18.23,75,39.06,65,33.85,41022
41,23,190,37,19.47,82,43.16,44,23.16,41023
41,24,189,41,21.69,80,42.33,36,19.05,41024
41,30,242,64,26.45,68,28.1,78,32.23,41030
41,31,230,40,17.39,83,36.09,81,35.22,41031
41,32,139,32,23.02,49,35.25,39,28.06,41032
41,33,156,35,22.44,52,33.33,44,28.21,41033
41,34,146,23,15.75,62,42.47,46,31.51,41034
41,35,205,40,19.51,72,35.12,64,31.22,41035
41,36,208,53,25.48,74,35.58,59,28.37,41036
41,37,212,33,15.57,64,30.19,89,41.98,41037
41,38,221,55,24.89,93,42.08,52,23.53,41038
41,39,140,23,16.43,61,43.57,38,27.14,41039
41,40,232,49,21.12,87,37.5,66,28.45,41040
41,41,187,47,25.13,61,32.62,62,33.16,41041
41,42,245,31,12.65,74,30.2,109,44.49,41042
41,43,209,51,24.4,81,38.76,52,24.88,41043
41,45,172,53,30.81,53,30.81,43,25.0,41045
41,46,166,39,23.49,54,32.53,51,30.72,41046
41,49,249,42,16.87,79,31.73,103,41.37,41049
41,50,220,43,19.55,78,35.45,65,29.55,41050
41,51,148,24,16.22,53,35.81,49,33.11,41051
41,52,265,61,23.02,117,44.15,59,22.26,41052
41,53,202,62,30.69,62,30.69,60,29.7,41053
41,55,166,41,24.7,57,34.34,49,29.52,41055
41,56,255,39,15.29,61,23.92,123,48.24,41056
45,2,215,70,32.56,75,34.88,45,20.93,45002
45,3,246,120,48.78,58,23.58,47,19.11,45003
45,4,217,44,20.28,75,34.56,65,29.95,45004
45,5,187,41,21.93,80,42.78,45,24.06,45005
45,6,182,61,33.52,66,36.26,41,22.53,45006
45,7,165,40,24.24,59,35.76,40,24.24,45007
45,8,149,38,25.5,71,47.65,33,22.15,45008
45,9,183,55,30.05,69,37.7,40,21.86,45009
45,10,207,64,30.92,61,29.47,61,29.47,45010
45,11,166,41,24.7,60,36.14,50,30.12,45011
45,12,208,47,22.6,84,40.38,58,27.88,45012
45,13,221,76,34.39,83,37.56,41,18.55,45013
45,14,213,49,23.0,88,41.31,58,27.23,45014
45,15,223,80,35.87,81,36.32,47,21.08,45015
45,16,204,89,43.63,65,31.86,39,19.12,45016
45,17,164,30,18.29,80,48.78,40,24.39,45017
45,18,187,69,36.9,49,26.2,56,29.95,45018
45,19,180,52,28.89,70,38.89,36,20.0,45019
45,20,162,54,33.33,59,36.42,33,20.37,45020
45,21,181,55,30.39,64,35.36,42,23.2,45021
45,22,162,55,33.95,60,37.04,28,17.28,45022
45,23,208,57,27.4,72,34.62,54,25.96,45023
45,24,232,55,23.71,97,41.81,58,25.0,45024
45,25,202,77,38.12,73,36.14,42,20.79,45025
45,26,231,107,46.32,73,31.6,38,16.45,45026
45,27,177,61,34.46,57,32.2,40,22.6,45027
45,28,190,64,33.68,58,30.53,51,26.84,45028
45,29,189,45,23.81,82,43.39,40,21.16,45029
45,30,171,47,27.49,68,39.77,34,19.88,45030
45,31,188,60,31.91,73,38.83,42,22.34,45031
45,32,127,32,25.2,48,37.8,30,23.62,45032
45,33,170,47,27.65,52,30.59,51,30.0,45033
45,34,148,29,19.59,68,45.95,39,26.35,45034
45,35,163,61,37.42,46,28.22,43,26.38,45035
45,36,157,44,28.03,70,44.59,28,17.83,45036
45,37,190,63,33.16,66,34.74,38,20.0,45037
45,38,222,78,35.14,82,36.94,45,20.27,45038
45,39,224,94,41.96,73,32.59,43,19.2,45039
45,40,237,96,40.51,76,32.07,47,19.83,45040
45,41,130,48,36.92,43,33.08,22,16.92,45041
45,42,194,74,38.14,59,30.41,43,22.16,45042
45,43,175,40,22.86,78,44.57,50,28.57,45043
45,44,204,39,19.12,91,44.61,54,26.47,45044
45,45,137,38,27.74,55,40.15,37,27.01,45045
45,46,216,78,36.11,71,32.87,46,21.3,45046
45,47,210,76,36.19,71,33.81,47,22.38,45047
45,48,181,58,32.04,71,39.23,37,20.44,45048
45,49,187,68,36.36,65,34.76,37,19.79,45049
45,50,155,33,21.29,66,42.58,40,25.81,45050
45,51,169,50,29.59,66,39.05,28,16.57,45051
45,52,183,55,30.05,59,32.24,50,27.32,45052
45,53,156,49,31.41,59,37.82,30,19.23,45053
46,21,76,28,36.84,32,42.11,12,15.79,46021
47,1,212,77,36.32,83,39.15,38,17.92,47001
47,2,155,31,20.0,65,41.94,42,27.1,47002
47,3,165,53,32.12,69,41.82,25,15.15,47003
47,4,226,72,31.86,88,38.94,50,22.12,47004
47,5,194,73,37.63,66,34.02,37,19.07,47005
47,6,237,77,32.49,113,47.68,39,16.46,47006
47,7,188,73,38.83,72,38.3,32,17.02,47007
47,8,252,137,54.37,72,28.57,28,11.11,47008
47,9,169,62,36.69,64,37.87,33,19.53,47009
47,10,154,43,27.92,71,46.1,32,20.78,47010
47,11,378,175,46.3,126,33.33,61,16.14,47011
47,12,165,53,32.12,67,40.61,35,21.21,47012
47,13,285,98,34.39,105,36.84,65,22.81,47013
47,14,151,51,33.77,66,43.71,25,16.56,47014
47,16,204,67,32.84,81,39.71,44,21.57,47016
47,17,196,55,28.06,90,45.92,40,20.41,47017
47,19,239,89,37.24,83,34.73,47,19.67,47019
47,20,211,65,30.81,93,44.08,36,17.06,47020
47,21,8,3,37.5,2,25.0,3,37.5,47021
47,22,197,70,35.53,78,39.59,37,18.78,47022
47,25,206,90,43.69,80,38.83,25,12.14,47025
47,26,311,101,32.48,152,48.87,45,14.47,47026
47,27,167,58,34.73,70,41.92,33,19.76,47027
47,28,306,121,39.54,123,40.2,52,16.99,47028
47,29,226,92,40.71,87,38.5,38,16.81,47029
47,30,244,108,44.26,94,38.52,27,11.07,47030
47,31,208,88,42.31,84,40.38,29,13.94,47031
47,32,241,111,46.06,89,36.93,29,12.03,47032
47,33,204,76,37.25,82,40.2,30,14.71,47033
47,34,255,85,33.33,118,46.27,41,16.08,47034
47,35,264,100,37.88,94,35.61,51,19.32,47035
47,36,288,88,30.56,133,46.18,47,16.32,47036
47,37,222,66,29.73,107,48.2,38,17.12,47037
47,38,237,83,35.02,97,40.93,36,15.19,47038
47,39,202,69,34.16,86,42.57,40,19.8,47039
47,42,169,52,30.77,71,42.01,38,22.49,47042
47,43,144,48,33.33,58,40.28,28,19.44,47043
47,45,198,64,32.32,88,44.44,37,18.69,47045
47,46,151,45,29.8,62,41.06,31,20.53,47046
47,47,183,64,34.97,73,39.89,38,20.77,47047
47,48,32,16,50.0,8,25.0,7,21.88,47048
47,49,112,35,31.25,53,47.32,14,12.5,47049
47,50,131,51,38.93,42,32.06,28,21.37,47050
47,51,129,44,34.11,45,34.88,28,21.71,47051
47,52,99,41,41.41,27,27.27,23,23.23,47052
48,49,6,1,16.67,3,50.0,2,33.33,48049
50,8,156,56,35.9,53,33.97,30,19.23,50008
50,23,137,58,42.34,44,32.12,21,15.33,50023
50,29,171,54,31.58,69,40.35,34,19.88,50029
50,45,26,9,34.62,14,53.85,2,7.69,50045
