ward,precinct,total,Barbara Jones (Obama),Barbara Jones (Obama) Percent,Marsha M. Allen (Clinton),Marsha M. Allen (Clinton) Percent,precinct_id
27,51,62,61,98.39,1,1.61,27051
27,52,174,169,97.13,5,2.87,27052
27,53,160,140,87.5,20,12.5,27053
27,54,210,156,74.29,54,25.71,27054
27,55,169,162,95.86,7,4.14,27055
27,57,134,110,82.09,24,17.91,27057
27,58,73,53,72.6,20,27.4,27058
28,1,216,195,90.28,21,9.72,28001
28,2,218,206,94.5,12,5.5,28002
28,3,148,137,92.57,11,7.43,28003
28,4,249,230,92.37,19,7.63,28004
28,5,181,174,96.13,7,3.87,28005
28,6,152,143,94.08,9,5.92,28006
28,7,168,158,94.05,10,5.95,28007
28,8,121,114,94.21,7,5.79,28008
28,9,166,161,96.99,5,3.01,28009
28,10,60,59,98.33,1,1.67,28010
28,11,149,143,95.97,6,4.03,28011
28,12,160,153,95.63,7,4.38,28012
28,13,97,88,90.72,9,9.28,28013
28,14,121,115,95.04,6,4.96,28014
28,15,185,180,97.3,5,2.7,28015
28,16,168,163,97.02,5,2.98,28016
28,17,161,157,97.52,4,2.48,28017
28,18,230,213,92.61,17,7.39,28018
28,19,198,189,95.45,9,4.55,28019
28,20,212,202,95.28,10,4.72,28020
28,21,252,243,96.43,9,3.57,28021
28,22,175,164,93.71,11,6.29,28022
28,23,189,183,96.83,6,3.17,28023
28,24,148,141,95.27,7,4.73,28024
28,25,135,127,94.07,8,5.93,28025
28,26,178,174,97.75,4,2.25,28026
28,27,238,232,97.48,6,2.52,28027
28,28,128,124,96.88,4,3.13,28028
28,30,129,126,97.67,3,2.33,28030
28,31,189,184,97.35,5,2.65,28031
28,32,198,185,93.43,13,6.57,28032
28,33,204,194,95.1,10,4.9,28033
28,35,147,141,95.92,6,4.08,28035
28,36,153,147,96.08,6,3.92,28036
28,37,253,242,95.65,11,4.35,28037
28,39,183,178,97.27,5,2.73,28039
28,40,247,238,96.36,9,3.64,28040
28,41,193,181,93.78,12,6.22,28041
28,42,162,157,96.91,5,3.09,28042
28,43,257,246,95.72,11,4.28,28043
28,44,186,181,97.31,5,2.69,28044
28,45,196,187,95.41,9,4.59,28045
28,46,177,169,95.48,8,4.52,28046
28,47,182,167,91.76,15,8.24,28047
28,48,108,101,93.52,7,6.48,28048
28,49,107,104,97.2,3,2.8,28049
28,50,122,111,90.98,11,9.02,28050
28,51,151,138,91.39,13,8.61,28051
28,52,140,113,80.71,27,19.29,28052
28,53,100,63,63.0,37,37.0,28053
28,54,141,130,92.2,11,7.8,28054
28,55,168,165,98.21,3,1.79,28055
28,56,183,175,95.63,8,4.37,28056
28,57,195,184,94.36,11,5.64,28057
28,58,183,176,96.17,7,3.83,28058
28,59,136,130,95.59,6,4.41,28059
28,60,134,130,97.01,4,2.99,28060
28,61,105,87,82.86,18,17.14,28061
29,1,442,424,95.93,18,4.07,29001
29,3,321,311,96.88,10,3.12,29003
29,4,254,240,94.49,14,5.51,29004
29,5,218,209,95.87,9,4.13,29005
29,8,179,168,93.85,11,6.15,29008
29,11,231,219,94.81,12,5.19,29011
29,12,317,293,92.43,24,7.57,29012
29,13,252,245,97.22,7,2.78,29013
29,14,316,305,96.52,11,3.48,29014
29,15,286,272,95.1,14,4.9,29015
29,16,371,360,97.04,11,2.96,29016
29,17,197,189,95.94,8,4.06,29017
29,18,268,248,92.54,20,7.46,29018
29,19,342,325,95.03,17,4.97,29019
29,20,254,236,92.91,18,7.09,29020
29,21,212,202,95.28,10,4.72,29021
29,22,172,127,73.84,45,26.16,29022
29,23,274,265,96.72,9,3.28,29023
29,25,276,273,98.91,3,1.09,29025
29,26,224,209,93.3,15,6.7,29026
29,27,232,223,96.12,9,3.88,29027
29,28,317,303,95.58,14,4.42,29028
29,29,339,329,97.05,10,2.95,29029
29,31,259,247,95.37,12,4.63,29031
29,33,216,203,93.98,13,6.02,29033
29,34,164,129,78.66,35,21.34,29034
29,35,199,191,95.98,8,4.02,29035
29,36,365,350,95.89,15,4.11,29036
29,37,243,231,95.06,12,4.94,29037
29,38,234,224,95.73,10,4.27,29038
29,40,310,299,96.45,11,3.55,29040
29,41,288,276,95.83,12,4.17,29041
29,42,303,300,99.01,3,0.99,29042
29,43,256,242,94.53,14,5.47,29043
29,44,218,204,93.58,14,6.42,29044
29,45,232,224,96.55,8,3.45,29045
29,46,246,234,95.12,12,4.88,29046
29,47,317,299,94.32,18,5.68,29047
29,48,246,233,94.72,13,5.28,29048
29,49,330,316,95.76,14,4.24,29049
32,1,205,165,80.49,40,19.51,32001
32,6,231,156,67.53,75,32.47,32006
32,12,136,100,73.53,36,26.47,32012
32,17,76,57,75.0,19,25.0,32017
32,26,188,132,70.21,56,29.79,32026
32,46,50,32,64.0,18,36.0,32046
32,50,214,157,73.36,57,26.64,32050
32,51,253,196,77.47,57,22.53,32051
36,23,112,81,72.32,31,27.68,36023
36,24,250,219,87.6,31,12.4,36024
36,44,171,139,81.29,32,18.71,36044
36,54,241,195,80.91,46,19.09,36054
37,2,273,224,82.05,49,17.95,37002
37,3,165,133,80.61,32,19.39,37003
37,4,302,277,91.72,25,8.28,37004
37,5,290,279,96.21,11,3.79,37005
37,6,273,257,94.14,16,5.86,37006
37,7,321,306,95.33,15,4.67,37007
37,8,218,202,92.66,16,7.34,37008
37,9,236,224,94.92,12,5.08,37009
37,10,250,226,90.4,24,9.6,37010
37,12,159,141,88.68,18,11.32,37012
37,13,216,179,82.87,37,17.13,37013
37,14,297,286,96.3,11,3.7,37014
37,15,248,236,95.16,12,4.84,37015
37,16,252,237,94.05,15,5.95,37016
37,17,236,226,95.76,10,4.24,37017
37,18,269,250,92.94,19,7.06,37018
37,20,252,244,96.83,8,3.17,37020
37,21,277,265,95.67,12,4.33,37021
37,22,167,150,89.82,17,10.18,37022
37,23,214,207,96.73,7,3.27,37023
37,24,256,240,93.75,16,6.25,37024
37,25,269,257,95.54,12,4.46,37025
37,26,313,294,93.93,19,6.07,37026
37,27,257,241,93.77,16,6.23,37027
37,28,235,216,91.91,19,8.09,37028
37,29,259,246,94.98,13,5.02,37029
37,30,168,143,85.12,25,14.88,37030
37,31,272,255,93.75,17,6.25,37031
37,32,245,236,96.33,9,3.67,37032
37,33,219,204,93.15,15,6.85,37033
37,34,248,234,94.35,14,5.65,37034
37,35,260,247,95.0,13,5.0,37035
37,36,267,251,94.01,16,5.99,37036
37,37,269,253,94.05,16,5.95,37037
37,38,291,275,94.5,16,5.5,37038
37,40,255,249,97.65,6,2.35,37040
37,41,287,274,95.47,13,4.53,37041
37,42,141,97,68.79,44,31.21,37042
37,43,213,201,94.37,12,5.63,37043
42,1,248,150,60.48,98,39.52,42001
42,2,171,126,73.68,45,26.32,42002
42,3,202,138,68.32,64,31.68,42003
42,4,200,130,65.0,70,35.0,42004
42,5,187,127,67.91,60,32.09,42005
42,6,367,221,60.22,146,39.78,42006
42,7,191,111,58.12,80,41.88,42007
42,8,256,161,62.89,95,37.11,42008
42,9,436,290,66.51,146,33.49,42009
42,10,166,113,68.07,53,31.93,42010
42,11,204,131,64.22,73,35.78,42011
42,12,154,106,68.83,48,31.17,42012
42,13,307,190,61.89,117,38.11,42013
42,14,218,158,72.48,60,27.52,42014
42,15,236,154,65.25,82,34.75,42015
42,16,142,90,63.38,52,36.62,42016
42,17,391,286,73.15,105,26.85,42017
42,18,329,245,74.47,84,25.53,42018
42,19,86,54,62.79,32,37.21,42019
42,20,122,96,78.69,26,21.31,42020
42,21,163,130,79.75,33,20.25,42021
42,22,159,108,67.92,51,32.08,42022
42,23,250,148,59.2,102,40.8,42023
42,24,225,121,53.78,104,46.22,42024
42,25,192,112,58.33,80,41.67,42025
42,26,226,171,75.66,55,24.34,42026
42,27,254,162,63.78,92,36.22,42027
42,28,203,124,61.08,79,38.92,42028
42,29,229,178,77.73,51,22.27,42029
42,30,126,73,57.94,53,42.06,42030
42,31,141,91,64.54,50,35.46,42031
42,32,138,94,68.12,44,31.88,42032
42,33,283,170,60.07,113,39.93,42033
42,34,202,121,59.9,81,40.1,42034
42,35,170,105,61.76,65,38.24,42035
42,36,180,117,65.0,63,35.0,42036
42,37,157,92,58.6,65,41.4,42037
42,38,131,77,58.78,54,41.22,42038
42,39,116,54,46.55,62,53.45,42039
42,40,218,132,60.55,86,39.45,42040
42,41,277,188,67.87,89,32.13,42041
42,42,118,68,57.63,50,42.37,42042
42,43,199,107,53.77,92,46.23,42043
42,44,306,215,70.26,91,29.74,42044
42,45,213,141,66.2,72,33.8,42045
42,46,160,112,70.0,48,30.0,42046
42,47,135,87,64.44,48,35.56,42047
42,48,163,83,50.92,80,49.08,42048
42,49,70,41,58.57,29,41.43,42049
42,50,167,97,58.08,70,41.92,42050
42,51,228,146,64.04,82,35.96,42051
42,52,115,83,72.17,32,27.83,42052
42,53,221,141,63.8,80,36.2,42053
42,54,172,136,79.07,36,20.93,42054
42,55,218,139,63.76,79,36.24,42055
42,56,239,140,58.58,99,41.42,42056
42,57,169,127,75.15,42,24.85,42057
42,58,125,85,68.0,40,32.0,42058
42,59,305,218,71.48,87,28.52,42059
42,60,106,69,65.09,37,34.91,42060
42,61,121,67,55.37,54,44.63,42061
42,62,127,71,55.91,56,44.09,42062
42,63,210,119,56.67,91,43.33,42063
42,64,90,61,67.78,29,32.22,42064
42,65,211,137,64.93,74,35.07,42065
42,66,200,138,69.0,62,31.0,42066
42,67,367,257,70.03,110,29.97,42067
42,68,206,143,69.42,63,30.58,42068
42,69,188,133,70.74,55,29.26,42069
43,1,278,218,78.42,60,21.58,43001
43,3,247,166,67.21,81,32.79,43003
43,4,317,223,70.35,94,29.65,43004
43,5,221,165,74.66,56,25.34,43005
43,9,213,163,76.53,50,23.47,43009
43,10,221,166,75.11,55,24.89,43010
43,11,177,123,69.49,54,30.51,43011
43,13,109,92,84.4,17,15.6,43013
43,15,195,145,74.36,50,25.64,43015
43,16,239,157,65.69,82,34.31,43016
43,18,236,142,60.17,94,39.83,43018
43,19,162,111,68.52,51,31.48,43019
43,23,205,154,75.12,51,24.88,43023
43,24,252,172,68.25,80,31.75,43024
43,25,256,192,75.0,64,25.0,43025
43,26,155,102,65.81,53,34.19,43026
43,28,259,167,64.48,92,35.52,43028
43,30,172,136,79.07,36,20.93,43030
43,35,223,147,65.92,76,34.08,43035
43,36,202,134,66.34,68,33.66,43036
43,37,186,139,74.73,47,25.27,43037
43,39,140,97,69.29,43,30.71,43039
43,40,97,60,61.86,37,38.14,43040
43,41,131,101,77.1,30,22.9,43041
43,42,157,94,59.87,63,40.13,43042
43,46,227,142,62.56,85,37.44,43046
43,47,189,136,71.96,53,28.04,43047
43,49,207,149,71.98,58,28.02,43049
43,51,248,169,68.15,79,31.85,43051
43,52,188,132,70.21,56,29.79,43052
43,54,165,112,67.88,53,32.12,43054
43,55,212,182,85.85,30,14.15,43055
