ward,precinct,total,Patrick J. Sherlock,Patrick J. Sherlock Percent,precinct_id
15,41,181,181,100.0,15041
15,46,6,6,100.0,15046
15,51,55,55,100.0,15051
16,17,112,112,100.0,16017
16,39,90,90,100.0,16039
17,11,167,167,100.0,17011
17,32,152,152,100.0,17032
17,40,128,128,100.0,17040
17,56,175,175,100.0,17056
17,57,158,158,100.0,17057
17,58,3,3,100.0,17058
17,59,84,84,100.0,17059
17,60,214,214,100.0,17060
17,61,140,140,100.0,17061
17,62,103,103,100.0,17062
17,63,111,111,100.0,17063
17,64,100,100,100.0,17064
18,1,111,111,100.0,18001
18,2,209,209,100.0,18002
18,3,135,135,100.0,18003
18,4,230,230,100.0,18004
18,5,228,228,100.0,18005
18,6,162,162,100.0,18006
18,7,184,184,100.0,18007
18,8,101,101,100.0,18008
18,9,208,208,100.0,18009
18,10,345,345,100.0,18010
18,11,190,190,100.0,18011
18,12,276,276,100.0,18012
18,13,248,248,100.0,18013
18,14,284,284,100.0,18014
18,15,115,115,100.0,18015
18,16,243,243,100.0,18016
18,17,171,171,100.0,18017
18,18,182,182,100.0,18018
18,19,305,305,100.0,18019
18,21,297,297,100.0,18021
18,22,274,274,100.0,18022
18,23,202,202,100.0,18023
18,26,168,168,100.0,18026
18,27,204,204,100.0,18027
18,28,170,170,100.0,18028
18,29,213,213,100.0,18029
18,31,225,225,100.0,18031
18,32,279,279,100.0,18032
18,33,182,182,100.0,18033
18,34,291,291,100.0,18034
18,35,306,306,100.0,18035
18,36,166,166,100.0,18036
18,37,190,190,100.0,18037
18,39,185,185,100.0,18039
18,40,285,285,100.0,18040
18,41,183,183,100.0,18041
18,42,155,155,100.0,18042
18,43,144,144,100.0,18043
18,44,130,130,100.0,18044
18,47,174,174,100.0,18047
18,48,120,120,100.0,18048
18,49,186,186,100.0,18049
18,50,191,191,100.0,18050
18,54,216,216,100.0,18054
18,55,170,170,100.0,18055
18,56,171,171,100.0,18056
18,57,193,193,100.0,18057
18,58,225,225,100.0,18058
18,59,153,153,100.0,18059
18,62,158,158,100.0,18062
19,1,236,236,100.0,19001
19,2,243,243,100.0,19002
19,3,144,144,100.0,19003
19,4,208,208,100.0,19004
19,5,266,266,100.0,19005
19,6,157,157,100.0,19006
19,7,239,239,100.0,19007
19,8,156,156,100.0,19008
19,9,142,142,100.0,19009
19,10,320,320,100.0,19010
19,11,244,244,100.0,19011
19,12,203,203,100.0,19012
19,13,216,216,100.0,19013
19,14,130,130,100.0,19014
19,15,184,184,100.0,19015
19,16,270,270,100.0,19016
19,17,261,261,100.0,19017
19,18,278,278,100.0,19018
19,19,249,249,100.0,19019
19,20,236,236,100.0,19020
19,21,145,145,100.0,19021
19,22,262,262,100.0,19022
19,23,269,269,100.0,19023
19,24,195,195,100.0,19024
19,25,260,260,100.0,19025
19,26,241,241,100.0,19026
19,27,160,160,100.0,19027
19,28,273,273,100.0,19028
19,29,162,162,100.0,19029
19,30,205,205,100.0,19030
19,31,210,210,100.0,19031
19,32,231,231,100.0,19032
19,33,218,218,100.0,19033
19,34,240,240,100.0,19034
19,35,246,246,100.0,19035
19,36,320,320,100.0,19036
19,37,264,264,100.0,19037
19,38,251,251,100.0,19038
19,39,138,138,100.0,19039
19,40,270,270,100.0,19040
19,41,144,144,100.0,19041
19,42,267,267,100.0,19042
19,43,252,252,100.0,19043
19,44,186,186,100.0,19044
19,45,247,247,100.0,19045
19,46,290,290,100.0,19046
19,47,191,191,100.0,19047
19,48,200,200,100.0,19048
19,49,282,282,100.0,19049
19,50,216,216,100.0,19050
19,51,185,185,100.0,19051
19,52,148,148,100.0,19052
19,53,217,217,100.0,19053
19,54,163,163,100.0,19054
19,55,211,211,100.0,19055
19,56,310,310,100.0,19056
19,57,277,277,100.0,19057
19,58,221,221,100.0,19058
19,59,212,212,100.0,19059
19,61,310,310,100.0,19061
19,62,243,243,100.0,19062
19,63,200,200,100.0,19063
19,64,253,253,100.0,19064
19,65,183,183,100.0,19065
19,66,283,283,100.0,19066
21,20,65,65,100.0,21020
23,1,183,183,100.0,23001
23,2,212,212,100.0,23002
23,3,147,147,100.0,23003
23,4,197,197,100.0,23004
23,5,165,165,100.0,23005
23,6,156,156,100.0,23006
23,7,58,58,100.0,23007
23,8,186,186,100.0,23008
23,9,186,186,100.0,23009
23,10,182,182,100.0,23010
23,11,187,187,100.0,23011
23,12,185,185,100.0,23012
23,13,227,227,100.0,23013
23,14,72,72,100.0,23014
23,15,172,172,100.0,23015
23,16,206,206,100.0,23016
23,17,210,210,100.0,23017
23,18,127,127,100.0,23018
23,19,151,151,100.0,23019
23,20,165,165,100.0,23020
23,21,164,164,100.0,23021
23,22,185,185,100.0,23022
23,23,159,159,100.0,23023
23,24,159,159,100.0,23024
23,25,134,134,100.0,23025
23,26,185,185,100.0,23026
23,27,154,154,100.0,23027
23,28,186,186,100.0,23028
23,29,166,166,100.0,23029
23,30,158,158,100.0,23030
23,32,215,215,100.0,23032
23,33,181,181,100.0,23033
23,34,149,149,100.0,23034
23,35,148,148,100.0,23035
23,36,234,234,100.0,23036
23,37,149,149,100.0,23037
23,38,175,175,100.0,23038
23,39,162,162,100.0,23039
23,40,154,154,100.0,23040
23,41,165,165,100.0,23041
23,42,132,132,100.0,23042
23,43,192,192,100.0,23043
23,44,189,189,100.0,23044
23,45,216,216,100.0,23045
23,46,186,186,100.0,23046
23,47,181,181,100.0,23047
23,48,156,156,100.0,23048
23,49,192,192,100.0,23049
23,50,113,113,100.0,23050
23,51,183,183,100.0,23051
23,52,198,198,100.0,23052
23,53,111,111,100.0,23053
23,54,221,221,100.0,23054
23,55,178,178,100.0,23055
23,56,136,136,100.0,23056
34,19,37,37,100.0,34019
34,33,106,106,100.0,34033
